Store Number,Power Outage Risk Evaluation,Project Status,Generator Qualification,Projected Install Completion Date,Actual Install Completion Date
167,,Complete,Already Approved,6/19/2019,6/19/2019
168,,,No,,
169,,,Yes,,
170,,,Yes,,
171,,Complete,Already Approved,6/5/2019,6/5/2019
172,,,No,,
173,,,No,,
174,,Complete,Already Approved,3/27/2018,3/27/2018
175,,Delayed,Already Approved,,
176,,,No,,
177,,,Yes,,
178,,,No,,
179,,,No,,
180,,Complete,Already Approved,1/12/2023,1/12/2023
181,,,Yes,,
182,,,Yes,,
183,,,Yes,,
184,,,No,,
185,,,Yes,,
186,,,Yes,,
188,,,Yes,,
189,,,No,,
190,,,No,,
192,,,Yes,,
194,,Complete,Already Approved,4/16/2021,4/16/2021
195,,Scheduled,Already Approved,9/14/2023,
196,,,No,,
197,,,No,,
198,,,No,,
199,,,Yes,,
200,,,No,,
201,,,No,,
202,,Complete,Already Approved,6/18/2020,6/18/2020
203,,,No,,
204,,,No,,
205,,,Yes,,
206,,,No,,
207,,,Yes,,
209,,,No,,
210,,,No,,
211,,,No,,
212,,Pending,Already Approved,,
213,,,Yes,,
214,,Scheduled,Already Approved,9/19/2023,
216,,,Yes,,
217,,,No,,
218,,,Yes,,
219,,,Yes,,
220,,,Yes,,
221,,,Yes,,
222,,,Yes,,
224,,,No,,
225,,,No,,
226,,,Yes,,
227,,,Yes,,
228,,,No,,
229,,,Yes,,
230,,,No,,
231,,,No,,
232,,,No,,
233,,,Yes,,
234,,,Yes,,
236,,Complete,Already Approved,1/21/2023,1/21/2023
237,,,No,,
238,,,No,,
239,,,Yes,,
240,,,No,,
242,,,No,,
243,,,Yes,,
244,,,Yes,,
246,,,No,,
247,,,No,,
248,,,No,,
249,,Scheduled,Already Approved,1/9/2024,
250,,,No,,
251,,,Yes,,
252,,,Yes,,
253,,,No,,
254,,,No,,
256,,,No,,
257,,,Yes,,
258,,,No,,
259,,,Yes,,
260,,,No,,
261,,Complete,Already Approved,1/1/2014,1/1/2014
262,,,Yes,,
264,,,Yes,,
265,,,Yes,,
266,,Complete,Already Approved,3/31/2022,3/31/2022
267,,,No,,
268,,,No,,
269,,,No,,
271,,,Yes,,
272,,,No,,
273,,,No,,
274,,,No,,
275,,,Yes,,
276,,,Yes,,
277,,,Yes,,
278,,,No,,
279,,,Yes,,
280,,,No,,
281,,,No,,
282,,,Yes,,
283,,,Yes,,
284,,Complete,Already Approved,10/8/2021,10/8/2021
285,,,Yes,,
286,,,No,,
287,,,Yes,,
288,,,No,,
289,,,Yes,,
290,,,No,,
292,,,No,,
293,,,Yes,,
294,,,Yes,,
295,,Scheduled,Already Approved,9/28/2023,
296,,Complete,Already Approved,6/27/2019,6/27/2019
297,,,No,,
298,,,No,,
299,,,No,,
300,,,No,,
301,,,No,,
302,,,Yes,,
303,,,Yes,,
304,,,No,,
305,,Delayed,Already Approved,,
306,,,Yes,,
307,,,No,,
308,,,No,,
309,,Complete,Already Approved,1/24/2023,1/24/2023
310,,Scheduled,Already Approved,8/2/2023,
311,,,No,,
312,,Complete,Already Approved,6/26/2023,6/26/2023
313,,,Yes,,
314,,,No,,
315,,,No,,
316,,,No,,
317,,,Yes,,
318,,Complete,Already Approved,9/12/2019,9/12/2019
319,,,Yes,,
320,,,Yes,,
321,,,Yes,,
322,,,Yes,,
323,,,No,,
324,,,Yes,,
325,,,Yes,,
326,,,No,,
328,,,No,,
329,,,No,,
330,,,No,,
331,,Scheduled,Already Approved,6/11/2024,
332,,,Yes,,
333,,,Yes,,
334,,,No,,
335,,,No,,
336,,Complete,Already Approved,9/1/2022,9/1/2022
337,,Scheduled,Already Approved,9/12/2023,
338,,,Yes,,
339,,,Yes,,
340,,Complete,Already Approved,6/20/2022,6/20/2022
341,,,No,,
342,,,Yes,,
343,,,Yes,,
344,,Complete,Already Approved,4/21/2022,4/21/2022
345,,,Yes,,
346,,,No,,
347,,,No,,
348,,Complete,Already Approved,6/26/2019,6/26/2019
350,,,No,,
351,,Pending,Already Approved,,
352,,,No,,
353,,,Yes,,
354,,,No,,
355,,,Yes,,
356,,,No,,
357,,,No,,
358,,,No,,
359,,,No,,
360,,,No,,
361,,Complete,Already Approved,12/16/2022,12/16/2022
362,,,No,,
363,,,No,,
364,,Scheduled,Already Approved,7/18/2023,
365,,,Yes,,
366,,,No,,
368,,,Yes,,
369,,,No,,
370,,,Yes,,
371,,,Yes,,
372,,,No,,
373,,,No,,
374,,,No,,
375,,,No,,
376,,,Yes,,
377,,Delayed,Already Approved,,
378,,,Yes,,
379,,,No,,
381,,,Yes,,
382,,,Yes,,
383,,Complete,Already Approved,4/5/2023,4/5/2023
384,,Scheduled,Already Approved,1/30/2024,
385,,,No,,
386,,Scheduled,Already Approved,5/21/2024,
387,,,No,,
388,,,Yes,,
389,,,No,,
390,,Complete,Already Approved,5/5/2022,5/5/2022
391,,,No,,
392,,,Yes,,
393,,,Yes,,
394,,,Yes,,
395,,Pending,Already Approved,,
396,,,Yes,,
397,,,Yes,,
398,,,Yes,,
399,,Scheduled,Already Approved,10/11/2023,
400,,,Yes,,
401,,Complete,Already Approved,2/15/2023,2/15/2023
402,,,Yes,,
403,,,No,,
404,,,Yes,,
405,,Scheduled,Already Approved,9/7/2023,
406,,,No,,
407,,Complete,Already Approved,5/10/2022,5/10/2022
408,,Scheduled,Already Approved,7/16/2024,
409,,,No,,
410,,,Yes,,
411,,,No,,
412,,,No,,
413,,Delayed,Already Approved,,
414,,Complete,Already Approved,4/21/2021,4/21/2021
415,,,Yes,,
416,,,No,,
417,,,No,,
418,,,No,,
419,,,No,,
420,,,Yes,,
421,,,No,,
422,,,Yes,,
423,,,No,,
424,,,Yes,,
425,,,Yes,,
426,,,No,,
427,,Scheduled,Already Approved,9/21/2023,
428,,Pending,Already Approved,,
429,,Scheduled,Already Approved,11/21/2024,
430,,,Yes,,
431,,,No,,
432,,,Yes,,
433,,,No,,
434,,,No,,
435,,,No,,
436,,,Yes,,
437,,Scheduled,Already Approved,10/20/2023,
438,,,Yes,,
440,,Scheduled,Already Approved,7/31/2023,
442,,Scheduled,Already Approved,8/26/2024,
443,,,No,,
444,,,Yes,,
445,,,No,,
446,,,No,,
447,,Complete,Already Approved,10/28/2021,10/28/2021
448,,Complete,Already Approved,10/31/2022,10/31/2022
449,,Scheduled,Already Approved,11/11/2024,
450,,,No,,
451,,,No,,
452,,Complete,Already Approved,2/10/2022,2/10/2022
453,,,No,,
454,,,No,,
456,,Complete,Already Approved,3/25/2022,3/25/2022
457,,Complete,Already Approved,10/25/2022,10/25/2022
458,,Scheduled,Already Approved,4/26/2024,
459,,,No,,
461,,Complete,Already Approved,12/23/2021,12/23/2021
462,,Complete,Already Approved,10/17/2019,10/17/2019
463,,Complete,Already Approved,12/16/2021,12/16/2021
464,,,No,,
465,,,No,,
466,,,No,,
467,,,No,,
468,,,No,,
469,,Scheduled,Already Approved,8/20/2024,
470,,Complete,Already Approved,1/19/2023,1/19/2023
471,,,No,,
472,,,No,,
473,,,No,,
475,,,Yes,,
476,,,Yes,,
477,,,No,,
478,,,No,,
479,,,No,,
480,,,No,,
481,,,No,,
482,,,No,,
483,,,No,,
484,,,Yes,,
485,,Complete,Already Approved,1/27/2022,1/27/2022
486,,,Yes,,
488,,,No,,
489,,Scheduled,Already Approved,5/7/2024,
490,,Complete,Already Approved,5/20/2022,5/20/2022
491,,,No,,
492,,,Yes,,
493,,,No,,
494,,,No,,
495,,Complete,Already Approved,10/5/2022,10/5/2022
497,,,No,,
498,,Pending,Already Approved,,
499,,,No,,
500,,,Yes,,
501,,Complete,Already Approved,6/3/2022,6/3/2022
502,,Scheduled,Already Approved,1/8/2024,
503,,,No,,
504,,Complete,Already Approved,6/1/2022,6/1/2022
505,,Complete,Already Approved,9/30/2022,9/30/2022
506,,,No,,
507,,,No,,
508,,,Yes,,
510,,,No,,
511,,,No,,
512,,,No,,
513,,Complete,Already Approved,10/1/2021,10/1/2021
514,,Scheduled,Already Approved,12/21/2023,
515,,,Yes,,
516,,,No,,
517,,,Yes,,
518,,,No,,
519,,,No,,
520,,,No,,
521,,Scheduled,Already Approved,10/15/2024,
522,,Complete,Already Approved,10/29/2020,10/29/2020
523,,Scheduled,Already Approved,8/31/2023,
524,,Scheduled,Already Approved,9/29/2023,
525,,,No,,
526,,,No,,
527,,Scheduled,Already Approved,6/28/2024,
528,,Complete,Already Approved,8/31/2017,8/31/2017
529,,Complete,Already Approved,10/23/2019,10/23/2019
530,,Complete,Already Approved,6/11/2019,6/11/2019
531,,,No,,
532,,,Yes,,
533,,Delayed,Already Approved,,
535,,,Yes,,
536,,Complete,Already Approved,11/3/2021,11/3/2021
537,,Scheduled,Already Approved,10/4/2024,
538,,Scheduled,Already Approved,8/3/2023,
539,,,No,,
540,,,Yes,,
541,,Complete,Already Approved,5/11/2023,5/11/2023
542,,Pending,Already Approved,,
543,,Complete,Already Approved,5/24/2023,5/24/2023
544,,,Yes,,
545,,,No,,
546,,Complete,Already Approved,11/10/2020,11/10/2020
547,,Scheduled,Already Approved,8/8/2023,
548,,,No,,
549,,,Yes,,
550,,,No,,
551,,Complete,Already Approved,10/1/2011,10/1/2011
552,,,No,,
553,,Complete,Already Approved,5/9/2023,5/9/2023
554,,,No,,
555,,,No,,
556,,,No,,
557,,,No,,
558,,,Yes,,
559,,,No,,
560,,,Yes,,
561,,Complete,Already Approved,6/3/2022,6/3/2022
562,,,No,,
563,,Complete,Already Approved,3/15/2018,3/15/2018
564,,,Yes,,
565,,Complete,Already Approved,3/25/2022,3/25/2022
566,,,No,,
567,,,Yes,,
568,,,No,,
569,,,No,,
571,,,Yes,,
572,,,Yes,,
573,,,No,,
574,,,No,,
575,,,Yes,,
576,,,Yes,,
577,,,No,,
578,,,No,,
579,,Complete,Already Approved,4/17/2018,4/17/2018
580,,Scheduled,Already Approved,8/24/2023,
581,,,Yes,,
582,,Complete,Already Approved,8/15/2017,8/15/2017
583,,,Yes,,
584,,,Yes,,
585,,,No,,
586,,,No,,
587,,,Yes,,
588,,,No,,
589,,,No,,
590,,,No,,
591,,,No,,
592,,,Yes,,
593,,,No,,
594,,,Yes,,
595,,Scheduled,Already Approved,8/12/2024,
596,,,No,,
598,,,No,,
599,,,No,,
600,,,No,,
601,,Complete,Already Approved,1/27/2021,1/27/2021
602,,Complete,Already Approved,6/12/2020,6/12/2020
603,,,No,,
604,,,Yes,,
605,,,No,,
606,,,No,,
607,,,No,,
608,,Complete,Already Approved,5/12/2021,5/12/2021
609,,,No,,
610,,,No,,
611,,,No,,
612,,,No,,
613,,Complete,Already Approved,4/19/2018,4/19/2018
614,,,No,,
615,,,No,,
616,,Complete,Already Approved,11/9/2022,11/9/2022
617,,,No,,
618,,Complete,Already Approved,6/9/2022,6/9/2022
619,,,No,,
620,,,No,,
621,,,Yes,,
622,,,No,,
623,,Scheduled,Already Approved,12/7/2023,
624,,,Yes,,
625,,,No,,
626,,,No,,
627,,,No,,
628,,,Yes,,
629,,,No,,
630,,,No,,
631,,,No,,
632,,,No,,
633,,,No,,
634,,,Yes,,
635,,,No,,
636,,,No,,
637,,,No,,
638,,,Yes,,
639,,Scheduled,Already Approved,1/2/2024,
640,,,No,,
641,,,No,,
642,,Scheduled,Already Approved,10/31/2023,
643,,,No,,
644,,,No,,
645,,,No,,
646,,,Yes,,
647,,,Yes,,
648,,,No,,
649,,Complete,Already Approved,7/25/2017,7/25/2017
651,,Scheduled,Already Approved,2/15/2024,
652,,,No,,
653,,,Yes,,
655,,,No,,
656,,,No,,
657,,,No,,
658,,,No,,
659,,,No,,
660,,,No,,
661,,,No,,
662,,,No,,
663,,,No,,
664,,,No,,
665,,,No,,
666,,Complete,Already Approved,4/23/2018,4/23/2018
667,,,No,,
668,,,No,,
669,,,No,,
670,,,No,,
671,,Scheduled,Already Approved,8/1/2023,
672,,,No,,
673,,,Yes,,
674,,,No,,
675,,,No,,
676,,,No,,
677,,,No,,
678,,,Yes,,
680,,,No,,
681,,,No,,
682,,,No,,
683,,,No,,
684,,,Yes,,
685,,,No,,
686,,,No,,
687,,,Yes,,
688,,Complete,Already Approved,2/21/2023,2/21/2023
689,,,No,,
690,,,No,,
691,,,No,,
692,,,Yes,,
693,,,No,,
694,,,No,,
695,,,No,,
696,,,No,,
697,,,No,,
698,,,Yes,,
699,,,Yes,,
700,,,Yes,,
701,,,No,,
702,,,Yes,,
703,,Scheduled,Already Approved,5/3/2024,
705,,Complete,Already Approved,2/1/2018,2/1/2018
706,,Complete,Already Approved,4/9/2018,4/9/2018
707,,Delayed,Already Approved,,
708,,,Yes,,
709,,,No,,
710,,,Yes,,
711,,,Yes,,
712,,,No,,
713,,,No,,
714,,,No,,
715,,,No,,
716,,,No,,
718,,Scheduled,Already Approved,1/11/2024,
719,,,No,,
720,,,No,,
721,,Complete,Already Approved,8/29/2017,8/29/2017
722,,,No,,
723,,,No,,
724,,,No,,
725,,Complete,Already Approved,1/10/2018,1/10/2018
726,,,No,,
727,,,No,,
728,,,No,,
729,,,No,,
730,,,Yes,,
731,,,No,,
733,,,Yes,,
734,,,No,,
735,,,No,,
736,,,No,,
737,,,No,,
738,,,No,,
739,,,No,,
740,,,No,,
741,,,No,,
742,,,No,,
743,,Complete,Already Approved,12/30/2022,12/30/2022
744,,Complete,Already Approved,11/25/2020,11/25/2020
745,,,No,,
746,,,No,,
748,,,Yes,,
749,,,Yes,,
750,,,No,,
751,,,No,,
752,,Complete,Already Approved,7/27/2020,7/27/2020
753,,,No,,
754,,,No,,
755,,,No,,
756,,,No,,
757,,,No,,
758,,,No,,
759,,,No,,
760,,,No,,
761,,Scheduled,Already Approved,3/19/2024,
762,,,No,,
764,,,Yes,,
765,,,Yes,,
766,,,No,,
767,,Complete,Already Approved,5/23/2017,5/23/2017
768,,Complete,Already Approved,7/1/2019,7/1/2019
769,,Complete,Already Approved,3/20/2018,3/20/2018
770,,,Yes,,
771,,Complete,Already Approved,3/10/2020,3/10/2020
772,,Complete,Already Approved,1/5/2022,1/5/2022
773,,,Yes,,
774,,,No,,
775,,,No,,
776,,,No,,
777,,Complete,Already Approved,5/2/2023,5/2/2023
778,,Complete,Already Approved,3/15/2018,3/15/2018
779,,Scheduled,Already Approved,3/14/2024,
780,,,No,,
781,,,No,,
782,,,No,,
783,,,No,,
784,,,No,,
785,,,No,,
786,,,No,,
787,,,No,,
788,,,No,,
789,,,No,,
790,,,No,,
791,,Complete,Already Approved,6/30/2022,6/30/2022
792,,,No,,
793,,,No,,
794,,,Yes,,
795,,,No,,
796,,,Yes,,
797,,,No,,
798,,,Yes,,
799,,,No,,
800,,,No,,
801,,,No,,
802,,,No,,
803,,,No,,
804,,,No,,
805,,,No,,
806,,,No,,
807,,,Yes,,
808,,Scheduled,Already Approved,3/29/2024,
809,,,Yes,,
810,,,No,,
811,,Complete,Already Approved,3/13/2018,3/13/2018
812,,,Yes,,
813,,,No,,
814,,Complete,Already Approved,2/19/2018,2/19/2018
815,,,No,,
816,,,No,,
817,,,Yes,,
818,,,Yes,,
819,,Scheduled,Already Approved,1/4/2024,
820,,,No,,
821,,,Yes,,
822,,,Yes,,
823,,,No,,
824,,,No,,
825,,,Yes,,
826,,,No,,
827,,,Yes,,
828,,,No,,
829,,,No,,
830,,,No,,
833,,,Yes,,
834,,,No,,
835,,,Yes,,
836,,,No,,
837,,,Yes,,
838,,,No,,
839,,,No,,
840,,,No,,
841,,,No,,
842,,,No,,
843,,,No,,
844,,,Yes,,
845,,,No,,
846,,,No,,
847,,,No,,
848,,,No,,
849,,Complete,Already Approved,8/3/2020,8/3/2020
850,,,No,,
851,,,No,,
852,,,Yes,,
853,,Complete,Already Approved,4/28/2022,4/28/2022
854,,,No,,
855,,Pending,Already Approved,,
856,,,Yes,,
857,,Complete,Already Approved,2/13/2018,2/13/2018
858,,Scheduled,Already Approved,3/27/2024,
859,,Complete,Already Approved,1/17/2018,1/17/2018
860,,Complete,Already Approved,3/19/2018,3/19/2018
861,,,No,,
862,,,Yes,,
863,,,No,,
864,,,No,,
865,,,Yes,,
866,,,Yes,,
867,,,No,,
868,,,Yes,,
869,,Complete,Already Approved,6/1/2011,6/1/2011
870,,,No,,
871,,,No,,
872,,Complete,Already Approved,12/10/2020,12/10/2020
873,,,No,,
874,,,Yes,,
875,,,No,,
876,,,Yes,,
877,,,Yes,,
878,,,No,,
879,,,No,,
880,,,Yes,,
881,,,No,,
882,,,No,,
884,,,Yes,,
885,,,No,,
886,,,No,,
887,,Scheduled,Already Approved,3/28/2024,
888,,,No,,
889,,,Yes,,
890,,Complete,Already Approved,3/5/2018,3/5/2018
891,,,No,,
892,,,No,,
893,,,No,,
894,,,No,,
895,,,No,,
896,,Complete,Already Approved,9/9/2021,9/9/2021
897,,Complete,Already Approved,12/18/2020,12/18/2020
898,,,No,,
899,,,No,,
900,,,Yes,,
901,,,No,,
902,,,Yes,,
903,,,No,,
904,,,Yes,,
905,,,No,,
906,,,Yes,,
907,,,No,,
908,,Complete,Already Approved,2/5/2018,2/5/2018
909,,Scheduled,Already Approved,4/26/2024,
910,,,No,,
911,,Scheduled,Already Approved,3/19/2024,
912,,Complete,Already Approved,3/10/2022,3/10/2022
913,,,Yes,,
914,,,No,,
915,,Scheduled,Already Approved,1/22/2024,
916,,,Yes,,
917,,,No,,
918,,Complete,Already Approved,9/14/2022,9/14/2022
919,,,No,,
920,,,No,,
921,,Complete,Already Approved,6/1/2011,6/1/2011
922,,,No,,
923,,,Yes,,
924,,Complete,Already Approved,6/1/2011,6/1/2011
925,,,No,,
927,,Scheduled,Already Approved,9/7/2023,
928,,,No,,
929,,Complete,Already Approved,4/4/2017,4/4/2017
930,,,No,,
931,,Scheduled,Already Approved,2/20/2024,
932,,,No,,
933,,,No,,
934,,,Yes,,
935,,Pending,Already Approved,,
936,,,No,,
937,,,No,,
938,,,No,,
939,,Delayed,Already Approved,,
940,,Complete,Already Approved,10/5/2020,10/5/2020
941,,,No,,
942,,Complete,Already Approved,2/15/2018,2/15/2018
943,,Complete,Already Approved,10/25/2018,10/25/2018
944,,,No,,
945,,,Yes,,
947,,Complete,Already Approved,10/19/2020,10/19/2020
948,,,No,,
950,,,Yes,,
951,,,No,,
952,,,No,,
953,,,No,,
954,,Scheduled,Already Approved,8/10/2023,
955,,Complete,Already Approved,1/30/2018,1/30/2018
956,,,No,,
957,,,No,,
958,,,No,,
959,,,No,,
960,,Complete,Already Approved,5/23/2018,5/23/2018
961,,Scheduled,Already Approved,3/12/2024,
962,,,No,,
963,,,Yes,,
964,,,Yes,,
965,,,No,,
966,,,No,,
967,,,No,,
968,,,No,,
969,,,Yes,,
970,,,Yes,,
971,,,No,,
972,,Complete,Already Approved,11/13/2020,11/13/2020
973,,Scheduled,Already Approved,2/1/2024,
974,,Complete,Already Approved,10/3/2019,10/3/2019
975,,,No,,
976,,,No,,
977,,,No,,
978,,,No,,
979,,,No,,
980,,Complete,Already Approved,6/1/2011,6/1/2011
981,,,No,,
982,,,No,,
984,,,No,,
985,,,No,,
986,,,No,,
987,,Complete,Already Approved,6/13/2018,6/13/2018
988,,Complete,Already Approved,4/17/2018,4/17/2018
989,,Pending,Already Approved,,
990,,,No,,
991,,Scheduled,Already Approved,1/16/2024,
992,,,Yes,,
993,,,No,,
994,,Complete,Already Approved,4/19/2018,4/19/2018
995,,,Yes,,
996,,,No,,
998,,,Yes,,
999,,,Yes,,
1000,,Scheduled,Already Approved,2/22/2024,
1001,,,No,,
1002,,,Yes,,
1003,,,No,,
1004,,Complete,Already Approved,3/31/2017,3/31/2017
1005,,,No,,
1006,,,Yes,,
1007,,,No,,
1008,,,No,,
1009,,,No,,
1010,,,No,,
1011,,,No,,
1012,,,No,,
1013,,,No,,
1014,,,No,,
1015,,,No,,
1016,,Scheduled,Already Approved,5/31/2024,
1017,,Complete,Already Approved,9/14/2022,9/14/2022
1018,,,Yes,,
1019,,,No,,
1020,,,No,,
1021,,,No,,
1022,,,Yes,,
1023,,,No,,
1024,,Scheduled,Already Approved,1/2/2024,
1025,,Complete,Already Approved,6/22/2023,6/22/2023
1026,,,No,,
1027,,,No,,
1028,,,No,,
1029,,Scheduled,Already Approved,4/9/2024,
1030,,,Yes,,
1032,,,No,,
1033,,,No,,
1034,,,No,,
1035,,Delayed,Already Approved,,
1036,,,No,,
1037,,,No,,
1038,,,No,,
1039,,,No,,
1040,,Complete,Already Approved,7/22/2019,7/22/2019
1041,,Complete,Already Approved,1/26/2023,1/26/2023
1042,,,No,,
1043,,,Yes,,
1044,,Complete,Already Approved,12/13/2021,12/13/2021
1045,,Complete,Already Approved,6/1/2011,6/1/2011
1046,,,No,,
1047,,,Yes,,
1048,,,Yes,,
1051,,,No,,
1052,,,No,,
1053,,,No,,
1054,,,Yes,,
1055,,,Yes,,
1056,,Scheduled,Already Approved,8/29/2023,
1057,,,Yes,,
1058,,,No,,
1059,,,Yes,,
1060,,Complete,Already Approved,10/13/2013,10/13/2013
1061,,Scheduled,Already Approved,3/28/2024,
1062,,Complete,Already Approved,2/26/2021,2/26/2021
1063,,,No,,
1064,,,Yes,,
1065,,,Yes,,
1066,,Scheduled,Already Approved,11/2/2023,
1067,,,No,,
1068,,Complete,Already Approved,2/15/2018,2/15/2018
1069,,,Yes,,
1070,,,No,,
1071,,,No,,
1072,,,No,,
1073,,,Yes,,
1074,,Complete,Already Approved,4/20/2022,4/20/2022
1075,,,Yes,,
1076,,,No,,
1077,,,No,,
1078,,,No,,
1079,,Scheduled,Already Approved,12/13/2023,
1080,,,No,,
1081,,Scheduled,Already Approved,3/22/2024,
1082,,,No,,
1083,,Scheduled,Already Approved,9/29/2023,
1084,,,No,,
1085,,Complete,Already Approved,5/1/2018,5/1/2018
1086,,Scheduled,Already Approved,1/4/2024,
1087,,Complete,Already Approved,11/8/2017,11/8/2017
1088,,Scheduled,Already Approved,8/3/2023,
1089,,,No,,
1090,,,No,,
1091,,,Yes,,
1093,,,Yes,,
1094,,,No,,
1095,,,No,,
1096,,,No,,
1097,,,Yes,,
1098,,Scheduled,Already Approved,5/17/2024,
1099,,,No,,
1100,,,Yes,,
1101,,,No,,
1102,,Scheduled,Already Approved,9/20/2023,
1103,,Complete,Already Approved,6/13/2019,6/13/2019
1104,,Complete,Already Approved,5/21/2018,5/21/2018
1105,,,No,,
1106,,,Yes,,
1107,,Pending,Already Approved,,
1108,,,No,,
1109,,,Yes,,
1110,,,Yes,,
1111,,,No,,
1112,,,No,,
1113,,,Yes,,
1114,,Complete,Already Approved,6/25/2019,6/25/2019
1115,,,No,,
1116,,,Yes,,
1117,,,Yes,,
1118,,,Yes,,
1119,,,No,,
1120,,,No,,
1121,,,Yes,,
1122,,,Yes,,
1123,,,Yes,,
1124,,,No,,
1125,,,No,,
1126,,,Yes,,
1128,,,No,,
1129,,,Yes,,
1130,,,No,,
1131,,,No,,
1132,,,No,,
1133,,,No,,
1134,,Scheduled,Already Approved,3/29/2024,
1135,,Scheduled,Already Approved,11/14/2023,
1136,,Pending,Already Approved,,
1137,,Scheduled,Already Approved,5/3/2024,
1138,,,No,,
1139,,,No,,
1140,,,Yes,,
1141,,,No,,
1142,,,No,,
1143,,,Yes,,
1144,,,Yes,,
1146,,,No,,
1147,,Complete,Already Approved,6/18/2019,6/18/2019
1148,,Complete,Already Approved,5/31/2023,5/31/2023
1149,,,Yes,,
1150,,,Yes,,
1151,,,No,,
1152,,,No,,
1153,,,No,,
1154,,,No,,
1155,,,No,,
1156,,,No,,
1157,,,No,,
1158,,,Yes,,
1159,,,No,,
1160,,,No,,
1161,,,No,,
1162,,,No,,
1163,,Scheduled,Already Approved,2/27/2024,
1164,,,No,,
1165,,,No,,
1166,,,No,,
1167,,,Yes,,
1168,,,No,,
1169,,,No,,
1170,,,No,,
1171,,Complete,Already Approved,3/24/2020,3/24/2020
1172,,,No,,
1173,,,Yes,,
1174,,Complete,Already Approved,4/18/2022,4/18/2022
1175,,,No,,
1176,,,Yes,,
1177,,,No,,
1178,,,No,,
1179,,,No,,
1180,,,Yes,,
1181,,,No,,
1182,,Complete,Already Approved,6/6/2017,6/6/2017
1183,,,No,,
1184,,,No,,
1185,,,No,,
1186,,Scheduled,Already Approved,7/20/2023,
