BU,Building Assignment,Organization ,Business Unit,Function
Global Finance,Purpose,Corporate Functions,Global Finance,Enterprise Finance
Global Finance,Purpose,Corporate Functions,Global Finance,Enterprise Strategy
Global Finance,Cheer,Corporate Functions,Global Finance,Fashion Merch Finance
Global Finance,Moon Pie,Corporate Functions,Global Finance,Food Merch Finance
Global Finance,Hula,Corporate Functions,Global Finance,General Merch Finance
Global Finance,Purpose,Corporate Functions,Global Finance,Global Controllership
Global Finance,Upstream,Corporate Functions,Global Finance,Health and Wellness Contollership
Global Finance,Upstream,Corporate Functions,Global Finance,Health and Wellness Finance
Global Finance,Maverick,Corporate Functions,Global Finance,Indirect Spend Management
Global Finance,Purpose,Corporate Functions,Global Finance,International Finance and Controller
Global Finance,Purpose,Corporate Functions,Global Finance,Investor Relations
Global Finance,Purpose,Corporate Functions,Global Finance,ONE Integration & Financial Services
Global Finance,Update Coming Soon,Corporate Functions,Global Finance,Procurement
Global Finance,,Corporate Functions,Global Finance,Customer Care
Global Finance,Sparky,Corporate Functions,Global Finance,Risk and Benefits Finance
Global Finance,Together,Corporate Functions,Global Finance,Store Operations Controllership
Global Finance,Together,Corporate Functions,Global Finance,Store Operations Finance
Global Finance,Change,Corporate Functions,Global Finance,Supply Chain and Ops/​Real Estate Controllership
Global Finance,Change,Corporate Functions,Global Finance,Supply Chain Finance
Global Finance,Maverick,Corporate Functions,Global Finance,"Tax, Tech Finance, Finance Transformation, Walmart Claims Services"
Global Finance,Purpose,Corporate Functions,Global Finance,Technology Transformation and Data Governance
Global Finance,Purpose,Corporate Functions,Global Finance,Treasury
Global Finance,Purpose,Corporate Functions,Global Finance,WMUS ONE Integration and Financial Services
Global Governance,Trust,Corporate Functions,Global Governance,"US Operations, US Legal"
Global Governance,Trust,Corporate Functions,Global Governance,Centers of Excellence – US Legal​
Global Governance,Trust,Corporate Functions,Global Governance,Corporate Secretary 
Global Governance,Trust,Corporate Functions,Global Governance,Digital Citizenship
Global Governance,Trust,Corporate Functions,Global Governance,"eDiscovery and Strategy,Risk and Ops "
Global Governance,Trust,Corporate Functions,Global Governance,Emergency Management 
Global Governance,Trust,Corporate Functions,Global Governance,Global Ethics and Compliance
Global Governance,Trust,Corporate Functions,Global Governance,Global Investigations
Global Governance,DGTC,Corporate Functions,Global Governance,Global Security
Global Governance,Purpose,Corporate Functions,Global Governance,Global Security
Global Governance,Upstream,Corporate Functions,Global Governance,Health and Wellness Ethics and Compliance
Global Governance,Purpose,Corporate Functions,Global Governance,International Legal and Compliance
Global Governance,Trust,Corporate Functions,Global Governance,Litigation
Global Governance,Together,Corporate Functions,Global Governance,Operations Legal 
Global Governance,Trust,Corporate Functions,Global Governance,"Physical Security, Security Tech, and Facility Protection"
Global Governance,Trust,Corporate Functions,Global Governance,Regulatory and Specialty Legal
Global Governance,Trust,Corporate Functions,Global Governance,Strategic Security
Global Governance,Trust,Corporate Functions,Global Governance,Threat Management
Global Governance,Trust,Corporate Functions,Global Governance,Vetting
Global People,Sparky,Corporate Functions,Global People,Global Associate Relations
Global People,Purpose,Corporate Functions,Global People,Global Finance
Global People,Sparky,Corporate Functions,Global People,Global People Programs and Strategy
Global People,Sparky,Corporate Functions,Global People,Global People Strategy and Innovation
Global People,Sparky,Corporate Functions,Global People,Global Talent and Learning
Global People,Sparky,Corporate Functions,Global People,"Global Tech, Services and Corp Functions"
Global People,Upstream,Corporate Functions,Global People,Health and Wellness 
Global People,Together,Walmart US,Global People,Innovation & Transformation
Global People,Purpose,Corporate Functions,Global People,International People
Global People,Hula,Corporate Functions,Global People,Merch 
Global People,Sparky,Corporate Functions,Global People,People Product and Design
Global People,Upstream,Corporate Functions,Global People,Product and Customer 
Global People,Upstream,Corporate Functions,Global People,Revenue and Customer
Global People,Sparky,Corporate Functions,Global People,Total Rewards
Global People ,Together,Corporate Functions,Global People ,End to End 
Global People ,Together,Walmart US,Global People ,Store Operations
Global Tech Platforms,DGTC,Global Tech,Global Tech Platforms,Global Tech Platforms
Health and Wellness,Upstream,Walmart US,Health and Wellness,Health and Wellness
Information Security,DGTC,Global Tech,Information Security,Information Security
International,Purpose,International,International,International Marketplace Development
International,Purpose,International,International,International Product
International,Purpose,International,International,Operations and Supply Chain 
International,Purpose,International,International,Strategy & Development
International Tech,Moon Pie,Global Tech,International Tech,International Technology
Marketing,Upstream,Walmart US,Marketing,Marketing
Merchandising,Ol' Roy,Walmart US,Merchandising,Centralized Merch Ops
Merchandising,Ol' Roy,Walmart US,Merchandising,Consumables Merch
Merchandising,Ol' Roy,Walmart US,Merchandising,Consumables Merch Ops
Merchandising,Cheer,Walmart US,Merchandising,Fashion
Merchandising,Cheer,Walmart US,Merchandising,Fashion Merch Ops
Merchandising,Moon Pie,Walmart US,Merchandising,Food Merch
Merchandising,Moon Pie,Walmart US,Merchandising,Food Merch Ops
Merchandising,Hula,Walmart US,Merchandising,"General Merch - Entertainment, Toys, Seasonal, Home and Hardlines "
Merchandising,Hula,Walmart US,Merchandising,General Merch - Merch Ops
Merchandising,Ol' Roy,Walmart US,Merchandising,Merch Transformation
Merchandising,Hula,Walmart US,Merchandising,Merchandise Strategy 
Product,Upstream,Walmart US,Product,Product and Design
Realty,Always,Walmart US,Realty,Realty
Revenue,Upstream,Walmart US,Revenue,Revenue
Sourcing,Ol' Roy,International,Sourcing,Consumables Sourcing
Sourcing,Moon Pie,International,Sourcing,Food Sourcing
Sourcing,Hula,International,Sourcing,General Merch Sourcing
Sourcing,Upstream,International,Sourcing,Health and Wellness Sourcing
Sourcing,Purpose,International,Sourcing,International Global Sourcing
Store Operations,Together,Walmart US,Store Operations,WMUS Store Operations
Technology Strategy and Commercialization,DGTC,Global Tech,Technology Strategy and Commercialization,Technology Strategy and Commercialization
US Omni Tech,DGTC,Global Tech,US Omni Tech,Commerce Platforms and Emerging Tech
US Omni Tech,Hula,Global Tech,US Omni Tech,Merch Tech
US Omni Tech,Always,Global Tech,US Omni Tech,Store Tech
US Omni Tech,DGTC,Global Tech,US Omni Tech,US Omni Tech
