Store Number,Contact Name,Vendor Name,Vendor Number,Phone Number,Notes 1,Notes 2,Notes 3  - none,,,
3439,Richard Bonner,BONNER PRODUCE,664642,251-366-6669,Same Day DELIVERY if ordered by 8am,,,,,
5845,Richard Bonner,BONNER PRODUCE,664642,251-366-6669,Same Day DELIVERY if ordered by 8am,,,,,
5872,Richard Bonner,BONNER PRODUCE,664642,251-366-6669,Same Day DELIVERY if ordered by 8am,,,,,
1207,Alan Cattell,CAITO Food Service Inc (FL),513267,800-428-8078,Next Day DELIVERY only,,,,,
1032,Alan Cattell,CAITO Food Service Inc (FL),513267,800-428-8078,Next Day DELIVERY only,,,,,
3075,Alan Cattell,CAITO Food Service Inc (FL),513267,800-428-8078,Next Day DELIVERY only,,,,,
818,Alan Cattell,CAITO Food Service Inc (FL),513267,800-428-8078,Next Day DELIVERY only,,,,,
3119,Alan Cattell,CAITO Food Service Inc (FL),513267,800-428-8078,Next Day DELIVERY only,,,,,
3439,Calvin Sealy,Matrana's Produce,255983,504-341-0940,Devliered Thursday,,,,,
944,Lonora Swilley,Sunrise Fresh,535294,601-213-4008 ext 6106,Same Day DELIVERY if ordered by 8am,,,,,
5363,Jonathan Collins,COLLINS BROS PRODUCE,454261,404-968-7750 ,Same Day DELIVERY if ordered by 8am,OR:  Taylor Farms (ven 609201) SAME DAY service: 912-526-0611,,,,
1284,Brian Ganus ,D&L Produce / Brian Ganus,141492,205-965-3262,Same Day DELIVERY if ordered by 8am,,,,,
932,Jackie Owens  ,FIRST CLASS PRODUCE,479023,404-391-5840,Same Day DELIVERY if ordered by 8am,,,,,
1311,Adam Esser,Freshpoint Atlanta,357573,470-532-3690,Next day delivery only,D&L Produce / Brian Ganus- Same day delivery if ordered by 8am,,,,
1338,Adam Esser,Freshpoint Atlanta,357573,470-532-3690,Next day delivery only,D&L Produce / Brian Ganus- Same day delivery if ordered by 8am,,,,
4200,Adam Esser,Freshpoint Atlanta,357573,470-532-3690,Next day delivery only,D&L Produce / Brian Ganus- Same day delivery if ordered by 8am,ALSO: First Class Produce - 404-391-6924,,,
4283,Adam Esser,Freshpoint Atlanta,357573,470-532-3690,Next day delivery only,D&L Produce / Brian Ganus- Same day delivery if ordered by 8am,,,,
614,Adam Esser,Freshpoint Atlanta,357573,470-532-3690,Next day delivery only,First Class Produce- Same day delivery if ordered by 8am,,,,
494,Adam Esser,Freshpoint Atlanta,357573,470-532-3690,Next day delivery only,First Class Produce- Same day delivery if ordered by 8am,,,,
3461,Adam Esser,Freshpoint Atlanta,357573,470-532-3690,Next day delivery only,Collins Bros Produce- Same day delivery if ordered by 8am,OR:  Taylor Farms (ven 609201) SAME DAY service: 912-526-0611,,,
1112,Alan Taylor,TAYLOR FAMILY FARMS,609201,912-526-0611/912-245-1234,Next Day DELIVERY only,,,,,
3485,Jackie Owens  ,FIRST CLASS PRODUCE,479023,404-391-5840,Same Day DELIVERY if ordered by 8am,30 case minimum ,,,,
5812,Jackie Owens  ,FIRST CLASS PRODUCE,479023,404-391-5840,Same Day DELIVERY if ordered by 8am,,,,,
2753,Jackie Owens  ,FIRST CLASS PRODUCE,479023,404-391-5840,Same Day DELIVERY if ordered by 8am,40 case minimum,,,,
4616,Jackie Owens  ,FIRST CLASS PRODUCE,479023,404-391-5840,Same Day DELIVERY if ordered by 8am,40 case minimum,,,,
1403,Jackie Owens  ,FIRST CLASS PRODUCE,479023,404-391-5840,Same Day DELIVERY if ordered by 8am,,,,,
2513,Jackie Owens  ,FIRST CLASS PRODUCE,479023,404-391-5840,Same Day DELIVERY if ordered by 8am,30 case minimum ,,,,
3874,Jackie Owens  ,FIRST CLASS PRODUCE,479023,404-391-5840,Same Day DELIVERY if ordered by 8am,30 case minimum ,,,,
1070,Jackie Owens  ,FIRST CLASS PRODUCE,479023,404-391-5840,Same Day DELIVERY if ordered by 8am,,,,,
5786,Jackie Owens  ,FIRST CLASS PRODUCE,479023,404-391-5840,Same Day DELIVERY if ordered by 8am,,,,,
1122,Adam Esser,Freshpoint Atlanta,357573,470-532-3690,Next day delivery only,First Class Produce- Same day delivery if ordered by 8am- 30 case min,,,,
6998,Jonathan Collins,COLLINS BROS PRODUCE,454261,404-968-7750 ,Same Day DELIVERY if ordered by 8am,,,,,
5709,Jackie Owens  ,FIRST CLASS PRODUCE,479023,404-391-5840,Same Day DELIVERY if ordered by 8am,,,,,
3709,Adam Esser,Freshpoint Atlanta,357573,470-532-3690,Next day delivery only,Taylor Family Farms- Same day delivery if ordered by 8am,"ALSO:  Collins Bros, Vendor#454261, SAME DAY service: 404-968-7750",,,
3741,Adam Esser,Freshpoint Atlanta,357573,470-532-3690,Next day delivery only,Taylor Family Farms- Same day delivery if ordered by 8am,,,,
3401,Adam Esser,Freshpoint Atlanta,357573,470-532-3690,Next day delivery only,Taylor Family Farms- Same day delivery if ordered by 8am,"ALSO:  Collins Bros, Vendor#454261, SAME DAY service: 404-968-7750",,,
3201,Adam Esser,Freshpoint Atlanta,357573,470-532-3690,Next day delivery only,First Class Produce- Same day delivery if ordered by 8am,,,,
745,Adam Esser,Freshpoint Atlanta,357573,470-532-3690,Next day delivery only,Taylor Family Farms- Same day delivery if ordered by 8am,,,,
3402,Adam Esser,Freshpoint Atlanta,357573,470-532-3690,Next day delivery only,First Class Produce- Same day delivery if ordered by 8am,,,,
3609,Alan Taylor,TAYLOR FAMILY FARMS,609201,912-526-0611/912-245-1234,Same Day DELIVERY if ordered by 8am,,,,,
2475,Adam Esser,Freshpoint Atlanta,357573,470-532-3690,Next day delivery only,Collins Bros Produce- Same day delivery if ordered by 8am,OR:  Taylor Farms (ven 609201) SAME DAY service: 912-526-0611,,,
3118,Adam Esser,Freshpoint Atlanta,357573,470-532-3690,Next day delivery only,Collins Bros Produce- Same day delivery if ordered by 8am,OR:  Taylor Farms (ven 609201) NEXT DAY service: 912-526-0611,,,
3710,Adam Esser,Freshpoint Atlanta,357573,470-532-3690,Next day delivery only,Collins Bros Produce- Same day delivery if ordered by 8am,OR:  Taylor Farms (ven 609201) SAME DAY service: 912-526-0611,,,
1340,Adam Esser,Freshpoint Atlanta,357573,470-532-3690,Next day delivery only,Taylor Family Farms- Same day delivery if ordered by 8am,,,,
4472,Adam Esser,Freshpoint Atlanta,357573,470-532-3690,Next day delivery only,Taylor Family Farms- Same day delivery if ordered by 8am,,,,
3067,Adam Esser,Freshpoint Atlanta,357573,470-532-3690,Next day delivery only,First Class Produce- Same day delivery if ordered by 8am,"OR:  Collins Bros, Vendor#454261, SAME DAY service: 404-968-7750",,,
1184,Adam Esser,Freshpoint Atlanta,357573,470-532-3690,Next day delivery only,Taylor Family Farms- Same day delivery if ordered by 8am,"ALSO:  Collins Bros, Vendor#454261, SAME DAY service: 404-968-7750",,,
3188,Adam Esser,Freshpoint Atlanta,357573,470-532-3690,Next day delivery only,Taylor Family Farms- Same day delivery if ordered by 8am,,,,
2584,Adam Esser,Freshpoint Atlanta,357573,470-532-3690,Next day delivery only,Collins Bros Produce- Same day delivery if ordered by 8am- 25 cases minimum,OR:  Taylor Farms (ven 609201) SAME DAY service: 912-526-0611,,,
5482,Jonathan Collins,COLLINS BROS PRODUCE,454261,404-968-7750 ,Same Day DELIVERY if ordered by 8am,25 cases minimum,,,,
1121,Jonathan Collins,COLLINS BROS PRODUCE,454261,404-968-7750 ,Same Day DELIVERY if ordered by 8am,Collins Bros Produce- Same day delivery if ordered by 8am- 25 cases minimum,,,,
1701,,"Div 1 Store, must confirm",,,D1 - DC Serviced,,,,,
3,Jackie Owens  ,FIRST CLASS PRODUCE,479023,404-391-5840,Same Day DELIVERY if ordered by 8am,,,,,
3627,Jackie Owens  ,FIRST CLASS PRODUCE,479023,404-391-5840,Same Day DELIVERY if ordered by 8am,,,,,
1400,Adam Esser,Freshpoint Atlanta,357573,470-532-3690,Next day delivery only,First Class Produce- Same day delivery if ordered by 8am,,,,
2811,Adam Esser,Freshpoint Atlanta,357573,470-532-3690,Next day delivery only,First Class Produce- Same day delivery if ordered by 8am,,,,
510,Adam Esser,Freshpoint Atlanta,357573,470-532-3690,Next day delivery only,First Class Produce- Same day delivery if ordered by 8am,"OR:  Collins Bros, Vendor#454261, SAME DAY service: 404-968-7750",,,
1363,Adam Esser,Freshpoint Atlanta,357573,470-532-3690,Next day delivery only,First Class Produce- Same day delivery if ordered by 8am,,,,
3,Adam Esser,Freshpoint Atlanta,357573,(470) 532-3690,Next Day DELIVERY only,,,,,
1121,Adam Esser,Freshpoint Atlanta,357573,(470) 532-3690,Next Day DELIVERY only,,,,,
856,Jonathan Collins,COLLINS BROS PRODUCE,454261,404-968-7750 ,Same Day DELIVERY if ordered by 8am,OR:  Taylor Farms (ven 609201) SAME DAY service: 912-526-0611,,,,
3205,Jonathan Collins,COLLINS BROS PRODUCE,454261,404-968-7750 ,Same Day DELIVERY if ordered by 8am,OR:  Taylor Farms (ven 609201) SAME DAY service: 912-526-0611,,,,
1047,Jonathan Collins,COLLINS BROS PRODUCE,454261,404-968-7750 ,Same Day DELIVERY if ordered by 8am,OR:  Taylor Farms (ven 609201) SAME DAY service: 912-526-0611,,,,
2732,Jonathan Collins,COLLINS BROS PRODUCE,454261,404-968-7750 ,Same Day DELIVERY if ordered by 8am,OR:  Taylor Farms (ven 609201) SAME DAY service: 912-526-0611,,,,
727,Jackie Owens  ,FIRST CLASS PRODUCE,479023,404-391-5840,Same Day DELIVERY if ordered by 8am,,,,,
4409,Jackie Owens  ,FIRST CLASS PRODUCE,479023,404-391-5840,Same Day DELIVERY if ordered by 8am,,,,,
722,Adam Esser,Freshpoint Atlanta,357573,470-532-3690,Next day delivery only,"OR:  Collins Bros, Vendor#454261, SAME DAY service: 404-968-7750",OR:  Taylor Farms (ven 609201) SAME DAY service: 912-526-0611,,,
1488,Adam Esser,Freshpoint Atlanta,357573,470-532-3690,Next day delivery only,Collins Bros Produce- Same day delivery if ordered by 8am,OR:  Taylor Farms (ven 609201) SAME DAY service: 912-526-0611,,,
594,Adam Esser,Freshpoint Atlanta,357573,470-532-3690,Next day delivery only,Collins Bros Produce- Same day delivery if ordered by 8am,OR:  Taylor Farms (ven 609201) SAME DAY service: 912-526-0611,,,
787,Adam Esser,Freshpoint Atlanta,357573,470-532-3690,Next day delivery only,Collins Bros Produce- Same day delivery if ordered by 8am,OR:  Taylor Farms (ven 609201) SAME DAY service: 912-526-0611,,,
855,Adam Esser,Freshpoint Atlanta,357573,470-532-3690,Next day delivery only,Collins Bros Produce- Same day delivery if ordered by 8am,OR:  Taylor Farms (ven 609201) SAME DAY service: 912-526-0611,,,
5926,Adam Esser,Freshpoint Atlanta,357573,(470) 532-3690,Next Day DELIVERY only,,,,,
3008,Adam Esser,Freshpoint Atlanta,357573,470-532-3690,Next day delivery only,First Class Produce- Same day delivery if ordered by 8am,,,,
3775,Adam Esser,Freshpoint Atlanta,357573,470-532-3690,Next day delivery only,Taylor Family Farms- Same day delivery if ordered by 8am,"ALSO:  Collins Bros, Vendor#454261, SAME DAY service: 404-968-7750",,,
3621,Adam Esser,Freshpoint Atlanta,357573,470-532-3690,Next day delivery only,Taylor Family Farms- Same day delivery if ordered by 8am,"ALSO:  Collins Bros, Vendor#454261, SAME DAY service: 404-968-7750",,,
2360,Adam Esser,Freshpoint Atlanta,357573,470-532-3690,Next day delivery only,Taylor Family Farms- Same day delivery if ordered by 8am,,,,
1181,Adam Esser,Freshpoint Atlanta,357573,470-532-3690,Next day delivery only,Taylor Family Farms- Same day delivery if ordered by 8am,,,,
1766,Adam Esser,Freshpoint Atlanta,357573,470-532-3690,Next day delivery only,First Class Produce- Same day delivery if ordered by 8am,,,,
5390,Adam Esser,Freshpoint Atlanta,357573,470-532-3690,Next day delivery only,Taylor Family Farms- Same day delivery if ordered by 8am,,,,
1578,Adam Esser,Freshpoint Atlanta,357573,470-532-3690,Next day delivery only,First Class Produce- Same day delivery if ordered by 8am,,,,
7185,Jackie Owens  ,FIRST CLASS PRODUCE,479023,404-391-5840,Same Day DELIVERY if ordered by 8am,,,,,
