Store,Market,Region,City,State,Item Num,Item Desc,Preorder Qty,OH as of  6/4,Qty Need to cover Preorder,DC Send
1664,299,26,WILSON,NC,677465325,NSW2-NINTENDOSWTMK8,31,10,21,42
1677,189,76,NEW HARTFORD,NY,677465325,NSW2-NINTENDOSWTMK8,55,51,4,66
1688,289,75,VIRGINIA BEACH,VA,677465325,NSW2-NINTENDOSWTMK8,28,0,28,33
1688,289,75,VIRGINIA BEACH,VA,676540648,NSW2-NINTENDOSWITCH2,15,0,15,20
1688,289,75,VIRGINIA BEACH,VA,676541915,NSW2-PROCONTROLLER,11,0,11,16
1728,246,21,ANDERSON,IN,676541915,NSW2-PROCONTROLLER,17,16,1,24
1729,239,21,CONNERSVILLE,IN,676541915,NSW2-PROCONTROLLER,3,0,3,8
1730,287,75,TAPPAHANNOCK,VA,677465325,NSW2-NINTENDOSWTMK8,15,0,15,20
1730,287,75,TAPPAHANNOCK,VA,676541915,NSW2-PROCONTROLLER,6,0,6,12
1730,287,75,TAPPAHANNOCK,VA,676540648,NSW2-NINTENDOSWITCH2,5,0,5,10
1744,192,76,WEBSTER,NY,677465325,NSW2-NINTENDOSWTMK8,57,13,44,68
1874,118,9,ENGLEWOOD,FL,677465325,NSW2-NINTENDOSWTMK8,21,20,1,26
1992,462,58,UPLAND,CA,676540648,NSW2-NINTENDOSWITCH2,27,25,2,30
2000,301,26,KITTY HAWK,NC,677465325,NSW2-NINTENDOSWTMK8,23,11,12,34
2097,188,16,HUDSON,NY,676540648,NSW2-NINTENDOSWITCH2,9,0,9,15
2097,188,16,HUDSON,NY,677465325,NSW2-NINTENDOSWTMK8,25,20,5,31
2097,188,16,HUDSON,NY,676541915,NSW2-PROCONTROLLER,3,0,3,8
2120,190,17,NORWICH,NY,676541915,NSW2-PROCONTROLLER,5,0,5,16
2124,223,21,BEAVERCREEK,OH,676541915,NSW2-PROCONTROLLER,20,8,12,24
2124,223,21,BEAVERCREEK,OH,676540648,NSW2-NINTENDOSWITCH2,26,25,1,30
2135,190,17,COBLESKILL,NY,676540648,NSW2-NINTENDOSWITCH2,10,0,10,15
2309,221,21,WEST CHESTER,OH,676541915,NSW2-PROCONTROLLER,18,16,2,24
2518,178,22,HAMILTON,NJ,676540648,NSW2-NINTENDOSWITCH2,27,25,2,30
2533,14,14,GULF BREEZE,FL,676540648,NSW2-NINTENDOSWITCH2,13,0,13,15
2533,14,14,GULF BREEZE,FL,677465325,NSW2-NINTENDOSWTMK8,33,25,8,44
2580,300,4,CLINTON,NC,676540648,NSW2-NINTENDOSWITCH2,5,0,5,10
2580,300,4,CLINTON,NC,676541915,NSW2-PROCONTROLLER,1,0,1,8
2682,181,16,BERLIN,VT,676541915,NSW2-PROCONTROLLER,9,0,9,16
2715,143,13,DIBERVILLE,MS,677465325,NSW2-NINTENDOSWTMK8,35,10,25,46
2715,143,13,DIBERVILLE,MS,676540648,NSW2-NINTENDOSWITCH2,13,0,13,15
2715,143,13,DIBERVILLE,MS,676541915,NSW2-PROCONTROLLER,8,0,8,14
2717,141,13,HATTIESBURG,MS,676540648,NSW2-NINTENDOSWITCH2,9,-10,19,15
2717,141,13,HATTIESBURG,MS,677465325,NSW2-NINTENDOSWTMK8,20,10,10,25
2845,296,26,SILER CITY,NC,677465325,NSW2-NINTENDOSWTMK8,20,5,15,25
2846,144,11,OLIVE BRANCH,MS,676540648,NSW2-NINTENDOSWITCH2,12,10,2,15
2859,192,76,ROCHESTER,NY,676540648,NSW2-NINTENDOSWITCH2,24,5,19,30
2901,154,16,NORTHAMPTON,MA,676540648,NSW2-NINTENDOSWITCH2,12,0,12,15
2901,154,16,NORTHAMPTON,MA,676541915,NSW2-PROCONTROLLER,6,0,6,12
2967,225,21,FT WRIGHT,KY,676541915,NSW2-PROCONTROLLER,18,16,2,24
3053,471,60,EVERETT,WA,676541915,NSW2-PROCONTROLLER,14,4,10,20
3112,77,7,SAN ANTONIO,TX,676541915,NSW2-PROCONTROLLER,5,0,5,12
3262,216,20,CAMBRIDGE,OH,677465325,NSW2-NINTENDOSWTMK8,31,0,31,42
3262,216,20,CAMBRIDGE,OH,676540648,NSW2-NINTENDOSWITCH2,3,0,3,10
3337,165,22,RIO GRANDE,NJ,676541915,NSW2-PROCONTROLLER,9,4,5,20
3402,19,2,STOCKBRIDGE,GA,677465325,NSW2-NINTENDOSWTMK8,28,0,28,39
3435,249,41,GREENWOOD,IN,677465325,NSW2-NINTENDOSWTMK8,51,43,8,63
3484,14,14,PENSACOLA,FL,676541915,NSW2-PROCONTROLLER,6,0,6,12
3484,14,14,PENSACOLA,FL,677465325,NSW2-NINTENDOSWTMK8,26,25,1,32
3548,163,17,WATERBURY,CT,677465325,NSW2-NINTENDOSWTMK8,76,72,4,87
3701,302,26,MOUNT OLIVE,NC,677465325,NSW2-NINTENDOSWTMK8,13,10,3,18
3701,302,26,MOUNT OLIVE,NC,676540648,NSW2-NINTENDOSWITCH2,4,2,2,10
3747,239,21,MUNCIE,IN,676541915,NSW2-PROCONTROLLER,5,0,5,12
3785,14,14,PENSACOLA,FL,677465325,NSW2-NINTENDOSWTMK8,16,0,16,21
3785,14,14,PENSACOLA,FL,676540648,NSW2-NINTENDOSWITCH2,9,0,9,15
3785,14,14,PENSACOLA,FL,676541915,NSW2-PROCONTROLLER,6,0,6,12
3864,302,26,JACKSONVILLE,NC,677465325,NSW2-NINTENDOSWTMK8,24,10,14,35
4216,580,41,COLUMBUS,IN,676541915,NSW2-PROCONTROLLER,7,0,7,12
4237,42,4,INDIAN LAND,SC,677465325,NSW2-NINTENDOSWTMK8,27,0,27,38
4322,407,47,CRETE,NE,676541915,NSW2-PROCONTROLLER,2,1,1,8
4350,287,75,KILMARNOCK,VA,677465325,NSW2-NINTENDOSWTMK8,13,0,13,18
4350,287,75,KILMARNOCK,VA,676540648,NSW2-NINTENDOSWITCH2,4,0,4,10
4350,287,75,KILMARNOCK,VA,676541915,NSW2-PROCONTROLLER,3,0,3,8
4355,364,58,TAYLOR,AZ,677465325,NSW2-NINTENDOSWTMK8,13,9,4,19
4461,259,21,LOUISA,KY,677465325,NSW2-NINTENDOSWTMK8,18,3,15,23
4475,362,40,OLATHE,KS,676541915,NSW2-PROCONTROLLER,17,16,1,24
4556,29,4,SAVANNAH,GA,676541915,NSW2-PROCONTROLLER,2,1,1,8
4611,362,40,SHAWNEE,KS,676541915,NSW2-PROCONTROLLER,7,0,7,12
4623,288,75,NEWPORT NEWS,VA,677465325,NSW2-NINTENDOSWTMK8,26,5,21,31
4623,288,75,NEWPORT NEWS,VA,676540648,NSW2-NINTENDOSWITCH2,14,0,14,20
4623,288,75,NEWPORT NEWS,VA,676541915,NSW2-PROCONTROLLER,11,0,11,16
5072,465,57,TORRANCE,CA,676541915,NSW2-PROCONTROLLER,21,16,5,28
5174,1,14,SEMMES,AL,677465325,NSW2-NINTENDOSWTMK8,23,5,18,29
5174,1,14,SEMMES,AL,676540648,NSW2-NINTENDOSWITCH2,7,0,7,10
5174,1,14,SEMMES,AL,676541915,NSW2-PROCONTROLLER,3,0,3,8
5219,411,47,LAWRENCE,KS,676541915,NSW2-PROCONTROLLER,7,0,7,12
5345,508,75,DUNKIRK,MD,677465325,NSW2-NINTENDOSWTMK8,32,0,32,38
5345,508,75,DUNKIRK,MD,676540648,NSW2-NINTENDOSWITCH2,13,0,13,15
5345,508,75,DUNKIRK,MD,676541915,NSW2-PROCONTROLLER,11,0,11,16
5361,432,47,OMAHA,NE,676541915,NSW2-PROCONTROLLER,18,16,2,24
5441,411,47,TOPEKA,KS,676541915,NSW2-PROCONTROLLER,6,0,6,12
5489,310,4,PEMBROKE,NC,676540648,NSW2-NINTENDOSWITCH2,4,1,3,10
5743,299,26,GARNER,NC,676541915,NSW2-PROCONTROLLER,14,9,5,20
5847,290,75,POWHATAN,VA,677465325,NSW2-NINTENDOSWTMK8,25,0,25,30
5847,290,75,POWHATAN,VA,676540648,NSW2-NINTENDOSWITCH2,12,0,12,15
5847,290,75,POWHATAN,VA,676541915,NSW2-PROCONTROLLER,8,0,8,12
5851,301,26,GREENVILLE,NC,677465325,NSW2-NINTENDOSWTMK8,23,22,1,29
5894,91,9,OVIEDO,FL,676540648,NSW2-NINTENDOSWITCH2,18,17,1,20
6392,411,47,TOPEKA,KS,676541915,NSW2-PROCONTROLLER,2,0,2,8
6476,482,41,DANVILLE,IN,676541915,NSW2-PROCONTROLLER,3,0,3,8
6931,256,41,LOUISVILLE,KY,676541915,NSW2-PROCONTROLLER,7,0,7,12
7087,243,41,SALEM,IN,676541915,NSW2-PROCONTROLLER,2,0,2,8
