Store Number,Invoice Number,Date of Invoice,Total Amount,Out of Scope,Area of Machine,Memo,Comments
1296,1055990,3/21/2025,460.06,IMPROPER HANDLING - OTHER,OTHER,MISUSE: Operation of the equipment other than for its normal and intended purposes.,1/26/2025
2988,1055991,3/21/2025,425,NON DEVICE RELATED ISSUES,OTHER,COIN AUDIT: Coin Audit,1/26/2025
365,1055998,3/21/2025,943.78,NON DEVICE RELATED ISSUES,OTHER,THIRD PARTY EQUIPMENT: Machine has lost communication due to failure of network administered by third party,1/26/2025
2119,1056003,3/21/2025,672.8,IMPROPER HANDLING - OTHER,OTHER,MISUSE: Operation of the equipment other than for its normal and intended purposes.,1/26/2025
103,1056006,3/21/2025,300,SITE DECLINED TROUBLESHOOTING,OTHER,FAILURE TO TROUBLESHOOT: The site refused to work with trained help desk agent to resolve an issue which resulted in the dispatch of a technician.,1/27/2025
3516,1056009,3/21/2025,425,SITE DECLINED TROUBLESHOOTING,OTHER,FAILURE TO TROUBLESHOOT: The site refused to work with trained help desk agent to resolve an issue which resulted in the dispatch of a technician.,1/26/2025
396,1056011,3/21/2025,715.78,IMPROPER HANDLING - OTHER,BNR,PROCEDURE NEGLECT: The site failed to follow defined maintenance and auditing guidelines for the unit.,1/27/2025
8218,1056013,3/21/2025,764.53,SITE DECLINED TROUBLESHOOTING,OTHER,FAILURE TO TROUBLESHOOT: The site refused to work with trained help desk agent to resolve an issue which resulted in the dispatch of a technician.,1/27/2025
2617,1056021,3/21/2025,1536.18,IMPROPER HANDLING - OTHER,OTHER,PROCEDURE NEGLECT: The site failed to follow defined maintenance and auditing guidelines for the unit.,1/27/2025
5274,1056027,3/21/2025,313.5,SITE DECLINED TROUBLESHOOTING,BCR,FAILURE TO TROUBLESHOOT: The site refused to work with trained help desk agent to resolve an issue which resulted in the dispatch of a technician.,1/27/2025
6962,1056028,3/21/2025,789.03,ACTS OF NATURE,OTHER,ACTS OF NATURE: Damage to the system was due to an act of nature (earthquake flood tornado etc.).,1/27/2025
3465,1056038,3/21/2025,300,IMPROPER HANDLING - OTHER,OTHER,MISUSE: Operation of the equipment other than for its normal and intended purposes.,1/27/2025
5100,1056043,3/21/2025,300,SITE DECLINED TROUBLESHOOTING,OTHER,FAILURE TO TROUBLESHOOT: The site refused to work with trained help desk agent to resolve an issue which resulted in the dispatch of a technician.,1/27/2025
8139,1056053,3/21/2025,323.25,SITE DECLINED TROUBLESHOOTING,BCR,FAILURE TO TROUBLESHOOT: The site refused to work with trained help desk agent to resolve an issue which resulted in the dispatch of a technician.,1/27/2025
6455,1056060,3/21/2025,412.49,IMPROPER HANDLING - HOPPERS,BCR,MISUSE: Operation of the equipment other than for its normal and intended purposes.,1/27/2025
6367,1056065,3/21/2025,460.06,SITE DECLINED TROUBLESHOOTING,OTHER,FAILURE TO TROUBLESHOOT: The site refused to work with trained help desk agent to resolve an issue which resulted in the dispatch of a technician.,1/27/2025
5072,1056066,3/21/2025,300,IMPROPER HANDLING - CASSETTES,BNR,PROCEDURE NEGLECT: The site failed to follow defined maintenance and auditing guidelines for the unit.,1/27/2025
374,1056072,3/21/2025,425,NON DEVICE RELATED ISSUES,OTHER,COIN AUDIT: Coin Audit,1/27/2025
4874,1056079,3/21/2025,315,SITE DECLINED TROUBLESHOOTING,OTHER,FAILURE TO TROUBLESHOOT: The site refused to work with trained help desk agent to resolve an issue which resulted in the dispatch of a technician.,1/28/2025
6384,1056087,3/21/2025,300,CUSTOMER FAILED TO CANCEL CALL,OTHER,FAILURE TO CANCEL: Site resolved issue prior to technicians arrival and failed to give proper notification to cancel service call.,1/28/2025
8236,1056278,3/21/2025,1774.1,IMPROPER HANDLING - CASSETTES,BNR,LOSS OF COMPONENT: Site lost unit component parts through abuse neglect or failure to maintain the security of the equipment.,1/31/2025
3570,1056421,3/21/2025,300,NON DEVICE RELATED ISSUES,BCR,COIN AUDIT: Coin Audit,1/28/2025
1032,1056426,3/21/2025,300,NON DEVICE RELATED ISSUES,BCR,COIN AUDIT: Coin Audit,1/23/2025
5272,1056427,3/21/2025,327.9,NON DEVICE RELATED ISSUES,BCR,COIN AUDIT: Coin Audit,1/22/2025
1163,1056430,3/21/2025,395.96,IMPROPER HANDLING - OTHER,BNR,LOSS OF COMPONENT: Site lost unit component parts through abuse neglect or failure to maintain the security of the equipment.,1/28/2025
512,1056447,3/21/2025,727.65,NON DEVICE RELATED ISSUES,BCR,COIN AUDIT: Coin Audit,1/28/2025
3713,1056451,3/21/2025,300,IMPROPER HANDLING - VAULT,OTHER,PROCEDURE NEGLECT: The site failed to follow defined maintenance and auditing guidelines for the unit.,1/28/2025
1826,1056466,3/21/2025,300,CUSTOMER FAILED TO CANCEL CALL,BNR,FAILURE TO CANCEL: Site resolved issue prior to technicians arrival and failed to give proper notification to cancel service call.,1/28/2025
5338,1056467,3/21/2025,300,IMPROPER HANDLING - VAULT,OTHER,PROCEDURE NEGLECT: The site failed to follow defined maintenance and auditing guidelines for the unit.,1/28/2025
243,1056470,3/21/2025,1081.61,IMPROPER HANDLING - OTHER,BNR,PROCEDURE NEGLECT: The site failed to follow defined maintenance and auditing guidelines for the unit.,1/28/2025
6159,1056490,3/21/2025,324.75,IMPROPER HANDLING - OTHER,OTHER,FAILURE TO TROUBLESHOOT: The site refused to work with trained help desk agent to resolve an issue which resulted in the dispatch of a technician.,1/28/2025
4855,1056494,3/21/2025,318,IMPROPER HANDLING - HOPPERS,BCR,PROCEDURE NEGLECT: The site failed to follow defined maintenance and auditing guidelines for the unit.,1/28/2025
6421,1056506,3/21/2025,324.75,CUSTOMER FAILED TO CANCEL CALL,OTHER,FAILURE TO CANCEL: Site resolved issue prior to technicians arrival and failed to give proper notification to cancel service call.,1/29/2025
429,1056515,3/21/2025,324.75,IMPROPER HANDLING - OTHER,OTHER,PROCEDURE NEGLECT: The site failed to follow defined maintenance and auditing guidelines for the unit.,1/29/2025
4908,1056516,3/21/2025,784.46,IMPROPER HANDLING - OTHER,OTHER,MISUSE: Operation of the equipment other than for its normal and intended purposes.,1/29/2025
2451,1056519,3/21/2025,322.88,IMPROPER HANDLING - OTHER,OTHER,MISUSE: Operation of the equipment other than for its normal and intended purposes.,1/29/2025
3652,1056543,3/21/2025,300,IMPROPER HANDLING - SHUTTER,BNR,PROCEDURE NEGLECT: The site failed to follow defined maintenance and auditing guidelines for the unit.,1/27/2025
6942,1056834,3/21/2025,17.35,IMPROPER HANDLING - VAULT,OTHER,LOSS OF COMPONENT: Site lost unit component parts through abuse neglect or failure to maintain the security of the equipment.,1/2/2025
4503,1058378,3/21/2025,1611.63,IMPROPER HANDLING - CASSETTES,BNR,LOSS OF COMPONENT: Site lost unit component parts through abuse neglect or failure to maintain the security of the equipment.,2/4/2025
5122,1058386,3/21/2025,1633.96,IMPROPER HANDLING - CASSETTES,BNR,LOSS OF COMPONENT: Site lost unit component parts through abuse neglect or failure to maintain the security of the equipment.,2/4/2025
5996,1058666,3/21/2025,1604.18,IMPROPER HANDLING - CASSETTES,BNR,LOSS OF COMPONENT: Site lost unit component parts through abuse neglect or failure to maintain the security of the equipment.,2/5/2025
3169,1058676,3/21/2025,149.71,SITE DECLINED TROUBLESHOOTING,BNR,FAILURE TO TROUBLESHOOT: The site refused to work with trained help desk agent to resolve an issue which resulted in the dispatch of a technician.,1/9/2025
5070,1058682,3/21/2025,150.73,IMPROPER HANDLING - HOPPERS,BCR,MISUSE: Operation of the equipment other than for its normal and intended purposes.,1/12/2025
1411,1058683,3/21/2025,448.08,IMPROPER HANDLING - CASSETTES,BNR,MISUSE: Operation of the equipment other than for its normal and intended purposes.,1/12/2025
426,1058684,3/21/2025,213.51,IMPROPER HANDLING - OTHER,OTHER,LOSS OF COMPONENT: Site lost unit component parts through abuse neglect or failure to maintain the security of the equipment.,1/14/2025
248,1058690,3/21/2025,324.75,NON DEVICE RELATED ISSUES,BCR,COIN AUDIT: Coin Audit,1/30/2025
5702,1058694,3/21/2025,337.53,IMPROPER HANDLING - VAULT,OTHER,MISUSE: Operation of the equipment other than for its normal and intended purposes.,1/29/2025
6620,1058695,3/21/2025,917.46,ACTS OF NATURE,OTHER,ACTS OF NATURE: Damage to the system was due to an act of nature (earthquake flood tornado etc.).,1/26/2025
161,1058704,3/21/2025,2369.88,SITE DECLINED TROUBLESHOOTING,BNR,FAILURE TO TROUBLESHOOT: The site refused to work with trained help desk agent to resolve an issue which resulted in the dispatch of a technician.,1/28/2025
1979,1058715,3/21/2025,427.12,IMPROPER HANDLING - OTHER,OTHER,PROCEDURE NEGLECT: The site failed to follow defined maintenance and auditing guidelines for the unit.,1/28/2025
1106,1058717,3/21/2025,329.25,NON DEVICE RELATED ISSUES,OTHER,THIRD PARTY EQUIPMENT: Machine has lost communication due to failure of network administered by third party,1/29/2025
2249,1058718,3/21/2025,490.15,IMPROPER HANDLING - OTHER,OTHER,LOSS OF COMPONENT: Site lost unit component parts through abuse neglect or failure to maintain the security of the equipment.,1/31/2025
4321,1058724,3/21/2025,520,IMPROPER HANDLING - SHUTTER,BNR,MISUSE: Operation of the equipment other than for its normal and intended purposes.,1/29/2025
1115,1058725,3/21/2025,563.08,IMPROPER HANDLING - HOPPERS,BCR,MISUSE: Operation of the equipment other than for its normal and intended purposes.,1/29/2025
6671,1058727,3/21/2025,319.88,CUSTOMER FAILED TO CANCEL CALL,OTHER,FAILURE TO CANCEL: Site resolved issue prior to technicians arrival and failed to give proper notification to cancel service call.,1/29/2025
1397,1058736,3/21/2025,322.88,SITE DECLINED TROUBLESHOOTING,BNR,FAILURE TO TROUBLESHOOT: The site refused to work with trained help desk agent to resolve an issue which resulted in the dispatch of a technician.,1/29/2025
5929,1058739,3/21/2025,556.1,IMPROPER HANDLING - SHUTTER,BNR,MISUSE: Operation of the equipment other than for its normal and intended purposes.,1/29/2025
PR06270,1058746,3/21/2025,462.68,SITE DECLINED TROUBLESHOOTING,OTHER,FAILURE TO TROUBLESHOOT: The site refused to work with trained help desk agent to resolve an issue which resulted in the dispatch of a technician.,1/29/2025
5627,1058751,3/21/2025,300,IMPROPER HANDLING - OTHER,BNR,PROCEDURE NEGLECT: The site failed to follow defined maintenance and auditing guidelines for the unit.,1/29/2025
5312,1058765,3/21/2025,324.75,NON DEVICE RELATED ISSUES,BCR,COIN AUDIT: Coin Audit,1/30/2025
5102,1058769,3/21/2025,466.44,SITE DECLINED TROUBLESHOOTING,BNR,FAILURE TO TROUBLESHOOT: The site refused to work with trained help desk agent to resolve an issue which resulted in the dispatch of a technician.,1/29/2025
172,1058787,3/21/2025,300,NON DEVICE RELATED ISSUES,OTHER,COIN AUDIT: Coin Audit,1/29/2025
1439,1058788,3/21/2025,320.25,CUSTOMER FAILED TO CANCEL CALL,OTHER,FAILURE TO CANCEL: Site resolved issue prior to technicians arrival and failed to give proper notification to cancel service call.,1/30/2025
3367,1058791,3/21/2025,300,NON DEVICE RELATED ISSUES,BCR,COIN AUDIT: Coin Audit,1/30/2025
6363,1058810,3/21/2025,425,SITE DECLINED TROUBLESHOOTING,BNR,FAILURE TO TROUBLESHOOT: The site refused to work with trained help desk agent to resolve an issue which resulted in the dispatch of a technician.,1/29/2025
710,1058811,3/21/2025,329.25,SITE DECLINED TROUBLESHOOTING,BNR,FAILURE TO TROUBLESHOOT: The site refused to work with trained help desk agent to resolve an issue which resulted in the dispatch of a technician.,1/30/2025
2249,1058812,3/21/2025,1769.65,CUSTOMER FAILED TO CANCEL CALL,OTHER,FAILURE TO CANCEL: Site resolved issue prior to technicians arrival and failed to give proper notification to cancel service call.,1/30/2025
3477,1058817,3/21/2025,300,CUSTOMER FAILED TO CANCEL CALL,BNR,FAILURE TO CANCEL: Site resolved issue prior to technicians arrival and failed to give proper notification to cancel service call.,1/30/2025
1563,1058826,3/21/2025,2448.09,IMPROPER HANDLING - GAS SPRING,OTHER,MISUSE: Operation of the equipment other than for its normal and intended purposes.,1/30/2025
1253,1058834,3/21/2025,1810.54,IMPROPER HANDLING - OTHER,BNR,MISUSE: Operation of the equipment other than for its normal and intended purposes.,1/30/2025
5799,1058843,3/21/2025,300,CUSTOMER FAILED TO CANCEL CALL,OTHER,FAILURE TO CANCEL: Site resolved issue prior to technicians arrival and failed to give proper notification to cancel service call.,1/30/2025
5155,1058852,3/21/2025,324.2,NON DEVICE RELATED ISSUES,OTHER,COIN AUDIT: Coin Audit,1/30/2025
1173,1058872,3/21/2025,531.19,IMPROPER HANDLING - HOPPERS,BCR,FAILURE TO TROUBLESHOOT: The site refused to work with trained help desk agent to resolve an issue which resulted in the dispatch of a technician.,1/30/2025
7220,1058884,3/21/2025,460.06,IMPROPER HANDLING - OTHER,OTHER,MISUSE: Operation of the equipment other than for its normal and intended purposes.,1/30/2025
1056,1058885,3/21/2025,1202.13,IMPROPER HANDLING - OTHER,BNR,MISUSE: Operation of the equipment other than for its normal and intended purposes.,1/30/2025
1920,1058889,3/21/2025,816.7,IMPROPER HANDLING - OTHER,BNR,MISUSE: Operation of the equipment other than for its normal and intended purposes.,1/30/2025
5285,1058895,3/21/2025,327.02,IMPROPER HANDLING - OTHER,OTHER,MISUSE: Operation of the equipment other than for its normal and intended purposes.,2/3/2025
337,1058896,3/21/2025,300,IMPROPER HANDLING - HOPPERS,BCR,PROCEDURE NEGLECT: The site failed to follow defined maintenance and auditing guidelines for the unit.,1/31/2025
6402,1058917,3/21/2025,320.25,CUSTOMER FAILED TO CANCEL CALL,OTHER,FAILURE TO CANCEL: Site resolved issue prior to technicians arrival and failed to give proper notification to cancel service call.,1/31/2025
1059,1058918,3/21/2025,810.03,ACTS OF NATURE,OTHER,ACTS OF NATURE: Damage to the system was due to an act of nature (earthquake flood tornado etc.).,1/31/2025
5419,1058921,3/21/2025,321,SITE DECLINED TROUBLESHOOTING,BNR,FAILURE TO TROUBLESHOOT: The site refused to work with trained help desk agent to resolve an issue which resulted in the dispatch of a technician.,1/31/2025
849,1058926,3/21/2025,523.63,IMPROPER HANDLING - SHUTTER,BNR,MISUSE: Operation of the equipment other than for its normal and intended purposes.,1/31/2025
7129,1058928,3/21/2025,321,SITE DECLINED TROUBLESHOOTING,OTHER,FAILURE TO TROUBLESHOOT: The site refused to work with trained help desk agent to resolve an issue which resulted in the dispatch of a technician.,1/31/2025
4603,1058948,3/21/2025,300,IMPROPER HANDLING - OTHER,BNR,MISUSE: Operation of the equipment other than for its normal and intended purposes.,1/31/2025
2571,1058956,3/21/2025,330.6,NON DEVICE RELATED ISSUES,OTHER,COIN AUDIT: Coin Audit,1/31/2025
3757,1058976,3/21/2025,917.59,IMPROPER HANDLING - CASSETTES,BNR,PROCEDURE NEGLECT: The site failed to follow defined maintenance and auditing guidelines for the unit.,1/31/2025
3271,1058987,3/21/2025,1470.23,IMPROPER HANDLING - OTHER,BNR,MISUSE: Operation of the equipment other than for its normal and intended purposes.,2/1/2025
1847,1059008,3/21/2025,425,CUSTOMER FAILED TO CANCEL CALL,OTHER,FAILURE TO CANCEL: Site resolved issue prior to technicians arrival and failed to give proper notification to cancel service call.,2/1/2025
2494,1059013,3/21/2025,654.55,IMPROPER HANDLING - SHUTTER,BNR,MISUSE: Operation of the equipment other than for its normal and intended purposes.,2/1/2025
1775,1059014,3/21/2025,425,CUSTOMER FAILED TO CANCEL CALL,OTHER,FAILURE TO CANCEL: Site resolved issue prior to technicians arrival and failed to give proper notification to cancel service call.,2/1/2025
3786,1059015,3/21/2025,425,SITE DECLINED TROUBLESHOOTING,OTHER,FAILURE TO TROUBLESHOOT: The site refused to work with trained help desk agent to resolve an issue which resulted in the dispatch of a technician.,2/2/2025
4591,1059016,3/21/2025,465.38,IMPROPER HANDLING - OTHER,BNR,THIRD PARTY EQUIPMENT: Machine has lost communication due to failure of network administered by third party,2/1/2025
1107,1059026,3/21/2025,466.23,SITE DECLINED TROUBLESHOOTING,BNR,FAILURE TO TROUBLESHOOT: The site refused to work with trained help desk agent to resolve an issue which resulted in the dispatch of a technician.,2/1/2025
119,1059029,3/21/2025,467.51,NON DEVICE RELATED ISSUES,BCR,COIN AUDIT: Coin Audit,2/1/2025
5433,1059031,3/21/2025,459.01,CUSTOMER FAILED TO CANCEL CALL,OTHER,FAILURE TO CANCEL: Site resolved issue prior to technicians arrival and failed to give proper notification to cancel service call.,2/1/2025
1847,1059032,3/21/2025,425,SITE DECLINED TROUBLESHOOTING,OTHER,FAILURE TO TROUBLESHOOT: The site refused to work with trained help desk agent to resolve an issue which resulted in the dispatch of a technician.,2/1/2025
1175,1059033,3/21/2025,425,SITE DECLINED TROUBLESHOOTING,OTHER,FAILURE TO TROUBLESHOOT: The site refused to work with trained help desk agent to resolve an issue which resulted in the dispatch of a technician.,2/1/2025
126,1059035,3/21/2025,929.48,IMPROPER HANDLING - HOPPERS,BCR,PROCEDURE NEGLECT: The site failed to follow defined maintenance and auditing guidelines for the unit.,2/1/2025
5273,1059038,3/21/2025,462.83,IMPROPER HANDLING - TILL,BCR,MISUSE: Operation of the equipment other than for its normal and intended purposes.,2/1/2025
553,1059043,3/21/2025,465.93,SITE DECLINED TROUBLESHOOTING,BCR,FAILURE TO TROUBLESHOOT: The site refused to work with trained help desk agent to resolve an issue which resulted in the dispatch of a technician.,2/1/2025
1011,1059054,3/21/2025,856.22,IMPROPER HANDLING - HOPPERS,BCR,MISUSE: Operation of the equipment other than for its normal and intended purposes.,2/2/2025
3224,1059057,3/21/2025,460.06,SITE DECLINED TROUBLESHOOTING,OTHER,FAILURE TO TROUBLESHOOT: The site refused to work with trained help desk agent to resolve an issue which resulted in the dispatch of a technician.,2/1/2025
5269,1059065,3/21/2025,425,SITE DECLINED TROUBLESHOOTING,BCR,FAILURE TO TROUBLESHOOT: The site refused to work with trained help desk agent to resolve an issue which resulted in the dispatch of a technician.,2/1/2025
21,1059072,3/21/2025,425,IMPROPER HANDLING - OTHER,BNR,PROCEDURE NEGLECT: The site failed to follow defined maintenance and auditing guidelines for the unit.,2/2/2025
1720,1059075,3/21/2025,425,CUSTOMER FAILED TO CANCEL CALL,OTHER,FAILURE TO CANCEL: Site resolved issue prior to technicians arrival and failed to give proper notification to cancel service call.,2/2/2025
464,1059076,3/21/2025,689.61,IMPROPER HANDLING - SHUTTER,BNR,MISUSE: Operation of the equipment other than for its normal and intended purposes.,2/2/2025
5872,1059077,3/21/2025,621.58,IMPROPER HANDLING - SHUTTER,BNR,PROCEDURE NEGLECT: The site failed to follow defined maintenance and auditing guidelines for the unit.,2/2/2025
6521,1059083,3/21/2025,974.66,ACTS OF NATURE,OTHER,ACTS OF NATURE: Damage to the system was due to an act of nature (earthquake flood tornado etc.).,2/2/2025
1216,1059086,3/21/2025,324.75,CUSTOMER FAILED TO CANCEL CALL,OTHER,FAILURE TO CANCEL: Site resolved issue prior to technicians arrival and failed to give proper notification to cancel service call.,2/3/2025
6363,1059093,3/21/2025,300,SITE DECLINED TROUBLESHOOTING,BNR,FAILURE TO TROUBLESHOOT: The site refused to work with trained help desk agent to resolve an issue which resulted in the dispatch of a technician.,2/3/2025
6867,1059099,3/21/2025,324.75,SITE DECLINED TROUBLESHOOTING,OTHER,FAILURE TO TROUBLESHOOT: The site refused to work with trained help desk agent to resolve an issue which resulted in the dispatch of a technician.,2/3/2025
3452,1059100,3/21/2025,324.75,CUSTOMER FAILED TO CANCEL CALL,OTHER,FAILURE TO CANCEL: Site resolved issue prior to technicians arrival and failed to give proper notification to cancel service call.,2/3/2025
8243,1059103,3/21/2025,300,SITE DECLINED TROUBLESHOOTING,OTHER,FAILURE TO TROUBLESHOOT: The site refused to work with trained help desk agent to resolve an issue which resulted in the dispatch of a technician.,2/3/2025
278,1059104,3/21/2025,328.8,SITE DECLINED TROUBLESHOOTING,OTHER,FAILURE TO TROUBLESHOOT: The site refused to work with trained help desk agent to resolve an issue which resulted in the dispatch of a technician.,2/3/2025
8,1059855,3/21/2025,406.62,IMPROPER HANDLING - CASSETTES,BNR,PROCEDURE NEGLECT: The site failed to follow defined maintenance and auditing guidelines for the unit.,1/6/2025
8275,1059864,3/21/2025,470.78,IMPROPER HANDLING - VAULT,OTHER,MISUSE: Operation of the equipment other than for its normal and intended purposes.,2/4/2025
5659,1059870,3/21/2025,300,IMPROPER HANDLING - HOPPERS,BCR,MISUSE: Operation of the equipment other than for its normal and intended purposes.,2/3/2025
8117,1059872,3/21/2025,300,SITE DECLINED TROUBLESHOOTING,OTHER,FAILURE TO TROUBLESHOOT: The site refused to work with trained help desk agent to resolve an issue which resulted in the dispatch of a technician.,2/3/2025
5391,1059882,3/21/2025,912.68,IMPROPER HANDLING - TOUCH SCREEN,OTHER,MISUSE: Operation of the equipment other than for its normal and intended purposes.,2/3/2025
