Store,Offsite Storage Pickup Date,Service  Hours,Storage Vendor,Offsite Storage Box  Count
49,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
50,8/24/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
51,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
52,7/31/2023,7 am - 6 pm,Vital Records Control (VRC),147
54,5/31/2023,7 am - 6 pm,Vital Records Control (VRC),17
55,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
56,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
57,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
58,4/26/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
59,4/19/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
60,4/21/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
61,4/5/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
62,5/15/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
63,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
64,7/13/2023,7 am - 6 pm,Vital Records Control (VRC),Reported 0
65,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
66,3/24/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
67,3/24/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
68,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
69,9/12/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
70,4/18/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
71,8/28/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
72,5/9/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
73,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
74,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
75,6/5/2023,7 am - 6 pm,Vital Records Control (VRC),92
76,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
77,7/5/2023,7 am - 6 pm,Vital Records Control (VRC),63 (missing box data for 63 of the 126 boxes the store reported)
78,8/21/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
79,9/8/2023,7 am - 6 pm,Vital Records Control (VRC),55
80,5/30/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
81,7/6/2023,7 am - 6 pm,Vital Records Control (VRC),39
82,7/28/2023,7 am - 6 pm,Vital Records Control (VRC),Offsite Storage Box Count 2023 survey not complete
83,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
85,6/30/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
86,8/24/2023,7 am - 6 pm,Vital Records Control (VRC),72
87,5/12/2023,7 am - 6 pm,Vital Records Control (VRC),28
88,7/24/2023,7 am - 6 pm,Vital Records Control (VRC),Reported 0
89,4/28/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
90,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
91,7/17/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
92,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
93,7/14/2023,7 am - 6 pm,Vital Records Control (VRC),3 (missing box data for 15 of the 18 boxes the store reported)
94,8/29/2023,7 am - 6 pm,Vital Records Control (VRC),71
95,8/30/2023,7 am - 6 pm,Vital Records Control (VRC),23 (Missing box data for 1 of the 24 boxes the store reported)
96,3/31/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
97,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
98,5/18/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
99,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
100,9/1/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
101,5/12/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
102,6/5/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
103,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
104,6/19/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
105,3/31/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
106,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
107,6/19/2023,7 am - 6 pm,Vital Records Control (VRC),61
108,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
109,6/27/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
110,3/24/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
111,3/30/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
112,5/24/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
113,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
114,6/26/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
115,4/12/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
116,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
117,3/17/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
118,6/26/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
119,8/21/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
120,6/1/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
121,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
122,9/22/2023,7 am - 6 pm,Vital Records Control (VRC),Reported 0
123,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
124,3/27/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
125,8/18/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
126,3/13/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
127,4/12/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
128,6/22/2023,7 am - 6 pm,Vital Records Control (VRC),12
129,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
130,9/7/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
131,7/20/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
132,6/14/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
133,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
134,9/25/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
135,7/12/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
136,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
137,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
138,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
139,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
140,8/28/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
141,8/18/2023,7 am - 6 pm,Vital Records Control (VRC),136
143,5/16/2023,7 am - 6 pm,Vital Records Control (VRC),91
144,4/14/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
145,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
146,9/6/2023,7 am - 6 pm,Vital Records Control (VRC),22 (missing box data for 18 of the 40 boxes the store reported)
147,3/21/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
148,8/30/2023,7 am - 6 pm,Vital Records Control (VRC),18 (missing box data for 1 of the 19 boxes the store reported)
149,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
150,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
151,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
152,8/30/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
153,5/30/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
154,5/18/2023,7 am - 6 pm,Vital Records Control (VRC),71
155,8/29/2023,7 am - 6 pm,Vital Records Control (VRC),42
157,8/21/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
158,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
159,5/30/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
160,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
161,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
162,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
163,7/7/2023,7 am - 6 pm,Vital Records Control (VRC),107 (missing box data for 13 of the 120 boxes the store reported)
164,8/30/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
165,7/26/2023,7 am - 6 pm,Vital Records Control (VRC),53
166,8/28/2023,7 am - 6 pm,Vital Records Control (VRC),Reported 0
167,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
168,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
169,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
170,5/2/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
171,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
172,4/5/2023,7 am - 6 pm,Vital Records Control (VRC),98
173,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
174,8/21/2023,7 am - 6 pm,Vital Records Control (VRC),85
175,4/12/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
176,8/30/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
177,5/10/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
178,7/11/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
179,9/25/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
180,7/26/2023,7 am - 6 pm,Vital Records Control (VRC),13
181,4/5/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
182,5/4/2023,7 am - 6 pm,Vital Records Control (VRC),40
183,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
184,8/21/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
185,7/11/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
186,6/27/2023,7 am - 6 pm,Vital Records Control (VRC),5
188,9/22/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
189,6/29/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
190,8/31/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
192,6/20/2023,7 am - 6 pm,Vital Records Control (VRC),Reported 0
194,9/13/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
195,3/30/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
196,9/13/2023,7 am - 6 pm,Vital Records Control (VRC),74
197,5/4/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
198,9/13/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
199,5/2/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
200,8/31/2023,7 am - 6 pm,Vital Records Control (VRC),100
201,8/29/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
202,3/16/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
203,4/12/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
204,5/11/2023,7 am - 6 pm,Vital Records Control (VRC),50
205,6/8/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
206,8/16/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
207,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
209,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
210,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
211,8/25/2023,7 am - 6 pm,Vital Records Control (VRC),Reported 0
212,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
213,7/21/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
214,5/10/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
216,9/13/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
217,5/24/2023,7 am - 6 pm,Vital Records Control (VRC),100
218,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
219,9/15/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
220,8/25/2023,7 am - 6 pm,Vital Records Control (VRC),18
221,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
222,4/11/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
224,9/13/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
225,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
226,4/5/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
227,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
228,8/25/2023,7 am - 6 pm,Vital Records Control (VRC),Reported 0
229,7/6/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
230,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
231,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
232,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
233,9/28/2023,7 am - 6 pm,Vital Records Control (VRC),23
234,8/22/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
236,4/5/2023,7 am - 6 pm,Vital Records Control (VRC),Box Data Not Entered in Records Indexing Tool
237,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
238,3/27/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
239,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
240,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
241,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
242,3/30/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
243,8/21/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
244,5/4/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
245,8/4/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
246,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
247,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
248,7/17/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
249,8/15/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
250,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
251,7/20/2023,7 am - 6 pm,Vital Records Control (VRC),80 (missing box data for 1 of the 81 boxes the store reported)
252,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
253,8/31/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
254,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
256,8/4/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
257,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
258,6/2/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
259,9/1/2023,7 am - 6 pm,Vital Records Control (VRC),95
260,8/3/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
261,4/18/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
262,9/13/2023,7 am - 6 pm,Vital Records Control (VRC),60
264,4/13/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
265,4/6/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
266,8/21/2023,7 am - 6 pm,Vital Records Control (VRC),12
267,8/23/2023,7 am - 6 pm,Vital Records Control (VRC),55
268,6/1/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
269,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
271,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
272,8/22/2023,7 am - 6 pm,Vital Records Control (VRC),76
273,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
274,6/9/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
275,8/15/2023,7 am - 6 pm,Vital Records Control (VRC),Reported 0
276,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
277,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
278,5/12/2023,7 am - 6 pm,Vital Records Control (VRC),30
279,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
280,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
281,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
282,4/17/2023,7 am - 6 pm,Vital Records Control (VRC),Reported 0
283,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
284,6/13/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
285,8/16/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
286,9/7/2023,7 am - 6 pm,Vital Records Control (VRC),Offsite Storage Box Count 2023 survey not complete
287,8/25/2023,7 am - 6 pm,Vital Records Control (VRC),303
288,8/28/2023,7 am - 5 pm,Vital Records Control (VRC),Box Data Not Entered in Records Indexing Tool
289,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
290,8/2/2023,7 am - 5 pm,Vital Records Control (VRC),No Submission
292,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
293,8/24/2023,7 am - 5 pm,Vital Records Control (VRC),No Submission
294,5/9/2023,7 am - 5 pm,Vital Records Control (VRC),20
295,9/1/2023,7 am - 5 pm,Vital Records Control (VRC),Offsite Storage Box Count 2023 survey not complete
296,6/2/2023,7 am - 5 pm,Vital Records Control (VRC),No Submission
297,8/15/2023,7 am - 5 pm,Vital Records Control (VRC),No Submission
298,5/3/2023,7 am - 5 pm,Vital Records Control (VRC),No Submission
299,9/15/2023,7 am - 5 pm,Vital Records Control (VRC),No Submission
300,4/19/2023,7 am - 5 pm,Vital Records Control (VRC),23
301,5/8/2023,7 am - 5 pm,Vital Records Control (VRC),Reported 0
302,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
303,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
304,4/5/2023,7 am - 5 pm,Vital Records Control (VRC),No Submission
305,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
306,4/5/2023,7 am - 5 pm,Vital Records Control (VRC),No Submission
307,9/20/2023,7 am - 5 pm,Vital Records Control (VRC),Box Data Not Entered in Records Indexing Tool
308,4/3/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
309,5/16/2023,7 am - 6 pm,Vital Records Control (VRC),114
310,3/27/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
311,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
312,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
313,9/1/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
314,3/31/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
315,4/5/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
316,7/24/2023,7 am - 6 pm,Vital Records Control (VRC),Reported 0
317,5/2/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
318,5/30/2023,7 am - 6 pm,Vital Records Control (VRC),Reported 0
319,6/23/2023,7 am - 6 pm,Vital Records Control (VRC),127
320,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
321,8/24/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
322,3/30/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
323,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
324,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
325,3/30/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
326,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
328,4/11/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
329,6/12/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
330,8/22/2023,7 am - 5 pm,Vital Records Control (VRC),Reported 0
331,4/18/2023,7 am - 5 pm,Vital Records Control (VRC),No Submission
332,3/23/2023,7 am - 5 pm,Vital Records Control (VRC),No Submission
333,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
334,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
335,5/18/2023,7 am - 5 pm,Vital Records Control (VRC),No Submission
336,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
337,7/10/2023,7 am - 5 pm,Vital Records Control (VRC),48
338,9/27/2023,7 am - 5 pm,Vital Records Control (VRC),No Submission
339,6/1/2023,7 am - 5 pm,Vital Records Control (VRC),No Submission
340,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
341,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
342,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
343,4/26/2023,7 am - 5 pm,Vital Records Control (VRC),No Submission
344,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
345,7/26/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
346,4/10/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
347,6/19/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
348,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
350,5/16/2023,7 am - 6 pm,Vital Records Control (VRC),Reported 0
351,8/9/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
352,8/9/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
353,7/7/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
354,8/28/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
355,6/13/2023,7 am - 6 pm,Vital Records Control (VRC),100
356,3/29/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
357,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
358,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
359,6/7/2023,7 am - 6 pm,Vital Records Control (VRC),Reported 0
360,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
361,3/28/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
362,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
363,4/7/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
364,6/21/2023,7 am - 6 pm,Vital Records Control (VRC),47
365,6/16/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
366,9/15/2023,7 am - 6 pm,Vital Records Control (VRC),12
368,3/15/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
369,3/27/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
370,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
371,9/29/2023,7 am - 6 pm,Vital Records Control (VRC),23
372,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
373,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
374,7/6/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
375,3/13/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
376,5/12/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
377,6/7/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
378,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
379,8/28/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
381,3/20/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
382,6/23/2023,7 am - 6 pm,Vital Records Control (VRC),117
383,4/3/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
384,3/31/2023,7 am - 6 pm,Vital Records Control (VRC),Offsite Storage Box Count 2023 survey not complete
385,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
386,4/10/2023,7 am - 6 pm,Vital Records Control (VRC),124
387,6/12/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
388,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
389,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
390,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
391,6/2/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
392,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
393,5/18/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
394,8/25/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
395,7/31/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
396,8/28/2023,7 am - 6 pm,Vital Records Control (VRC),131
397,6/30/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
398,9/18/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
399,6/28/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
400,9/11/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
401,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
402,3/23/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
403,3/17/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
404,8/30/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
405,4/24/2023,7 am - 6 pm,Vital Records Control (VRC),45
406,8/28/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
407,3/20/2023,7 am - 6 pm,Vital Records Control (VRC),Box Data Not Entered in Records Indexing Tool
408,9/25/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
409,6/6/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
410,9/29/2023,7 am - 6 pm,Vital Records Control (VRC),18
411,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
412,7/6/2023,7 am - 6 pm,Vital Records Control (VRC),51
