Store,Offsite Storage Pickup Date,Service  Hours,Storage Vendor,Offsite Storage Box  Count
51,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
52,5/31/2023,7 am - 6 pm,Vital Records Control (VRC),147
54,4/26/2023,7 am - 6 pm,Vital Records Control (VRC),17
55,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
56,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
57,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
58,4/19/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
59,4/21/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
60,4/5/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
61,5/15/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
62,7/13/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
63,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
64,3/24/2023,7 am - 6 pm,Vital Records Control (VRC),Reported 0
65,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
66,3/24/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
67,TBD,7 am - 6 pm,Vital Records Control (VRC),No Submission
68,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
69,9/12/2023,7 am - 6 pm,Vital Records Control (VRC),13
70,TBD,7 am - 6 pm,Vital Records Control (VRC),No Submission
71,8/28/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
72,6/5/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
73,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
74,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
75,7/5/2023,7 am - 6 pm,Vital Records Control (VRC),92
76,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
77,TBD,7 am - 6 pm,Vital Records Control (VRC),62
78,8/21/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
79,9/8/2023,7 am - 6 pm,Vital Records Control (VRC),55
80,9/15/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
81,7/28/2023,7 am - 6 pm,Vital Records Control (VRC),38
82,6/30/2023,7 am - 6 pm,Vital Records Control (VRC),Offsite Storage Box Count 2023 survey was not completed
83,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
85,9/20/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
86,9/28/2023,7 am - 6 pm,Vital Records Control (VRC),65
87,7/24/2023,7 am - 6 pm,Vital Records Control (VRC),28
88,4/28/2023,7 am - 6 pm,Vital Records Control (VRC),Reported 0
89,7/17/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
90,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
91,7/14/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
92,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
93,TBD,7 am - 6 pm,Vital Records Control (VRC),3
94,8/29/2023,7 am - 6 pm,Vital Records Control (VRC),70
95,8/30/2023,7 am - 6 pm,Vital Records Control (VRC),23
96,5/18/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
97,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
98,TBD,7 am - 6 pm,Vital Records Control (VRC),No Submission
99,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
100,9/1/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
101,6/5/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
102,6/19/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
103,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
104,3/31/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
105,6/19/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
106,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
107,9/29/2023,7 am - 6 pm,Vital Records Control (VRC),58
108,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
109,3/24/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
110,3/30/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
111,5/24/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
112,6/26/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
113,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
114,4/12/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
115,3/17/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
116,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
117,6/26/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
118,TBD,7 am - 6 pm,Vital Records Control (VRC),No Submission
119,8/21/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
120,TBD,7 am - 6 pm,Vital Records Control (VRC),No Submission
121,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
122,9/22/2023,7 am - 6 pm,Vital Records Control (VRC),Reported 0
123,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
124,TBD,7 am - 6 pm,Vital Records Control (VRC),No Submission
125,8/18/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
126,4/12/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
127,6/22/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
128,TBD,7 am - 6 pm,Vital Records Control (VRC),12
129,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
130,9/7/2023,7 am - 6 pm,Vital Records Control (VRC),92
131,6/14/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
132,TBD,7 am - 6 pm,Vital Records Control (VRC),No Submission
133,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
134,9/25/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
135,TBD,7 am - 6 pm,Vital Records Control (VRC),No Submission
136,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
137,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
138,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
139,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
140,8/28/2023,7 am - 6 pm,Vital Records Control (VRC),97
141,8/18/2023,7 am - 6 pm,Vital Records Control (VRC),136
143,4/14/2023,7 am - 6 pm,Vital Records Control (VRC),89
144,TBD,7 am - 6 pm,Vital Records Control (VRC),No Submission
145,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
146,9/6/2023,7 am - 6 pm,Vital Records Control (VRC),40
147,TBD,7 am - 6 pm,Vital Records Control (VRC),No Submission
148,8/30/2023,7 am - 6 pm,Vital Records Control (VRC),18
149,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
150,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
151,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
152,8/30/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
153,5/18/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
154,TBD,7 am - 6 pm,Vital Records Control (VRC),68
155,8/29/2023,7 am - 6 pm,Vital Records Control (VRC),40
157,8/21/2023,7 am - 6 pm,Vital Records Control (VRC),26
158,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
159,5/30/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
160,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
161,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
162,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
163,7/7/2023,7 am - 6 pm,Vital Records Control (VRC),107
164,8/30/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
165,7/26/2023,7 am - 6 pm,Vital Records Control (VRC),53
166,8/28/2023,7 am - 6 pm,Vital Records Control (VRC),Reported 0
167,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
168,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
169,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
170,4/5/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
171,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
172,TBD,7 am - 6 pm,Vital Records Control (VRC),98
173,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
174,8/21/2023,7 am - 6 pm,Vital Records Control (VRC),85
175,4/12/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
176,8/30/2023,7 am - 6 pm,Vital Records Control (VRC),8
177,7/11/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
178,TBD,7 am - 6 pm,Vital Records Control (VRC),No Submission
179,9/25/2023,7 am - 6 pm,Vital Records Control (VRC),Offsite Storage Box Count 2023 survey was not completed
180,4/5/2023,7 am - 6 pm,Vital Records Control (VRC),13
181,5/4/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
182,TBD,7 am - 6 pm,Vital Records Control (VRC),21
183,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
184,8/21/2023,7 am - 6 pm,Vital Records Control (VRC),121
185,6/27/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
186,TBD,7 am - 6 pm,Vital Records Control (VRC),5
188,9/22/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
189,TBD,7 am - 6 pm,Vital Records Control (VRC),No Submission
190,8/31/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
192,TBD,7 am - 6 pm,Vital Records Control (VRC),Reported 0
194,9/13/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
195,TBD,7 am - 6 pm,Vital Records Control (VRC),No Submission
196,9/13/2023,7 am - 6 pm,Vital Records Control (VRC),65
197,TBD,7 am - 6 pm,Vital Records Control (VRC),No Submission
198,9/13/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
199,TBD,7 am - 6 pm,Vital Records Control (VRC),No Submission
200,9/28/2023,7 am - 6 pm,Vital Records Control (VRC),90
201,8/29/2023,7 am - 6 pm,Vital Records Control (VRC),10
202,4/12/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
203,5/11/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
204,6/8/2023,7 am - 6 pm,Vital Records Control (VRC),50
205,TBD,7 am - 6 pm,Vital Records Control (VRC),No Submission
206,8/16/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
207,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
209,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
210,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
211,8/25/2023,7 am - 6 pm,Vital Records Control (VRC),Reported 0
212,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
213,5/10/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
214,TBD,7 am - 6 pm,Vital Records Control (VRC),No Submission
216,9/13/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
217,TBD,7 am - 6 pm,Vital Records Control (VRC),97
218,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
219,9/15/2023,7 am - 6 pm,Vital Records Control (VRC),Offsite Storage Box Count 2023 survey completeed/ Box Data Was Not Entered
220,8/25/2023,7 am - 6 pm,Vital Records Control (VRC),16
221,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
222,TBD,7 am - 6 pm,Vital Records Control (VRC),No Submission
224,9/13/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
225,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
226,TBD,7 am - 6 pm,Vital Records Control (VRC),No Submission
227,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
228,8/25/2023,7 am - 6 pm,Vital Records Control (VRC),Reported 0
229,TBD,7 am - 6 pm,Vital Records Control (VRC),No Submission
230,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
231,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
232,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
233,9/28/2023,7 am - 6 pm,Vital Records Control (VRC),23
234,9/20/2023,7 am - 6 pm,Vital Records Control (VRC),89
236,3/27/2023,7 am - 6 pm,Vital Records Control (VRC),Offsite Storage Box Count 2023 survey completeed/ Box Data Was Not Entered
237,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
238,3/30/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
239,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
240,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
241,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
242,TBD,7 am - 6 pm,Vital Records Control (VRC),No Submission
243,8/21/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
244,5/4/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
245,8/4/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
246,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
247,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
248,7/17/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
249,8/15/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
250,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
251,TBD,7 am - 6 pm,Vital Records Control (VRC),79
252,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
253,8/31/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
254,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
256,8/4/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
257,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
258,TBD,7 am - 6 pm,Vital Records Control (VRC),No Submission
259,9/1/2023,7 am - 6 pm,Vital Records Control (VRC),63
260,9/19/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
261,TBD,7 am - 6 pm,Vital Records Control (VRC),No Submission
262,9/13/2023,7 am - 6 pm,Vital Records Control (VRC),35
264,4/6/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
265,TBD,7 am - 6 pm,Vital Records Control (VRC),No Submission
266,8/21/2023,7 am - 6 pm,Vital Records Control (VRC),12
267,8/23/2023,7 am - 6 pm,Vital Records Control (VRC),51
268,TBD,7 am - 6 pm,Vital Records Control (VRC),No Submission
269,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
271,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
272,8/22/2023,7 am - 6 pm,Vital Records Control (VRC),71
273,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
274,TBD,7 am - 6 pm,Vital Records Control (VRC),No Submission
275,8/15/2023,7 am - 6 pm,Vital Records Control (VRC),Reported 0
276,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
277,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
278,4/17/2023,7 am - 6 pm,Vital Records Control (VRC),30
279,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
280,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
281,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
282,6/13/2023,7 am - 6 pm,Vital Records Control (VRC),Reported 0
283,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
284,TBD,7 am - 6 pm,Vital Records Control (VRC),No Submission
285,8/16/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
286,9/7/2023,7 am - 6 pm,Vital Records Control (VRC),Reported 0
287,8/25/2023,7 am - 6 pm,Vital Records Control (VRC),303
288,8/28/2023,7 am - 5 pm,Vital Records Control (VRC),35
289,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
290,8/2/2023,7 am - 5 pm,Vital Records Control (VRC),No Submission
292,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
293,8/24/2023,7 am - 5 pm,Vital Records Control (VRC),No Submission
294,TBD,7 am - 5 pm,Vital Records Control (VRC),20
295,9/1/2023,7 am - 5 pm,Vital Records Control (VRC),68
296,TBD,7 am - 5 pm,Vital Records Control (VRC),No Submission
297,8/15/2023,7 am - 5 pm,Vital Records Control (VRC),No Submission
298,45197,7 am - 5 pm,Vital Records Control (VRC),Offsite Storage Box Count 2023 survey was not completed
299,9/15/2023,7 am - 5 pm,Vital Records Control (VRC),No Submission
300,5/8/2023,7 am - 5 pm,Vital Records Control (VRC),23
301,4/5/2023,7 am - 5 pm,Vital Records Control (VRC),Reported 0
302,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
303,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
304,4/5/2023,7 am - 5 pm,Vital Records Control (VRC),No Submission
305,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
306,TBD,7 am - 5 pm,Vital Records Control (VRC),No Submission
307,9/20/2023,7 am - 5 pm,Vital Records Control (VRC),1
308,5/16/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
309,3/27/2023,7 am - 6 pm,Vital Records Control (VRC),107
310,TBD,7 am - 6 pm,Vital Records Control (VRC),No Submission
311,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
312,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
313,9/1/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
314,4/5/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
315,7/24/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
316,5/2/2023,7 am - 6 pm,Vital Records Control (VRC),Reported 0
317,5/30/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
318,6/23/2023,7 am - 6 pm,Vital Records Control (VRC),Reported 0
319,TBD,7 am - 6 pm,Vital Records Control (VRC),108
320,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
321,8/24/2023,7 am - 6 pm,Vital Records Control (VRC),45
322,3/30/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
323,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
324,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
325,4/11/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
326,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
328,6/12/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
329,TBD,7 am - 6 pm,Vital Records Control (VRC),No Submission
330,8/22/2023,7 am - 5 pm,Vital Records Control (VRC),Reported 0
331,3/23/2023,7 am - 5 pm,Vital Records Control (VRC),No Submission
332,5/18/2023,7 am - 5 pm,Vital Records Control (VRC),No Submission
333,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
334,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
335,7/10/2023,7 am - 5 pm,Vital Records Control (VRC),No Submission
336,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
337,TBD,7 am - 5 pm,Vital Records Control (VRC),47
338,9/27/2023,7 am - 5 pm,Vital Records Control (VRC),22
339,4/26/2023,7 am - 5 pm,Vital Records Control (VRC),No Submission
340,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
341,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
342,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
343,7/26/2023,7 am - 5 pm,Vital Records Control (VRC),No Submission
344,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
345,4/10/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
346,6/19/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
347,5/16/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
348,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
350,TBD,7 am - 6 pm,Vital Records Control (VRC),Reported 0
351,8/9/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
352,8/9/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
353,TBD,7 am - 6 pm,Vital Records Control (VRC),No Submission
354,8/28/2023,7 am - 6 pm,Vital Records Control (VRC),15
355,3/29/2023,7 am - 6 pm,Vital Records Control (VRC),72
356,6/7/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
357,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
358,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
359,3/28/2023,7 am - 6 pm,Vital Records Control (VRC),Reported 0
360,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
361,4/7/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
362,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
363,9/19/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
364,6/16/2023,7 am - 6 pm,Vital Records Control (VRC),47
365,TBD,7 am - 6 pm,Vital Records Control (VRC),No Submission
366,9/15/2023,7 am - 6 pm,Vital Records Control (VRC),12
368,3/27/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
369,TBD,7 am - 6 pm,Vital Records Control (VRC),No Submission
370,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
371,9/29/2023,7 am - 6 pm,Vital Records Control (VRC),20
372,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
373,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
374,3/13/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
375,5/12/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
376,6/7/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
377,TBD,7 am - 6 pm,Vital Records Control (VRC),No Submission
378,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
379,8/28/2023,7 am - 6 pm,Vital Records Control (VRC),Reported 0
381,6/23/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
382,4/3/2023,7 am - 6 pm,Vital Records Control (VRC),117
383,3/31/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
384,4/10/2023,7 am - 6 pm,Vital Records Control (VRC),Offsite Storage Box Count 2023 survey was not completed
385,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
386,6/12/2023,7 am - 6 pm,Vital Records Control (VRC),118
387,6/2/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
388,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
389,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
390,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
391,5/18/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
392,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
393,TBD,7 am - 6 pm,Vital Records Control (VRC),No Submission
394,8/25/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
395,TBD,7 am - 6 pm,Vital Records Control (VRC),No Submission
396,8/28/2023,7 am - 6 pm,Vital Records Control (VRC),131
397,TBD,7 am - 6 pm,Vital Records Control (VRC),No Submission
398,9/18/2023,7 am - 6 pm,Vital Records Control (VRC),45
399,TBD,7 am - 6 pm,Vital Records Control (VRC),No Submission
400,9/11/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
401,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
402,3/17/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
403,TBD,7 am - 6 pm,Vital Records Control (VRC),No Submission
404,8/30/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
405,TBD,7 am - 6 pm,Vital Records Control (VRC),44
406,8/28/2023,7 am - 6 pm,Vital Records Control (VRC),Reported 0
407,TBD,7 am - 6 pm,Vital Records Control (VRC),Offsite Storage Box Count 2023 survey completeed/ Box Data Was Not Entered
408,9/5/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
409,TBD,7 am - 6 pm,Vital Records Control (VRC),No Submission
410,9/29/2023,7 am - 6 pm,Vital Records Control (VRC),18
411,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
412,7/24/2023,7 am - 6 pm,Vital Records Control (VRC),50
413,6/13/2023,7 am - 5 pm,Vital Records Control (VRC),Offsite Storage Box Count 2023 survey was not completed
414,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
415,6/14/2023,7 am - 5 pm,Vital Records Control (VRC),No Submission
416,7/20/2023,7 am - 5 pm,Vital Records Control (VRC),8
417,4/11/2023,7 am - 5 pm,Vital Records Control (VRC),31
418,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
419,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
420,TBD,TBD,TBD,NOT ON SCHEDULE FOR 2023
421,TBD,7 am - 5 pm,Vital Records Control (VRC),Reported 0
422,9/29/2023,7 am - 6 pm,Vital Records Control (VRC),Reported 0
423,TBD,7 am - 6 pm,Vital Records Control (VRC),Reported 0
424,9/11/2023,7 am - 6 pm,Vital Records Control (VRC),39
