Business Unit,Organization ,Business Unit,Function,Building Assignment
Global Governance,Corporate Functions,Global Governance,"eDiscovery and Strategy,Risk and Ops ",Trust
Global Governance,Corporate Functions,Global Governance,Corporate Secretary ,Trust
Global Governance,Corporate Functions,Global Governance,Litigation,Trust
Realty,Walmart US,Realty,Realty,Always
Global Finance,Corporate Functions,Global Finance,​Real Estate Finance,Always
Global Finance,Corporate Functions,Global Finance,​Real Estate Controllership,Always
Global Finance,Corporate Functions,Global Finance,Procurement,Update Coming Soon
Global Finance,Corporate Functions,Global Finance,Indirect Spend Management,Maverick
Global Finance,Corporate Functions,Global Finance,Care Business Enablement (call center),Change
Health and Wellness,Walmart US,Health and Wellness,Health and Wellness,Upstream
Global Governance,Corporate Functions,Global Governance,Health and Wellness Ethics and Compliance,Upstream
Sourcing,International,Sourcing,Health and Wellness Sourcing,Upstream
Global Finance,Corporate Functions,Global Finance,Health and Wellness Finance,Upstream
Global Finance,Corporate Functions,Global Finance,Health and Wellness Contollership,Upstream
Global People,Corporate Functions,Global People,Health and Wellness ,Upstream
Energy Transformation,Walmart US,Energy Transformation,Energy Transformation,Always
