Primary,Control ID ,Criticality,Control Description ,Control Type ,Frequency ,Responsible Role ,Document ,Document Status,Risk,Policy Text ,Control Example/Used Case,,,
English,DAS-28,Critical,Data access must be promptly revoked when associates，vendors，or contractors exit the organization.,Preventive,As changes occur,Business Data Steward，HR，IT,Global Data Access Standard,Published,Failure to revoke access can lead to unauthorized data access by former employees.,"""Data access must be promptly revoked when associates，vendors，or contractors exit the organization.""", When an employee leaves Walmart，their access to internal systems is automatically revoked.,,,
English,DAS-29,Important,Data access for associates or contractors should be re-evaluated and adjusted as necessary when their roles within Walmart change.,Preventive,As changes occur,Business Data Steward，HR，IT,Global Data Access Standard,Published,Failure to update access can lead to excessive or inappropriate permissions.,"""Data access for associates or contractors should be re-evaluated and adjusted as necessary when their roles within Walmart change，affecting their data access needs.""", When an analyst transitions to a managerial role，their data access permissions are updated accordingly.,,,
English,DAS-30,Important,The Business Data Steward may collaborate with technology partners to provision data access after the data access request is granted.,Operational,As Needed,Business Data Steward，Technical Data Steward,Global Data Access Standard,Published,Delayed provisioning may cause business disruptions and access bottlenecks.,"""The Business Data Steward may collaborate with technology partners to provision data access after the data access request is granted.""", A Business Data Steward works with IT to configure data access in a new analytics tool.,,,
English,DAS-31,Important,Data Access requests must provide specific required information before approval.,Preventive,Ongoing,Business Data Steward,Global Data Access Standard,Published,Incomplete access requests may result in unauthorized or unnecessary access.,"""Data Access requests must provide the following information: User identity，Manager identity，Purpose/Justification.""", An employee submits an access request form that includes all required information before approval.,,,
English,DAS-32,Important,The Business Data Steward must receive all data access requests for data specific to their business unit.,Compliance,Ongoing,Business Data Steward,Global Data Access Standard,Published,Failure to enforce approval requirements may lead to unauthorized access.,"""The Business Data Steward must receive all data access requests for data specific to their business unit.""", A Data Steward receives all finance-related access requests for approval.,,,
English,DAS-33,Important,The Business Data Steward must review the data access request to ensure it is “fit for purpose” and complies with Global Data Governance，Legal，and Privacy policies，including applicable market-specific policies.,Compliance,As needed,Business Data Steward,Global Data Access Standard,Published,Unauthorized access or non-compliance with legal and privacy policies could result in regulatory fines and reputational damage.,"""The Business Data Steward must review the request to ensure 'fit for purpose' and that it complies with Global Data Governance，Legal，and Privacy policies，including applicable market-specific policies.""", A Business Data Steward denies a request for customer PII due to lack of business justification.,,,
English,DAS-34,Important,The Business Data Steward must have authority (delegated by the Business Data Owner) to approve access to data within their business unit.,Governance,Ongoing,Business Data Steward，Business Data Owner,Global Data Access Standard,Published,Lack of clear authority can lead to unauthorized access or delays in data access provisioning.,"""The Business Data Steward must have authority (delegated by the Business Data Owner) to approve access to data within their business unit.""", A Data Steward approves an access request for an internal finance report after verifying the requestor’s role.,,,
English,DAS-35,Important,Data access is provisioned if the request is approved by the Business Data Steward.,Preventive,As needed,Business Data Steward,Global Data Access Standard,Published,Delays in provisioning may hinder business operations，while improper approvals can cause security risks.,"""Data access is provisioned if the request is approved by the Business Data Steward.""", Once approved，a system automatically grants access to a supplier’s data dashboard.,,,
English,DAS-36,Important,The Technical Data Steward，in collaboration with the Business Data Steward，must create and/or assign AD Groups accordingly for access provisioning.,Technical,As needed,Technical Data Steward，Business Data Steward,Global Data Access Standard,Published,Improper role assignment can lead to unauthorized data access.,"""The Technical Data Steward，in collaboration with the Business Data Steward，creates and/or assigns AD Groups accordingly.""", Technical Data Stewards create AD groups for HR teams to access payroll data.,,,
English,DAS-37,Important,The Business Data Owner has accountability for access to Highly Sensitive data specific to their business unit.,Governance,Ongoing,Business Data Owner,Global Data Access Standard,Published,Poor governance can result in unauthorized access to highly sensitive data.,"""The Business Data Owner has accountability for access to Highly Sensitive data specific to their business unit.""", A BDO regularly reviews who has access to trade secrets or financial data.,,,
English,DQ-01,Moderate,The Business Data Owner must ensure data quality rules align with Walmart's business strategy and provide oversight on data quality trends.,Detective,Quarterly,Business Data Owner,Global Data Quality Standard,Published,Risk of decision-making based on poor quality data，leading to operational errors.,"""Be accountable for ensuring domain data quality is measured，tracked，and improved in collaboration with the Business Data Steward.""",Reviewing reports to ensure customer data meets a 95% completeness threshold.,,,
English,DQ-04,Moderate,The Technical Data Steward must implement test cases and quality checks to measure integrity，ensuring data uniqueness，accuracy，and consistency across systems.,Preventive,Ongoing,Technical Data Steward，Business Data Steward,Global Data Quality Standard,Published,Risk of data integrity issues due to insufficient testing and validation.,"""Be responsible for implementing test cases and other quality checks in collaboration with the Business Data Stewards to identify or mitigate errors throughout the data transformation pipeline.""",Developing cross-system reconciliation reports to flag inconsistencies.,,,
English,DQ-08,Moderate,The Technical Data Steward must support Business Data Stewards in remediating uncovered data quality issues，prioritizing fixes that impact timeliness and completeness.,Corrective,As needed,Technical Data Steward，Business Data Steward,Global Data Quality Standard,Published,Risk of persistent data quality problems affecting business decisions.,"""Support Business Data Stewards to remediate uncovered issues.""",Developing ETL jobs to automatically reprocess missing or outdated data.,,,
English,DQ-09,Moderate,The Business Data Owner must be accountable for data quality management in accordance with Walmart’s global data governance policies，standards，and processes.,Administrative,Ongoing,Business Data Owner,Global Data Quality Standard,Published,Poor data quality may impact business decision-making and compliance.,"""Be accountable for data quality management in accordance with Walmart’s global data governance policies，standards，and processes.""",Ensuring business units adhere to Walmart’s data quality policies.,,,
English,DQ-10,Moderate,The Business Data Owner must prioritize metric integrity and business continuity in the business strategy.,Strategic,Ongoing,Business Data Owner,Global Data Quality Standard,Published,Lack of prioritization may lead to data-driven failures impacting operations.,"""Prioritize metric integrity and business continuity in the business strategy.""",Integrating data quality controls into business planning.,,,
English,DQ-11,Moderate,The Business Data Owner must define business-critical data elements and establish their required Conformity，Integrity，Timeliness，and Completeness thresholds.,Preventive,Annually,Business Data Owner,Global Data Quality Standard,Published,Undefined thresholds lead to inconsistent data across Walmart systems.,"""Approve proposed data quality targets based on data criticality.""",Setting a 99% accuracy threshold for financial transaction data.,,,
English,DQ-12,Moderate,The Business Data Owner must ensure that issues for remediation are quickly resolved.,Corrective,As Needed,Business Data Owner,Global Data Quality Standard,Published,Delayed remediation may impact reporting，compliance，and operational performance.,"""Ensure that issues for remediation are quickly resolved.""",Implementing SLA-driven workflows for resolving data quality issues.,,,
English,DQ-13,Moderate,The Business Data Steward must consult with the Business Data Owner to define data quality rules，including both a business statement and technical data quality rule definition. The Business Data Steward must define data quality rules that enforce Conformity，Integrity，Timeliness，and Completeness standards for business data.,Preventive,As needed,Business Data Steward，Business Data Owner,Global Data Quality Standard,Published,Undefined rules lead to inconsistent data quality management.,"""Consult with Business Data Owner and define data quality rules，which include a business statement and technical data quality rule definition.""",Creating data quality policies in alignment with business objectives and technical feasibility.,,,
English,DQ-14,Moderate,The Business Data Steward must drive data quality requirements，definitions，assessments，and remediations in collaboration with Technical Data Stewards and SMEs.,Operational,Ongoing,Business Data Steward，Technical Data Steward,Global Data Quality Standard,Published,Lack of governance leads to poor data reliability and inaccurate reporting.,"""Drive data quality requirements，definitions，assessments，and remediations in collaboration with Technical Data Stewards and other SMEs.""",Implementing data quality checks at ingestion and transformation stages.,,,
English,DQ-15,Moderate,The Business Data Steward must determine testing requirements in collaboration with the Technical Data Steward to support metric integrity and business continuity.,Preventive,As needed,Business Data Steward，Technical Data Steward,Global Data Quality Standard,Published,Lack of testing can result in undetected errors affecting decision-making.,"""Determine testing requirements in collaboration with the Technical Data Steward that support metric integrity and business continuity.""",Defining automated test cases for validating data accuracy and integrity.,,,
English,DQ-16,Moderate,The Business Data Steward must propose data criticality assessments and associated data quality targets.,Preventive,As needed,Business Data Steward,Global Data Quality Standard,Published,Failure to assess data criticality can lead to ineffective data management.,"""Propose data criticality assessments and associated data quality targets. (See Data Criticality Questionnaire in Section 6: Resources).""",Defining high-priority datasets that require enhanced validation controls.,,,
English,DQ-17,Moderate,The Business Data Steward must determine if potential data quality issues require remediation. The Business Data Steward must review data quality metrics and address discrepancies in collaboration with Technical Data Stewards.,Detective,Ongoing,Business Data Steward，Technical Data Steward,Global Data Quality Standard,Published,Data anomalies may cause incorrect business insights and compliance risks.,"""Determine if there were potential issues discovered that require remediation.""",Setting up alerts for missing or inconsistent data.,,,
English,DQ-18,Moderate,The Business Data Steward must collaborate with the Technical Data Steward to design a remediation plan for identified data issues.,Corrective,As needed,Business Data Steward，Technical Data Steward,Global Data Quality Standard,Published,Unaddressed data issues lead to poor data integrity and system failures.,"""Collaborate with Technical Data Steward to design a remediation plan.""",Defining a standardized process for issue resolution.,,,
English,DQ-19,Moderate,The Business Data Steward must ensure that discovered data issues are successfully remediated at the source level.The Business Data Steward must ensure that data quality alerts are assigned and tracked for remediation.,Corrective,Ongoing,Business Data Steward,Global Data Quality Standard,Published,Persistent data quality issues degrade data trustworthiness.,"""Ensure that issues discovered are successfully remediated. Responsible for data remediation activities at the source level.""",Implementing corrective actions for data inconsistencies at ingestion.,,,
English,DQ-20,Moderate,The Business Data Steward must escalate unresolved data quality issues to the Business Data Owner.,Corrective,As needed,Business Data Steward，Business Data Owner,Global Data Quality Standard,Published,Unresolved issues can result in regulatory violations and business disruptions.,"""Escalate issues as needed to the Business Data Owner.""",Flagging critical data issues that impact regulatory compliance.,,,
English,DQ-21,Moderate,The Technical Data Steward must develop and implement data quality rules to ensure data conformity by aligning with internal standards and external regulations.,Preventive,Ongoing,Technical Data Steward，Business Data Steward,Global Data Quality Standard,Published,Non-compliant data leads to regulatory fines and operational inefficiencies.,"""Be responsible for the development and implementation of data quality rules as defined by the Business Data Steward.""",Implementing schema validation and reference data checks in ETL processes.,,,
English,DQ-22,Moderate,The Technical Data Steward must create and automate a framework for measuring data quality metric integrity，incorporating conformity，integrity，timeliness，and completeness.,Detective,Ongoing,Technical Data Steward,Global Data Quality Standard,Published,Data quality degradation leads to poor analytics and customer dissatisfaction.,"""Be responsible for creating and automating a framework for measuring data quality metric integrity.""",Using machine learning models to detect data outliers affecting conformity，integrity，and completeness.,,,
English,DQ-23,Moderate,The Technical Data Steward must build and deploy data quality dashboards to track completeness，timeliness，conformity，and integrity across all datasets.,Detective,Ongoing,Technical Data Steward,Global Data Quality Standard,Published,Lack of visibility into data quality issues delays remediation efforts.,"""Build and deploy data quality dashboards.""",Deploying Power BI/Tableau dashboards that highlight missing fields，stale data，and schema violations.,,,
English,DGP-23,Moderate,Local markets must establish market-specific data governance processes when stricter laws，regulations，or customs require additional controls beyond global policies.,Compliance,As needed,Local Market Leadership; Market Legal,Global Data Governance Policy ,Published,Lack of execution could lead to compliance violations in local markets and legal consequences.,"""Where a local market’s laws，regulations，or customs require stricter controls than those set forth in global policies，the markets may establish market-specific data governance processes.""",Example: A market in Europe aligns with GDPR by implementing stricter data retention and privacy safeguards than Walmart's global policy.,,,
English,MD-04,Moderate,Ensure Technical Metadata Repositories and associated metadata comply with Walmart’s data governance policies and standards，in consultation with the Technical Data Steward.,Preventive,Ongoing,Business Data Steward，Technical Data Steward,Global Metadata Standard,Published,Non-compliance may result in misclassified metadata，regulatory violations，and inefficient data management.,"""Ensure Technical Metadata Repositories and the metadata within comply with Walmart’s data governance policies and standards in consultation with the Technical Data Steward.""",Metadata audits in governance platforms，ensuring technical metadata aligns with policies.,,,
English,MD-05,Moderate,Business Data Stewards must provide details of business processes to ensure metadata accurately reflects data usage and dependencies.,Preventive,As changes occur,Business Data Steward,Global Metadata Standard,Published,Failure to define business processes can lead to incomplete metadata documentation.,"""Provide details of business processes.""",Documenting business processes in metadata repositories for traceability.,,,
English,MD-08,Moderate,Ensure the business is complying with change management policies when updating metadata (e.g.，business terms，ownership，systems).,Preventive,As changes occur,Business Data Steward,Global Metadata Standard,Published,Failure to follow change management can cause metadata inconsistencies and audit failures.,"""Responsible for ensuring the business is complying with change management. Changes to metadata that result in an update，i.e.，business terms，ownership and responsibility，systems，etc.，requires compliance with the Change Management Policy Group (GTPG-07).""",Tracking metadata change requests and approvals in governance platforms.,,,
English,MD-09,Moderate,Ensure technical data for the business glossary is accurately recorded，maintained，and accessible.,Preventive,Ongoing,Technical Data Steward,Global Metadata Standard,Published,Inconsistent technical definitions can lead to misinterpretation of data and compliance risks.,"""Ensure technical data for the business glossary is accurately recorded，maintained，and accessible.""",Using data governance platforms like Collibra to maintain accurate technical metadata.,,,
English,MD-10,Moderate,Implement security and access controls in consultation with the Business Data Steward.,Preventive,Ongoing,Technical Data Steward，Business Data Steward,Global Metadata Standard,Published,Unauthorized metadata access may lead to exposure of sensitive information.,"""Implement security and access controls in consultation with the Business Data Steward.""",Setting role-based access controls (RBAC) for metadata repositories.,,,
English,MD-11,Moderate,Perform data quality checks，validation，cleansing，and enrichment protocols.,Detective,As needed,Technical Data Steward,Global Metadata Standard,Published,Poor data quality affects decision-making and increases compliance risks.,"""Perform data quality checks，validation，cleansing，and enrichment protocols.""",Using data quality tools (e.g.，Informatica，Talend) to validate data accuracy.,,,
English,MD-14,Moderate,Oversee the comprehensive mapping and traceability of data across sources and systems.,Detective,Ongoing,Technical Data Steward,Global Metadata Standard,Published,Inaccurate or missing lineage information can create compliance risks and operational inefficiencies.,"""Oversee the comprehensive mapping and traceability of data across sources and systems.""",Using data lineage tools like Atlan or Collibra for end-to-end traceability.,,,
English,MD-15,Moderate,Ensure metadata integrity，security，and compliance with Walmart policies and standards.,Preventive,Ongoing,Technical Data Steward,Global Metadata Standard,Published,Metadata inconsistencies can result in non-compliance with governance policies.,"""Responsible for metadata integrity，security，and compliance with Walmart policies and standards.""",Using metadata validation rules to flag inconsistencies.,,,
English,MD-16,Moderate,Define and build data pipelines that enable faster，better，data-informed decision-making within the business.,Preventive,As needed,Technical Data Steward,Global Metadata Standard,Published,Inefficient data pipelines can slow down analytics and decision-making.,"""Define and build data pipelines that will enable faster，better，data-informed decision-making within the business.""",Using cloud-based ETL solutions (e.g.，AWS Glue，Azure Data Factory) to automate pipeline development.,,,
English,MD-17,Moderate,Source and maintain data dictionaries to ensure consistency across Walmart’s data assets.,Preventive,Ongoing,Technical Data Steward,Global Metadata Standard,Published,Lack of data dictionary maintenance can cause inconsistencies in data interpretation.,"""Source and maintain data dictionaries.""",Using metadata scanners to extract schema information and update dictionaries automatically.,,,
English,MD-18,Moderate,Ensure compliance with change management policies when updating metadata.,Preventive,As changes occur,Technical Data Steward,Global Metadata Standard,Published,Uncontrolled metadata changes can lead to inconsistencies and compliance risks.,"""Responsible for implementing change management. Changes to metadata that result in an update，i.e.，business terms，ownership and responsibility，systems，etc.，requires compliance with the Change Management Policy Group (GTPG-07).""",Tracking metadata changes in a central repository with audit logs.,,,
English,DUS-01,Moderate,Business Data Owners must provide awareness to Business Data Stewards within their business unit about data usage classification requirements.,Preventive,Annually,Business Data Owner,Global Data Usage Classification Standard,Published,Lack of awareness could result in incorrect classification and potential compliance violations.,"""Provide awareness to Business Data Stewards within their business unit about data usage classification requirements.""",Example: Business Data Owner conducts annual training on data classification standards for all Business Data Stewards.,,,
English,DUS-02,Moderate,Business Data Owners must periodically review the classification of their business unit’s data usage with their Business Data Stewards.,Detective,Quarterly,Business Data Owner，Business Data Steward,Global Data Usage Classification Standard,Published,Misclassification of data could result in unauthorized access or failure to meet compliance obligations.,"""Periodically review the classification of their business unit’s data usage with their business unit’s Business Data Stewards.""",Example: Business Data Owner reviews data classification logs with Business Data Stewards every quarter.,,,
English,DUS-03,Moderate,Business Data Owners must confirm that the release of any data to be classified for external use is compliant with relevant compliance and contractual obligations before classification.,Preventive,As needed,Business Data Owner，Legal，Compliance,Global Data Usage Classification Standard,Published,Data shared externally without proper compliance review could result in regulatory fines or contractual breaches.,"""Confirm that the release of any data to be classified for external use is compliant with relevant compliance and contractual obligations prior to the classification of such data.""",Example: Before customer transaction data is classified for external use，Business Data Owner ensures legal approval.,,,
English,DUS-04,Moderate,Business Data Stewards must classify data within their business unit based on the usage of that data.,Preventive,As needed,Business Data Steward,Global Data Usage Classification Standard,Published,Inaccurate classification could expose sensitive data or restrict access to necessary users.,"""Classify data within their business unit based on the usage of that data.""",Example: Business Data Steward uses an automated classification tool to tag sales and transaction data appropriately.,,,
English,DUS-05,Moderate,Business Data Stewards must review all data usage scenarios to ensure compliance with the data usage classification standard and resolve discrepancies.,Detective,Quarterly,Business Data Steward，Compliance,Global Data Usage Classification Standard,Published,Failure to review usage scenarios may lead to policy violations and unauthorized access.,"""Review all data usage scenarios to ensure compliance with the data usage classification standard and resolve any discrepancies.""",Example: Business Data Steward reviews data access and classification discrepancies every quarter.,,,
English,DUS-06,Critical,Business Data Stewards must work with Business Data Subject Matter Experts (SMEs) and Technical Data Stewards to ensure consistent labeling of data assets.,Preventive,As needed,Business Data Steward，Business Data SME，Technical Data Steward,Global Data Usage Classification Standard,Published,Inconsistent labeling can lead to misinterpretation of data and compliance risks.,"""Work with Business Data Subject Matter Experts (SMEs) and Technical Data Stewards to ensure consistent labeling of data assets.""",Example: Business Data Steward collaborates with SMEs and Technical Data Stewards to apply standardized metadata to datasets.,,,
English,DUS-07,Critical,Business Data Stewards must ensure compliance with the Global Data Sharing Policy when sharing data.,Compliance,As needed,Business Data Steward，Legal，Compliance,Global Data Usage Classification Standard,Published,Non-compliance with data-sharing policies could result in legal and reputational risks.,"""Ensure compliance with the Global Data Sharing Policy.""",Example: Before sharing supplier data with a third party，Business Data Steward ensures compliance with Walmart's Data Sharing Policy.,,,
English,DUS-08,Moderate,Business Data Stewards must maintain records of data sharing agreements and NDAs.,Compliance,As needed,Business Data Steward，Legal,Global Data Usage Classification Standard,Published,Failure to maintain records could lead to non-compliance with regulatory requirements and legal disputes.,"""Maintain records of data sharing agreements and NDAs.""",Example: Business Data Steward logs and archives all executed NDAs and data-sharing agreements in a central repository.,,,
English,DUS-09,Moderate,Business Data SMEs must advise Business Data Stewards on data usage classifications for data they actively use or manage.,Preventive,As needed,Business Data SME，Business Data Steward,Global Data Usage Classification Standard,Published,Inaccurate classification could result in improper data access，leading to security and compliance violations.,"""Advise Business Data Stewards on data usage classifications for data they actively use or manage.""",Example: Business Data SMEs provide classification guidance on customer transaction data to Business Data Stewards.,,,
English,DUS-10,Moderate,Business Data SMEs must provide classification advice based on operational needs，business environment，and compliance requirements.,Preventive,As needed,Business Data SME，Business Data Steward,Global Data Usage Classification Standard,Published,Failure to align classification with compliance requirements could lead to legal risks.,"""Such advice must include information about what is practical in the business environment within which the Business Data SMEs work，the operational needs of that environment，and any relevant compliance requirements.""",Example: Business Data SME evaluates marketing data classification considering GDPR compliance.,,,
English,DUS-11,Moderate,Business Data SMEs must support Data Stewards and users in correctly applying classifications.,Preventive,As needed,Business Data SME，Business Data Steward,Global Data Usage Classification Standard,Published,Incorrect classification could result in improper data access controls.,"""Support data stewards and users in correctly applying classifications.""",Example: SMEs validate that classified datasets align with policy standards.,,,
English,DUS-12,Moderate,Technical Data Stewards must support Business Data Stewards by applying data usage classifications.,Preventive,As needed,Technical Data Steward，Business Data Steward,Global Data Usage Classification Standard,Published,Manual classification could introduce inconsistencies and errors.,"""Support Business Data Stewards by applying data usage classifications.""",Example: A Technical Data Steward implements automated tagging for transactional data.,,,
English,DUS-13,Moderate,Technical Data Stewards must implement and enforce data usage classification with technical solutions and platforms where the data is present.,Preventive,As needed,Technical Data Steward,Global Data Usage Classification Standard,Published,Data misclassification can result in security breaches and regulatory violations.,"""Implement and enforce data usage classification with technical solutions and platforms where the data is present.""",Example: Data is classified automatically in a data catalog when stored in cloud platforms.,,,
English,DUS-14,Moderate,Technical Data Stewards must align technical solutions with business data governance requirements.,Preventive,As needed,Technical Data Steward,Global Data Usage Classification Standard,Published,Failure to align with governance requirements may lead to data leakage or policy violations.,"""Align technical solutions with business data governance requirements.""",Example: A Technical Data Steward ensures that new data storage solutions follow Walmart's data classification rules.,,,
English,DUS-15,Moderate,Technical Data Stewards must monitor data classification for accuracy and consistency across systems where the data is present.,Detective,Ongoing,Technical Data Steward,Global Data Usage Classification Standard,Published,Misclassification can result in unauthorized data access or non-compliance.,"""Monitor data classification for accuracy and consistency across systems where the data is present.""",Example: Anomaly detection flags inconsistencies in customer data classification across multiple platforms.,,,
English,DUS-16,Moderate,Technical Data Stewards must collaborate with Business Data Stewards and Business Data SMEs to resolve any issues related to data usage classification.,Corrective,As needed,Technical Data Steward，Business Data Steward，Business Data SME,Global Data Usage Classification Standard,Published,Unresolved classification issues may lead to compliance violations or operational inefficiencies.,"""Collaborate with Business Data Stewards and Business Data SMEs to resolve any issues related to data usage classification.""",Example: A Technical Data Steward and Business Data SME review misclassified supplier data to determine correct categorization.,,,
English,DUS-17,Important,Technical Data Stewards must work with Business Data Stewards to ensure compliance with the Global Data Sharing Policy.,Compliance,Ongoing,Technical Data Steward，Business Data Steward,Global Data Usage Classification Standard,Published,Non-compliance could lead to regulatory penalties and reputational damage.,"""Work with Business Data Stewards to ensure compliance with the Global Data Sharing Policy.""",Example: Technical Data Steward ensures that data-sharing configurations align with policy guidelines.,,,
English,DUS-18,Important,Collaboration Platform Users must apply the appropriate data usage classification labels to all data they handle.,Preventive,Ongoing,Collaboration Platform Users,Global Data Usage Classification Standard,Published,Misclassification could expose sensitive data to unauthorized users.,"""Apply the appropriate data usage classification labels to all data they handle.""",Example: A user classifies a document containing customer data before uploading it to a shared drive.,,,
