DC Number,Type,Date,Application,Summary,Status,Cell,CRQ
6042,Enhancement,7/21/2025,Hawkeye,"Setup Hawkeye Labor Data Interface for LMS, WTD, 8852",Planned,,CHG3349545
6042,Enhancement,7/22/2025,Shore,Updating Shore Purge Jobs GDC,Planned,Cell001,CHG3315513
6042,Enhancement,7/23/2025,ESS,ESS GDC Enabling Address feature for GDC,Planned,Cell001,CHG3355374
6042,Enhancement,7/24/2025,Atlas Moves,Rollout Performance screen and Take a break bug fixes,Planned,"Cell000, Cell001, Cell002",CHG3353476
6042,Enhancement,7/28/2025,Atlas Moves,"Rollout Location Tag Fix in Orchestrator, Locations Sync and Snyk Fixes ",Planned,"Cell000, Cell001, Cell002",CHG3358491
6042,Enhancement,7/24/2025,Countit,GDC SOX Perpetual Dashboard Rollout,Planned,Cell001,CHG3356304
6047,Enhancement,7/24/2025,Atlas Moves,Rollout Bugfixes and Snyk fixes ,Planned,"Cell010, Cell011",CHG3358524
6047,Enhancement,7/24/2025,Atlas Moves,Rollout Bugfixes and Snyk fixes ,Planned,"Cell010, Cell011",CHG3358494
6047,Enhancement,7/23/2025,Atlas Moves,Rollout Performance screen and bug fixes,Planned,"Cell010, Cell011, Cell012",CHG3353343
6047,Enhancement,7/24/2025,Atlas Moves,"Rollout Location Tag Fix in Orchestrator, Locations Sync and Snyk Fixes ",Planned,"Cell010, Cell011",CHG3358475
6047,Enhancement,7/23/2025,Order Processing/ Order Filling,"OP deployments Enable Billing of POS Jump Water Trailers Rollout , Cel011",Planned,Cell010,CHG3356163
6055,Enhancement,7/24/2025,Atlas Moves,Rollout Bugfixes and Snyk fixes ,Planned,"Cell010, Cell011",CHG3358494
6055,Enhancement,7/24/2025,Atlas Moves,Rollout Bugfixes and Snyk fixes ,Planned,"Cell010, Cell011",CHG3358524
6055,Enhancement,7/23/2025,Order Processing/ Order Filling,"OP deployments Enable Billing of POS Jump Water Trailers Rollout , Cel011",Planned,Cell010,CHG3356163
6055,Enhancement,7/24/2025,Atlas Moves,"Rollout Location Tag Fix in Orchestrator, Locations Sync and Snyk Fixes ",Planned,"Cell010, Cell011",CHG3358475
6055,Enhancement,7/23/2025,Atlas Moves,Rollout Performance screen and bug fixes,Planned,"Cell010, Cell011, Cell012",CHG3353343
6056,Enhancement,7/28/2025,Atlas Moves,Rollout Bugfixes and Snyk fixes,Planned,"Cell000, Cell001, Cell002",CHG3358542
6056,Enhancement,7/25/2025,ICQA,ICQA Web UI Pallet Rounding Fix Rollout,Planned,"Cell000, Cell002",CHG3362580
6056,Enhancement,7/28/2025,Atlas Moves,Rollout Bugfixes and Snyk fixes,Planned,"Cell000, Cell001, Cell002",CHG3358514
6056,Enhancement,7/28/2025,Atlas Moves,"Rollout Location Tag Fix in Orchestrator, Locations Sync and Snyk Fixes",Planned,"Cell000, Cell001, Cell002",CHG3358491
6057,Enhancement,7/28/2025,Atlas Moves,Rollout Bugfixes and Snyk fixes,Planned,"Cell000, Cell001, Cell002",CHG3358542
6057,Enhancement,7/21/2025,Hawkeye,"Setup Hawkeye Labor Data Interface for LMS, WTD, 8852",Planned,,CHG3349545
6057,Enhancement,7/23/2025,ESS,ESS GDC Enabling Address feature for GDC,Planned,Cell001,CHG3355374
6057,Enhancement,7/21/2025,Hawkeye,"Setup Hawkeye Labor Data Interface for LMS, WTD, 8852",Planned,,CHG3349545
6057,Enhancement,7/28/2025,Atlas Moves,"Rollout Location Tag Fix in Orchestrator, Locations Sync and Snyk Fixes ",Planned,"Cell000, Cell001, Cell002",CHG3358491
6057,Enhancement,7/28/2025,Atlas Moves,Rollout Bugfixes and Snyk fixes,Planned,"Cell000, Cell001, Cell002",CHG3358514
6057,Enhancement,7/22/2025,Shore,Updating Shore Purge Jobs GDC,Planned,Cell001,CHG3315513
6057,Enhancement,7/22/2025,Shore,Updating Shore Purge Jobs GDC,Planned,Cell001,CHG3315513
6057,Enhancement,7/24/2025,ESS,ESS GDC Walmart SDK for Azure Cosmos prod,Planned,Cell001,CHG3362478
6057,Enhancement,7/24/2025,Atlas Moves,Rollout Performance screen and Take a break bug fixes,Planned,"Cell000, Cell001, Cell002",CHG3353476
6057,Enhancement,7/24/2025,Order Processing/ Order Filling,OP deployments Enable Billing of POS Jump Water Trailers Rollout ,Planned,"Cell000, Cell001, Cell002",CHG3356181
6057,Enhancement,7/24/2025,Countit,GDC SOX Perpetual Dashboard Rollout,Planned,Cell001,CHG3356304
6059,Enhancement,7/24/2025,Atlas Moves,Rollout Bugfixes and Snyk fixes ,Planned,"Cell010, Cell011",CHG3358494
6059,Enhancement,7/23/2025,Order Processing/ Order Filling,"OP deployments Enable Billing of POS Jump Water Trailers Rollout , Cel011",Planned,Cell010,CHG3356163
6059,Enhancement,7/24/2025,Atlas Moves,"Rollout Location Tag Fix in Orchestrator, Locations Sync and Snyk Fixes ",Planned,"Cell010, Cell011",CHG3358475
6059,Enhancement,7/23/2025,Atlas Moves,Rollout Performance screen and bug fixes,Planned,"Cell010, Cell011, Cell012",CHG3353343
6059,Enhancement,7/24/2025,Atlas Moves,Rollout Bugfixes and Snyk fixes ,Planned,"Cell010, Cell011",CHG3358524
6062,Enhancement,7/23/2025,Atlas Moves,Rollout Performance screen and bug fixes,Planned,"Cell010, Cell011, Cell012",CHG3353343
6062,Enhancement,7/24/2025,Atlas Moves,Rollout Bugfixes and Snyk fixes ,Planned,"Cell010, Cell011",CHG3358524
6062,Enhancement,7/23/2025,Order Processing/ Order Filling,"OP deployments Enable Billing of POS Jump Water Trailers Rollout , Cel011",Planned,Cell010,CHG3356163
6062,Enhancement,7/24/2025,Atlas Moves,"Rollout Location Tag Fix in Orchestrator, Locations Sync and Snyk Fixes ",Planned,"Cell010, Cell011",CHG3358475
6062,Enhancement,7/24/2025,Atlas Moves,Rollout Bugfixes and Snyk fixes ,Planned,"Cell010, Cell011",CHG3358494
6064,Enhancement,7/28/2025,Atlas Moves,Rollout Bugfixes and Snyk fixes,Planned,"Cell000, Cell001, Cell002",CHG3358542
6064,Enhancement,7/28/2025,Atlas Moves,"Rollout Location Tag Fix in Orchestrator, Locations Sync and Snyk Fixes ",Planned,"Cell000, Cell001, Cell002",CHG3358491
6064,Enhancement,7/25/2025,ICQA,"ICQA Web UI Pallet Rounding Fix Rollout to ,",Planned,"Cell000, Cell002",CHG3362580
6064,Enhancement,7/28/2025,Atlas Moves,Rollout Bugfixes and Snyk fixes,Planned,"Cell000, Cell001, Cell002",CHG3358514
6065,Enhancement,7/24/2025,Atlas Moves,Rollout Performance screen and Take a break bug fixes,Planned,"Cell000, Cell001, Cell002",CHG3353476
6065,Enhancement,7/24/2025,Order Processing/ Order Filling,OP deployments Enable Billing of POS Jump Water Trailers Rollout ,Planned,"Cell000, Cell001, Cell002",CHG3356181
6065,Enhancement,7/22/2025,Shore,Updating Shore Purge Jobs GDC,Planned,Cell001,CHG3315513
6065,Enhancement,7/21/2025,Hawkeye,"Setup Hawkeye Labor Data Interface for LMS, WTD, 8852",Planned,Cell001,CHG3349545
6065,Enhancement,7/21/2025,Hawkeye,"Setup Hawkeye Labor Data Interface for LMS, WTD, 8852",Planned,Cell001,CHG3349545
6065,Enhancement,7/23/2025,ESS,ESS GDC Enabling Address feature for GDC,Planned,Cell001,CHG3355374
6065,Enhancement,7/28/2025,Atlas Moves,Rollout Bugfixes and Snyk fixes,Planned,"Cell000, Cell001, Cell002",CHG3358542
6065,Enhancement,7/28/2025,Atlas Moves,Rollout Bugfixes and Snyk fixes,Planned,"Cell000, Cell001, Cell002",CHG3358514
6065,Enhancement,7/28/2025,Atlas Moves,"Rollout Location Tag Fix in Orchestrator, Locations Sync and Snyk Fixes ",Planned,"Cell000, Cell001, Cell002",CHG3358491
6065,Enhancement,7/22/2025,Shore,Updating Shore Purge Jobs GDC,Planned,Cell001,CHG3315513
6065,Enhancement,7/25/2025,Location UI,Location UI CCM Update Missing for Location Deletion 6065,Planned,Cell001,CHG3362520
6065,Enhancement,7/24/2025,Countit,GDC SOX Perpetual Dashboard Rollout,Planned,Cell001,CHG3356304
6065,Enhancement,7/24/2025,ESS,ESS GDC Walmart SDK for Azure Cosmos prod,Planned,Cell001,CHG3362478
6071,Enhancement,7/23/2025,Order Processing/ Order Filling,"OP deployments Enable Billing of POS Jump Water Trailers Rollout , Cel011",Planned,Cell010,CHG3356163
6071,Enhancement,7/23/2025,Atlas Moves,Rollout Performance screen and bug fixes,Planned,"Cell010, Cell011, Cell012",CHG3353343
6071,Enhancement,7/24/2025,Atlas Moves,"Rollout Location Tag Fix in Orchestrator, Locations Sync and Snyk Fixes ",Planned,"Cell010, Cell011",CHG3358475
6071,Enhancement,7/24/2025,Atlas Moves,Rollout Bugfixes and Snyk fixes ,Planned,"Cell010, Cell011",CHG3358494
6071,Enhancement,7/24/2025,Atlas Moves,Rollout Bugfixes and Snyk fixes ,Planned,"Cell010, Cell011",CHG3358524
6072,Enhancement,7/22/2025,Atlas Moves,Pilot Bugfixes and Snyk fixes ,Planned,Cell012,CHG3353974
6072,Enhancement,7/22/2025,Atlas Moves,Pilot Bugfixes and Snyk fixes ,Planned,Cell012,CHG3348423
6072,Enhancement,7/23/2025,Countit,GDC Walmart SDK for Azure Cosmos Pilot,Planned,Cell012,CHG3339095
6072,Enhancement,7/24/2025,Countit,GDC Walmart SDK for Azure Cosmos Pilot,Planned,Cell012,CHG3339095
6072,Enhancement,7/22/2025,Atlas Moves,"Pilot Location Tag Fix in Orchestrator, Locations Sync and Snyk Fixes ",Planned,Cell012,CHG3348394
6072,Enhancement,7/23/2025,Atlas Moves,Rollout Performance screen and bug fixes,Planned,"Cell010, Cell011, Cell012",CHG3353343
6072,Enhancement,7/22/2025,ICQA,ICQA (Slotting & Profiling) UI Pilot : Pallet Rounding Fix,Planned,Cell012,CHG3338786
6072,Enhancement,7/22/2025,Atlas Moves,"Pilot Location Tag Fix in Orchestrator, Locations Sync and Snyk Fixes ",Planned,Cell012,CHG3348394
6073,Enhancement,7/23/2025,Order Processing/ Order Filling,"OP deployments Enable Billing of POS Jump Water Trailers Rollout , Cel011",Planned,Cell010,CHG3356163
6073,Enhancement,7/24/2025,Atlas Moves,Rollout Bugfixes and Snyk fixes ,Planned,"Cell010, Cell011",CHG3358494
6073,Enhancement,7/24/2025,Atlas Moves,"Rollout Location Tag Fix in Orchestrator, Locations Sync and Snyk Fixes ",Planned,"Cell010, Cell011",CHG3358475
6073,Enhancement,7/24/2025,Atlas Moves,Rollout Bugfixes and Snyk fixes ,Planned,"Cell010, Cell011",CHG3358524
6073,Enhancement,7/23/2025,Atlas Moves,Rollout Performance screen and bug fixes,Planned,"Cell010, Cell011, Cell012",CHG3353343
6074,Enhancement,7/23/2025,Order Processing/ Order Filling,"OP deployments Enable Billing of POS Jump Water Trailers Rollout , Cel011",Planned,Cell010,CHG3356163
6074,Enhancement,7/23/2025,Atlas Moves,Rollout Performance screen and bug fixes,Planned,"Cell010, Cell011, Cell012",CHG3353343
6074,Enhancement,7/24/2025,Atlas Moves,Rollout Bugfixes and Snyk fixes ,Planned,"Cell010, Cell011",CHG3358524
6074,Enhancement,7/24/2025,Atlas Moves,Rollout Bugfixes and Snyk fixes ,Planned,"Cell010, Cell011",CHG3358494
6074,Enhancement,7/24/2025,Atlas Moves,"Rollout Location Tag Fix in Orchestrator, Locations Sync and Snyk Fixes ",Planned,"Cell010, Cell011",CHG3358475
6077,Enhancement,7/21/2025,Hawkeye,"Setup Hawkeye Labor Data Interface for LMS, WTD, 8852",Planned,,CHG3349545
6077,Enhancement,7/28/2025,Atlas Moves,Rollout Bugfixes and Snyk fixes,Planned,"Cell000, Cell001, Cell002",CHG3358514
6077,Enhancement,7/28/2025,Atlas Moves,"Rollout Location Tag Fix in Orchestrator, Locations Sync and Snyk Fixes ",Planned,"Cell000, Cell001, Cell002",CHG3358491
6077,Enhancement,7/22/2025,Shore,Updating Shore Purge Jobs GDC,Planned,Cell001,CHG3315513
6077,Enhancement,7/24/2025,Countit,GDC SOX Perpetual Dashboard Rollout,Planned,Cell001,CHG3356304
6077,Enhancement,7/24/2025,ESS,ESS GDC Walmart SDK for Azure Cosmos prod,Planned,Cell001,CHG3362478
6077,Enhancement,7/21/2025,Hawkeye,"Setup Hawkeye Labor Data Interface for LMS, WTD, 8852",Planned,,CHG3349545
6077,Enhancement,7/28/2025,Atlas Moves,Rollout Bugfixes and Snyk fixes,Planned,"Cell000, Cell001, Cell002",CHG3358542
6077,Enhancement,7/24/2025,Order Processing/ Order Filling,OP deployments Enable Billing of POS Jump Water Trailers Rollout ,Planned,"Cell000, Cell001, Cell002",CHG3356181
6077,Enhancement,7/24/2025,Atlas Moves,Rollout Performance screen and Take a break bug fixes,Planned,"Cell000, Cell001, Cell002",CHG3353476
6077,Enhancement,7/22/2025,Shore,Updating Shore Purge Jobs GDC,Planned,Cell001,CHG3315513
6077,Enhancement,7/23/2025,ESS,ESS GDC Enabling Address feature for GDC,Planned,Cell001,CHG3355374
6082,Enhancement,7/22/2025,Shore,Updating Shore Purge Jobs GDC,Planned,Cell001,CHG3315513
6082,Enhancement,7/28/2025,Atlas Moves,Rollout Bugfixes and Snyk fixes,Planned,"Cell000, Cell001, Cell002",CHG3358514
6082,Enhancement,7/28/2025,Atlas Moves,"Rollout Location Tag Fix in Orchestrator, Locations Sync and Snyk Fixes ",Planned,"Cell000, Cell001, Cell002",CHG3358491
6082,Enhancement,7/24/2025,Order Processing/ Order Filling,OP deployments Enable Billing of POS Jump Water Trailers Rollout ,Planned,"Cell000, Cell001, Cell002",CHG3356181
6082,Enhancement,7/22/2025,Shore,Updating Shore Purge Jobs GDC,Planned,Cell001,CHG3315513
6082,Enhancement,7/23/2025,ESS,ESS GDC Enabling Address feature for GDC,Planned,Cell001,CHG3355374
6082,Enhancement,7/24/2025,Countit,GDC SOX Perpetual Dashboard Rollout,Planned,Cell001,CHG3356304
6082,Enhancement,7/21/2025,Hawkeye,"Setup Hawkeye Labor Data Interface for LMS, WTD, 8852",Planned,,CHG3349545
6082,Enhancement,7/28/2025,Atlas Moves,Rollout Bugfixes and Snyk fixes,Planned,"Cell000, Cell001, Cell002",CHG3358542
6082,Enhancement,7/21/2025,Hawkeye,"Setup Hawkeye Labor Data Interface for LMS, WTD, 8852",Planned,,CHG3349545
6082,Enhancement,7/24/2025,Atlas Moves,Rollout Performance screen and Take a break bug fixes,Planned,"Cell000, Cell001, Cell002",CHG3353476
6082,Enhancement,7/24/2025,ESS,ESS GDC Walmart SDK for Azure Cosmos prod,Planned,Cell001,CHG3362478
6083,Enhancement,7/24/2025,ESS,ESS GDC Walmart SDK for Azure Cosmos prod,Planned,Cell001,CHG3362478
6083,Enhancement,7/21/2025,Hawkeye,"Setup Hawkeye Labor Data Interface for LMS, WTD, 8852",Planned,,CHG3349545
6083,Enhancement,7/24/2025,Atlas Moves,Rollout Performance screen and Take a break bug fixes,Planned,"Cell000, Cell001, Cell002",CHG3353476
6083,Enhancement,7/28/2025,Atlas Moves,"Rollout Location Tag Fix in Orchestrator, Locations Sync and Snyk Fixes ",Planned,"Cell000, Cell001, Cell002",CHG3358491
6083,Enhancement,7/28/2025,Atlas Moves,Rollout Bugfixes and Snyk fixes,Planned,"Cell000, Cell001, Cell002",CHG3358542
6083,Enhancement,7/21/2025,Hawkeye,"Setup Hawkeye Labor Data Interface for LMS, WTD, 8852",Planned,,CHG3349545
6083,Enhancement,7/22/2025,Shore,Updating Shore Purge Jobs GDC,Planned,Cell001,CHG3315513
6083,Enhancement,7/23/2025,ESS,ESS GDC Enabling Address feature for GDC,Planned,Cell001,CHG3355374
6083,Enhancement,7/24/2025,Countit,GDC SOX Perpetual Dashboard Rollout,Planned,Cell001,CHG3356304
6083,Enhancement,7/28/2025,Atlas Moves,Rollout Bugfixes and Snyk fixes,Planned,"Cell000, Cell001, Cell002",CHG3358514
6083,Enhancement,7/22/2025,Shore,Updating Shore Purge Jobs GDC,Planned,Cell001,CHG3315513
6083,Enhancement,7/24/2025,Order Processing/ Order Filling,OP deployments Enable Billing of POS Jump Water Trailers Rollout ,Planned,"Cell000, Cell001, Cell002",CHG3356181
6084,Enhancement,7/23/2025,ESS,ESS GDC Enabling Address feature for GDC,Planned,Cell001,CHG3355374
6084,Enhancement,7/28/2025,Atlas Moves,Rollout Bugfixes and Snyk fixes,Planned,"Cell000, Cell001, Cell002",CHG3358542
6084,Enhancement,7/24/2025,ESS,ESS GDC Walmart SDK for Azure Cosmos prod,Planned,Cell001,CHG3362478
6084,Enhancement,7/28/2025,Atlas Moves,"Rollout Location Tag Fix in Orchestrator, Locations Sync and Snyk Fixes ",Planned,"Cell000, Cell001, Cell002",CHG3358491
6084,Enhancement,7/22/2025,Shore,Updating Shore Purge Jobs GDC,Planned,Cell001,CHG3315513
6084,Enhancement,7/24/2025,Countit,GDC SOX Perpetual Dashboard Rollout,Planned,Cell001,CHG3356304
6084,Enhancement,7/21/2025,Hawkeye,"Setup Hawkeye Labor Data Interface for LMS, WTD, 8852",Planned,,CHG3349545
6084,Enhancement,7/21/2025,Hawkeye,"Setup Hawkeye Labor Data Interface for LMS, WTD, 8852",Planned,,CHG3349545
6084,Enhancement,7/24/2025,Atlas Moves,Rollout Performance screen and Take a break bug fixes,Planned,"Cell000, Cell001, Cell002",CHG3353476
6084,Enhancement,7/24/2025,Order Processing/ Order Filling,OP deployments Enable Billing of POS Jump Water Trailers Rollout ,Planned,"Cell000, Cell001, Cell002",CHG3356181
6084,Enhancement,7/22/2025,Shore,Updating Shore Purge Jobs GDC,Planned,Cell001,CHG3315513
6084,Enhancement,7/28/2025,Atlas Moves,Rollout Bugfixes and Snyk fixes,Planned,"Cell000, Cell001, Cell002",CHG3358514
6085,Enhancement,7/24/2025,Countit,GDC Walmart SDK for Azure Cosmos Pilot,Planned,Cell012,CHG3339095
6085,Enhancement,7/23/2025,Atlas Moves,Rollout Performance screen and bug fixes,Planned,"Cell010, Cell011, Cell012",CHG3353343
6085,Enhancement,7/23/2025,Countit,GDC Walmart SDK for Azure Cosmos Pilot,Planned,Cell012,CHG3339095
6085,Enhancement,7/22/2025,Atlas Moves,Pilot Bugfixes and Snyk fixes ,Planned,Cell012,CHG3353974
6085,Enhancement,7/22/2025,ICQA,ICQA (Slotting & Profiling) UI Pilot : Pallet Rounding Fix,Planned,Cell012,CHG3338786
6085,Enhancement,7/22/2025,Atlas Moves,"Pilot Location Tag Fix in Orchestrator, Locations Sync and Snyk Fixes ",Planned,Cell012,CHG3348394
6085,Enhancement,7/22/2025,Atlas Moves,Pilot Bugfixes and Snyk fixes ,Planned,Cell012,CHG3348423
6085,Enhancement,7/22/2025,Atlas Moves,"Pilot Location Tag Fix in Orchestrator, Locations Sync and Snyk Fixes ",Planned,Cell012,CHG3348394
6090,Enhancement,7/25/2025,ICQA,"ICQA Web UI Pallet Rounding Fix Rollout to ,",Planned,"Cell000, Cell002",CHG3362580
6090,Enhancement,7/28/2025,Atlas Moves,Rollout Bugfixes and Snyk fixes,Planned,"Cell000, Cell001, Cell002",CHG3358514
6090,Enhancement,7/28/2025,Atlas Moves,"Rollout Location Tag Fix in Orchestrator, Locations Sync and Snyk Fixes ",Planned,"Cell000, Cell001, Cell002",CHG3358491
6090,Enhancement,7/28/2025,Atlas Moves,Rollout Bugfixes and Snyk fixes,Planned,"Cell000, Cell001, Cell002",CHG3358542
6091,Enhancement,7/23/2025,Order Processing/ Order Filling,"OP deployments Enable Billing of POS Jump Water Trailers Rollout , Cel011",Planned,Cell010,CHG3356163
6091,Enhancement,7/24/2025,Atlas Moves,Rollout Bugfixes and Snyk fixes ,Planned,"Cell010, Cell011",CHG3358524
6091,Enhancement,7/23/2025,Atlas Moves,Rollout Performance screen and bug fixes,Planned,"Cell010, Cell011, Cell012",CHG3353343
6091,Enhancement,7/24/2025,Atlas Moves,Rollout Bugfixes and Snyk fixes ,Planned,"Cell010, Cell011",CHG3358494
6091,Enhancement,7/24/2025,Atlas Moves,"Rollout Location Tag Fix in Orchestrator, Locations Sync and Snyk Fixes ",Planned,"Cell010, Cell011",CHG3358475
6095,Enhancement,7/23/2025,Atlas Moves,Rollout Performance screen and bug fixes,Planned,"Cell010, Cell011, Cell012",CHG3353343
6095,Enhancement,7/22/2025,Atlas Moves,"Pilot Location Tag Fix in Orchestrator, Locations Sync and Snyk Fixes ",Planned,Cell012,CHG3348394
6095,Enhancement,7/22/2025,Atlas Moves,"Pilot Location Tag Fix in Orchestrator, Locations Sync and Snyk Fixes ",Planned,Cell012,CHG3348394
6095,Enhancement,7/24/2025,Countit,GDC Walmart SDK for Azure Cosmos Pilot,Planned,Cell012,CHG3339095
6095,Enhancement,7/22/2025,Atlas Moves,Pilot Bugfixes and Snyk fixes ,Planned,Cell012,CHG3353974
6095,Enhancement,7/22/2025,ICQA,ICQA (Slotting & Profiling) UI Pilot : Pallet Rounding Fix,Planned,Cell012,CHG3338786
6095,Enhancement,7/23/2025,Countit,GDC Walmart SDK for Azure Cosmos Pilot,Planned,Cell012,CHG3339095
6095,Enhancement,7/22/2025,Atlas Moves,Pilot Bugfixes and Snyk fixes ,Planned,Cell012,CHG3348423
6096,Enhancement,7/24/2025,Countit,GDC Walmart SDK for Azure Cosmos Pilot,Planned,Cell012,CHG3339095
6096,Enhancement,7/22/2025,Atlas Moves,Pilot Bugfixes and Snyk fixes ,Planned,Cell012,CHG3348423
6096,Enhancement,7/23/2025,Atlas Moves,Rollout Performance screen and bug fixes,Planned,"Cell010, Cell011, Cell012",CHG3353343
6096,Enhancement,7/22/2025,ICQA,ICQA (Slotting & Profiling) UI Pilot : Pallet Rounding Fix,Planned,Cell012,CHG3338786
6096,Enhancement,7/22/2025,Atlas Moves,"Pilot Location Tag Fix in Orchestrator, Locations Sync and Snyk Fixes ",Planned,Cell012,CHG3348394
