Area Zipcode,Organization,Address,City,State ID,Role 1 :: EmailAddress,Envelope Status
19977,"MAMIE A. WARREN SENIOR CENTER, INC",1775 WHEATLEYS POND RD ,SMYRNA,DEL,jessicamawsc@comcast.net,Completed
0,EAST TEXAS RESCUE AND OUTREACH ,1200 E DAVIS ST SUITE 115 MESQUITE TX,MESQUITE,TX,jhall0296@yahoo.com,Completed
0,EAST TEXAS RESCUE AND OUTREACH ,"1200 E DAVIS ST SUITE 115 MESQUITE,TX",,,jhall0296@yahoo.com,Completed
0,TEST,111 NORTH WALMART,,,ron.easley@walmart.com,Completed
0,COFFEE MAKERS,HAMPTON ROADS POLICE ATHLETIC LEAGUE ,,,wayne@hrpal.org,Completed
91401,GRANT HS MARCHING BAND,"13000, OXNARD STREET, LOS ANGELES, CA 91401",LOS ANGELES,CA,noah.henriksson@lausd.net,Completed
56001,GRACE CHRISTIAN SCHOOL,"600 LIND STREET, MANKATO, MN 56001",MANKATO,MN,larryj0502@gmail.com,Completed
78130,UNITED WAY OF COMAL COUNTY,"468 S. SEGUIN AVE, STE 403, NEW BRAUNFELS, TX 78130",NEW BRAUNFELS,TX,unitedway@uwcomal.org,Completed
99508,MANAI FOU AG,2600 E 16TH AVE ANCHORAGE AK 99508,ANCHORAGE,AK,mameafj@gmail.com,Completed
75237,ODDS ARE AGAINST US,"7272 MARVIN D. LOVE FRWY. 614,  DALLAS TEXAS 75237",DALLAS,TX,hjerry972@gmail.com,Completed
0,ODDS ARE AGAINST US,ODDS ARE AGAINST US,,,Jerry@oddsareagainstus.net,Completed
0,RGV FOOD BANK,724 N CAGE BLVD PHARR TX,PHARR,TX,isestra.s02763@stores.us.walmart.com,Completed
85204,HANDSON GREATER PHOENIX,"1125 E SOUTHERN AVE. STE 200. MESA, AZ 85204",MESA,AZ,colleen@handsonphoenix.org,Completed
78130,UNITED WAY OF COMAL COUNTY,"468 S. SEGUIN AVE. STE 403,  NEW BRAUNFELS, TEXAS 78130",NEW BRAUNFELS,TX,unitedway@uwcomal.org,Completed
81201,SALIDA MONTESSORI CHARTER SCHOOL ,"1040 I STREET, SALIDA, CO 81201",SALIDA,CO,anne_wester@salidamcs.org,Completed
23805,PETERSBURG SHERIFF'S OFFICE,"8 COURTHOUSE AVE.  PETERSBURG, VA.  23805",PETERSBURG,VA,sheriffcrawford@me.com,Completed
0,HUMANE SOCIETY OF PARKERSBURG,530 29TH STREET,,,cassie_wright@hsop.org,Completed
0,RGV FOOD BANK,724 N CAGE BLVD PHARR TX,,,j0c0voi.s02763@us.wal-mart.com,Completed
81101,ALPINE ACHIEVERS INITIATIVE,"404 13TH ST, ALAMOSA, CO 81101",ALAMOSA,CO,admin@alpineachievers.org,Completed
84115,RUFF HAVEN CRISIS SHELTERING,1370 S 400 W SALT LAKE CITY UT 84115,SALT LAKE CITY,UT,Info@ruffhaven.org,Completed
57501,OAHE YOUNG MENS CHRISTIAN ASSOCIATION,"900 E CHURCH ST, PIERRE, SD 57501",PIERRE,SD,lucas@oaheymca.org,Completed
43213,CITY OF WHITEHALL,"360 S. YEARLING, COLUMBUS OH. 43213",COLUMBUS,OH,mew0048.s03477.us@wal-mart.com,Completed
43219,FCBDD,2879 JOHNSTOWN RD. COLUMBUS OH. 43219,COLUMBUS,OH,mew0048.s03447.us@wal-mart.com,Completed
19804,NEW CASTLE COUNTY VO-TECH,"1417 NEWPORT RD, WILMINGTON, DE 19804",WILMINGTON,DE ,stephanie.foster@nccvt.k12.de.us,Completed
0,BOYS AND GIRLS CLUB,3902 GREENWOOD DRIVE,,,vblanco@bgccb.org,Completed
19428,"THE CTC WELLNESSFOUNDATION DBA DON'T STALL, JUST CALL","3012 BUTLER PIKE CONSHOHOCKEN, PA 19428",CONSHOHOCKEN,PA,maryc@dontstalljustcall.org,Completed
13502,SUNY POLY FOUNDATION,"100 SEYMOUR RD., UTICA, NY 13502",UTICA,NY,andrea.lagatta@sunypoly.edu,Completed
0,RIO GRANDE VALLEY FOOD BANK,724 N CAGE BLVD PHARR TX,,,j0c0voi.s2763@us.wal-mart.com,Completed
13501,UTICA ZOOLOGICAL SOCIETY,1 UTICA ZOO WAY UTICA NY  13501,UTICA,NY,a.heath@uticazoo.org,Completed
16602,ALTOONA AREA HS,1404 6TH AVENUE ALTOONA PA 16602,ALTOONA,PA,TLeaper@altoonasd.com,Completed
0,HOOPER CITY INC.,HOOPER CITY INC.,,,sbingham@hoopercity.gov,Completed
12144,NEW HOPE GREATER CDC,"10 PAULINE COURT RENSSELAER, NY 12144",RENSSEAER,NY,newhopeflccdc@aol.com,Completed
0,RGV FOOD BANK,724 N CAGE BLVD PHARR TX,,,NNVILLA.S02763@US.WAL-MART.COM,Completed
0,ENPOWER BOONE,BOONE CO,,,tlt00a6.03597@us.wal-mart.com,Completed
38619,BRYANT LANE COWBOY CHURCH,"7277 HIGHWAY 310 W. COMO, MS 38619",COSMO,MS,jking.blcc@gmail.com,Completed
40336,ESTILL COUNTY FISCAL COURT,"130 MAIN STREET, ROOM 101, IRVINE, KENTUCKY 40336",IRVINE,KY,freidal@estillcounty.net,Completed
0,REFUGE RIDGE,901 LITTLE CANE CREEK,,,Marti@refugeridge.org,Completed
36605, APOSTOLIC PENTECOSTAL CHURCH IN JESUS NAME, 1252 ANTWERP STREET MOBILE AL 36605,MOBILE,AL,sandrapaige421@gmail.com,Completed
37643,WYNNWOOD WILDLIFE REHAB,"150 CECIL ESTEP RD ELIZABETHTON, TN. 37643",ELIZABETHTON,TN,wildliferehab@wynnwoodwildlife.org,Completed
0,RGVFOOD BANK,724 N CAGE ST,,,NNVILLA.S02763@US.WAL-MART.COM,Completed
76457,CIRCLE OF LOVE ANIMAL SANCTUARY,455 PRIVATE ROAD 118A HICO TX 76457,HICO,TX,whitlockj427@gmail.com,Completed
4257,MEXICO HISTORICAL SOCIETY ,"3 OXFORD ST MEXICO, ME 04257",MEXICO,ME,nghiandave@gmail.com,Completed
4257,MEXICO HISTORICAL SOCIETY,"3 OXFORD STREET,MEXICO, MAINE 04257",MEXICO,ME,nghiandave@gmail.com,Completed
0,RGV FOOD BANK,724 N CAGE BLVD PHARR TX,,,isestra.s02763@stores.us.wal-mart.com,Completed
22408,FREDERICKSBURG REGIONAL FOOD BANK,"3631 LEE HILL DRIVE, FREDERICKSBURG VIRGINIA 22408",FREDERICKSBURG,VA,SKNAPP@FREDFOOD.ORG,Completed
81201,GREATER ARKANSAS RIVER NATURE ASSOCIATION,"209 E 3RD ST, SALIDA, CO 81201",SALIDA,CO,jessica@garna.org,Completed
28327,NEW COVENANT FELLOWSHIP,"1305 HULSEY ROAD, CARTHAGE, NC 28327",CARTHAGE,NC,getconnected@ncftoday.com,Completed
43506,BLOOM KIDS CLOSET,"130 N MAIN ST BRYAN , OH 43506",BRYAN,OH,cdominique@bloomkids.net,Completed
13502,SUNY POLY FOUNDATION,"100 SEYMOUR RD., UTICA, NY 13502",UTICA,NY,pasquaa@sunypoly.edu,Completed
0,RIO GRANDE VALLEY FOOD BANK,724 N CAGE BLVD PHARR TX,,,j0c0voi.s02763@us.wal-mart.com,Completed
24260,JEWELL RIDGE COMMUNITY RECREATIONAL AND DEVELOPMENT CORPORATION ,PO BOX 179 JEWELL RIDGE VA 24260,JEWELL RIDGE,VA,nanareed4@yahoo.com,Completed
0,RGV FOOD BANK,724 N CAGE BLVD PHARR TX,,,j0c0voi.s02763@us.wal-mart.com,Completed
28445,FOLKSTONE BAPTIST CHURCH,133 OLD FOLKSTONE RD HOLLY RIDGE NC 28445,HOLLY RIDGE,NC,FOLKSTONECHURCHMINISTRY@GMAIL.COM,Completed
70501,BAYOU ANGEL DISASTER RELIEF ,200 N ANITA ST LAFAYETTE LA 70501,LAFAYETTE,LA,Treygym4u@gmail.com,Completed
15370,GROWING UP GREENE,52 S. CHURCH WAYNESBURG PA 15370,WAYNESBURG,PA,mholloway@greenecountypa.gov,Completed
49090,SENIOR SERVICES OF VAN BUREN COUNTY,"08337 M-140 HWY, SOUTH HAVEN, MI 49090",SOUTH HAVEN,MI,twheeler@ss-vbc.org,Completed
3102,BLESS THIS HOME,"20 BLAINE ST MANCHESTER, NH 03102",MANCHESTER,NH,info@blessthishome.org,Completed
0,BAYOU ANGEL DISASTER RELIEF,200 N ANITA ST,,,Treygym4u@gmail.com,Completed
