Store Format,Store,Address,City,State,Zip,Program Launch Month,Demo & feature Available - store list
WM Supercenter,2948,13310 Telegraph Rd,Santa Fe Springs,CA,90670,May,2948
WM Supercenter,5641,1000 E Imperial Hwy,La Habra,CA,90631,May,#N/A
WM Supercenter,5930,88 E Orangethorpe Ave,Anaheim,CA,92801,May,5930
WM Supercenter,54,2004 S Pleasant St,Springdale,AR,72764,May,54
WM Supercenter,144,2875 W Martin Luther King Blvd,Fayetteville,AR,72704,May,144
WM Supercenter,1203,4928 State Road 674,Wimauma,FL,33598,May,1203
WM Supercenter,4108,4870 Elm Springs Rd,Springdale,AR,72762,May,4108
Neighborhood Market,2406,3155 S Federal Hwy,Delray Beach,FL,33483,August,#N/A
Neighborhood Market,2499,8801 Conroy Windermere Rd,Orlando,FL,32835,August,#N/A
Neighborhood Market,3617,600 S Alafaya Trl,Orlando,FL,32828,August,#N/A
Neighborhood Market,3654,808 W Walnut St,Rogers,AR,72756,August,#N/A
Neighborhood Market,4142,4520 S Semoran Blvd,Orlando,FL,32822,August,#N/A
Neighborhood Market,4380,10635 W Atlantic Blvd,Coral Springs,FL,33071,August,#N/A
Neighborhood Market,4498,4650 N University Dr,Pompano Beach,FL,33067,August,#N/A
Neighborhood Market,4516,660 W Martin Luther King Blvd,Fayetteville,AR,72701,August,#N/A
Neighborhood Market,4617,1199 S Federal Hwy,Pompano Beach,FL,33062,August,#N/A
Neighborhood Market,4686,906 SW Regional Airport Blvd,Bentonville,AR,72712,August,#N/A
Neighborhood Market,5179,201 S Chickasaw Trl,Orlando,FL,32825,August,#N/A
Neighborhood Market,5265,2125 Nolte Rd,Saint Cloud,FL,34772,August,#N/A
WM Supercenter,1387,3801 Turtle Creek Dr,Pompano Beach,FL,33067,August,1387
WM Supercenter,1436,6294 Forest Hill Blvd,West Palm Beach,FL,33415,August,1436
WM Supercenter,1511,1800 S University Dr,Hollywood,FL,33025,August,1511
WM Supercenter,1589,16205 S Military Trl,Delray Beach,FL,33484,August,1589
WM Supercenter,1590,5851 NW 177th St,Hialeah,FL,33015,August,1590
WM Supercenter,1680,15885 SW 88th St,Miami,FL,33196,August,1680
WM Supercenter,1845,4700 S Flamingo Rd,Fort Lauderdale,FL,33330,August,1845
WM Supercenter,1851,7900 W Mcnab Rd,Pompano Beach,FL,33068,August,1851
WM Supercenter,1916,5571 W Hillsboro Blvd,Pompano Beach,FL,33073,August,1916
WM Supercenter,2091,8651 NW 13th Ter,Miami,FL,33126,August,2091
WM Supercenter,2151,12555 W Sunrise Blvd,Fort Lauderdale,FL,33323,August,2151
WM Supercenter,2591,151 SW 184th Ave,Hollywood,FL,33029,August,2591
WM Supercenter,2727,33501 S Dixie Hwy,Homestead,FL,33034,August,2727
WM Supercenter,2789,3200 Old Boynton Rd,Boynton Beach,FL,33436,August,2789
WM Supercenter,2946,2500 W Broward Blvd,Fort Lauderdale,FL,33312,August,2946
WM Supercenter,2962,2300 W Atlantic Blvd,Pompano Beach,FL,33069,August,2962
WM Supercenter,2963,6001 Coral Ridge Dr,Pompano Beach,FL,33076,August,2963
WM Supercenter,3163,301 S State Road 7,Hollywood,FL,33023,August,3163
WM Supercenter,3235,1425 NE 163rd St,Miami,FL,33162,August,3235
WM Supercenter,3311,19501 NW 27th Ave,Miami Gardens,FL,33056,August,3311
WM Supercenter,3397,17650 NW 2nd Ave,Miami,FL,33169,August,3397
WM Supercenter,3625,3001 N State Road 7,Fort Lauderdale,FL,33313,August,3625
WM Supercenter,3858,22100 State Road 7,Boca Raton,FL,33428,August,3858
WM Supercenter,4161,9191 W Flagler St,Miami,FL,33174,August,4161
WM Supercenter,4303,3200 NW 79th St,Miami,FL,33147,August,4303
WM Supercenter,4332,8990 Turkey Lake Rd,Orlando,FL,32819,August,4332
WM Supercenter,4446,4225 45th St,West Palm Beach,FL,33407,August,4446
WM Supercenter,5325,5555 W Atlantic Blvd,Pompano Beach,FL,33063,August,5325
WM Supercenter,5854,8400 Coral Way,Miami,FL,33155,August,5854
WM Supercenter,5911,3625 S Federal Hwy,Boynton Beach,FL,33435,August,#N/A
WM Supercenter,5912,21151 S Dixie Hwy,Miami,FL,33189,August,5912
WM Supercenter,5932,12800 Pines Blvd,Hollywood,FL,33027,August,5932
Neighborhood Market,2396,12700 S Military Trl,Boynton Beach,FL,33436,August,#N/A
Neighborhood Market,2930,6931 NW 88th Ave,Fort Lauderdale,FL,33321,August,#N/A
Neighborhood Market,3011,9840 S Military Trl,Boynton Beach,FL,33436,August,#N/A
Neighborhood Market,3817,433 Avalon Park South Blvd,Orlando,FL,32828,August,#N/A
Neighborhood Market,4159,2850 E Osceola Pkwy,Kissimmee,FL,34743,August,#N/A
Neighborhood Market,4595,1885 N Pine Island Rd,Fort Lauderdale,FL,33322,August,#N/A
Neighborhood Market,4826,8550 Stirling Rd,Hollywood,FL,33024,August,#N/A
Neighborhood Market,5106,4255 Alafaya Trl,Oviedo,FL,32765,August,#N/A
Neighborhood Market,5132,5216 Red Bug Lake Rd,Winter Springs,FL,32708,August,#N/A
Neighborhood Market,5615,11800 Hialeah Gardens Blvd,Hialeah,FL,33018,August,#N/A
Neighborhood Market,5758,3911 S Jog Rd,Lake Worth,FL,33467,August,#N/A
Neighborhood Market,5759,6177 S Jog Rd,Lake Worth,FL,33467,August,#N/A
Neighborhood Market,5875,12550 S Orange Blossom Trl,Orlando,FL,32837,August,#N/A
Neighborhood Market,6967,4105 S State Road 7,Lake Worth,FL,33449,August,#N/A
WM Supercenter,110,16313 New Independence Pkwy,Winter Garden,FL,34787,August,110
WM Supercenter,1349,3306 N University Dr,Fort Lauderdale,FL,33351,August,1349
WM Supercenter,1517,5001 N Federal Hwy,Pompano Beach,FL,33064,August,1517
WM Supercenter,2176,2144 W Indiantown Rd,Jupiter,FL,33458,August,2176
WM Supercenter,5871,5734 S Orange Blossom Trl,Orlando,FL,32839,August,#N/A
WM Supercenter,5894,5511 Deep Lake Rd,Oviedo,FL,32765,August,5894
Neighborhood Market,2686,1703 E Central Ave,Bentonville,AR,72712,August,#N/A
Neighborhood Market,5737,3475 Black Forest Dr,Fayetteville,AR,72704,August,#N/A
Neighborhood Market,5738,3553 E Robinson Ave,Springdale,AR,72764,August,#N/A
Neighborhood Market,5846,3183 W Vine St,Kissimmee,FL,34741,August,#N/A
WM Supercenter,817,4444 W Vine St,Kissimmee,FL,34746,August,817
WM Supercenter,1996,2551 E Hallandale Beach Blvd,Hallandale,FL,33009,August,1996
Neighborhood Market,3069,3101 Roswell Rd,Marietta,GA,30062,August,#N/A
Neighborhood Market,3072,2912 Main St W,Snellville,GA,30078,August,#N/A
Neighborhood Market,3074,3059 Lawrenceville Hwy,Lawrenceville,GA,30044,August,#N/A
Neighborhood Market,3128,1442 S Parker Rd,Denver,CO,80231,August,#N/A
Neighborhood Market,4747,10755 Washington St,Denver,CO,80233,August,#N/A
Neighborhood Market,5815,2909 Austell Rd SW Ste 100,Marietta,GA,30008,August,#N/A
WM Supercenter,459,10300 Industrial Blvd NE,Covington,GA,30014,August,459
WM Supercenter,494,1025 Highway 34 E,Newnan,GA,30265,August,494
WM Supercenter,518,1550 Riverstone Pkwy,Canton,GA,30114,August,518
WM Supercenter,548,630 Collins Hill Rd,Lawrenceville,GA,30046,August,548
WM Supercenter,575,12182 Highway 92,Woodstock,GA,30188,August,575
WM Supercenter,594,125 Pavilion Pkwy,Fayetteville,GA,30214,August,594
WM Supercenter,856,404 Us Highway 27 Byp,Bremen,GA,30110,August,856
WM Supercenter,932,1569 N Expressway,Griffin,GA,30223,August,932
WM Supercenter,937,2795 Chastain Meadows Pkwy,Marietta,GA,30066,August,937
WM Supercenter,984,133 Sam Walton Ln,Castle Rock,CO,80104,August,984
WM Supercenter,1308,7700 W Quincy Ave,Littleton,CO,80123,August,1308
WM Supercenter,1488,7001 Concourse Pkwy,Douglasville,GA,30134,August,1488
WM Supercenter,1659,60 W Bromley Ln,Brighton,CO,80601,August,1659
WM Supercenter,1720,1550 Scenic Hwy N,Snellville,GA,30078,August,1720
WM Supercenter,2154,2635 Pleasant Hill Rd,Duluth,GA,30096,August,2154
WM Supercenter,2223,9499 Sheridan Blvd,Westminster,CO,80031,August,2223
WM Supercenter,2475,1436 Dogwood Dr SE,Conyers,GA,30013,August,2475
WM Supercenter,2732,600 Carrollton Villa Rica Hwy,Villa Rica,GA,30180,August,2732
WM Supercenter,2751,601 Englewood Pkwy,Englewood,CO,80110,August,2751
WM Supercenter,2892,11101 S Parker Rd,Parker,CO,80134,August,2892
WM Supercenter,3067,4975 Jimmy Carter Blvd,Norcross,GA,30093,August,3067
WM Supercenter,3201,135 Willow Ln,McDonough,GA,30253,August,3201
WM Supercenter,3313,10900 E Briarwood Ave,Englewood,CO,80112,August,3313
WM Supercenter,3388,1400 Lawrenceville Hwy,Lawrenceville,GA,30044,August,3388
WM Supercenter,3402,1400 Hudson Bridge Rd,Stockbridge,GA,30281,August,3402
WM Supercenter,3566,9400 E Hampden Ave,Denver,CO,80231,August,3566
WM Supercenter,3609,2940 Anvil Block Rd,Ellenwood,GA,30294,August,3609
WM Supercenter,3748,3826 Cobb Pkwy NW,Acworth,GA,30101,August,3748
WM Supercenter,3786,3250 Sardis Church Rd,Buford,GA,30519,August,3786
WM Supercenter,3874,156 Power Center Dr,Dawsonville,GA,30534,August,3874
WM Supercenter,4288,4651 W 121st Ave,Broomfield,CO,80020,August,4288
WM Supercenter,4558,4200 Salem Rd,Covington,GA,30016,August,4558
WM Supercenter,4567,7101 E 128th Ave,Brighton,CO,80602,August,4567
WM Supercenter,4639,2100 Legacy Cir,Elizabeth,CO,80107,August,4639
WM Supercenter,4734,9400 Ralston Rd,Arvada,CO,80002,August,4734
WM Supercenter,5049,13420 W Coal Mine Ave,Littleton,CO,80127,August,5049
WM Supercenter,5137,6101 S Aurora Pkwy,Aurora,CO,80016,August,5137
WM Supercenter,5252,4221 Atlanta Hwy,Loganville,GA,30052,August,5252
WM Supercenter,5341,500 Summit Blvd,Broomfield,CO,80021,August,5341
WM Supercenter,5676,2770 W Evans Ave,Denver,CO,80219,August,#N/A
WM Supercenter,5814,2200 Holly Springs Pkwy,Canton,GA,30115,August,5814
WM Supercenter,7185,3655 Browns Bridge Rd,Cumming,GA,30028,August,7185
Neighborhood Market,6149,13801 Landstar Blvd,Orlando,FL,32824,August,#N/A
Neighborhood Market,6894,820 Balmy Beach Dr,Apopka,FL,32703,August,#N/A
WM Supercenter,705,17030 US Highway 441,Mount Dora,FL,32757,August,705
WM Supercenter,857,3653 S Orlando Dr,Sanford,FL,32773,August,857
WM Supercenter,890,11250 E Colonial Dr,Orlando,FL,32817,August,890
WM Supercenter,955,1700 S Orange Blossom Trl,Apopka,FL,32703,August,955
WM Supercenter,1086,4400 13th St,Saint Cloud,FL,34769,August,1086
WM Supercenter,1220,2500 S Kirkman Rd,Orlando,FL,32811,August,1220
WM Supercenter,1398,4545 Hypoluxo Rd,Lake Worth,FL,33463,August,1398
WM Supercenter,2695,1450 Johns Lake Rd,Clermont,FL,34711,August,2695
WM Supercenter,2814,9300 NW 77th Ave,Hialeah,FL,33016,August,2814
WM Supercenter,2881,1471 E Osceola Pkwy,Kissimmee,FL,34744,August,2881
WM Supercenter,2987,4301 S University Dr,Fort Lauderdale,FL,33328,August,2987
WM Supercenter,3207,1601 Rinehart Rd,Sanford,FL,32771,August,3207
WM Supercenter,3782,5991 S Goldenrod Rd,Orlando,FL,32822,August,3782
WM Supercenter,4365,11930 Narcoossee Rd,Orlando,FL,32832,August,4365
WM Supercenter,4588,3101 W Princeton St,Orlando,FL,32808,August,4588
WM Supercenter,5299,550 Us Highway 27,Clermont,FL,34714,August,5299
WM Supercenter,5420,3250 Vineland Rd,Kissimmee,FL,34746,August,5420
WM Supercenter,5882,2765 10th Ave N,Lake Worth,FL,33461,August,5882
Neighborhood Market,525,825 Casa Verde Blvd,Lake Mary,FL,32746,August,#N/A
Neighborhood Market,2741,3510 SE 14th St,Bentonville,AR,72712,August,#N/A
Neighborhood Market,5741,9047 Curry Ford Rd,Orlando,FL,32825,August,#N/A
Neighborhood Market,5988,2271 N Semoran Blvd,Orlando,FL,32807,August,#N/A
Neighborhood Market,6971,240 Slack St,Pea Ridge,AR,72751,August,#N/A
WM Supercenter,6397,15601 SW 127th Ave,Miami,FL,33177,August,6397
WM Supercenter,520,440 Atlanta Hwy NW,Winder,GA,30680,August,520
WM Supercenter,722,1735 S Park St,Carrollton,GA,30117,August,722
WM Supercenter,780,2050 W Spring St,Monroe,GA,30655,August,780
WM Supercenter,878,1500 Market Place Blvd,Cumming,GA,30041,August,878
WM Supercenter,1252,6675 Business Center Dr,Littleton,CO,80130,August,1252
WM Supercenter,1314,3795 Buford Dr,Buford,GA,30519,August,1314
WM Supercenter,1578,970 Mansell Rd,Roswell,GA,30076,August,1578
WM Supercenter,1586,1133 E West Connector,Austell,GA,30106,August,1586
WM Supercenter,3389,3435 Centerville Hwy,Snellville,GA,30039,August,3389
WM Supercenter,3403,3615 Marietta Hwy,Dallas,GA,30157,August,3403
WM Supercenter,3461,2717 Highway 54,Peachtree City,GA,30269,August,3461
WM Supercenter,3462,3245 Lawrenceville Suwanee Rd,Suwanee,GA,30024,August,3462
WM Supercenter,3867,200 W 136th Ave,Denver,CO,80234,August,3867
WM Supercenter,5275,6435 Bells Ferry Rd,Woodstock,GA,30189,August,5275
WM Supercenter,5363,11465 Tara Blvd,Lovejoy,GA,30250,August,5363
WM Supercenter,800,2501 Citrus Blvd,Leesburg,FL,34748,August,800
WM Supercenter,618,4166 Jimmy Lee Smith Pkwy,Hiram,GA,30141,August,618
WM Supercenter,249,831 Highway 59 S,Cleveland,TX,77327,September,249
WM Supercenter,602,1025 Sawdust Rd,Spring,TX,77380,September,602
WM Supercenter,703,27650 State Highway 249,Tomball,TX,77375,September,703
WM Supercenter,765,16503 Nacogdoches Rd,San Antonio,TX,78247,September,765
WM Supercenter,872,1919 N Main St,Pearland,TX,77581,September,872
WM Supercenter,999,7239 SW Loop 410,San Antonio,TX,78242,September,999
WM Supercenter,1126,1381 S Main St Ste 101,Boerne,TX,78006,September,1126
WM Supercenter,1198,1515 N Loop 1604 E,San Antonio,TX,78232,September,1198
WM Supercenter,1313,1200 SE Military Dr,San Antonio,TX,78214,September,1313
WM Supercenter,1347,1430 Austin Hwy,San Antonio,TX,78209,September,1347
WM Supercenter,1409,10750 Westview Dr,Houston,TX,77043,September,1409
WM Supercenter,1803,4331 Thousand Oaks Dr,San Antonio,TX,78217,September,1803
WM Supercenter,2439,8700 N Highway 146,Baytown,TX,77523,September,2439
WM Supercenter,2502,100 Colony Ln,Latrobe,PA,15650,September,2502
WM Supercenter,2505,5501 Highway 6,Missouri City,TX,77459,September,2505
WM Supercenter,2599,5555 De Zavala Rd,San Antonio,TX,78249,September,2599
WM Supercenter,2769,5626 Walzem Rd,San Antonio,TX,78218,September,2769
WM Supercenter,2864,6703 W Loop 1604 N,San Antonio,TX,78254,September,2864
WM Supercenter,2993,345 Highway 6,Sugar Land,TX,77478,September,2993
WM Supercenter,3106,8538 Interstate Highway 35 S,San Antonio,TX,78211,September,3106
WM Supercenter,3223,100 Chippewa Town Ctr,Beaver Falls,PA,15010,September,3223
WM Supercenter,3297,12353 Fm 1960 Rd W,Houston,TX,77065,September,3297
WM Supercenter,3298,255 Fm 518 Rd,Kemah,TX,77565,September,3298
WM Supercenter,3391,6102 Fm 3009,Schertz,TX,78154,September,3391
WM Supercenter,3585,2901 Riley Fuzzell Rd,Spring,TX,77386,September,3585
WM Supercenter,3591,18700 Highway 105 W,Montgomery,TX,77356,September,3591
WM Supercenter,3827,5660 W Grand Pkwy S,Richmond,TX,77406,September,3827
WM Supercenter,4064,4821 Virginia Beach Blvd,Virginia Beach,VA,23462,September,4064
WM Supercenter,5091,26270 Northwest Fwy,Cypress,TX,77429,September,5091
WM Supercenter,5116,9025 Spencer Hwy,La Porte,TX,77571,September,5116
WM Supercenter,5144,8315 Fm 78,Converse,TX,78109,September,5144
WM Supercenter,5146,8030 Bandera Rd,San Antonio,TX,78250,September,5146
WM Supercenter,5245,3302 SE Military Dr,San Antonio,TX,78223,September,5245
WM Supercenter,5253,632 Grassfield Pkwy,Chesapeake,VA,23322,September,5253
WM Supercenter,5449,9929 Highway 6,Missouri City,TX,77459,September,5449
Neighborhood Market,7361,12631 Broadway St,Pearland,TX,77584,September,#N/A
WM Supercenter,96,1700 N State Route 291,Harrisonville,MO,64701,September,96
WM Supercenter,109,2000 N Walnut St,Cameron,MO,64429,September,109
WM Supercenter,184,600 NE Coronado,Blue Springs,MO,64014,September,184
WM Supercenter,195,2203 Patsy Ln,Excelsior Springs,MO,64024,September,195
WM Supercenter,234,8301 N Church Rd,Kansas City,MO,64158,September,234
WM Supercenter,319,2015 W Foxwood Dr,Raymore,MO,64083,September,319
WM Supercenter,325,908 Walton Way,Richmond,MO,64085,September,325
WM Supercenter,437,310 Overcreek Way,Sealy,TX,77474,September,437
WM Supercenter,757,2151 W Oaklawn Rd,Pleasanton,TX,78064,September,757
WM Supercenter,865,1209 S Interstate 35,New Braunfels,TX,78130,September,865
WM Supercenter,1014,4000 S Bolger Rd,Independence,MO,64055,September,1014
WM Supercenter,1472,1752 N Frontage Rd,Hastings,MN,55033,September,1472
WM Supercenter,1577,1315 Highway 25 N,Buffalo,MN,55313,September,1577
WM Supercenter,1861,5815 Norell Ave N,Stillwater,MN,55082,September,1861
WM Supercenter,1999,1851 Bunker Lake Blvd NW,Andover,MN,55304,September,1999
WM Supercenter,2019,355 Walmart Dr,Uniontown,PA,15401,September,2019
WM Supercenter,2352,2101 2nd Ave SE,Cambridge,MN,55008,September,2352
WM Supercenter,2404,8500 Jones Maltsberger Rd,San Antonio,TX,78216,September,2404
WM Supercenter,2448,9300 E Point Douglas Rd S,Cottage Grove,MN,55016,September,2448
WM Supercenter,2642,7835 150th St W,Saint Paul,MN,55124,September,2642
WM Supercenter,2643,10240 Hudson Rd,Saint Paul,MN,55129,September,2643
WM Supercenter,2856,201 SE Salem St,Oak Grove,MO,64075,September,#N/A
WM Supercenter,2882,9451 Dunkirk Ln N,Maple Grove,MN,55311,September,2882
WM Supercenter,2955,1701 W 133rd St,Kansas City,MO,64145,September,2955
WM Supercenter,3056,305 Singing Oaks,Spring Branch,TX,78070,September,3056
WM Supercenter,3057,12550 Leslie Rd,Helotes,TX,78023,September,3057
