Primary,Business Domain,Data Group (Sub Domain),Data Sub Group (Business Process),Description,Example,Harm to Walmart,Harm to the Individual,Internal Remark,Data Classification,Data Category,Scope
English,All Domains,Demographic Information,Date of birth,Date a person was born.  ,PII / and is considered a key piece of personal data used to identify indificuals and analyze population trends / etc.,,,,Highly Sensitive,Personal Information,Global
English,All Domains,Demographic Information,Date of birth,Exact date a person was born.  ,PII / and is considered a key piece of personal data used to identify indificuals and analyze population trends / etc.,,,,Sensitive,Personal Information,South Africa
English,All Domains,Demographic Information,Family Member and Relative Information,Details about individuals who are connected to someone through blood / marriage / or adoption.,Parent / Sibling / Spouse / Grandchild / etc.,,,,Highly Sensitive,Personal Information,Canada
English,All Domains,Demographic Information,Family Member and Relative Information,Details about individuals who are connected to someone through blood / marriage / or adoption.,Parent / Sibling / Spouse / Grandchild / etc.,,,,Sensitive,Personal Information,Global
English,All Domains,Demographic Information,Family status and domestic information,Individual's relationship with their family members and details about their living situation.,Includes details about an individual's living situation / address / marital status / number or dependents / provides a picture of their household compensation.,,,,Highly Sensitive,Personal Information,Canada
English,All Domains,Demographic Information,Family status and domestic information,Individual's relationship with their family members and details about their living situation.,Includes details about an individual's living situation / address / marital status / number or dependents / provides a picture of their household compensation.,,,,Sensitive,Personal Information,Global
English,All Domains,Demographic Information,Height and/or weight,Observable traits of a person.,Population analysis: Collecting height and weight data from a large group of people can identify trends and patterns within different demographics. ,,,,Highly Sensitive,Personal Information,Canada
English,All Domains,Demographic Information,Height and/or weight,Observable traits of a person.,Population analysis: Collecting height and weight data from a large group of people can identify trends and patterns within different demographics. ,,,,Sensitive,Personal Information,Global
English,All Domains,Demographic Information,Household Income Data,Gross income of everyone within a household.,Statistical information that is used to provide a picture of income distribution across different demographics within a region or population group.,,,,Highly Sensitive,Personal Information,Global
English,All Domains,Demographic Information,Language Skills,Communication abilities prevalent within a given population.,Reading / Writing / Listening / Speaking,,,,Highly Sensitive,Personal Information,Canada
English,All Domains,Demographic Information,Language Skills,Abilities that allow people to communicate and express their thoughts.,Reading / Writing / Listening / Speaking,,,,Sensitive,Personal Information,Global
English,All Domains,Demographic Information,Number of Children,The number of children within a household.,The number of children under 18 living in a household.,,,,Highly Sensitive,Personal Information,Canada
English,All Domains,Demographic Information,Number of Children,The number of children within a household.,The number of children under 18 living in a household.,,,,Sensitive,Personal Information,Global
English,All Domains,Demographic Information (Individual-Level),Age,Age linked to any identifier or used at the individual level.,Research study with PI data associated with Age. ,,,,Sensitive,Personal Information,Global
English,All Domains,Device and Online Identifiers,Business IMEI (International Mobile Equipment Identity) Number,A unique 15 digit serial number that identifies a mobile device.,Can be used to track lost phones / block stolen phones.,,,,Highly Sensitive,Business Information,Global
English,All Domains,Device and Online Identifiers,Calendar Information,Details displayed on a calendar.,date / holidays / special events / planned events / meetings / etc.,,,,Sensitive,Personal Information,Global
English,All Domains,Device and Online Identifiers,Call Logs,A record of phone calls made and received by a person or organization. , Customer service: Recording customer inquiries / troubleshooting issues / tracking resolution times.,,,,Sensitive,Personal Information,Global
English,All Domains,Device and Online Identifiers,Cellular/Pager Phone Number,A unique number assigned to a pager that allows it to receive messages through a cellular network.,555-123-4567,,,,Sensitive,Personal Information,Global
English,All Domains,Device and Online Identifiers,Chat Addresses ,The unique user identifier required to log in and participate in a chat session.,johnsmith123,,,,Sensitive,Personal Information,Global
English,All Domains,Device and Online Identifiers,Company Member Website/URL,Specific web address that provides access to exclusive content and features for members of a company.,wmlink/onewalmart,None,None,,Non-Sensitive,Business Information,Global
English,All Domains,Device and Online Identifiers,Contact/Address Book,Application that allows you to manage contacts.,Microsoft Outlook contacts / Apple Contacts / Google Contacts / etc.,,,,Sensitive,Personal Information,Global
English,All Domains,Device and Online Identifiers,Customer Email Address,Walmart customer email addresses,Internal dashboard usage,Trust Impact,Spam‚ profiling,Low-level PI with identifiable use,Sensitive,Personal Information,Global
English,All Domains,Device and Online Identifiers,Employer Issued Email,Email addresses used for a business and it's members.,johnsmith@walmart.com,,,,Sensitive,Personal Information,Global
English,All Domains,Device and Online Identifiers,Hostnames‚ IPs ,Device identifiers,Included in architecture diagrams for support docs,Network attack surface exposure,N/A,Could be used for targeted cyberattack,Highly Sensitive,Personal Information,Global
English,All Domains,Device and Online Identifiers,Individual's IP Address  (Used for targeted advertising and behavior tracking),An Individual's IP Address that is collected and used for targeted advertising‚ etc.,User profiles / Online behaviors / etc.,,,,Sensitive,Personal Information,Global
English,All Domains,Device and Online Identifiers,Individual's IP Address (Collected for retail operations),An Individual's IP Address that is collected as part of retail operations.,Transaction verification,,,,Sensitive,Personal Information,Global
English,All Domains,Device and Online Identifiers,IP Address (Assigned to an organization),Publically available IP Address assigned to an organization (for .e.g. firewall‚  DNS‚ VPN Gateway etc.).,Internal IP Addresses to Walmart.,,,,Non-Sensitive,Personal Information,Global
English,All Domains,Device and Online Identifiers,Mobile device identifiers (MAC address‚ SIM etc.),A media access contro address that is assigned to a network interface.  A SIM is a subscriber identity module card that identifies an dautheticates a user on a mobile network.,SIM card used for cellular phone,,,,Sensitive,Personal Information,Global
English,All Domains,Device and Online Identifiers,Online identifiers (IP address‚ Machine ID‚ etc.),A unique string of characters or numbers that identify a device or user on the internet.,IP address / Machine ID / etc. ,,,,Sensitive,Personal Information,Global
English,All Domains,Device and Online Identifiers,Personal Email Address,An email address used primarily for non-business communication.,johnsmith23@gmail.com,,,,Sensitive,Personal Information,Global
English,All Domains,Device and Online Identifiers,Personal IMEI (International Mobile Equipment Identity) Number,A unique 15 digit code assigned to every mobile phone that identifies a specific device on a cellular network.,Can be used to track lost phones / block stolen phones.,,,,Highly Sensitive,Personal Information,Global
English,All Domains,Device and Online Identifiers,Personal mobile number,A unique phone number assigned to an individual's personal mobile phone.,Phone number assigned to an individual's personal mobile phone.,,,,Sensitive,Personal Information,Global
English,All Domains,Device and Online Identifiers,Personal social media username,Unique identifier for a profile on a social media platform. ,john_smith / @jsmith ,,,,Highly Sensitive,Personal Information,Global
English,All Domains,Device and Online Identifiers,Social Media Profile,A way that someone can present themselves online by sharing information about themselves.,LinkedIn / Facebook / Instagram / etc.,,,,Highly Sensitive,Personal Information,Global
English,All Domains,Education Information,Academic Transcript,The official documentation of a student's academic performance.,Student transcript,,,,Highly Sensitive,Personal Information,Global
English,All Domains,Education Information,Education Qualifications/Certifications,Details about a person that are used to assess their suitability for a specific position.,Education background / Relevant skills / Work experience /  etc.,,,,Sensitive,Personal Information,Global
English,Corporate,Employment information,AES Survey Responses,Associate Engagement Survey responses where participants' identies are completely concealed.,AES survey response for a team,,,,Highly Sensitive,Business Information,Global
English,Corporate,Employment information,Anonymous Survey Responses ,Survey responses where identies are kept private.,Onboarding survey,,,,Sensitive,Business Information,Global
English,All Domains,Employment Information,Associate Demographics ,Demographic data related to associates.,(age‚ gender‚ tenure) used in internal equity dashboard for DEI Analytics,Cultural risk if misused,Group bias or trend exposure,May not ID individuals‚ but still highly sensitive due to impact on protected groups.,Highly Sensitive,Business Information,Global
English,All Domains,Employment Information,Associate Discount Card usage data,Information detailing how an associate uses their company provided discount card.,Purchase date / time / location / items  / etc.,,,,Highly Sensitive,Personal Information,Global
English,All Domains,Employment Information,Associate employment history‚ evaluations‚ & disciplinary actions,Previous job related employment details.,Work experience / Evaluations / Diciplinary actions / / etc.,,,,Sensitive,Personal Information,South Africa
English,All Domains,Employment Information,Boss/Supervisor,An employee who is responsible for the performance of an individual / smaller group within an organization.,Generally manager level and above.,,,,Sensitive,Personal Information,Global
English,All Domains,Employment Information,Colleague survey responses (anonymous),Surveys that encourage employees to provide candid feedback by guaranteeing their identities are separated from their responses.,AES,,,,Sensitive,Personal Information,Global
English,All Domains,Employment Information,Colleague survey responses (identifiable),Surveys where an individual's answers are linked to their personal information.,A company's exit survey.,,,,Highly Sensitive,Personal Information,Global
English,All Domains,Employment Information,Communication logs related to actions‚ but not individuals,Logs that obtain insights into communication pattterns and system behavior without compromising privacy.,Stating an email came from an anonymous name instead of the real name. ,,,,Sensitive,Personal Information,Global
English,All Domains,Employment Information,Company Name,The official company name that is employing an individual.  ,Walmart Inc. employees John Smith.,,,,Sensitive,Personal Information,Global
English,All Domains,Employment Information,Compulsory Employee Salary Deductions,Salary deductions that are required by law. ,Federal taxes / State taxes / Social Security / Medicare,,,,Highly Sensitive,Personal Information,Global
English,All Domains,Employment Information,Corporate held credit/debit Primary Account Number (PAN),Used to identify a business's card and account.,Actual credit or debit card number displayed on card.,PCI non-compliance,Identity theft,Prohibited PI via unsecure channel,Highly Sensitive-Restricted,Personal Information,Global
English,All Domains,Employment Information,Cover Letter,A document that is submitted when applying for a job‚ internship‚ etc.,Cover letter submitted during the application process for Walmart.,,,,Sensitive,Personal Information,Global
English,All Domains,Employment information,COVID and other epidemic related records,Records that show distribution of cases over time.,Case numbers in a county for COVID.,,,,Highly Sensitive,Personal Information,Global
English,All Domains,Employment Information,Employee work restriction status (e.g.‚ accommodation request),A type of work restriction status for an employee.,Stored in HR notes or shared for shift scheduling,Cultural risk‚ legal challenge,Disability exposure‚ discrimination,Protected class information; highly sensitive in employment context,Highly Sensitive,Personal Information,Global
English,All Domains,Employment Information,Employment Records (including payroll‚ attendance‚ benefits),Collection of information about an employee.,Personal details / Work history / Performance / Compensation / etc.,,,,Highly Sensitive,Personal Information,Global
English,All Domains,Employment Information,Expenses information,Costs incurred by an employee while performing their job duties.,Travel / meals / office supplies / training fees / etc.,,,,Highly Sensitive,Personal Information,Canada
English,All Domains,Employment Information,Expenses information,Costs incurred by an employee while performing their job duties.,Travel / meals / office supplies / training fees / etc.,,,,Sensitive,Personal Information,Global
English,All Domains,Employment Information,Family‚ dependents‚ or beneficiary information,Details about people who would be impacted by your financial or legal arrangements.,Immediate family / Dependents / etc.,,,,Sensitive,Personal Information,South Africa
English,All Domains,Employment Information,Grievance‚ disciplinary‚ and claim-related information,PI information related to an employee.,Grievance / Diciplinary / Claim-related / etc.,,,,Highly Sensitive,Personal Information,Global
English,All Domains,Employment Information,Health & safety related information and accident reporting,Documented details about workplace accidents or concerns to identify potential risks.,An employee slipping and falling on a wet floor causing a report to be filed and preventative steps to be implimented.,,,,Highly Sensitive,Personal Information,Global
English,All Domains,Employment Information,Income/Salary/Service Fees/Other Compensation,Total amount of money an individual receives for their work. ,Salary / bonuses / commission / etc.,,,,Highly Sensitive,Personal Information,Global
English,All Domains,Employment Information,Information relating to dependents or beneficiaries,Dependents are people that someone financially supports and beneficiaries are people who inherit something from someone when they pass away.,Health benefits for dependents / Life insurance / 401(k) beneficiaries / etc.,,,,Highly Sensitive,Personal Information,Global
English,All Domains,Employment Information,Internal org chart with titles and emails,Details related to an internal Org chart.,Shared outside secure HR channels,Organizational visibility,Spam‚ targeting‚ impersonation,Reveals hierarchy and internal structure; low direct risk but sensitive if externally disclosed,Sensitive,Business Information,Global
English,All Domains,Employment Information,Interviewee assessment and hiring decision,The process of evaluating a candidate's skills / experience / and overall fit for a job during an interview.,Score card,,,,Sensitive,Personal Information,Global
English,All Domains,Employment Information,Job Code,A unique code that represents a particular job title within an organization.,Example: Level 84 Manager Role,None,None,,Non-Sensitive,Business Information,Global
English,All Domains,Employment Information,Leave of Absence Information,Details regarding an employee's authorized time away from work.,Medical condition / personal circumstances / reason for leave / paid / unpaid / etc.,,,,Sensitive,Personal Information,Global
English,All Domains,Employment Information,Licenses and Professional Membership,Combimation of two credentials that allow someone to practice a specific profession and be a member of a profesional association.,Example: A doctor might have a medical license (required by law to practice medicine) and be a member of the American Medical Association (a professional association). ,,,,Sensitive,Personal Information,Global
English,All Domains,Employment Information,Licenses held and related information,A list of licenses someone is legally allowed to hold and use.,Pharmacist / Medical / Attorney / Pilot / etc.,,,,Sensitive,Personal Information,Global
English,All Domains,Employment Information,Medical Questionnaire,A set of questions that asks about an applicant's medical history.,Determine if an applicant has any conditions that could impact their ability to perform a job.,,,,Highly Sensitive,Personal Information,Global
English,All Domains,Employment Information,Occupation/Title,The specific job title someone holds within a company.,Sourcing - Senior Manager  ,,,,Sensitive,Personal Information,Global
English,All Domains,Employment Information,Office/Location Information,Location of an office or the work location of an individual user.,Specific Walmart building address.,,,,Sensitive,Personal Information,Global
English,All Domains,Employment Information,Organization Charts,Diagrams that show the structure of a company's employees.,Reporting structure / Career path visibility / etc.,,,,Sensitive,Business Information,Global
English,All Domains,Employment Information,Owners contact details,Contact details of an owner of a business.,Available on company website / assessor's office / public records / etc.,,,,Sensitive,Personal Information,Global
English,All Domains,Employment Information,Ownership Percentage (for Key Persons),The proportion of a company the key person owns as a shareholder.,A specific key person owning more than 5%,,,,Highly Sensitive,Personal Information,Canada
English,All Domains,Employment Information,Ownership Percentage (for Key Persons),The proportion of a company the key person owns as a shareholder.,A specific key person owning more than 5%,None,None,,Non-Sensitive,Personal Information,Global
English,All Domains,Employment Information,Pay and benefits information,Details about the monetary and non-monetary compensation an enployee receives.,Salary / Wages / Health insurance / PTO  / etc.,,,,Highly Sensitive,Personal Information,Global
English,All Domains,Employment Information,Payroll Data,Details about an employee's work history and compensation.,Base wages and salaries / Hours worked / Overtime / etc. ,,,,Highly Sensitive,Personal Information,Global
English,All Domains,Employment Information,Payroll Data (China),Record of an employee's earnings and deductions as per China's regulations.,Base pay / Various allowances / Bonuses / Mandatory deductions / etc.,,,,Sensitive,Personal Information,China
English,All Domains,Employment Information,Performance‐related information,KPIs related to an employee's performance.,Quality of work / goal alignment / skill gap analysis / etc.,,,,Sensitive,Personal Information,Global
English,All Domains,Employment Information,Permit to Work,Nonimmigrant visa holders are typically required to have a work permit (EAD) before being hired to work in the U.S.,Employment Authorzation Document (EAD),,,,Highly Sensitive,Personal Information,Global
English,All Domains,Employment Information,Permit to Work,Nonimmigrant visa holders are typically required to have a work permit (EAD) before being hired to work in the U.S.,Employment Authorzation Document (EAD),,,,Sensitive,Personal Information,Central America
English,All Domains,Employment Information,Place of work‚ title‚ role‚ grade‚ responsibilities‚ reporting line,An individual's employment information.,Place of work / Title / role / etc.,,,,Sensitive,Personal Information,Global
English,All Domains,Employment Information,Professional Memberships,A status that recognizes a person's involvement in a professional organization. ,American Membership Association / Association of Chartered Certified Accountants / etc.,,,,Sensitive,Personal Information,Global
English,All Domains,Employment Information,Reason for Leave of absence ,Specific situation that necessitates an employee taking time off of work.,Medical condition / family emergency / childbirth / adoption / military / etc. ,,,,Highly Sensitive,Personal Information,Global
English,All Domains,Employment Information,Reference and Background Checks,A background check verifies a candidate's identity and work history. A reference check assesses a candidate's soft skills for a role.,Reference example: Contacting a candidate's previous employers to verify their employment details. Background check example: Identity verification / education verification / etc.,,,,Highly Sensitive,Personal Information,Global
English,All Domains,Employment Information,References,Letter or document that provides information about a job candidate.,Skills / work history / performance / etc.,,,,Sensitive,Personal Information,Global
English,All Domains,Employment Information,Resume,Details related to past work experience‚ etc.,Resume submitted with a cover letter in the walmart application process.,,,,Sensitive,Personal Information,Global
English,All Domains,Employment Information,Separation date and reason for leaving,Last day an employee worked at a company and why they departed the job.,Voluntary resignation / Termination / Retirement / Career change / etc.,,,,Sensitive,Personal Information,Global
English,All Domains,Employment Information,Skills and Achievements,Abilities and accomplishments one has gained in their professional career.,Hard skills / Soft skills / Achievements / Certifications / etc.,,,,Sensitive,Personal Information,Global
English,Corporate,Employment information,Swipe in and out logs,Documenting work hours by tracking entry and exit times. ,An employee swiping a physical employee ID card.,Labor relations risk,Behavior profiling,Behavioral metadata tied to identity,Highly Sensitive,Personal Information,Canada
English,Corporate,Employment information,Swipe in and out logs,Documenting work hours by tracking entry and exit times.,An employee swiping a physical employee ID card.,Labor relations risk,Behavior profiling,Behavioral metadata tied to identity,Sensitive,Personal Information,Global
English,All Domains,Employment Information,Tax data,Data involving the collection and reporting of taxes associated with compensation paid to employees.,Types of taxes paid by employer or employee.,,,,Highly Sensitive,Personal Information,Global
English,All Domains,Employment Information,Tax data,Data involving the collection and reporting of taxes associated with compensation paid to employees.,Types of taxes paid by employer or employee.,,,,Sensitive,Personal Information,Central America
English,All Domains,Employment Information,Taxpayer Identification Number,A nine digit number that the IRS issues for filing tax returns for not U.S. citizens who are not eligible for a SSN.,Used for tax returns,,,,Highly Sensitive,Personal Information,Global
English,All Domains,Employment Information,Taxpayer Identification Number,A unique number used by the United States IRS to track individuals and businesses for tax purposes.,SSN / EIN / ITIN / etc.,,,,Sensitive,Personal Information,Central America
English,All Domains,Employment Information,Termination Letter,A formal document an emplyeer provides to an employee to officially notify them that their employment has ended.,Termination letter printed on paper in open office printer.,Legal/ethical exposure,Stigma‚ retaliation,Manual pathway + sensitive + employee status = restricted,Highly Sensitive-Restricted,Personal Information,Global
English,All Domains,Employment Information,Travel information,Details regarding work related travel.,Destination / Purpose of trip / Transportation methods / Expense reimbursement process / etc.,,,,Sensitive,Personal Information,Global
English,All Domains,Employment Information,Visitors Log,Record kept by a company to track details about individuals who visit the workplace.,Personal information / Visit details / Purpose of visit / etc.,,,,Sensitive,Personal Information,Global
English,All Domains,Employment Information,Voluntary Employee Salary Deductions,Amounts of money that employees choose to have taken out of their paycheck for non-tax-related reasons.,Health insurance / Retirement / Charitable donations / etc.,,,,Highly Sensitive,Personal Information,Global
English,All Domains,Employment Information,Work History of candidates not employeed by Walmart.,Work History of candidates not employeed by Walmart.,Work history provided on a resume from an external applicant.,,,,Sensitive,Personal Information,Global
English,All Domains,Employment Information,Work Start Date and End Date,The first and last date of an employee's employment.,Work Start Date and End Date,,,,Sensitive,Personal Information,Global
English,All Domains,Employment Information,Work visa status/employment authorization details,Type of visa that allows a foreign national to work in the United States for a specific amount of time.,Photo identification / Work authorization permit,,,,Highly Sensitive,Personal Information,Global
English,All Domains,Employment Information,Work visa status/employment authorization details,Forms and authorizations that prove someone is able to work in the United States for a specific period of time.,Permanent Resident Card / Alien Registration Receipt Card ,,,,Sensitive,Personal Information,Central America
English,All Domains,Employment Information,Workers Compensation Claims,Requests for benefits from an employer's insurance if an employee is injured or becomes ill on the job.,Covers medical care / Lost wages / Rehabilitation / Death benefits / etc.,,,,Highly Sensitive,Personal Information,Global
English,All Domains,Employment Information,Working hours,The amount of time an employee spends working during a given period.,Office hours,,,,Sensitive,Personal Information,Global
English,All Domains,Ethics,Ethics cases and investigation information ,Structured inquiries and the process to determine if someone acted unethically.,Witness interviews / Gathered evidence / Reviews / Determination if a violation occurred / etc.,,,,Highly Sensitive,Business Information,Global
English,All Domains,Financial Information,Credit/debit card track data (magnetic-stripe data or equivalent on a chip),Also referred to as “full track data” or “magnetic-stripe data.” Data encoded in the magnetic stripe or chip used for authentication and/or authorization during payment transactions. Can be the magnetic-stripe image on a chip or the track data on the magnetic stripe., CVV‚ PIN/PIN Block‚ or Service Code‚ etc.,,,,Highly Sensitive,Personal Information,Global
English,All Domains,Financial Information,Gift Card Primary Account Number (PAN) without card brand logo,Gift card number,String of 14 to 19 numbers that uniquely identify a payment card and it's account.,PCI non-compliance,Identity theft,Prohibited PI via unsecure channel,Highly Sensitive-Restricted,Business Information,Global
English,All Domains,Financial Information,Inventory,A company's current assets.,Includes raw materials / work in progress / finished goods,,,,Sensitive,Business Information,Global
English,All Domains,Financial Information,PAN + CVV (manual),PAN and CVV numbers both provided.,Collected via phone‚ written down,PCI Violation,Fraud‚ ID theft,Manual + financial = max restrictions,Highly Sensitive-Restricted,Personal Information,Global
English,All Domains,Financial Information,Partial credit or debit card number or financial institution account number,A partial account number used for privacy reasons. Per PCI standards - this must not exceed the first six and last four digits of the full card number.,Last four digits of debit card number,,,,Sensitive,Personal Information,South Africa
English,All Domains,Financial Information,Sales by category‚ weekly,Weekly sales report by category,Trend report (no PI),May reveal market trends,None,Sales data can be aggregated over time to infer financial performance‚ which would be materially significant prior to public disclosure.,Highly Sensitive,Business Information,Global
English,All Domains,Financial Information,Sales‚ Receivables‚ Allowances‚ Other Revenue,Terms used in accounting to track a company's sales and collections. ,Sales / Receivables / Allowances / Other Revenue,,,,Sensitive,Business Information,Global
