Store ,Requested Ship Date,FedEx Tracking,Device Type,JD Link,Qty,Shipped Qty,Completed / GNFR,Revised Shipped Qty
2320,1/26/2022,289266786840,Phone Tracker,SO602577Phone Tracker,1,1,0,1
2422,1/26/2022,289267429716,Pharma Tracker,SO602579Pharma Tracker,1,1,0,1
2422,1/26/2022,289267429716,Phone Tracker,SO602579Phone Tracker,1,1,0,1
2477,1/26/2022,289266810193,Pharma Tracker,SO602581Pharma Tracker,1,1,0,1
2477,1/26/2022,289266810193,Phone Tracker,SO602581Phone Tracker,1,1,0,1
2492,1/26/2022,289266765131,Pharma Tracker,SO602582Pharma Tracker,1,1,0,1
2492,1/26/2022,289266765131,Phone Tracker,SO602582Phone Tracker,1,1,0,1
2538,1/26/2022,289266781870,Pharma Tracker,SO602583Pharma Tracker,1,1,0,1
2538,1/26/2022,289266781870,Phone Tracker,SO602583Phone Tracker,1,1,0,1
2552,1/26/2022,289266825737,Pharma Tracker,SO602585Pharma Tracker,1,1,0,1
2552,1/26/2022,289266825737,Phone Tracker,SO602585Phone Tracker,1,1,0,1
2590,1/26/2022,289203406942,Pharma Tracker,SO602586Pharma Tracker,1,1,0,1
2927,1/26/2022,289203527656,Pharma Tracker,SO602588Pharma Tracker,1,1,0,1
3050,1/26/2022,289203631581,Pharma Tracker,SO602590Pharma Tracker,1,1,0,1
3144,1/26/2022,289203721848,Pharma Tracker,SO602591Pharma Tracker,1,1,0,1
3146,1/26/2022,289203827827,Pharma Tracker,SO602592Pharma Tracker,1,1,0,1
3178,1/26/2022,289203937670,Pharma Tracker,SO602593Pharma Tracker,1,1,0,1
3239,1/26/2022,289266840450,Pharma Tracker,SO602595Pharma Tracker,1,1,0,1
3239,1/26/2022,289266840450,Phone Tracker,SO602595Phone Tracker,1,1,0,1
4176,1/26/2022,289266855762,Pharma Tracker,SO602596Pharma Tracker,1,1,0,1
4176,1/26/2022,289266855762,Phone Tracker,SO602596Phone Tracker,1,1,0,1
4178,1/26/2022,289204043118,Pharma Tracker,SO602598Pharma Tracker,1,1,0,1
4221,1/26/2022,289266873603,Pharma Tracker,SO602599Pharma Tracker,1,1,0,1
4221,1/26/2022,289266873603,Phone Tracker,SO602599Phone Tracker,1,1,0,1
5368,1/26/2022,289266933039,Pharma Tracker,SO602601Pharma Tracker,1,1,0,1
5368,1/26/2022,289266933039,Phone Tracker,SO602601Phone Tracker,1,1,0,1
5396,1/26/2022,289266969213,Pharma Tracker,SO602602Pharma Tracker,1,1,0,1
5396,1/26/2022,289266969213,Phone Tracker,SO602602Phone Tracker,1,1,0,1
5424,1/26/2022,289266995508,Pharma Tracker,SO602604Pharma Tracker,1,1,0,1
5424,1/26/2022,289266995508,Phone Tracker,SO602604Phone Tracker,1,1,0,1
5440,1/26/2022,289267137109,Pharma Tracker,SO602605Pharma Tracker,1,1,0,1
5440,1/26/2022,289267137109,Phone Tracker,SO602605Phone Tracker,1,1,0,1
5627,1/26/2022,289204210523,Pharma Tracker,SO602606Pharma Tracker,1,1,0,1
5839,1/26/2022,289267169218,Pharma Tracker,SO602608Pharma Tracker,1,1,0,1
5839,1/26/2022,289267169218,Phone Tracker,SO602608Phone Tracker,1,1,0,1
5861,1/26/2022,289204347843,Pharma Tracker,SO602609Pharma Tracker,1,1,0,1
5899,1/26/2022,289204435213,Pharma Tracker,SO602611Pharma Tracker,1,1,0,1
5935,1/26/2022,289267193771,Pharma Tracker,SO602612Pharma Tracker,1,1,0,1
5935,1/26/2022,289267193771,Phone Tracker,SO602612Phone Tracker,1,1,0,1
5993,1/26/2022,289204561084,Pharma Tracker,SO602613Pharma Tracker,1,1,0,1
5994,1/26/2022,289204653435,Pharma Tracker,SO602615Pharma Tracker,1,1,0,1
1438,1/26/2022,289267218036,Pharma Tracker,SO603907Pharma Tracker,1,1,0,1
1438,1/26/2022,289267218036,Phone Tracker,SO603907Phone Tracker,1,1,0,1
1439,1/26/2022,289204743595,Pharma Tracker,SO603908Pharma Tracker,1,1,0,1
1440,1/26/2022,289267254858,Pharma Tracker,SO603910Pharma Tracker,1,1,0,1
1440,1/26/2022,289267254858,Phone Tracker,SO603910Phone Tracker,1,1,0,1
1572,1/26/2022,289267284920,Pharma Tracker,SO603911Pharma Tracker,1,1,0,1
1572,1/26/2022,289267284920,Phone Tracker,SO603911Phone Tracker,1,1,0,1
1573,1/26/2022,289267316378,Pharma Tracker,SO603913Pharma Tracker,1,1,0,1
1573,1/26/2022,289267316378,Phone Tracker,SO603913Phone Tracker,1,1,0,1
1686,1/26/2022,289267409130,Pharma Tracker,SO603914Pharma Tracker,1,1,0,1
1686,1/26/2022,289267409130,Phone Tracker,SO603914Phone Tracker,1,1,0,1
1699,1/26/2022,289204848019,Pharma Tracker,SO603916Pharma Tracker,1,1,0,1
1708,1/26/2022,289266877951,Pharma Tracker,SO603917Pharma Tracker,1,1,0,1
1708,1/26/2022,289266877951,Phone Tracker,SO603917Phone Tracker,1,1,0,1
1768,1/26/2022,289267063651,Pharma Tracker,SO603919Pharma Tracker,1,1,0,1
1768,1/26/2022,289267063651,Phone Tracker,SO603919Phone Tracker,1,1,0,1
1827,1/26/2022,289266859070,Pharma Tracker,SO603920Pharma Tracker,1,1,0,1
1827,1/26/2022,289266859070,Phone Tracker,SO603920Phone Tracker,1,1,0,1
1888,1/26/2022,289267121544,Pharma Tracker,SO603922Pharma Tracker,1,1,0,1
1888,1/26/2022,289267121544,Phone Tracker,SO603922Phone Tracker,1,1,0,1
2207,1/26/2022,289266795925,Pharma Tracker,SO603923Pharma Tracker,1,1,0,1
2207,1/26/2022,289266795925,Phone Tracker,SO603923Phone Tracker,1,1,0,1
2307,1/26/2022,289266948811,Pharma Tracker,SO603925Pharma Tracker,1,1,0,1
2307,1/26/2022,289266948811,Phone Tracker,SO603925Phone Tracker,1,1,0,1
2511,1/26/2022,289267567238,Pharma Tracker,SO603927Pharma Tracker,1,1,0,1
2511,1/26/2022,289267567238,Phone Tracker,SO603927Phone Tracker,1,1,0,1
2794,1/26/2022,289207838175,Pharma Tracker,SO603928Pharma Tracker,1,1,0,1
2921,1/26/2022,289207916438,Pharma Tracker,SO603929Pharma Tracker,1,1,0,1
3208,1/26/2022,289266846231,Pharma Tracker,SO603931Pharma Tracker,1,1,0,1
3208,1/26/2022,289266846231,Phone Tracker,SO603931Phone Tracker,1,1,0,1
3220,1/26/2022,289267735113,Pharma Tracker,SO603932Pharma Tracker,1,1,0,1
3220,1/26/2022,289267735113,Phone Tracker,SO603932Phone Tracker,1,1,0,1
3232,1/26/2022,289267684494,Pharma Tracker,SO603934Pharma Tracker,1,1,0,1
3366,1/26/2022,289267101531,Phone Tracker,SO603935Phone Tracker,1,1,0,1
3454,1/26/2022,289267532564,Pharma Tracker,SO603937Pharma Tracker,1,1,0,1
3454,1/26/2022,289267532564,Phone Tracker,SO603937Phone Tracker,1,1,0,1
3568,1/26/2022,289268861418,Pharma Tracker,SO603938Pharma Tracker,1,1,0,1
3568,1/26/2022,289268861418,Phone Tracker,SO603938Phone Tracker,1,1,0,1
3589,1/26/2022,289208595320,Pharma Tracker,SO603940Pharma Tracker,1,1,0,1
3620,1/26/2022,289371250160,Pharma Tracker,SO603942Pharma Tracker,1,1,0,1
3620,1/26/2022,289371250160,Phone Tracker,SO603942Phone Tracker,1,1,0,1
3789,1/26/2022,289208503363,Pharma Tracker,SO603943Pharma Tracker,1,1,0,1
3848,1/26/2022,289208248820,Pharma Tracker,SO603944Pharma Tracker,1,1,0,1
3988,1/26/2022,289208157693,Pharma Tracker,SO603946Pharma Tracker,1,1,0,1
4068,1/26/2022,289267014962,Pharma Tracker,SO603948Pharma Tracker,1,1,0,1
4068,1/26/2022,289267014962,Phone Tracker,SO603948Phone Tracker,1,1,0,1
4100,1/26/2022,289208014345,Pharma Tracker,SO603949Pharma Tracker,1,1,0,1
4208,1/26/2022,289267292296,Pharma Tracker,SO603951Pharma Tracker,1,1,0,1
4208,1/26/2022,289267292296,Phone Tracker,SO603951Phone Tracker,1,1,0,1
4272,1/26/2022,289266994523,Pharma Tracker,SO603952Pharma Tracker,1,1,0,1
4272,1/26/2022,289266994523,Phone Tracker,SO603952Phone Tracker,1,1,0,1
4438,1/26/2022,289267899301,Pharma Tracker,SO603954Pharma Tracker,1,1,0,1
4438,1/26/2022,289267899301,Phone Tracker,SO603954Phone Tracker,1,1,0,1
4678,1/26/2022,289266922226,Pharma Tracker,SO603955Pharma Tracker,1,1,0,1
4678,1/26/2022,289266922226,Phone Tracker,SO603955Phone Tracker,1,1,0,1
4689,1/26/2022,289267928209,Pharma Tracker,SO603957Pharma Tracker,1,1,0,1
4689,1/26/2022,289267928209,Phone Tracker,SO603957Phone Tracker,1,1,0,1
4696,1/26/2022,289266902809,Pharma Tracker,SO603958Pharma Tracker,1,1,0,1
4696,1/26/2022,289266902809,Phone Tracker,SO603958Phone Tracker,1,1,0,1
4700,1/26/2022,289208689464,Pharma Tracker,SO603960Pharma Tracker,1,1,0,1
4706,1/26/2022,289208911616,Pharma Tracker,SO603961Pharma Tracker,1,1,0,1
5109,1/26/2022,289209003778,Pharma Tracker,SO603963Pharma Tracker,1,1,0,1
5110,1/26/2022,289209078206,Pharma Tracker,SO603964Pharma Tracker,1,1,0,1
5167,1/26/2022,289266811800,Pharma Tracker,SO603966Pharma Tracker,1,1,0,1
5167,1/26/2022,289266811800,Phone Tracker,SO603966Phone Tracker,1,1,0,1
5168,1/26/2022,289266903080,Pharma Tracker,SO603967Pharma Tracker,1,1,0,1
5168,1/26/2022,289266903080,Phone Tracker,SO603967Phone Tracker,1,1,0,1
5205,1/26/2022,289209201288,Pharma Tracker,SO603968Pharma Tracker,1,1,0,1
5206,1/26/2022,289209285177,Pharma Tracker,SO603970Pharma Tracker,1,1,0,1
5233,1/26/2022,289209388547,Pharma Tracker,SO603971Pharma Tracker,1,1,0,1
5234,1/26/2022,289266930669,Pharma Tracker,SO603973Pharma Tracker,1,1,0,1
5234,1/26/2022,289266930669,Phone Tracker,SO603973Phone Tracker,1,1,0,1
5235,1/26/2022,289209504631,Pharma Tracker,SO603974Pharma Tracker,1,1,0,1
5270,1/26/2022,289267607772,Pharma Tracker,SO603976Pharma Tracker,1,1,0,1
5270,1/26/2022,289267607772,Phone Tracker,SO603976Phone Tracker,1,1,0,1
5350,1/26/2022,289266864079,Pharma Tracker,SO603977Pharma Tracker,1,1,0,1
5350,1/26/2022,289266864079,Phone Tracker,SO603977Phone Tracker,1,1,0,1
5763,1/26/2022,289267000554,Pharma Tracker,SO603979Pharma Tracker,1,1,0,1
5763,1/26/2022,289267000554,Phone Tracker,SO603979Phone Tracker,1,1,0,1
7043,1/26/2022,289209706640,Pharma Tracker,SO603980Pharma Tracker,1,1,0,1
1870,1/26/2022,289267072119,Pharma Tracker,SO604173Pharma Tracker,1,1,0,1
1870,1/26/2022,289267072119,Phone Tracker,SO604173Phone Tracker,1,1,0,1
1947,1/26/2022,289267329654,Pharma Tracker,SO604174Pharma Tracker,1,1,0,1
1947,1/26/2022,289267329654,Phone Tracker,SO604174Phone Tracker,1,1,0,1
2006,1/26/2022,289209816839,Pharma Tracker,SO604176Pharma Tracker,1,1,0,1
2007,1/26/2022,289267986197,Pharma Tracker,SO604177Pharma Tracker,1,1,0,1
2007,1/26/2022,289267986197,Phone Tracker,SO604177Phone Tracker,1,1,0,1
2016,1/26/2022,289267641610,Pharma Tracker,SO604179Pharma Tracker,1,1,0,1
2016,1/26/2022,289267641610,Phone Tracker,SO604179Phone Tracker,1,1,0,1
2037,1/26/2022,289267089776,Pharma Tracker,SO604180Pharma Tracker,1,1,0,1
2037,1/26/2022,289267089776,Phone Tracker,SO604180Phone Tracker,1,1,0,1
2101,1/26/2022,289267046020,Pharma Tracker,SO604182Pharma Tracker,1,1,0,1
2101,1/26/2022,289267046020,Phone Tracker,SO604182Phone Tracker,1,1,0,1
2121,1/26/2022,289268027498,Pharma Tracker,SO604183Pharma Tracker,1,1,0,1
2121,1/26/2022,289268027498,Phone Tracker,SO604183Phone Tracker,1,1,0,1
2187,1/26/2022,289267204257,Pharma Tracker,SO604185Pharma Tracker,1,1,0,1
2187,1/26/2022,289267204257,Phone Tracker,SO604185Phone Tracker,1,1,0,1
2196,1/26/2022,289267267891,Pharma Tracker,SO604186Pharma Tracker,1,1,0,1
2196,1/26/2022,289267267891,Phone Tracker,SO604186Phone Tracker,1,1,0,1
2241,1/26/2022,289267956963,Pharma Tracker,SO604187Pharma Tracker,1,1,0,1
2241,1/26/2022,289267956963,Phone Tracker,SO604187Phone Tracker,1,1,0,1
2249,1/26/2022,289267766167,Pharma Tracker,SO604189Pharma Tracker,1,1,0,1
2249,1/26/2022,289267766167,Phone Tracker,SO604189Phone Tracker,1,1,0,1
2269,1/26/2022,289268916223,Pharma Tracker,SO604190Pharma Tracker,1,1,0,1
2269,1/26/2022,289268916223,Phone Tracker,SO604190Phone Tracker,1,1,0,1
2317,1/26/2022,289266966523,Pharma Tracker,SO604191Pharma Tracker,1,1,0,1
2317,1/26/2022,289266966523,Phone Tracker,SO604191Phone Tracker,1,1,0,1
2319,1/26/2022,289229975236,Pharma Tracker,SO604193Pharma Tracker,1,1,0,1
2325,1/26/2022,289266674096,Pharma Tracker,SO604194Pharma Tracker,1,1,0,1
2325,1/26/2022,289266674096,Phone Tracker,SO604194Phone Tracker,1,1,0,1
2385,1/26/2022,289266650835,Pharma Tracker,SO604196Pharma Tracker,1,1,0,1
2385,1/26/2022,289266650835,Phone Tracker,SO604196Phone Tracker,1,1,0,1
2403,1/26/2022,289266400191,Pharma Tracker,SO604197Pharma Tracker,1,1,0,1
2403,1/26/2022,289266400191,Phone Tracker,SO604197Phone Tracker,1,1,0,1
2450,1/26/2022,289266271821,Pharma Tracker,SO604198Pharma Tracker,1,1,0,1
2450,1/26/2022,289266271821,Phone Tracker,SO604198Phone Tracker,1,1,0,1
2469,1/26/2022,289266131755,Phone Tracker,SO604200Phone Tracker,1,1,0,1
2476,1/26/2022,289266071723,Pharma Tracker,SO604201Pharma Tracker,1,1,0,1
2476,1/26/2022,289266071723,Phone Tracker,SO604201Phone Tracker,1,1,0,1
2516,1/26/2022,289267016266,Pharma Tracker,SO604202Pharma Tracker,1,1,0,1
2516,1/26/2022,289267016266,Phone Tracker,SO604202Phone Tracker,1,1,0,1
2539,1/26/2022,289268576765,Pharma Tracker,SO604204Pharma Tracker,1,1,0,1
2539,1/26/2022,289268576765,Phone Tracker,SO604204Phone Tracker,1,1,0,1
2549,1/26/2022,289267966666,Pharma Tracker,SO604205Pharma Tracker,1,1,0,1
2549,1/26/2022,289267966666,Phone Tracker,SO604205Phone Tracker,1,1,0,1
2550,1/26/2022,289268616270,Pharma Tracker,SO604207Pharma Tracker,1,1,0,1
2550,1/26/2022,289268616270,Phone Tracker,SO604207Phone Tracker,1,1,0,1
2571,1/26/2022,289267947292,Pharma Tracker,SO604209Pharma Tracker,1,1,0,1
2571,1/26/2022,289267947292,Phone Tracker,SO604209Phone Tracker,1,1,0,1
2594,1/26/2022,289269089367,Phone Tracker,SO604210Phone Tracker,1,1,0,1
2595,1/26/2022,289268371390,Pharma Tracker,SO604212Pharma Tracker,1,1,0,1
2595,1/26/2022,289268371390,Phone Tracker,SO604212Phone Tracker,1,1,0,1
2596,1/26/2022,289267762106,Pharma Tracker,SO604213Pharma Tracker,1,1,0,1
2596,1/26/2022,289267762106,Phone Tracker,SO604213Phone Tracker,1,1,0,1
2865,1/26/2022,289268448648,Pharma Tracker,SO604215Pharma Tracker,1,1,0,1
2865,1/26/2022,289268448648,Phone Tracker,SO604215Phone Tracker,1,1,0,1
2947,1/26/2022,289267929499,Pharma Tracker,SO604216Pharma Tracker,1,1,0,1
2947,1/26/2022,289267929499,Phone Tracker,SO604216Phone Tracker,1,1,0,1
3053,1/26/2022,289268472447,Pharma Tracker,SO604218Pharma Tracker,1,1,0,1
3053,1/26/2022,289268472447,Phone Tracker,SO604218Phone Tracker,1,1,0,1
3098,1/26/2022,289209915310,Pharma Tracker,SO604219Pharma Tracker,1,1,0,1
3145,1/26/2022,289210036442,Pharma Tracker,SO604220Pharma Tracker,1,1,0,1
3217,1/26/2022,289269026682,Pharma Tracker,SO604222Pharma Tracker,1,1,0,1
3217,1/26/2022,289269026682,Phone Tracker,SO604222Phone Tracker,1,1,0,1
3218,1/26/2022,289269174139,Phone Tracker,SO604223Phone Tracker,1,1,0,1
3260,1/26/2022,289268047592,Pharma Tracker,SO604225Pharma Tracker,1,1,0,1
3260,1/26/2022,289268047592,Phone Tracker,SO604225Phone Tracker,1,1,0,1
3261,1/26/2022,289268022305,Pharma Tracker,SO604226Pharma Tracker,1,1,0,1
3261,1/26/2022,289268022305,Phone Tracker,SO604226Phone Tracker,1,1,0,1
3380,1/26/2022,289232843646,Pharma Tracker,SO604228Pharma Tracker,1,1,0,1
3525,1/26/2022,289269134775,Phone Tracker,SO604229Phone Tracker,1,1,0,1
3531,1/26/2022,289268115604,Pharma Tracker,SO604231Pharma Tracker,1,1,0,1
3531,1/26/2022,289268115604,Phone Tracker,SO604231Phone Tracker,1,1,0,1
3537,1/26/2022,289268404053,Pharma Tracker,SO604232Pharma Tracker,1,1,0,1
3537,1/26/2022,289268404053,Phone Tracker,SO604232Phone Tracker,1,1,0,1
3705,1/26/2022,289268754321,Pharma Tracker,SO604234Pharma Tracker,1,1,0,1
3705,1/26/2022,289268754321,Phone Tracker,SO604234Phone Tracker,1,1,0,1
3742,1/26/2022,289268979191,Phone Tracker,SO604235Phone Tracker,1,1,0,1
3754,1/26/2022,289210124360,Pharma Tracker,SO604237Pharma Tracker,1,1,0,1
3757,1/26/2022,289268926989,Pharma Tracker,SO604238Pharma Tracker,1,1,0,1
3757,1/26/2022,289268926989,Phone Tracker,SO604238Phone Tracker,1,1,0,1
3794,1/26/2022,289268787768,Phone Tracker,SO604240Phone Tracker,1,1,0,1
3801,1/26/2022,289268814147,Pharma Tracker,SO604241Pharma Tracker,1,1,0,1
3801,1/26/2022,289268814147,Phone Tracker,SO604241Phone Tracker,1,1,0,1
3850,1/26/2022,289268338677,Pharma Tracker,SO604243Pharma Tracker,1,1,0,1
3850,1/26/2022,289268338677,Phone Tracker,SO604243Phone Tracker,1,1,0,1
4137,1/26/2022,289268861245,Pharma Tracker,SO604244Pharma Tracker,1,1,0,1
4137,1/26/2022,289268861245,Phone Tracker,SO604244Phone Tracker,1,1,0,1
4394,1/26/2022,289267874477,Pharma Tracker,SO604246Pharma Tracker,1,1,0,1
4394,1/26/2022,289267874477,Phone Tracker,SO604246Phone Tracker,1,1,0,1
4757,1/26/2022,289210238072,Pharma Tracker,SO604247Pharma Tracker,1,1,0,1
5041,1/26/2022,289267825593,Pharma Tracker,SO604248Pharma Tracker,1,1,0,1
5041,1/26/2022,289267825593,Phone Tracker,SO604248Phone Tracker,1,1,0,1
5073,1/26/2022,289267909832,Phone Tracker,SO604249Phone Tracker,1,1,0,1
5078,1/26/2022,289267802846,Pharma Tracker,SO604251Pharma Tracker,1,1,0,1
5078,1/26/2022,289267802846,Phone Tracker,SO604251Phone Tracker,1,1,0,1
5195,1/26/2022,289210315534,Pharma Tracker,SO604252Pharma Tracker,1,1,0,1
5272,1/26/2022,289268093547,Pharma Tracker,SO604254Pharma Tracker,1,1,0,1
5272,1/26/2022,289268093547,Phone Tracker,SO604254Phone Tracker,1,1,0,1
5273,1/26/2022,289268316801,Pharma Tracker,SO604256Pharma Tracker,1,1,0,1
5273,1/26/2022,289268316801,Phone Tracker,SO604256Phone Tracker,1,1,0,1
5461,1/26/2022,289210400100,Pharma Tracker,SO604257Pharma Tracker,1,1,0,1
5462,1/26/2022,289267990248,Pharma Tracker,SO604259Pharma Tracker,1,1,0,1
5462,1/26/2022,289267990248,Phone Tracker,SO604259Phone Tracker,1,1,0,1
5628,1/26/2022,289268549599,Pharma Tracker,SO604260Pharma Tracker,1,1,0,1
5628,1/26/2022,289268549599,Phone Tracker,SO604260Phone Tracker,1,1,0,1
5678,1/26/2022,289210485897,Pharma Tracker,SO604262Pharma Tracker,1,1,0,1
5853,1/26/2022,289268506861,Pharma Tracker,SO604263Pharma Tracker,1,1,0,1
5853,1/26/2022,289268506861,Phone Tracker,SO604263Phone Tracker,1,1,0,1
5883,1/26/2022,289267782851,Pharma Tracker,SO604265Pharma Tracker,1,1,0,1
5883,1/26/2022,289267782851,Phone Tracker,SO604265Phone Tracker,1,1,0,1
5929,1/26/2022,289271060931,Phone Tracker,SO604266Phone Tracker,1,1,0,1
1891,1/27/2022,289269873933,Pharma Tracker,SO599005Pharma Tracker,1,1,0,1
1891,1/27/2022,289269873933,Phone Tracker,SO599005Phone Tracker,1,1,0,1
1980,1/27/2022,289270875778,Pharma Tracker,SO599006Pharma Tracker,1,1,0,1
1980,1/27/2022,289270875778,Phone Tracker,SO599006Phone Tracker,1,1,0,1
2022,1/27/2022,289270925353,Pharma Tracker,SO599008Pharma Tracker,1,1,0,1
2022,1/27/2022,289270925353,Phone Tracker,SO599008Phone Tracker,1,1,0,1
2144,1/27/2022,289271673607,Pharma Tracker,SO599010Pharma Tracker,1,1,0,1
2144,1/27/2022,289271673607,Phone Tracker,SO599010Phone Tracker,1,1,0,1
2163,1/27/2022,289270594180,Pharma Tracker,SO599011Pharma Tracker,1,1,0,1
2163,1/27/2022,289270594180,Phone Tracker,SO599011Phone Tracker,1,1,0,1
2170,1/27/2022,289271248432,Pharma Tracker,SO599012Pharma Tracker,1,1,0,1
2170,1/27/2022,289271248432,Phone Tracker,SO599012Phone Tracker,1,1,0,1
2200,1/27/2022,289271994007,Pharma Tracker,SO599014Pharma Tracker,1,1,0,1
2200,1/27/2022,289271994007,Phone Tracker,SO599014Phone Tracker,1,1,0,1
2232,1/27/2022,289271100722,Phone Tracker,SO599015Phone Tracker,1,1,0,1
2282,1/27/2022,289271045070,Pharma Tracker,SO599017Pharma Tracker,1,1,0,1
2282,1/27/2022,289271045070,Phone Tracker,SO599017Phone Tracker,1,1,0,1
2284,1/27/2022,289269828600,Pharma Tracker,SO599018Pharma Tracker,1,1,0,1
2284,1/27/2022,289269828600,Phone Tracker,SO599018Phone Tracker,1,1,0,1
2299,1/27/2022,289212236680,Pharma Tracker,SO599019Pharma Tracker,1,1,0,1
2331,1/27/2022,289269626564,Pharma Tracker,SO599021Pharma Tracker,1,1,0,1
2331,1/27/2022,289269626564,Phone Tracker,SO599021Phone Tracker,1,1,0,1
2371,1/27/2022,289212318867,Pharma Tracker,SO599022Pharma Tracker,1,1,0,1
2719,1/27/2022,289269890888,Pharma Tracker,SO599023Pharma Tracker,1,1,0,1
2719,1/27/2022,289269890888,Phone Tracker,SO599023Phone Tracker,1,1,0,1
2854,1/27/2022,289269726832,Pharma Tracker,SO599024Pharma Tracker,1,1,0,1
2854,1/27/2022,289269726832,Phone Tracker,SO599024Phone Tracker,1,1,0,1
2897,1/27/2022,289267613285,Pharma Tracker,SO599026Pharma Tracker,1,1,0,1
2898,1/27/2022,289270621739,Pharma Tracker,SO599027Pharma Tracker,1,1,0,1
2898,1/27/2022,289270621739,Phone Tracker,SO599027Phone Tracker,1,1,0,1
