Store Number,City,State,Tracking Number,Delivery Date,Signed for by:
808,LAKE JACKSON,TX,5.79E+11,7/1/2022,KTRIM
836,SAINT MARYS,GA,5.79E+11,6/30/2022,SIGNATURE ON FILE
862,HINESVILLE,GA,5.79E+11,6/30/2022,SBENTLEY
869,ALAMOSA,CO,5.45E+11,6/29/2022,SIGNATURE ON FILE
876,MANY,LA,5.79E+11,6/30/2022,SWISEMAN
878,CUMMING,GA,5.79E+11,6/30/2022,BBETHANY
911,MARRERO,LA,5.79E+11,6/30/2022,MSIMON
916,HATTIESBURG,MS,5.45E+11,6/30/2022,TTANGELA
923,NOBLESVILLE,IN,5.79E+11,6/29/2022,JPERRY
932,GRIFFIN,GA,5.45E+11,6/30/2022,CCARTER
947,SHERMAN,TX,5.79E+11,6/30/2022,MPAM
1064,LENOIR,NC,5.45E+11,6/30/2022,VPENNELL
1094,RAYTOWN,MO,5.45E+11,6/29/2022,PPOHLMAN
1104,INVERNESS,FL,5.79E+11,6/30/2022,BAMERSON
1117,PLANO,TX,5.79E+11,6/30/2022,CCARMEN
1153,MACON,GA,5.45E+11,6/30/2022,DJACKSON
1184,STONE MOUNTAIN,GA,5.45E+11,6/30/2022,NO SIGATURE REQUIRED - GIVEN TO CUSTOMER
1226,ASHLAND CITY,TN,5.79E+11,6/29/2022,AMADDOX
1231,THORNTON,CO,5.79E+11,6/29/2022,SIGNATURE ON FILE
1240,SIERRA VISTA,AZ,5.79E+11,6/30/2022,MMARAIAH
1243,MARTINSVILLE,VA,5.79E+11,6/30/2022,MBOLL
1247,HAZARD,KY,5.79E+11,6/29/2022,NBURRIS
1286,COLUMBIA,SC,5.45E+11,6/30/2022,PWILLIAMS
1299,COTTONWOOD,AZ,5.79E+11,6/30/2022,KKEILLY
1310,TERRE HAUTE,IN,5.79E+11,6/29/2022,SWALTON
1311,COLUMBUS,GA,5.79E+11,6/30/2022,BBROWN
1347,SAN ANTONIO,TX,5.79E+11,6/30/2022,AROTEL
1370,BULLHEAD CITY,AZ,5.79E+11,6/30/2022,SFARLEY
1373,LILBURN,GA,5.79E+11,6/30/2022,WMT
1391,DAYTONA BEACH,FL,5.79E+11,6/30/2022,RCON
1424,COLONIAL HEIGHTS,VA,5.79E+11,7/1/2022,MDEAR
1449,MANITOWOC,WI,5.79E+11,6/29/2022,SWELLNIKE
1462,GREENVILLE,AL,5.45E+11,6/30/2022,SIGNATURE ON FILE
1473,MANKATO,MN,5.79E+11,6/28/2022,MMARAINO
1486,FARMVILLE,VA,5.79E+11,6/30/2022,SIGNATURE ON FILE
1488,DOUGLASVILLE,GA,5.45E+11,6/30/2022,BJONES
1541,WEST PALM BEACH,FL,5.45E+11,7/1/2022,LLYNN
1568,HERMITAGE,PA,5.79E+11,6/29/2022,JBORSA
1579,OXFORD,NC,5.79E+11,7/1/2022,SIGNATURE ON FILE
1604,RAPID CITY,SD,5.79E+11,6/30/2022,JFORTUNE
1609,GRAND RAPIDS,MN,5.79E+11,6/28/2022,DBLOOFLAT
1613,HIGH POINT,NC,5.45E+11,6/30/2022,LLONG
1632,ALEXANDRIA,MN,5.45E+11,6/28/2022,SIGNATURE ON FILE
1635,WAUKESHA,WI,5.79E+11,6/28/2022,SIGNATURE ON FILE
1638,EUFAULA,AL,5.79E+11,6/30/2022,SAUSTIN
1669,EAU CLAIRE,WI,5.45E+11,6/28/2022,DBEHLKE
1687,SUFFOLK,VA,5.45E+11,6/30/2022,MBROWN
1784,SALEM,OR,5.45E+11,7/1/2022,AANN
1788,SCARBOROUGH,ME,5.45E+11,6/30/2022,MLAMBERT
1805,LA QUINTA,CA,5.45E+11,7/1/2022,HSERRANO
1839,LORAIN,OH,5.45E+11,6/29/2022,PRESEICK
1842,GREENSBORO,NC,5.45E+11,6/30/2022,TWILLIAMSON
1848,GLEN ELLYN,IL,5.79E+11,6/29/2022,FBERNAL
1849,WINSTON SALEM,NC,5.79E+11,6/30/2022,CJAMES
1851,NORTH LAUDERDALE,FL,5.79E+11,6/30/2022,AAIDA
1852,WOODBRIDGE,VA,5.45E+11,6/30/2022,UNAIK
1886,MECHANICSBURG,PA,5.79E+11,6/30/2022,SSTRINE
1907,HINSDALE,NH,5.79E+11,6/30/2022,SIGNATURE ON FILE
1953,LOUISBURG,NC,5.79E+11,7/1/2022,SIGNATURE ON FILE
1970,HUDSON,MA,5.45E+11,6/30/2022,SIGNATURE ON FILE
1981,CALIFORNIA,MD,5.45E+11,6/30/2022,TPROCTOR
2001,FRESNO,CA,5.45E+11,7/1/2022,SIGNATURE ON FILE
2031,UNION CITY,CA,5.79E+11,7/1/2022,NO SIGATURE REQUIRED - GIVEN TO CUSTOMER
2036,SOUTH CHARLESTON,WV,5.79E+11,6/29/2022,RROY
2048,FAIRFIELD,CA,5.79E+11,7/1/2022,AALEXIS
2055,CONCORD,NH,5.79E+11,6/30/2022,SIGNATURE ON FILE
2079,MARQUETTE,MI,5.79E+11,6/29/2022,TNEVEAU
2086,PLANO,TX,5.79E+11,7/1/2022,RMACK
2106,RENO,NV,5.79E+11,7/1/2022,GRODRIGUEZ
2110,PARAMOUNT,CA,5.79E+11,6/30/2022,VVERONICA
2124,BEAVERCREEK,OH,5.45E+11,6/30/2022,BBRETT
2141,PHILADELPHIA,PA,5.79E+11,7/1/2022,LKK
2142,SALEM,NH,5.79E+11,7/1/2022,VVAL
2153,BIDDEFORD,ME,5.45E+11,7/1/2022,SIGNATURE ON FILE
2155,GARDNER,MA,5.79E+11,7/5/2022,JMENDEZ
2158,NORTHBOROUGH,MA,5.79E+11,7/1/2022,CCONLON
2160,PETERSBURG,VA,5.45E+11,7/1/2022,STHOMAS
2166,EAST SYRACUSE,NY,5.79E+11,6/30/2022,BPISECZNY
2184,SEEKONK,MA,5.79E+11,7/2/2022,Signature on File
2198,BLOOMINGTON,MN,5.79E+11,6/28/2022,SSARW
2214,COLUMBIA,SC,5.79E+11,7/1/2022,BJACKSON
2230,STATE COLLEGE,PA,5.45E+11,6/30/2022,Signature on File
2245,OCEANSIDE,CA,5.79E+11,6/30/2022,JJONH
2306,NORTHPORT,AL,5.45E+11,6/30/2022,CCPRI
2307,SOUTH JORDAN,UT,5.45E+11,6/30/2022,LWALMART
2310,KNOXVILLE,TN,5.79E+11,6/30/2022,BCOVID
2317,BREMERTON,WA,5.79E+11,7/1/2022,Signature on File
2318,INDIANA,PA,5.79E+11,6/30/2022,Signature on File
2330,ROCHESTER,NH,5.79E+11,7/1/2022,SDENBOW
2368,EAST STROUDSBURG,PA,5.79E+11,6/30/2022,SKJ
2403,PUYALLUP,WA,5.79E+11,7/1/2022,HMHAFMEN
2427,DALLAS,TX,5.45E+11,7/1/2022,GGENNA
2435,DUNDALK,MD,5.79E+11,7/1/2022,Signature on File
2445,HATFIELD,PA,5.45E+11,7/1/2022,Signature on File
2459,SARASOTA,FL,5.79E+11,7/1/2022,MSERALOWSKI
2496,BOONE,NC,5.79E+11,7/1/2022,APRESNELL
2529,VIRGINIA BEACH,VA,5.79E+11,7/1/2022,KLOWERY
2536,TULARE,CA,5.79E+11,6/30/2022,MSTACEY
2539,SPOKANE VALLEY,WA,5.79E+11,6/29/2022,AJOHNSTON
2559,STERLING HEIGHTS,MI,5.79E+11,6/30/2022,MMARIELLE
2585,STRATFORD,CT,5.79E+11,7/1/2022,JJANET
2588,NORTH VERSAILLES,PA,5.45E+11,6/29/2022,WWALAMRT
2593,LAS VEGAS,NV,5.45E+11,7/1/2022,AANGIE
2596,MOUNT VERNON,WA,5.79E+11,7/1/2022,LBRINOS
2631,LIVONIA,MI,5.79E+11,6/30/2022,PALZHUGHT
2679,ELKHART,IN,5.79E+11,6/29/2022,MADAMS
2715,DIBERVILLE,MS,5.79E+11,6/30/2022,KJOHNSTON
2717,HATTIESBURG,MS,5.45E+11,6/30/2022,TKENDRICKS
2726,REYNOLDSBURG,OH,5.79E+11,6/29/2022,LPRESTON
2777,SURPRISE,AZ,5.45E+11,6/30/2022,VINGLAS
2786,AVON,IN,5.45E+11,6/30/2022,MHOPKINS
2838,HENDERSON,NV,5.45E+11,7/1/2022,SSUSAN
2846,OLIVE BRANCH,MS,5.79E+11,6/30/2022,Signature on File
2847,BELLEVUE,NE,5.79E+11,6/29/2022,AABILA
2950,PALMDALE,CA,5.45E+11,7/1/2022,SIGNATURE ON FILE
2962,POMPANO BEACH,FL,5.45E+11,7/1/2022,EELDA
2985,FRESNO,CA,5.45E+11,6/30/2022,MSTANLEY
2996,DALLAS,TX,5.79E+11,7/1/2022,PGERDE
3078,EAST BRUNSWICK,NJ,5.45E+11,7/1/2022,TTAYANA
3088,ST CLOUD,MN,5.45E+11,6/28/2022,CNAVARO
3119,PANAMA CITY BEACH,FL,5.79E+11,6/30/2022,NCAMPBELL
3233,BEMIDJI,MN,5.79E+11,6/28/2022, Signature on File
3237,SIOUX FALLS,SD,5.79E+11,6/28/2022,TWINTHIN
3243,ROANOKE,VA,5.79E+11,7/1/2022,BSNYDER
3255,SAVOY,IL,5.79E+11,6/29/2022,CSHONKWILER
3276,SAN BERNARDINO,CA,5.45E+11,6/30/2022,KKATRINA
3277,RENO,NV,5.79E+11,7/1/2022,JJOHN
3313,CENTENNIAL,CO,5.79E+11,6/30/2022,No signature required
3336,WOODHAVEN,MI,5.79E+11,6/30/2022,JHAYDEN
3401,COLLEGE PARK,GA,5.79E+11,6/30/2022,SMOODY
3402,STOCKBRIDGE,GA,5.79E+11,6/30/2022,SOWENS
3408,CARSON CITY,NV,5.45E+11,6/30/2022,TAIMES
3447,WHITEHALL,OH,5.79E+11,6/29/2022,CMCDOWELL
3459,BLOOMINGTON,IL,5.45E+11,6/29/2022,DWARNING
3566,DENVER,CO,5.79E+11,6/30/2022,Signature on File
3572,PEARLAND,TX,5.79E+11,7/1/2022,GCOLEMAN
3582,COLORADO SPRINGS,CO,5.45E+11,6/29/2022,KKATIE
3587,ROCKLIN,CA,5.79E+11,6/30/2022,JJEEN
3640,HOUSTON,TX,5.79E+11,7/1/2022,MWILLIAMS
3789,OGDEN,UT,5.79E+11,7/1/2022,AMEYERS
3791,THREE RIVERS,MI,5.45E+11,6/30/2022,Signature on File
3792,LANCASTER,OH,5.45E+11,6/29/2022,ISTROSIDER
3823,LINCOLN,NE,5.79E+11,6/29/2022,TTIM
3833,MESA,AZ,5.79E+11,6/30/2022,DBDUNNER
3860,YOUNGSTOWN,OH,5.79E+11,6/29/2022,SSTACY
4208,SALT LAKE CITY,UT,5.79E+11,6/30/2022,TTENGRIN
4235,TERRE HAUTE,IN,5.79E+11,6/29/2022,Signature on File
4237,INDIAN LAND,SC,5.45E+11,6/30/2022,AJONES
4299,LUBBOCK,TX,5.79E+11,6/30/2022,WSUPERCENTER
4392,VICTORVILLE,CA,5.79E+11,7/1/2022,CCRYSTAL
4407,MONTGOMERY,AL,5.45E+11,6/30/2022,CPRITCHETT
4484,RALEIGH,NC,5.45E+11,6/30/2022,Signature on File
4506,COLUMBIA,SC,5.79E+11,6/30/2022,SSEIBLES
4511,SILVIS,IL,5.45E+11,6/29/2022,RBURES
4612,HAMBURG,PA,5.45E+11,6/30/2022, Signature on File
5035,MULBERRY,FL,5.79E+11,6/30/2022,TTINA
5079,PASS CHRISTIAN,MS,5.79E+11,6/30/2022,LWALDRON
5111,WATCHUNG,NJ,5.45E+11,6/30/2022,HFRANCIS
5146,SAN ANTONIO,TX,5.79E+11,6/30/2022,AABARRO
5150,MAPLEWOOD,MO,5.79E+11,6/29/2022,JHAGEN
5152,WEST HILLS,CA,5.79E+11,7/1/2022,TTANIA
5156,BEAUMONT,CA,5.45E+11,7/1/2022,JWORKMEN
5186,GILBERT,AZ,5.79E+11,6/30/2022,ARODRIGUEZ
5196,MEMPHIS,TN,5.79E+11,7/1/2022,Signature on File
5242,CICERO,NY,5.79E+11,6/30/2022,BBRISTOL
5275,WOODSTOCK,GA,5.45E+11,6/30/2022,MMELANIE
5300,GIBSONTON,FL,5.79E+11,6/30/2022,DAISA
5311,MCKINNEY,TX,5.79E+11,6/30/2022,KSMITH
5312,FORT WORTH,TX,5.79E+11,6/30/2022,DSTAPLES
5325,MARGATE,FL,5.45E+11,7/1/2022,BBOLWIN
5342,YUMA,AZ,5.45E+11,6/30/2022, LGUERRERO
5399,DIXON,IL,5.79E+11,6/29/2022,Signature on File
5418,LOUISVILLE,KY,5.45E+11,6/30/2022,WRON
5424,EAGLE POINT,OR,5.79E+11,7/1/2022,AFERNANDES
5447,KEARNY,NJ,5.79E+11,7/1/2022,Signature on File
5462,VANCOUVER,WA,5.79E+11,7/1/2022,BCLINGER
5751,SALINAS,CA,5.79E+11,6/30/2022,ETHYMOTHY
5848,ELK GROVE,CA,5.79E+11,6/30/2022,RMARKQUICK
5976,BLAINE,MN,5.79E+11,6/28/2022,DDELAYNW
1349,SUNRISE,FL,5.45E+11,6/30/2022,AALEX
1556,ORLAND HILLS,IL,5.45E+11,6/29/2022,CHERNANDEZ
1717,WALDORF,MD,5.45E+11,6/30/2022,PTHOMPSON
1803,SAN ANTONIO,TX,5.79E+11,6/30/2022,SMARTINEZ
2095,WAREHAM,MA,5.45E+11,7/1/2022,JDOWDING
2145,WHITEHALL,PA,5.79E+11,6/30/2022,KJHH
2448,COTTAGE GROVE,MN,5.79E+11,6/28/2022,Signature on File
2650,PHILADELPHIA,PA,5.45E+11,7/1/2022,PMONTGOMERY
3469,LINDEN,NJ,5.79E+11,7/1/2022,CCARMEN
4153,OLD BRIDGE,NJ,5.79E+11,6/30/2022,Signature on File
5095,HARTFORD,CT,5.79E+11,7/1/2022,Signature on File
6370,MORRISTOWN,TN,5.55E+11,6/30/2022,BNEBLET
6878,HAZEL GREEN,AL,5.79E+11,6/30/2022,SSHARON
144,FAYETTEVILLE,AR,5.79E+11,6/29/2022,LMARTIN
332,HUNTSVILLE,AL,5.79E+11,6/29/2022,Signature on File
544,OKLAHOMA CITY,OK,5.45E+11,6/30/2022,RROB
1122,EASTANOLLEE,GA,5.45E+11,6/30/2022,BBILL
1767,SHALLOTTE,NC,5.79E+11,6/30/2022,FGRAINGER
1770,CRANBERRY TOWNSHIP,PA,5.79E+11,6/29/2022,MMICHELLE
2360,DUNWOODY,GA,5.45E+11,6/30/2022,SWHITE
2474,KEYSER,WV,5.79E+11,7/1/2022,TDUCKWORTH
2861,BOISE,ID,5.79E+11,6/30/2022,EJADE
2864,SAN ANTONIO,TX,5.79E+11,7/1/2022,Signature on File
3215,MORGANTOWN,WV,5.79E+11,6/29/2022,LHADDIX
4644,MOON TOWNSHIP,PA,5.79E+11,6/29/2022,AMEL
5334,AURORA,CO,5.79E+11,6/29/2022,MMIKE
7199,GREAT FALLS,MT,5.45E+11,6/29/2022,WTAYLOR
5809,EDINBURG,TX,5.45E+11,7/1/2022,MMARIA
928,ST. JOHNS,FL,5.79E+11,6/30/2022,MMARIO
3585,SPRING,TX,5.79E+11,6/30/2022,MMATT
3708,SUISUN CITY,CA,5.45E+11,6/30/2022,RRAMBO
4112,BROWNSVILLE,TX,5.79E+11,Pending Deliver,
4115,CIBOLO,TX,5.79E+11,6/30/2022, AGOMEZ
4156,DERBY,VT,5.79E+11,6/30/2022,Signature on File
4512,KATY,TX,5.79E+11,6/30/2022,LODOM
5483,GREENWOOD,IN,5.45E+11,6/29/2022,JWALKER
6190,LABELLE,FL,5.79E+11,6/30/2022,OORTIZ
6467,TYLER,TX,5.79E+11,6/30/2022,RTATE
6469,BYRAM,MS,5.79E+11,6/30/2022,MWADE
7178,PRINCETON,TX,5.79E+11,6/30/2022,GGAGE
7324,HUNTSVILLE,AL,5.79E+11,6/29/2022,EBURNETTE
4165,FORT WORTH,TX,5.45E+11,6/30/2022,CCHRISTY
26,LEAVENWORTH,KS,5.79E+11,6/29/2022,PPAT
29,JEFFERSON CITY,MO,5.45E+11,6/29/2022,MMELISSA
52,HOT SPRINGS,AR,5.79E+11,6/30/2022,CWELLS
131,MOUNT PLEASANT,TX,5.45E+11,6/30/2022,MDELANAY
192,COLUMBIA,TN,5.79E+11,6/30/2022,BNOLAN
222,SPARTA,IL,5.45E+11,6/29/2022,KWILLIAMSON
259,ROCKWALL,TX,5.79E+11,7/1/2022,Signature on File
355,OPELIKA,AL,5.45E+11,6/30/2022,IPRESLEY
365,PEARL,MS,5.45E+11,6/30/2022,SCHAPMAN
452,MCALLEN,TX,5.45E+11,7/1/2022,SSANCHEZ
526,LOUISVILLE,KY,5.45E+11,6/30/2022,KFLINT
548,LAWRENCEVILLE,GA,5.79E+11,6/30/2022,Signature on File
614,LAGRANGE,GA,5.45E+11,6/30/2022,Signature on File
765,SAN ANTONIO,TX,5.79E+11,7/1/2022,ALUTHER
814,OKEECHOBEE,FL,5.45E+11,7/1/2022,No signature required
855,UNION CITY,GA,5.45E+11,7/1/2022,Signature on File
935,DENHAM SPRINGS,LA,5.79E+11,6/30/2022,JARNOLD
961,LA PLACE,LA,5.79E+11,6/30/2022,SSEMAJ
969,GULFPORT,MS,5.79E+11,6/30/2022,DJONES
975,DURANT,OK,5.45E+11,7/1/2022,SCLARK
1000,BROWNSVILLE,TX,5.79E+11,7/1/2022,VVELAZQUEZ
1015,EL PASO,TX,5.79E+11,7/5/2022,CROBLES
1151,KANSAS CITY,KS,5.79E+11,6/29/2022,GGARZA
1156,MOORESVILLE,NC,5.79E+11,7/1/2022,LSHUFORD
1163,NEW ORLEANS,LA,5.79E+11,7/1/2022,JDAVIS
1185,AUSTIN,TX,5.79E+11,6/30/2022,KKAREN
1209,LINCOLNTON,NC,5.79E+11,7/1/2022,WBROOKS
1216,CARROLLTON,TX,5.79E+11,6/30/2022,BLARA
1223,TALLAHASSEE,FL,5.79E+11,6/30/2022,NWILLIAMS
1276,SHEBOYGAN,WI,5.79E+11,6/29/2022,DWALDORF
1298,JACKSONVILLE,NC,5.79E+11,7/1/2022,JAMEQELLS
1303,GEORGETOWN,TX,5.79E+11,7/1/2022,SMITCHELL
1312,SPRING LAKE,NC,5.79E+11,7/1/2022,NRAMOS
1314,BUFORD,GA,5.79E+11,6/30/2022,KDHDB
1333,VAN WERT,OH,5.79E+11,6/30/2022,KMILLER
1340,LITHONIA,GA,5.79E+11,6/30/2022,PSMITH
1353,HARAHAN,LA,5.79E+11,6/30/2022,DDEE
1399,BEDFORD,VA,5.79E+11,7/1/2022,Signature on File
1470,WILLMAR,MN,5.79E+11,6/28/2022,Signature on File
1476,CLARKSVILLE,IN,5.79E+11,6/29/2022,MMCAGA
1490,ROCKFORD,IL,5.79E+11,6/29/2022,HCAZANIGA
1508,SHERIDAN,WY,5.79E+11,6/29/2022,JJANET
1519,JACKSON,OH,5.79E+11,6/29/2022,No signature required
1533,PEORIA,AZ,5.79E+11,6/30/2022,PALVEREZ
1564,NEW BOSTON,OH,5.79E+11,6/29/2022,Signature on File
1565,WILLISTON,ND,5.79E+11,6/29/2022,EMULLARD
1577,BUFFALO,MN,5.79E+11,6/29/2022,CCBELSI
1580,INDIANAPOLIS,IN,5.79E+11,6/29/2022,AMOON
1581,FARGO,ND,5.79E+11,6/28/2022,RROGER
1584,LAS VEGAS,NV,5.79E+11,7/1/2022,BBRENDALEE
1591,HARRISBURG,PA,5.79E+11,6/30/2022,RCOLLBERT
1634,LITTLE FALLS,MN,5.79E+11,6/28/2022,HPRILL
1674,HAGERSTOWN,MD,5.79E+11,6/30/2022,CBARNHART
1682,CHESAPEAKE,VA,5.79E+11,6/30/2022,TJIGGETTS
1708,RIVERDALE,UT,5.79E+11,6/30/2022,KBARNES
1710,CLINTON,MS,5.79E+11,6/29/2022,TTILLMAN
1714,FAIRMONT,WV,5.79E+11,6/29/2022,BHARDESTY
1734,CHAMPAIGN,IL,5.79E+11,6/29/2022,MANDREWS
1738,HUTCHINSON,MN,5.79E+11,6/28/2022,Signature on File
1756,FONTANA,CA,5.79E+11,7/1/2022,SBEECH
1771,STURGIS,MI,5.45E+11,6/29/2022,Signature on File
1775,LEBANON,OR,5.45E+11,6/30/2022,SSABRINA
1781,CORTLAND,NY,5.45E+11,6/30/2022,STYLER
1811,NORFOLK,VA,5.45E+11,6/30/2022,ZPERRY
1868,AUBURN,ME,5.79E+11,6/30/2022,MDAY
1885,BUTLER,PA,5.79E+11,6/29/2022,CWOLFORD
1931,RHINELANDER,WI,5.79E+11,6/28/2022,Signature on File
1985,LAUREL,MD,5.79E+11,6/30/2022,TMUSKELLY
1995,CHUBBUCK,ID,5.45E+11,6/30/2022,KEBY
2023,LEBANON,PA,5.45E+11,7/1/2022,AJEFFREY
2062,BENTON HARBOR,MI,5.45E+11,6/29/2022,JKISH
2093,UTICA,NY,5.45E+11,6/30/2022,MCUMMINS
2189,RENO,NV,5.45E+11,6/30/2022,IROXANNE
2196,PORT ANGELES,WA,5.45E+11,6/30/2022,MMICHAEL
2197,CORTLAND,OH,5.45E+11,6/29/2022,PREVEZZO
2266,STRONGSVILLE,OH,5.45E+11,6/29/2022,PPATTI
2340,EPHRATA,PA,5.45E+11,6/30/2022,Signature on File
2385,AUBURN,WA,5.45E+11,6/30/2022,LLEVI
2446,QUAKERTOWN,PA,5.45E+11,6/30/2022, Signature on File
2450,BELLINGHAM,WA,5.45E+11,7/5/2022,RZINN
2507,SANTA MARIA,CA,5.79E+11,7/1/2022,RREED
2512,PHOENIX,AZ,5.79E+11,6/30/2022,JREED
2583,UNIONDALE,NY,5.45E+11,6/30/2022,YYS
2592,NORTH LAS VEGAS,NV,5.79E+11,6/30/2022,JJOYCE
2747,WARWICK,RI,5.45E+11,6/30/2022,SMACLAUGHLIN
2768,MESA,AZ,5.79E+11,6/30/2022,Signature on File
2821,RICHMOND,VA,5.79E+11,6/30/2022,RSHOLVES
2886,PICO RIVERA,CA,5.79E+11,7/1/2022,MYESSY
2959,ROSEVILLE,MI,5.79E+11,6/29/2022,EEIMERS
3320,PALMHURST,TX,5.45E+11,7/1/2022,CCANTU
3350,LAS VEGAS,NV,5.45E+11,7/1/2022,KKEAHI
3495,CLARKSVILLE,TN,5.79E+11,6/29/2022,DSEXTON
3537,LAKEWOOD,WA,5.79E+11,6/30/2022,SSUEELLEN
3569,AUSTIN,TX,5.79E+11,6/30/2022,RRAYMOND
3595,FAYETTEVILLE,NC,5.79E+11,6/30/2022,MDEES
3598,CEDAR KNOLLS,NJ,5.79E+11,6/30/2022,JFORBES
3641,SPRINGFIELD,OH,5.79E+11,6/29/2022,MWHEELER
3729,SPARKS,NV,5.79E+11,6/30/2022,DDORIS
3777,FRISCO,TX,5.45E+11,6/30/2022,JSTROUP
3802,MIDDLETOWN,DE,5.79E+11,6/30/2022,WWALMART
3824,WESTMINSTER,CO,5.79E+11,6/29/2022,Signature on File
3888,SAN ANTONIO,TX,5.45E+11,6/30/2022,ECHANTACA
4176,SHERWOOD,OR,5.79E+11,6/30/2022,DCRUZ
4240,HIGHLAND VILLAGE,TX,5.79E+11,6/30/2022,DDBRADLEY
4332,ORLANDO,FL,5.79E+11,6/30/2022,NNIMIA
4337,SAN LUIS,AZ,5.79E+11,6/30/2022,VMARTINEZ
4383,DEARBORN,MI,5.79E+11,6/29/2022,Signature on File
4387,WORCESTER,MA,5.79E+11,6/30/2022,LCIVIL
4438,SARATOGA SPRINGS,UT,5.79E+11,6/30/2022,NONHIBCZ
4440,IRMO,SC,5.79E+11,6/30/2022,ABROWN
4450,MIDDLETOWN,KY,5.45E+11,6/29/2022,BBLAIN
4451,QUEEN CREEK,AZ,5.79E+11,6/30/2022,ABELCHER
4456,SOMERDALE,NJ,5.45E+11,6/30/2022,JWILLIAMS
4476,CHESTERFIELD,VA,5.79E+11,6/30/2022,Signature on File
4482,MOUNT JULIET,TN,5.79E+11,6/29/2022,AFLIPPO
4627,DENTON,TX,5.79E+11,6/30/2022,LMARTINEZ
4660,CLINTON TOWNSHIP,MI,5.79E+11,6/29/2022,BREINHARDT
4697,LYNCHBURG,VA,5.79E+11,6/30/2022,AAUBREY
5049,LITTLETON,CO,5.79E+11,6/29/2022,Signature on File
5051,GREELEY,CO,5.79E+11,6/29/2022,CRAINEY
5123,COLORADO SPRINGS,CO,5.45E+11,6/29/2022,GGREG
5134,BAKERSFIELD,CA,5.79E+11,7/1/2022,SHOBBS
5151,ROME,GA,5.79E+11,6/29/2022,GCHANDLER
5184,CANAL WINCHESTER,OH,5.79E+11,6/29/2022,Signature on File
5189,PHOENIX,AZ,5.45E+11,6/30/2022,SMIRH
5254,WAKE FOREST,NC,5.79E+11,6/30/2022,AAA
5278,CHICOPEE,MA,5.79E+11,6/30/2022,RRY
5296,BARBOURSVILLE,WV,5.79E+11,6/29/2022,ABILLS
5343,FREDERICKSBURG,VA,5.79E+11,6/30/2022,Signature on File
5403,URBANA,IL,5.45E+11,6/29/2022,KBOHLEN
5435,SAN JOSE,CA,5.79E+11,6/30/2022,No signature required
