Facility_Nbr,Facility_Name,Market,Region,Prov,Status
1059,Port Elgin,M15,R2,ON,FY23
1060,Rockland,M22,R4,ON,FY23
1061,Mississauga (Heartland),M11,R2,ON,FY23
1062,Wainwright,M6,R1,AB,FY24
1064,Wallaceburg,M14,R2,ON,FY23
1065,Kindersley,M9,R1,SK,FY24
1067,Fredericton (N),M28,R4,NB,FY24
1068,Peace River,M4,R1,AB,FY24
1069,Port Perry,M21,R4,ON,FY23
1070,Pincher Creek,M7,R1,AB,FY24
1071,Vegreville,M6,R1,AB,FY24
1072,Amherstburg,M14,R2,ON,FY23
1075,Carleton Place,M22,R4,ON,FY23
1076,Magog,M26,R3,QC,FY24
1077,Campbell River,M1,R1,BC,FY24
1078,Lethbridge (N),M7,R1,AB,FY24
1079,Brampton (W),M17,R2,ON,FY23
1080,Scarborough (NE),M18,R2,ON,FY23
1081,Vaughan (W),M17,R2,ON,FY23
1083,Alliston,M16,R2,ON,FY23
1084,Olds,M6,R1,AB,FY24
1085,Lachenaie - Terrebonne,M23,R3,QC,FY24
1086,Gatineau (W),M23,R3,QC,FY24
1087,Wasaga Beach,M16,R2,ON,FY23
1089,Calgary (Deerfoot),M7,R1,AB,FY24
1093,Westbank,M3,R1,BC,FY24
1094,Edmonton (SW),M4,R1,AB,FY24
1095,Vaughan (NW),M17,R2,ON,FY23
1097,Calgary (Sage Hill),M8,R1,AB,FY24
1100,Salmon Arm,M3,R1,BC,FY24
1101,Bradford,M16,R2,ON,FY23
1102,Sylvan Lake,M6,R1,AB,FY24
1104,Vancouver (E),M32,R1,BC,FY24
1105,Sudbury (S),M19,R2,ON,FY23
1106,Williams Lake,M3,R1,BC,FY24
1107,Waterdown,M12,R2,ON,FY23
1109,Markham (E),M20,R2,ON,FY23
1110,Ottawa (SW),M22,R4,ON,FY23
1111,Kitchener-Waterloo,M12,R2,ON,FY23
1112,Port Coquitlam,M2,R1,BC,FY24
1113,Abbotsford (W),M2,R1,BC,FY24
1115,Vaughan-Maple,M17,R2,ON,FY23
1116,Richmond Hill (S),M18,R2,ON,FY23
1117,Scarborough (S),M18,R2,ON,FY23
1118,Kanata (S),M22,R4,ON,FY23
1119,Mission,M2,R1,BC,FY24
1120,Brampton (NE),M17,R2,ON,FY23
1121,Hamilton (C),M13,R2,ON,FY23
1122,Edmonton (NW),M5,R1,AB,FY24
1123,Sherwood Park (N),M5,R1,AB,FY24
1125,Stratford,M15,R2,ON,FY23
1126,Mississauga (E),M11,R2,ON,FY23
1130,Fergus,M12,R2,ON,FY23
1132,Chateauguay,M25,R3,QC,FY24
1135,Cochrane,M8,R1,AB,FY24
1136,Calgary (East Hills),M8,R1,AB,FY24
1137,Malton,M17,R2,ON,FY23
1138,Edmonton (SE),M5,R1,AB,FY24
1139,Toronto (Downsview),M18,R2,ON,FY23
1140,Montreal (Dorval),M24,R3,QC,FY24
1141,Steinbach,M10,R1,MB,FY24
1143,Prince Rupert,M1,R1,BC,FY24
1144,Calgary (Deer Valley),M7,R1,AB,FY24
1145,Edmonton (South Park),M5,R1,AB,FY24
1146,Edmonton (Northgate),M5,R1,AB,FY24
1147,Edmonton (Abbottsfield),M5,R1,AB,FY24
1148,Edmonton (Westmount),M4,R1,AB,FY24
1149,Edmonton (Meadowlark),M4,R1,AB,FY24
1150,Toronto (Downtown E),M18,R2,ON,FY23
1151,Toronto (Sheridan),M18,R2,ON,FY23
1154,Hamilton (County Fair),M13,R2,ON,FY23
1155,Kitchener (E),M12,R2,ON,FY23
1156,Waterloo (C),M12,R2,ON,FY23
1157,London (Northland),M15,R2,ON,FY23
1158,Ottawa (Gloucester),M22,R4,ON,FY23
1159,Hawkesbury,M22,R4,ON,FY23
1160,Listowel,M15,R2,ON,FY23
1161,Newmarket (E),M20,R2,ON,FY23
1162,Peterborough (S),M21,R4,ON,FY23
1164,St. Catharines (C),M13,R2,ON,FY23
1165,Thunder Bay (S),M19,R2,ON,FY23
1166,Thunder Bay (N),M19,R2,ON,FY23
1167,Longueuil (S),M25,R3,QC,FY24
1168,Montreal (Hochelaga),M25,R3,QC,FY24
1169,Pointe-aux-Trembles,M25,R3,QC,FY24
1170,Montreal (Cote-des-Neiges),M24,R3,QC,FY24
1172,Sherbrooke (E),M26,R3,QC,FY24
1173,La Pocatiere,M27,R3,QC,FY24
1174,Sorel-Tracy,M26,R3,QC,FY24
1175,Saint John (W),M28,R4,NB,FY24
1176,Dartmouth (S),M29,R4,NS,FY24
1177,Greenwood,M29,R4,NS,FY24
1178,North Sydney,M29,R4,NS,FY24
1179,St. John's (S),M30,R4,NL,FY24
1181,Tsawwassen,M2,R1,BC,FY24
1183,St-Leonard (W),M24,R3,QC,FY24
1185,Blainville,M23,R3,QC,FY24
1186,Winnipeg (Grant Park),M10,R1,MB,FY24
1187,Edmonton (SSE),M5,R1,AB,FY24
1188,Brampton (S),M17,R2,ON,FY23
1189,Montreal (St-Laurent),M24,R3,QC,FY24
1190,Hull (E),M23,R3,QC,FY24
1192,New Westminster (C),M32,R1,BC,FY24
1199,Guelph,M12,R2,ON,FY23
1200,Ottawa,M22,R4,ON,FY23
1201,Quebec City,M27,R3,QC,FY24
1202,Pointe Claire,M24,R3,QC,FY24
1203,Candiac,M25,R3,QC,FY24
1204,Winnipeg,M10,R1,MB,FY24
1205,Surrey (C),M2,R1,BC,FY24
1206,Maple Ridge,M2,R1,BC,FY24
1207,Delta,M2,R1,BC,FY24
1208,Coquitlam,M32,R1,BC,FY24
1211,Mississauga,M11,R2,ON,FY23
1212,Quebec City ,M27,R3,QC,FY24
1213,Burnaby - Metrotown,M32,R1,BC,FY24
3000,Toronto (Agincourt),M18,R2,ON,FY23
3001,Ajax,M20,R2,ON,FY23
3002,Baie-Comeau,M27,R3,QC,FY24
3003,Bathurst,M28,R4,NB,FY24
3004,Brandon,M10,R1,MB,FY24
3005,Brantford,M14,R2,ON,FY23
3006,Brockville,M21,R4,ON,FY23
3007,Brossard,M25,R3,QC,FY24
3008,Burnaby,M32,R1,BC,FY24
3009,Calgary (W),M7,R1,AB,FY24
3010,Calgary (C),M7,R1,AB,FY24
3011,Calgary (N),M8,R1,AB,FY24
3012,Calgary (E),M8,R1,AB,FY24
3013,Calgary (NE),M8,R1,AB,FY24
3014,Cap-de-la-Madeleine,M26,R3,QC,FY24
3015,Carbonear,M30,R4,NL,FY24
3016,Chatham,M14,R2,ON,FY23
3017,Chicoutimi,M26,R3,QC,FY24
3018,Clarenville,M30,R4,NL,FY24
3019,Abbotsford,M2,R1,BC,FY24
3020,Cornwall,M21,R4,ON,FY23
3021,Dartmouth,M29,R4,NS,FY24
3022,Dauphin,M10,R1,MB,FY24
3023,Drummondville,M26,R3,QC,FY24
3024,Dryden,M19,R2,ON,FY23
3025,Duncan,M1,R1,BC,FY24
3026,Edmonton (E),M5,R1,AB,FY24
3027,Edmonton (W),M4,R1,AB,FY24
3028,Edmonton (NE),M5,R1,AB,FY24
3029,Edmonton (S),M5,R1,AB,FY24
3030,Estevan,M9,R1,SK,FY24
3031,Etobicoke,M11,R2,ON,FY23
3032,Fredericton,M28,R4,NB,FY24
3033,Gander,M30,R4,NL,FY24
3034,Georgetown,M11,R2,ON,FY23
3035,Granby,M25,R3,QC,FY24
3036,Gr. Falls-Windsor,M30,R4,NL,FY24
3037,Hamilton,M13,R2,ON,FY23
3038,Hinton,M4,R1,AB,FY24
3039,Joliette,M26,R3,QC,FY24
3040,Kamloops,M3,R1,BC,FY24
3041,Kapuskasing,M19,R2,ON,FY23
3042,Kelowna,M3,R1,BC,FY24
3043,Kingston (W),M21,R4,ON,FY23
3044,Kirkland,M24,R3,QC,FY24
3045,Kitchener,M12,R2,ON,FY23
3046,Lasalle,M24,R3,QC,FY24
3047,Laval (C),M24,R3,QC,FY24
3048,Lethbridge (S),M7,R1,AB,FY24
3049,London (E),M15,R2,ON,FY23
3050,London (N),M15,R2,ON,FY23
3051,London (S),M15,R2,ON,FY23
3052,Longueuil,M25,R3,QC,FY24
3053,Markham,M20,R2,ON,FY23
3054,Mississauga (Meadowvale),M11,R2,ON,FY23
3055,Mississauga (Square One),M11,R2,ON,FY23
3056,Moncton (E),M28,R4,NB,FY24
3057,North Vancouver,M32,R1,BC,FY24
3058,N. Battleford,M9,R1,SK,FY24
3059,Nanaimo,M1,R1,BC,FY24
3060,Nelson,M3,R1,BC,FY24
3061,New Glasgow,M29,R4,NS,FY24
3062,Newmarket,M20,R2,ON,FY23
3063,North Bay,M16,R2,ON,FY23
3064,Oakville,M11,R2,ON,FY23
3065,Orleans,M22,R4,ON,FY23
3066,Bayshore ,M22,R4,ON,FY23
3067,Owen Sound,M15,R2,ON,FY23
3068,Pt. Hawkesbury,M29,R4,NS,FY24
3069,Portage La Prairie,M10,R1,MB,FY24
3070,Penticton,M3,R1,BC,FY24
3071,Peterborough,M21,R4,ON,FY23
3072,Powell River,M1,R1,BC,FY24
3073,Prince Albert,M9,R1,SK,FY24
3074,Quebec City,M27,R3,QC,FY24
3075,Red Deer (N),M8,R1,AB,FY24
3076,Regina (N),M9,R1,SK,FY24
3077,Regina (S),M9,R1,SK,FY24
3078,Renfrew,M22,R4,ON,FY23
3079,Repentigny,M23,R3,QC,FY24
3080,Rosemere,M23,R3,QC,FY24
3081,Bedford / Sackville,M29,R4,NS,FY24
3082,Sarnia,M15,R2,ON,FY23
3083,Saskatoon (W),M9,R1,SK,FY24
3084,Saskatoon (N),M9,R1,SK,FY24
3085,Sept. Iles,M27,R3,QC,FY24
3086,Sherbrooke,M26,R3,QC,FY24
3087,St. Albert,M4,R1,AB,FY24
3088,St. Catharines (E),M13,R2,ON,FY24
3089,Saint-Eustache,M23,R3,QC,FY24
3090,St. Jean,M25,R3,QC,FY24
3091,Saint John,M28,R4,NB,FY24
3092,St. John's (C),M30,R4,NL,FY24
3093,Mount Pearl,M30,R4,NL,FY24
3094,Saint-Leonard,M24,R3,QC,FY24
3095,Stephenville,M30,R4,NL,FY24
3096,Stoney Creek,M13,R2,ON,FY24
3097,Sudbury,M19,R2,ON,FY24
3098,Surrey (E),M2,R1,BC,FY24
3099,Swift Current,M9,R1,SK,FY24
3100,Sydney River,M29,R4,NS,FY24
3101,Sydney,M29,R4,NS,FY24
3102,Thompson,M10,R1,MB,FY24
3103,Tillsonburg,M14,R2,ON,FY24
3104,Timmins,M19,R2,ON,FY24
3105,Toronto (North Park),M18,R2,ON,FY24
3106,Toronto (Dufferin Mall),M11,R2,ON,FY24
3107,Winnipeg (E),M10,R1,MB,FY24
3108,Trois-Rivieres,M26,R3,QC,FY24
3109,Victoria,M1,R1,BC,FY24
3110,Welland,M13,R2,ON,FY24
3111,Scarborough (E),M18,R2,ON,FY24
3112,Wetaskiwin,M6,R1,AB,FY24
3113,Whitby,M20,R2,ON,FY24
3114,Windsor (S),M14,R2,ON,FY24
3115,Windsor (E),M14,R2,ON,FY24
3116,Winnipeg (C),M10,R1,MB,FY24
3117,Winnipeg (W),M10,R1,MB,FY24
3118,Winnipeg (N),M10,R1,MB,FY24
3119,Winnipeg (S),M10,R1,MB,FY24
3120,Woodstock,M14,R2,ON,FY24
3121,Yellowknife,M8,R1,NT,FY24
3122,Belleville,M21,R4,ON,FY24
3123,Barrie (S),M16,R2,ON,FY24
3124,Thunder Bay,M19,R2,ON,FY24
3125,Gatineau,M23,R3,QC,FY24
3126,Goderich,M15,R2,ON,FY24
3127,Ancaster,M14,R2,ON,FY24
3128,Temiskaming Shores,M19,R2,ON,FY24
3129,Hanover,M15,R2,ON,FY24
3130,Brampton (N),M17,R2,ON,FY24
3131,Ottawa (S),M22,R4,ON,FY24
3132,Lachute,M23,R3,QC,FY24
3133,Cobourg,M21,R4,ON,FY23
3134,Kanata,M22,R4,ON,FY24
3135,Brampton (E),M17,R2,ON,FY24
3136,Rouyn-Noranda,M23,R3,QC,FY24
3137,Saint-Hyacinthe,M25,R3,QC,FY24
3138,Halifax (W),M29,R4,NS,FY24
3139,Val D'or,M23,R3,QC,FY24
3140,Saint-Bruno,M25,R3,QC,FY24
3141,Burlington (S),M13,R2,ON,FY24
3142,Orangeville,M12,R2,ON,FY24
3143,Hull,M23,R3,QC,FY24
3144,Guelph,M12,R2,ON,FY24
3146,Sainte-Foy,M27,R3,QC,FY24
3147,Grande Prairie,M4,R1,AB,FY24
3148,Levis,M27,R3,QC,FY24
3149,Mascouche,M23,R3,QC,FY24
3150,Medicine Hat,M7,R1,AB,FY24
3151,Calgary (S),M7,R1,AB,FY24
3152,Cambridge,M12,R2,ON,FY24
3153,Orillia,M16,R2,ON,FY24
3154,Sherwood Park,M5,R1,AB,FY24
3155,Sault Ste. Marie,M19,R2,ON,FY24
3156,Waterloo,M12,R2,ON,FY24
3157,Fort Mcmurray,M8,R1,AB,FY24
3158,Langley,M2,R1,BC,FY24
3159,Scarborough (W),M18,R2,ON,FY24
3160,Niagara Falls,M13,R2,ON,FY24
3161,Oshawa,M20,R2,ON,FY24
3162,Charlottetown,M28,R4,PE,FY24
3163,Courtenay,M1,R1,BC,FY24
3164,Leamington,M14,R2,ON,FY24
3165,Montreal,M24,R3,QC,FY24
3166,Barrie (N),M16,R2,ON,FY24
3167,Chilliwack,M2,R1,BC,FY24
3168,Lloydminster,M6,R1,AB,FY24
3169,Vernon,M3,R1,BC,FY24
3170,Burlington (N),M13,R2,ON,FY24
3171,Pembroke,M22,R4,ON,FY24
3172,St. Catharines (W),M13,R2,ON,FY24
3173,Moose Jaw,M9,R1,SK,FY24
3174,Vaughan,M17,R2,ON,FY23
3176,Yorkton,M9,R1,SK,FY24
3177,Winnipeg (SW),M10,R1,MB,FY24
3178,Trenton,M21,R4,ON,FY24
3179,Regina (E),M9,R1,SK,FY24
3181,Camrose,M6,R1,AB,FY24
3183,Cranbrook,M3,R1,BC,FY24
3184,Truro,M28,R4,NS,FY24
3185,Corner Brook,M30,R4,NL,FY24
3186,Pickering,M20,R2,ON,FY23
3188,Langford,M1,R1,BC,FY24
3189,Laval (W),M24,R3,QC,FY24
3190,Saint Jerome,M23,R3,QC,FY24
3191,Whitehorse,M1,R1,YT,FY24
3194,Red Deer (S),M8,R1,AB,FY24
3195,Richmond Hill,M18,R2,ON,FY24
3196,St. John's (E),M30,R4,NL,FY24
3197,St. Thomas,M14,R2,ON,FY24
3198,Rimouski,M27,R3,QC,FY24
3199,Quesnel,M3,R1,BC,FY24
3635,Scarborough (C),M18,R2,ON,FY24
3636,Halifax (C),M29,R4,NS,FY24
3637,Spruce Grove,M4,R1,AB,FY24
3638,Barrhaven,M22,R4,ON,FY24
3639,Valleyfield,M25,R3,QC,FY24
3640,Cold Lake,M5,R1,AB,FY24
3642,St. Constant,M25,R3,QC,FY24
3644,Summerside,M28,R4,PE,FY24
3645,Midland,M16,R2,ON,FY24
3646,Beauport,M27,R3,QC,FY24
3647,Shawinigan,M26,R3,QC,FY24
3649,Fort Erie,M13,R2,ON,FY24
3650,Calgary (SE),M7,R1,AB,FY24
3651,Prince George,M3,R1,BC,FY24
3652,Richmond (N),M32,R1,BC,FY24
3653,Uxbridge,M20,R2,ON,FY24
3654,Mississauga (Erin Mills),M11,R2,ON,FY24
3655,Riviere-du-Loup,M27,R3,QC,FY24
3656,Montreal (N),M24,R3,QC,FY24
3657,Leduc,M6,R1,AB,FY24
3658,Brooks,M7,R1,AB,FY24
3659,Moncton (W),M28,R4,NB,FY24
3660,Flin Flon,M10,R1,MB,FY24
3661,Fort St. John,M32,R1,BC,FY24
3737,Atholville,M28,R4,NB,FY24
3738,New Minas,M29,R4,NS,FY24
3739,Victoriaville,M26,R3,QC,FY24
3740,Toronto (Rexdale),M17,R2,ON,FY24
5708,Okotoks,M7,R1,AB,FY24
5726,Calgary (NW),M8,R1,AB,FY24
5742,Bolton,M11,R2,ON,FY24
5743,Huntsville,M16,R2,ON,FY24
5752,Simcoe,M14,R2,ON,FY24
5753,Fort Saskatchewan,M5,R1,AB,FY24
5776,Dawson Creek,M32,R1,BC,FY24
5777,New Westminster,M2,R1,BC,FY24
5778,Aurora,M20,R2,ON,FY24
5789,Amherst,M28,R4,NS,FY24
5790,Weyburn,M9,R1,SK,FY24
5795,Alma,M26,R3,QC,FY24
5806,Fort Frances,M19,R2,ON,FY24
5811,Smiths Falls,M21,R4,ON,FY24
5831,Thornhill,M17,R2,ON,FY24
5832,Thetford Mines,M26,R3,QC,FY24
5833,Miramichi,M28,R4,NB,FY24
5834,Terrace,M1,R1,BC,FY24
5838,Surrey (W),M2,R1,BC,FY24
5839,Cowansville,M25,R3,QC,FY24
5853,Surrey (S),M2,R1,BC,FY24
5854,Kenora,M19,R2,ON,FY24
5878,Saskatoon (S),M9,R1,SK,FY24
