Store,Offsite Storage Pickup Date,Service  Hours,Storage Vendor,Box  Count
116,2/28/2022 or 3/4/2022,7 am - 6 pm,Vital Records Control (VRC),33
117,TBD,TBD,TBD,TBD
118,TBD,TBD,TBD,TBD
119,TBD,TBD,TBD,TBD
120,TBD,TBD,TBD,TBD
121,TBD,TBD,TBD,TBD
122,TBD,TBD,TBD,TBD
123,TBD,TBD,TBD,TBD
124,TBD,TBD,TBD,TBD
125,TBD,TBD,TBD,TBD
126,TBD,TBD,TBD,TBD
127,9/7/2021,7 am - 6 pm,Vital Records Control (VRC),96
128,TBD,TBD,TBD,TBD
129,7/29/2021,7 am - 6 pm,Vital Records Control (VRC),157
130,TBD,TBD,TBD,TBD
131,TBD,TBD,TBD,TBD
132,TBD,TBD,TBD,TBD
133,TBD,TBD,TBD,TBD
134,TBD,TBD,TBD,TBD
135,TBD,TBD,TBD,TBD
136,TBD,TBD,TBD,TBD
137,TBD,TBD,TBD,TBD
138,TBD,TBD,TBD,TBD
139,TBD,TBD,TBD,TBD
140,TBD,TBD,TBD,TBD
141,TBD,TBD,TBD,TBD
143,7/14/2021,7 am - 6 pm,Vital Records Control (VRC),25
144,TBD,TBD,TBD,TBD
145,TBD,TBD,TBD,TBD
146,TBD,TBD,TBD,TBD
147,TBD,TBD,TBD,TBD
148,9/7/2021,7 am - 6 pm,Vital Records Control (VRC),157
149,2/24/2022,7 am - 6 pm,Vital Records Control (VRC),88
150,TBD,TBD,TBD,TBD
151,TBD,TBD,TBD,TBD
152,TBD,TBD,TBD,TBD
153,2/28/2022,7 am - 6 pm,Vital Records Control (VRC),78
154,TBD,TBD,TBD,TBD
155,TBD,TBD,TBD,TBD
157,TBD,TBD,TBD,TBD
158,TBD,TBD,TBD,TBD
159,TBD,TBD,TBD,TBD
160,TBD,TBD,TBD,TBD
161,TBD,TBD,TBD,TBD
162,TBD,TBD,TBD,TBD
163,TBD,TBD,TBD,TBD
164,TBD,TBD,TBD,TBD
165,TBD,TBD,TBD,TBD
166,TBD,TBD,TBD,TBD
167,TBD,TBD,TBD,TBD
168,TBD,TBD,TBD,TBD
169,TBD,TBD,TBD,TBD
170,6/29/2021,7 am - 6 pm,Vital Records Control (VRC),164
171,TBD,TBD,TBD,TBD
172,TBD,TBD,TBD,TBD
173,TBD,TBD,TBD,TBD
174,TBD,TBD,TBD,TBD
175,TBD,TBD,TBD,TBD
176,2/24/2022,7 am - 6 pm,Vital Records Control (VRC),49
177,TBD,TBD,TBD,TBD
178,TBD,TBD,TBD,TBD
179,TBD,TBD,TBD,TBD
180,TBD,TBD,TBD,TBD
181,TBD,TBD,TBD,TBD
182,TBD,TBD,TBD,TBD
183,TBD,TBD,TBD,TBD
184,TBD,TBD,TBD,TBD
185,TBD,TBD,TBD,TBD
186,TBD,TBD,TBD,TBD
188,TBD,TBD,TBD,TBD
189,TBD,TBD,TBD,TBD
190,TBD,TBD,TBD,TBD
192,6/14/2021,7 am - 6 pm,Vital Records Control (VRC),163
194,7/12/2021,7 am - 6 pm,Vital Records Control (VRC),32
195,TBD,TBD,TBD,TBD
196,TBD,TBD,TBD,TBD
197,TBD,TBD,TBD,TBD
198,10/5/2021,7 am - 6 pm,Vital Records Control (VRC),118
199,TBD,TBD,TBD,TBD
200,TBD,TBD,TBD,TBD
201,TBD,TBD,TBD,TBD
202,TBD,TBD,TBD,TBD
203,TBD,TBD,TBD,TBD
204,TBD,TBD,TBD,TBD
205,TBD,TBD,TBD,TBD
206,TBD,TBD,TBD,TBD
207,TBD,TBD,TBD,TBD
209,TBD,TBD,TBD,TBD
210,TBD,TBD,TBD,TBD
211,TBD,TBD,TBD,TBD
212,TBD,TBD,TBD,TBD
213,TBD,TBD,TBD,TBD
214,7/30/2021,7 am - 6 pm,Vital Records Control (VRC),40
216,TBD,TBD,TBD,TBD
217,TBD,TBD,TBD,TBD
218,TBD,TBD,TBD,TBD
219,TBD,TBD,TBD,TBD
220,9/23/2021,7 am - 6 pm,Vital Records Control (VRC),198
221,TBD,TBD,TBD,TBD
222,TBD,TBD,TBD,TBD
224,TBD,TBD,TBD,TBD
225,TBD,TBD,TBD,TBD
226,TBD,TBD,TBD,TBD
227,TBD,TBD,TBD,TBD
228,TBD,TBD,TBD,TBD
229,TBD,TBD,TBD,TBD
230,TBD,TBD,TBD,TBD
231,TBD,TBD,TBD,TBD
232,TBD,TBD,TBD,TBD
233,TBD,TBD,TBD,TBD
234,10/13/2021,7 am - 6 pm,Vital Records Control (VRC),16
236,TBD,TBD,TBD,TBD
237,TBD,TBD,TBD,TBD
238,TBD,TBD,TBD,TBD
239,10/7/2021,7 am - 6 pm,Vital Records Control (VRC),47
240,TBD,TBD,TBD,TBD
241,TBD,TBD,TBD,TBD
242,TBD,TBD,TBD,TBD
243,TBD,TBD,TBD,TBD
244,2/28/2022,7 am - 6 pm,Vital Records Control (VRC),158
245,TBD,TBD,TBD,TBD
246,TBD,TBD,TBD,TBD
247,TBD,TBD,TBD,TBD
248,TBD,TBD,TBD,TBD
249,TBD,TBD,TBD,TBD
250,TBD,TBD,TBD,TBD
251,TBD,TBD,TBD,TBD
252,TBD,TBD,TBD,TBD
253,9/29/2021,7 am - 6 pm,Vital Records Control (VRC),65
254,TBD,TBD,TBD,TBD
256,TBD,TBD,TBD,TBD
257,TBD,TBD,TBD,TBD
258,TBD,TBD,TBD,TBD
259,TBD,TBD,TBD,TBD
260,TBD,TBD,TBD,TBD
261,TBD,TBD,TBD,TBD
262,TBD,TBD,TBD,TBD
264,TBD,TBD,TBD,TBD
265,TBD,TBD,TBD,TBD
266,TBD,TBD,TBD,TBD
267,TBD,TBD,TBD,TBD
268,TBD,TBD,TBD,TBD
269,TBD,TBD,TBD,TBD
271,TBD,TBD,TBD,TBD
272,TBD,TBD,TBD,TBD
273,Pending with the Vendor to Schedule Service,7 am - 6 pm,Vital Records Control (VRC),54
274,TBD,TBD,TBD,TBD
275,TBD,TBD,TBD,TBD
276,TBD,TBD,TBD,TBD
277,TBD,TBD,TBD,TBD
278,9/23/2021,7 am - 6 pm,Vital Records Control (VRC),127
279,TBD,TBD,TBD,TBD
280,TBD,TBD,TBD,TBD
281,TBD,TBD,TBD,TBD
282,TBD,TBD,TBD,TBD
283,6/3/2021,7 am - 6 pm,Vital Records Control (VRC),100
284,TBD,TBD,TBD,TBD
285,TBD,TBD,TBD,TBD
286,TBD,TBD,TBD,TBD
287,TBD,TBD,TBD,TBD
288,TBD,TBD,TBD,TBD
289,TBD,TBD,TBD,TBD
290,TBD,TBD,TBD,TBD
292,TBD,TBD,TBD,TBD
293,TBD,TBD,TBD,TBD
294,TBD,TBD,TBD,TBD
295,6/2/2021,7 am - 6 pm,Vital Records Control (VRC),98
296,TBD,TBD,TBD,TBD
297,TBD,TBD,TBD,TBD
298,3/10/2022,7 am - 6 pm,Vital Records Control (VRC),125
299,TBD,TBD,TBD,TBD
300,7/9/2021,7 am - 6 pm,Vital Records Control (VRC),116
301,4/28/2021,7 am - 6 pm,Vital Records Control (VRC),176
302,TBD,TBD,TBD,TBD
303,TBD,TBD,TBD,TBD
304,TBD,TBD,TBD,TBD
305,TBD,TBD,TBD,TBD
306,Pending with the Vendor to Schedule Service,7 am - 6 pm,Vital Records Control (VRC),99
307,3/8/2022,7 am - 6 pm,Vital Records Control (VRC),173
308,TBD,TBD,TBD,TBD
309,6/16/2021,7 am - 6 pm,Vital Records Control (VRC),90
310,5/21/2021,7 am - 6 pm,Vital Records Control (VRC),190
311,TBD,TBD,TBD,TBD
312,7/2/2021,7 am - 6 pm,Vital Records Control (VRC),31
313,TBD,TBD,TBD,TBD
314,TBD,TBD,TBD,TBD
315,5/3/2021,7 am - 6 pm,Vital Records Control (VRC),91
316,4/28/2021,7 am - 6 pm,Vital Records Control (VRC),157
317,TBD,TBD,TBD,TBD
318,TBD,TBD,TBD,TBD
319,TBD,TBD,TBD,TBD
320,TBD,TBD,TBD,TBD
321,8/2/2021,7 am - 6 pm,Vital Records Control (VRC),109
322,TBD,TBD,TBD,TBD
323,10/13/2021,7 am - 6 pm,Vital Records Control (VRC),117
324,TBD,TBD,TBD,TBD
325,TBD,TBD,TBD,TBD
326,TBD,TBD,TBD,TBD
328,TBD,TBD,TBD,TBD
329,TBD,TBD,TBD,TBD
330,10/13/2021,7 am - 6 pm,Vital Records Control (VRC),90
331,TBD,TBD,TBD,TBD
332,TBD,TBD,TBD,TBD
333,TBD,TBD,TBD,TBD
334,TBD,TBD,TBD,TBD
335,TBD,TBD,TBD,TBD
336,TBD,TBD,TBD,TBD
337,TBD,TBD,TBD,TBD
338,TBD,TBD,TBD,TBD
339,TBD,TBD,TBD,TBD
340,TBD,TBD,TBD,TBD
341,TBD,TBD,TBD,TBD
342,TBD,TBD,TBD,TBD
343,TBD,TBD,TBD,TBD
344,TBD,TBD,TBD,TBD
345,TBD,TBD,TBD,TBD
346,TBD,TBD,TBD,TBD
347,TBD,TBD,TBD,TBD
348,TBD,TBD,TBD,TBD
350,TBD,TBD,TBD,TBD
351,8/3/2021,7 am - 6 pm,Vital Records Control (VRC),19
352,TBD,TBD,TBD,TBD
353,TBD,TBD,TBD,TBD
354,TBD,TBD,TBD,TBD
355,TBD,TBD,TBD,TBD
356,4/29/2021,7 am - 6 pm,Vital Records Control (VRC),52
357,TBD,TBD,TBD,TBD
358,TBD,TBD,TBD,TBD
359,TBD,TBD,TBD,TBD
360,TBD,TBD,TBD,TBD
361,TBD,TBD,TBD,TBD
362,5/28/2021,7 am - 6 pm,Vital Records Control (VRC),89
363,TBD,TBD,TBD,TBD
364,TBD,TBD,TBD,TBD
365,TBD,TBD,TBD,TBD
366,TBD,TBD,TBD,TBD
368,8/27/2021,7 am - 6 pm,Vital Records Control (VRC),54
369,TBD,TBD,TBD,TBD
370,TBD,TBD,TBD,TBD
371,TBD,TBD,TBD,TBD
372,TBD,TBD,TBD,TBD
373,TBD,TBD,TBD,TBD
374,TBD,TBD,TBD,TBD
375,7/20/2021,7 am - 6 pm,Vital Records Control (VRC),68
376,TBD,TBD,TBD,TBD
377,TBD,TBD,TBD,TBD
378,TBD,TBD,TBD,TBD
379,TBD,TBD,TBD,TBD
381,TBD,TBD,TBD,TBD
382,TBD,TBD,TBD,TBD
383,6/3/2021,7 am - 6 pm,Vital Records Control (VRC),98
384,5/20/2021,7 am - 6 pm,Vital Records Control (VRC),48
385,8/2/2021,7 am - 6 pm,Vital Records Control (VRC),20
386,TBD,TBD,TBD,TBD
387,TBD,TBD,TBD,TBD
388,TBD,TBD,TBD,TBD
389,TBD,TBD,TBD,TBD
390,TBD,TBD,TBD,TBD
391,5/10/2021,7 am - 6 pm,Vital Records Control (VRC),223
392,TBD,TBD,TBD,TBD
393,TBD,TBD,TBD,TBD
394,3/3/2022,7 am - 6 pm,Vital Records Control (VRC),63
395,TBD,TBD,TBD,TBD
396,TBD,TBD,TBD,TBD
397,7/13/2021,7 am - 6 pm,Vital Records Control (VRC),200
398,TBD,TBD,TBD,TBD
399,TBD,TBD,TBD,TBD
400,7/20/2021,7 am - 6 pm,Vital Records Control (VRC),244
401,6/4/2021,7 am - 6 pm,Vital Records Control (VRC),18
402,6/17/2021,7 am - 6 pm,Vital Records Control (VRC),274
403,2/24/2022,7 am - 6 pm,Vital Records Control (VRC),91
404,TBD,TBD,TBD,TBD
405,7/16/2021,7 am - 6 pm,Vital Records Control (VRC),35
406,TBD,TBD,TBD,TBD
407,TBD,TBD,TBD,TBD
408,6/4/2021,7 am - 6 pm,Vital Records Control (VRC),56
409,3/3/2022,7 am - 6 pm,Vital Records Control (VRC),17
410,TBD,TBD,TBD,TBD
411,5/12/2021,7 am - 6 pm,Vital Records Control (VRC),79
412,7/22/2021,7 am - 6 pm,Vital Records Control (VRC),77
413,TBD,TBD,TBD,TBD
414,TBD,TBD,TBD,TBD
415,2/7/2022,7 am - 6 pm,Vital Records Control (VRC),109
416,TBD,TBD,TBD,TBD
417,TBD,TBD,TBD,TBD
418,TBD,TBD,TBD,TBD
419,7/15/2021,7 am - 6 pm,Vital Records Control (VRC),84
420,TBD,TBD,TBD,TBD
421,TBD,TBD,TBD,TBD
422,TBD,TBD,TBD,TBD
423,TBD,TBD,TBD,TBD
424,10/1/2021,7 am - 6 pm,Vital Records Control (VRC),197
425,TBD,TBD,TBD,TBD
426,6/1/2021,7 am - 6 pm,Vital Records Control (VRC),119
427,TBD,TBD,TBD,TBD
428,10/4/2021,7 am - 6 pm,Vital Records Control (VRC),160
429,10/21/2021,7 am - 6 pm,Vital Records Control (VRC),99
430,TBD,TBD,TBD,TBD
431,TBD,TBD,TBD,TBD
432,10/12/2021,7 am - 6 pm,Vital Records Control (VRC),78
433,TBD,TBD,TBD,TBD
434,2/24/2022,7 am - 6 pm,Vital Records Control (VRC),61
435,TBD,TBD,TBD,TBD
436,TBD,TBD,TBD,TBD
437,TBD,TBD,TBD,TBD
438,TBD,TBD,TBD,TBD
440,7/13/2021,7 am - 6 pm,Vital Records Control (VRC),48
442,TBD,TBD,TBD,TBD
443,TBD,TBD,TBD,TBD
444,TBD,TBD,TBD,TBD
445,TBD,TBD,TBD,TBD
446,TBD,TBD,TBD,TBD
447,TBD,TBD,TBD,TBD
448,2/28/2022,7 am - 6 pm,Vital Records Control (VRC),59
449,TBD,TBD,TBD,TBD
450,TBD,TBD,TBD,TBD
451,TBD,TBD,TBD,TBD
452,8/4/2021,7 am - 6 pm,Vital Records Control (VRC),220
453,TBD,TBD,TBD,TBD
454,9/13/2021,7 am - 6 pm,Vital Records Control (VRC),80
456,TBD,TBD,TBD,TBD
457,6/3/2021,7 am - 6 pm,Vital Records Control (VRC),112
458,10/19/2021,7 am - 6 pm,Vital Records Control (VRC),102
459,TBD,TBD,TBD,TBD
461,TBD,TBD,TBD,TBD
462,7/16/2021,7 am - 6 pm,Vital Records Control (VRC),43
463,6/17/2021,7 am - 6 pm,Vital Records Control (VRC),37
464,7/7/2021,7 am - 6 pm,Vital Records Control (VRC),148
465,6/30/2021,7 am - 6 pm,Vital Records Control (VRC),118
466,TBD,TBD,TBD,TBD
467,TBD,TBD,TBD,TBD
468,TBD,TBD,TBD,TBD
469,7/9/2021,7 am - 6 pm,Vital Records Control (VRC),190
470,TBD,TBD,TBD,TBD
471,TBD,TBD,TBD,TBD
472,7/26/2021,7 am - 6 pm,Vital Records Control (VRC),36
473,TBD,TBD,TBD,TBD
475,9/30/2021,7 am - 6 pm,Iron Mountain ,119
476,TBD,TBD,TBD,TBD
477,TBD,TBD,TBD,TBD
478,TBD,TBD,TBD,TBD
479,TBD,TBD,TBD,TBD
480,TBD,TBD,TBD,TBD
481,TBD,TBD,TBD,TBD
482,7/28/2021,7 am - 6 pm,Vital Records Control (VRC),14
483,TBD,TBD,TBD,TBD
484,TBD,TBD,TBD,TBD
485,TBD,TBD,TBD,TBD
486,TBD,TBD,TBD,TBD
488,6/14/2021,7 am - 6 pm,Vital Records Control (VRC),84
489,TBD,TBD,TBD,TBD
490,8/16/2021,7 am - 6 pm,Vital Records Control (VRC),18
491,TBD,TBD,TBD,TBD
492,TBD,TBD,TBD,TBD
493,TBD,TBD,TBD,TBD
494,5/6/2021,7 am - 5 pm,Iron Mountain ,71
495,10/14/2021,7 am - 6 pm,Vital Records Control (VRC),126
497,TBD,TBD,TBD,TBD
498,6/23/2021,7 am - 6 pm,Vital Records Control (VRC),55
499,TBD,TBD,TBD,TBD
500,TBD,TBD,TBD,TBD
501,6/22/2021,7 am - 6 pm,Vital Records Control (VRC),89
502,10/13/2021,7 am - 6 pm,Vital Records Control (VRC),200
503,7/14/2021,7 am - 6 pm,Vital Records Control (VRC),83
504,TBD,TBD,TBD,TBD
505,TBD,TBD,TBD,TBD
506,TBD,TBD,TBD,TBD
507,TBD,TBD,TBD,TBD
508,TBD,TBD,TBD,TBD
510,8/10/2021,7 am - 6 pm,Vital Records Control (VRC),248
511,TBD,TBD,TBD,TBD
512,TBD,TBD,TBD,TBD
513,TBD,TBD,TBD,TBD
514,TBD,TBD,TBD,TBD
515,TBD,TBD,TBD,TBD
516,6/17/2021,7 am - 6 pm,Vital Records Control (VRC),87
517,9/30/2021,7 am - 6 pm,Iron Mountain ,52
518,TBD,TBD,TBD,TBD
519,TBD,TBD,TBD,TBD
520,5/27/2021,7 am - 6 pm,Vital Records Control (VRC),157
521,TBD,TBD,TBD,TBD
522,7/15/2021,7 am - 6 pm,Vital Records Control (VRC),98
523,TBD,TBD,TBD,TBD
524,8/18/2021,7 am - 6 pm,Vital Records Control (VRC),130
525,6/1/2021,7 am - 6 pm,Vital Records Control (VRC),55
526,TBD,TBD,TBD,TBD
527,8/5/2021,7 am - 6 pm,Vital Records Control (VRC),68
528,3/31/2021,7 am - 6 pm,Vital Records Control (VRC),114
529,6/30/2021,7 am - 6 pm,Vital Records Control (VRC),157
530,TBD,TBD,TBD,TBD
531,6/7/2021,7 am - 6 pm,Vital Records Control (VRC),188
532,5/26/2021,7 am - 6 pm,Vital Records Control (VRC),202
533,5/25/2021,7 am - 6 pm,Vital Records Control (VRC),181
535,TBD,TBD,TBD,TBD
536,TBD,TBD,TBD,TBD
537,TBD,TBD,TBD,TBD
538,TBD,TBD,TBD,TBD
539,TBD,TBD,TBD,TBD
540,5/20/2021,7 am - 6 pm,Vital Records Control (VRC),100
541,TBD,TBD,TBD,TBD
542,TBD,TBD,TBD,TBD
543,6/8/2021,7 am - 6 pm,Vital Records Control (VRC),242
544,TBD,TBD,TBD,TBD
545,TBD,TBD,TBD,TBD
546,TBD,TBD,TBD,TBD
547,4/22/2021,7 am - 6 pm,Vital Records Control (VRC),109
548,TBD,TBD,TBD,TBD
549,TBD,TBD,TBD,TBD
550,TBD,TBD,TBD,TBD
551,TBD,TBD,TBD,TBD
552,TBD,TBD,TBD,TBD
553,TBD,TBD,TBD,TBD
554,TBD,TBD,TBD,TBD
555,4/2/2021,7 am - 6 pm,Vital Records Control (VRC),124
556,4/1/2021,7 am - 6 pm,Vital Records Control (VRC),85
557,TBD,TBD,TBD,TBD
558,TBD,TBD,TBD,TBD
559,TBD,TBD,TBD,TBD
560,TBD,TBD,TBD,TBD
561,TBD,TBD,TBD,TBD
562,6/14/2021,7 am - 6 pm,Vital Records Control (VRC),132
563,TBD,TBD,TBD,TBD
564,TBD,TBD,TBD,TBD
565,5/25/2021,7 am - 6 pm,Vital Records Control (VRC),61
566,TBD,TBD,TBD,TBD
567,TBD,TBD,TBD,TBD
568,TBD,TBD,TBD,TBD
569,TBD,TBD,TBD,TBD
571,TBD,TBD,TBD,TBD
572,Pending with the Vendor to Schedule Service,7 am - 6 pm,Vital Records Control (VRC),48
573,TBD,TBD,TBD,TBD
574,8/3/2021,7 am - 6 pm,Vital Records Control (VRC),80
575,TBD,TBD,TBD,TBD
576,TBD,TBD,TBD,TBD
577,TBD,TBD,TBD,TBD
578,TBD,TBD,TBD,TBD
579,TBD,TBD,TBD,TBD
580,3/25/2021,7 am - 6 pm,Vital Records Control (VRC),138
581,8/2/2021,7 am - 6 pm,Vital Records Control (VRC),0
582,3/25/2021,7 am - 6 pm,Vital Records Control (VRC),111
583,TBD,TBD,TBD,TBD
584,TBD,TBD,TBD,TBD
585,TBD,TBD,TBD,TBD
586,TBD,TBD,TBD,TBD
587,TBD,TBD,TBD,TBD
588,TBD,TBD,TBD,TBD
589,TBD,TBD,TBD,TBD
590,TBD,TBD,TBD,TBD
591,TBD,TBD,TBD,TBD
592,TBD,TBD,TBD,TBD
593,4/13/2021,7 am - 6 pm,Vital Records Control (VRC),147
594,TBD,TBD,TBD,TBD
595,7/13/2021,7 am - 6 pm,Vital Records Control (VRC),11
596,TBD,TBD,TBD,TBD
598,8/4/2021,7 am - 6 pm,Vital Records Control (VRC),0
599,7/30/2021,7 am - 6 pm,Vital Records Control (VRC),48
600,TBD,TBD,TBD,TBD
601,TBD,TBD,TBD,TBD
602,7/26/2021,7 am - 6 pm,Vital Records Control (VRC),93
603,TBD,TBD,TBD,TBD
604,5/5/2021,7 am - 6 pm,Vital Records Control (VRC),228
605,8/2/2021,7 am - 6 pm,Vital Records Control (VRC),150
606,TBD,TBD,TBD,TBD
607,TBD,TBD,TBD,TBD
608,TBD,TBD,TBD,TBD
609,9/17/2021,7 am - 6 pm,Vital Records Control (VRC),79
610,TBD,TBD,TBD,TBD
611,TBD,TBD,TBD,TBD
612,TBD,TBD,TBD,TBD
613,TBD,TBD,TBD,TBD
614,5/20/2021,7 am - 5 pm,Iron Mountain ,109
615,Pending with the Vendor to Schedule Service,7 am - 6 pm,Vital Records Control (VRC),95
616,TBD,TBD,TBD,TBD
617,TBD,TBD,TBD,TBD
618,TBD,TBD,TBD,TBD
619,TBD,TBD,TBD,TBD
620,8/3/2021,7 am - 6 pm,Vital Records Control (VRC),64
621,9/3/2021,7 am - 6 pm,Iron Mountain,42
622,TBD,TBD,TBD,TBD
623,TBD,TBD,TBD,TBD
624,3/11/2022,7 am - 6 pm,Vital Records Control (VRC),24
625,8/3/2021,7 am - 6 pm,Vital Records Control (VRC),68
626,TBD,TBD,TBD,TBD
627,TBD,TBD,TBD,TBD
628,TBD,TBD,TBD,TBD
629,TBD,TBD,TBD,TBD
630,TBD,TBD,TBD,TBD
631,3/8/2022,7 am - 6 pm,Vital Records Control (VRC),96
632,TBD,TBD,TBD,TBD
633,TBD,TBD,TBD,TBD
634,7/26/2021,7 am - 6 pm,Vital Records Control (VRC),156
635,7/26/2021,7 am - 6 pm,Vital Records Control (VRC),99
636,TBD,TBD,TBD,TBD
637,8/5/2021,7 am - 6 pm,Vital Records Control (VRC),0
638,TBD,TBD,TBD,TBD
639,3/31/2021,7 am - 6 pm,Vital Records Control (VRC),220
640,2/7/2022,7 am - 6 pm,Vital Records Control (VRC),53
641,TBD,TBD,TBD,TBD
642,7/21/2021,7 am - 6 pm,Vital Records Control (VRC),28
643,7/29/2021,7 am - 6 pm,Vital Records Control (VRC),38
644,Pending with the Vendor to Schedule Service,7 am - 6 pm,Vital Records Control (VRC),114
645,8/17/2021,7 am - 6 pm,Vital Records Control (VRC),0
646,TBD,TBD,TBD,TBD
647,7/21/2021,7 am - 6 pm,Vital Records Control (VRC),25
648,TBD,TBD,TBD,TBD
649,3/19/2021,7 am - 6 pm,Vital Records Control (VRC),100
651,5/21/2021,7 am - 6 pm,Vital Records Control (VRC),76
652,TBD,TBD,TBD,TBD
653,TBD,TBD,TBD,TBD
655,TBD,TBD,TBD,TBD
656,TBD,TBD,TBD,TBD
657,TBD,TBD,TBD,TBD
658,TBD,TBD,TBD,TBD
659,TBD,TBD,TBD,TBD
660,TBD,TBD,TBD,TBD
661,3/17/2022,7 am - 6 pm,Vital Records Control (VRC),81
662,TBD,TBD,TBD,TBD
663,TBD,TBD,TBD,TBD
664,7/23/2021,7 am - 6 pm,Vital Records Control (VRC),69
665,TBD,TBD,TBD,TBD
666,3/24/2021,7 am - 6 pm,Vital Records Control (VRC),67
667,10/22/2021,7 am - 6 pm,Vital Records Control (VRC),48
