Store,SHRED PICKUP DATE,Service  Hours,Storage Vendor,Shred Pallet  Count
81,7/6/2023,7 am - 6 pm,Vital Records Control (VRC),1
82,7/28/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
83,TBD,TBD,TBD,SUBMISSIONS UPDATED WEEKLY ON FRIDAYS
85,6/30/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
86,3/14/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
87,5/12/2023,7 am - 6 pm,Vital Records Control (VRC),1
88,5/1/2023,7 am - 6 pm,Vital Records Control (VRC),1
89,4/28/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
90,TBD,TBD,TBD,SUBMISSIONS UPDATED WEEKLY ON FRIDAYS
91,7/17/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
92,TBD,TBD,TBD,SUBMISSIONS UPDATED WEEKLY ON FRIDAYS
93,7/14/2023,7 am - 6 pm,Vital Records Control (VRC),2
94,4/20/2023,7 am - 6 pm,Vital Records Control (VRC),2
95,8/14/2023,7 am - 6 pm,Vital Records Control (VRC),1
96,3/31/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
97,TBD,TBD,TBD,SUBMISSIONS UPDATED WEEKLY ON FRIDAYS
98,5/18/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
99,TBD,TBD,TBD,SUBMISSIONS UPDATED WEEKLY ON FRIDAYS
100,Pending with the Vendor to Schedule Service,7 am - 6 pm,Vital Records Control (VRC),No Submission
101,5/12/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
102,6/5/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
103,TBD,TBD,TBD,SUBMISSIONS UPDATED WEEKLY ON FRIDAYS
104,6/19/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
105,3/31/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
106,TBD,TBD,TBD,SUBMISSIONS UPDATED WEEKLY ON FRIDAYS
107,6/19/2023,7 am - 6 pm,Vital Records Control (VRC),Reported 0
108,TBD,TBD,TBD,SUBMISSIONS UPDATED WEEKLY ON FRIDAYS
109,6/27/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
110,3/24/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
111,3/30/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
112,5/24/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
113,TBD,TBD,TBD,SUBMISSIONS UPDATED WEEKLY ON FRIDAYS
114,6/26/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
115,4/12/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
116,TBD,TBD,TBD,SUBMISSIONS UPDATED WEEKLY ON FRIDAYS
117,3/17/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
118,6/26/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
119,Pending with the Vendor to Schedule Service,7 am - 6 pm,Vital Records Control (VRC),No Submission
120,6/1/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
121,TBD,TBD,TBD,SUBMISSIONS UPDATED WEEKLY ON FRIDAYS
122,5/23/2023,7 am - 6 pm,Vital Records Control (VRC),1
123,TBD,TBD,TBD,SUBMISSIONS UPDATED WEEKLY ON FRIDAYS
124,3/27/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
125,Pending with the Vendor to Schedule Service,7 am - 6 pm,Vital Records Control (VRC),No Submission
126,3/13/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
127,4/12/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
128,6/22/2023,7 am - 6 pm,Vital Records Control (VRC),1
129,TBD,TBD,TBD,SUBMISSIONS UPDATED WEEKLY ON FRIDAYS
130,Pending with the Vendor to Schedule Service,7 am - 6 pm,Vital Records Control (VRC),No Submission
131,7/20/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
132,6/14/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
133,TBD,TBD,TBD,SUBMISSIONS UPDATED WEEKLY ON FRIDAYS
134,Pending with the Vendor to Schedule Service,TBD,TBD,SUBMISSIONS UPDATED WEEKLY ON FRIDAYS
135,7/12/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
136,TBD,TBD,TBD,SUBMISSIONS UPDATED WEEKLY ON FRIDAYS
137,TBD,TBD,TBD,SUBMISSIONS UPDATED WEEKLY ON FRIDAYS
138,TBD,TBD,TBD,SUBMISSIONS UPDATED WEEKLY ON FRIDAYS
139,TBD,TBD,TBD,SUBMISSIONS UPDATED WEEKLY ON FRIDAYS
140,8/28/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
141,Pending with the Vendor to Schedule Service,7 am - 6 pm,Vital Records Control (VRC),3
143,5/16/2023,7 am - 6 pm,Vital Records Control (VRC),2
144,4/14/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
145,TBD,TBD,TBD,SUBMISSIONS UPDATED WEEKLY ON FRIDAYS
146,8/2/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
147,3/21/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
148,7/20/2023,7 am - 6 pm,Vital Records Control (VRC),1
149,TBD,TBD,TBD,SUBMISSIONS UPDATED WEEKLY ON FRIDAYS
150,TBD,TBD,TBD,SUBMISSIONS UPDATED WEEKLY ON FRIDAYS
151,TBD,TBD,TBD,SUBMISSIONS UPDATED WEEKLY ON FRIDAYS
152,4/28/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
153,5/30/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
154,5/18/2023,7 am - 6 pm,Vital Records Control (VRC),1
155,4/13/2023,7 am - 6 pm,Vital Records Control (VRC),1
157,Pending with the Vendor to Schedule Service,7 am - 6 pm,Vital Records Control (VRC),No Submission
158,TBD,TBD,TBD,SUBMISSIONS UPDATED WEEKLY ON FRIDAYS
159,5/30/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
160,TBD,TBD,TBD,SUBMISSIONS UPDATED WEEKLY ON FRIDAYS
161,TBD,TBD,TBD,SUBMISSIONS UPDATED WEEKLY ON FRIDAYS
162,TBD,TBD,TBD,SUBMISSIONS UPDATED WEEKLY ON FRIDAYS
163,7/7/2023,7 am - 6 pm,Vital Records Control (VRC),0
164,Pending with the Vendor to Schedule Service,7 am - 6 pm,Vital Records Control (VRC),No Submission
165,7/26/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
166,5/1/2023,7 am - 6 pm,Vital Records Control (VRC),Reported 0
167,TBD,TBD,TBD,SUBMISSIONS UPDATED WEEKLY ON FRIDAYS
168,TBD,TBD,TBD,SUBMISSIONS UPDATED WEEKLY ON FRIDAYS
169,TBD,TBD,TBD,SUBMISSIONS UPDATED WEEKLY ON FRIDAYS
170,5/2/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
171,TBD,TBD,TBD,SUBMISSIONS UPDATED WEEKLY ON FRIDAYS
172,4/5/2023,7 am - 6 pm,Vital Records Control (VRC),3
173,TBD,TBD,TBD,SUBMISSIONS UPDATED WEEKLY ON FRIDAYS
174,Pending with the Vendor to Schedule Service,7 am - 6 pm,Vital Records Control (VRC),1
175,4/12/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
176,Pending with the Vendor to Schedule Service,7 am - 6 pm,Vital Records Control (VRC),No Submission
177,5/10/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
178,7/11/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
179,3/14/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
180,7/26/2023,7 am - 6 pm,Vital Records Control (VRC),2
181,4/5/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
182,5/4/2023,7 am - 6 pm,Vital Records Control (VRC),1
183,TBD,TBD,TBD,SUBMISSIONS UPDATED WEEKLY ON FRIDAYS
184,3/24/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
185,7/11/2023,7 am - 6 pm,Vital Records Control (VRC),Shred Counts 2023 survey not completed; service cancelled
186,6/27/2023,7 am - 6 pm,Vital Records Control (VRC),1
188,6/15/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
189,6/29/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
190,6/19/2023,7 am - 6 pm,Vital Records Control (VRC),Shred Counts 2023 survey not completed; service cancelled
192,6/20/2023,7 am - 6 pm,Vital Records Control (VRC),1
194,Pending with the Vendor to Schedule Service,7 am - 6 pm,Vital Records Control (VRC),No Submission
195,3/30/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
196,6/26/2023,7 am - 6 pm,Vital Records Control (VRC),11
197,5/4/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
198,5/8/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
199,5/2/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
200,8/31/2023,7 am - 6 pm,Vital Records Control (VRC),Reported 0
201,Pending with the Vendor to Schedule Service,7 am - 6 pm,Vital Records Control (VRC),No Submission
202,3/16/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
203,4/12/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
204,5/11/2023,7 am - 6 pm,Vital Records Control (VRC),2
205,6/8/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
206,8/16/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
207,TBD,TBD,TBD,SUBMISSIONS UPDATED WEEKLY ON FRIDAYS
209,TBD,TBD,TBD,SUBMISSIONS UPDATED WEEKLY ON FRIDAYS
210,TBD,TBD,TBD,SUBMISSIONS UPDATED WEEKLY ON FRIDAYS
211,Pending with the Vendor to Schedule Service,7 am - 6 pm,Vital Records Control (VRC),3
212,TBD,TBD,TBD,SUBMISSIONS UPDATED WEEKLY ON FRIDAYS
213,7/21/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
214,5/10/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
216,5/15/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
217,5/24/2023,7 am - 6 pm,Vital Records Control (VRC),2
218,TBD,TBD,TBD,SUBMISSIONS UPDATED WEEKLY ON FRIDAYS
219,4/5/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
220,Pending with the Vendor to Schedule Service,7 am - 6 pm,Vital Records Control (VRC),8
221,TBD,TBD,TBD,SUBMISSIONS UPDATED WEEKLY ON FRIDAYS
222,4/11/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
224,5/9/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
225,TBD,TBD,TBD,SUBMISSIONS UPDATED WEEKLY ON FRIDAYS
226,4/5/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
227,TBD,TBD,TBD,SUBMISSIONS UPDATED WEEKLY ON FRIDAYS
228,Pending with the Vendor to Schedule Service,7 am - 6 pm,Vital Records Control (VRC),2
229,7/6/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
230,TBD,TBD,TBD,SUBMISSIONS UPDATED WEEKLY ON FRIDAYS
231,TBD,TBD,TBD,SUBMISSIONS UPDATED WEEKLY ON FRIDAYS
232,TBD,TBD,TBD,SUBMISSIONS UPDATED WEEKLY ON FRIDAYS
233,Pending with the Vendor to Schedule Service,7 am - 6 pm,Vital Records Control (VRC),1
234,6/22/2023,7 am - 6 pm,Vital Records Control (VRC),Shred Counts 2023 survey not completed; service cancelled
236,4/5/2023,7 am - 6 pm,Vital Records Control (VRC),2
237,TBD,TBD,TBD,SUBMISSIONS UPDATED WEEKLY ON FRIDAYS
238,3/27/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
239,TBD,TBD,TBD,SUBMISSIONS UPDATED WEEKLY ON FRIDAYS
240,TBD,TBD,TBD,SUBMISSIONS UPDATED WEEKLY ON FRIDAYS
241,TBD,TBD,TBD,SUBMISSIONS UPDATED WEEKLY ON FRIDAYS
242,3/30/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
243,8/21/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
244,5/4/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
245,8/4/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
246,TBD,TBD,TBD,SUBMISSIONS UPDATED WEEKLY ON FRIDAYS
247,TBD,TBD,TBD,SUBMISSIONS UPDATED WEEKLY ON FRIDAYS
248,7/17/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
249,8/15/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
250,TBD,TBD,TBD,SUBMISSIONS UPDATED WEEKLY ON FRIDAYS
251,7/20/2023,7 am - 6 pm,Vital Records Control (VRC),2
252,TBD,TBD,TBD,SUBMISSIONS UPDATED WEEKLY ON FRIDAYS
253,4/3/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
254,TBD,TBD,TBD,SUBMISSIONS UPDATED WEEKLY ON FRIDAYS
256,8/4/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
257,TBD,TBD,TBD,SUBMISSIONS UPDATED WEEKLY ON FRIDAYS
258,6/2/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
259,Pending with the Vendor to Schedule Service,7 am - 6 pm,Vital Records Control (VRC),2
260,8/3/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
261,4/18/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
262,5/15/2023,7 am - 6 pm,Vital Records Control (VRC),1
264,4/13/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
265,4/6/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
266,4/18/2023,7 am - 6 pm,Vital Records Control (VRC),2
267,Pending with the Vendor to Schedule Service,7 am - 6 pm,Vital Records Control (VRC),No Submission
268,6/1/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
269,TBD,TBD,TBD,SUBMISSIONS UPDATED WEEKLY ON FRIDAYS
271,TBD,TBD,TBD,SUBMISSIONS UPDATED WEEKLY ON FRIDAYS
272,Pending with the Vendor to Schedule Service,7 am - 6 pm,Vital Records Control (VRC),3
273,TBD,TBD,TBD,SUBMISSIONS UPDATED WEEKLY ON FRIDAYS
274,6/9/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
275,8/15/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
276,TBD,TBD,TBD,SUBMISSIONS UPDATED WEEKLY ON FRIDAYS
277,TBD,TBD,TBD,SUBMISSIONS UPDATED WEEKLY ON FRIDAYS
278,5/12/2023,7 am - 6 pm,Vital Records Control (VRC),2
279,TBD,TBD,TBD,SUBMISSIONS UPDATED WEEKLY ON FRIDAYS
280,TBD,TBD,TBD,SUBMISSIONS UPDATED WEEKLY ON FRIDAYS
281,TBD,TBD,TBD,SUBMISSIONS UPDATED WEEKLY ON FRIDAYS
282,4/17/2023,7 am - 6 pm,Vital Records Control (VRC),1
283,TBD,TBD,TBD,SUBMISSIONS UPDATED WEEKLY ON FRIDAYS
284,6/13/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
285,8/16/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
286,7/6/2023,7 am - 6 pm,Vital Records Control (VRC),1
287,Pending with the Vendor to Schedule Service,7 am - 6 pm,Vital Records Control (VRC),5
288,8/28/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
289,TBD,TBD,TBD,SUBMISSIONS UPDATED WEEKLY ON FRIDAYS
290,8/2/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
292,TBD,TBD,TBD,SUBMISSIONS UPDATED WEEKLY ON FRIDAYS
293,8/24/2023,7 am - 5 pm,Vital Records Control (VRC),No Submission
294,5/9/2023,7 am - 5 pm,Vital Records Control (VRC),1
295,4/5/2023,7 am - 5 pm,Vital Records Control (VRC),No Submission
296,6/2/2023,7 am - 5 pm,Vital Records Control (VRC),No Submission
297,8/15/2023,7 am - 5 pm,Vital Records Control (VRC),No Submission
298,5/3/2023,7 am - 5 pm,Vital Records Control (VRC),No Submission
299,Pending with the Vendor to Schedule Service,7 am - 5 pm,Vital Records Control (VRC),No Submission
300,4/19/2023,7 am - 5 pm,Vital Records Control (VRC),1
301,5/8/2023,7 am - 5 pm,Vital Records Control (VRC),Reported 0
302,TBD,TBD,TBD,SUBMISSIONS UPDATED WEEKLY ON FRIDAYS
303,TBD,TBD,TBD,SUBMISSIONS UPDATED WEEKLY ON FRIDAYS
304,4/5/2023,7 am - 5 pm,Vital Records Control (VRC),No Submission
305,TBD,TBD,TBD,SUBMISSIONS UPDATED WEEKLY ON FRIDAYS
306,4/5/2023,7 am - 5 pm,Vital Records Control (VRC),No Submission
307,5/30/2023,7 am - 5 pm,Vital Records Control (VRC),1
308,4/3/2023,7 am - 5 pm,Vital Records Control (VRC),No Submission
309,5/16/2023,7 am - 5 pm,Vital Records Control (VRC),2
310,3/27/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
311,TBD,TBD,TBD,SUBMISSIONS UPDATED WEEKLY ON FRIDAYS
312,TBD,TBD,TBD,SUBMISSIONS UPDATED WEEKLY ON FRIDAYS
313,3/24/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
314,3/31/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
315,4/5/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
316,7/24/2023,7 am - 6 pm,Vital Records Control (VRC),2
317,5/2/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
318,5/30/2023,7 am - 6 pm,Vital Records Control (VRC),Reported 0
319,6/23/2023,7 am - 6 pm,Vital Records Control (VRC),7
320,TBD,TBD,TBD,SUBMISSIONS UPDATED WEEKLY ON FRIDAYS
321,8/24/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
322,3/30/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
323,TBD,TBD,TBD,SUBMISSIONS UPDATED WEEKLY ON FRIDAYS
324,TBD,TBD,TBD,SUBMISSIONS UPDATED WEEKLY ON FRIDAYS
325,3/30/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
326,TBD,TBD,TBD,SUBMISSIONS UPDATED WEEKLY ON FRIDAYS
328,4/11/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
329,6/12/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
330,Pending with the Vendor to Schedule Service,7 am - 6 pm,Vital Records Control (VRC),1
331,4/18/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
332,3/23/2023,7 am - 5 pm,Vital Records Control (VRC),No Submission
333,TBD,TBD,TBD,SUBMISSIONS UPDATED WEEKLY ON FRIDAYS
334,TBD,TBD,TBD,SUBMISSIONS UPDATED WEEKLY ON FRIDAYS
335,5/18/2023,7 am - 5 pm,Vital Records Control (VRC),No Submission
336,TBD,TBD,TBD,SUBMISSIONS UPDATED WEEKLY ON FRIDAYS
337,7/10/2023,7 am - 5 pm,Vital Records Control (VRC),1
338,6/20/2023,7 am - 5 pm,Vital Records Control (VRC),No Submission
339,6/1/2023,7 am - 5 pm,Vital Records Control (VRC),No Submission
340,TBD,TBD,TBD,SUBMISSIONS UPDATED WEEKLY ON FRIDAYS
341,TBD,TBD,TBD,SUBMISSIONS UPDATED WEEKLY ON FRIDAYS
342,TBD,TBD,TBD,SUBMISSIONS UPDATED WEEKLY ON FRIDAYS
343,4/26/2023,7 am - 5 pm,Vital Records Control (VRC),No Submission
344,TBD,TBD,TBD,SUBMISSIONS UPDATED WEEKLY ON FRIDAYS
345,7/26/2023,7 am - 5 pm,Vital Records Control (VRC),No Submission
346,4/10/2023,7 am - 5 pm,Vital Records Control (VRC),No Submission
347,6/19/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
348,TBD,TBD,TBD,SUBMISSIONS UPDATED WEEKLY ON FRIDAYS
350,5/16/2023,7 am - 6 pm,Vital Records Control (VRC),2
351,8/9/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
352,8/9/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
353,7/7/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
354,8/28/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
355,6/13/2023,7 am - 6 pm,Vital Records Control (VRC),4
356,3/29/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
357,TBD,TBD,TBD,SUBMISSIONS UPDATED WEEKLY ON FRIDAYS
358,TBD,TBD,TBD,SUBMISSIONS UPDATED WEEKLY ON FRIDAYS
359,6/7/2023,7 am - 6 pm,Vital Records Control (VRC),2
360,TBD,TBD,TBD,SUBMISSIONS UPDATED WEEKLY ON FRIDAYS
361,3/28/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
362,TBD,TBD,TBD,SUBMISSIONS UPDATED WEEKLY ON FRIDAYS
363,4/7/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
364,6/21/2023,7 am - 6 pm,Vital Records Control (VRC),1
365,6/16/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
366,7/28/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
368,3/15/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
369,3/27/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
370,TBD,TBD,TBD,SUBMISSIONS UPDATED WEEKLY ON FRIDAYS
371,9/29/2023,7 am - 6 pm,Vital Records Control (VRC),1
372,TBD,TBD,TBD,SUBMISSIONS UPDATED WEEKLY ON FRIDAYS
373,TBD,TBD,TBD,SUBMISSIONS UPDATED WEEKLY ON FRIDAYS
374,7/6/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
375,3/13/2023,7 am - 6 pm,Vital Records Control (VRC),No Submission
