Store #,Facility Type,Division,Region,Market,EPA/State ID #,Address,City,State,Zip Code
23,Wal-Mart Supercenter,1,42,135,LA0000921056,1201 N Service Road East  ,Ruston,Louisiana,71270
24,Wal-Mart Supercenter,1,42,326,ARR000009050,2000 JOHN HARDEN DR  ,Jacksonville,Arkansas,72076
25,Wal-Mart Supercenter,1,40,359,MOR000519678,4820 S CLARK ST  ,Mexico,Missouri,65265
26,Wal-Mart Supercenter,1,47,411,KSR000508549,5000 10th Ave.  ,Leavenworth,Kansas,66048
27,Wal-Mart Supercenter,1,40,357,MOR000523191,1101 HWY 32 WEST  ,Salem,Missouri,65560
28,Wal-Mart Supercenter,1,44,347,OKD981909211,2415 N.W. MAIN ST  ,Miami,Oklahoma,74354
29,Wal-Mart Supercenter,1,40,336,MOD985773423,724 WEST STADIUM BLVD  ,Jefferson City,Missouri,65109
30,Wal-Mart Supercenter,1,40,335,MOR000519694,2025 Bus. Hwy 60 West  ,Dexter,Missouri,63841
31,Wal-Mart Supercenter,1,44,351,OKR000000976,3108 N BROADWAY  ,Poteau,Oklahoma,74953
32,Wal-Mart Division 1 Store,1,40,333,MOD981713977,2050 WEST HWY 76  ,Branson,Missouri,65616
33,Wal-Mart Supercenter,1,42,325,ARD983288382,1710 SO. 4TH ST  ,Nashville,Arkansas,71852
34,Wal-Mart Supercenter,1,42,334,MOR000523183,2250 Lincoln Avenue  ,Nevada,Missouri,64772
35,Wal-Mart Supercenter,1,47,407,KSD984989582,101 East Bluemont Avenue  ,Manhattan,Kansas,66502
36,Wal-Mart Supercenter,1,11,329,ARR000018267,2802 West Kings Highway  ,Paragould,Arkansas,72450
37,Wal-Mart Supercenter,1,40,335,MOD985768910,701 Walton Drive  ,Farmington,Missouri,63640
38,Wal-Mart Supercenter,1,44,47,OKR000019422,1907 SE WASHINGTON ST.  ,Idabel,Oklahoma,74745
39,Wal-Mart Supercenter,1,44,410,KSR000506428,2500 S Main  ,Fort Scott,Kansas,66701
40,Wal-Mart Supercenter,1,40,359,MOR000507186,1301 HWY 24 EAST  ,Moberly,Missouri,65270
41,Wal-Mart Supercenter,1,44,345,OKR000017509,4000 GREEN COUNTRY RD  ,Bartlesville,Oklahoma,74006
42,Wal-Mart Supercenter,1,44,410,KSR000509372,1863 Country Road 5300  ,Coffeyville,Kansas,67337
43,Wal-Mart Supercenter,1,47,407,KSD985016534,521 EAST CHESTNUT ST  ,Junction City,Kansas,66441
44,Wal-Mart Division 1 Store,1,40,336,MOR000523175,1802 SOUTH BUSINESS HWY 54  ,Eldon,Missouri,65026
45,Wal-Mart Supercenter,1,11,329,ARR000018275,1815 East Highland Drive  ,Jonesboro,Arkansas,72401
46,Wal-Mart Supercenter,1,40,357,MOR000523167,2451 S. SPRINGFIELD  ,Bolivar,Missouri,65613
47,Wal-Mart Supercenter,1,44,351,OKR000015883,1101 WEST RUTH AVE  ,Sallisaw,Oklahoma,74955
48,Wal-Mart Supercenter,1,42,334,MOR000523159,885 HIGHWAY 60  ,Monett,Missouri,65708
49,Wal-Mart Supercenter,1,44,47,OKR000016675,1911 E. JACKSON ST.  ,Hugo,Oklahoma,74743
50,Wal-Mart Supercenter,1,44,347,OKR000018168,268 SO. 7TH ST.  ,Vinita,Oklahoma,74301
51,Wal-Mart Supercenter,1,40,359,MOR000523142,1701 NORTH BLUFF STREET  ,Fulton,Missouri,65251
52,Wal-Mart Supercenter,1,42,325,ARD983288440,1601 ALBERT PIKE BLV  ,Hot Springs,Arkansas,71913
54,Wal-Mart Supercenter,1,42,322,ARD128778495,2004 South Pleasant  ,Springdale,Arkansas,72764
55,Wal-Mart Supercenter,1,42,321,ARR000025866,1400 East Main Street  ,Booneville,Arkansas,72927
56,Wal-Mart Supercenter,1,40,333,MOR000518092,1309 NW 12TH AVE  ,Ava,Missouri,65608
57,Wal-Mart Division 1 Store,1,42,328,ARD983288481,1600 West Main  ,Walnut Ridge,Arkansas,72476
58,Wal-Mart Supercenter,1,42,325,ARR000014597,2409 East Main Street  ,Russellville,Arkansas,72802
59,Wal-Mart Supercenter,1,42,334,MOR000001792,1501 SOUTH RANGELINE ROAD  ,Joplin,Missouri,64804
60,Wal-Mart Supercenter,1,40,339,MO0000933721,101 HWY 47 EAST  ,Troy,Missouri,63379
61,Wal-Mart Supercenter,1,40,361,MOD985822857,301 E. Cooper Avenue  ,Warrensburg,Missouri,64093
62,Wal-Mart Supercenter,1,11,329,ARD983288333,3700 EAST HWY 18  ,Blytheville,Arkansas,72315
63,Wal-Mart Supercenter,1,44,347,OKR000017517,410 SOUTH DEWEY  ,Wagoner,Oklahoma,74467
64,Wal-Mart Supercenter,1,11,146,TNR000028134,1100 SOUTH DUPREE  ,Brownsville,Tennessee,38012
65,Wal-Mart Supercenter,1,40,336,MOR000523217,350 PARKRIDGE ROAD  ,Sullivan,Missouri,63080
66,Wal-Mart Supercenter,1,42,321,ARR000011304,1230 E. MARKET STREET  ,Clarksville,Arkansas,72830
67,Wal-Mart Supercenter,1,42,321,ARR000000828,600 HWY 71 NORTH  ,Mena,Arkansas,71953
68,Wal-Mart Supercenter,1,11,329,ARD128302874,800 HWY 64 EAST  ,Wynne,Arkansas,72396
69,Wal-Mart Supercenter,1,40,335,MOR000523225,650 SOUTH TRUMAN BLVD  ,Festus,Missouri,63028
70,Wal-Mart Supercenter,1,11,329,AR0000926378,798 West Service Road  ,West Memphis,Arkansas,72301
71,Wal-Mart Supercenter,1,42,328,ARD983288689,1415 HWY 67 SOUTH  ,Pocahontas,Arkansas,72455
72,Wal-Mart Supercenter,1,44,410,KSD985016591,2710 N BROADWAY  ,Pittsburg,Kansas,66762
73,Wal-Mart Supercenter,1,44,356,OKD987098175,1002 WEST TAFT  ,Sapulpa,Oklahoma,74066
74,Wal-Mart Supercenter,1,11,329,ARR000023556,2720  W. Keiser Avenue  ,Osceola,Arkansas,72370
75,Wal-Mart Supercenter,1,13,134,LAR000056226,3636 Monroe Highway  ,Pineville,Louisiana,71360
76,Wal-Mart Supercenter,1,42,322,ARD983288424,1000 West Trimble  ,Berryville,Arkansas,72616
77,Wal-Mart Supercenter,1,7,83,TXR000057984,3701 NORTH MAIN ST.  ,Taylor,Texas,76574
78,Wal-Mart Supercenter,1,40,357,MOR000521906,14740 State Hwy # 38  ,Marshfield,Missouri,65706
79,Wal-Mart Supercenter,1,42,334,MOR000523233,2623 WEST 7TH STREET  ,Joplin,Missouri,64801
80,Wal-Mart Supercenter,1,40,359,MOR000522094,3001 W. Broadway  ,Columbia,Missouri,65203
81,Wal-Mart Supercenter,1,44,347,OKR000020529,Route 6 Box 1895  ,Stilwell,Oklahoma,74960
82,Wal-Mart Supercenter,1,40,335,MOR000523241,1750 S. PERRYVILLE  ,Perryville,Missouri,63775
83,Wal-Mart Supercenter,1,42,327,ARR000018259,60 79-Bypass North  ,Magnolia,Arkansas,71753
85,Wal-Mart Supercenter,1,42,324,AR0000926360,17309 I-30  ,Benton,Arkansas,72015
86,Wal-Mart Supercenter,1,40,357,MOR000523258,2825 N KANSAS EXPRESSWAY  ,Springfield,Missouri,65803
87,Wal-Mart Supercenter,1,42,127,LAR000041020,1379 Homer Road  ,Minden,Louisiana,71055
88,Wal-Mart Supercenter,1,40,357,MOD985821552,2100 North Main  ,Mountain Grove,Missouri,65711
89,Wal-Mart Supercenter,1,40,336,MOR000519462,94 Cecil Street  ,Camdenton,Missouri,65020
90,Wal-Mart Supercenter,1,44,347,OKR000000638,2115 S MAIN ST  ,Grove,Oklahoma,74344
91,Wal-Mart Supercenter,1,11,329,AR0000324152,205 Deadrick Road  ,Forrest City,Arkansas,72335
92,Wal-Mart Supercenter,1,42,334,MOR000523266,3020 SOUTH ELLIOTT  ,Aurora,Missouri,65605
93,Wal-Mart Supercenter,1,11,146,TNR000027235,201 LANNY BRIDGES AVENUE  ,Covington,Tennessee,38019
94,Wal-Mart Supercenter,1,11,145,TNR000025767,8445 HWY 51 NORTH  ,Millington,Tennessee,38053
95,Wal-Mart Supercenter,1,40,335,MOR000522904,407 N STATE ST  ,Desloge,Missouri,63601
96,Wal-Mart Supercenter,1,40,361,MO0000342063,1700 NORTH 291 HIGHWAY  ,Harrisonville,Missouri,64701
97,Wal-Mart Supercenter,1,11,146,TNR000028142,628 Highway 51 North  ,Ripley,Tennessee,38063
98,Wal-Mart Supercenter,1,42,135,LAR000062687,6091 HWY 165  ,Bastrop,Louisiana,71220
99,Wal-Mart Supercenter,1,40,340,MOR000004309,1445 E CENTRAL  ,Union,Missouri,63084
100,Wal-Mart Supercenter,1,42,323,ARD983288416,406 SOUTH WALTON BLVD  ,Bentonville,Arkansas,72712
101,Wal-Mart Supercenter,1,40,336,MOR000522896,500 South Bishop  ,Rolla,Missouri,65401
102,Wal-Mart Supercenter,1,42,327,ARR000001305,406 E 22nd Street  ,Stuttgart,Arkansas,72160
103,Wal-Mart Supercenter,1,44,351,OKR000020016,196 Shawnee Mall Drive  ,Shawnee,Oklahoma,74804
104,Wal-Mart Supercenter,1,11,146,TNR000028126,15427 S. FIRST STREET  ,Milan,Tennessee,38358
105,Wal-Mart Supercenter,1,11,4,MSD985981471,2301 HARPER ROAD  ,Corinth,Mississippi,38834
106,Wal-Mart Supercenter,1,11,146,KYR000036996,1405 Middle Road  ,Fulton,Kentucky,42041
107,Wal-Mart Supercenter,1,11,146,TNR000028118,134 Courtright Road  ,Martin,Tennessee,38237
108,Wal-Mart Supercenter,1,44,344,OKR000021931,1608 South Division  ,Guthrie,Oklahoma,73044
109,Wal-Mart Supercenter,1,40,360,MOR000531020,2000 N Walnut Street  ,Cameron,Missouri,64429
110,Wal-Mart Supercenter,1,3,89,FLR000220632,16313 New Independence Parkway  ,Winter Garden,Florida,34787
111,Wal-Mart Supercenter,1,44,410,KSD984985093,2700 South Santa Fe  ,Chanute,Kansas,66720
112,Wal-Mart Supercenter,1,11,138,MSR000104307,1010 HWY 12 WEST  ,Starkville,Mississippi,39759
113,Wal-Mart Supercenter,1,44,349,OKR000020776,2001 SO. 1ST ST.  ,Chickasha,Oklahoma,73018
114,Wal-Mart Supercenter,1,11,4,MSR000103911,300 Wal-Mart Circle  ,Booneville,Mississippi,38829
115,Wal-Mart Supercenter,1,11,138,MSR000103762,1313 HWY 45 South  ,West Point,Mississippi,39773
116,Wal-Mart Division 1 Store,1,42,127,LAR000045989,929 SOUTH PINE STREET  ,Vivian,Louisiana,71082
117,Wal-Mart Division 1 Store,1,44,47,OKR000015966,501 SOUTH PARK DRIVE  ,Broken Bow,Oklahoma,74728
118,Wal-Mart Supercenter,1,11,4,MSD985981356,1515 US HWY 278 EAST  ,AMORY,Mississippi,38821
119,Wal-Mart Supercenter,1,42,328,ARD983288408,3150 Harrison Street  ,Batesville,Arkansas,72501
120,Wal-Mart Supercenter,1,11,146,TNR000027169,2716 NORTH CENTRAL AVENUE  ,Humboldt,Tennessee,38343
121,Wal-Mart Supercenter,1,44,351,OKD987098183,1800 South Wood Drive  ,Okmulgee,Oklahoma,74447
122,Wal-Mart Supercenter,1,40,335,MOR000522888,3051 East Jackson Boulevard  ,Jackson,Missouri,63755
123,Wal-Mart Supercenter,1,44,351,OKR000024042,1500 E. WRANGLER BLVD  ,Seminole,Oklahoma,74868
124,Wal-Mart Supercenter,1,42,324,ARD983288515,8801 Baseline Road  ,Little Rock,Arkansas,72209
125,Wal-Mart Supercenter,1,42,321,ARD149969958,2425 SOUTH ZERO ST  ,Fort Smith,Arkansas,72901
126,Wal-Mart Supercenter,1,42,324,ARR000021998,2700 Shackelford Road  ,Little Rock,Arkansas,72205
127,Wal-Mart Supercenter,1,42,325,ARR000014183,1910 Martin Luther King Blvd  ,Malvern,Arkansas,72104
128,Wal-Mart Supercenter,1,11,329,ARR000009092,1911 WEST PARKER RD  ,Jonesboro,Arkansas,72404
129,Wal-Mart Supercenter,1,44,350,OKD987098167,1715 North Commerce Street  ,Ardmore,Oklahoma,73401
130,Wal-Mart Supercenter,1,44,347,OKR000020024,1000 WEST SHAWNEE ST  ,Muskogee,Oklahoma,74401
131,Wal-Mart Supercenter,1,44,47,TXR000015057,2311 SOUTH JEFFERSON  ,Mount Pleasant,Texas,75455
132,Wal-Mart Supercenter,1,44,344,OKR000023093,200 West Starlite Dr.  ,Kingfisher,Oklahoma,73750
133,Wal-Mart Supercenter,1,42,325,ARR000016832,297 Hwy 32 By-Pass East  ,Ashdown,Arkansas,71822
134,Wal-Mart Supercenter,1,44,344,OKR000026294,20221 E. 1110 Rd  ,Elk City,Oklahoma,73644
135,Wal-Mart Supercenter,1,40,360,MOR000518951,1000 GRAVES ST.  ,Chillicothe,Missouri,64601
136,Wal-Mart Division 1 Store,1,44,345,OKR000016006,1219 WEST DOOLIN  ,Blackwell,Oklahoma,74631
137,Wal-Mart Supercenter,1,44,352,OKD987098118,111 North Perkins Road  ,Stillwater,Oklahoma,74075
138,Wal-Mart Supercenter,1,40,357,MOD149962268,1923 East Kearney St.  ,Springfield,Missouri,65803
139,Wal-Mart Supercenter,1,44,353,OKR000020941,2015 S Green Ave  ,Purcell,Oklahoma,73080
140,Wal-Mart Supercenter,1,13,503,TXR000071415,2500 DANIEL MCCALL DRIVE  ,Lufkin,Texas,75904
141,Wal-Mart Supercenter,1,42,321,ARD982564577,8301 Rogers Avenue  ,Fort Smith,Arkansas,72903
143,Wal-Mart Supercenter,1,41,253,KYR000041145,310 WEST 5TH STREET  ,Benton,Kentucky,42025
144,Wal-Mart Supercenter,1,42,322,AR0000349829,2875 West Martin Luther King Blvd.  ,Fayetteville,Arkansas,72704
145,Wal-Mart Supercenter,1,40,339,MOR000535021,3 Town Center Drive  ,Bowling Green,Missouri,63334
146,Wal-Mart Supercenter,1,13,46,TXR000019083,1923 NORTH WOOD  ,Gilmer,Texas,75644
147,Wal-Mart Supercenter,1,44,350,TXR000079862,401 NORTH US HWY 75  ,Denison,Texas,75020
148,Wal-Mart Supercenter,1,44,47,TXR000000901,3855 LAMAR AVENUE  ,Paris,Texas,75462
149,Wal-Mart Supercenter,1,42,135,LAR000056259,184 OLD WINFIELD RD  ,Jonesboro,Louisiana,71251
150,Wal-Mart Supercenter,1,44,344,OKR000004226,3215 WILLIAMS AVENUE  ,Woodward,Oklahoma,73801
151,Wal-Mart Supercenter,1,44,350,OKD981909658,432 SOUTH GEORGE NIGH EXWY  ,McAlester,Oklahoma,74501
152,Wal-Mart Supercenter,1,40,335,MOR000519066,12862 State Road 21  ,De Soto,Missouri,63020
153,Wal-Mart Supercenter,1,11,4,MSD985981455,202 PARK PLAZA  ,New Albany,Mississippi,38652
154,Wal-Mart Supercenter,1,20,311,VAR000531566,16032 Fifteen Mile Boulevard  ,Abingdon,Virginia,24211
155,Wal-Mart Supercenter,1,11,136,MSR000102343,5219 HWY 51 NORTH  ,Senatobia,Mississippi,38668
157,Wal-Mart Supercenter,1,42,328,ARR000009118,3509 East Race Avenue  ,Searcy,Arkansas,72143
158,Wal-Mart Supercenter,1,44,350,TXR000019075,2021 NORTH HWY 121  ,Bonham,Texas,75418
159,Wal-Mart Supercenter,1,40,359,MO0000592444,415 Conley Road  ,Columbia,Missouri,65201
160,Wal-Mart Supercenter,1,42,328,AR0000027607,219 Highway 412  ,ASH FLAT,Arkansas,72513
161,Wal-Mart Supercenter,1,11,147,TNR000028100,180 VETERANS DRIVE N  ,Huntingdon,Tennessee,38344
162,Wal-Mart Supercenter,1,44,349,OKR000016022,1201 WEST PETREE RD  ,Anadarko,Oklahoma,73005
163,Wal-Mart Supercenter,1,13,503,TXD988089017,4810 North Street  ,Nacogdoches,Texas,75965
164,Wal-Mart Supercenter,1,11,4,MSR000103036,100 McCord Road  ,Pontotoc,Mississippi,38863
165,Wal-Mart Supercenter,1,13,46,TXR000014647,2121 HWY 79 SOUTH  ,Henderson,Texas,75654
166,Wal-Mart Supercenter,1,40,357,MOR000523787,1433 S SAM HOUSTON BLVD  ,Houston,Missouri,65483
167,Wal-Mart Supercenter,1,42,327,ARR000013565,910 Unity Road  ,Crossett,Arkansas,71635
168,Wal-Mart Supercenter,1,44,345,OKR000015610,12101 E 96TH ST. N  ,Owasso,Oklahoma,74055
169,Wal-Mart Supercenter,1,42,326,ARR000018952,322 Brownsville Loop  ,Lonoke,Arkansas,72086
170,Wal-Mart Supercenter,1,13,134,LA0000920967,925 Keyser Ave  ,Natchitoches,Louisiana,71457
171,Wal-Mart Supercenter,1,42,327,ARR000018671,"950 California Ave., SW  ",Camden,Arkansas,71701
172,Wal-Mart Supercenter,1,40,340,MOR000524041,1701 A Roy Drive  ,Washington,Missouri,63090
173,Wal-Mart Supercenter,1,40,357,MOR000522862,1 Memorial Drive  ,Potosi,Missouri,63664
174,Wal-Mart Supercenter,1,9,92,FLR000113712,2700 Clearlake Road  ,Cocoa,Florida,32922
175,Wal-Mart Supercenter,1,11,144,TNR000028217,560 WEST POPLAR AVE  ,Collierville,Tennessee,38017
176,Wal-Mart Division 1 Store,1,11,4,MSR000100370,822 City Avenue South  ,Ripley,Mississippi,38663
177,Wal-Mart Supercenter,1,11,146,TNR000017079,1210 MINERAL WELL AV  ,Paris,Tennessee,38242
178,Wal-Mart Supercenter,1,44,344,OKR000003426,914 E OKLAHOMA BLVD  ,Alva,Oklahoma,73717
179,Wal-Mart Supercenter,1,40,357,MOR000522995,3520 W SUNSHINE ST.  ,Springfield,Missouri,65807
180,Wal-Mart Supercenter,1,13,46,TXR000007823,1311 SOUTH JACKSON  ,Jacksonville,Texas,75766
181,Wal-Mart Supercenter,1,44,47,TXR000061309,800 James Bowie Drive  ,New Boston,Texas,75570
182,Wal-Mart Supercenter,1,11,136,MSR000102384,1831 S DR MARTIN L. KING BLVD  ,Greenville,Mississippi,38701
183,Wal-Mart Supercenter,1,11,138,MSR000102103,159 HIGHWAY 15 SOUTH  ,Louisville,Mississippi,39339
184,Wal-Mart Supercenter,1,40,361,MOR000519686,600 N.E. CORONADO DRIVE  ,Blue Springs,Missouri,64014
185,Wal-Mart Supercenter,1,44,350,TXR000079124,1800 Lawrence Street  ,Gainesville,Texas,76240
186,Wal-Mart Supercenter,1,44,409,KSR000503391,301 S Village Road  ,El Dorado,Kansas,67042
188,Wal-Mart Supercenter,1,40,335,MOD985821602,3439 Williams Street  ,Cape Girardeau,Missouri,63701
189,Wal-Mart Supercenter,1,40,359,MOD985821776,2206 North Baltimore  ,Kirksville,Missouri,63501
190,Wal-Mart Supercenter,1,11,329,MOR000002410,1500 EAST FIRST ST  ,Kennett,Missouri,63857
192,Wal-Mart Supercenter,1,12,153,TNR000027094,2200 BROOKMEAD DRIVE  ,Columbia,Tennessee,38401
194,Wal-Mart Supercenter,1,6,60,TXD149967853,4900 GARTH ROAD  ,Baytown,Texas,77521
195,Wal-Mart Supercenter,1,40,360,MOR000006684,2203 PATSY LANE  ,Excelsior Springs,Missouri,64024
196,Wal-Mart Supercenter,1,41,271,ILD984926014,1450 East Main  ,Carbondale,Illinois,62901
197,Wal-Mart Supercenter,1,25,278,ILD984920405,1730 E. Jackson Road  ,Macomb,Illinois,61455
198,Wal-Mart Supercenter,1,25,272,ILR000120642,1870 WEST MAIN ST.  ,Salem,Illinois,62881
199,Wal-Mart Supercenter,1,25,278,ILR000157776,825 Malerich Drive  ,Lincoln,Illinois,62656
200,Wal-Mart Supercenter,1,25,275,ILR000152009,1941 West Morton Avenue  ,Jacksonville,Illinois,62650
201,Wal-Mart Supercenter,1,40,341,ILR000151209,2608 Green Mount Commons Dr.  ,Belleville,Illinois,62221
202,Wal-Mart Supercenter,1,5,51,TXR000084344,16066 State Highway 121  ,Frisco,Texas,75035
203,Wal-Mart Supercenter,1,40,359,MOR000522987,937 PARK CIRCLE DR  ,Brookfield,Missouri,64628
204,Wal-Mart Supercenter,1,41,253,KYR000050468,1500 US Hwy 62 West  ,Princeton,Kentucky,42445
205,Wal-Mart Supercenter,1,11,138,MSR000100396,1002 BEACON STREET  ,Philadelphia,Mississippi,39350
206,Wal-Mart Supercenter,1,5,52,TXR000065243,2041 REDBUD BLVD  ,McKinney,Texas,75069
207,Wal-Mart Supercenter,1,44,345,OKR000026724,772 N. Airport Road  ,Cleveland,Oklahoma,74020
209,Wal-Mart Division 1 Store,1,42,321,ARR000009142,1516 North 18th Street  ,Ozark,Arkansas,72949
210,Wal-Mart Division 1 Store,1,44,351,OKR000016055,500 EAST HIGHWAY 270  ,Holdenville,Oklahoma,74848
211,Wal-Mart Supercenter,1,5,76,TXR000079229,401 Coke Avenue  ,Hillsboro,Texas,76645
212,Wal-Mart Supercenter,1,44,353,OKR000013474,333 INTERSTATE DRIVE  ,Norman,Oklahoma,73069
213,Wal-Mart Supercenter,1,25,272,ILR000104372,1205 WEST FERDON ST  ,Litchfield,Illinois,62056
214,Wal-Mart Supercenter,1,13,503,TX0000752162,800 WEST GIBSON  ,Jasper,Texas,75951
216,Wal-Mart Supercenter,1,41,271,ILR000157784,2802 Outer Road Drive  ,Marion,Illinois,62959
217,Wal-Mart Supercenter,1,5,53,TX0988089025,801 WEST MAIN  ,Lewisville,Texas,75067
218,Wal-Mart Supercenter,1,11,147,TNR000028092,1017 MULBERRY AVENUE  ,Selmer,Tennessee,38375
219,Wal-Mart Supercenter,1,40,336,MOR000522979,3201 WEST BROADWAY  ,Sedalia,Missouri,65301
220,Wal-Mart Supercenter,1,5,48,TXR000004309,951 SW WILSHIRE BLVD  ,Burleson,Texas,76028
221,Wal-Mart Supercenter,1,44,344,OKD987098134,1200 Garth Brooks Blvd  ,Yukon,Oklahoma,73099
222,Wal-Mart Supercenter,1,41,271,ILR000020875,1410 N MARKET ST  ,Sparta,Illinois,62286
224,Wal-Mart Supercenter,1,25,272,ILR000104422,110 DAVIDSON AVENUE  ,Mount Vernon,Illinois,62864
225,Wal-Mart Supercenter,1,44,350,OKR000025569,2705 W. Broadway  ,Sulphur,Oklahoma,73086
226,Wal-Mart Supercenter,1,44,47,TXD136811130,201 US HWY 59 LOOP  ,Atlanta,Texas,75551
227,Wal-Mart Supercenter,1,44,344,OK0000379453,2400 South Country Club Road  ,El Reno,Oklahoma,73036
228,Wal-Mart Supercenter,1,5,48,TXR000004291,1616 WEST HENDERSON  ,Cleburne,Texas,76033
229,Wal-Mart Supercenter,1,11,329,ARR000013490,512 Industrial Drive  ,Trumann,Arkansas,72472
230,Wal-Mart Division 1 Store,1,42,321,ARR000009167,1501 East Walnut Street  ,Paris,Arkansas,72855
231,Wal-Mart Supercenter,1,44,351,OKR000017525,1419 N. COUNTRY CLUB RD.  ,Ada,Oklahoma,74820
232,Wal-Mart Division 1 Store,1,44,350,OKR000016063,1901 SOUTH MISSISSIPPI  ,Atoka,Oklahoma,74525
233,Wal-Mart Supercenter,1,41,271,ILR000103721,300 LEIGH AVE  ,Anna,Illinois,62906
234,Wal-Mart Supercenter,1,40,360,MOR000004515,8301 N CHURCH ROAD  ,Kansas City,Missouri,64158
236,Wal-Mart Supercenter,1,13,503,TXR000079228,1225 East Loop 304  ,Crockett,Texas,75835
237,Wal-Mart Supercenter,1,41,271,ILD984920314,710 South Commercial  ,Harrisburg,Illinois,62946
238,Wal-Mart Supercenter,1,11,147,TNR000027920,1655 WEST COLLEGE STREET  ,Pulaski,Tennessee,38478
239,Wal-Mart Supercenter,1,11,138,MSR000004390,220 VETERAN MEM DR  ,Kosciusko,Mississippi,39090
240,Wal-Mart Supercenter,1,44,47,TXR000007864,2701 HWY 50  ,Commerce,Texas,75428
242,Wal-Mart Supercenter,1,44,410,KSR000017137,310 HEDGE LANE  ,Paola,Kansas,66071
243,Wal-Mart Supercenter,1,40,339,MOR000522961,1971 Wentzville Pkwy  ,Wentzville,Missouri,63385
244,Wal-Mart Supercenter,1,42,135,LAR000046011,5940 HWY 167 NORTH  ,Winnfield,Louisiana,71483
246,Wal-Mart Supercenter,1,44,345,OKR000020206,700 WEST ROGERS BLVD  ,Skiatook,Oklahoma,74070
247,Wal-Mart Division 1 Store,1,44,351,OKR000016089,605 EAST MAIN  ,Henryetta,Oklahoma,74437
248,Wal-Mart Supercenter,1,5,76,TXR000079227,1406 East Milam  ,Mexia,Texas,76667
249,Wal-Mart Supercenter,1,13,503,TXR000079226,831 HWY 59 SOUTH  ,Cleveland,Texas,77327
250,Wal-Mart Supercenter,1,40,357,MOR000522953,103 WEST POLK ST  ,Warsaw,Missouri,65355
251,Wal-Mart Supercenter,1,5,45,TXR000015032,135 NE LOOP 564  ,Mineola,Texas,75773
252,Wal-Mart Supercenter,1,41,271,ILR000104133,215 GRANT WAY  ,Du Quoin,Illinois,62832
253,Wal-Mart Supercenter,1,40,341,ILD982204422,1316 South State Street  ,Jerseyville,Illinois,62052
254,Wal-Mart Supercenter,1,25,273,ILR000104877,1001 NORTH WEST  ,Olney,Illinois,62450
256,Wal-Mart Supercenter,1,40,341,ILR000104240,400 Junction Drive  ,Glen Carbon,Illinois,62034
257,Wal-Mart Supercenter,1,41,254,KYR000041160,901 U.S. HWY 60 EAST  ,Morganfield,Kentucky,42437
258,Wal-Mart Supercenter,1,11,4,MSD985981430,3929 N GLOSTER STREET  ,Tupelo,Mississippi,38804
259,Wal-Mart Supercenter,1,5,583,TXR000017319,782 INTERSTATE 30  ,Rockwall,Texas,75087
260,Wal-Mart Supercenter,1,5,55,TXR000012617,1200 N. HWY 77  ,Waxahachie,Texas,75165
