Store Number ,City,State,Toolkit Link,Phase I Possession,MFC Go Live,MFC Contact,MFC Type
3267,Omaha,NE,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/operations/sites/market-fulfillment-center/mfc-overview.html"">Click here to view the toolkit.</a>",6/27/2021,Q2 2023,Amy Knox,Automated
3278,Lincoln,NE,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/operations/sites/market-fulfillment-center/mfc-overview.html"">Click here to view the toolkit.</a>",4/17/2022,Q3 2023,Amy Knox,Automated
2142,Salem,NH,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/operations/sites/market-fulfillment-center/mfc-overview.html"">Click here to view the toolkit.</a>",n/a,TBD,Amy Knox,Automated
3722,Kent,OH,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/operations/sites/market-fulfillment-center/mfc-overview.html"">Click here to view the toolkit.</a>",7/25/2022,Q2 2024,Amy Knox,Automated
3295,Broken Arrow,OK,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/operations/sites/market-fulfillment-center/mfc-overview.html"">Click here to view the toolkit.</a>",10/28/2021,Q3 2023,Amy Knox,Automated
517,Mustang,OK,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/operations/sites/market-fulfillment-center/mfc-overview.html"">Click here to view the toolkit.</a>",8/23/2021,Q2 2023,Amy Knox,Automated
277,Moore,OK,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/operations/sites/market-fulfillment-center/mfc-overview.html"">Click here to view the toolkit.</a>",11/28/2021,Q2 2023,Amy Knox,Automated
3258,Eugene,OR,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/operations/sites/market-fulfillment-center/mfc-overview.html"">Click here to view the toolkit.</a>",3/28/2022,Q3 2023,Amy Knox,Automated
2932,Knoxville,TN,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/operations/sites/market-fulfillment-center/mfc-overview.html"">Click here to view the toolkit.</a>",10/4/2021,Q2 2023,Amy Knox,Automated
3226,Katy,TX,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/operations/sites/market-fulfillment-center/mfc-overview.html"">Click here to view the toolkit.</a>",11/8/2021,Q3 2023,Amy Knox,Automated
5092,Lewisville,TX,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/operations/sites/market-fulfillment-center/mfc-overview.html"">Click here to view the toolkit.</a>",3/1/2021,Q2 2023,Amy Knox,Automated
1148,Wichita Falls,TX,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/operations/sites/market-fulfillment-center/mfc-overview.html"">Click here to view the toolkit.</a>",1/20/2022,Q3 2023,Amy Knox,Automated
987,Fort Meyers,FL,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/operations/sites/market-fulfillment-center/mfc-overview.html"">Click here to view the toolkit.</a>",5/22/2023,Q2 2024,Amy Knox,Automated
1439,Washington City,UT,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/operations/sites/market-fulfillment-center/mfc-overview.html"">Click here to view the toolkit.</a>",7/11/2022,Q1 2024,Amy Knox,Automated
2125,Lakewood,CO,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/operations/sites/market-fulfillment-center/mfc-overview.html"">Click here to view the toolkit.</a>",1/9/2023,Q1 2024,Amy Knox,Automated
