Store,Digital Shelf Labels,Automated Pallet Delivery,Digital Locks,Consistent Freight Delivery,CoSTL
159,TBD,TBD,YES,YES,TBD
160,TBD,YES,TBD,YES,TBD
161,TBD,TBD,TBD,YES,TBD
162,TBD,TBD,TBD,YES,TBD
163,TBD,YES,YES,YES,TBD
164,TBD,YES,TBD,YES,TBD
165,TBD,YES,TBD,YES,TBD
166,TBD,TBD,TBD,YES,TBD
167,TBD,YES,TBD,YES,TBD
168,TBD,TBD,TBD,YES,TBD
169,TBD,YES,TBD,YES,TBD
170,TBD,TBD,TBD,YES,TBD
171,TBD,YES,TBD,YES,TBD
172,TBD,TBD,TBD,YES,TBD
173,TBD,TBD,YES,YES,TBD
174,TBD,TBD,TBD,YES,TBD
175,TBD,YES,TBD,YES,TBD
176,TBD,YES,TBD,YES,TBD
177,TBD,TBD,TBD,YES,TBD
178,TBD,TBD,TBD,YES,TBD
179,TBD,TBD,YES,YES,TBD
180,TBD,YES,TBD,YES,TBD
181,TBD,YES,TBD,YES,TBD
182,TBD,YES,TBD,YES,TBD
183,TBD,YES,TBD,YES,TBD
184,TBD,YES,TBD,YES,TBD
185,TBD,TBD,TBD,YES,TBD
186,TBD,YES,TBD,YES,TBD
188,TBD,TBD,YES,YES,TBD
189,TBD,TBD,TBD,YES,TBD
190,TBD,YES,YES,YES,TBD
192,TBD,TBD,YES,YES,TBD
194,TBD,TBD,YES,YES,TBD
195,TBD,YES,YES,YES,TBD
196,TBD,TBD,TBD,YES,TBD
197,TBD,TBD,TBD,YES,TBD
198,TBD,TBD,TBD,YES,TBD
199,TBD,TBD,TBD,YES,TBD
200,TBD,TBD,TBD,YES,TBD
201,TBD,TBD,TBD,YES,TBD
202,TBD,TBD,YES,YES,YES
203,TBD,TBD,TBD,YES,TBD
204,TBD,TBD,TBD,YES,TBD
205,TBD,YES,TBD,YES,TBD
206,TBD,TBD,TBD,YES,YES
207,TBD,TBD,TBD,YES,TBD
209,TBD,TBD,TBD,YES,TBD
210,TBD,TBD,YES,YES,TBD
211,TBD,YES,TBD,YES,TBD
212,TBD,TBD,TBD,YES,TBD
213,TBD,TBD,TBD,YES,TBD
214,TBD,YES,TBD,YES,TBD
216,TBD,TBD,TBD,YES,TBD
217,TBD,TBD,YES,YES,YES
218,TBD,YES,TBD,YES,TBD
219,TBD,TBD,TBD,YES,TBD
220,TBD,TBD,TBD,YES,YES
221,TBD,TBD,TBD,YES,TBD
222,TBD,TBD,TBD,YES,TBD
224,TBD,TBD,TBD,YES,TBD
225,TBD,TBD,TBD,YES,TBD
226,TBD,YES,TBD,YES,TBD
227,TBD,TBD,TBD,YES,TBD
228,TBD,YES,TBD,YES,YES
229,TBD,YES,TBD,YES,TBD
230,TBD,TBD,TBD,YES,TBD
231,TBD,TBD,TBD,YES,TBD
232,TBD,TBD,TBD,YES,TBD
233,TBD,TBD,TBD,YES,TBD
234,TBD,YES,YES,YES,TBD
236,TBD,YES,TBD,YES,TBD
237,TBD,TBD,TBD,YES,TBD
238,TBD,YES,TBD,YES,TBD
239,TBD,YES,TBD,YES,TBD
240,TBD,YES,TBD,YES,TBD
242,TBD,YES,TBD,YES,TBD
243,TBD,TBD,TBD,YES,TBD
244,TBD,TBD,TBD,YES,TBD
246,TBD,TBD,TBD,YES,TBD
247,TBD,TBD,TBD,YES,TBD
248,TBD,YES,TBD,YES,TBD
249,TBD,TBD,TBD,YES,TBD
250,TBD,TBD,TBD,YES,TBD
251,TBD,YES,TBD,YES,TBD
252,TBD,TBD,TBD,YES,TBD
253,TBD,TBD,TBD,YES,TBD
254,TBD,TBD,TBD,YES,TBD
256,TBD,TBD,TBD,YES,TBD
257,TBD,TBD,TBD,YES,TBD
258,TBD,YES,TBD,YES,TBD
259,TBD,YES,TBD,YES,YES
260,TBD,YES,TBD,YES,TBD
261,TBD,YES,TBD,YES,TBD
262,TBD,TBD,TBD,YES,TBD
264,TBD,TBD,TBD,YES,TBD
265,TBD,YES,TBD,YES,TBD
266,TBD,YES,TBD,YES,TBD
267,TBD,TBD,TBD,YES,TBD
268,TBD,YES,TBD,YES,TBD
269,TBD,TBD,TBD,YES,TBD
271,TBD,TBD,TBD,YES,TBD
272,TBD,TBD,TBD,YES,TBD
273,TBD,YES,TBD,YES,TBD
274,TBD,YES,TBD,YES,TBD
275,TBD,YES,TBD,YES,TBD
276,TBD,TBD,TBD,YES,TBD
277,TBD,TBD,TBD,YES,TBD
278,TBD,YES,TBD,YES,TBD
279,TBD,YES,TBD,YES,TBD
280,TBD,TBD,TBD,YES,TBD
281,TBD,YES,TBD,YES,TBD
282,TBD,TBD,TBD,YES,TBD
283,TBD,TBD,TBD,YES,TBD
284,TBD,YES,TBD,YES,YES
285,TBD,YES,TBD,YES,TBD
286,TBD,YES,TBD,YES,YES
287,TBD,YES,TBD,YES,TBD
288,TBD,YES,TBD,YES,TBD
289,TBD,YES,TBD,YES,TBD
290,TBD,YES,TBD,YES,TBD
292,TBD,YES,YES,YES,TBD
293,TBD,TBD,TBD,YES,TBD
294,TBD,TBD,TBD,YES,TBD
295,TBD,TBD,TBD,YES,TBD
296,TBD,YES,TBD,YES,TBD
297,TBD,TBD,TBD,YES,TBD
298,TBD,YES,TBD,YES,TBD
299,TBD,TBD,TBD,YES,TBD
300,TBD,YES,TBD,YES,TBD
301,TBD,YES,TBD,YES,TBD
302,TBD,TBD,TBD,YES,TBD
303,TBD,YES,TBD,YES,TBD
304,TBD,TBD,TBD,YES,TBD
305,TBD,YES,TBD,YES,TBD
306,TBD,YES,TBD,YES,TBD
307,TBD,TBD,YES,YES,TBD
308,TBD,YES,TBD,YES,TBD
309,TBD,TBD,TBD,YES,TBD
310,TBD,TBD,TBD,YES,TBD
311,TBD,TBD,TBD,YES,TBD
312,TBD,TBD,TBD,YES,TBD
313,TBD,TBD,TBD,YES,TBD
314,TBD,YES,TBD,YES,TBD
315,TBD,YES,TBD,YES,TBD
316,TBD,YES,TBD,YES,TBD
317,TBD,TBD,TBD,YES,TBD
318,TBD,YES,TBD,YES,TBD
319,TBD,YES,TBD,YES,TBD
320,TBD,YES,TBD,YES,TBD
321,TBD,TBD,TBD,YES,TBD
322,TBD,TBD,TBD,YES,TBD
323,TBD,TBD,TBD,YES,TBD
324,TBD,TBD,TBD,YES,TBD
325,TBD,TBD,TBD,YES,TBD
326,TBD,TBD,TBD,YES,TBD
328,TBD,TBD,TBD,YES,TBD
329,TBD,YES,TBD,YES,TBD
330,TBD,TBD,TBD,YES,TBD
331,TBD,TBD,TBD,YES,TBD
332,TBD,YES,TBD,YES,TBD
333,TBD,TBD,TBD,YES,TBD
334,TBD,TBD,TBD,YES,TBD
335,TBD,TBD,TBD,YES,TBD
336,TBD,YES,TBD,YES,TBD
337,TBD,TBD,TBD,YES,TBD
338,TBD,TBD,TBD,YES,TBD
339,TBD,YES,TBD,YES,TBD
340,TBD,TBD,TBD,YES,TBD
341,TBD,YES,TBD,YES,TBD
342,TBD,YES,YES,YES,TBD
343,TBD,TBD,TBD,YES,TBD
344,TBD,TBD,TBD,YES,TBD
345,TBD,YES,TBD,YES,TBD
346,TBD,YES,TBD,YES,TBD
347,TBD,YES,TBD,YES,TBD
348,TBD,YES,TBD,YES,TBD
350,TBD,YES,TBD,YES,TBD
351,TBD,TBD,TBD,YES,TBD
352,TBD,TBD,TBD,YES,TBD
353,TBD,TBD,TBD,YES,TBD
354,TBD,TBD,TBD,YES,TBD
355,TBD,TBD,TBD,YES,TBD
356,TBD,TBD,TBD,YES,TBD
357,TBD,TBD,TBD,YES,TBD
358,TBD,TBD,TBD,YES,TBD
359,TBD,TBD,TBD,YES,TBD
360,TBD,TBD,TBD,YES,TBD
361,TBD,TBD,TBD,YES,TBD
362,TBD,YES,TBD,YES,TBD
363,TBD,TBD,TBD,YES,TBD
364,TBD,YES,TBD,YES,TBD
365,TBD,YES,TBD,YES,TBD
366,TBD,YES,TBD,YES,TBD
368,TBD,TBD,TBD,YES,TBD
369,TBD,YES,YES,YES,TBD
370,TBD,YES,TBD,YES,TBD
371,TBD,TBD,TBD,YES,YES
372,TBD,YES,YES,YES,TBD
373,TBD,TBD,TBD,YES,TBD
374,TBD,TBD,TBD,YES,TBD
375,TBD,YES,TBD,YES,TBD
376,TBD,YES,YES,YES,TBD
377,TBD,YES,TBD,YES,TBD
378,TBD,YES,YES,YES,TBD
379,TBD,TBD,TBD,YES,TBD
381,TBD,YES,TBD,YES,TBD
382,TBD,YES,TBD,YES,TBD
383,TBD,YES,TBD,YES,TBD
384,TBD,TBD,YES,YES,TBD
385,TBD,TBD,TBD,YES,TBD
386,TBD,TBD,TBD,YES,TBD
387,TBD,TBD,TBD,YES,TBD
388,TBD,TBD,TBD,YES,TBD
389,TBD,TBD,TBD,YES,TBD
390,TBD,TBD,TBD,YES,TBD
391,TBD,YES,TBD,YES,TBD
392,TBD,TBD,TBD,YES,TBD
393,TBD,TBD,TBD,YES,TBD
394,TBD,YES,TBD,YES,TBD
395,TBD,YES,TBD,YES,TBD
396,TBD,TBD,TBD,YES,TBD
397,TBD,YES,TBD,YES,TBD
398,TBD,YES,TBD,YES,TBD
399,TBD,YES,TBD,YES,TBD
400,TBD,TBD,TBD,YES,TBD
401,TBD,TBD,TBD,YES,TBD
402,TBD,TBD,TBD,YES,TBD
403,TBD,YES,TBD,YES,TBD
404,TBD,YES,YES,YES,TBD
405,TBD,TBD,TBD,YES,TBD
406,TBD,TBD,TBD,YES,TBD
407,TBD,YES,TBD,YES,TBD
408,TBD,TBD,YES,YES,TBD
409,TBD,YES,TBD,YES,TBD
410,TBD,TBD,TBD,YES,TBD
411,TBD,YES,TBD,YES,TBD
412,TBD,YES,TBD,YES,TBD
413,TBD,YES,TBD,YES,TBD
414,TBD,TBD,TBD,YES,TBD
415,TBD,TBD,TBD,YES,TBD
416,TBD,TBD,TBD,YES,TBD
417,TBD,YES,TBD,YES,TBD
418,TBD,YES,TBD,YES,TBD
419,TBD,YES,YES,YES,TBD
420,TBD,TBD,TBD,YES,TBD
421,TBD,TBD,TBD,YES,YES
422,TBD,TBD,TBD,YES,TBD
423,TBD,YES,TBD,YES,TBD
424,TBD,YES,TBD,YES,TBD
425,TBD,YES,TBD,YES,TBD
426,TBD,TBD,TBD,YES,TBD
427,TBD,YES,YES,YES,TBD
428,TBD,TBD,TBD,YES,TBD
429,TBD,YES,TBD,YES,TBD
430,TBD,TBD,TBD,YES,TBD
431,TBD,TBD,YES,YES,TBD
432,TBD,YES,TBD,YES,TBD
433,TBD,YES,TBD,YES,TBD
434,TBD,YES,TBD,YES,TBD
435,TBD,TBD,TBD,YES,TBD
436,TBD,TBD,TBD,YES,TBD
437,TBD,TBD,TBD,YES,TBD
438,TBD,TBD,TBD,YES,TBD
440,TBD,TBD,TBD,YES,TBD
442,TBD,YES,TBD,YES,TBD
443,TBD,YES,TBD,YES,TBD
444,TBD,TBD,TBD,YES,TBD
445,TBD,TBD,TBD,YES,TBD
446,TBD,YES,TBD,YES,TBD
447,TBD,YES,TBD,YES,TBD
448,TBD,YES,YES,YES,TBD
449,TBD,TBD,YES,YES,TBD
450,TBD,TBD,YES,YES,TBD
451,TBD,TBD,YES,YES,TBD
452,TBD,YES,TBD,YES,TBD
453,TBD,YES,TBD,YES,TBD
454,TBD,TBD,TBD,YES,TBD
456,TBD,YES,TBD,YES,TBD
457,TBD,TBD,TBD,YES,TBD
458,TBD,YES,TBD,YES,TBD
459,TBD,TBD,TBD,YES,TBD
461,TBD,YES,TBD,YES,TBD
462,TBD,TBD,TBD,YES,TBD
463,TBD,YES,TBD,YES,TBD
464,TBD,YES,TBD,YES,TBD
465,TBD,YES,TBD,YES,TBD
466,TBD,YES,TBD,YES,TBD
467,TBD,TBD,TBD,YES,TBD
468,TBD,YES,TBD,YES,TBD
469,TBD,TBD,TBD,YES,TBD
470,TBD,YES,TBD,YES,TBD
471,TBD,YES,YES,YES,TBD
472,TBD,TBD,TBD,YES,TBD
473,TBD,TBD,TBD,YES,TBD
475,TBD,YES,YES,YES,TBD
476,TBD,YES,TBD,YES,TBD
477,TBD,TBD,TBD,YES,TBD
478,TBD,YES,TBD,YES,TBD
479,TBD,YES,TBD,YES,TBD
480,TBD,TBD,TBD,YES,TBD
481,TBD,TBD,TBD,YES,TBD
482,TBD,TBD,TBD,YES,TBD
483,TBD,YES,TBD,YES,TBD
484,TBD,YES,YES,YES,TBD
485,TBD,TBD,TBD,YES,TBD
486,TBD,YES,TBD,YES,TBD
488,TBD,TBD,TBD,YES,YES
489,TBD,YES,TBD,YES,TBD
490,TBD,YES,TBD,YES,TBD
491,TBD,TBD,TBD,YES,TBD
492,TBD,TBD,TBD,YES,TBD
493,TBD,YES,TBD,YES,YES
494,TBD,TBD,TBD,YES,TBD
495,TBD,YES,TBD,YES,TBD
497,TBD,YES,TBD,YES,TBD
498,TBD,TBD,TBD,YES,TBD
499,TBD,TBD,TBD,YES,TBD
500,TBD,YES,TBD,YES,TBD
501,TBD,YES,TBD,YES,TBD
502,TBD,TBD,TBD,YES,TBD
503,TBD,TBD,TBD,YES,TBD
504,TBD,TBD,TBD,YES,TBD
505,TBD,TBD,TBD,YES,TBD
506,TBD,TBD,TBD,YES,TBD
507,TBD,YES,TBD,YES,YES
508,TBD,YES,TBD,YES,TBD
510,TBD,TBD,TBD,YES,TBD
511,TBD,YES,YES,YES,TBD
512,TBD,YES,TBD,YES,TBD
513,TBD,YES,TBD,YES,TBD
514,TBD,YES,TBD,YES,TBD
515,TBD,YES,YES,YES,TBD
516,TBD,YES,TBD,YES,TBD
517,TBD,TBD,TBD,YES,TBD
518,TBD,TBD,TBD,YES,TBD
519,TBD,TBD,TBD,YES,YES
520,TBD,TBD,TBD,YES,TBD
521,TBD,TBD,YES,YES,TBD
522,TBD,TBD,TBD,YES,TBD
523,TBD,YES,TBD,YES,TBD
524,TBD,YES,TBD,YES,TBD
525,TBD,TBD,TBD,YES,TBD
526,TBD,YES,TBD,YES,TBD
527,TBD,TBD,TBD,YES,TBD
528,TBD,YES,TBD,YES,TBD
529,TBD,TBD,YES,YES,TBD
530,TBD,YES,TBD,YES,TBD
531,TBD,TBD,TBD,YES,TBD
532,TBD,TBD,TBD,YES,TBD
533,TBD,TBD,TBD,YES,TBD
535,TBD,YES,TBD,YES,TBD
536,TBD,YES,TBD,YES,TBD
537,TBD,YES,TBD,YES,TBD
538,TBD,TBD,TBD,YES,TBD
539,TBD,TBD,YES,YES,TBD
540,TBD,TBD,TBD,YES,TBD
541,TBD,YES,TBD,YES,TBD
542,TBD,TBD,TBD,YES,TBD
543,TBD,TBD,TBD,YES,TBD
544,TBD,TBD,YES,YES,TBD
545,TBD,YES,TBD,YES,TBD
546,TBD,TBD,YES,YES,TBD
547,TBD,YES,TBD,YES,TBD
548,TBD,TBD,TBD,YES,TBD
549,TBD,YES,TBD,YES,TBD
550,TBD,TBD,TBD,YES,TBD
551,TBD,TBD,TBD,YES,TBD
552,TBD,YES,TBD,YES,TBD
553,TBD,YES,TBD,YES,TBD
554,TBD,YES,TBD,YES,TBD
555,TBD,YES,TBD,YES,TBD
556,TBD,YES,TBD,YES,TBD
557,TBD,YES,YES,YES,TBD
558,TBD,YES,YES,YES,TBD
559,TBD,TBD,YES,YES,TBD
560,TBD,YES,YES,YES,TBD
561,TBD,TBD,TBD,YES,TBD
562,TBD,YES,TBD,YES,TBD
563,TBD,TBD,TBD,YES,TBD
564,TBD,TBD,TBD,YES,TBD
565,TBD,YES,TBD,YES,TBD
566,TBD,TBD,TBD,YES,TBD
567,TBD,TBD,TBD,YES,TBD
568,TBD,TBD,TBD,YES,TBD
569,TBD,TBD,TBD,YES,TBD
571,TBD,YES,TBD,YES,YES
572,TBD,YES,TBD,YES,TBD
573,TBD,YES,TBD,YES,TBD
574,TBD,YES,TBD,YES,TBD
575,TBD,TBD,TBD,YES,TBD
576,TBD,TBD,YES,YES,TBD
577,TBD,YES,YES,YES,TBD
578,TBD,YES,TBD,YES,TBD
579,TBD,TBD,TBD,YES,TBD
580,TBD,YES,TBD,YES,TBD
581,TBD,TBD,YES,YES,TBD
582,TBD,TBD,TBD,YES,TBD
583,TBD,YES,TBD,YES,TBD
584,TBD,YES,TBD,YES,YES
585,TBD,TBD,TBD,YES,TBD
586,TBD,YES,TBD,YES,TBD
587,TBD,TBD,TBD,YES,TBD
588,TBD,YES,TBD,YES,TBD
589,TBD,YES,YES,YES,TBD
590,TBD,TBD,YES,YES,TBD
591,TBD,YES,TBD,YES,TBD
592,TBD,TBD,YES,YES,TBD
593,TBD,YES,TBD,YES,TBD
594,TBD,TBD,TBD,YES,TBD
595,TBD,YES,TBD,YES,TBD
596,TBD,TBD,TBD,YES,TBD
598,TBD,YES,TBD,YES,TBD
599,TBD,YES,TBD,YES,TBD
600,TBD,YES,TBD,YES,TBD
601,TBD,YES,TBD,YES,TBD
602,TBD,TBD,TBD,YES,TBD
603,TBD,TBD,TBD,YES,TBD
604,TBD,YES,TBD,YES,TBD
605,TBD,YES,YES,YES,TBD
606,TBD,YES,TBD,YES,TBD
607,TBD,YES,TBD,YES,TBD
608,TBD,YES,TBD,YES,TBD
609,TBD,TBD,TBD,YES,TBD
610,TBD,TBD,TBD,YES,TBD
611,TBD,YES,TBD,YES,TBD
612,TBD,TBD,TBD,YES,TBD
613,TBD,TBD,TBD,YES,TBD
614,TBD,TBD,TBD,YES,TBD
615,TBD,TBD,TBD,YES,TBD
616,TBD,YES,YES,YES,TBD
617,TBD,TBD,TBD,YES,TBD
618,TBD,TBD,TBD,YES,TBD
619,TBD,TBD,TBD,YES,TBD
620,TBD,YES,TBD,YES,TBD
621,TBD,YES,TBD,YES,TBD
622,TBD,TBD,YES,YES,TBD
623,TBD,TBD,TBD,YES,TBD
624,TBD,TBD,TBD,YES,TBD
625,TBD,YES,TBD,YES,TBD
626,TBD,YES,TBD,YES,TBD
627,TBD,YES,TBD,YES,TBD
628,TBD,YES,YES,YES,TBD
629,TBD,TBD,TBD,YES,TBD
630,TBD,YES,YES,YES,TBD
631,TBD,YES,TBD,YES,TBD
632,TBD,YES,YES,YES,TBD
633,TBD,TBD,TBD,YES,TBD
634,TBD,TBD,YES,YES,TBD
635,TBD,YES,YES,YES,TBD
636,TBD,TBD,TBD,YES,TBD
637,TBD,YES,TBD,YES,TBD
638,TBD,TBD,YES,YES,TBD
639,TBD,YES,TBD,YES,TBD
640,TBD,TBD,YES,YES,TBD
641,TBD,TBD,YES,YES,TBD
642,TBD,TBD,TBD,YES,TBD
643,TBD,YES,TBD,YES,TBD
644,TBD,TBD,TBD,YES,TBD
645,TBD,TBD,TBD,YES,TBD
646,TBD,TBD,YES,YES,TBD
647,TBD,TBD,TBD,YES,TBD
648,TBD,TBD,TBD,YES,TBD
649,TBD,TBD,TBD,YES,TBD
651,TBD,TBD,YES,YES,TBD
652,TBD,YES,YES,YES,TBD
653,TBD,TBD,TBD,YES,TBD
655,TBD,TBD,TBD,YES,TBD
656,TBD,YES,TBD,YES,TBD
657,TBD,TBD,TBD,YES,TBD
658,TBD,YES,TBD,YES,TBD
659,TBD,TBD,TBD,YES,TBD
660,TBD,YES,TBD,YES,TBD
661,TBD,YES,YES,YES,TBD
662,TBD,YES,TBD,YES,TBD
663,TBD,YES,TBD,YES,TBD
664,TBD,YES,TBD,YES,TBD
665,TBD,TBD,TBD,YES,TBD
666,TBD,TBD,TBD,YES,TBD
667,TBD,YES,TBD,YES,TBD
668,TBD,TBD,TBD,YES,TBD
669,TBD,YES,TBD,YES,TBD
670,TBD,YES,TBD,YES,TBD
671,TBD,TBD,TBD,YES,TBD
672,TBD,YES,TBD,YES,TBD
673,TBD,TBD,TBD,YES,TBD
674,TBD,TBD,TBD,YES,TBD
675,TBD,TBD,TBD,YES,TBD
676,TBD,YES,TBD,YES,TBD
677,TBD,YES,TBD,YES,TBD
678,TBD,YES,TBD,YES,TBD
680,TBD,YES,TBD,YES,TBD
681,TBD,YES,TBD,YES,TBD
682,TBD,TBD,TBD,YES,TBD
683,TBD,YES,TBD,YES,TBD
684,TBD,TBD,TBD,YES,TBD
685,TBD,YES,TBD,YES,TBD
686,TBD,YES,TBD,YES,TBD
687,TBD,YES,TBD,YES,TBD
688,TBD,TBD,YES,YES,TBD
689,TBD,TBD,TBD,YES,TBD
690,TBD,YES,TBD,YES,TBD
691,TBD,YES,TBD,YES,TBD
692,TBD,TBD,TBD,YES,YES
693,TBD,YES,TBD,YES,TBD
694,TBD,TBD,TBD,YES,TBD
695,TBD,TBD,YES,YES,TBD
696,TBD,YES,TBD,YES,TBD
697,TBD,TBD,TBD,YES,TBD
698,TBD,YES,TBD,YES,TBD
699,TBD,YES,TBD,YES,TBD
700,TBD,YES,TBD,YES,TBD
701,TBD,TBD,TBD,YES,TBD
702,TBD,YES,TBD,YES,TBD
703,TBD,TBD,TBD,YES,TBD
705,TBD,TBD,TBD,YES,TBD
706,TBD,YES,TBD,YES,TBD
707,TBD,YES,TBD,YES,TBD
708,TBD,YES,TBD,YES,TBD
709,TBD,TBD,TBD,YES,TBD
710,TBD,TBD,TBD,YES,TBD
711,TBD,TBD,TBD,YES,TBD
712,TBD,YES,TBD,YES,TBD
713,TBD,YES,TBD,YES,TBD
714,TBD,YES,TBD,YES,TBD
715,TBD,YES,TBD,YES,TBD
716,TBD,YES,TBD,YES,TBD
718,TBD,YES,TBD,YES,TBD
719,TBD,YES,TBD,YES,TBD
