Dept / Cat #,Business Unit,date,Supplier Name,Brand/Product Name,UPC #,Description,Stock #,Retail Price,Customer_Remedy,,,
7,Walmart/walmart.com,2/16/2024,VISTA OUTDOOR SALES LLC,BELL,0003501197715,BELL SOQUEL YOUTH BI,7107133,$24.99 ,CPSC 24-118; Consumers should immediately stop using the recalled Bell Soquel Youth Helmets and contact Bell Sports for a refund. ,,,
7,Walmart/walmart.com,2/16/2024,WINTEC INDUSTRIES INC,BELL,0003501197715,BELL SPORTS SOQUEL Y,4BEL97715,$24.99 ,CPSC 24-118; Consumers should immediately stop using the recalled Bell Soquel Youth Helmets and contact Bell Sports for a refund. ,,,
7,Walmart/walmart.com,2/16/2024,VISTA OUTDOOR SALES LLC,BELL,0003501197714,BELL SOQUEL MIPS BIK,7107134,$49.99 ,CPSC 24-118; Consumers should immediately stop using the recalled Bell Soquel Youth Helmets and contact Bell Sports for a refund. ,,,
7,Walmart/walmart.com,2/16/2024,WINTEC INDUSTRIES INC,BELL,0003501197714,BELL SPORTS SOQUEL M,4BEL97714,$49.99 ,CPSC 24-118; Consumers should immediately stop using the recalled Bell Soquel Youth Helmets and contact Bell Sports for a refund. ,,,
16,Walmart/walmart.com,2/16/2024,CHAR-BROIL LLC,CHAR-BROIL,0009914302043,SMOKERS,15202043,$399.00 ,CPSC 24-116; Consumers should immediately stop using the recalled electric smokers and contact Char-Broil for a free repair kit.,,,
16,Walmart/walmart.com,2/16/2024,D&H DISTRIBUTING CO,CHAR-BROIL,0009914302043,CHAR-BROIL DIGITAL E,15202043,$306.54 ,CPSC 24-116; Consumers should immediately stop using the recalled electric smokers and contact Char-Broil for a free repair kit.,,,
16,Walmart/walmart.com,2/16/2024,CHAR-BROIL LLC,CHAR-BROIL,0009914302005,SMOKERS,14202005,$399.00 ,CPSC 24-116; Consumers should immediately stop using the recalled electric smokers and contact Char-Broil for a free repair kit.,,,
16,Walmart/walmart.com,2/16/2024,D&H DISTRIBUTING CO,CHAR-BROIL,0009914302005,CHAR-BROIL DIGITAL E,14202005,$300.98 ,CPSC 24-116; Consumers should immediately stop using the recalled electric smokers and contact Char-Broil for a free repair kit.,,,
16,Walmart/walmart.com,2/16/2024,IMPORT-CHAR-BROIL LLC,CHAR-BROIL,0009914302005,1000 DELUXE DIGITAL,17202005,$479.99 ,CPSC 24-116; Consumers should immediately stop using the recalled electric smokers and contact Char-Broil for a free repair kit.,,,
16,Walmart/walmart.com,2/16/2024,CHAR-BROIL LLC,CHAR-BROIL,0009914302002,CHAR-BROIL 725 DIGIT,17202002,$199.24 ,CPSC 24-116; Consumers should immediately stop using the recalled electric smokers and contact Char-Broil for a free repair kit.,,,
16,Walmart/walmart.com,2/16/2024,D&H DISTRIBUTING CO,CHAR-BROIL,0009914302002,CHAR-BROIL 725 DIGIT,14202002,$199.24 ,CPSC 24-116; Consumers should immediately stop using the recalled electric smokers and contact Char-Broil for a free repair kit.,,,
16,Walmart/walmart.com,2/16/2024,IMPORT-CHAR-BROIL LLC,CHAR-BROIL,0009914302002,DIG ELECT SMOKER,17202002,$199.24 ,CPSC 24-116; Consumers should immediately stop using the recalled electric smokers and contact Char-Broil for a free repair kit.,,,
16,Walmart/walmart.com,2/16/2024,IMPORT-CHAR-BROIL LLC,CHAR-BROIL,0009914302002,725 DIGITAL ELECTRIC,17202002,$299.99 ,CPSC 24-116; Consumers should immediately stop using the recalled electric smokers and contact Char-Broil for a free repair kit.,,,
16,Walmart/walmart.com,2/16/2024,CHAR-BROIL LLC,CHAR-BROIL,0009914302004,SMOKERS,17202004-A1,$299.00 ,CPSC 24-116; Consumers should immediately stop using the recalled electric smokers and contact Char-Broil for a free repair kit.,,,
16,Walmart/walmart.com,2/16/2024,D&H DISTRIBUTING CO,CHAR-BROIL,0009914302004,CHAR-BROIL 725 DELUX,14202004,$299.00 ,CPSC 24-116; Consumers should immediately stop using the recalled electric smokers and contact Char-Broil for a free repair kit.,,,
16,Walmart/walmart.com,2/16/2024,IMPORT-CHAR-BROIL LLC,CHAR-BROIL,0009914302004,DIG ELE SMOKER DX,17202004,$299.00 ,CPSC 24-116; Consumers should immediately stop using the recalled electric smokers and contact Char-Broil for a free repair kit.,,,
16,Walmart/walmart.com,2/16/2024,IMPORT-CHAR-BROIL LLC,CHAR-BROIL,0009914302004,CHAR-BROIL DELUXE,17202004,$369.99 ,CPSC 24-116; Consumers should immediately stop using the recalled electric smokers and contact Char-Broil for a free repair kit.,,,
74,Walmart/walmart.com,2/9/2024,VORNADO AIR LLC,STEAMFAST SF-435W COMPACT FABRIC STEAMER,0004717143501,FABRIC STEAMER,SF-435W,$19.44 ,"CPSC 24-109; Consumers should immediately stop using the recalled garment steamers and contact Vornado for a full refund or free replacement handheld garment steamer, depending on model.",,,
74,Walmart/walmart.com,2/9/2024,VORNADO AIR LLC,STEAMFAST SF-435W COMPACT FABRIC STEAMER,0004717143501,STEAMFAST COMPACT FA,SF-435W,$24.98 ,"CPSC 24-109; Consumers should immediately stop using the recalled garment steamers and contact Vornado for a full refund or free replacement handheld garment steamer, depending on model.",,,
74,Walmart/walmart.com,2/9/2024,VORNADO AIR LLC,STEAMFAST SF-435W COMPACT FABRIC STEAMER,0004717143501,SF STEAMER COMPACT,SF-435W,$19.44 ,"CPSC 24-109; Consumers should immediately stop using the recalled garment steamers and contact Vornado for a full refund or free replacement handheld garment steamer, depending on model.",,,
74,Walmart/walmart.com,2/9/2024,VORNADO AIR LLC,STEAMFAST SF-435W COMPACT FABRIC STEAMER,0004717143501,STEAMFAST SF-435W CO,7780083,$24.79 ,"CPSC 24-109; Consumers should immediately stop using the recalled garment steamers and contact Vornado for a full refund or free replacement handheld garment steamer, depending on model.",,,
74,Walmart/walmart.com,2/9/2024,"JET.COM, INC.",STEAMFAST DELUXE COMPACT GARMENT STEAMER,0004717144700,STEAMFAST SF-447 DEL,46DAA5FB56F4350,$15.27 ,"CPSC 24-109; Consumers should immediately stop using the recalled garment steamers and contact Vornado for a full refund or free replacement handheld garment steamer, depending on model.",,,
74,Walmart/walmart.com,2/9/2024,VORNADO AIR LLC,STEAMFAST DELUXE COMPACT GARMENT STEAMER,0004717144700,SF STMR DLX CMPACT,SF-447,$15.27 ,"CPSC 24-109; Consumers should immediately stop using the recalled garment steamers and contact Vornado for a full refund or free replacement handheld garment steamer, depending on model.",,,
74,Walmart/walmart.com,2/9/2024,VORNADO AIR LLC,STEAMFAST DELUXE COMPACT GARMENT STEAMER,0004717144700,STEAMFAST SF-447 DEL,975849032,$15.27 ,"CPSC 24-109; Consumers should immediately stop using the recalled garment steamers and contact Vornado for a full refund or free replacement handheld garment steamer, depending on model.",,,
74,Walmart/walmart.com,2/9/2024,ARCHBROOK LAGUNA LLC,STEAMFAST SF-435W COMPACT FABRIC STEAMER,0004717143501,STEAMFAST COMPACT FA,sf435W,$19.44 ,"CPSC 24-109; Consumers should immediately stop using the recalled garment steamers and contact Vornado for a full refund or free replacement handheld garment steamer, depending on model.",,,
74,Walmart/walmart.com,2/6/2024,Bissell Intl Trading,Bissell Multi Reach Hand and Floor Vacuum,1112023965,BI MULTIREACH VAC,2151,99.00,"CPSC 24-107; Consumers should immediately stop using the recalled vacuums and contact BISSELL for instructions on how to deplete the charge on the battery and receive a free replacement vacuum. Recalled lithium-ion batteries should be disposed of in accordance with any local and state laws and not in the trash.
",,,
7,Walmart/walmart.com,2/2/24,OPTIMUM FULFILLMENT LLC,NextGen Children's Bicycles,0085000390633,"NEXTGEN 10"" CHILDREN",200828,$79.99 ,"CPSC 24-104; Consumers should immediately take the recalled bikes away from children, stop using them, and contact the firm for instructions on returning the bicycles for a full refund.
",,,
7,Walmart/walmart.com,2/2/24,OPTIMUM FULFILLMENT LLC,NextGen Children's Bicycles,0085000390628,"NEXTGEN 12"" CHILDREN",200758,$79.99 ,"CPSC 24-104; Consumers should immediately take the recalled bikes away from children, stop using them, and contact the firm for instructions on returning the bicycles for a full refund.
",,,
7,Walmart/walmart.com,2/2/24,OPTIMUM FULFILLMENT LLC,NextGen Children's Bicycles,0085000390612,"NEXTGEN 16"" CHILDREN",200759,$89.99 ,"CPSC 24-104; Consumers should immediately take the recalled bikes away from children, stop using them, and contact the firm for instructions on returning the bicycles for a full refund.
",,,
7,Walmart/walmart.com,2/2/24,OPTIMUM FULFILLMENT LLC,NextGen Children's Bicycles,0085000390625,"NEXTGEN 10"" CHILDREN",200753,$69.99 ,"CPSC 24-104; Consumers should immediately take the recalled bikes away from children, stop using them, and contact the firm for instructions on returning the bicycles for a full refund.
",,,
7,Walmart/walmart.com,2/2/24,OPTIMUM FULFILLMENT LLC,NextGen Children's Bicycles,0085000390626,"NEXTGEN 10"" CHILDREN",200754,$69.99 ,"CPSC 24-104; Consumers should immediately take the recalled bikes away from children, stop using them, and contact the firm for instructions on returning the bicycles for a full refund.
",,,
7,Walmart/walmart.com,2/2/24,OPTIMUM FULFILLMENT LLC,NextGen Children's Bicycles,0085000390631,"NEXTGEN 20"" CHILDREN",200763,$119.99 ,"CPSC 24-104; Consumers should immediately take the recalled bikes away from children, stop using them, and contact the firm for instructions on returning the bicycles for a full refund.
",,,
7,Walmart/walmart.com,2/2/24,OPTIMUM FULFILLMENT LLC,NextGen Children's Bicycles,0085000390629,"NEXTGEN 16"" CHILDREN",200761,$89.99 ,"CPSC 24-104; Consumers should immediately take the recalled bikes away from children, stop using them, and contact the firm for instructions on returning the bicycles for a full refund.
",,,
7,Walmart/walmart.com,2/2/24,OPTIMUM FULFILLMENT LLC,NextGen Children's Bicycles,0085000390627,"NEXTGEN 10"" CHILDREN",200755,$69.99 ,"CPSC 24-104; Consumers should immediately take the recalled bikes away from children, stop using them, and contact the firm for instructions on returning the bicycles for a full refund.
",,,
7,Walmart/walmart.com,2/2/24,OPTIMUM FULFILLMENT LLC,NextGen Children's Bicycles,0085000390611,"NEXTGEN 16"" CHILDREN",200760,$89.99 ,"CPSC 24-104; Consumers should immediately take the recalled bikes away from children, stop using them, and contact the firm for instructions on returning the bicycles for a full refund.
",,,
7,Walmart/walmart.com,2/2/24,OPTIMUM FULFILLMENT LLC,NextGen Children's Bicycles,0085000390636,"NEXTGEN 10"" CHILDREN",200831,$89.99 ,"CPSC 24-104; Consumers should immediately take the recalled bikes away from children, stop using them, and contact the firm for instructions on returning the bicycles for a full refund.
",,,
7,Walmart/walmart.com,2/2/24,OPTIMUM FULFILLMENT LLC,NextGen Children's Bicycles,0085000390634,"NEXTGEN 10"" CHILDREN",200829,$79.99 ,"CPSC 24-104; Consumers should immediately take the recalled bikes away from children, stop using them, and contact the firm for instructions on returning the bicycles for a full refund.
",,,
7,Walmart/walmart.com,2/2/24,OPTIMUM FULFILLMENT LLC,NextGen Children's Bicycles,0085000390632,"NEXTGEN 20"" CHILDREN",200764,$119.99 ,"CPSC 24-104; Consumers should immediately take the recalled bikes away from children, stop using them, and contact the firm for instructions on returning the bicycles for a full refund.
",,,
7,Walmart/walmart.com,2/2/24,OPTIMUM FULFILLMENT LLC,NextGen Children's Bicycles,0085000390635,"NEXTGEN 10"" CHILDREN",200830,$89.99 ,"CPSC 24-104; Consumers should immediately take the recalled bikes away from children, stop using them, and contact the firm for instructions on returning the bicycles for a full refund.
",,,
7,Walmart/walmart.com,2/2/24,OPTIMUM FULFILLMENT LLC,NextGen Children's Bicycles,0085000390607,"NEXTGEN 12"" CHILDREN",200756,$79.99 ,"CPSC 24-104; Consumers should immediately take the recalled bikes away from children, stop using them, and contact the firm for instructions on returning the bicycles for a full refund.
",,,
7,Walmart/walmart.com,2/2/24,OPTIMUM FULFILLMENT LLC,NextGen Children's Bicycles,0085000390605,"NEXTGEN 12"" CHILDREN",200757,$79.99 ,"CPSC 24-104; Consumers should immediately take the recalled bikes away from children, stop using them, and contact the firm for instructions on returning the bicycles for a full refund.
",,,
7,Walmart/walmart.com,2/2/24,OPTIMUM FULFILLMENT LLC,NextGen Children's Bicycles,0085000390630,"NEXTGEN 20"" CHILDREN",200762,$119.99 ,"CPSC 24-104; Consumers should immediately take the recalled bikes away from children, stop using them, and contact the firm for instructions on returning the bicycles for a full refund.
",,,
7,Walmart/walmart.com,2/2/24,OPTIMUM FULFILLMENT LLC,NextGen Children's Bicycles,0085000390637,"NEXTGEN 10"" CHILDREN",200832,$89.99 ,"CPSC 24-104; Consumers should immediately take the recalled bikes away from children, stop using them, and contact the firm for instructions on returning the bicycles for a full refund.
",,,
7,Walmart/walmart.com,2/2/24,OPTIMUM FULFILLMENT LLC,NextGen Children's Bicycles,0085000390641,"NEXTGEN 10"" CHILDREN",200824,$69.99 ,"CPSC 24-104; Consumers should immediately take the recalled bikes away from children, stop using them, and contact the firm for instructions on returning the bicycles for a full refund.
",,,
7,Walmart/walmart.com,2/2/24,OPTIMUM FULFILLMENT LLC,NextGen Children's Bicycles,0085000390606,"NEXTGEN 10"" CHILDREN",200827,$69.00 ,"CPSC 24-104; Consumers should immediately take the recalled bikes away from children, stop using them, and contact the firm for instructions on returning the bicycles for a full refund.
",,,
7,Walmart/walmart.com,2/2/24,OPTIMUM FULFILLMENT LLC,NextGen Children's Bicycles,0085000390640,"NEXTGEN 10"" CHILDREN",200835,$119.99 ,"CPSC 24-104; Consumers should immediately take the recalled bikes away from children, stop using them, and contact the firm for instructions on returning the bicycles for a full refund.
",,,
7,Walmart/walmart.com,2/2/24,OPTIMUM FULFILLMENT LLC,NextGen Children's Bicycles,0085000390638,"NEXTGEN 10"" CHILDREN",200833,$119.99 ,"CPSC 24-104; Consumers should immediately take the recalled bikes away from children, stop using them, and contact the firm for instructions on returning the bicycles for a full refund.
",,,
9,Wlmart.com,1/11/2024,XANDER BICYCLE CORPORATION,Retrospec,0081572502803,RETROSPEC SCOUT-1 BI,3365,$17.99 ,"CPSC 24-081; Consumers should immediately stop using the recalled helmets and contact Retrospec for a full refund. To receive a refund, consumers should destroy the helmet by cutting off the straps and mark the helmet with their initials and the date near the Retrospec logo on the right side of the helmet. Consumers should upload a photo of the helmet, showing the straps cut off, their initials, date, and Retrospec logo, to the recall registration page at https://retrospec.com/pages/retrospec-scout-recall to prove destruction, and then dispose of the recalled helmet.",,,
9,Wlmart.com,1/11/2024,XANDER BICYCLE CORPORATION,Retrospec,0081572502812,RETROSPEC SCOUT-1 BI,3154,$17.99 ,"CPSC 24-081; Consumers should immediately stop using the recalled helmets and contact Retrospec for a full refund. To receive a refund, consumers should destroy the helmet by cutting off the straps and mark the helmet with their initials and the date near the Retrospec logo on the right side of the helmet. Consumers should upload a photo of the helmet, showing the straps cut off, their initials, date, and Retrospec logo, to the recall registration page at https://retrospec.com/pages/retrospec-scout-recall to prove destruction, and then dispose of the recalled helmet.",,,
9,Wlmart.com,1/11/2024,XANDER BICYCLE CORPORATION,Retrospec,0081572502805,RETROSPEC SCOUT-1 BI,3147,$17.99 ,"CPSC 24-081; Consumers should immediately stop using the recalled helmets and contact Retrospec for a full refund. To receive a refund, consumers should destroy the helmet by cutting off the straps and mark the helmet with their initials and the date near the Retrospec logo on the right side of the helmet. Consumers should upload a photo of the helmet, showing the straps cut off, their initials, date, and Retrospec logo, to the recall registration page at https://retrospec.com/pages/retrospec-scout-recall to prove destruction, and then dispose of the recalled helmet.",,,
9,Wlmart.com,1/11/2024,XANDER BICYCLE CORPORATION,Retrospec,0081572502804,RETROSPEC SCOUT-1 BI,3146,$17.99 ,"CPSC 24-081; Consumers should immediately stop using the recalled helmets and contact Retrospec for a full refund. To receive a refund, consumers should destroy the helmet by cutting off the straps and mark the helmet with their initials and the date near the Retrospec logo on the right side of the helmet. Consumers should upload a photo of the helmet, showing the straps cut off, their initials, date, and Retrospec logo, to the recall registration page at https://retrospec.com/pages/retrospec-scout-recall to prove destruction, and then dispose of the recalled helmet.",,,
9,Wlmart.com,1/11/2024,XANDER BICYCLE CORPORATION,Retrospec,0081572502808,RETROSPEC SCOUT-1 BI,3150,$17.99 ,"CPSC 24-081; Consumers should immediately stop using the recalled helmets and contact Retrospec for a full refund. To receive a refund, consumers should destroy the helmet by cutting off the straps and mark the helmet with their initials and the date near the Retrospec logo on the right side of the helmet. Consumers should upload a photo of the helmet, showing the straps cut off, their initials, date, and Retrospec logo, to the recall registration page at https://retrospec.com/pages/retrospec-scout-recall to prove destruction, and then dispose of the recalled helmet.",,,
9,Wlmart.com,1/11/2024,XANDER BICYCLE CORPORATION,Retrospec,0081572502810,RETROSPEC SCOUT-1 BI,3152,$17.99 ,"CPSC 24-081; Consumers should immediately stop using the recalled helmets and contact Retrospec for a full refund. To receive a refund, consumers should destroy the helmet by cutting off the straps and mark the helmet with their initials and the date near the Retrospec logo on the right side of the helmet. Consumers should upload a photo of the helmet, showing the straps cut off, their initials, date, and Retrospec logo, to the recall registration page at https://retrospec.com/pages/retrospec-scout-recall to prove destruction, and then dispose of the recalled helmet.",,,
9,Wlmart.com,1/11/2024,XANDER BICYCLE CORPORATION,Retrospec,0081572502806,RETROSPEC SCOUT-1 BI,3148,$17.99 ,"CPSC 24-081; Consumers should immediately stop using the recalled helmets and contact Retrospec for a full refund. To receive a refund, consumers should destroy the helmet by cutting off the straps and mark the helmet with their initials and the date near the Retrospec logo on the right side of the helmet. Consumers should upload a photo of the helmet, showing the straps cut off, their initials, date, and Retrospec logo, to the recall registration page at https://retrospec.com/pages/retrospec-scout-recall to prove destruction, and then dispose of the recalled helmet.",,,
9,Wlmart.com,1/11/2024,XANDER BICYCLE CORPORATION,Retrospec,0081572502813,RETROSPEC SCOUT-1 BI,3155,$17.99 ,"CPSC 24-081; Consumers should immediately stop using the recalled helmets and contact Retrospec for a full refund. To receive a refund, consumers should destroy the helmet by cutting off the straps and mark the helmet with their initials and the date near the Retrospec logo on the right side of the helmet. Consumers should upload a photo of the helmet, showing the straps cut off, their initials, date, and Retrospec logo, to the recall registration page at https://retrospec.com/pages/retrospec-scout-recall to prove destruction, and then dispose of the recalled helmet.",,,
9,Wlmart.com,1/11/2024,XANDER BICYCLE CORPORATION,Retrospec,0081572502809,RETROSPEC SCOUT-1 BI,3151,$17.99 ,"CPSC 24-081; Consumers should immediately stop using the recalled helmets and contact Retrospec for a full refund. To receive a refund, consumers should destroy the helmet by cutting off the straps and mark the helmet with their initials and the date near the Retrospec logo on the right side of the helmet. Consumers should upload a photo of the helmet, showing the straps cut off, their initials, date, and Retrospec logo, to the recall registration page at https://retrospec.com/pages/retrospec-scout-recall to prove destruction, and then dispose of the recalled helmet.",,,
9,Wlmart.com,1/11/2024,XANDER BICYCLE CORPORATION,Retrospec,0081572502807,RETROSPEC SCOUT-1 BI,3149,$17.99 ,"CPSC 24-081; Consumers should immediately stop using the recalled helmets and contact Retrospec for a full refund. To receive a refund, consumers should destroy the helmet by cutting off the straps and mark the helmet with their initials and the date near the Retrospec logo on the right side of the helmet. Consumers should upload a photo of the helmet, showing the straps cut off, their initials, date, and Retrospec logo, to the recall registration page at https://retrospec.com/pages/retrospec-scout-recall to prove destruction, and then dispose of the recalled helmet.",,,
9,Wlmart.com,1/11/2024,XANDER BICYCLE CORPORATION,Retrospec,0081572502814,RETROSPEC SCOUT-1 BI,3156,$17.99 ,"CPSC 24-081; Consumers should immediately stop using the recalled helmets and contact Retrospec for a full refund. To receive a refund, consumers should destroy the helmet by cutting off the straps and mark the helmet with their initials and the date near the Retrospec logo on the right side of the helmet. Consumers should upload a photo of the helmet, showing the straps cut off, their initials, date, and Retrospec logo, to the recall registration page at https://retrospec.com/pages/retrospec-scout-recall to prove destruction, and then dispose of the recalled helmet.",,,
9,Wlmart.com,1/11/2024,XANDER BICYCLE CORPORATION,Retrospec,0081572502811,RETROSPEC SCOUT-1 BI,3153,$17.99 ,"CPSC 24-081; Consumers should immediately stop using the recalled helmets and contact Retrospec for a full refund. To receive a refund, consumers should destroy the helmet by cutting off the straps and mark the helmet with their initials and the date near the Retrospec logo on the right side of the helmet. Consumers should upload a photo of the helmet, showing the straps cut off, their initials, date, and Retrospec logo, to the recall registration page at https://retrospec.com/pages/retrospec-scout-recall to prove destruction, and then dispose of the recalled helmet.",,,
9,Wlmart.com,1/11/2024,XANDER BICYCLE CORPORATION,Retrospec,0081572502843,RETROSPEC SCOUT-1 BI,3185,$22.99 ,"CPSC 24-081; Consumers should immediately stop using the recalled helmets and contact Retrospec for a full refund. To receive a refund, consumers should destroy the helmet by cutting off the straps and mark the helmet with their initials and the date near the Retrospec logo on the right side of the helmet. Consumers should upload a photo of the helmet, showing the straps cut off, their initials, date, and Retrospec logo, to the recall registration page at https://retrospec.com/pages/retrospec-scout-recall to prove destruction, and then dispose of the recalled helmet.",,,
9,Wlmart.com,1/11/2024,XANDER BICYCLE CORPORATION,Retrospec,0081572502842,RETROSPEC SCOUT-1 BI,3184,$22.99 ,"CPSC 24-081; Consumers should immediately stop using the recalled helmets and contact Retrospec for a full refund. To receive a refund, consumers should destroy the helmet by cutting off the straps and mark the helmet with their initials and the date near the Retrospec logo on the right side of the helmet. Consumers should upload a photo of the helmet, showing the straps cut off, their initials, date, and Retrospec logo, to the recall registration page at https://retrospec.com/pages/retrospec-scout-recall to prove destruction, and then dispose of the recalled helmet.",,,
40,Walmart/Walmart.com,1/5/2024,OMEDICS USA LLC,Homedics massager,3126209966,"Homedics Active Fit Therapist Select Percussion Cordless Massager, Portable, Rechargeable, Black",HHP-715,"99.98 
",CPSC 24-076; refund,,,
14,Walmart/Walmart.com,12/28/2023,Blendjet Inc,Blendjet 2 Portable Blender,81005364002,"BLENDJET TWO, THE OR",BJ2lavender,49.95,"CPSC 24-069; Consumers should immediately stop using the recalled blenders and contact BlendJet for a free replacement of the BlendJet 2 base unit. Consumers will need to remove and cut the rubber seal from the base of their recalled blender into three or more pieces and upload or email a photo showing the serial number on the bottom of the unit and its rubber seal in pieces to BlendJet at www.blendjet.com/safetyandrecall or safety@blendjet.com to receive a free replacement base.  Consumers can identify whether they have a recalled unit by entering the serial number of their unit into the “Is my BlendJet 2 Recalled?” tool located at  www.blendjet.com/safetyandrecall, or by calling BlendJet toll-free number at 844-334-0562.",,,
14,Walmart/Walmart.com,12/28/2023,Blendjet Inc,Blendjet 2 Portable Blender,81005364098,"BLENDJET 2, LAVENDER",20OZBJ2LAV,44.88,"CPSC 24-069; Consumers should immediately stop using the recalled blenders and contact BlendJet for a free replacement of the BlendJet 2 base unit. Consumers will need to remove and cut the rubber seal from the base of their recalled blender into three or more pieces and upload or email a photo showing the serial number on the bottom of the unit and its rubber seal in pieces to BlendJet at www.blendjet.com/safetyandrecall or safety@blendjet.com to receive a free replacement base.  Consumers can identify whether they have a recalled unit by entering the serial number of their unit into the “Is my BlendJet 2 Recalled?” tool located at  www.blendjet.com/safetyandrecall, or by calling BlendJet toll-free number at 844-334-0562.",,,
14,Walmart/Walmart.com,12/28/2023,Blendjet Inc,Blendjet 2 Portable Blender,81005364096,BLENDJET2 BLACK 20OZ,20ozBJ2black,44.88,"CPSC 24-069; Consumers should immediately stop using the recalled blenders and contact BlendJet for a free replacement of the BlendJet 2 base unit. Consumers will need to remove and cut the rubber seal from the base of their recalled blender into three or more pieces and upload or email a photo showing the serial number on the bottom of the unit and its rubber seal in pieces to BlendJet at www.blendjet.com/safetyandrecall or safety@blendjet.com to receive a free replacement base.  Consumers can identify whether they have a recalled unit by entering the serial number of their unit into the “Is my BlendJet 2 Recalled?” tool located at  www.blendjet.com/safetyandrecall, or by calling BlendJet toll-free number at 844-334-0562.",,,
14,Walmart/Walmart.com,12/28/2023,Blendjet Inc,Blendjet 2 Portable Blender,81005364097,BLENDJET2 MINT 20OZ,20ozBJ2mint,44.88,"CPSC 24-069; Consumers should immediately stop using the recalled blenders and contact BlendJet for a free replacement of the BlendJet 2 base unit. Consumers will need to remove and cut the rubber seal from the base of their recalled blender into three or more pieces and upload or email a photo showing the serial number on the bottom of the unit and its rubber seal in pieces to BlendJet at www.blendjet.com/safetyandrecall or safety@blendjet.com to receive a free replacement base.  Consumers can identify whether they have a recalled unit by entering the serial number of their unit into the “Is my BlendJet 2 Recalled?” tool located at  www.blendjet.com/safetyandrecall, or by calling BlendJet toll-free number at 844-334-0562.",,,
