Store Number,Current Delivery,Current MP Delivery Window,Updated Delivery,Updated MP Delivery Window,Comments
2210,Same Day Delivery,16:00:00-22:00:00,Next Day Delivery,16:00:00-22:00:00,"Your store will not receive an MP delivery on July 29, 2025. To support this transition, your grocery DC will ship larger MP deliveries in advance."
2405,Same Day Delivery,14:00:00-21:00:00,Next Day Delivery,16:00:00-21:00:00,"Your store will not receive an MP delivery on July 29, 2025. To support this transition, your grocery DC will ship larger MP deliveries in advance."
1895,Same Day Delivery,09:00:00-23:59:00,Same Day Delivery,09:00:00-23:59:00,
1857,Same Day Delivery,09:00:00-23:59:00,Same Day Delivery,09:00:00-23:59:00,
2008,Same Day Delivery,09:00:00-23:59:00,Same Day Delivery,09:00:00-23:59:00,
2361,Same Day Delivery,18:00:00-06:00:00,Same Day Delivery,16:00:00-04:00:00,
5040,Same Day Delivery,18:00:00-06:00:00,Same Day Delivery,16:00:00-04:00:00,
2833,Same Day Delivery,18:00:00-07:00:00,Same Day Delivery,16:00:00-04:00:00,
5360,Same Day Delivery,18:00:00-07:00:00,Same Day Delivery,16:00:00-04:00:00,
4372,Same Day Delivery,18:00:00-07:00:00,Same Day Delivery,16:00:00-04:00:00,
1724,Same Day Delivery,18:00:00-06:00:00,Same Day Delivery,16:00:00-04:00:00,
1653,Same Day Delivery,18:00:00-07:00:00,Same Day Delivery,16:00:00-04:00:00,
5379,Same Day Delivery,14:00:00-04:00:00,Same Day Delivery,16:00:00-04:00:00,
5446,Same Day Delivery,18:00:00-06:00:00,Same Day Delivery,16:00:00-04:00:00,
2674,Same Day Delivery,18:00:00-06:00:00,Same Day Delivery,16:00:00-04:00:00,
2684,Same Day Delivery,18:00:00-06:00:00,Same Day Delivery,16:00:00-04:00:00,
2809,Same Day Delivery,18:00:00-06:00:00,Same Day Delivery,16:00:00-04:00:00,
5088,Same Day Delivery,18:00:00-06:00:00,Same Day Delivery,16:00:00-04:00:00,
5387,Same Day Delivery,18:00:00-06:00:00,Same Day Delivery,16:00:00-04:00:00,
2852,Same Day Delivery,18:00:00-06:00:00,Same Day Delivery,16:00:00-04:00:00,
4643,Same Day Delivery,18:00:00-07:00:00,Same Day Delivery,16:00:00-04:00:00,
4501,Same Day Delivery,18:00:00-07:00:00,Same Day Delivery,16:00:00-04:00:00,
1948,Same Day Delivery,18:00:00-06:00:00,Same Day Delivery,16:00:00-04:00:00,
2199,Same Day Delivery,18:00:00-06:00:00,Same Day Delivery,16:00:00-04:00:00,
1937,Same Day Delivery,18:00:00-06:00:00,Same Day Delivery,16:00:00-04:00:00,
2506,Same Day Delivery,18:00:00-06:00:00,Same Day Delivery,16:00:00-04:00:00,
2193,Same Day Delivery,18:00:00-06:00:00,Same Day Delivery,16:00:00-04:00:00,
1522,Same Day Delivery,18:00:00-06:00:00,Same Day Delivery,16:00:00-04:00:00,
1707,Same Day Delivery,18:00:00-06:00:00,Same Day Delivery,16:00:00-04:00:00,
3250,Same Day Delivery,18:00:00-06:00:00,Same Day Delivery,16:00:00-04:00:00,
2083,Same Day Delivery,18:00:00-06:00:00,Same Day Delivery,16:00:00-04:00:00,
2313,Same Day Delivery,18:00:00-06:00:00,Same Day Delivery,16:00:00-04:00:00,
2540,Same Day Delivery,14:00:00-04:00:00,Same Day Delivery,16:00:00-04:00:00,
2541,Same Day Delivery,18:00:00-06:00:00,Same Day Delivery,16:00:00-04:00:00,
1820,Same Day Delivery,18:00:00-06:00:00,Same Day Delivery,16:00:00-04:00:00,
3262,Same Day Delivery,18:00:00-06:00:00,Same Day Delivery,16:00:00-04:00:00,
1927,Same Day Delivery,18:00:00-06:00:00,Same Day Delivery,16:00:00-04:00:00,
1544,Same Day Delivery,18:00:00-06:00:00,Same Day Delivery,16:00:00-04:00:00,
3293,Same Day Delivery,18:00:00-05:00:00,Same Day Delivery,16:00:00-04:00:00,
2597,Same Day Delivery,18:00:00-06:00:00,Same Day Delivery,16:00:00-04:00:00,
2910,Same Day Delivery,18:00:00-06:00:00,Same Day Delivery,16:00:00-04:00:00,
3215,Same Day Delivery,18:00:00-06:00:00,Same Day Delivery,16:00:00-04:00:00,
2611,Same Day Delivery,14:00:00-04:00:00,Same Day Delivery,16:00:00-04:00:00,
3738,Same Day Delivery,18:00:00-06:00:00,Same Day Delivery,16:00:00-04:00:00,
1863,Same Day Delivery,18:00:00-06:00:00,Same Day Delivery,16:00:00-04:00:00,
3860,Same Day Delivery,18:00:00-06:00:00,Same Day Delivery,16:00:00-04:00:00,
1656,Same Day Delivery,18:00:00-06:00:00,Same Day Delivery,16:00:00-04:00:00,
1883,Same Day Delivery,18:00:00-06:00:00,Same Day Delivery,16:00:00-04:00:00,
5241,Same Day Delivery,18:00:00-04:00:00,Same Day Delivery,16:00:00-04:00:00,
5285,Same Day Delivery,18:00:00-06:00:00,Same Day Delivery,16:00:00-04:00:00,
2603,Same Day Delivery,09:00:00-20:00:00,Same Day Delivery,09:00:00-20:00:00,
3228,Same Day Delivery,18:00:00-06:00:00,Same Day Delivery,16:00:00-04:00:00,
3608,Same Day Delivery,18:00:00-06:00:00,Same Day Delivery,16:00:00-04:00:00,
1714,Same Day Delivery,18:00:00-06:00:00,Same Day Delivery,16:00:00-04:00:00,
2211,Same Day Delivery,18:00:00-06:00:00,Same Day Delivery,16:00:00-04:00:00,
1568,Same Day Delivery,18:00:00-06:00:00,Same Day Delivery,16:00:00-04:00:00,
3722,Same Day Delivery,18:00:00-06:00:00,Same Day Delivery,16:00:00-04:00:00,
2287,Same Day Delivery,18:00:00-06:00:00,Same Day Delivery,16:00:00-04:00:00,
2502,Same Day Delivery,14:00:00-04:00:00,Same Day Delivery,16:00:00-04:00:00,
3223,Same Day Delivery,18:00:00-06:00:00,Same Day Delivery,16:00:00-04:00:00,
2063,Same Day Delivery,18:00:00-06:00:00,Same Day Delivery,16:00:00-04:00:00,
3838,Same Day Delivery,18:00:00-04:00:00,Same Day Delivery,16:00:00-04:00:00,
4644,Same Day Delivery,18:00:00-06:00:00,Same Day Delivery,16:00:00-04:00:00,
1911,Same Day Delivery,18:00:00-06:00:00,Same Day Delivery,16:00:00-04:00:00,
2323,Same Day Delivery,18:00:00-06:00:00,Same Day Delivery,16:00:00-04:00:00,
2197,Same Day Delivery,18:00:00-06:00:00,Same Day Delivery,16:00:00-04:00:00,
2316,Same Day Delivery,18:00:00-06:00:00,Same Day Delivery,16:00:00-04:00:00,
5410,Same Day Delivery,18:00:00-06:00:00,Same Day Delivery,18:00:00-04:00:00,
2073,Same Day Delivery,18:00:00-06:00:00,Same Day Delivery,18:00:00-04:00:00,
2359,Same Day Delivery,18:00:00-06:00:00,Same Day Delivery,16:00:00-04:00:00,
2019,Same Day Delivery,18:00:00-04:00:00,Same Day Delivery,16:00:00-04:00:00,
2059,Same Day Delivery,18:00:00-06:00:00,Same Day Delivery,16:00:00-04:00:00,
4285,Same Day Delivery,18:00:00-02:00:00,Same Day Delivery,18:00:00-04:00:00,
2362,Same Day Delivery,18:00:00-06:00:00,Same Day Delivery,16:00:00-04:00:00,
2966,Same Day Delivery,18:00:00-04:00:00,Same Day Delivery,16:00:00-04:00:00,
2420,Same Day Delivery,18:00:00-06:00:00,Same Day Delivery,18:00:00-04:00:00,
2588,Same Day Delivery,18:00:00-04:00:00,Same Day Delivery,16:00:00-04:00:00,
2266,Same Day Delivery,18:00:00-04:00:00,Same Day Delivery,16:00:00-04:00:00,
5082,Same Day Delivery,18:00:00-06:00:00,Same Day Delivery,18:00:00-04:00:00,
2914,Same Day Delivery,18:00:00-06:00:00,Same Day Delivery,18:00:00-04:00:00,
1885,Same Day Delivery,18:00:00-04:00:00,Same Day Delivery,18:00:00-04:00:00,
2115,Same Day Delivery,18:00:00-06:00:00,Same Day Delivery,18:00:00-04:00:00,
2300,Same Day Delivery,18:00:00-04:00:00,Same Day Delivery,18:00:00-04:00:00,
1770,Same Day Delivery,18:00:00-04:00:00,Same Day Delivery,16:00:00-04:00:00,
1739,Same Day Delivery,18:00:00-04:00:00,Same Day Delivery,18:00:00-04:00:00,
2281,Same Day Delivery,18:00:00-04:00:00,Same Day Delivery,18:00:00-04:00:00,
