Club #,Training Date,Go Live Date,Link to Toolkit
4780,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
4781,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
4782,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
4783,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
4784,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
4785,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
4786,Completed,8/1/2022,https://one.walmart.com/content/sams_wire/en_us/work/operations/operations-resources/path-to-zero-waste/zero-de-pack-program.html
4787,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
4789,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
4790,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
4791,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
4794,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
4797,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
4798,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
4799,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
4801,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
4802,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
4804,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
4805,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
4808,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
4815,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
4816,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
4817,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
4818,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
4819,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
4820,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
4822,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
4824,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
4825,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
4828,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
4829,Completed,11/5/2023,https://one.walmart.com/content/sams_wire/en_us/work/operations/operations-resources/path-to-zero-waste/zero-de-pack-program-az.html
4830,Completed,11/5/2023,https://one.walmart.com/content/sams_wire/en_us/work/operations/operations-resources/path-to-zero-waste/zero-de-pack-program-az.html
4831,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
4836,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
4837,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
4839,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
4840,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
4843,1/8/2024,1/22/2024,https://one.walmart.com/content/sams_wire/en_us/work/operations/operations-resources/path-to-zero-waste/zero-de-pack-program.html
4846,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
4847,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
4850,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
4851,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
4852,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
4853,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
4855,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
4857,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
4859,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
4860,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
4861,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
4866,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
4870,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
4871,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
4872,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
4873,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
4874,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
4875,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
4876,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
4878,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
4879,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
4901,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
4905,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
4906,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
4908,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
4911,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
4914,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
4915,Completed,11/5/2023,https://one.walmart.com/content/sams_wire/en_us/work/operations/operations-resources/path-to-zero-waste/zero-de-pack-program-az.html
4917,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
4920,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
4925,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
4926,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
4930,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
4933,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
4936,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
4938,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
4939,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
4942,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
4944,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
4946,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
4947,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
4948,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
4950,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
4952,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
4955,Completed,11/5/2023,https://one.walmart.com/content/sams_wire/en_us/work/operations/operations-resources/path-to-zero-waste/zero-de-pack-program-az.html
4958,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
4961,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
4962,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
4963,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
4969,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
4972,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
4973,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
4974,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
4982,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
4983,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
4985,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
4987,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
4989,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
4990,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
4991,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
4992,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
4994,3/12/2024,3/18/2024,https://one.walmart.com/content/sams_wire/en_us/work/operations/operations-resources/path-to-zero-waste/zero-de-pack-program.html
4996,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
4998,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
4999,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
6181,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
6188,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
6189,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
6201,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
6202,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
6203,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
6204,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
6205,Completed,11/5/2023,https://one.walmart.com/content/sams_wire/en_us/work/operations/operations-resources/path-to-zero-waste/zero-de-pack-program-az.html
6212,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
6213,Completed,11/5/2023,https://one.walmart.com/content/sams_wire/en_us/work/operations/operations-resources/path-to-zero-waste/zero-de-pack-program-az.html
6216,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
6217,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
6218,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
6219,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
6220,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
6225,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
6228,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
6235,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
6236,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
6238,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
6239,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
6240,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
6242,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
6244,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
6245,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
6246,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
6247,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
6249,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
6251,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
6252,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
6254,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
6255,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
6256,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
6257,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
6259,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
6260,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
6261,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
6262,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
6265,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
6267,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
6269,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
6270,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
6275,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
6302,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
6304,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
6305,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
6307,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
6308,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
6309,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
6310,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
6311,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
6312,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
6313,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
6314,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
6315,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
6317,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
6319,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
6320,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
6321,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
6322,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
6324,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
6325,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
6326,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
6327,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
6328,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
6329,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
6330,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
6331,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
6332,1/18/2024,1/29/2024,https://one.walmart.com/content/sams_wire/en_us/work/operations/operations-resources/path-to-zero-waste/zero-de-pack-program.html
6333,Completed,6/1/2022,https://one.walmart.com/content/sams_wire/en_us/work/operations/operations-resources/path-to-zero-waste/zero-de-pack-program.html
6334,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
6335,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
6336,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
6338,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
6339,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
6341,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
6342,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
6343,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
6344,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
6345,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
6347,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
6348,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
6349,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
6350,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
6351,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
6352,Completed,10/1/2023,https://one.walmart.com/content/sams_wire/en_us/work/operations/operations-resources/path-to-zero-waste/zero-de-pack-program.html
6353,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
6354,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
6355,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
6356,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
6357,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
6358,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
6359,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
6360,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
6361,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
6363,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
6364,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
6365,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
6366,N/A,"No planned date at this time. Please proceed with regular Bone Barrel & Organics program and check back at a later time, since this might change.",N/A
6367,1/8/2024,1/22/2024,https://one.walmart.com/content/sams_wire/en_us/work/operations/operations-resources/path-to-zero-waste/zero-de-pack-program.html
