Primary Key,BU2,Region,Market,Store,Monthly Procedure Review,Monthly Equipment  Completion,Weekly Compliance  Usage,Weekly Operational  Usage
26,EAST,26,302,1355,100%,100%,25%,25%
26,EAST,26,302,3701,100%,100%,75%,75%
26,EAST,26,302,7009,100%,100%,75%,100%
26,EAST,26,302,7179,100%,100%,100%,100%
,,,302 Total,,100%,100%,69%,75%
26,EAST,26,308,1322,100%,100%,75%,75%
26,EAST,26,308,1552,100%,100%,100%,100%
26,EAST,26,308,1849,100%,0%,75%,75%
26,EAST,26,308,2472,0%,100%,25%,25%
26,EAST,26,308,2793,100%,100%,25%,0%
26,EAST,26,308,3503,100%,100%,100%,100%
26,EAST,26,308,3626,100%,100%,25%,25%
26,EAST,26,308,6789,100%,100%,100%,100%
,,,308 Total,,88%,88%,66%,63%
26,EAST,26,309,877,100%,100%,100%,100%
26,EAST,26,309,1010,0%,100%,50%,50%
26,EAST,26,309,1097,100%,100%,75%,75%
26,EAST,26,309,1133,100%,100%,100%,100%
26,EAST,26,309,1255,100%,100%,100%,100%
26,EAST,26,309,3700,100%,100%,100%,100%
26,EAST,26,309,5063,0%,0%,75%,50%
,,,309 Total,,71%,86%,86%,82%
26,EAST,26,310,1155,100%,100%,100%,100%
26,EAST,26,310,1238,100%,100%,50%,50%
26,EAST,26,310,1261,100%,100%,100%,100%
26,EAST,26,310,1312,100%,100%,75%,100%
26,EAST,26,310,2929,0%,100%,25%,0%
26,EAST,26,310,3595,100%,100%,100%,100%
26,EAST,26,310,5489,100%,100%,100%,50%
26,EAST,26,310,6879,100%,100%,100%,25%
26,EAST,26,310,6958,100%,100%,100%,100%
,,,310 Total,,89%,100%,83%,69%
26 Total,,26 Total,,,88%,95%,77%,73%
75,EAST,75,280,1674,0%,100%,75%,75%
75,EAST,75,280,2027,100%,100%,100%,100%
75,EAST,75,280,2233,0%,0%,75%,75%
75,EAST,75,280,2551,100%,100%,100%,100%
75,EAST,75,280,2756,100%,100%,100%,50%
75,EAST,75,280,2894,100%,100%,100%,100%
,,,280 Total,,67%,83%,92%,83%
75,EAST,75,282,1875,100%,100%,75%,50%
75,EAST,75,282,2435,100%,100%,100%,100%
75,EAST,75,282,3481,100%,100%,100%,100%
75,EAST,75,282,3490,0%,0%,100%,100%
,,,282 Total,,75%,75%,94%,88%
75,EAST,75,283,2194,100%,100%,100%,100%
75,EAST,75,283,2357,100%,100%,100%,100%
,,,283 Total,,100%,100%,100%,100%
75,EAST,75,284,1741,0%,0%,25%,0%
75,EAST,75,284,1860,100%,100%,75%,75%
75,EAST,75,284,2555,0%,0%,0%,0%
75,EAST,75,284,5039,100%,100%,100%,100%
75,EAST,75,284,5384,100%,100%,100%,100%
75,EAST,75,284,5450,100%,100%,100%,100%
,,,284 Total,,67%,67%,67%,63%
75,EAST,75,285,1890,100%,100%,100%,100%
75,EAST,75,285,2460,100%,100%,100%,100%
75,EAST,75,285,2514,0%,100%,75%,75%
75,EAST,75,285,2931,100%,100%,100%,100%
,,,285 Total,,75%,100%,94%,94%
75,EAST,75,286,1406,100%,100%,100%,100%
75,EAST,75,286,2437,100%,100%,100%,100%
75,EAST,75,286,3344,100%,100%,100%,100%
75,EAST,75,286,5105,100%,100%,75%,75%
75,EAST,75,286,6952,100%,100%,100%,100%
,,,286 Total,,100%,100%,95%,95%
75,EAST,75,287,1525,100%,100%,100%,100%
75,EAST,75,287,2295,100%,0%,75%,75%
75,EAST,75,287,7032,100%,100%,100%,100%
,,,287 Total,,100%,67%,92%,92%
75,EAST,75,288,1682,100%,100%,100%,100%
75,EAST,75,288,1759,100%,100%,100%,100%
75,EAST,75,288,1811,100%,100%,100%,100%
75,EAST,75,288,3219,100%,0%,75%,75%
75,EAST,75,288,3265,100%,100%,100%,100%
75,EAST,75,288,3831,100%,100%,100%,100%
75,EAST,75,288,5488,100%,100%,100%,100%
,,,288 Total,,100%,86%,96%,96%
75,EAST,75,289,3214,100%,100%,100%,100%
75,EAST,75,289,3216,100%,100%,100%,100%
75,EAST,75,289,5253,100%,100%,100%,100%
75,EAST,75,289,5922,100%,100%,100%,100%
,,,289 Total,,100%,100%,100%,100%
75,EAST,75,290,1424,100%,100%,100%,100%
75,EAST,75,290,2160,100%,100%,75%,75%
75,EAST,75,290,2808,0%,0%,75%,100%
75,EAST,75,290,2821,100%,100%,75%,75%
,,,290 Total,,75%,75%,81%,88%
75,EAST,75,291,1833,100%,100%,100%,100%
75,EAST,75,291,2136,100%,100%,100%,100%
75,EAST,75,291,2438,100%,100%,100%,100%
75,EAST,75,291,2520,100%,100%,100%,100%
75,EAST,75,291,5343,0%,100%,75%,75%
,,,291 Total,,80%,100%,95%,95%
75,EAST,75,292,1904,0%,100%,50%,25%
75,EAST,75,292,2038,100%,100%,100%,100%
,,,292 Total,,50%,100%,75%,63%
75,EAST,75,293,2436,100%,100%,50%,50%
75,EAST,75,293,2850,100%,100%,100%,100%
75,EAST,75,293,3720,100%,100%,50%,50%
,,,293 Total,,100%,100%,67%,67%
75,EAST,75,312,1243,100%,100%,75%,75%
75,EAST,75,312,1292,100%,100%,100%,50%
75,EAST,75,312,1652,100%,100%,100%,100%
75,EAST,75,312,2312,100%,100%,100%,100%
75,EAST,75,312,2337,100%,100%,100%,100%
75,EAST,75,312,2762,100%,100%,100%,100%
75,EAST,75,312,3243,100%,100%,100%,100%
,,,312 Total,,100%,100%,96%,89%
75,EAST,75,314,1465,100%,100%,50%,25%
75,EAST,75,314,1486,100%,100%,100%,100%
75,EAST,75,314,1934,100%,100%,100%,100%
75,EAST,75,314,2705,100%,100%,100%,100%
75,EAST,75,314,3768,100%,100%,100%,100%
,,,314 Total,,100%,100%,90%,85%
75,EAST,75,315,1344,100%,100%,100%,100%
75,EAST,75,315,1399,100%,100%,100%,100%
75,EAST,75,315,1726,100%,100%,100%,100%
75,EAST,75,315,2565,100%,100%,100%,100%
75,EAST,75,315,2807,100%,100%,100%,100%
75,EAST,75,315,4682,100%,100%,100%,100%
75,EAST,75,315,5117,100%,100%,100%,100%
,,,315 Total,,100%,100%,100%,100%
75,EAST,75,320,1544,0%,100%,100%,100%
75,EAST,75,320,2083,100%,100%,100%,100%
75,EAST,75,320,2474,100%,100%,100%,100%
75,EAST,75,320,2809,100%,100%,100%,100%
75,EAST,75,320,3215,100%,100%,75%,75%
75,EAST,75,320,4372,100%,100%,100%,100%
,,,320 Total,,83%,100%,96%,96%
75,EAST,75,508,1981,100%,100%,75%,75%
75,EAST,75,508,2799,100%,100%,100%,75%
75,EAST,75,508,2853,100%,0%,75%,50%
75,EAST,75,508,5129,100%,100%,100%,100%
,,,508 Total,,100%,75%,88%,75%
75 Total,,75 Total,,,88%,90%,91%,88%
,EAST Total,,,,88%,92%,85%,83%
19,NORTH,19,197,2631,100%,100%,50%,0%
19,NORTH,19,197,2872,100%,100%,100%,100%
19,NORTH,19,197,2912,100%,100%,50%,50%
19,NORTH,19,197,3336,100%,100%,100%,100%
,,,197 Total,,100%,100%,75%,63%
19,NORTH,19,200,1791,100%,100%,100%,100%
19,NORTH,19,200,1923,0%,0%,0%,0%
19,NORTH,19,200,1942,100%,100%,100%,100%
19,NORTH,19,200,2102,100%,100%,100%,100%
19,NORTH,19,200,2238,100%,100%,100%,100%
19,NORTH,19,200,2567,100%,100%,100%,100%
19,NORTH,19,200,3328,100%,100%,100%,100%
19,NORTH,19,200,3458,100%,100%,50%,75%
19,NORTH,19,200,3876,100%,100%,75%,100%
19,NORTH,19,200,5386,100%,100%,100%,100%
,,,200 Total,,90%,90%,83%,88%
19,NORTH,19,201,1540,100%,100%,100%,100%
19,NORTH,19,201,2010,100%,100%,100%,100%
19,NORTH,19,201,2061,100%,100%,75%,75%
19,NORTH,19,201,2062,100%,100%,75%,75%
19,NORTH,19,201,2680,100%,100%,100%,100%
19,NORTH,19,201,3436,0%,100%,100%,100%
19,NORTH,19,201,5064,0%,100%,25%,25%
19,NORTH,19,201,5065,0%,100%,25%,25%
19,NORTH,19,201,5280,100%,100%,100%,100%
,,,201 Total,,67%,100%,78%,78%
19,NORTH,19,202,1593,100%,100%,100%,100%
19,NORTH,19,202,1642,100%,100%,100%,100%
19,NORTH,19,202,1771,100%,100%,75%,75%
19,NORTH,19,202,1809,100%,100%,75%,75%
19,NORTH,19,202,1836,100%,100%,100%,100%
19,NORTH,19,202,2080,100%,100%,75%,75%
19,NORTH,19,202,3791,100%,100%,75%,75%
19,NORTH,19,202,5411,100%,100%,100%,100%
,,,202 Total,,100%,100%,88%,88%
19,NORTH,19,203,1423,100%,100%,100%,100%
19,NORTH,19,203,1733,100%,100%,100%,100%
19,NORTH,19,203,2618,100%,100%,75%,75%
19,NORTH,19,203,2866,100%,100%,100%,100%
19,NORTH,19,203,2867,100%,100%,100%,100%
19,NORTH,19,203,2869,100%,100%,100%,100%
19,NORTH,19,203,4540,100%,100%,100%,75%
19,NORTH,19,203,5048,100%,100%,100%,75%
,,,203 Total,,100%,100%,97%,91%
19,NORTH,19,204,1428,100%,100%,75%,75%
19,NORTH,19,204,1432,100%,100%,100%,100%
19,NORTH,19,204,1719,0%,100%,100%,100%
19,NORTH,19,204,2014,100%,100%,100%,100%
19,NORTH,19,204,2619,100%,100%,100%,100%
19,NORTH,19,204,2644,100%,100%,75%,75%
19,NORTH,19,204,5097,100%,100%,100%,100%
19,NORTH,19,204,5159,100%,100%,100%,100%
19,NORTH,19,204,5376,100%,100%,100%,100%
,,,204 Total,,89%,100%,94%,94%
19,NORTH,19,205,1592,100%,100%,100%,100%
19,NORTH,19,205,1611,100%,100%,100%,100%
19,NORTH,19,205,1798,100%,0%,75%,100%
19,NORTH,19,205,1928,100%,100%,75%,75%
19,NORTH,19,205,1987,100%,100%,75%,75%
19,NORTH,19,205,2273,100%,100%,100%,100%
19,NORTH,19,205,2354,100%,0%,100%,100%
19,NORTH,19,205,3632,100%,100%,100%,100%
19,NORTH,19,205,3726,100%,100%,100%,100%
19,NORTH,19,205,4243,100%,100%,100%,75%
,,,205 Total,,100%,80%,93%,93%
19,NORTH,19,206,2558,100%,100%,100%,100%
19,NORTH,19,206,2559,100%,100%,50%,50%
19,NORTH,19,206,2692,100%,100%,100%,100%
19,NORTH,19,206,3487,100%,100%,75%,75%
19,NORTH,19,206,4424,100%,100%,100%,100%
,,,206 Total,,100%,100%,85%,85%
19,NORTH,19,207,1416,100%,100%,100%,100%
19,NORTH,19,207,1913,0%,0%,100%,25%
19,NORTH,19,207,2191,100%,100%,100%,100%
19,NORTH,19,207,2350,100%,100%,100%,100%
19,NORTH,19,207,3445,100%,100%,100%,100%
19,NORTH,19,207,5028,0%,0%,25%,0%
19,NORTH,19,207,5029,100%,100%,75%,75%
19,NORTH,19,207,5030,100%,100%,100%,100%
19,NORTH,19,207,5385,100%,100%,100%,100%
,,,207 Total,,78%,78%,89%,78%
19,NORTH,19,213,1429,100%,100%,75%,75%
19,NORTH,19,213,1445,100%,100%,100%,100%
19,NORTH,19,213,1448,100%,100%,100%,50%
19,NORTH,19,213,1539,0%,0%,0%,0%
19,NORTH,19,213,1622,100%,100%,75%,75%
19,NORTH,19,213,1628,100%,100%,100%,100%
19,NORTH,19,213,1986,100%,100%,100%,100%
19,NORTH,19,213,3809,100%,100%,100%,100%
19,NORTH,19,213,5309,0%,100%,75%,25%
19,NORTH,19,213,5471,100%,100%,100%,100%
,,,213 Total,,80%,90%,83%,73%
