Store Nbr,City,State,Return or Store Inventory?,Quantity,Date (Only for Customer Returns),Item Nbr (Only for Customer Returns),UPC (Only for Customer Returns)
648,SAINT PETERS,MO,Customer Return,1 ,2021/11/04,585999818,84140411425
660,MUSCLE SHOALS,AL,Customer Return,1,2021/11/15,586854222,84140411423
681,GUNTERSVILLE,AL,Customer Return,1 ,2021/11/05,585996969,84140411423
681,GUNTERSVILLE,AL,Customer Return,1,2021/11/06,585998716,84140411421
715,TUSCALOOSA,AL,Customer Return,1,2021/11/21,585996969,84140411423
753,CEDAR FALLS,IA,Customer Return,1,2021/11/21,585999818,84140411425
775,GALESBURG,IL,Customer Return,1,2021/11/09,585996970,84140411422
793,CANYON,TX,Customer Return,1,2021/10/26,585996970,84140411422
793,CANYON,TX,Customer Return,1,2021/10/26,586001512,84140411424
794,HUTCHINSON,KS,Customer Return,1 ,2021/11/05,585996969,84140411423
794,HUTCHINSON,KS,Customer Return,1,2021/11/24,585996970,84140411422
809,OXFORD,AL,Customer Return,1,2021/11/06,586001512,84140411424
810,MASON CITY,IA,Customer Return,1,2021/11/02,585999818,84140411425
810,MASON CITY,IA,Customer Return,1,2021/11/11,585999818,84140411425
810,MASON CITY,IA,Customer Return,1,2021/11/12,585999818,84140411425
812,DUMAS,TX,Customer Return,1,2021/10/30,585998716,84140411421
812,DUMAS,TX,Customer Return,1,2021/10/30,586001512,84140411424
821,CLOVIS,NM,Customer Return,1,2021/11/11,585996970,84140411422
821,CLOVIS,NM,Customer Return,1,2021/11/14,585996970,84140411422
824,ALBUQUERQUE,NM,Customer Return,1,2021/11/02,585996970,84140411422
826,FARMINGTON,NM,Customer Return,1 ,2021/11/05,585999818,84140411425
826,FARMINGTON,NM,Customer Return,1,2021/11/08,585996970,84140411422
826,Farmington ,NM,Customer Return,1,2021/11/27,,84140411420
835,ALBUQUERQUE,NM,Customer Return,3,2021/10/25,585998716,84140411421
838,SAND SPRINGS,OK,Customer Return,1,2021/11/07,585996970,84140411422
838,SAND SPRINGS,OK,Customer Return,1,2021/11/07,586001512,84140411424
861,LUBBOCK,TX,Customer Return,1,2021/11/18,585998716,84140411421
866,MOBILE,AL,Customer Return,2,2021/11/28,585996968,84140411420
868,CARLSBAD,NM,Customer Return,1,2021/10/23,585996968,84140411420
892,ANKENY,IA,Customer Return,1,2021/11/16,585996968,84140411420
892,ANKENY,IA,Customer Return,1,2021/11/28,585998716,84140411421
894,TULSA,OK,Customer Return,1,2021/11/10,585998716,84140411421
894,TULSA,OK,Customer Return,1,2021/11/14,585996970,84140411422
896,GRAND PRAIRIE,TX,Customer Return,2,2021/11/21,585996970,84140411422
940,WESTWORTH VILLAGE,TX,Customer Return,1,2021/10/30,585999818,84140411425
941,VALRICO,FL,Customer Return,1,2021/12/02,,84140411424
943,CASSELBERRY,FL,Customer Return,1,2021/11/30,585996969,84140411423
945,LUBBOCK,TX,Customer Return,1,2021/11/08,585996968,84140411420
945,LUBBOCK,TX,Customer Return,1,2021/11/08,585999818,84140411425
947,SHERMAN,TX,Customer Return,1,2021/11/07,585999818,84140411425
947,SHERMAN,TX,Customer Return,1,2021/11/21,585999818,84140411425
972,LAKE WORTH,TX,Customer Return,1,2021/11/08,585996969,84140411423
972,LAKE WORTH,TX,Customer Return,1,2021/11/08,586001512,84140411424
975,DURANT,OK,Customer Return,1,2021/11/14,585996970,84140411422
993,MCPHERSON,KS,Customer Return,1,2021/11/01,585999818,84140411425
1012,Beaver Dam,WI,Customer Return,1,2021/11/27,,84140411420
1051,LEVELLAND,TX,Customer Return,1,2021/10/28,585996969,84140411423
1062,Friendswood,TX,Customer Return,1,2021/11/27,,84140411423
1072,TIFTON,GA,Customer Return,1,2021/11/18,586854224,84140411425
1082,JACKSONVILLE,FL,Customer Return,1,2021/11/12,585996968,84140411420
1097,ABERDEEN,NC,Customer Return,2,2021/11/02,585996968,84140411420
1161,SAINT CHARLES,MO,Customer Return,1,2021/11/09,585996968,84140411420
1161,SAINT CHARLES,MO,Customer Return,1,2021/11/09,585999818,84140411425
1168,COLUMBIA,MS,Customer Return,1,2021/11/30,585998716,84140411421
1188,BRIDGETON,MO,Customer Return,1,2021/11/11,585996969,84140411423
1214,COLBY,KS,Customer Return,1 ,2021/11/05,585996968,84140411420
1214,COLBY,KS,Customer Return,1 ,2021/11/05,586001512,84140411424
1214,COLBY,KS,Customer Return,1,2021/11/10,586001512,84140411424
1221,WICHITA,KS,Customer Return,1 ,2021/11/05,585999818,84140411425
1245,LAKELAND,FL,Customer Return,3,2021/11/30,585996969,84140411423
1263,EVANSVILLE,IN,Customer Return,1,2021/11/12,585996969,84140411423
1263,EVANSVILLE,IN,Customer Return,1,2021/11/16,585998716,84140411421
1264,BELLEFONTAINE,OH,Customer Return,1,2021/11/08,585996968,84140411420
1264,BELLEFONTAINE,OH,Customer Return,1,2021/11/09,585999818,84140411425
1280,GRAND JUNCTION,CO,Customer Return,1,2021/11/09,585996969,84140411423
1280,GRAND JUNCTION,CO,Customer Return,1,2021/11/15,585996970,84140411422
1280,GRAND JUNCTION,CO,Customer Return,1,2021/11/15,585998716,84140411421
1280,GRAND JUNCTION,CO,Customer Return,1,2021/11/15,585999818,84140411425
1280,GRAND JUNCTION,CO,Customer Return,1,2021/11/15,586001512,84140411424
1331,SIDNEY,OH,Customer Return,1,2021/11/07,585999818,84140411425
1331,SIDNEY,OH,Customer Return,1,2021/11/24,585996969,84140411423
1341,EVANSVILLE,IN,Customer Return,1 ,2021/11/05,585999818,84140411425
1341,EVANSVILLE,IN,Customer Return,1,2021/11/19,585996968,84140411420
1396,BARABOO,WI,Customer Return,1 ,2021/11/05,585996969,84140411423
1397,ALBUQUERQUE,NM,Customer Return,1,2021/11/14,586001512,84140411424
1447,SUPERIOR,WI,Customer Return,1,2021/11/07,585999818,84140411425
1447,SUPERIOR,WI,Customer Return,1,2021/11/08,585998716,84140411421
1447,SUPERIOR,WI,Customer Return,1,2021/11/15,585998716,84140411421
1447,SUPERIOR,WI,Customer Return,1,2021/11/15,586001512,84140411424
1447,SUPERIOR,WI,Customer Return,1,2021/11/21,585996968,84140411420
1454,QUINCY,IL,Customer Return,1,2021/11/02,585996969,84140411423
1454,QUINCY,IL,Customer Return,1,2021/11/09,586001512,84140411424
1462,GREENVILLE,AL,Customer Return,1,2021/10/30,585996968,84140411420
1462,GREENVILLE,AL,Customer Return,1,2021/10/30,585996969,84140411423
1463,XENIA,OH,Customer Return,1,2021/11/06,585999818,84140411425
1463,XENIA,OH,Customer Return,1,2021/11/17,585996969,84140411423
1494,CORPUS CHRISTI,TX,Customer Return,1,2021/10/27,585996968,84140411420
1504,Dayton,OH,Customer Return,1,2021/11/27,,84140411423
1568,HERMITAGE,PA,Customer Return,1,2021/11/03,585996969,84140411423
1568,HERMITAGE,PA,Customer Return,1,2021/11/07,585999818,84140411425
1626,OKLAHOMA CITY,OK,Customer Return,1,2021/11/10,585996969,84140411423
1626,OKLAHOMA CITY,OK,Customer Return,1,2021/11/11,586001512,84140411424
1690,DECATUR,IL,Customer Return,1 ,2021/11/04,585998716,84140411421
1755,ROHNERT PARK,CA,Customer Return,1 ,2021/10/31,585996969,84140411423
1799,PORTAGE,WI,Customer Return,1 ,2021/11/05,586001512,84140411424
1799,PORTAGE,WI,Customer Return,1,2021/11/12,585996970,84140411422
1857,MENTOR,OH,Customer Return,2,2021/10/30,585996968,84140411420
1936,SAULT SAINTE MARIE,MI,Customer Return,1,2021/11/08,585996968,84140411420
1936,SAULT SAINTE MARIE,MI,Customer Return,1,2021/11/08,585998716,84140411421
1936,SAULT SAINTE MARIE,MI,Customer Return,1,2021/11/08,586001512,84140411424
2021,RAYNHAM,MA,Customer Return,1,2021/11/10,585996968,84140411420
2102,LUDINGTON,MI,Customer Return,3,2021/11/15,585996969,84140411423
2387,BRANDON,FL,Customer Return,1,2021/11/13,585998716,84140411421
2490,ROELAND PARK,KS,Customer Return,1,2021/10/30,586001512,84140411424
2508,BOISE,ID,Customer Return,1,2021/10/26,585999818,84140411425
2508,BOISE,ID,Customer Return,1,2021/10/26,586001512,84140411424
2508,BOISE,ID,Customer Return,1,2021/10/25,585998716,84140411421
2508,BOISE,ID,Customer Return,1,2021/10/25,586001512,84140411424
2556,ARROYO GRANDE,CA,Customer Return,1,2021/11/06,585998716,84140411421
2575,CONWAY,AR,Customer Return,1,2021/10/29,585996968,84140411420
2583,UNIONDALE,NY,Customer Return,1,2021/11/10,585998716,84140411421
2594,LYNNWOOD,WA,Customer Return,1 ,2021/11/05,585996969,84140411423
2653,PORTALES,NM,Customer Return,1,2021/11/16,586001512,84140411424
2804,OKLAHOMA CITY,OK,Customer Return,1,2021/11/07,585999818,84140411425
2855,Shawnee,KS,Customer Return,1,2021/11/26,,84140411421
2856,OAK GROVE,MO,Customer Return,1,2021/10/26,585996968,84140411420
2867,LANSING,MI,Customer Return,1 ,2021/11/04,585996970,84140411422
2918,ALLEN,TX,Customer Return,1,2021/11/15,585998716,84140411421
2947,VANCOUVER,WA,Customer Return,1,2021/11/13,585998716,84140411421
3199,PLANO,TX,Customer Return,2,2021/10/30,585998716,84140411421
3283,WICHITA,KS,Customer Return,1,2021/11/06,585996970,84140411422
3381,SWEETWATER,TX,Customer Return,1,2021/11/02,586001512,84140411424
3428,FARMINGTON,NM,Customer Return,1,2021/11/02,585996968,84140411420
3431,HUDSON OAKS,TX,Customer Return,1,2021/11/11,585996968,84140411420
3515,HILLSBORO,OH,Customer Return,1,2021/11/02,585998716,84140411421
3595,FAYETTEVILLE,NC,Customer Return,1,2021/10/27,585998716,84140411421
3731,BERNALILLO,NM,Customer Return,1,2021/11/08,585996969,84140411423
3801,MARYSVILLE,WA,Customer Return,1,2021/11/10,585999818,84140411425
3826,LUBBOCK,TX,Customer Return,1,2021/11/09,585999818,84140411425
3826,LUBBOCK,TX,Customer Return,1,2021/11/24,586001512,84140411424
4165,FORT WORTH,TX,Customer Return,1,2021/11/13,585996969,84140411423
4187,FLORENCE,AL,Customer Return,1,2021/10/28,586001512,84140411424
4244,PARK RAPIDS,MN,Customer Return,1,2021/11/07,585998716,84140411421
4365,ORLANDO,FL,Customer Return,1,2021/11/09,586854226,84140411422
4475,OLATHE,KS,Customer Return,1,2021/11/08,585996970,84140411422
4588,ORLANDO,FL,Customer Return,2,2021/11/03,585996969,84140411423
5272,POULSBO,WA,Customer Return,1,2021/10/27,585996968,84140411420
5272,POULSBO,WA,Customer Return,1,2021/10/27,585998716,84140411421
5428,MESA,AZ,Customer Return,1,2021/11/24,585996968,84140411420
5428,MESA,AZ,Customer Return,1,2021/11/24,585996970,84140411422
5428,MESA,AZ,Customer Return,1,2021/11/24,586001512,84140411424
5927,FLORISSANT,MO,Customer Return,1 ,2021/10/31,585996968,84140411420
5927,FLORISSANT,MO,Customer Return,1 ,2021/11/05,586001512,84140411424
7246,COCHRAN,GA,Customer Return,1,2021/11/01,585998716,84140411421
7280,CULLMAN,AL,Customer Return,2,2021/10/28,585998716,84140411421
810,MASON CITY,IA,Customer Return,1,2021/12/04,585996968,84140411420
810,MASON CITY,IA,Customer Return,1,2021/12/04,585998716,84140411421
664,HAYS,KS,Customer Return,1,2021/12/03,585998716,84140411421
1215,CALHOUN,GA,Customer Return,1,2021/12/18,585996969,84140411423
1215,CALHOUN,GA,Customer Return,1,2021/12/18,586001512,84140411424
3392,BEDFORD,TX,Customer Return,1,2021/12/17,585996969,84140411423
1979,CLEARLAKE,CA,Customer Return,1,2021/12/16,586854223,84140411420
1458,FORT OGLETHORPE,GA,Customer Return,2,2021/12/14,586854226,84140411422
941,VALRICO,FL,Customer Return,1,2021/12/12,585996968,84140411420
1221,WICHITA,KS,Customer Return,1,2021/12/10,585996969,84140411423
1688,VIRGINIA BEACH,VA,Customer Return,1,2021/12/10,586854223,84140411420
1215,CALHOUN,GA,Customer Return,1,2021/12/09,585999818,84140411425
947,SHERMAN,TX,Customer Return,1,2021/12/30,585996970,84140411422
823,PONCA CITY,OK,Customer Return,1,2022/01/10,585998716,84140411421
664,HAYS,KS,Customer Return,1,2022/01/08,585999818,84140411425
2628,LEXINGTON,KY,Customer Return,1,2022/01/05,586001512,84140411424
2338,TRAVERSE CITY,MI,Customer Return,1,2022/01/04,585999818,84140411425
941,VALRICO,FL,Customer Return,1,2022/01/13,585998716,84140411421
1447,SUPERIOR,WI,Customer Return,2,2022/01/14,585996969,84140411423
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
