Store,City,ST,Tracking ID,Ship date,Status,Scheduled delivery date,Package Dimensions
96,HARRISONVILLE,MO,631453378911,4/6/2023,In transit,4/10/2023,16.4x8.4x0 IN
97,RIPLEY,TN,631453388820,4/6/2023,Arrived at FedEx location,4/10/2023,31.2x15x0 IN
98,BASTROP,LA,631453394951,4/6/2023,Please check back later for shipment status or subscribe for e-mail notifications,4/7/2023,0x0x0 IN
99,UNION,MO,631453378510,4/6/2023,In transit,4/10/2023,16.6x8.4x0 IN
100,BENTONVILLE,AR,631453381105,4/6/2023,In transit,4/10/2023,16.6x8.4x0 IN
101,ROLLA,MO,631453381962,4/6/2023,In transit,4/10/2023,16.2x8.2x0 IN
102,STUTTGART,AR,631453394414,4/6/2023,Please check back later for shipment status or subscribe for e-mail notifications,4/7/2023,0x0x0 IN
103,SHAWNEE,OK,631453393760,4/6/2023,Please check back later for shipment status or subscribe for e-mail notifications,4/7/2023,0x0x0 IN
104,MILAN,TN,631453387055,4/6/2023,Please check back later for shipment status or subscribe for e-mail notifications,4/10/2023,0x0x0 IN
105,CORINTH,MS,631453388831,4/6/2023,In transit,4/10/2023,31x14.6x0 IN
106,FULTON,KY,631453390853,4/6/2023,Please check back later for shipment status or subscribe for e-mail notifications,4/10/2023,0x0x0 IN
107,MARTIN,TN,631453386850,4/6/2023,Please check back later for shipment status or subscribe for e-mail notifications,4/10/2023,0x0x0 IN
108,GUTHRIE,OK,631453396450,4/6/2023,Departed FedEx location,4/7/2023,16.8x9.2x0 IN
109,CAMERON,MO,631453392422,4/6/2023,Please check back later for shipment status or subscribe for e-mail notifications,4/10/2023,0x0x0 IN
110,WINTER GARDEN,FL,631453349856,4/5/2023,In transit,4/10/2023,16.6x8.6x0 IN
111,CHANUTE,KS,631453394594,4/6/2023,Please check back later for shipment status or subscribe for e-mail notifications,4/7/2023,0x0x0 IN
112,STARKVILLE,MS,631453389481,4/6/2023,Please check back later for shipment status or subscribe for e-mail notifications,4/10/2023,0x0x0 IN
113,CHICKASHA,OK,631453393749,4/6/2023,Please check back later for shipment status or subscribe for e-mail notifications,4/7/2023,0x0x0 IN
114,BOONEVILLE,MS,631453388842,4/6/2023,In transit,4/10/2023,31.2x14.8x0 IN
115,WEST POINT,MS,631453389470,4/6/2023,Please check back later for shipment status or subscribe for e-mail notifications,4/10/2023,0x0x0 IN
116,VIVIAN,LA,631453395145,4/6/2023,Please check back later for shipment status or subscribe for e-mail notifications,4/7/2023,0x0x0 IN
117,BROKEN BOW,OK,631453396862,4/6/2023,Departed FedEx location,4/7/2023,17.2x8.6x0 IN
118,AMORY,MS,631453388853,4/6/2023,In transit,4/10/2023,31x14.6x0 IN
119,BATESVILLE,AR,631453379610,4/6/2023,In transit,4/10/2023,16.4x8.4x0 IN
120,HUMBOLDT,TN,631453386861,4/6/2023,Please check back later for shipment status or subscribe for e-mail notifications,4/10/2023,0x0x0 IN
121,OKMULGEE,OK,631453394333,4/6/2023,Please check back later for shipment status or subscribe for e-mail notifications,4/7/2023,0x0x0 IN
122,JACKSON,MO,631453392320,4/6/2023,Please check back later for shipment status or subscribe for e-mail notifications,4/10/2023,0x0x0 IN
123,SEMINOLE,OK,631453393738,4/6/2023,Please check back later for shipment status or subscribe for e-mail notifications,4/7/2023,0x0x0 IN
124,LITTLE ROCK,AR,631453397001,4/6/2023,Departed FedEx location,4/7/2023,17.2x8.8x0 IN
125,FORT SMITH,AR,631453397641,4/6/2023,Departed FedEx location,4/7/2023,17.2x8.8x0 IN
126,LITTLE ROCK,AR,631453397034,4/6/2023,Departed FedEx location,4/7/2023,16.6x8.8x0 IN
127,MALVERN,AR,631453397023,4/6/2023,Departed FedEx location,4/7/2023,17.2x8.8x0 IN
128,JONESBORO,AR,631453391930,4/6/2023,Please check back later for shipment status or subscribe for e-mail notifications,4/10/2023,0x0x0 IN
129,ARDMORE,OK,631453393727,4/6/2023,Please check back later for shipment status or subscribe for e-mail notifications,4/7/2023,0x0x0 IN
130,MUSKOGEE,OK,631453394344,4/6/2023,Please check back later for shipment status or subscribe for e-mail notifications,4/7/2023,0x0x0 IN
131,MOUNT PLEASANT,TX,631453394929,4/6/2023,Please check back later for shipment status or subscribe for e-mail notifications,4/7/2023,0x0x0 IN
132,KINGFISHER,OK,631453393716,4/6/2023,Please check back later for shipment status or subscribe for e-mail notifications,4/7/2023,0x0x0 IN
133,ASHDOWN,AR,631453395465,4/6/2023,Please check back later for shipment status or subscribe for e-mail notifications,4/7/2023,0x0x0 IN
134,ELK CITY,OK,631453396461,4/6/2023,Arrived at FedEx location,4/7/2023,16.6x8.6x0 IN
135,CHILLICOTHE,MO,631453392433,4/6/2023,Please check back later for shipment status or subscribe for e-mail notifications,4/10/2023,0x0x0 IN
136,BLACKWELL,OK,631453396417,4/6/2023,Arrived at FedEx location,4/7/2023,16.4x8.6x0 IN
137,STILLWATER,OK,631453396406,4/6/2023,Arrived at FedEx location,4/7/2023,0x0x0 IN
138,SPRINGFIELD,MO,631453379859,4/6/2023,In transit,4/10/2023,16.2x8.4x0 IN
139,PURCELL,OK,631453393705,4/6/2023,Please check back later for shipment status or subscribe for e-mail notifications,4/7/2023,0x0x0 IN
140,LUFKIN,TX,631453397527,4/6/2023,Departed FedEx location,4/7/2023,17.2x8.6x0 IN
141,FORT SMITH,AR,631453397652,4/6/2023,Package delayed,4/10/2023,16.8x8.6x0 IN
143,BENTON,KY,631453381241,4/6/2023,In transit,4/10/2023,16.4x8.4x0 IN
144,FAYETTEVILLE,AR,631453381116,4/6/2023,In transit,4/10/2023,16x8.4x0 IN
145,BOWLING GREEN,MO,631453378521,4/6/2023,In transit,4/10/2023,16.4x8.2x0 IN
146,GILMER,TX,631453394918,4/6/2023,Please check back later for shipment status or subscribe for e-mail notifications,4/7/2023,0x0x0 IN
147,DENISON,TX,631453395969,4/6/2023,Arrived at FedEx location,4/7/2023,0x0x0 IN
148,PARIS,TX,631453396211,4/6/2023,Arrived at FedEx location,4/7/2023,0x0x0 IN
149,JONESBORO,LA,631453394962,4/6/2023,Please check back later for shipment status or subscribe for e-mail notifications,4/7/2023,0x0x0 IN
150,WOODWARD,OK,631453393690,4/6/2023,Please check back later for shipment status or subscribe for e-mail notifications,4/7/2023,0x0x0 IN
151,MCALESTER,OK,631453396792,4/6/2023,Departed FedEx location,4/7/2023,17.2x8.6x0 IN
152,DE SOTO,MO,631453378532,4/6/2023,In transit,4/10/2023,16.6x8.6x0 IN
153,NEW ALBANY,MS,631453388864,4/6/2023,In transit,4/10/2023,31x14.6x0 IN
154,ABINGDON,VA,631453353149,4/5/2023,Departed FedEx location,4/7/2023,16.4x8.4x0 IN
155,SENATOBIA,MS,631453388783,4/6/2023,Arrived at FedEx location,4/10/2023,31.4x14.8x0 IN
157,SEARCY,AR,631453397067,4/6/2023,Departed FedEx location,4/7/2023,17.2x8.6x0 IN
158,BONHAM,TX,631453393462,4/6/2023,Please check back later for shipment status or subscribe for e-mail notifications,4/7/2023,0x0x0 IN
159,COLUMBIA,MO,631453381973,4/6/2023,In transit,4/10/2023,16.4x8.4x0 IN
160,ASH FLAT,AR,631453391941,4/6/2023,Please check back later for shipment status or subscribe for e-mail notifications,4/10/2023,0x0x0 IN
161,HUNTINGDON,TN,631453386872,4/6/2023,Please check back later for shipment status or subscribe for e-mail notifications,4/10/2023,0x0x0 IN
162,ANADARKO,OK,631453396391,4/6/2023,Arrived at FedEx location,4/7/2023,17.2x8.8x0 IN
163,NACOGDOCHES,TX,631453394907,4/6/2023,Please check back later for shipment status or subscribe for e-mail notifications,4/7/2023,0x0x0 IN
164,PONTOTOC,MS,631453388794,4/6/2023,In transit,4/10/2023,31.2x15.2x0 IN
165,HENDERSON,TX,631453394892,4/6/2023,Please check back later for shipment status or subscribe for e-mail notifications,4/7/2023,0x0x0 IN
166,HOUSTON,MO,631453379860,4/6/2023,In transit,4/10/2023,16.6x8.4x0 IN
167,CROSSETT,AR,631453388614,4/6/2023,Please check back later for shipment status or subscribe for e-mail notifications,4/10/2023,0x0x0 IN
168,OWASSO,OK,631453394355,4/6/2023,Please check back later for shipment status or subscribe for e-mail notifications,4/7/2023,0x0x0 IN
169,LONOKE,AR,631453397045,4/6/2023,Departed FedEx location,4/7/2023,17x8.8x0 IN
170,NATCHITOCHES,LA,631453395053,4/6/2023,Please check back later for shipment status or subscribe for e-mail notifications,4/7/2023,0x0x0 IN
171,CAMDEN,AR,631453379620,4/6/2023,In transit,4/10/2023,16.4x8.4x0 IN
172,WASHINGTON,MO,631453378543,4/6/2023,In transit,4/10/2023,16.6x8.4x0 IN
173,POTOSI,MO,631453378554,4/6/2023,In transit,4/10/2023,16.4x8.4x0 IN
174,COCOA,FL,631453358232,4/5/2023,In transit,4/10/2023,30.2x14.4x0 IN
175,COLLIERVILLE,TN,631453388897,4/6/2023,Arrived at FedEx location,4/10/2023,0x0x0 IN
176,RIPLEY,MS,631453388901,4/6/2023,In transit,4/10/2023,31.2x15.2x0 IN
177,PARIS,TN,631453378186,4/6/2023,In transit,4/10/2023,16.4x8.4x0 IN
178,ALVA,OK,631453393680,4/6/2023,Please check back later for shipment status or subscribe for e-mail notifications,4/7/2023,0x0x0 IN
179,SPRINGFIELD,MO,631453379870,4/6/2023,In transit,4/10/2023,16.6x8.4x0 IN
180,JACKSONVILLE,TX,631453394881,4/6/2023,Please check back later for shipment status or subscribe for e-mail notifications,4/7/2023,0x0x0 IN
181,NEW BOSTON,TX,631453392801,4/6/2023,Please check back later for shipment status or subscribe for e-mail notifications,4/7/2023,0x0x0 IN
182,GREENVILLE,MS,631453389460,4/6/2023,Please check back later for shipment status or subscribe for e-mail notifications,4/10/2023,0x0x0 IN
183,LOUISVILLE,MS,631453389448,4/6/2023,Please check back later for shipment status or subscribe for e-mail notifications,4/10/2023,0x0x0 IN
184,BLUE SPRINGS,MO,631453378922,4/6/2023,In transit,4/10/2023,16.4x8.4x0 IN
185,GAINESVILLE,TX,631453396737,4/6/2023,Arrived at FedEx location,4/7/2023,0x0x0 IN
186,EL DORADO,KS,631453397468,4/6/2023,Departed FedEx location,4/7/2023,16.8x9.2x0 IN
188,CAPE GIRARDEAU,MO,631453382627,4/6/2023,In transit,4/10/2023,16.6x8.4x0 IN
189,KIRKSVILLE,MO,631453391621,4/6/2023,Please check back later for shipment status or subscribe for e-mail notifications,4/10/2023,0x0x0 IN
190,KENNETT,MO,631453392330,4/6/2023,Please check back later for shipment status or subscribe for e-mail notifications,4/10/2023,0x0x0 IN
192,COLUMBIA,TN,631453386883,4/6/2023,Please check back later for shipment status or subscribe for e-mail notifications,4/10/2023,0x0x0 IN
194,BAYTOWN,TX,631453392823,4/6/2023,Please check back later for shipment status or subscribe for e-mail notifications,4/7/2023,0x0x0 IN
195,EXCELSIOR SPRINGS,MO,631453387754,4/6/2023,Please check back later for shipment status or subscribe for e-mail notifications,4/10/2023,0x0x0 IN
196,CARBONDALE,IL,631453387695,4/6/2023,Please check back later for shipment status or subscribe for e-mail notifications,4/10/2023,0x0x0 IN
197,MACOMB,IL,631453381712,4/6/2023,In transit,4/10/2023,16.2x8.4x0 IN
198,SALEM,IL,631453382226,4/6/2023,In transit,4/10/2023,16.4x8.4x0 IN
199,LINCOLN,IL,631453391790,4/6/2023,Please check back later for shipment status or subscribe for e-mail notifications,4/10/2023,0x0x0 IN
200,JACKSONVILLE,IL,631453391805,4/6/2023,Please check back later for shipment status or subscribe for e-mail notifications,4/10/2023,0x0x0 IN
201,BELLEVILLE,IL,631453378565,4/6/2023,In transit,4/10/2023,16.4x8.6x0 IN
202,FRISCO,TX,631453396174,4/6/2023,Departed FedEx location,4/7/2023,17.2x8.6x0 IN
203,BROOKFIELD,MO,631453391632,4/6/2023,Please check back later for shipment status or subscribe for e-mail notifications,4/10/2023,0x0x0 IN
204,PRINCETON,KY,631453390945,4/6/2023,Please check back later for shipment status or subscribe for e-mail notifications,4/10/2023,0x0x0 IN
205,PHILADELPHIA,MS,631453389459,4/6/2023,Please check back later for shipment status or subscribe for e-mail notifications,4/10/2023,0x0x0 IN
206,MCKINNEY,TX,631453396185,4/6/2023,Arrived at FedEx location,4/6/2023,0x0x0 IN
207,CLEVELAND,OK,631453393679,4/6/2023,Please check back later for shipment status or subscribe for e-mail notifications,4/7/2023,0x0x0 IN
209,OZARK,AR,631453397663,4/6/2023,Departed FedEx location,4/7/2023,16.8x8.6x0 IN
210,HOLDENVILLE,OK,631453396380,4/6/2023,Departed FedEx location,4/7/2023,16.8x9.2x0 IN
211,HILLSBORO,TX,631453394193,4/6/2023,Please check back later for shipment status or subscribe for e-mail notifications,4/7/2023,0x0x0 IN
212,NORMAN,OK,631453396370,4/6/2023,Departed FedEx location,4/7/2023,16.8x9x0 IN
213,LITCHFIELD,IL,631453382237,4/6/2023,In transit,4/10/2023,16.4x8.4x0 IN
214,JASPER,TX,631453395226,4/6/2023,Please check back later for shipment status or subscribe for e-mail notifications,4/7/2023,0x0x0 IN
216,MARION,IL,631453378576,4/6/2023,In transit,4/10/2023,16.4x8.4x0 IN
217,LEWISVILLE,TX,631453395502,4/6/2023,Arrived at FedEx location,4/7/2023,16.6x9x0 IN
218,SELMER,TN,631453388912,4/6/2023,In transit,4/10/2023,31x14.6x0 IN
219,SEDALIA,MO,631453391643,4/6/2023,Please check back later for shipment status or subscribe for e-mail notifications,4/10/2023,0x0x0 IN
220,BURLESON,TX,631453396726,4/6/2023,Departed FedEx location,4/7/2023,16.4x8.6x0 IN
221,YUKON,OK,631453396369,4/6/2023,Arrived at FedEx location,4/7/2023,0x0x0 IN
222,SPARTA,IL,631453378587,4/6/2023,In transit,4/10/2023,16.4x8.6x0 IN
224,MOUNT VERNON,IL,631453391816,4/6/2023,Please check back later for shipment status or subscribe for e-mail notifications,4/10/2023,0x0x0 IN
225,SULPHUR,OK,631453396358,4/6/2023,Departed FedEx location,4/7/2023,16.8x9x0 IN
226,ATLANTA,TX,631453394870,4/6/2023,Please check back later for shipment status or subscribe for e-mail notifications,4/7/2023,0x0x0 IN
227,EL RENO,OK,631453393668,4/6/2023,Please check back later for shipment status or subscribe for e-mail notifications,4/7/2023,0x0x0 IN
228,CLEBURNE,TX,631453396715,4/6/2023,Departed FedEx location,4/7/2023,17.2x8.6x0 IN
229,TRUMANN,AR,631453391952,4/6/2023,Please check back later for shipment status or subscribe for e-mail notifications,4/10/2023,0x0x0 IN
230,PARIS,AR,631453397620,4/6/2023,Departed FedEx location,4/7/2023,17x8.6x0 IN
231,ADA,OK,631453393657,4/6/2023,Please check back later for shipment status or subscribe for e-mail notifications,4/7/2023,0x0x0 IN
232,ATOKA,OK,631453393646,4/6/2023,Please check back later for shipment status or subscribe for e-mail notifications,4/7/2023,0x0x0 IN
233,ANNA,IL,631453391698,4/6/2023,Please check back later for shipment status or subscribe for e-mail notifications,4/10/2023,0x0x0 IN
234,KANSAS CITY,MO,631453378933,4/6/2023,In transit,4/10/2023,16.4x8.6x0 IN
236,CROCKETT,TX,631453394860,4/6/2023,Please check back later for shipment status or subscribe for e-mail notifications,4/7/2023,0x0x0 IN
237,HARRISBURG,IL,631453391702,4/6/2023,Please check back later for shipment status or subscribe for e-mail notifications,4/10/2023,0x0x0 IN
238,PULASKI,TN,631453386894,4/6/2023,Please check back later for shipment status or subscribe for e-mail notifications,4/10/2023,0x0x0 IN
239,KOSCIUSKO,MS,631453389437,4/6/2023,Please check back later for shipment status or subscribe for e-mail notifications,4/10/2023,0x0x0 IN
240,COMMERCE,TX,631453393392,4/6/2023,Please check back later for shipment status or subscribe for e-mail notifications,4/6/2023,0x0x0 IN
242,PAOLA,KS,631453387802,4/6/2023,Please check back later for shipment status or subscribe for e-mail notifications,4/10/2023,0x0x0 IN
243,WENTZVILLE,MO,631453378598,4/6/2023,In transit,4/10/2023,16.2x8.4x0 IN
244,WINNFIELD,LA,631453395064,4/6/2023,Please check back later for shipment status or subscribe for e-mail notifications,4/7/2023,0x0x0 IN
246,SKIATOOK,OK,631453394366,4/6/2023,Please check back later for shipment status or subscribe for e-mail notifications,,0x0x0 IN
247,HENRYETTA,OK,631453396818,4/6/2023,Departed FedEx location,4/7/2023,16.6x8.6x0 IN
248,MEXIA,TX,631453394561,4/6/2023,Please check back later for shipment status or subscribe for e-mail notifications,4/7/2023,0x0x0 IN
249,CLEVELAND,TX,631453392834,4/6/2023,Please check back later for shipment status or subscribe for e-mail notifications,4/7/2023,0x0x0 IN
250,WARSAW,MO,631453381984,4/6/2023,In transit,4/10/2023,16.2x8.4x0 IN
251,MINEOLA,TX,631453397538,4/6/2023,Arrived at FedEx location,4/7/2023,16.8x9.2x0 IN
252,DU QUOIN,IL,631453387630,4/6/2023,Please check back later for shipment status or subscribe for e-mail notifications,4/10/2023,0x0x0 IN
253,JERSEYVILLE,IL,631453387640,4/6/2023,Please check back later for shipment status or subscribe for e-mail notifications,4/10/2023,0x0x0 IN
254,OLNEY,IL,631453391713,4/6/2023,Please check back later for shipment status or subscribe for e-mail notifications,4/10/2023,0x0x0 IN
256,GLEN CARBON,IL,631453378602,4/6/2023,In transit,4/10/2023,16.4x8.4x0 IN
257,MORGANFIELD,KY,631453391724,4/6/2023,Please check back later for shipment status or subscribe for e-mail notifications,4/10/2023,0x0x0 IN
258,TUPELO,MS,631453388923,4/6/2023,In transit,4/10/2023,31.2x15x0 IN
259,ROCKWALL,TX,631453393430,4/6/2023,Please check back later for shipment status or subscribe for e-mail notifications,4/6/2023,0x0x0 IN
