Store Number,Invoice Number,Date of Invoice ,   Total Amount   ,Out of Scope,Area of Machine,Memo,Comment
5382,884065,2/1/2024, 318.00 ,Site Declined Troubleshooting,BNR,&nbsp;,FAILURE TO CANCEL: Site resolved issue prior to technicians arrival and failed to give proper notification to cancel service call.
1843,884142,2/1/2024, 947.06 ,Improper Handling,BCR,Hoppers,PROCEDURE NEGLECT: The site failed to follow defined maintenance and auditing guidelines for the unit.
3200,878965,2/1/2024," 1,658.04 ",Improper Handling,BNR,Cassettes,LOSS OF COMPONENT: Site lost unit component parts through abuse neglect or failure to maintain the security of the equipment.
4741,866722,2/2/2024," 1,757.11 ",IMPROPER HANDLING - CASSETTES,BNR,Cassettes,LOSS OF COMPONENT: Site lost unit component parts through abuse neglect or failure to maintain the security of the equipment.
5419,866737,2/2/2024, 454.75 ,CUSTOMER FAILED TO CANCEL CALL,OTHER,&nbsp;,FAILURE TO CANCEL: Site resolved issue prior to technicians arrival and failed to give proper notification to cancel service call.
248,23297359,2/2/2024, 460.06 ,NON DEVICE RELATED ISSUES,OTHER,&nbsp;,COIN AUDIT: Coin Audit
542,23297337,2/2/2024, 329.85 ,IMPROPER HANDLING - COIN SORTER,BCR,Coin Sorter,PROCEDURE NEGLECT: The site failed to follow defined maintenance and auditing guidelines for the unit.
755,23297278,2/2/2024," 2,007.30 ",IMPROPER HANDLING - OTHER,BNR,Pre Acceptor,LOSS OF COMPONENT: Site lost unit component parts through abuse neglect or failure to maintain the security of the equipment.
1346,23297320,2/2/2024, 321.00 ,CUSTOMER FAILED TO CANCEL CALL,OTHER,&nbsp;,FAILURE TO CANCEL: Site resolved issue prior to technicians arrival and failed to give proper notification to cancel service call.
1482,23429406,2/2/2024, 456.88 ,SITE DECLINED TROUBLESHOOTING,OTHER,&nbsp;,FAILURE TO TROUBLESHOOT: The site refused to work with trained help desk agent to resolve an issue which resulted in the dispatch of a technician.
1748,23297315,2/2/2024, 327.00 ,IMPROPER HANDLING - COIN SORTER,BCR,Coin Sorter,PROCEDURE NEGLECT: The site failed to follow defined maintenance and auditing guidelines for the unit.
1955,23297336,2/2/2024, 318.75 ,NON DEVICE RELATED ISSUES,OTHER,&nbsp;,COIN AUDIT: Coin Audit
2052,23297326,2/2/2024, 326.63 ,NON DEVICE RELATED ISSUES,OTHER,&nbsp;,COIN AUDIT: Coin Audit
2145,23297322,2/2/2024, 498.77 ,IMPROPER HANDLING - COIN SORTER,BCR,Coin Sorter,PROCEDURE NEGLECT: The site failed to follow defined maintenance and auditing guidelines for the unit.
2288,23297327,2/2/2024, 330.75 ,CUSTOMER FAILED TO CANCEL CALL,OTHER,&nbsp;,FAILURE TO CANCEL: Site resolved issue prior to technicians arrival and failed to give proper notification to cancel service call.
2631,23297364,2/2/2024, 450.50 ,NON DEVICE RELATED ISSUES,OTHER,&nbsp;,COIN AUDIT: Coin Audit
2751,23297350,2/2/2024, 787.67 ,IMPROPER HANDLING - HOPPERS,BCR,Hoppers,PROCEDURE NEGLECT: The site failed to follow defined maintenance and auditing guidelines for the unit.
2826,23297319,2/2/2024, 326.25 ,CUSTOMER FAILED TO CANCEL CALL,OTHER,&nbsp;,FAILURE TO CANCEL: Site resolved issue prior to technicians arrival and failed to give proper notification to cancel service call.
3355,23297314,2/2/2024, 558.80 ,IMPROPER HANDLING - HOPPERS,BCR,Hoppers,PROCEDURE NEGLECT: The site failed to follow defined maintenance and auditing guidelines for the unit.
3646,23297307,2/2/2024, 327.00 ,NON DEVICE RELATED ISSUES,OTHER,&nbsp;,COIN AUDIT: Coin Audit
5027,23297338,2/2/2024, 326.25 ,IMPROPER HANDLING - OTHER,BNR,Cassette Lock,PROCEDURE NEGLECT: The site failed to follow defined maintenance and auditing guidelines for the unit.
7179,23297341,2/2/2024, 321.00 ,SITE DECLINED TROUBLESHOOTING,OTHER,&nbsp;,FAILURE TO TROUBLESHOOT: The site refused to work with trained help desk agent to resolve an issue which resulted in the dispatch of a technician.
4741,23255724,2/2/2024," 1,757.11 ",IMPROPER HANDLING - CASSETTES,BNR,Cassettes,LOSS OF COMPONENT: Site lost unit component parts through abuse neglect or failure to maintain the security of the equipment.
397,23297385,2/3/2024, 460.06 ,NON DEVICE RELATED ISSUES,OTHER,&nbsp;,COIN AUDIT: Coin Audit
542,23297367,2/3/2024, 904.45 ,IMPROPER HANDLING - COIN SORTER,BCR,Coin Sorter,PROCEDURE NEGLECT: The site failed to follow defined maintenance and auditing guidelines for the unit.
644,23297349,2/3/2024, 454.75 ,CUSTOMER FAILED TO CANCEL CALL,OTHER,&nbsp;,FAILURE TO CANCEL: Site resolved issue prior to technicians arrival and failed to give proper notification to cancel service call.
738,23429398,2/3/2024," 1,039.26 ",NON DEVICE RELATED ISSUES,OTHER,&nbsp;,MISC: MISC:  Issue was due to incorrect site input.
849,23297389,2/3/2024, 460.06 ,IMPROPER HANDLING - OTHER,OTHER,Key,LOSS OF COMPONENT: Site lost unit component parts through abuse neglect or failure to maintain the security of the equipment.
849,23297402,2/3/2024, 460.06 ,IMPROPER HANDLING - COIN SORTER,BCR,Coin Sorter,PROCEDURE NEGLECT: The site failed to follow defined maintenance and auditing guidelines for the unit.
960,23356262,2/3/2024, 665.79 ,IMPROPER HANDLING - OTHER,OTHER,Key,LOSS OF COMPONENT: Site lost unit component parts through abuse neglect or failure to maintain the security of the equipment.
1152,23429412,2/3/2024, 454.75 ,NON DEVICE RELATED ISSUES,OTHER,&nbsp;,THIRD PARTY EQUIPMENT: Machine has lost communication due to failure of network administered by third party
1160,23297393,2/3/2024, 454.75 ,SITE DECLINED TROUBLESHOOTING,OTHER,&nbsp;,FAILURE TO TROUBLESHOOT: The site refused to work with trained help desk agent to resolve an issue which resulted in the dispatch of a technician.
1804,23429414,2/3/2024, 454.75 ,CUSTOMER FAILED TO CANCEL CALL,OTHER,&nbsp;,FAILURE TO CANCEL: Site resolved issue prior to technicians arrival and failed to give proper notification to cancel service call.
3185,23297395,2/3/2024, 442.00 ,NON DEVICE RELATED ISSUES,OTHER,&nbsp;,PROCEDURE NEGLECT: The site failed to follow defined maintenance and auditing guidelines for the unit.
3296,23297398,2/3/2024, 460.06 ,CUSTOMER FAILED TO CANCEL CALL,OTHER,&nbsp;,FAILURE TO CANCEL: Site resolved issue prior to technicians arrival and failed to give proper notification to cancel service call.
5166,23297372,2/3/2024, 460.06 ,CUSTOMER FAILED TO CANCEL CALL,OTHER,&nbsp;,FAILURE TO CANCEL: Site resolved issue prior to technicians arrival and failed to give proper notification to cancel service call.
5266,23297377,2/3/2024," 1,013.22 ",NON DEVICE RELATED ISSUES,OTHER,&nbsp;,MISC: MISC:  Issue was due to incorrect site input.
5299,23297396,2/3/2024, 454.75 ,CUSTOMER FAILED TO CANCEL CALL,OTHER,&nbsp;,FAILURE TO CANCEL: Site resolved issue prior to technicians arrival and failed to give proper notification to cancel service call.
1833,23297375,2/3/2024, 447.53 ,CUSTOMER FAILED TO CANCEL CALL,OTHER,&nbsp;,FAILURE TO CANCEL: Site resolved issue prior to technicians arrival and failed to give proper notification to cancel service call.
69,23342026,2/4/2024, 442.96 ,IMPROPER HANDLING - HOPPERS,BCR,Hoppers,PROCEDURE NEGLECT: The site failed to follow defined maintenance and auditing guidelines for the unit.
301,23341915,2/4/2024, 442.00 ,NON DEVICE RELATED ISSUES,OTHER,&nbsp;,COIN AUDIT: Coin Audit
2055,23297405,2/4/2024, 640.61 ,IMPROPER HANDLING - HOPPERS,BCR,Hoppers,PROCEDURE NEGLECT: The site failed to follow defined maintenance and auditing guidelines for the unit.
2104,23429704,2/4/2024, 459.53 ,SITE DECLINED TROUBLESHOOTING,OTHER,&nbsp;,FAILURE TO TROUBLESHOOT: The site refused to work with trained help desk agent to resolve an issue which resulted in the dispatch of a technician.
2562,23429705,2/4/2024, 463.25 ,IMPROPER HANDLING - HOPPERS,BCR,Hoppers,PROCEDURE NEGLECT: The site failed to follow defined maintenance and auditing guidelines for the unit.
2621,23429714,2/4/2024, 687.06 ,IMPROPER HANDLING - HOPPERS,BCR,Hoppers,PROCEDURE NEGLECT: The site failed to follow defined maintenance and auditing guidelines for the unit.
2644,23429703,2/4/2024, 450.50 ,NON DEVICE RELATED ISSUES,OTHER,&nbsp;,COIN AUDIT: Coin Audit
2871,23342023,2/4/2024, 683.05 ,IMPROPER HANDLING - HOPPERS,BCR,Hoppers,PROCEDURE NEGLECT: The site failed to follow defined maintenance and auditing guidelines for the unit.
3139,23429702,2/4/2024, 693.47 ,IMPROPER HANDLING - HOPPERS,BCR,Hoppers,PROCEDURE NEGLECT: The site failed to follow defined maintenance and auditing guidelines for the unit.
3830,23429692,2/4/2024, 601.45 ,IMPROPER HANDLING - HOPPERS,BCR,Hoppers,PROCEDURE NEGLECT: The site failed to follow defined maintenance and auditing guidelines for the unit.
4132,23429697,2/4/2024, 620.49 ,IMPROPER HANDLING - HOPPERS,BCR,Hoppers,PROCEDURE NEGLECT: The site failed to follow defined maintenance and auditing guidelines for the unit.
4334,23429694,2/4/2024, 685.45 ,IMPROPER HANDLING - HOPPERS,BCR,Hoppers,PROCEDURE NEGLECT: The site failed to follow defined maintenance and auditing guidelines for the unit.
5293,23429441,2/4/2024, 461.65 ,CUSTOMER FAILED TO CANCEL CALL,OTHER,&nbsp;,FAILURE TO CANCEL: Site resolved issue prior to technicians arrival and failed to give proper notification to cancel service call.
5440,23297407,2/4/2024, 425.00 ,IMPROPER HANDLING - CASSETTES,BNR,Cassettes,PROCEDURE NEGLECT: The site failed to follow defined maintenance and auditing guidelines for the unit.
6305,23429691,2/4/2024, 673.27 ,IMPROPER HANDLING - HOPPERS,BCR,Hoppers,PROCEDURE NEGLECT: The site failed to follow defined maintenance and auditing guidelines for the unit.
493,867353,2/5/2024," 1,578.13 ",IMPROPER HANDLING - CASSETTES,BNR,Cassettes,LOSS OF COMPONENT: Site lost unit component parts through abuse neglect or failure to maintain the security of the equipment.
510,867331,2/5/2024," 1,593.01 ",IMPROPER HANDLING - CASSETTES,BNR,Cassettes,LOSS OF COMPONENT: Site lost unit component parts through abuse neglect or failure to maintain the security of the equipment.
633,867347,2/5/2024," 1,581.85 ",IMPROPER HANDLING - CASSETTES,BNR,Cassettes,LOSS OF COMPONENT: Site lost unit component parts through abuse neglect or failure to maintain the security of the equipment.
796,867346,2/5/2024," 1,581.85 ",IMPROPER HANDLING - CASSETTES,BNR,Cassettes,LOSS OF COMPONENT: Site lost unit component parts through abuse neglect or failure to maintain the security of the equipment.
1308,867334,2/5/2024," 1,619.97 ",IMPROPER HANDLING - CASSETTES,BNR,Cassettes,LOSS OF COMPONENT: Site lost unit component parts through abuse neglect or failure to maintain the security of the equipment.
2250,867349,2/5/2024," 1,604.93 ",IMPROPER HANDLING - CASSETTES,BNR,Cassettes,LOSS OF COMPONENT: Site lost unit component parts through abuse neglect or failure to maintain the security of the equipment.
2621,867343,2/5/2024," 1,778.25 ",IMPROPER HANDLING - CASSETTES,BNR,Cassettes,LOSS OF COMPONENT: Site lost unit component parts through abuse neglect or failure to maintain the security of the equipment.
2735,867338,2/5/2024," 1,604.18 ",IMPROPER HANDLING - CASSETTES,BNR,Cassettes,LOSS OF COMPONENT: Site lost unit component parts through abuse neglect or failure to maintain the security of the equipment.
16,23341835,2/5/2024," 1,115.13 ",CUSTOMER FAILED TO CANCEL CALL,OTHER,&nbsp;,FAILURE TO CANCEL: Site resolved issue prior to technicians arrival and failed to give proper notification to cancel service call.
66,23341841,2/5/2024," 1,117.68 ",CUSTOMER FAILED TO CANCEL CALL,OTHER,&nbsp;,FAILURE TO CANCEL: Site resolved issue prior to technicians arrival and failed to give proper notification to cancel service call.
377,23429729,2/5/2024, 321.00 ,SITE DECLINED TROUBLESHOOTING,OTHER,&nbsp;,FAILURE TO TROUBLESHOOT: The site refused to work with trained help desk agent to resolve an issue which resulted in the dispatch of a technician.
493,23284957,2/5/2024," 1,578.13 ",IMPROPER HANDLING - CASSETTES,BNR,Cassettes,LOSS OF COMPONENT: Site lost unit component parts through abuse neglect or failure to maintain the security of the equipment.
510,23283987,2/5/2024," 1,593.01 ",IMPROPER HANDLING - CASSETTES,BNR,Cassettes,LOSS OF COMPONENT: Site lost unit component parts through abuse neglect or failure to maintain the security of the equipment.
633,23284801,2/5/2024," 1,581.85 ",IMPROPER HANDLING - CASSETTES,BNR,Cassettes,LOSS OF COMPONENT: Site lost unit component parts through abuse neglect or failure to maintain the security of the equipment.
796,23284797,2/5/2024," 1,581.85 ",IMPROPER HANDLING - CASSETTES,BNR,Cassettes,LOSS OF COMPONENT: Site lost unit component parts through abuse neglect or failure to maintain the security of the equipment.
987,23342050,2/5/2024," 1,008.49 ",NON DEVICE RELATED ISSUES,OTHER,&nbsp;,MISC: MISC:  Issue was due to incorrect site input.
1120,23429740,2/5/2024, 460.49 ,NON DEVICE RELATED ISSUES,OTHER,&nbsp;,MISC: MISC:  Issue was due to incorrect site input.
1308,23284137,2/5/2024," 1,619.97 ",IMPROPER HANDLING - CASSETTES,BNR,Cassettes,LOSS OF COMPONENT: Site lost unit component parts through abuse neglect or failure to maintain the security of the equipment.
1352,23341917,2/5/2024, 321.00 ,NON DEVICE RELATED ISSUES,OTHER,&nbsp;,COIN AUDIT: Coin Audit
1511,23429720,2/5/2024, 454.75 ,SITE DECLINED TROUBLESHOOTING,OTHER,&nbsp;,FAILURE TO TROUBLESHOOT: The site refused to work with trained help desk agent to resolve an issue which resulted in the dispatch of a technician.
1986,23342025,2/5/2024, 321.75 ,NON DEVICE RELATED ISSUES,OTHER,&nbsp;,COIN AUDIT: Coin Audit
2250,23284818,2/5/2024," 1,604.93 ",IMPROPER HANDLING - CASSETTES,BNR,Cassettes,LOSS OF COMPONENT: Site lost unit component parts through abuse neglect or failure to maintain the security of the equipment.
2541,23342037,2/5/2024, 875.35 ,NON DEVICE RELATED ISSUES,OTHER,&nbsp;,MISC: MISC:  Issue was due to incorrect site input.
2541,23342066,2/5/2024," 1,025.80 ",NON DEVICE RELATED ISSUES,OTHER,&nbsp;,MISC: MISC:  Issue was due to incorrect site input.
2557,23341892,2/5/2024, 538.25 ,IMPROPER HANDLING - OTHER,OTHER,Locks,LOSS OF COMPONENT: Site lost unit component parts through abuse neglect or failure to maintain the security of the equipment.
2621,23284762,2/5/2024," 1,778.25 ",IMPROPER HANDLING - CASSETTES,BNR,Cassettes,LOSS OF COMPONENT: Site lost unit component parts through abuse neglect or failure to maintain the security of the equipment.
2735,23284173,2/5/2024," 1,604.18 ",IMPROPER HANDLING - CASSETTES,BNR,Cassettes,LOSS OF COMPONENT: Site lost unit component parts through abuse neglect or failure to maintain the security of the equipment.
2788,23342041,2/5/2024, 321.00 ,NON DEVICE RELATED ISSUES,OTHER,&nbsp;,COIN AUDIT: Coin Audit
3090,23342056,2/5/2024, 321.75 ,NON DEVICE RELATED ISSUES,OTHER,&nbsp;,MISC: MISC:  Issue was due to incorrect site input.
3409,23341895,2/5/2024, 300.00 ,SITE DECLINED TROUBLESHOOTING,OTHER,&nbsp;,FAILURE TO TROUBLESHOOT: The site refused to work with trained help desk agent to resolve an issue which resulted in the dispatch of a technician.
3523,23341839,2/5/2024, 374.92 ,IMPROPER HANDLING - OTHER,BNR,Upper Base,LOSS OF COMPONENT: Site lost unit component parts through abuse neglect or failure to maintain the security of the equipment.
3660,23341896,2/5/2024, 327.75 ,CUSTOMER FAILED TO CANCEL CALL,OTHER,&nbsp;,FAILURE TO CANCEL: Site resolved issue prior to technicians arrival and failed to give proper notification to cancel service call.
3883,23342043,2/5/2024, 858.92 ,NON DEVICE RELATED ISSUES,OTHER,&nbsp;,MISC: MISC:  Issue was due to incorrect site input.
5130,23429733,2/5/2024, 324.00 ,IMPROPER HANDLING - HOPPERS,BCR,Hoppers,PROCEDURE NEGLECT: The site failed to follow defined maintenance and auditing guidelines for the unit.
5871,23429736,2/5/2024, 319.50 ,NON DEVICE RELATED ISSUES,OTHER,&nbsp;,COIN AUDIT: Coin Audit
6887,23341863,2/5/2024," 3,405.65 ",IMPROPER HANDLING - OTHER,BNR,Separator,LOSS OF COMPONENT: Site lost unit component parts through abuse neglect or failure to maintain the security of the equipment.
7326,23342030,2/5/2024, 849.21 ,NON DEVICE RELATED ISSUES,OTHER,&nbsp;,COIN AUDIT: Coin Audit
6520,23429724,2/5/2024," 1,383.82 ",IMPROPER HANDLING - OTHER,BNR,Feed Module,PROCEDURE NEGLECT: The site failed to follow defined maintenance and auditing guidelines for the unit.
817,23342038,2/5/2024, 322.50 ,CUSTOMER FAILED TO CANCEL CALL,OTHER,&nbsp;,FAILURE TO CANCEL: Site resolved issue prior to technicians arrival and failed to give proper notification to cancel service call.
1931,884147,2/5/2024, 543.97 ,Improper Handling,BCR,Hoppers,PROCEDURE NEGLECT: The site failed to follow defined maintenance and auditing guidelines for the unit.
30,867911,2/6/2024, 324.31 ,NON DEVICE RELATED ISSUES,OTHER,&nbsp;,COIN AUDIT: Coin Audit
124,867461,2/6/2024," 3,234.42 ",IMPROPER HANDLING - CASSETTES,BNR,Cassettes,LOSS OF COMPONENT: Site lost unit component parts through abuse neglect or failure to maintain the security of the equipment.
158,867778,2/6/2024, 324.75 ,NON DEVICE RELATED ISSUES,OTHER,&nbsp;,COIN AUDIT: Coin Audit
167,867945,2/6/2024, 329.25 ,NON DEVICE RELATED ISSUES,OTHER,&nbsp;,COIN AUDIT: Coin Audit
237,868018,2/6/2024," 1,625.55 ",NON DEVICE RELATED ISSUES,OTHER,&nbsp;,MISC: MISC:  Issue was due to incorrect site input.
271,868015,2/6/2024, 460.06 ,NON DEVICE RELATED ISSUES,OTHER,&nbsp;,COIN AUDIT: Coin Audit
280,867769,2/6/2024, 324.75 ,NON DEVICE RELATED ISSUES,OTHER,&nbsp;,COIN AUDIT: Coin Audit
340,867690,2/6/2024, 569.74 ,IMPROPER HANDLING - HOPPERS,BCR,Hoppers,PROCEDURE NEGLECT: The site failed to follow defined maintenance and auditing guidelines for the unit.
368,867947,2/6/2024, 327.75 ,NON DEVICE RELATED ISSUES,OTHER,&nbsp;,COIN AUDIT: Coin Audit
500,867874,2/6/2024, 460.06 ,SITE DECLINED TROUBLESHOOTING,OTHER,&nbsp;,CLEANING NEGLECT: The site failed to follow defined cleaning and maintenance guidelines for the unit.  The only thing performed by the technician to resolve the issue was to clean the device.
521,867806,2/6/2024, 330.60 ,NON DEVICE RELATED ISSUES,OTHER,&nbsp;,COIN AUDIT: Coin Audit
537,867993,2/6/2024," 1,105.25 ",CUSTOMER FAILED TO CANCEL CALL,OTHER,&nbsp;,FAILURE TO CANCEL: Site resolved issue prior to technicians arrival and failed to give proper notification to cancel service call.
551,868032,2/6/2024, 321.00 ,NON DEVICE RELATED ISSUES,OTHER,&nbsp;,PROCEDURE NEGLECT: The site failed to follow defined maintenance and auditing guidelines for the unit.
600,867813,2/6/2024, 460.06 ,IMPROPER HANDLING - OTHER,OTHER,Combo Lock,MISUSE: Operation of the equipment other than for its normal and intended purposes.
670,867965,2/6/2024, 312.00 ,NON DEVICE RELATED ISSUES,OTHER,&nbsp;,COIN AUDIT: Coin Audit
675,867790,2/6/2024, 466.44 ,CUSTOMER FAILED TO CANCEL CALL,OTHER,&nbsp;,FAILURE TO CANCEL: Site resolved issue prior to technicians arrival and failed to give proper notification to cancel service call.
755,868106,2/6/2024," 2,007.30 ",IMPROPER HANDLING - OTHER,BNR,Pre Acceptor,LOSS OF COMPONENT: Site lost unit component parts through abuse neglect or failure to maintain the security of the equipment.
767,867796,2/6/2024, 322.50 ,IMPROPER HANDLING - OTHER,BNR,Cassette Lock,PROCEDURE NEGLECT: The site failed to follow defined maintenance and auditing guidelines for the unit.
778,867987,2/6/2024, 551.71 ,IMPROPER HANDLING - HOPPERS,BCR,Hoppers,PROCEDURE NEGLECT: The site failed to follow defined maintenance and auditing guidelines for the unit.
778,868010,2/6/2024, 551.71 ,IMPROPER HANDLING - HOPPERS,BCR,Hoppers,PROCEDURE NEGLECT: The site failed to follow defined maintenance and auditing guidelines for the unit.
794,867921,2/6/2024, 929.86 ,IMPROPER HANDLING - HOPPERS,BCR,Hoppers,PROCEDURE NEGLECT: The site failed to follow defined maintenance and auditing guidelines for the unit.
858,867908,2/6/2024, 459.00 ,IMPROPER HANDLING - HOPPERS,BCR,Hoppers,PROCEDURE NEGLECT: The site failed to follow defined maintenance and auditing guidelines for the unit.
976,867709,2/6/2024," 1,125.68 ",IMPROPER HANDLING - OTHER,OTHER,Key,LOSS OF COMPONENT: Site lost unit component parts through abuse neglect or failure to maintain the security of the equipment.
1025,867902,2/6/2024, 454.75 ,NON DEVICE RELATED ISSUES,OTHER,&nbsp;,COIN AUDIT: Coin Audit
1032,867903,2/6/2024, 454.75 ,SITE DECLINED TROUBLESHOOTING,OTHER,&nbsp;,FAILURE TO TROUBLESHOOT: The site refused to work with trained help desk agent to resolve an issue which resulted in the dispatch of a technician.
1084,867852,2/6/2024, 648.29 ,SITE DECLINED TROUBLESHOOTING,OTHER,&nbsp;,CLEANING NEGLECT: The site failed to follow defined cleaning and maintenance guidelines for the unit.  The only thing performed by the technician to resolve the issue was to clean the device.
1144,867952,2/6/2024, 321.00 ,IMPROPER HANDLING - HOPPERS,BCR,Hoppers,PROCEDURE NEGLECT: The site failed to follow defined maintenance and auditing guidelines for the unit.
1155,867831,2/6/2024, 454.75 ,NON DEVICE RELATED ISSUES,OTHER,&nbsp;,COIN AUDIT: Coin Audit
