BU,BU,Organization ,Function,Building Name
Store Operations,Store Operations,Walmart US,WMUS Store Operations,Together
US Omni Tech,US Omni Tech,Global Tech,Commerce Platforms and Emerging Tech,Together
Energy Transformation,Energy Transformation,Walmart US,Energy Transformation,Together
Global People ,Global People ,Walmart US,Store Operations,Together
Global Governance,Global Governance,Corporate Functions,Global Ethics and Compliance,Trust
Global Governance,Global Governance,Corporate Functions,Digital Citizenship,Trust
Global Governance,Global Governance,Corporate Functions,Global Investigations,Trust
Global Governance,Global Governance,Corporate Functions," US Operations, US Legal",Trust
Global Governance,Global Governance,Corporate Functions,Centers of Excellence – US Legal​,Trust
Global Governance,Global Governance,Corporate Functions,Threat Management,Trust
Global Governance,Global Governance,Corporate Functions,Emergency Management ,Trust
Global Governance,Global Governance,Corporate Functions,Vetting,Trust
Global Governance,Global Governance,Corporate Functions,Strategic Security,Trust
Global Governance,Global Governance,Corporate Functions,"Physical Security, Security Tech, and Facility Protection",Trust
Global Governance,Global Governance,Corporate Functions,Regulatory and Specialty Legal,Trust
Global Governance,Global Governance,Corporate Functions,"eDiscovery and Strategy,Risk and Ops ",Trust
Global Governance,Global Governance,Corporate Functions,Corporate Secretary ,Trust
Global Governance,Global Governance,Corporate Functions,Litigation,Trust
Global People ,Global People ,Corporate Functions,Corporate Affairs and Global Governance,Trust
Global People,Global People,Corporate Functions,Global Leadership and Learning,Upstream
Global People,Global People,Corporate Functions,Global Talent,Upstream
Global People,Global People,Corporate Functions,Global People Strategy and Innovation,Upstream
Global People,Global People,Corporate Functions,Total Rewards,Upstream
Global People,Global People,Corporate Functions,People Product and Design,Upstream
Global Finance,Global Finance,Corporate Functions,Risk and Benefits Finance,Upstream
Global People,Global People,Corporate Functions,Belonging,Upstream
Global People,Global People,Corporate Functions,Global People Programs and Strategy,Upstream
Global People,Global People,Corporate Functions,Global Associate Relations,Upstream
Global People,Global People,Corporate Functions,"Global Tech, Services and Corp Functions",Upstream
Walmart US,Walmart US,Walmart US,Realty,Upstream
Global Finance,Global Finance,Corporate Functions,Procurement,Upstream
Walmart US,Walmart US,Walmart US,Health and Wellness,Upstream
Global Governance,Global Governance,Corporate Functions,Health and Wellness Ethics and Compliance,Upstream
International,International,International,Health and Wellness Sourcing,Upstream
Global Finance,Global Finance,Corporate Functions,Health and Wellness Finance,Upstream
Global Finance,Global Finance,Corporate Functions,Health and Wellness Contollership,Upstream
Global People,Global People,Corporate Functions,Health and Wellness People,Upstream
