Store Number,Invoice Number,Date of Invoice, Total Amount ,Out of Scope,Area of Machine,Memo,Comments
3188,INV168084-01255A,2/21/2025, 300.00 ,IMPROPER HANDLING - COIN SORTER,BCR,"PHYSICAL DAMAGE: Abuse, neglect or vandalism of the system or its component parts, or from customer’s failure to maintain the security of the equipment.",12/6/2024 16:05
5267,INV168084-01255A,2/21/2025, 425.00 ,CUSTOMER FAILED TO CANCEL CALL,OTHER,FAILURE TO CANCEL: Site resolved issue prior to technician's arrival and failed to give proper notification to cancel service call.,12/7/2024 10:25
3771,INV168084-01255A,2/21/2025, 425.00 ,CUSTOMER FAILED TO CANCEL CALL,OTHER,FAILURE TO CANCEL: Site resolved issue prior to technician's arrival and failed to give proper notification to cancel service call.,12/6/2024 20:21
5072,INV168084-01255A,2/21/2025, 425.00 ,SITE DECLINED TROUBLESHOOTING,OTHER,JAMS – NOTE: A note jam was not cleared pursuant to the use of the instructional videos or with the guidance from the trained help desk agent.,12/7/2024 6:42
6976,INV168084-01255A,2/21/2025, 455.82 ,SITE DECLINED TROUBLESHOOTING,OTHER,JAMS – NOTE: A note jam was not cleared pursuant to the use of the instructional videos or with the guidance from the trained help desk agent.,12/8/2024 9:13
8141,INV168084-01255A,2/21/2025, 425.00 ,SITE DECLINED TROUBLESHOOTING,OTHER,JAMS – NOTE: A note jam was not cleared pursuant to the use of the instructional videos or with the guidance from the trained help desk agent.,12/8/2024 10:51
999,INV168084-01255A,2/21/2025, 460.06 ,IMPROPER HANDLING - HOPPERS,BCR,"PROCEDURE NEGLECT: The site failed to follow defined, maintenance and auditing guidelines for the unit.",12/7/2024 11:09
2922,INV168084-01255A,2/21/2025, 425.00 ,IMPROPER HANDLING - OTHER,BNR,CLEANING NEGLECT: The site failed to follow defined cleaning and maintenance guidelines for the unit.  The only thing performed by the technician to resolve the issue was to clean the device.,12/7/2024 9:43
6433,INV168084-01255A,2/21/2025, 425.00 ,SITE DECLINED TROUBLESHOOTING,BCR,JAMS – COIN: A coin jam was not cleared pursuant to the use of the instructional videos or with the guidance from the trained help desk agent.,12/7/2024 13:38
5166,INV168084-01255A,2/21/2025, 460.06 ,IMPROPER HANDLING - COIN SORTER,BCR,"PHYSICAL DAMAGE: Abuse, neglect or vandalism of the system or its component parts, or from customer’s failure to maintain the security of the equipment.",12/7/2024 16:16
6212,INV168084-01255A,2/21/2025, 425.00 ,SITE DECLINED TROUBLESHOOTING,OTHER,FAILURE TO TROUBLESHOOT: The site refused to work with trained help desk agent to resolve an issue which resulted in the dispatch of a technician.,12/8/2024 11:24
389,INV168084-01255A,2/21/2025, 425.00 ,NON DEVICE RELATED ISSUES,OTHER,COIN AUDIT: Coin Audit,12/8/2024 10:13
5093,INV168084-01255A,2/21/2025, 425.00 ,SITE DECLINED TROUBLESHOOTING,OTHER,FAILURE TO TROUBLESHOOT: The site refused to work with trained help desk agent to resolve an issue which resulted in the dispatch of a technician.,12/7/2024 18:56
3717,INV168084-01255A,2/21/2025, 327.75 ,SITE DECLINED TROUBLESHOOTING,OTHER,JAMS – COIN: A coin jam was not cleared pursuant to the use of the instructional videos or with the guidance from the trained help desk agent.,12/9/2024 7:11
4491,INV168084-01255A,2/21/2025, 300.00 ,IMPROPER HANDLING - OTHER,OTHER,"PHYSICAL DAMAGE: Abuse, neglect or vandalism of the system or its component parts, or from customer’s failure to maintain the security of the equipment.",12/9/2024 10:21
1829,INV168084-01255A,2/21/2025, 300.00 ,IMPROPER HANDLING - COIN SORTER,BCR,FAILURE TO TROUBLESHOOT: The site refused to work with trained help desk agent to resolve an issue which resulted in the dispatch of a technician.,12/9/2024 10:44
5174,INV168084-01255A,2/21/2025, 425.00 ,CUSTOMER FAILED TO CANCEL CALL,BCR,FAILURE TO CANCEL: Site resolved issue prior to technician's arrival and failed to give proper notification to cancel service call.,12/8/2024 18:38
991,INV168084-01255A,2/21/2025, 425.00 ,IMPROPER HANDLING - HOPPERS,BCR,"PROCEDURE NEGLECT: The site failed to follow defined, maintenance and auditing guidelines for the unit.",12/8/2024 17:28
2403,INV168084-01255A,2/21/2025, 467.93 ,IMPROPER HANDLING - IMPROPER RACKING OF NR,BNR,MISUSE: Operation of the equipment other than for its normal and intended purposes.,12/8/2024 17:51
285,INV168084-01255A,2/21/2025, 460.06 ,SITE DECLINED TROUBLESHOOTING,BNR,FAILURE TO TROUBLESHOOT: The site refused to work with trained help desk agent to resolve an issue which resulted in the dispatch of a technician.,12/8/2024 14:56
7020,INV168084-01255A,2/21/2025, 466.44 ,IMPROPER HANDLING - OTHER,BNR,CLEANING NEGLECT: The site failed to follow defined cleaning and maintenance guidelines for the unit.  The only thing performed by the technician to resolve the issue was to clean the device.,12/8/2024 18:19
1826,INV168084-01255A,2/21/2025, 425.00 ,IMPROPER HANDLING - OTHER,BCR,"PHYSICAL DAMAGE: Abuse, neglect or vandalism of the system or its component parts, or from customer’s failure to maintain the security of the equipment.",12/8/2024 14:00
6364,INV168084-01255A,2/21/2025, 300.00 ,SITE DECLINED TROUBLESHOOTING,OTHER,FAILURE TO TROUBLESHOOT: The site refused to work with trained help desk agent to resolve an issue which resulted in the dispatch of a technician.,12/9/2024 9:54
4370,INV168084-01255A,2/21/2025, 425.00 ,SITE DECLINED TROUBLESHOOTING,OTHER,JAMS – NOTE: A note jam was not cleared pursuant to the use of the instructional videos or with the guidance from the trained help desk agent.,12/8/2024 15:38
3722,INV168084-01255A,2/21/2025, 321.00 ,SITE DECLINED TROUBLESHOOTING,OTHER,JAMS – NOTE: A note jam was not cleared pursuant to the use of the instructional videos or with the guidance from the trained help desk agent.,12/9/2024 13:01
930,INV168084-01255A,2/21/2025, 300.00 ,SITE DECLINED TROUBLESHOOTING,OTHER,FAILURE TO TROUBLESHOOT: The site refused to work with trained help desk agent to resolve an issue which resulted in the dispatch of a technician.,12/9/2024 8:51
6978,INV168084-01255A,2/21/2025, 300.00 ,IMPROPER HANDLING - OTHER,OTHER,MISUSE: Operation of the equipment other than for its normal and intended purposes.,12/9/2024 9:04
5425,INV168084-01255A,2/21/2025, 300.00 ,IMPROPER HANDLING - HOPPERS,BCR,"PROCEDURE NEGLECT: The site failed to follow defined, maintenance and auditing guidelines for the unit.",12/9/2024 13:16
2526,INV168084-01255A,2/21/2025, 300.00 ,IMPROPER HANDLING - OTHER,OTHER,"PHYSICAL DAMAGE: Abuse, neglect or vandalism of the system or its component parts, or from customer’s failure to maintain the security of the equipment.",12/9/2024 7:50
1195,INV168084-01255A,2/21/2025, 321.00 ,NON DEVICE RELATED ISSUES,OTHER,COIN AUDIT: Coin Audit,12/9/2024 8:31
5216,INV168084-01255A,2/21/2025, 324.75 ,SITE DECLINED TROUBLESHOOTING,OTHER,FAILURE TO TROUBLESHOOT: The site refused to work with trained help desk agent to resolve an issue which resulted in the dispatch of a technician.,12/9/2024 17:02
8252,INV168084-01255A,2/21/2025, 425.00 ,NON DEVICE RELATED ISSUES,OTHER,THIRD PARTY EQUIPMENT: Machine has lost communication due to failure of network administered by third party,12/9/2024 18:01
2465,INV168084-01255A,2/21/2025, 300.00 ,IMPROPER HANDLING - OTHER,OTHER,"PHYSICAL DAMAGE: Abuse, neglect or vandalism of the system or its component parts, or from customer’s failure to maintain the security of the equipment.",12/9/2024 14:28
6259,INV168084-01255A,2/21/2025, 324.75 ,IMPROPER HANDLING - VAULT,OTHER,MISUSE: Operation of the equipment other than for its normal and intended purposes.,12/9/2024 13:29
2856,INV168084-01255A,2/21/2025, 300.00 ,IMPROPER HANDLING - OTHER,OTHER,MISUSE: Operation of the equipment other than for its normal and intended purposes.,12/9/2024 11:45
2073,INV168084-01255A,2/21/2025, 324.00 ,IMPROPER HANDLING - IMPROPER RACKING OF NR,BNR,"PHYSICAL DAMAGE: Abuse, neglect or vandalism of the system or its component parts, or from customer’s failure to maintain the security of the equipment.",12/9/2024 15:28
3066,INV168084-01255A,2/21/2025, 300.00 ,IMPROPER HANDLING - COIN SORTER,BCR,"PHYSICAL DAMAGE: Abuse, neglect or vandalism of the system or its component parts, or from customer’s failure to maintain the security of the equipment.",12/10/2024 12:03
6527,INV168084-01255A,2/21/2025, 329.85 ,SITE DECLINED TROUBLESHOOTING,OTHER,FAILURE TO TROUBLESHOOT: The site refused to work with trained help desk agent to resolve an issue which resulted in the dispatch of a technician.,12/10/2024 9:11
3276,INV168084-01255A,2/21/2025, 300.00 ,CUSTOMER FAILED TO CANCEL CALL,OTHER,FAILURE TO CANCEL: Site resolved issue prior to technician's arrival and failed to give proper notification to cancel service call.,12/9/2024 13:05
86,INV168084-01255A,2/21/2025, 300.00 ,IMPROPER HANDLING - IMPROPER RACKING OF NR,BNR,MISUSE: Operation of the equipment other than for its normal and intended purposes.,12/10/2024 10:23
5305,INV168084-01255A,2/21/2025, 300.00 ,IMPROPER HANDLING - OTHER,BNR,"PROCEDURE NEGLECT: The site failed to follow defined, maintenance and auditing guidelines for the unit.",12/9/2024 14:26
7156,INV168084-01255A,2/21/2025, 585.97 ,IMPROPER HANDLING - OTHER,OTHER,MISUSE: Operation of the equipment other than for its normal and intended purposes.,12/11/2024 10:53
502,INV168084-01255A,2/21/2025, 313.35 ,FOREIGN OBJECT - OTHER,BCR,FOREIGN OBJECT – OTHER: The unit failure or damage was due to a foreign object found in the note recycler.,12/9/2024 16:43
157,INV168084-01255A,2/21/2025, 468.57 ,REFUSED ACCESS TO DEVICE,OTHER,ACCESS: The site failed to provide access to the unit’s scheduled preventative maintenance or repair services.,12/9/2024 18:54
443,INV168084-01255A,2/21/2025, 324.75 ,CUSTOMER FAILED TO CANCEL CALL,OTHER,FAILURE TO CANCEL: Site resolved issue prior to technician's arrival and failed to give proper notification to cancel service call.,12/9/2024 17:01
1597,INV168084-01255A,2/21/2025, 300.00 ,SITE DECLINED TROUBLESHOOTING,BCR,JAMS – COIN: A coin jam was not cleared pursuant to the use of the instructional videos or with the guidance from the trained help desk agent.,12/10/2024 9:50
3141,INV168084-01255A,2/21/2025, 425.00 ,SITE DECLINED TROUBLESHOOTING,OTHER,FAILURE TO TROUBLESHOOT: The site refused to work with trained help desk agent to resolve an issue which resulted in the dispatch of a technician.,12/11/2024 5:00
2019,INV168084-01255A,2/21/2025, 318.00 ,CUSTOMER FAILED TO CANCEL CALL,BNR,FAILURE TO CANCEL: Site resolved issue prior to technician's arrival and failed to give proper notification to cancel service call.,12/10/2024 8:55
1560,INV168084-01255A,2/21/2025, 300.00 ,IMPROPER HANDLING - COIN SORTER,BCR,FAILURE TO CANCEL: Site resolved issue prior to technician's arrival and failed to give proper notification to cancel service call.,12/10/2024 15:22
6286,INV168084-01255A,2/21/2025, 324.75 ,IMPROPER HANDLING - GAS SPRING,OTHER,"PROCEDURE NEGLECT: The site failed to follow defined, maintenance and auditing guidelines for the unit.",12/10/2024 8:05
3959,INV168084-01255A,2/21/2025, 327.75 ,SITE DECLINED TROUBLESHOOTING,OTHER,FAILURE TO TROUBLESHOOT: The site refused to work with trained help desk agent to resolve an issue which resulted in the dispatch of a technician.,12/10/2024 11:02
2712,INV168084-01255A,2/21/2025, 300.00 ,NON DEVICE RELATED ISSUES,OTHER,COIN AUDIT: Coin Audit,12/10/2024 15:39
8250,INV168084-01255A,2/21/2025, 324.75 ,SITE DECLINED TROUBLESHOOTING,OTHER,FAILURE TO TROUBLESHOOT: The site refused to work with trained help desk agent to resolve an issue which resulted in the dispatch of a technician.,12/10/2024 11:32
967,INV168084-01255A,2/21/2025, 300.00 ,FOREIGN OBJECT - OTHER,BCR,FOREIGN OBJECT – OTHER: The unit failure or damage was due to a foreign object found in the note recycler.,12/10/2024 15:06
5654,INV168084-01255A,2/21/2025, 300.00 ,SITE DECLINED TROUBLESHOOTING,BNR,FAILURE TO TROUBLESHOOT: The site refused to work with trained help desk agent to resolve an issue which resulted in the dispatch of a technician.,12/10/2024 14:36
651,INV168084-01255A,2/21/2025, 324.75 ,FOREIGN OBJECT - OTHER,BNR,FOREIGN OBJECT – OTHER: The unit failure or damage was due to a foreign object found in the note recycler.,12/10/2024 16:20
312,INV168084-01255A,2/21/2025, 313.35 ,IMPROPER HANDLING - HOPPERS,BCR,"PROCEDURE NEGLECT: The site failed to follow defined, maintenance and auditing guidelines for the unit.",12/10/2024 15:29
2697,INV168084-01255A,2/21/2025, 300.00 ,IMPROPER HANDLING - HOPPERS,BCR,MISUSE: Operation of the equipment other than for its normal and intended purposes.,12/10/2024 11:05
3339,INV168084-01255A,2/21/2025, 319.88 ,CUSTOMER FAILED TO CANCEL CALL,BCR,FAILURE TO CANCEL: Site resolved issue prior to technician's arrival and failed to give proper notification to cancel service call.,12/10/2024 16:41
710,INV168084-01255A,2/21/2025, 464.31 ,IMPROPER HANDLING - COIN SORTER,BCR,CLEANING NEGLECT: The site failed to follow defined cleaning and maintenance guidelines for the unit.  The only thing performed by the technician to resolve the issue was to clean the device.,12/10/2024 19:18
6616,INV168084-01255A,2/21/2025, 300.00 ,IMPROPER HANDLING - COIN SORTER,BCR,CLEANING NEGLECT: The site failed to follow defined cleaning and maintenance guidelines for the unit.  The only thing performed by the technician to resolve the issue was to clean the device.,12/10/2024 12:28
2592,INV168084-01255A,2/21/2025, 300.00 ,CUSTOMER FAILED TO CANCEL CALL,BNR,FAILURE TO CANCEL: Site resolved issue prior to technician's arrival and failed to give proper notification to cancel service call.,12/11/2024 5:53
800,INV168084-01255A,2/21/2025, 300.00 ,IMPROPER HANDLING - OTHER,BNR,JAMS – NOTE: A note jam was not cleared pursuant to the use of the instructional videos or with the guidance from the trained help desk agent.,12/11/2024 8:50
6693,INV168084-01255A,2/21/2025, 318.00 ,SITE DECLINED TROUBLESHOOTING,OTHER,JAMS – NOTE: A note jam was not cleared pursuant to the use of the instructional videos or with the guidance from the trained help desk agent.,12/11/2024 9:41
777,INV168084-01255A,2/21/2025, 324.75 ,CUSTOMER FAILED TO CANCEL CALL,OTHER,FAILURE TO CANCEL: Site resolved issue prior to technician's arrival and failed to give proper notification to cancel service call.,12/11/2024 9:49
722,INV168084-01255A,2/21/2025, 300.00 ,IMPROPER HANDLING - OTHER,BNR,"PHYSICAL DAMAGE: Abuse, neglect or vandalism of the system or its component parts, or from customer’s failure to maintain the security of the equipment.",12/12/2024 12:30
5312,INV168084-01255A,2/21/2025, 460.06 ,IMPROPER HANDLING - OTHER,BNR,CLEANING NEGLECT: The site failed to follow defined cleaning and maintenance guidelines for the unit.  The only thing performed by the technician to resolve the issue was to clean the device.,12/11/2024 19:07
6482,INV168084-01255A,2/21/2025, 324.75 ,FOREIGN OBJECT - COIN,BNR,FOREIGN OBJECT – COIN: The unit failure or damage was due to a coin found in the note recycler.,12/12/2024 9:04
427,INV168084-01255A,2/21/2025, 324.75 ,NON DEVICE RELATED ISSUES,BCR,COIN AUDIT: Coin Audit,12/13/2024 11:23
723,INV168084-01255A,2/21/2025, 300.00 ,CUSTOMER FAILED TO CANCEL CALL,OTHER,FAILURE TO CANCEL: Site resolved issue prior to technician's arrival and failed to give proper notification to cancel service call.,12/13/2024 9:15
356,INV168084-01255A,2/21/2025, 300.00 ,SITE DECLINED TROUBLESHOOTING,OTHER,FAILURE TO TROUBLESHOOT: The site refused to work with trained help desk agent to resolve an issue which resulted in the dispatch of a technician.,12/12/2024 16:51
3231,INV168084-01255A,2/21/2025, 328.50 ,SITE DECLINED TROUBLESHOOTING,OTHER,FAILURE TO TROUBLESHOOT: The site refused to work with trained help desk agent to resolve an issue which resulted in the dispatch of a technician.,12/13/2024 11:14
5304,INV168084-01255A,2/21/2025, 300.00 ,IMPROPER HANDLING - OTHER,BNR,"PHYSICAL DAMAGE: Abuse, neglect or vandalism of the system or its component parts, or from customer’s failure to maintain the security of the equipment.",12/13/2024 11:15
3732,INV168084-01255A,2/21/2025, 322.32 ,NON DEVICE RELATED ISSUES,OTHER,COIN AUDIT: Coin Audit,12/12/2024 15:34
5461,INV168084-01255A,2/21/2025, 326.10 ,CUSTOMER FAILED TO CANCEL CALL,BNR,FAILURE TO CANCEL: Site resolved issue prior to technician's arrival and failed to give proper notification to cancel service call.,12/12/2024 15:01
5220,INV168084-01255A,2/21/2025, 300.00 ,CUSTOMER FAILED TO CANCEL CALL,OTHER,FAILURE TO CANCEL: Site resolved issue prior to technician's arrival and failed to give proper notification to cancel service call.,12/13/2024 11:05
8223,INV168084-01255A,2/21/2025, 321.75 ,SITE DECLINED TROUBLESHOOTING,OTHER,FAILURE TO TROUBLESHOOT: The site refused to work with trained help desk agent to resolve an issue which resulted in the dispatch of a technician.,12/13/2024 14:36
1374,INV168084-01255A,2/21/2025, 300.00 ,SITE DECLINED TROUBLESHOOTING,BNR,FAILURE TO TROUBLESHOOT: The site refused to work with trained help desk agent to resolve an issue which resulted in the dispatch of a technician.,12/13/2024 16:16
2403,INV168084-01255A,2/21/2025, 330.30 ,IMPROPER HANDLING - OTHER,OTHER,MISUSE: Operation of the equipment other than for its normal and intended purposes.,12/13/2024 13:23
2005,INV168084-01255A,2/21/2025, 321.00 ,SITE DECLINED TROUBLESHOOTING,OTHER,FAILURE TO TROUBLESHOOT: The site refused to work with trained help desk agent to resolve an issue which resulted in the dispatch of a technician.,12/13/2024 15:09
2214,INV168084-01255A,2/21/2025, 623.42 ,IMPROPER HANDLING - SHUTTER,BNR,"PHYSICAL DAMAGE: Abuse, neglect or vandalism of the system or its component parts, or from customer’s failure to maintain the security of the equipment.",12/6/2024 20:26
743,INV168084-01255A,2/21/2025," 2,924.44 ",FOREIGN OBJECT - OTHER,BCR,FOREIGN OBJECT – OTHER: The unit failure or damage was due to a foreign object found in the note recycler.,12/8/2024 8:23
1261,INV168084-01255A,2/21/2025," 2,933.92 ",IMPROPER HANDLING - COIN SORTER,BCR,"PHYSICAL DAMAGE: Abuse, neglect or vandalism of the system or its component parts, or from customer’s failure to maintain the security of the equipment.",12/8/2024 17:28
4473,INV168084-01255A,2/21/2025," 1,443.06 ",FOREIGN OBJECT - OTHER,BNR,FOREIGN OBJECT – OTHER: The unit failure or damage was due to a foreign object found in the note recycler.,12/7/2024 16:31
3816,INV168084-01255A,2/21/2025, 656.50 ,IMPROPER HANDLING - OTHER,OTHER,"PHYSICAL DAMAGE: Abuse, neglect or vandalism of the system or its component parts, or from customer’s failure to maintain the security of the equipment.",12/8/2024 15:31
1266,INV168084-01255A,2/21/2025," 1,255.20 ",IMPROPER HANDLING - OTHER,BNR,"PHYSICAL DAMAGE: Abuse, neglect or vandalism of the system or its component parts, or from customer’s failure to maintain the security of the equipment.",12/10/2024 11:59
2806,INV168084-01255A,2/21/2025, 698.25 ,NON DEVICE RELATED ISSUES,BCR,COIN AUDIT: Coin Audit,12/9/2024 15:24
1911,INV168084-01255A,2/21/2025, 550.42 ,IMPROPER HANDLING - HOPPERS,BCR,"PHYSICAL DAMAGE: Abuse, neglect or vandalism of the system or its component parts, or from customer’s failure to maintain the security of the equipment.",12/9/2024 11:10
5912,INV168084-01255A,2/21/2025, 655.71 ,IMPROPER HANDLING - HOPPERS,BCR,"PROCEDURE NEGLECT: The site failed to follow defined, maintenance and auditing guidelines for the unit.",12/8/2024 14:54
2292,INV168084-01255A,2/21/2025," 2,961.83 ",IMPROPER HANDLING - COIN SORTER,BCR,"PHYSICAL DAMAGE: Abuse, neglect or vandalism of the system or its component parts, or from customer’s failure to maintain the security of the equipment.",12/8/2024 14:52
2875,INV168084-01255A,2/21/2025," 1,341.09 ",IMPROPER HANDLING - OTHER,BNR,"PHYSICAL DAMAGE: Abuse, neglect or vandalism of the system or its component parts, or from customer’s failure to maintain the security of the equipment.",12/9/2024 14:28
1739,INV168084-01255A,2/21/2025," 2,889.54 ",IMPROPER HANDLING - COIN SORTER,BCR,"PHYSICAL DAMAGE: Abuse, neglect or vandalism of the system or its component parts, or from customer’s failure to maintain the security of the equipment.",12/9/2024 5:57
6887,INV168084-01255A,2/21/2025, 789.03 ,ACTS OF NATURE,OTHER,"ACTS OF NATURE: Damage to the system was due to an act of nature (earthquake, flood, tornado, etc.).",12/9/2024 11:40
4659,INV168084-01255A,2/21/2025, 576.64 ,IMPROPER HANDLING - OTHER,OTHER,"PHYSICAL DAMAGE: Abuse, neglect or vandalism of the system or its component parts, or from customer’s failure to maintain the security of the equipment.",12/10/2024 15:00
3645,INV168084-01255A,2/21/2025, 474.28 ,IMPROPER HANDLING - HOPPERS,BCR,"PROCEDURE NEGLECT: The site failed to follow defined, maintenance and auditing guidelines for the unit.",12/10/2024 13:37
835,INV168084-01255A,2/21/2025, 554.93 ,SITE DECLINED TROUBLESHOOTING,BCR,FAILURE TO TROUBLESHOOT: The site refused to work with trained help desk agent to resolve an issue which resulted in the dispatch of a technician.,12/9/2024 16:01
624,INV168084-01255A,2/21/2025," 2,175.66 ",IMPROPER HANDLING - OTHER,OTHER,"PHYSICAL DAMAGE: Abuse, neglect or vandalism of the system or its component parts, or from customer’s failure to maintain the security of the equipment.",12/11/2024 13:56
4664,INV168084-01255A,2/21/2025, 721.72 ,IMPROPER HANDLING - GAS SPRING,OTHER,MISUSE: Operation of the equipment other than for its normal and intended purposes.,12/11/2024 17:18
6606,INV168084-01255A,2/21/2025," 2,923.86 ",IMPROPER HANDLING - COIN SORTER,BCR,"PHYSICAL DAMAGE: Abuse, neglect or vandalism of the system or its component parts, or from customer’s failure to maintain the security of the equipment.",12/9/2024 19:47
4709,INV168084-01255A,2/21/2025," 2,802.31 ",IMPROPER HANDLING - COIN SORTER,BCR,"PHYSICAL DAMAGE: Abuse, neglect or vandalism of the system or its component parts, or from customer’s failure to maintain the security of the equipment.",12/9/2024 16:21
2028,INV168084-01255A,2/21/2025, 656.70 ,NON DEVICE RELATED ISSUES,BCR,COIN AUDIT: Coin Audit,12/9/2024 18:48
1164,INV168084-01255A,2/21/2025, 530.71 ,IMPROPER HANDLING - CASSETTES,BNR,"PROCEDURE NEGLECT: The site failed to follow defined, maintenance and auditing guidelines for the unit.",12/10/2024 12:33
672,INV168084-01255A,2/21/2025, 530.88 ,IMPROPER HANDLING - SHUTTER,BNR,MISUSE: Operation of the equipment other than for its normal and intended purposes.,12/10/2024 11:54
2495,INV168084-01255A,2/21/2025," 2,813.81 ",IMPROPER HANDLING - COIN SORTER,BCR,"PHYSICAL DAMAGE: Abuse, neglect or vandalism of the system or its component parts, or from customer’s failure to maintain the security of the equipment.",12/10/2024 15:30
1774,INV168084-01255A,2/21/2025, 548.97 ,IMPROPER HANDLING - OTHER,OTHER,"PHYSICAL DAMAGE: Abuse, neglect or vandalism of the system or its component parts, or from customer’s failure to maintain the security of the equipment.",12/11/2024 10:12
1615,INV168084-01255A,2/21/2025, 799.32 ,ACTS OF NATURE,OTHER,"ACTS OF NATURE: Damage to the system was due to an act of nature (earthquake, flood, tornado, etc.).",12/10/2024 9:59
2884,INV168084-01255A,2/21/2025, 795.31 ,ACTS OF NATURE,OTHER,"ACTS OF NATURE: Damage to the system was due to an act of nature (earthquake, flood, tornado, etc.).",12/10/2024 13:55
1129,INV168084-01255A,2/21/2025, 523.63 ,IMPROPER HANDLING - SHUTTER,BNR,"PHYSICAL DAMAGE: Abuse, neglect or vandalism of the system or its component parts, or from customer’s failure to maintain the security of the equipment.",12/10/2024 14:56
4188,INV168084-01255A,2/21/2025, 419.56 ,IMPROPER HANDLING - OTHER,OTHER,"PROCEDURE NEGLECT: The site failed to follow defined, maintenance and auditing guidelines for the unit.",12/11/2024 14:43
4356,INV168084-01255A,2/21/2025," 1,723.95 ",IMPROPER HANDLING - OTHER,OTHER,"PHYSICAL DAMAGE: Abuse, neglect or vandalism of the system or its component parts, or from customer’s failure to maintain the security of the equipment.",12/10/2024 20:21
485,INV168084-01255A,2/21/2025, 538.55 ,IMPROPER HANDLING - VAULT,OTHER,MISUSE: Operation of the equipment other than for its normal and intended purposes.,12/12/2024 14:35
1229,INV168084-01255A,2/21/2025," 1,771.10 ",IMPROPER HANDLING - OTHER,BNR,CLEANING NEGLECT: The site failed to follow defined cleaning and maintenance guidelines for the unit.  The only thing performed by the technician to resolve the issue was to clean the device.,12/10/2024 18:39
457,INV168084-01255A,2/21/2025," 1,104.92 ",IMPROPER HANDLING - OTHER,BNR,"PHYSICAL DAMAGE: Abuse, neglect or vandalism of the system or its component parts, or from customer’s failure to maintain the security of the equipment.",12/11/2024 10:31
649,INV168084-01255A,2/21/2025," 1,146.84 ",IMPROPER HANDLING - OTHER,BNR,"PHYSICAL DAMAGE: Abuse, neglect or vandalism of the system or its component parts, or from customer’s failure to maintain the security of the equipment.",12/12/2024 14:38
6428,INV168084-01255A,2/21/2025," 1,368.17 ",IMPROPER HANDLING - OTHER,BNR,"PHYSICAL DAMAGE: Abuse, neglect or vandalism of the system or its component parts, or from customer’s failure to maintain the security of the equipment.",12/13/2024 12:23
6663,INV168084-01255A,2/21/2025," 1,317.10 ",IMPROPER HANDLING - OTHER,BNR,FOREIGN OBJECT – COIN: The unit failure or damage was due to a coin found in the note recycler.,12/13/2024 9:41
2119,INV168084-01255A,2/21/2025," 2,816.69 ",IMPROPER HANDLING - COIN SORTER,BCR,"PHYSICAL DAMAGE: Abuse, neglect or vandalism of the system or its component parts, or from customer’s failure to maintain the security of the equipment.",12/13/2024 10:04
5087,INV168084-01255A,2/21/2025," 1,528.04 ",IMPROPER HANDLING - SHUTTER,BNR,"PHYSICAL DAMAGE: Abuse, neglect or vandalism of the system or its component parts, or from customer’s failure to maintain the security of the equipment.",12/13/2024 18:09
