Region,Market,Division,Total Five Star,# of Stores 4 or Better,W+ Paid Member Goal %,AES,Sales Comp,Controllable Profit,Presub,Shrink,OPD Growth
47,430,WEST BU,4.53,2,105.4%,65,8.5%,17.8%,95.2%,-1.5%,26.8%
46,375,SOUTHWEST BU,4.50,0,90.1%,67,3.9%,17.1%,93.5%,-2.4%,28.5%
16,180,EAST BU,4.39,1,97.7%,62,7.1%,16.5%,94.9%,-1.7%,32.8%
22,232,EAST BU,4.60,4,100.4%,64,5.7%,17.5%,95.2%,-1.1%,24.1%
13,134,SOUTHWEST BU,4.55,2,96.8%,72,6.5%,14.5%,94.3%,-2.1%,31.6%
56,457,WEST BU,4.56,3,94.7%,61,3.5%,12.5%,93.1%,-4.0%,28.9%
4,37,EAST BU,4.57,4,92.8%,68,5.7%,17.6%,93.4%,-1.9%,24.7%
6,65,SOUTHWEST BU,4.59,4,89.7%,75,4.4%,14.0%,94.2%,-3.3%,35.2%
42,322,SOUTHEAST BU,4.50,1,96.4%,63,8.4%,17.0%,95.2%,-1.5%,44.8%
20,317,NORTH BU,4.55,5,97.0%,69,8.0%,16.6%,95.2%,-1.5%,36.6%
42,325,SOUTHEAST BU,4.56,6,100.9%,72,8.6%,16.7%,96.8%,-1.2%,32.6%
16,187,EAST BU,4.47,1,103.9%,68,6.3%,16.2%,94.3%,-1.7%,22.7%
21,222,NORTH BU,4.47,1,95.1%,59,7.4%,16.4%,94.9%,-1.6%,27.4%
14,3,SOUTHEAST BU,4.42,2,89.6%,69,4.4%,16.9%,93.3%,-1.4%,22.8%
16,179,EAST BU,4.39,2,100.2%,62,8.5%,17.3%,94.9%,-1.6%,28.7%
26,302,EAST BU,4.53,2,99.5%,66,5.5%,16.9%,95.3%,-2.1%,26.7%
47,433,WEST BU,4.52,1,95.3%,67,11.8%,15.5%,94.3%,-1.8%,40.9%
21,248,NORTH BU,4.46,0,95.9%,63,6.7%,16.1%,95.2%,-1.3%,34.0%
3,101,SOUTHEAST BU,4.46,0,97.9%,70,8.6%,15.3%,93.1%,-2.2%,46.2%
6,83,SOUTHWEST BU,4.50,1,91.6%,69,8.2%,14.7%,92.0%,-3.7%,37.1%
53,441,NORTH BU,4.47,1,99.0%,67,4.7%,16.2%,94.2%,-2.2%,29.4%
52,421,WEST BU,4.56,4,94.0%,66,7.0%,16.0%,94.3%,-1.8%,22.0%
47,381,WEST BU,4.52,1,91.8%,67,7.2%,16.4%,94.5%,-1.9%,30.0%
11,4,SOUTHEAST BU,4.60,8,95.6%,71,6.6%,15.6%,95.7%,-1.6%,34.1%
54,378,WEST BU,4.54,2,96.6%,65,4.3%,16.0%,93.9%,-2.1%,23.7%
52,426,WEST BU,4.56,2,95.5%,67,7.5%,16.9%,95.3%,-1.4%,26.7%
44,47,SOUTHWEST BU,4.56,6,96.0%,69,6.4%,17.0%,94.1%,-1.8%,33.7%
46,384,SOUTHWEST BU,4.44,0,90.4%,70,3.6%,17.0%,94.0%,-2.8%,25.1%
58,364,WEST BU,4.54,4,99.2%,69,5.8%,17.5%,93.5%,-1.7%,26.9%
52,412,WEST BU,4.55,4,96.4%,63,8.5%,17.5%,94.3%,-1.0%,34.6%
7,71,SOUTHWEST BU,4.51,1,98.3%,68,7.2%,16.8%,94.7%,-2.2%,30.3%
2,18,SOUTHEAST BU,4.62,8,103.7%,68,6.6%,17.6%,94.3%,-1.5%,19.5%
11,145,SOUTHEAST BU,4.48,1,92.4%,68,4.4%,12.5%,89.3%,-3.2%,33.3%
41,253,NORTH BU,4.56,5,101.9%,71,7.4%,16.8%,95.4%,-1.3%,35.7%
76,192,EAST BU,4.51,2,101.9%,65,7.1%,14.0%,93.2%,-2.7%,47.6%
21,259,NORTH BU,4.55,5,89.1%,69,7.0%,16.9%,94.4%,-1.6%,26.8%
9,116,SOUTHEAST BU,4.52,2,91.7%,68,8.1%,16.3%,92.6%,-2.1%,42.9%
20,209,NORTH BU,4.49,1,94.9%,60,6.8%,16.2%,93.6%,-2.1%,40.2%
59,497,NHM BU,4.63,11,94.2%,70,10.0%,13.8%,94.9%,-2.4%,13.6%
5,479,SOUTHWEST BU,4.49,0,93.3%,67,7.5%,16.0%,93.3%,-3.0%,31.8%
47,382,WEST BU,4.54,3,102.6%,70,6.1%,18.1%,92.6%,-1.4%,28.2%
53,425,NORTH BU,4.48,2,98.8%,67,6.1%,17.0%,94.0%,-1.5%,23.1%
25,278,NORTH BU,4.47,2,94.3%,61,6.3%,15.8%,93.5%,-1.9%,28.3%
46,366,SOUTHWEST BU,4.57,2,93.5%,71,8.8%,17.8%,94.1%,-1.4%,36.9%
57,405,WEST BU,4.54,2,100.6%,68,5.9%,18.3%,94.3%,-1.5%,28.0%
75,287,EAST BU,4.53,2,91.3%,72,6.1%,14.2%,93.5%,-2.2%,34.6%
25,275,NORTH BU,4.52,3,93.6%,64,5.5%,16.0%,92.6%,-1.9%,29.7%
52,414,WEST BU,4.54,3,93.5%,64,8.0%,16.3%,94.6%,-1.9%,39.9%
19,200,NORTH BU,4.46,0,93.8%,60,5.3%,14.1%,93.1%,-2.1%,24.1%
12,152,SOUTHEAST BU,4.54,2,94.5%,65,8.7%,18.0%,95.2%,-1.5%,29.0%
64,507,NHM BU,4.65,11,92.6%,72,10.7%,14.9%,96.0%,-1.0%,0.6%
11,147,SOUTHEAST BU,4.61,6,95.6%,69,9.5%,17.4%,95.5%,-1.1%,41.5%
13,46,SOUTHWEST BU,4.55,3,94.6%,70,5.5%,17.0%,95.1%,-1.3%,19.4%
47,411,WEST BU,4.53,3,89.7%,64,8.1%,14.5%,93.9%,-2.4%,36.3%
19,207,NORTH BU,4.50,1,95.3%,63,6.6%,14.6%,94.2%,-1.9%,47.2%
4,38,EAST BU,4.50,2,93.1%,68,6.5%,15.3%,91.3%,-2.1%,35.5%
5,55,SOUTHWEST BU,4.53,1,97.2%,70,9.1%,16.0%,92.8%,-3.0%,56.3%
21,247,NORTH BU,4.49,0,91.6%,64,2.4%,16.2%,95.1%,-1.6%,30.2%
40,341,NORTH BU,4.48,1,95.8%,63,6.9%,14.9%,93.4%,-2.5%,34.2%
22,285,EAST BU,4.58,4,96.1%,64,6.5%,16.5%,94.5%,-2.1%,32.9%
46,367,SOUTHWEST BU,4.53,2,94.2%,67,8.5%,17.5%,94.3%,-2.2%,43.0%
17,226,EAST BU,4.56,1,101.1%,61,5.5%,17.8%,93.2%,-1.8%,38.7%
76,286,EAST BU,4.59,7,91.6%,65,6.7%,16.1%,94.3%,-1.6%,28.3%
26,309,EAST BU,4.51,1,92.9%,64,3.9%,14.6%,92.4%,-2.2%,25.2%
53,196,NORTH BU,4.59,3,103.8%,67,8.0%,17.3%,95.8%,-1.0%,25.3%
64,504,NHM BU,4.68,15,95.2%,73,7.3%,11.9%,96.1%,-2.3%,-6.0%
75,508,EAST BU,4.56,5,101.8%,64,8.3%,18.3%,91.9%,-2.2%,74.7%
52,418,WEST BU,4.56,5,97.7%,66,8.1%,16.0%,95.3%,-1.3%,31.3%
26,301,EAST BU,4.48,0,93.6%,66,3.1%,14.8%,92.2%,-2.2%,27.5%
21,218,NORTH BU,4.55,2,96.7%,67,6.6%,17.2%,95.3%,-1.3%,37.6%
11,146,SOUTHEAST BU,4.58,6,99.2%,71,8.1%,16.9%,95.5%,-1.2%,32.7%
12,124,SOUTHEAST BU,4.57,4,99.3%,71,7.9%,17.2%,94.7%,-1.5%,29.2%
21,246,NORTH BU,4.47,1,93.4%,65,5.4%,16.6%,93.4%,-1.7%,29.6%
42,326,SOUTHEAST BU,4.55,3,96.7%,71,8.8%,16.4%,95.6%,-2.1%,31.9%
14,14,SOUTHEAST BU,4.49,5,93.8%,72,5.8%,16.5%,93.0%,-1.5%,40.0%
47,432,WEST BU,4.55,2,97.5%,68,11.7%,14.8%,95.7%,-1.7%,46.3%
25,262,NORTH BU,4.58,5,97.1%,61,7.3%,14.5%,94.8%,-2.3%,28.9%
5,45,SOUTHWEST BU,4.53,0,99.8%,70,5.7%,17.2%,94.6%,-1.9%,30.2%
61,9,NHM BU,4.64,8,96.3%,68,11.0%,12.1%,95.5%,-1.8%,4.2%
72,538,NHM BU,4.61,10,97.0%,70,13.4%,15.1%,96.4%,-1.4%,11.2%
54,582,WEST BU,4.58,5,96.5%,64,6.4%,16.9%,94.4%,-2.0%,34.8%
41,254,NORTH BU,4.53,3,94.2%,67,8.4%,16.4%,95.3%,-1.9%,32.8%
12,121,SOUTHEAST BU,4.58,3,99.7%,69,8.9%,17.7%,95.6%,-1.0%,29.9%
72,96,NHM BU,4.65,10,96.2%,75,6.5%,12.6%,95.9%,-2.4%,1.5%
52,419,WEST BU,4.56,2,100.7%,63,6.1%,17.4%,95.3%,-1.5%,24.4%
59,498,NHM BU,4.68,15,97.4%,72,9.9%,13.1%,96.8%,-1.4%,3.4%
44,353,SOUTHWEST BU,4.54,2,90.5%,66,7.2%,16.5%,94.1%,-1.6%,34.3%
61,551,NHM BU,4.67,12,95.6%,72,6.4%,11.8%,94.2%,-2.9%,11.2%
60,473,WEST BU,4.54,3,102.9%,65,5.8%,15.4%,93.6%,-2.2%,22.9%
57,470,WEST BU,4.61,8,129.8%,74,8.9%,16.2%,90.0%,-1.7%,64.6%
12,149,SOUTHEAST BU,4.51,2,96.9%,65,7.6%,16.7%,94.3%,-1.6%,43.1%
22,237,EAST BU,4.55,3,96.5%,63,5.6%,18.1%,95.9%,-0.7%,21.0%
6,87,SOUTHWEST BU,4.63,9,89.1%,68,0.8%,15.8%,95.7%,-2.3%,22.7%
13,143,SOUTHWEST BU,4.57,4,95.0%,70,6.8%,17.4%,94.0%,-1.7%,34.8%
59,566,NHM BU,4.65,11,93.8%,69,9.6%,13.2%,95.5%,-1.6%,2.3%
22,165,EAST BU,4.58,6,93.3%,66,7.9%,13.4%,91.1%,-3.5%,41.7%
46,373,SOUTHWEST BU,4.56,3,94.3%,66,6.5%,14.8%,93.5%,-2.3%,32.1%
72,534,NHM BU,4.65,10,89.4%,70,11.1%,12.8%,96.7%,-1.2%,-2.3%
46,372,SOUTHWEST BU,4.52,0,92.3%,67,5.3%,15.1%,93.9%,-2.9%,37.4%
12,119,SOUTHEAST BU,4.51,1,93.1%,65,9.6%,17.7%,94.2%,-1.8%,35.8%
56,450,WEST BU,4.58,5,94.5%,67,6.8%,14.2%,93.7%,-3.1%,49.6%
64,570,NHM BU,4.63,9,94.7%,71,12.8%,13.5%,95.8%,-2.1%,0.8%
54,376,WEST BU,4.51,1,91.0%,64,4.7%,13.4%,90.8%,-3.4%,36.4%
47,383,WEST BU,4.59,5,103.7%,66,7.7%,16.8%,93.3%,-1.7%,30.9%
60,475,WEST BU,4.53,3,97.0%,63,5.1%,15.3%,92.9%,-2.3%,20.2%
19,205,NORTH BU,4.52,1,91.3%,62,4.2%,15.2%,95.3%,-1.5%,19.3%
44,356,SOUTHWEST BU,4.53,1,89.8%,67,8.8%,17.3%,95.6%,-1.5%,48.0%
59,546,NHM BU,4.58,7,93.1%,72,7.7%,13.4%,94.4%,-2.3%,4.6%
59,494,NHM BU,4.59,7,95.5%,70,12.5%,11.9%,93.0%,-3.0%,8.0%
59,500,NHM BU,4.62,8,97.4%,73,7.8%,11.3%,93.8%,-2.3%,3.1%
2,32,SOUTHEAST BU,4.49,3,91.1%,69,5.4%,15.4%,91.6%,-1.8%,28.2%
72,537,NHM BU,4.61,9,99.7%,71,11.0%,15.2%,96.1%,-1.1%,6.0%
44,352,SOUTHWEST BU,4.47,2,90.8%,66,7.0%,16.8%,93.3%,-2.2%,35.6%
54,585,WEST BU,4.55,2,92.7%,66,2.5%,12.5%,91.5%,-3.3%,30.5%
13,66,SOUTHWEST BU,4.53,1,92.9%,69,5.7%,15.2%,94.6%,-2.4%,33.4%
14,2,SOUTHEAST BU,4.52,0,89.3%,68,5.0%,16.0%,92.9%,-1.5%,24.3%
53,442,NORTH BU,4.50,1,98.3%,61,5.1%,16.1%,94.6%,-1.2%,23.3%
26,306,EAST BU,4.51,2,95.8%,63,7.1%,14.1%,90.6%,-3.2%,50.5%
7,86,SOUTHWEST BU,4.64,8,89.8%,73,4.3%,15.1%,94.7%,-2.2%,30.5%
3,98,SOUTHEAST BU,4.54,3,96.5%,75,7.8%,15.7%,93.6%,-2.6%,54.7%
59,554,NHM BU,4.62,9,95.4%,74,8.3%,12.2%,94.5%,-1.5%,-3.4%
6,64,SOUTHWEST BU,4.59,4,98.4%,78,1.5%,12.4%,93.7%,-3.8%,31.9%
76,231,EAST BU,4.55,5,100.4%,62,7.5%,18.3%,95.3%,-1.2%,31.4%
64,58,NHM BU,4.64,12,94.5%,72,8.7%,12.7%,95.9%,-2.1%,-4.9%
12,120,SOUTHEAST BU,4.57,3,92.6%,69,7.4%,16.6%,94.4%,-1.6%,32.4%
17,164,EAST BU,4.60,5,98.2%,70,6.7%,16.1%,91.3%,-2.5%,43.9%
61,515,NHM BU,4.68,12,94.0%,73,7.5%,12.5%,95.2%,-2.2%,5.6%
20,316,NORTH BU,4.54,4,98.1%,66,8.9%,16.3%,95.1%,-1.4%,46.4%
40,339,NORTH BU,4.44,1,98.2%,64,10.6%,14.7%,91.9%,-2.6%,55.7%
64,561,NHM BU,4.67,13,92.1%,78,7.1%,11.5%,96.0%,-2.1%,-5.9%
72,488,NHM BU,4.68,13,96.4%,76,7.7%,12.5%,95.2%,-2.4%,4.3%
7,506,SOUTHWEST BU,4.65,11,92.3%,68,3.1%,16.7%,94.8%,-1.7%,31.2%
19,213,NORTH BU,4.50,2,101.4%,61,7.2%,17.1%,95.1%,-1.0%,31.5%
64,542,NHM BU,4.68,16,95.5%,75,10.9%,13.4%,95.8%,-1.1%,10.2%
75,315,EAST BU,4.57,5,93.4%,62,6.0%,16.1%,94.5%,-2.1%,25.4%
9,91,SOUTHEAST BU,4.54,3,92.8%,69,8.8%,14.8%,92.5%,-2.8%,66.0%
61,557,NHM BU,4.68,12,94.7%,69,8.6%,13.2%,96.0%,-1.0%,-5.4%
9,118,SOUTHEAST BU,4.59,7,97.1%,69,11.2%,16.4%,94.2%,-1.9%,50.2%
56,400,WEST BU,4.51,1,101.1%,61,6.5%,18.4%,95.2%,-1.3%,27.2%
19,203,NORTH BU,4.58,4,90.5%,64,6.3%,14.6%,95.1%,-1.5%,18.2%
64,562,NHM BU,4.71,15,96.9%,76,9.9%,11.3%,96.1%,-1.6%,1.8%
58,464,WEST BU,4.67,8,90.0%,70,4.4%,14.0%,94.5%,-2.7%,36.7%
52,424,WEST BU,4.52,1,96.0%,63,8.3%,16.3%,95.4%,-1.4%,49.9%
5,48,SOUTHWEST BU,4.49,0,94.5%,66,5.9%,17.3%,93.6%,-1.9%,22.3%
56,453,WEST BU,4.55,1,91.4%,69,6.7%,13.8%,92.6%,-3.4%,40.4%
19,201,NORTH BU,4.52,0,98.7%,66,6.8%,13.7%,94.1%,-2.2%,28.2%
46,385,SOUTHWEST BU,4.44,0,92.9%,65,9.2%,17.0%,92.2%,-3.4%,33.8%
59,485,NHM BU,4.59,5,117.7%,71,13.5%,12.4%,93.8%,-2.5%,13.3%
7,569,SOUTHWEST BU,4.67,10,87.8%,79,8.2%,16.0%,95.5%,-1.6%,32.8%
57,581,WEST BU,4.62,6,95.8%,68,7.7%,14.3%,93.9%,-2.9%,42.6%
59,502,NHM BU,4.63,11,96.0%,69,9.7%,12.6%,93.5%,-2.1%,6.6%
61,512,NHM BU,4.60,6,91.1%,72,6.7%,12.6%,93.4%,-2.4%,12.6%
26,297,EAST BU,4.49,2,93.1%,64,3.2%,13.2%,91.3%,-3.5%,38.1%
14,97,SOUTHEAST BU,4.53,2,95.4%,71,7.0%,14.9%,93.8%,-2.0%,35.9%
21,217,NORTH BU,4.50,1,92.3%,66,7.5%,13.0%,93.1%,-2.7%,43.7%
61,510,NHM BU,4.71,14,92.4%,72,7.8%,11.3%,95.1%,-1.7%,-9.0%
44,409,SOUTHWEST BU,4.50,1,94.7%,67,6.6%,16.5%,95.4%,-2.5%,33.4%
52,423,WEST BU,4.51,1,96.1%,70,8.7%,13.4%,93.1%,-2.5%,23.5%
54,391,WEST BU,4.55,4,94.4%,63,4.1%,16.0%,92.8%,-2.6%,37.1%
64,543,NHM BU,4.66,16,96.4%,75,9.3%,13.8%,94.9%,-1.3%,7.7%
