Store #,Walmart Week,Banner Desc,Day One Preparation Date,Day Two Install Date,Installation Arrival Time,Day Three Go Live Date,Zoom Training Call Date & Time,Zoom Training Call Link,Zoom Dial In Number,,
5707,WK37,WM Supercenter w Tethered Fuel,10/12/2021,10/13/2021,7AM - 9AM,10/14/2021,"Thursday, October 14, from 1 - 3 p.m. CT / 2 - 4 p.m. ET",https://walmart.zoom.us/j/99721989428?pwd=NVExZGF0VDFTMllndkhQMkt3U3phZz09,"1(877) 853-5257 (US Toll Free), Meeting ID: 997 2198 9428",,
6851,WK37,Neighborhood Market w Tethered fuel,10/12/2021,10/13/2021,7AM - 9AM,10/14/2021,"Thursday, October 14, from 1 - 3 p.m. CT / 2 - 4 p.m. ET",https://walmart.zoom.us/j/99721989428?pwd=NVExZGF0VDFTMllndkhQMkt3U3phZz09,"1(877) 853-5257 (US Toll Free), Meeting ID: 997 2198 9428",,
7224,WK37,Neighborhood Market w Tethered fuel,10/12/2021,10/13/2021,7AM - 9AM,10/14/2021,"Thursday, October 14, from 1 - 3 p.m. CT / 2 - 4 p.m. ET",https://walmart.zoom.us/j/99721989428?pwd=NVExZGF0VDFTMllndkhQMkt3U3phZz09,"1(877) 853-5257 (US Toll Free), Meeting ID: 997 2198 9428",,
818,WK38,WM Supercenter w Liquor Box,10/17/2021,10/18/2021,7AM - 9AM,10/19/2021,"Thursday, October 21, from 1 - 3 p.m. CT / 2 - 4 p.m. ET",https://walmart.zoom.us/j/96984202460?pwd=NlQ0dS9SOTF3OFBEYld2Qkw3TWtPZz09,"1(877) 853 5257 (US Toll Free), Meeting ID: 969 8420 2460",,
2105,WK38,WM Supercenter w Tethered Fuel,10/17/2021,10/18/2021,7AM - 9AM,10/19/2021,"Thursday, October 21, from 1 - 3 p.m. CT / 2 - 4 p.m. ET",https://walmart.zoom.us/j/96984202460?pwd=NlQ0dS9SOTF3OFBEYld2Qkw3TWtPZz09,"1(877) 853 5257 (US Toll Free), Meeting ID: 969 8420 2460",,
7178,WK38,WM Supercenter w Tethered Fuel,10/17/2021,10/18/2021,7AM - 9AM,10/19/2021,"Thursday, October 21, from 1 - 3 p.m. CT / 2 - 4 p.m. ET",https://walmart.zoom.us/j/96984202460?pwd=NlQ0dS9SOTF3OFBEYld2Qkw3TWtPZz09,"1(877) 853 5257 (US Toll Free), Meeting ID: 969 8420 2460",,
163,WK38,WM Supercenter w Tethered Fuel,10/18/2021,10/19/2021,7AM - 9AM,10/20/2021,"Thursday, October 21, from 1 - 3 p.m. CT / 2 - 4 p.m. ET",https://walmart.zoom.us/j/96984202460?pwd=NlQ0dS9SOTF3OFBEYld2Qkw3TWtPZz09,"1(877) 853 5257 (US Toll Free), Meeting ID: 969 8420 2460",,
5420,WK38,WM Supercenter w Liquor Box,10/18/2021,10/19/2021,7AM - 9AM,10/20/2021,"Thursday, October 21, from 1 - 3 p.m. CT / 2 - 4 p.m. ET",https://walmart.zoom.us/j/99721989428?pwd=NVExZGF0VDFTMllndkhQMkt3U3phZz09,"1(877) 853 5257 (US Toll Free), Meeting ID: 997 2198 9428",,
6467,WK38,WM Supercenter w Tethered Fuel,10/18/2021,10/19/2021,7AM - 9AM,10/20/2021,"Thursday, October 21, from 1 - 3 p.m. CT / 2 - 4 p.m. ET",https://walmart.zoom.us/j/99721989428?pwd=NVExZGF0VDFTMllndkhQMkt3U3phZz09,"1(877) 853 5257 (US Toll Free), Meeting ID: 997 2198 9428",,
236,WK38,WM Supercenter w Tethered Fuel,10/19/2021,10/20/2021,7AM - 9AM,10/21/2021,"Thursday, October 21, from 1 - 3 p.m. CT / 2 - 4 p.m. ET",https://walmart.zoom.us/j/99721989428?pwd=NVExZGF0VDFTMllndkhQMkt3U3phZz09,"1(877) 853 5257 (US Toll Free), Meeting ID: 997 2198 9428",,
817,WK38,WM Supercenter w Liquor Box,10/19/2021,10/20/2021,7AM - 9AM,10/21/2021,"Thursday, October 21, from 1 - 3 p.m. CT / 2 - 4 p.m. ET",https://walmart.zoom.us/j/99721989428?pwd=NVExZGF0VDFTMllndkhQMkt3U3phZz09,"1(877) 853 5257 (US Toll Free), Meeting ID: 997 2198 9428",,
3585,WK39,WM Supercenter w Tethered Fuel,10/24/2021,10/25/2021,7AM - 9AM,10/26/2021,"Thursday, October 28, from 1 - 3 p.m. CT / 2 - 4 p.m. ET",https://walmart.zoom.us/j/96984202460?pwd=NlQ0dS9SOTF3OFBEYld2Qkw3TWtPZz09,"1(877) 853 5257 (US Toll Free), Meeting ID: 969 8420 2460",,
5805,WK39,Neighborhood Market w Tethered fuel,10/24/2021,10/25/2021,7AM - 9AM,10/26/2021,"Thursday, October 28, from 1 - 3 p.m. CT / 2 - 4 p.m. ET",https://walmart.zoom.us/j/96984202460?pwd=NlQ0dS9SOTF3OFBEYld2Qkw3TWtPZz09,"1(877) 853 5257 (US Toll Free), Meeting ID: 969 8420 2460",,
7156,WK39,WM Supercenter w Tethered Fuel,10/24/2021,10/25/2021,7AM - 9AM,10/26/2021,"Thursday, October 28, from 1 - 3 p.m. CT / 2 - 4 p.m. ET",https://walmart.zoom.us/j/93607294724?pwd=cS9sU0lBeTBRWHlOZlEvdFppZEVBdz09,"1(877) 853 5257 (US Toll Free), Meeting ID: 936 0729 4724",,
351,WK39,WM Supercenter w Tethered Fuel,10/25/2021,10/26/2021,7AM - 9AM,10/27/2021,"Thursday, October 28, from 1 - 3 p.m. CT / 2 - 4 p.m. ET",https://walmart.zoom.us/j/96984202460?pwd=NlQ0dS9SOTF3OFBEYld2Qkw3TWtPZz09,"1(877) 853 5257 (US Toll Free), Meeting ID: 969 8420 2460",,
6286,WK39,WM Supercenter w Tethered Fuel,10/25/2021,10/26/2021,7AM - 9AM,10/27/2021,"Thursday, October 28, from 1 - 3 p.m. CT / 2 - 4 p.m. ET",https://walmart.zoom.us/j/93607294724?pwd=cS9sU0lBeTBRWHlOZlEvdFppZEVBdz09,"1(877) 853 5257 (US Toll Free), Meeting ID: 936 0729 4724",,
7308,WK39,Neighborhood Market w Tethered fuel,10/25/2021,10/26/2021,7AM - 9AM,10/27/2021,"Thursday, October 28, from 1 - 3 p.m. CT / 2 - 4 p.m. ET",https://walmart.zoom.us/j/93607294724?pwd=cS9sU0lBeTBRWHlOZlEvdFppZEVBdz09,"1(877) 853 5257 (US Toll Free), Meeting ID: 936 0729 4724",,
4102,WK39,WM Supercenter w Tethered Fuel,10/26/2021,10/27/2021,7AM - 9AM,10/28/2021,"Thursday, October 28, from 1 - 3 p.m. CT / 2 - 4 p.m. ET",https://walmart.zoom.us/j/96984202460?pwd=NlQ0dS9SOTF3OFBEYld2Qkw3TWtPZz09,"1(877) 853 5257 (US Toll Free), Meeting ID: 969 8420 2460",,
7294,WK39,WM Supercenter w Tethered Fuel,10/26/2021,10/27/2021,7AM - 9AM,10/28/2021,"Thursday, October 28, from 1 - 3 p.m. CT / 2 - 4 p.m. ET",https://walmart.zoom.us/j/93607294724?pwd=cS9sU0lBeTBRWHlOZlEvdFppZEVBdz09,"1(877) 853 5257 (US Toll Free), Meeting ID: 936 0729 4724",,
2695,WK 40,WM Supercenter w Liquor Box,10/31/2021,11/1/2021,7 AM,11/2/2021,"Thursday, November 4, from 1 - 3 p.m. CT / 2 - 4 p.m. ET",https://walmart.zoom.us/j/96984202460?pwd=NlQ0dS9SOTF3OFBEYld2Qkw3TWtPZz09,"1(877) 853 5257 (US Toll Free), Meeting ID: 969 8420 2460",,
3202,WK 40,Neighborhood Market w Tethered fuel,10/31/2021,11/1/2021,1 PM,11/2/2021,"Thursday, November 4, from 1 - 3 p.m. CT / 2 - 4 p.m. ET",https://walmart.zoom.us/j/93607294724?pwd=cS9sU0lBeTBRWHlOZlEvdFppZEVBdz09,"1(877) 853 5257 (US Toll Free), Meeting ID: 936 0729 4724",,
4194,WK 40,WM Supercenter w Tethered Fuel,10/31/2021,11/1/2021,7 AM,11/2/2021,"Thursday, November 4, from 1 - 3 p.m. CT / 2 - 4 p.m. ET",https://walmart.zoom.us/j/93607294724?pwd=cS9sU0lBeTBRWHlOZlEvdFppZEVBdz09,"1(877) 853 5257 (US Toll Free), Meeting ID: 936 0729 4724",,
5299,WK 40,WM Supercenter w Liquor Box,10/31/2021,11/1/2021,2 PM,11/2/2021,"Thursday, November 4, from 1 - 3 p.m. CT / 2 - 4 p.m. ET",https://walmart.zoom.us/j/93607294724?pwd=cS9sU0lBeTBRWHlOZlEvdFppZEVBdz09,"1(877) 853 5257 (US Toll Free), Meeting ID: 936 0729 4724",,
7326,WK 40,WM Supercenter w Tethered Fuel,10/31/2021,11/1/2021,7 AM,11/2/2021,"Thursday, November 4, from 1 - 3 p.m. CT / 2 - 4 p.m. ET",https://walmart.zoom.us/j/99721989428?pwd=NVExZGF0VDFTMllndkhQMkt3U3phZz09,"1(877) 853 5257 (US Toll Free), Meeting ID: 997 2198 9428",,
58,WK 40,WM Supercenter w Tethered Fuel,11/1/2021,11/2/2021,8 AM,11/3/2021,"Thursday, November 4, from 1 - 3 p.m. CT / 2 - 4 p.m. ET",https://walmart.zoom.us/j/96984202460?pwd=NlQ0dS9SOTF3OFBEYld2Qkw3TWtPZz09,"1(877) 853 5257 (US Toll Free), Meeting ID: 969 8420 2460",,
1957,WK 40,WM Supercenter w Liquor Box,11/1/2021,11/2/2021,7 AM,11/3/2021,"Thursday, November 4, from 1 - 3 p.m. CT / 2 - 4 p.m. ET",https://walmart.zoom.us/j/96984202460?pwd=NlQ0dS9SOTF3OFBEYld2Qkw3TWtPZz09,"1(877) 853 5257 (US Toll Free), Meeting ID: 969 8420 2460",,
2984,WK 40,Neighborhood Market w Tethered fuel,11/1/2021,11/2/2021,7 AM,11/3/2021,"Thursday, November 4, from 1 - 3 p.m. CT / 2 - 4 p.m. ET",https://walmart.zoom.us/j/96984202460?pwd=NlQ0dS9SOTF3OFBEYld2Qkw3TWtPZz09,"1(877) 853 5257 (US Toll Free), Meeting ID: 969 8420 2460",,
5391,WK 40,WM Supercenter w Liquor Box,11/1/2021,11/2/2021,2 PM,11/3/2021,"Thursday, November 4, from 1 - 3 p.m. CT / 2 - 4 p.m. ET",https://walmart.zoom.us/j/93607294724?pwd=cS9sU0lBeTBRWHlOZlEvdFppZEVBdz09,"1(877) 853 5257 (US Toll Free), Meeting ID: 936 0729 4724",,
5717,WK 40,WM Supercenter w Tethered Fuel,11/1/2021,11/2/2021,8 AM,11/3/2021,"Thursday, November 4, from 1 - 3 p.m. CT / 2 - 4 p.m. ET",https://walmart.zoom.us/j/99721989428?pwd=NVExZGF0VDFTMllndkhQMkt3U3phZz09,"1(877) 853 5257 (US Toll Free), Meeting ID: 997 2198 9428",,
1224,WK 40,WM Supercenter w Liquor Box,11/2/2021,11/3/2021,7 AM,11/4/2021,"Thursday, November 4, from 1 - 3 p.m. CT / 2 - 4 p.m. ET",https://walmart.zoom.us/j/96984202460?pwd=NlQ0dS9SOTF3OFBEYld2Qkw3TWtPZz09,"1(877) 853 5257 (US Toll Free), Meeting ID: 969 8420 2460",,
4686,WK 40,Neighborhood Market w Tethered fuel,11/2/2021,11/3/2021,8 AM,11/4/2021,"Thursday, November 4, from 1 - 3 p.m. CT / 2 - 4 p.m. ET",https://walmart.zoom.us/j/93607294724?pwd=cS9sU0lBeTBRWHlOZlEvdFppZEVBdz09,"1(877) 853 5257 (US Toll Free), Meeting ID: 936 0729 4724",,
5771,WK 40,Neighborhood Market w Tethered fuel,11/2/2021,11/3/2021,2 PM,11/4/2021,"Thursday, November 4, from 1 - 3 p.m. CT / 2 - 4 p.m. ET",https://walmart.zoom.us/j/99721989428?pwd=NVExZGF0VDFTMllndkhQMkt3U3phZz09,"1(877) 853 5257 (US Toll Free), Meeting ID: 997 2198 9428",,
6898,WK 40,WM Supercenter w Tethered Fuel,11/2/2021,11/3/2021,8 AM,11/4/2021,"Thursday, November 4, from 1 - 3 p.m. CT / 2 - 4 p.m. ET",https://walmart.zoom.us/j/99721989428?pwd=NVExZGF0VDFTMllndkhQMkt3U3phZz09,"1(877) 853 5257 (US Toll Free), Meeting ID: 997 2198 9428",,
6971,WK 40,Neighborhood Market w Tethered fuel,11/2/2021,11/3/2021,8 AM,11/4/2021,"Thursday, November 4, from 1 - 3 p.m. CT / 2 - 4 p.m. ET",https://walmart.zoom.us/j/99721989428?pwd=NVExZGF0VDFTMllndkhQMkt3U3phZz09,"1(877) 853 5257 (US Toll Free), Meeting ID: 997 2198 9428",,
721,WK41,WM Supercenter w Liquor Box,11/7/2021,11/8/2021,7 – 9 AM ,11/9/2021,"Thursday, November 11, from 1 - 3 p.m. CT / 2 - 4 p.m. ET",https://walmart.zoom.us/j/96984202460?pwd=NlQ0dS9SOTF3OFBEYld2Qkw3TWtPZz09,"1(877) 853 5257 (US Toll Free), Meeting ID: 969 8420 2460",,
819,WK41,WM Supercenter w Liquor Box,11/7/2021,11/8/2021,11 AM – 1 PM,11/9/2021,"Thursday, November 11, from 1 - 3 p.m. CT / 2 - 4 p.m. ET",https://walmart.zoom.us/j/96984202460?pwd=NlQ0dS9SOTF3OFBEYld2Qkw3TWtPZz09,"1(877) 853 5257 (US Toll Free), Meeting ID: 969 8420 2460",,
929,WK41,WM Supercenter w Liquor Box,11/7/2021,11/8/2021,7 – 9 AM ,11/9/2021,"Thursday, November 11, from 1 - 3 p.m. CT / 2 - 4 p.m. ET",https://walmart.zoom.us/j/96984202460?pwd=NlQ0dS9SOTF3OFBEYld2Qkw3TWtPZz09,"1(877) 853 5257 (US Toll Free), Meeting ID: 969 8420 2460",,
3527,WK41,WM Supercenter w Liquor Box,11/7/2021,11/8/2021,11 AM – 1 PM,11/9/2021,"Thursday, November 11, from 1 - 3 p.m. CT / 2 - 4 p.m. ET",https://walmart.zoom.us/j/93607294724?pwd=cS9sU0lBeTBRWHlOZlEvdFppZEVBdz09,"1(877) 853 5257 (US Toll Free), Meeting ID: 936 0729 4724",,
769,WK41,WM Supercenter w Liquor Box,11/8/2021,11/9/2021,7 – 9 AM ,11/10/2021,"Thursday, November 11, from 1 - 3 p.m. CT / 2 - 4 p.m. ET",https://walmart.zoom.us/j/96984202460?pwd=NlQ0dS9SOTF3OFBEYld2Qkw3TWtPZz09,"1(877) 853 5257 (US Toll Free), Meeting ID: 969 8420 2460",,
1874,WK41,WM Supercenter w Liquor Box,11/8/2021,11/9/2021,11 AM – 1 PM,11/10/2021,"Thursday, November 11, from 1 - 3 p.m. CT / 2 - 4 p.m. ET",https://walmart.zoom.us/j/93607294724?pwd=cS9sU0lBeTBRWHlOZlEvdFppZEVBdz09,"1(877) 853 5257 (US Toll Free), Meeting ID: 936 0729 4724",,
3619,WK41,Neighborhood Market w Tethered fuel,11/8/2021,11/9/2021,7 – 9 AM ,11/10/2021,"Thursday, November 11, from 1 - 3 p.m. CT / 2 - 4 p.m. ET",https://walmart.zoom.us/j/93607294724?pwd=cS9sU0lBeTBRWHlOZlEvdFppZEVBdz09,"1(877) 853 5257 (US Toll Free), Meeting ID: 936 0729 4724",,
3885,WK41,Neighborhood Market w Tethered fuel,11/8/2021,11/9/2021,12 – 2 PM,11/10/2021,"Thursday, November 11, from 1 - 3 p.m. CT / 2 - 4 p.m. ET",https://walmart.zoom.us/j/93607294724?pwd=cS9sU0lBeTBRWHlOZlEvdFppZEVBdz09,"1(877) 853 5257 (US Toll Free), Meeting ID: 936 0729 4724",,
3880,WK41,Neighborhood Market w Tethered fuel,11/9/2021,11/10/2021,7 – 9 AM ,11/11/2021,"Thursday, November 11, from 1 - 3 p.m. CT / 2 - 4 p.m. ET",https://walmart.zoom.us/j/93607294724?pwd=cS9sU0lBeTBRWHlOZlEvdFppZEVBdz09,"1(877) 853 5257 (US Toll Free), Meeting ID: 936 0729 4724",,
5034,WK41,WM Supercenter w Liquor Box,11/9/2021,11/10/2021,7 – 9 AM ,11/11/2021,"Thursday, November 11, from 1 - 3 p.m. CT / 2 - 4 p.m. ET",https://walmart.zoom.us/j/99721989428?pwd=NVExZGF0VDFTMllndkhQMkt3U3phZz09,"1(877) 853 5257 (US Toll Free), Meeting ID: 997 2198 9428",,
5143,WK41,Neighborhood Market w Tethered fuel,11/9/2021,11/10/2021,12 – 2 PM,11/11/2021,"Thursday, November 11, from 1 - 3 p.m. CT / 2 - 4 p.m. ET",https://walmart.zoom.us/j/99721989428?pwd=NVExZGF0VDFTMllndkhQMkt3U3phZz09,"1(877) 853 5257 (US Toll Free), Meeting ID: 997 2198 9428",,
7209,WK41,Neighborhood Market w Tethered fuel,11/9/2021,11/10/2021,8 - 10 AM,11/11/2021,"Thursday, November 11, from 1 - 3 p.m. CT / 2 - 4 p.m. ET",https://walmart.zoom.us/j/99721989428?pwd=NVExZGF0VDFTMllndkhQMkt3U3phZz09,"1(877) 853 5257 (US Toll Free), Meeting ID: 997 2198 9428",,
6190,WK41,WM Supercenter w Tethered Fuel,11/10/2021,11/11/2021,12 – 2 PM,11/12/2021,"Thursday, November 11, from 1 - 3 p.m. CT / 2 - 4 p.m. ET",https://walmart.zoom.us/j/99721989428?pwd=NVExZGF0VDFTMllndkhQMkt3U3phZz09,"1(877) 853 5257 (US Toll Free), Meeting ID: 997 2198 9428",,
7337,WK41,Neighborhood Market w Tethered fuel,11/10/2021,11/11/2021,11 AM – 1 PM,11/12/2021,"Thursday, November 11, from 1 - 3 p.m. CT / 2 - 4 p.m. ET",https://walmart.zoom.us/j/99721989428?pwd=NVExZGF0VDFTMllndkhQMkt3U3phZz09,"1(877) 853 5257 (US Toll Free), Meeting ID: 997 2198 9428",,
154,WK 42,WM Supercenter w Tethered Fuel,11/14/2021,11/15/2021,7 AM - 9 AM,11/16/2021,"Thursday, November 18, from 1 - 3 p.m. CT / 2 - 4 p.m. ET",https://walmart.zoom.us/j/96984202460?pwd=NlQ0dS9SOTF3OFBEYld2Qkw3TWtPZz09,"1(877) 853 5257 (US Toll Free), Meeting ID: 969 8420 2460",,
3713,WK 42,Neighborhood Market w Tethered fuel,11/14/2021,11/15/2021,7 AM - 9 AM,11/16/2021,"Thursday, November 18, from 1 - 3 p.m. CT / 2 - 4 p.m. ET",https://walmart.zoom.us/j/96984202460?pwd=NlQ0dS9SOTF3OFBEYld2Qkw3TWtPZz09,"1(877) 853 5257 (US Toll Free), Meeting ID: 969 8420 2460",,
6395,WK 42,WM Supercenter w Tethered Fuel,11/14/2021,11/15/2021,12 PM - 2 PM,11/16/2021,"Thursday, November 18, from 1 - 3 p.m. CT / 2 - 4 p.m. ET",https://walmart.zoom.us/j/93607294724?pwd=cS9sU0lBeTBRWHlOZlEvdFppZEVBdz09,"1(877) 853 5257 (US Toll Free), Meeting ID: 936 0729 4724",,
3480,WK 42,WM Supercenter w Tethered Fuel,11/15/2021,11/16/2021,7 AM - 9 AM,11/17/2021,"Thursday, November 18, from 1 - 3 p.m. CT / 2 - 4 p.m. ET",https://walmart.zoom.us/j/96984202460?pwd=NlQ0dS9SOTF3OFBEYld2Qkw3TWtPZz09,"1(877) 853 5257 (US Toll Free), Meeting ID: 969 8420 2460",,
4443,WK 42,Neighborhood Market w Tethered fuel,11/15/2021,11/16/2021,8 AM - 10 AM,11/17/2021,"Thursday, November 18, from 1 - 3 p.m. CT / 2 - 4 p.m. ET",https://walmart.zoom.us/j/93607294724?pwd=cS9sU0lBeTBRWHlOZlEvdFppZEVBdz09,"1(877) 853 5257 (US Toll Free), Meeting ID: 936 0729 4724",,
4445,WK 42,Neighborhood Market w Tethered fuel,11/15/2021,11/16/2021,1 PM - 3 PM,11/17/2021,"Thursday, November 18, from 1 - 3 p.m. CT / 2 - 4 p.m. ET",https://walmart.zoom.us/j/93607294724?pwd=cS9sU0lBeTBRWHlOZlEvdFppZEVBdz09,"1(877) 853 5257 (US Toll Free), Meeting ID: 936 0729 4724",,
3628,WK 42,Neighborhood Market w Tethered fuel,11/16/2021,11/17/2021,7 AM - 9 AM,11/18/2021,"Thursday, November 18, from 1 - 3 p.m. CT / 2 - 4 p.m. ET",https://walmart.zoom.us/j/96984202460?pwd=NlQ0dS9SOTF3OFBEYld2Qkw3TWtPZz09,"1(877) 853 5257 (US Toll Free), Meeting ID: 969 8420 2460",,
3899,WK 42,Neighborhood Market w Tethered fuel,11/16/2021,11/17/2021,1 PM - 3 PM,11/18/2021,"Thursday, November 18, from 1 - 3 p.m. CT / 2 - 4 p.m. ET",https://walmart.zoom.us/j/93607294724?pwd=cS9sU0lBeTBRWHlOZlEvdFppZEVBdz09,"1(877) 853 5257 (US Toll Free), Meeting ID: 936 0729 4724",,
