Primary,Business Domain,"Data Group 
(Sub-Domain)","Data Sub-Group 
(Business Process)",Data Classification,Data Category,Scope
English,All Domains,Government Identifiers,NHS Number,Highly Sensitive,Personal Information,Global
English,All Domains,Government Identifiers,Other Government-Issued Identification Number,Highly Sensitive,Personal Information,Global
English,All Domains,Government Identifiers,Other Government-Issued Identification Number,Sensitive,Personal Information,Central America
English,All Domains,Government Identifiers,Passport and visa details,Highly Sensitive,Personal Information,Global
English,All Domains,Government Identifiers,Passport and visa details,Sensitive,Personal Information,Central America
English,All Domains,Government Identifiers,RSI # (Irish Tax ID),Highly Sensitive,Personal Information,Ireland
English,All Domains,Government Identifiers,Social Security Number (SSN),Highly Sensitive,Personal Information,US
English,All Domains,Government Identifiers,N˙mero de Seguridad Social (NSS),Sensitive,Personal Information,Mexico
English,All Domains,Government Identifiers,Aadhar,Highly Sensitive,Personal Information,India
English,All Domains,Government Identifiers,RUT (Rol ⁄nico Tributario which is Chile's tax identification number (TIN)),Highly Sensitive,Personal Information,Chile
English,All Domains,Government Identifiers,Tax ID Number,Highly Sensitive,Personal Information,Global
English,All Domains,Government Identifiers,Vehicle Registration Number,Sensitive,Personal Information,Global
English,All Domains,Health and Health Insurance Information,Drugs Therapies or Medical Products or Equipment Used,Highly Sensitive,Personal Information,Global
English,All Domains,Individual Preferences and Characteristics,Psychological Trends,Highly Sensitive,Personal Information,Global
English,All Domains,Individual Preferences and Characteristics,Test Activity and Behavior,Highly Sensitive,Personal Information,Global
English,All Domains,Individual Preferences and Characteristics,Test Personal Attributes,Highly Sensitive,Personal Information,Global
English,All Domains,Individual Preferences and Characteristics,Designated Market Area Code,Sensitive,Personal Information,Global
English,All Domains,Individual Preferences and Characteristics,Web Navigation Habits,Sensitive,Personal Information,South Africa
English,All Domains,Individual Preferences and Characteristics,Professional Abilities,Sensitive,Personal Information,Global
English,All Domains,Individual Preferences and Characteristics,Analytics data related to customer behaviors and shopping preferences to create individual customer profiles†,Highly Sensitive,Personal Information,Global
English,All Domains,Individual Preferences and Characteristics,Analytics data related to customer behaviors and shopping preferences to create individual customer profiles†,Sensitive,Personal Information,South Africa
English,All Domains,Individual Preferences and Characteristics,Aptitudes,Highly Sensitive,Personal Information,Canada
English,All Domains,Individual Preferences and Characteristics,Aptitudes,Sensitive,Personal Information,Global
English,All Domains,Individual Preferences and Characteristics,Assumptions predictions scores and ratings derived from data analysis,Highly Sensitive,Personal Information,Global
English,All Domains,Individual Preferences and Characteristics,Behavior,Highly Sensitive,Personal Information,Global
English,All Domains,Individual Preferences and Characteristics,Clothes/shoe size,Highly Sensitive,Personal Information,Canada
English,All Domains,Individual Preferences and Characteristics,Clothes/shoe size,Sensitive,Personal Information,Global
English,All Domains,Individual Preferences and Characteristics,College Education,Sensitive,Personal Information,Global
English,All Domains,Individual Preferences and Characteristics,Consumer Characteristics,Highly Sensitive,Personal Information,Global
English,All Domains,Individual Preferences and Characteristics,Consumer Preferences,Highly Sensitive,Personal Information,Canada
English,All Domains,Individual Preferences and Characteristics,Consumer Preferences,Sensitive,Personal Information,Global
English,All Domains,Individual Preferences and Characteristics,Dietary Requirements,Highly Sensitive,Personal Information,Global
English,All Domains,Individual Preferences and Characteristics,Dwelling Type,Sensitive,Personal Information,Global
English,All Domains,Individual Preferences and Characteristics,Estimated Income Identified,Highly Sensitive,Personal Information,Global
English,All Domains,Individual Preferences and Characteristics,Household Age Indicator,Sensitive,Personal Information,Global
English,All Domains,Individual Preferences and Characteristics,Interests and Pastimes,Sensitive,Personal Information,Global
English,All Domains,Individual Preferences and Characteristics,Lifestyle interests activities likes and dislikes,Sensitive,Personal Information,Global
English,All Domains,Individual Preferences and Characteristics,Number of Cars Owned,Sensitive,Personal Information,Global
English,All Domains,Individual Preferences and Characteristics,Number of Persons in the Household,Sensitive,Personal Information,Global
English,All Domains,Individual Preferences and Characteristics,Predispositions,Highly Sensitive,Personal Information,Global
English,All Domains,Institutional Information,SOWs/MSAs/NDAs/ISAs (Contracts) containing highly sensitive information,Highly Sensitive,Business Information,Global
English,All Domains,Institutional Information,SOWs/MSAs/NDAs/ISAs (Contracts) that do not contain highly sensitive information,Sensitive,Business Information,Global
English,All Domains,Institutional Information,List of vendors or suppliers,Sensitive,Business Information,Global
English,All domains,Institutional Information,Business partner and vendor name information,Sensitive,Business Information,South Africa
English,All Domains,Institutional Information,Product sales information by channel or market†,Highly Sensitive,Business Information,Global
English,All Domains,Institutional Information,Publicly available Massmart information and information deliberately made public by the data subject,Non-Sensitive,Business Information,South Africa
English,All Domains,Institutional Information,Not publicly available Massmart/Massmart information,Sensitive,Business Information,South Africa
English,All Domains,Institutional Information,Not publicly available information from business partners,Sensitive,Business Information,South Africa
English,All Domains,Institutional Information,Other Massmart restricted financial / trade secrets / proprietary and confidential information (not made public by Massmart or available in the public domain for example at the Deeds Office on CIPC etc.),Highly Sensitive,Business Information,South Africa
English,All Domains,Internet application and network activity,Letters email calls SMS MMS Instant Messaging,Sensitive,Personal Information,Global
English,All Domains,Legal,Lawsuits and claims information ,Highly Sensitive,Business Information,Global
English,All Domains,Online tracking technology,Online tracking (such as cookies) Name of donation beneficiaries,Sensitive,Personal Information,South Africa
English,All Domains,Other Miscellaneous Data - UK Only,Complaints and claims,Highly Sensitive,Personal Information,UK
English,All Domains,Personal Identifiers,Business License Number,Sensitive,Business Information,Global
English,All Domains,Personal Identifiers,Airline Frequent Flier Number,Highly Sensitive,Personal Information,Global
English,All Domains,Personal Identifiers,Aliases or previous names,Sensitive,Personal Information,Global
English,All Domains,Personal Identifiers,Walmart-issued identifiers (e.g. usernames Vendor ID Supplier ID WIN),Sensitive,Personal Information,Global
English,All Domains,Personal Identifiers,Business Contact Information,Sensitive,Personal Information,Global
English,All Domains,Personal Identifiers,Company Contact Business Address,Sensitive,Personal Information,Global
English,All Domains,Personal Identifiers,Company Contact Phone Number,Sensitive,Personal Information,Global
English,All Domains,Personal Identifiers,Company/Member Business Address,Sensitive,Personal Information,Global
English,All Domains,Personal Identifiers,Company/Member Fax Number,Sensitive,Personal Information,Global
English,All Domains,Personal Identifiers,Company/Member Phone Number,Sensitive,Personal Information,Global
English,All Domains,Personal Identifiers,Emergency contact details,Highly Sensitive,Personal Information,Canada
English,All Domains,Personal Identifiers,Emergency contact details,Sensitive,Personal Information,Global
English,All Domains,Personal Identifiers,Home address,Sensitive,Personal Information,Global
English,All Domains,Personal Identifiers,Home Fax Number,Sensitive,Personal Information,Global
English,All Domains,Personal Identifiers,Home phone number,Sensitive,Personal Information,Global
English,All Domains,Personal Identifiers,Home Postal Address,Sensitive,Personal Information,Global
English,All Domains,Personal Identifiers,Name,Sensitive,Personal Information,Global
English,All Domains,Personal Identifiers,Single Occurrence of a First or Last Name,Non-Sensitive,Personal Information,South Africa
English,All Domains,Personal Identifiers,Office Phone Number,Sensitive,Personal Information,Global
English,All Domains,Personal Identifiers,Payroll Number,Highly Sensitive,Personal Information,Global
English,All Domains,Personal Identifiers,Signature or E-Signature,Highly Sensitive,Personal Information,Global
English,All Domains,Personal Identifiers,Signature or E-Signature,Sensitive,Personal Information,South Africa
English,All Domains,Personal Identifiers,Work Phone Number,Sensitive,Personal Information,Global
English,All Domains,Personal Identifiers,Worker Identification Records,Highly Sensitive,Personal Information,Global
English,All Domains,Personal Identifiers,Real time GPS coordinates,Highly Sensitive,Personal Information,Global
English,All Domains,Pricing,Margin,Highly Sensitive,Business Information,Global
English,All Domains,Pricing,Unpublished or Future Price,Highly Sensitive,Business Information,Global
English,All Domains,Pricing,Published or Shelf Price,Non-Sensitive,Business Information,Global
English,All Domains,Proprietary Institutional Information,Other Proprietary Institutional Information,Highly Sensitive,Business Information,Global
English,All Domains,Proprietary Institutional Information,Patented or Proprietary Technology or†data,Highly Sensitive,Business Information,Global
English,All Domains,Public Information,Other Public Information,Non-Sensitive,Business Information,Global
English,All Domains,Public Information,Business†Phone,Non-Sensitive,Business Information,Global
English,All Domains,Public Information,Company Name†,Non-Sensitive,Business Information,Global
English,All Domains,Public Information,Executive Officers,Non-Sensitive,Business Information,Global
English,All Domains,Public Information,Published Annual Reports,Non-Sensitive,Business Information,Global
English,All Domains,Public Information,Published Corporate Contact Information†,Non-Sensitive,Business Information,Global
English,All Domains,Public Information,Published Distribution Centers,Non-Sensitive,Business Information,Global
English,All Domains,Public Information,Published Marketing Materials†,Non-Sensitive,Business Information,Global
English,All Domains,Public Information,Published Press Released Information†,Non-Sensitive,Business Information,Global
English,All Domains,Public Information,Published†Business†Address†,Non-Sensitive,Business Information,Global
English,All Domains,Public Information,Published IP Addresses,Non-Sensitive,Business Information,Global
English,All Domains,Public Information,Published Owned Brands†,Non-Sensitive,Business Information,Global
English,All Domains,Public Information,Published Number of Stores and Retail Square Feet Publicly available†,Non-Sensitive,Business Information,Global
English,All Domains,Purchase History Information,Order/purchase history (goods and services bought),Sensitive,Business Information,Global
English,All Domains,Purchase History Information,Individual Customer order/purchase history (goods and services),Highly Sensitive,Personal Information,Global
English,All Domains,Purchase History Information,Business Customer order/purchase history (goods and services),Highly Sensitive,Business Information,Global
English,All Domains,Real Estate,Real Estate Business Plan,Highly Sensitive,Business Information,Global
English,All Domains,Real Estate,Growth Strategy,Highly Sensitive,Business Information,Global
English,All Domains,Real Estate,Information provided by property owners and developers ,Sensitive,Business Information,Global
English,All Domains,Real Estate,Real estate proprietary records ,Highly Sensitive,Business Information,South Africa
English,All Domains,Real Estate,Recommendations or assessments executed by Audit and Compliance,Highly Sensitive,Business Information,Global
English,All Domains,Real Estate,Opening plans or projects,Highly Sensitive,Business Information,Global
English,All Domains,Real Estate,Performance results (including projected results post Audit reviews and OKRs related with sales during the year after the opening),Highly Sensitive,Business Information,Global
English,All Domains,Risk Management†,Other Risk Data i.e. audit score iso score,Highly Sensitive,Business Information,Global
English,All Domains,Shipment Tracker,Real time GPS coordinates,Sensitive,Business Information,Global
English,All Domains,Special Personal Information Attributes,Disability-related information,Highly Sensitive,Personal Information,Global
English,All Domains,Special Personal Information Attributes,Ethnicity,Highly Sensitive,Personal Information,Global
English,All Domains,Special Personal Information Attributes,Information relating to a child under 13,Highly Sensitive,Personal Information,Global
English,All Domains,Special Personal Information Attributes,Information relating to a child under 14,Highly Sensitive,Personal Information,China
English,All Domains,Special Personal Information Attributes,Information relating to a child under 18,Highly Sensitive,Personal Information,Central America
English,All Domains,Special Personal Information Attributes,Information relating to a child under 18,Highly Sensitive,Personal Information,South Africa
English,All Domains,Special Personal Information Attributes,Nationality,Highly Sensitive,Personal Information,Global
English,All Domains,Special Personal Information Attributes,Political Affiliation,Highly Sensitive,Personal Information,Global
English,All Domains,Special Personal Information Attributes,Political or Club Affiliations,Sensitive,Personal Information,South Africa
English,All Domains,Special Personal Information Attributes,Religious or other beliefs,Highly Sensitive,Personal Information,Global
English,All Domains,Special Personal Information Attributes,Sexual orientation,Highly Sensitive,Personal Information,Global
English,All Domains,Special Personal Information Attributes,Trade union membership,Highly Sensitive,Personal Information,Global
English,All Domains,Special Personal Information Attributes,Citizenship,Highly Sensitive,Personal Information,Global
English,All Domains,Special Personal Information Attributes,Citizenship Status,Highly Sensitive,Personal Information,South Africa
English,All Domains,Special Personal Information Attributes,Country of Birth,Sensitive,Personal Information,Global
English,All Domains,Special Personal Information Attributes,Country of Residency,Sensitive,Personal Information,Global
English,All Domains,Special Personal Information Attributes,Gender,Highly Sensitive,Personal Information,Global
English,All Domains,Special Personal Information Attributes,Gender,Sensitive,Personal Information,South Africa
English,All Domains,Special Personal Information Attributes,Marital Status,Highly Sensitive,Personal Information,Global
English,All Domains,Special Personal Information Attributes,Marital Status or History,Sensitive,Personal Information,South Africa
English,Associate Digital Experience,Change Advisory Board,Normal/Pre-Planned Freeze Periods,Sensitive,Business Information,Global
English,Associate Digital Experience,Change Advisory Board,Emergency Freeze Periods,Highly Sensitive,Business Information,Global
English,Corporate,Employment information,AES Survey Responses (Anonymous),Highly Sensitive,Business Information,Global
English,Corporate,Employment information,Anonymous Survey Responses ,Sensitive,Business Information,Global
English,Corporate,Employment information,Swipe in and out logs,Highly Sensitive,Personal Information,Canada
English,Corporate,Employment information,Swipe in and out logs,Sensitive,Personal Information,Global
English,Corporate,Proprietary Institutional Information,Board meeting information,Highly Sensitive,Business Information,Global
English,Corporate,Proprietary Institutional Information,Meeting attendance (if no personal information is required),Non-Sensitive,Business Information,South Africa
English,eCommerce,Proprietary Institutional Information,IT Security information or security†data,Highly Sensitive,Business Information,Global
English,eCommerce,Proprietary Institutional Information,Login credentials; account codes numbers or details,Highly Sensitive,Business Information,Global
English,Finance,Controllership,Closed / Consolidation,Highly Sensitive,Business Information,Global
English,Finance,Controllership,Reporting,Highly Sensitive,Business Information,Global
English,Finance,Controllership,Controls & Audit,Highly Sensitive,Business Information,Global
English,Finance,Controllership,Balance Sheet Analysis,Highly Sensitive,Business Information,Global
English,Finance,Controllership,P & L Analysis,Highly Sensitive,Business Information,Global
English,Finance,Controllership,Reconciliations,Highly Sensitive,Business Information,Global
English,Finance,Controllership,Policy,Sensitive,Business Information,Global
English,Finance,Controllership,Balance Sheet Risk Assessments ,Highly Sensitive,Business Information,Global
English,Finance,Corporate Segment Finance,Planning,Highly Sensitive,Business Information,Global
English,Finance,Corporate Segment Finance,Forecasting Close and Reporting,Highly Sensitive,Business Information,Global
English,Finance,Corporate Segment Finance,Executive Incentive Compensation (MIP PE),Highly Sensitive,Business Information,Global
English,Finance,Enterprise Business Services,Global Payments & International Financial Services,Highly Sensitive,Business Information,Global
English,Finance,Financial Information,Credit/debit Primary Account Number (PAN) Routing Number,Highly Sensitive,Personal information,Global
English,Finance,Financial Information,Crypto keys or other secrets used to encrypt PCI data,Highly Sensitive,Business Information,Global
English,Finance,Financial Information,Encrypted PCI data,Highly Sensitive,Personal Information,Global
English,Finance,Financial Information,Full track data (magnetic-stripe data or equivalent on a chip),Highly Sensitive,Personal Information,Global
English,Finance,Financial Information,Gift Card Primary Account Number (PAN) carrying VISA/MC/DISC/AMEX/JCB logos†,Highly Sensitive,Personal Information,Global
English,Finance,Financial Information,Key(s) used to encrypt private key(s) or other secrets that protect PCI data,Highly Sensitive,Business Information,Global
English,Finance,Financial Information,Passwords or other authentication factors used to access PCI system components,Highly Sensitive,Business Information,Global
English,Finance,Financial Information,PINs/PIN blocks,Highly Sensitive,Business Information,Global
English,Finance,Financial Information,Accounts Payable,Highly Sensitive,Business Information,Global
English,Finance,Financial Information,Accounts Receivable†,Highly Sensitive,Business Information,Global
English,Finance,Financial Information,Adjustments,Highly Sensitive,Business Information,Global
English,Finance,Financial Information,Banking Operations,Highly Sensitive,Business Information,Global
English,Finance,Financial Information,Capital Assets and Leases,Highly Sensitive,Business Information,Global
English,Finance,Financial Information,Capital Budgeting,Highly Sensitive,Business Information,Global
English,Finance,Financial Information,Collections & Recoveries,Highly Sensitive,Business Information,Global
English,Finance,Financial Information,Commissions or Third-Party Revenue,Highly Sensitive,Business Information,Global
English,Finance,Financial Information,Deferred Revenue,Highly Sensitive,Business Information,Global
English,Finance,Financial Information,Depreciation / Amortization,Highly Sensitive,Business Information,Global
English,Finance,Financial Information,Dispositions and Impairment,Highly Sensitive,Business Information,Global
English,Finance,Financial Information,Earnings,Highly Sensitive,Business Information,Global
English,Finance,Financial Information,Public Released Earnings,Non-Sensitive,Business Information,Global
English,Finance,Financial Information,Current Exchange Rates,Non-Sensitive,Business Information,Global
English,Finance,Financial Information,Financial Reporting and Statements,Highly Sensitive,Business Information,Global
English,Finance,Financial Information,Financial Services - Money Transfers/Orders Check Cashing Gift Cards,Highly Sensitive,Business Information,Global
English,Finance,Financial Information,General Ledger,Highly Sensitive,Business Information,Global
English,Finance,Financial Information,Forward Exchange Rates,Highly Sensitive,Business Information,Global
English,Finance,Financial Information,Published Global Chart of Accounts,Sensitive,Business Information,Global
