Market,Region,Store #,Cat #,Cat Desc,Current Footage,New Footage,Footage Change,Comments
2,14,562,100,Laptops,16 feet,24 feet,8 feet,Increasing laptop footage
2,14,670,100,Gaming Laptops,,,8 feet,Moved gaming laptops to table
2,14,670,100,Laptops,32 feet,48,16 feet,Increasing laptop footage
2,14,670,217,Refurbished Hardware,,,4 feet,Repurposed tablet – fixtures/footage
2,14,670,221,Chromebook,20 feet,8 feet,-12 feet,Reduced Chromebook footage and moved to laptops category
2,14,670,233,Tablets,,,4 feet,Moved tablets to the table
2,14,762,100,Laptops,32 feet,48,16 feet,Increasing laptop footage
2,14,762,221,Chromebook,20 feet,12 feet,-8 feet,Reduced Chromebook footage and moved to laptops category
2,14,762,233,Tablets,,,4 feet,Moved tablets to the table
2,14,762,267,Tonies,,,4 feet,Repurposed tablet – footage
2,14,762,600,Camera Bar,,,4 feet,Repurposed tablet – fixture
2,14,1158,100,Laptops,32 feet,48,16 feet,Increasing laptop footage
2,14,1158,221,Chromebook,20 feet,12 feet,-8 feet,Reduced Chromebook footage and moved to laptops category
2,14,1158,233,Tablets,,,4 feet,Moved tablets to the table
2,14,1158,267,Tonies,,,4 feet,Repurposed tablet – footage
2,14,1158,600,Camera Bar,,,4 feet,Repurposed tablet – fixture
2,14,1711,100,Laptops,32 feet,48,16 feet,Increasing laptop footage
2,14,1711,221,Chromebook,20 feet,12 feet,-8 feet,Reduced Chromebook footage and moved to laptops category
2,14,1711,233,Tablets,,,4 feet,Moved tablets to the table
2,14,1711,267,Tonies,,,4 feet,Repurposed tablet – footage
2,14,1711,600,Camera Bar,,,4 feet,Repurposed tablet – fixture
2,14,2723,100,Laptops,16 feet,24 feet,8 feet,Increasing laptop footage
2,14,5113,100,Gaming Laptops,,,12 feet,Moved gaming laptops to table
2,14,5113,100,Laptops,32 feet,48,16 feet,Increasing laptop footage
2,14,5113,126,PC Components,,,4 feet,Repurposed tablet – fixtures/footage
2,14,5113,221,Chromebook,20 feet,4 feet,-16 feet,Reduced Chromebook footage and moved to laptops category
2,14,5113,233,Tablets,,,4 feet,Moved tablets to the table
2,14,7280,100,Laptops,16 feet,24 feet,8 feet,Increasing laptop footage
2,14,7280,221,Chromebook,8 feet,4 feet,-4 feet,Reduced Chromebook footage and moved to laptops category
3,14,300,100,Laptops,16 feet,32 feet,16 feet,Increasing laptop footage
3,14,300,221,Chromebook,16 feet,12 feet,-4 feet,Reduced Chromebook footage and moved to laptops category
3,14,301,100,Gaming Laptops,,,8 feet,Moved gaming laptops to table
3,14,301,100,Laptops,32 feet,48,16 feet,Increasing laptop footage
3,14,301,126,PC Components,,,4 feet,Repurposed tablet – fixtures/footage
3,14,301,221,Chromebook,20 feet,8 feet,-12 feet,Reduced Chromebook footage and moved to laptops category
3,14,301,233,Tablets,,,4 feet,Moved tablets to the table
3,14,316,100,Laptops,16 feet,24 feet,8 feet,Increasing laptop footage
3,14,316,221,Chromebook,8 feet,4 feet,-4 feet,Reduced Chromebook footage and moved to laptops category
3,14,681,100,Laptops,16 feet,28,12 feet,Increasing laptop footage
3,14,691,100,Laptops,32 feet,48,16 feet,Increasing laptop footage
3,14,691,126,PC Components,,,4 feet,Repurposed tablet – fixtures/footage
3,14,691,221,Chromebook,20 feet,12 feet,-8 feet,Reduced Chromebook footage and moved to laptops category
3,14,691,233,Tablets,,,4 feet,Moved tablets to the table
3,14,1201,100,Gaming Laptops,,,12 feet,Moved gaming laptops to table
3,14,1201,100,Laptops,32 feet,48,16 feet,Increasing laptop footage
3,14,1201,126,PC Components,,,4 feet,Repurposed tablet – fixtures/footage
3,14,1201,221,Chromebook,20 feet,4 feet,-16 feet,Reduced Chromebook footage and moved to laptops category
3,14,1201,233,Tablets,,,4 feet,Moved tablets to the table
3,14,2713,100,Laptops,32 feet,48,16 feet,Increasing laptop footage
3,14,2713,221,Chromebook,20 feet,12 feet,-8 feet,Reduced Chromebook footage and moved to laptops category
3,14,2713,233,Tablets,,,4 feet,Moved tablets to the table
3,14,2713,267,Tonies,,,4 feet,Repurposed tablet – footage
3,14,2713,600,Camera Bar,,,4 feet,Repurposed tablet – fixture
3,14,5126,100,Laptops,24 feet,36,12 feet,Increasing laptop footage
4,11,105,100,Gaming Laptops,,,8 feet,Moved gaming laptops to table
4,11,105,100,Laptops,24 feet,36,12 feet,Increasing laptop footage
4,11,105,221,Chromebook,12 feet,4 feet,-8 feet,Reduced Chromebook footage and moved to laptops category
4,11,114,100,Laptops,24 feet,36,12 feet,Increasing laptop footage
4,11,114,221,Chromebook,12 feet,8 feet,-4 feet,Reduced Chromebook footage and moved to laptops category
4,11,118,100,Laptops,24 feet,36,12 feet,Increasing laptop footage
4,11,118,221,Chromebook,12 feet,4 feet,-8 feet,Reduced Chromebook footage and moved to laptops category
4,11,164,100,Laptops,16 feet,24 feet,8 feet,Increasing laptop footage
4,11,258,100,Gaming Laptops,,,8 feet,Moved gaming laptops to table
4,11,258,100,Laptops,32 feet,48,16 feet,Increasing laptop footage
4,11,258,126,PC Components,,,4 feet,Repurposed tablet – fixtures/footage
4,11,258,221,Chromebook,20 feet,8 feet,-12 feet,Reduced Chromebook footage and moved to laptops category
4,11,258,233,Tablets,,,4 feet,Moved tablets to the table
4,11,391,100,Laptops,24 feet,36,12 feet,Increasing laptop footage
4,11,391,221,Chromebook,16 feet,4 feet,-12 feet,Reduced Chromebook footage and moved to laptops category
4,11,391,233,Tablets,,,4 feet,Moved tablets to the table
4,11,391,267,Tonies,,,4 feet,Repurposed tablet – footage
4,11,391,600,Camera Bar,,,4 feet,Repurposed tablet – fixture
5,12,298,100,Gaming Laptops,,,8 feet,Moved gaming laptops to table
5,12,298,100,Laptops,32 feet,48,16 feet,Increasing laptop footage
5,12,298,126,PC Components,,,4 feet,Repurposed tablet – fixtures/footage
5,12,298,221,Chromebook,20 feet,8 feet,-12 feet,Reduced Chromebook footage and moved to laptops category
5,12,298,233,Tablets,,,4 feet,Moved tablets to the table
5,12,306,100,Laptops,16 feet,24 feet,8 feet,Increasing laptop footage
5,12,306,221,Chromebook,8 feet,4 feet,-4 feet,Reduced Chromebook footage and moved to laptops category
5,12,314,100,Gaming Laptops,,,12 feet,Moved gaming laptops to table
5,12,314,100,Laptops,32 feet,48,16 feet,Increasing laptop footage
5,12,314,126,PC Components,,,8 feet,Repurposed tablet – fixtures/footage
5,12,314,221,Chromebook,24 feet,4 feet,-20 feet,Reduced Chromebook footage and moved to laptops category
5,12,314,233,Tablets,,,8 feet,Moved tablets to the table
5,12,332,100,Laptops,24 feet,40,16 feet,Increasing laptop footage
5,12,332,221,Chromebook,16 feet,8 feet,-8 feet,Reduced Chromebook footage and moved to laptops category
5,12,375,100,Laptops,16 feet,24 feet,8 feet,Increasing laptop footage
5,12,433,100,Laptops,24 feet,36,12 feet,Increasing laptop footage
5,12,433,221,Chromebook,12 feet,8 feet,-4 feet,Reduced Chromebook footage and moved to laptops category
5,12,434,100,Gaming Laptops,,,8 feet,Moved gaming laptops to table
5,12,434,100,Laptops,32 feet,48,16 feet,Increasing laptop footage
5,12,434,126,PC Components,,,4 feet,Repurposed tablet – fixtures/footage
5,12,434,221,Chromebook,20 feet,8 feet,-12 feet,Reduced Chromebook footage and moved to laptops category
5,12,434,233,Tablets,,,4 feet,Moved tablets to the table
5,12,712,100,Gaming Laptops,,,8 feet,Moved gaming laptops to table
5,12,712,100,Laptops,32 feet,48,16 feet,Increasing laptop footage
5,12,712,126,PC Components,,,4 feet,Repurposed tablet – fixtures/footage
5,12,712,221,Chromebook,20 feet,8 feet,-12 feet,Reduced Chromebook footage and moved to laptops category
5,12,712,233,Tablets,,,4 feet,Moved tablets to the table
5,12,6878,100,Laptops,16 feet,24 feet,8 feet,Increasing laptop footage
5,12,6878,221,Chromebook,8 feet,4 feet,-4 feet,Reduced Chromebook footage and moved to laptops category
7,14,604,100,Laptops,32 feet,48,16 feet,Increasing laptop footage
7,14,604,126,PC Components,,,4 feet,Repurposed tablet – fixtures/footage
7,14,604,221,Chromebook,20 feet,12 feet,-8 feet,Reduced Chromebook footage and moved to laptops category
7,14,604,233,Tablets,,,4 feet,Moved tablets to the table
7,14,734,100,Gaming Laptops,,,8 feet,Moved gaming laptops to table
7,14,734,100,Laptops,32 feet,48,16 feet,Increasing laptop footage
7,14,734,126,PC Components,,,4 feet,Repurposed tablet – fixtures/footage
7,14,734,221,Chromebook,20 feet,8 feet,-12 feet,Reduced Chromebook footage and moved to laptops category
7,14,734,233,Tablets,,,4 feet,Moved tablets to the table
7,14,740,100,Laptops,16 feet,24 feet,8 feet,Increasing laptop footage
7,14,1091,100,Gaming Laptops,,,8 feet,Moved gaming laptops to table
7,14,1091,100,Laptops,32 feet,48,16 feet,Increasing laptop footage
7,14,1091,126,PC Components,,,4 feet,Repurposed tablet – fixtures/footage
7,14,1091,221,Chromebook,20 feet,8 feet,-12 feet,Reduced Chromebook footage and moved to laptops category
7,14,1091,233,Tablets,,,4 feet,Moved tablets to the table
7,14,1134,100,Laptops,24 feet,36,12 feet,Increasing laptop footage
7,14,1462,100,Laptops,24 feet,36,12 feet,Increasing laptop footage
7,14,1462,221,Chromebook,12 feet,4 feet,-8 feet,Reduced Chromebook footage and moved to laptops category
7,14,1638,100,Laptops,24 feet,36,12 feet,Increasing laptop footage
7,14,1638,221,Chromebook,12 feet,4 feet,-8 feet,Reduced Chromebook footage and moved to laptops category
7,14,2534,100,Laptops,32 feet,48,16 feet,Increasing laptop footage
7,14,2534,221,Chromebook,24 feet,12 feet,-12 feet,Reduced Chromebook footage and moved to laptops category
7,14,2534,233,Tablets,,,8 feet,Moved tablets to the table
7,14,2534,267,Tonies,,,8 feet,Repurposed tablet – footage
7,14,2534,600,Camera Bar,,,4 feet,Repurposed tablet – fixture
8,14,483,100,Laptops,32 feet,48,16 feet,Increasing laptop footage
8,14,483,126,PC Components,,,4 feet,Repurposed tablet – fixtures/footage
8,14,483,221,Chromebook,20 feet,12 feet,-8 feet,Reduced Chromebook footage and moved to laptops category
8,14,483,233,Tablets,,,4 feet,Moved tablets to the table
8,14,700,100,Laptops,24 feet,36,12 feet,Increasing laptop footage
8,14,930,100,Laptops,32 feet,48,16 feet,Increasing laptop footage
8,14,930,221,Chromebook,20 feet,12 feet,-8 feet,Reduced Chromebook footage and moved to laptops category
8,14,930,233,Tablets,,,4 feet,Moved tablets to the table
8,14,930,267,Tonies,,,4 feet,Repurposed tablet – footage
8,14,930,600,Camera Bar,,,4 feet,Repurposed tablet – fixture
8,14,938,100,Laptops,32 feet,48,16 feet,Increasing laptop footage
8,14,938,221,Chromebook,20 feet,12 feet,-8 feet,Reduced Chromebook footage and moved to laptops category
8,14,938,233,Tablets,,,4 feet,Moved tablets to the table
8,14,938,267,Tonies,,,4 feet,Repurposed tablet – footage
8,14,938,600,Camera Bar,,,4 feet,Repurposed tablet – fixture
8,14,1101,100,Gaming Laptops,,,8 feet,Moved gaming laptops to table
8,14,1101,100,Laptops,32 feet,48,16 feet,Increasing laptop footage
8,14,1101,126,PC Components,,,4 feet,Repurposed tablet – fixtures/footage
8,14,1101,221,Chromebook,20 feet,8 feet,-12 feet,Reduced Chromebook footage and moved to laptops category
8,14,1101,233,Tablets,,,4 feet,Moved tablets to the table
8,14,4318,100,Laptops,32 feet,48,16 feet,Increasing laptop footage
8,14,4318,126,PC Components,,,4 feet,Repurposed tablet – fixtures/footage
8,14,4318,221,Chromebook,20 feet,12 feet,-8 feet,Reduced Chromebook footage and moved to laptops category
8,14,4318,233,Tablets,,,4 feet,Moved tablets to the table
8,14,4407,100,Gaming Laptops,,,8 feet,Moved gaming laptops to table
8,14,4407,100,Laptops,32 feet,48,16 feet,Increasing laptop footage
8,14,4407,221,Chromebook,20 feet,8 feet,-12 feet,Reduced Chromebook footage and moved to laptops category
8,14,4407,233,Tablets,,,4 feet,Moved tablets to the table
8,14,4407,267,Tonies,,,4 feet,Repurposed tablet – footage
8,14,4407,600,Camera Bar,,,4 feet,Repurposed tablet – fixture
8,14,5348,100,Laptops,32 feet,48,16 feet,Increasing laptop footage
8,14,5348,221,Chromebook,20 feet,12 feet,-8 feet,Reduced Chromebook footage and moved to laptops category
8,14,5348,233,Tablets,,,4 feet,Moved tablets to the table
8,14,5348,267,Tonies,,,4 feet,Repurposed tablet – footage
8,14,5348,600,Camera Bar,,,4 feet,Repurposed tablet – fixture
10,14,329,100,Laptops,32 feet,48,16 feet,Increasing laptop footage
10,14,329,126,PC Components,,,4 feet,Repurposed tablet – fixtures/footage
10,14,329,221,Chromebook,20 feet,12 feet,-8 feet,Reduced Chromebook footage and moved to laptops category
10,14,329,233,Tablets,,,4 feet,Moved tablets to the table
10,14,355,100,Laptops,32 feet,48,16 feet,Increasing laptop footage
10,14,355,221,Chromebook,20 feet,12 feet,-8 feet,Reduced Chromebook footage and moved to laptops category
10,14,355,233,Tablets,,,4 feet,Moved tablets to the table
10,14,355,267,Tonies,,,4 feet,Repurposed tablet – footage
10,14,355,600,Camera Bar,,,4 feet,Repurposed tablet – fixture
10,14,356,100,Gaming Laptops,,,8 feet,Moved gaming laptops to table
10,14,356,100,Laptops,32 feet,48,16 feet,Increasing laptop footage
10,14,356,126,PC Components,,,4 feet,Repurposed tablet – fixtures/footage
10,14,356,221,Chromebook,20 feet,8 feet,-12 feet,Reduced Chromebook footage and moved to laptops category
10,14,356,233,Tablets,,,4 feet,Moved tablets to the table
10,14,432,100,Laptops,16 feet,24 feet,8 feet,Increasing laptop footage
10,14,726,100,Gaming Laptops,,,8 feet,Moved gaming laptops to table
10,14,726,100,Laptops,32 feet,48,16 feet,Increasing laptop footage
10,14,726,126,PC Components,,,4 feet,Repurposed tablet – fixtures/footage
10,14,726,221,Chromebook,20 feet,8 feet,-12 feet,Reduced Chromebook footage and moved to laptops category
10,14,726,233,Tablets,,,4 feet,Moved tablets to the table
10,14,730,100,Laptops,32 feet,48,16 feet,Increasing laptop footage
10,14,730,221,Chromebook,20 feet,12 feet,-8 feet,Reduced Chromebook footage and moved to laptops category
10,14,730,233,Tablets,,,4 feet,Moved tablets to the table
10,14,730,267,Tonies,,,4 feet,Repurposed tablet – footage
10,14,730,600,Camera Bar,,,4 feet,Repurposed tablet – fixture
10,14,733,100,Laptops,24 feet,36,12 feet,Increasing laptop footage
10,14,733,221,Chromebook,12 feet,4 feet,-8 feet,Reduced Chromebook footage and moved to laptops category
10,14,809,100,Laptops,24 feet,36,12 feet,Increasing laptop footage
10,14,809,221,Chromebook,12 feet,8 feet,-4 feet,Reduced Chromebook footage and moved to laptops category
11,11,287,100,Laptops,32 feet,48,16 feet,Increasing laptop footage
11,11,287,126,PC Components,,,4 feet,Repurposed tablet – fixtures/footage
11,11,287,221,Chromebook,20 feet,12 feet,-8 feet,Reduced Chromebook footage and moved to laptops category
11,11,287,233,Tablets,,,4 feet,Moved tablets to the table
11,11,715,100,Gaming Laptops,,,8 feet,Moved gaming laptops to table
11,11,715,100,Laptops,24 feet,36,12 feet,Increasing laptop footage
11,11,715,221,Chromebook,12 feet,4 feet,-8 feet,Reduced Chromebook footage and moved to laptops category
11,11,731,100,Laptops,24 feet,36,12 feet,Increasing laptop footage
11,11,764,100,Laptops,32 feet,48,16 feet,Increasing laptop footage
11,11,764,221,Chromebook,20 feet,12 feet,-8 feet,Reduced Chromebook footage and moved to laptops category
11,11,764,233,Tablets,,,4 feet,Moved tablets to the table
11,11,764,267,Tonies,,,4 feet,Repurposed tablet – footage
11,11,764,600,Camera Bar,,,4 feet,Repurposed tablet – fixture
11,11,2306,100,Laptops,24 feet,36,12 feet,Increasing laptop footage
13,14,423,100,Gaming Laptops,,,8 feet,Moved gaming laptops to table
13,14,423,100,Laptops,32 feet,48,16 feet,Increasing laptop footage
13,14,423,104,Samsung Ecosystem,,,4 feet,Repurposed tablet – fixtures/footage
13,14,423,221,Chromebook,20 feet,8 feet,-12 feet,Reduced Chromebook footage and moved to laptops category
13,14,423,233,Tablets,,,4 feet,Moved tablets to the table
13,14,1229,100,Gaming Laptops,,,12 feet,Moved gaming laptops to table
13,14,1229,100,Laptops,32 feet,56,24 feet,Increasing laptop footage
13,14,1229,221,Chromebook,24 feet,12 feet,-12 feet,Reduced Chromebook footage and moved to laptops category
13,14,1481,100,Laptops,32 feet,48,16 feet,Increasing laptop footage
13,14,1481,217,Refurbished Hardware,,,4 feet,Repurposed tablet – fixtures/footage
13,14,1481,221,Chromebook,20 feet,12 feet,-8 feet,Reduced Chromebook footage and moved to laptops category
13,14,1481,233,Tablets,,,4 feet,Moved tablets to the table
13,14,2111,100,Gaming Laptops,,,12 feet,Moved gaming laptops to table
13,14,2111,100,Laptops,32 feet,56,24 feet,Increasing laptop footage
13,14,2111,221,Chromebook,24 feet,12 feet,-12 feet,Reduced Chromebook footage and moved to laptops category
13,14,3271,100,Gaming Laptops,,,8 feet,Moved gaming laptops to table
13,14,3271,100,Laptops,32 feet,48,16 feet,Increasing laptop footage
13,14,3271,221,Chromebook,20 feet,8 feet,-12 feet,Reduced Chromebook footage and moved to laptops category
13,14,3271,233,Tablets,,,4 feet,Moved tablets to the table
13,14,3271,267,Tonies,,,4 feet,Repurposed tablet – footage
13,14,3271,600,Camera Bar,,,4 feet,Repurposed tablet – fixture
13,14,4330,100,Laptops,32 feet,48,16 feet,Increasing laptop footage
13,14,4330,221,Chromebook,20 feet,12 feet,-8 feet,Reduced Chromebook footage and moved to laptops category
13,14,4330,233,Tablets,,,4 feet,Moved tablets to the table
13,14,4330,267,Tonies,,,4 feet,Repurposed tablet – footage
13,14,4330,600,Camera Bar,,,4 feet,Repurposed tablet – fixture
13,14,4497,100,Gaming Laptops,,,12 feet,Moved gaming laptops to table
13,14,4497,100,Laptops,32 feet,56,24 feet,Increasing laptop footage
13,14,4497,221,Chromebook,24 feet,12 feet,-12 feet,Reduced Chromebook footage and moved to laptops category
13,14,5262,100,Gaming Laptops,,,8 feet,Moved gaming laptops to table
13,14,5262,100,Laptops,32 feet,48,16 feet,Increasing laptop footage
13,14,5262,126,PC Components,,,8 feet,Repurposed tablet – fixtures/footage
13,14,5262,221,Chromebook,24 feet,8 feet,-16 feet,Reduced Chromebook footage and moved to laptops category
13,14,5262,233,Tablets,,,8 feet,Moved tablets to the table
14,14,990,100,Gaming Laptops,,,8 feet,Moved gaming laptops to table
14,14,990,100,Laptops,32 feet,48,16 feet,Increasing laptop footage
14,14,990,126,PC Components,,,4 feet,Repurposed tablet – fixtures/footage
14,14,990,221,Chromebook,20 feet,8 feet,-12 feet,Reduced Chromebook footage and moved to laptops category
14,14,990,233,Tablets,,,4 feet,Moved tablets to the table
14,14,1222,100,Gaming Laptops,,,8 feet,Moved gaming laptops to table
14,14,1222,100,Laptops,32 feet,48,16 feet,Increasing laptop footage
14,14,1222,126,PC Components,,,4 feet,Repurposed tablet – fixtures/footage
14,14,1222,221,Chromebook,20 feet,8 feet,-12 feet,Reduced Chromebook footage and moved to laptops category
14,14,1222,233,Tablets,,,4 feet,Moved tablets to the table
14,14,1224,100,Gaming Laptops,,,8 feet,Moved gaming laptops to table
14,14,1224,100,Laptops,32 feet,48,16 feet,Increasing laptop footage
14,14,1224,126,PC Components,,,4 feet,Repurposed tablet – fixtures/footage
14,14,1224,221,Chromebook,20 feet,8 feet,-12 feet,Reduced Chromebook footage and moved to laptops category
14,14,1224,233,Tablets,,,4 feet,Moved tablets to the table
14,14,1493,100,Gaming Laptops,,,8 feet,Moved gaming laptops to table
14,14,1493,100,Laptops,24 feet,36,12 feet,Increasing laptop footage
14,14,1493,221,Chromebook,12 feet,4 feet,-8 feet,Reduced Chromebook footage and moved to laptops category
14,14,1605,100,Laptops,32 feet,48,16 feet,Increasing laptop footage
14,14,1605,126,PC Components,,,4 feet,Repurposed tablet – fixtures/footage
14,14,1605,221,Chromebook,20 feet,12 feet,-8 feet,Reduced Chromebook footage and moved to laptops category
14,14,1605,233,Tablets,,,4 feet,Moved tablets to the table
14,14,1620,100,Laptops,32 feet,48,16 feet,Increasing laptop footage
14,14,1620,221,Chromebook,20 feet,12 feet,-8 feet,Reduced Chromebook footage and moved to laptops category
14,14,1620,233,Tablets,,,4 feet,Moved tablets to the table
14,14,1620,267,Tonies,,,4 feet,Repurposed tablet – footage
14,14,1620,600,Camera Bar,,,4 feet,Repurposed tablet – fixture
14,14,2533,100,Gaming Laptops,,,12 feet,Moved gaming laptops to table
14,14,2533,100,Laptops,32 feet,48,16 feet,Increasing laptop footage
14,14,2533,126,PC Components,,,4 feet,Repurposed tablet – fixtures/footage
14,14,2533,221,Chromebook,20 feet,4 feet,-16 feet,Reduced Chromebook footage and moved to laptops category
14,14,2533,233,Tablets,,,4 feet,Moved tablets to the table
14,14,3484,100,Laptops,32 feet,48,16 feet,Increasing laptop footage
14,14,3484,126,PC Components,,,4 feet,Repurposed tablet – fixtures/footage
14,14,3484,221,Chromebook,20 feet,12 feet,-8 feet,Reduced Chromebook footage and moved to laptops category
14,14,3484,233,Tablets,,,4 feet,Moved tablets to the table
14,14,3785,100,Gaming Laptops,,,8 feet,Moved gaming laptops to table
14,14,3785,100,Laptops,24 feet,36,12 feet,Increasing laptop footage
14,14,3785,126,PC Components,,,4 feet,Repurposed tablet – fixtures/footage
14,14,3785,221,Chromebook,16 feet,4 feet,-12 feet,Reduced Chromebook footage and moved to laptops category
14,14,3785,233,Tablets,,,4 feet,Moved tablets to the table
15,14,818,100,Gaming Laptops,,,8 feet,Moved gaming laptops to table
15,14,818,100,Laptops,24 feet,40,16 feet,Increasing laptop footage
15,14,818,221,Chromebook,16 feet,4 feet,-12 feet,Reduced Chromebook footage and moved to laptops category
15,14,919,100,Gaming Laptops,,,8 feet,Moved gaming laptops to table
15,14,919,100,Laptops,24 feet,36,12 feet,Increasing laptop footage
15,14,919,221,Chromebook,12 feet,0 feet,-12 feet,Reduced Chromebook footage and moved to laptops category
15,14,944,100,Laptops,16 feet,24 feet,8 feet,Increasing laptop footage
15,14,1032,100,Gaming Laptops,,,8 feet,Moved gaming laptops to table
15,14,1032,100,Laptops,32 feet,56,24 feet,Increasing laptop footage
15,14,1032,221,Chromebook,24 feet,12 feet,-12 feet,Reduced Chromebook footage and moved to laptops category
15,14,1207,100,Gaming Laptops,,,12 feet,Moved gaming laptops to table
15,14,1207,100,Laptops,32 feet,56,24 feet,Increasing laptop footage
15,14,1207,221,Chromebook,24 feet,12 feet,-12 feet,Reduced Chromebook footage and moved to laptops category
15,14,1362,100,Gaming Laptops,,,12 feet,Moved gaming laptops to table
15,14,1362,100,Laptops,32 feet,56,24 feet,Increasing laptop footage
15,14,1362,221,Chromebook,24 feet,12 feet,-12 feet,Reduced Chromebook footage and moved to laptops category
15,14,3075,100,Gaming Laptops,,,12 feet,Moved gaming laptops to table
15,14,3075,100,Laptops,32 feet,56,24 feet,Increasing laptop footage
15,14,3075,221,Chromebook,24 feet,12 feet,-12 feet,Reduced Chromebook footage and moved to laptops category
15,14,3119,100,Laptops,24 feet,40,16 feet,Increasing laptop footage
15,14,3119,221,Chromebook,16 feet,12 feet,-4 feet,Reduced Chromebook footage and moved to laptops category
15,14,3439,100,Gaming Laptops,,,12 feet,Moved gaming laptops to table
15,14,3439,100,Laptops,32 feet,48,16 feet,Increasing laptop footage
15,14,3439,126,PC Components,,,4 feet,Repurposed tablet – fixtures/footage
15,14,3439,221,Chromebook,20 feet,4 feet,-16 feet,Reduced Chromebook footage and moved to laptops category
15,14,3439,233,Tablets,,,4 feet,Moved tablets to the table
15,14,5845,100,Laptops,16 feet,24 feet,8 feet,Increasing laptop footage
15,14,5872,100,Laptops,16 feet,24 feet,8 feet,Increasing laptop footage
16,14,494,100,Laptops,24 feet,36,12 feet,Increasing laptop footage
16,14,494,221,Chromebook,12 feet,4 feet,-8 feet,Reduced Chromebook footage and moved to laptops category
16,14,614,100,Laptops,32 feet,48,16 feet,Increasing laptop footage
16,14,614,126,PC Components,,,8 feet,Repurposed tablet – fixtures/footage
16,14,614,221,Chromebook,24 feet,12 feet,-12 feet,Reduced Chromebook footage and moved to laptops category
16,14,614,233,Tablets,,,8 feet,Moved tablets to the table
16,14,932,100,Gaming Laptops,,,8 feet,Moved gaming laptops to table
16,14,932,100,Laptops,32 feet,48,16 feet,Increasing laptop footage
16,14,932,126,PC Components,,,4 feet,Repurposed tablet – fixtures/footage
16,14,932,221,Chromebook,20 feet,8 feet,-12 feet,Reduced Chromebook footage and moved to laptops category
16,14,932,233,Tablets,,,4 feet,Moved tablets to the table
