Store + Sequence,City,State,,,Add Hollow Metal Exterior Door to Breakroom (CI31669) SC/D1,Add HDPE Insulated Interior Door to Breakroom (CI31669) SC/D1, Interior Door impacts Entertainment. Yes or No                       (3rd Party sent for TV Wall Cabling),Add Hollow Metal Door to Breakroom (CI 31701) WNM,Add HDPE Insulated Interior Door to Breakroom (CI 31701)  WNM,Revise Breakroom Door Hardware CI31941,"Add Hollow Metal Exterior Door  - Customer Service, Money Center, Vacant Tenant (CI31686)","Add HDPE Insulated Interior Door  - Customer Service, Money Center, Vacant Tenant (CI31686)",Add Hollow Metal Exterior Door - Occupied Tenant CI31807,Add HDPE Interior  Door - Occupied Tenant CI31807,Add  In-lane Door to  In-Lane Money Center / Cosmetic Bullpens CI31624,Add Hollow Metal Exterior Door to Liquor Tenant CI31682,Add HDPE Interior Door to Liquor Tenant CI31682, Revise Alarm for ACC Door Yes or No CI31733,Hardware Only (existing Door) Vision Center CI31768,Add Exterior Door (Outswing) Vision Center CI31768,Add Interior Door (Inswing)  Vision Center CI31768,,,,,,,,,,,,,
159,COLUMBIA,MO,9/29/2024,10/27/2024,0,0,No,0,0,0,1,1,0,0,0,0,0,Yes,1,0,0,,,,,,,,,,,,,
171,CAMDEN,AR,9/1/2024,9/27/2024,0,0,No,0,0,0,2,0,0,0,1,0,0,No,0,0,0,,,,,,,,,,,,,
172,WASHINGTON,MO,9/29/2024,10/27/2024,0,1,No,0,0,0,1,0,0,0,0,0,0,No,1,0,0,,,,,,,,,,,,,
179,SPRINGFIELD,MO,9/8/2024,10/4/2024,0,1,No,0,0,0,1,0,0,0,0,0,0,Yes,1,0,0,,,,,,,,,,,,,
186,EL DORADO,KS,9/1/2024,9/29/2024,0,1,No,0,0,0,1,0,1,0,0,0,0,Yes,1,0,0,,,,,,,,,,,,,
202,FRISCO,TX,9/15/2024,10/13/2024,0,1,No,0,0,0,2,0,0,0,0,0,0,No,1,0,0,,,,,,,,,,,,,
219,SEDALIA,MO,9/22/2024,10/20/2024,0,2,No,0,0,0,1,0,1,0,0,0,0,Yes,1,0,0,,,,,,,,,,,,,
249,CLEVELAND,TX,9/1/2024,9/29/2024,1,0,No,0,0,0,0,0,0,0,0,0,0,Yes,3,0,0,,,,,,,,,,,,,
261,HOT SPRINGS,AR,9/1/2024,9/27/2024,0,1,No,0,0,0,3,0,0,0,1,0,0,Yes,1,0,0,,,,,,,,,,,,,
267,WEBB CITY,MO,9/29/2024,10/27/2024,1,0,No,0,0,0,0,1,0,0,0,0,0,Yes,1,0,0,,,,,,,,,,,,,
281,HEBER SPGS,AR,9/8/2024,10/4/2024,0,1,No,0,0,0,0,0,0,0,0,0,0,No,0,0,0,,,,,,,,,,,,,
285,HUNTSVILLE,TX,9/29/2024,10/27/2024,0,1,No,0,0,0,0,0,0,1,0,0,0,No,0,0,1,,,,,,,,,,,,,
295,EUREKA,MO,9/22/2024,10/20/2024,0,1,No,0,0,0,0,0,0,0,0,0,0,Yes,1,0,0,,,,,,,,,,,,,
313,HIGH RIDGE,MO,9/15/2024,10/11/2024,0,1,Yes,0,0,0,1,0,0,0,1,0,0,No,1,0,0,,,,,,,,,,,,,
318,ARKADELPHIA,AR,9/1/2024,9/27/2024,0,1,No,0,0,0,0,0,0,0,0,0,0,Yes,1,0,0,,,,,,,,,,,,,
321,BRENHAM,TX,9/8/2024,10/6/2024,0,1,No,0,0,0,1,0,1,1,0,0,0,Yes,1,0,0,,,,,,,,,,,,,
322,BRYAN,TX,9/29/2024,10/27/2024,0,1,No,0,0,0,1,1,0,0,0,0,0,Yes,1,0,0,,,,,,,,,,,,,
345,PALESTINE,TX,9/22/2024,10/20/2024,0,1,No,0,0,0,0,0,0,0,2,0,0,Yes,3,0,0,,,,,,,,,,,,,
350,YORK,NE,9/15/2024,10/13/2024,1,0,No,0,0,0,1,0,0,0,0,0,0,Yes,0,1,0,,,,,,,,,,,,,
377,SUMTER,SC,9/1/2024,9/13/2024,1,0,No,0,0,0,0,0,0,0,0,0,0,No,0,0,0,,,,,,,,,,,,,
379,OZARK,MO,9/15/2024,10/13/2024,1,0,No,0,0,0,1,0,0,0,0,0,0,Yes,1,0,0,,,,,,,,,,,,,
388,FORT SMITH,AR,10/6/2024,11/1/2024,0,1,No,0,0,0,3,0,0,0,0,0,0,No,1,0,0,,,,,,,,,,,,,
444,SPRINGFIELD,MO,9/22/2024,10/18/2024,0,1,No,0,0,0,1,0,1,0,1,0,0,No,1,0,0,,,,,,,,,,,,,
609,HANNIBAL,MO,9/15/2024,10/13/2024,0,1,No,0,0,0,2,0,1,0,0,0,0,Yes,1,0,0,,,,,,,,,,,,,
614,LAGRANGE,GA,9/15/2024,10/13/2024,0,1,No,0,0,1,2,0,0,0,0,0,0,Yes,0,0,0,,,,,,,,,,,,,
648,SAINT PETERS,MO,10/6/2024,11/1/2024,0,1,No,0,0,0,1,0,0,0,0,0,0,Yes,1,0,0,,,,,,,,,,,,,
774,COLUMBUS,NE,9/8/2024,10/6/2024,0,1,No,0,0,0,2,0,0,0,0,0,0,No,1,0,0,,,,,,,,,,,,,
776,FREMONT,NE,9/22/2024,10/20/2024,0,1,No,0,0,0,2,0,0,0,0,0,0,Yes,1,0,0,,,,,,,,,,,,,
815,OSAGE BEACH,MO,9/8/2024,10/6/2024,0,1,No,0,0,0,0,1,1,0,0,0,0,Yes,1,0,0,,,,,,,,,,,,,
837,Thayer,MO,9/8/2024,9/20/2024,1,0,No,0,0,0,0,0,0,0,0,0,0,No,0,0,0,,,,,,,,,,,,,
873,Taos,NM,10/6/2024,10/18/2024,2,0,No,0,0,0,0,0,0,0,0,0,0,No,0,0,0,,,,,,,,,,,,,
893,Lindsay,OK,9/29/2024,10/11/2024,1,0,No,0,0,0,0,0,0,0,0,0,0,No,0,0,0,,,,,,,,,,,,,
961,LA PLACE,LA,9/1/2024,9/29/2024,0,1,No,0,0,0,0,0,0,0,0,0,0,No,0,1,0,,,,,,,,,,,,,
977,Fernandina Beach,FL,9/8/2024,9/20/2024,0,1,Yes,0,0,0,0,0,0,0,0,0,0,No,0,0,0,,,,,,,,,,,,,
1023,Galax,VA,9/29/2024,10/27/2024,0,1,No,0,0,0,0,0,0,0,0,0,0,No,0,0,0,,,,,,,,,,,,,
1042,BASTROP,TX,9/15/2024,10/11/2024,0,1,No,0,0,0,1,0,1,0,1,0,0,No,2,0,0,,,,,,,,,,,,,
1054,ATCHISON,KS,9/15/2024,10/13/2024,1,0,No,0,0,0,1,1,0,0,0,0,0,Yes,0,0,0,,,,,,,,,,,,,
1055,GARLAND,TX,9/15/2024,10/11/2024,0,1,No,0,0,0,1,0,1,0,1,0,0,Yes,2,0,0,,,,,,,,,,,,,
1065,HOPE,AR,9/15/2024,10/11/2024,0,1,No,0,0,0,3,0,0,0,0,0,0,No,1,0,0,,,,,,,,,,,,,
1065,HOPE,AR,9/15/2024,10/11/2024,0,1,No,0,0,0,3,0,0,0,0,0,0,No,1,0,0,,,,,,,,,,,,,
1118,BALCH SPRINGS,TX,9/1/2024,9/27/2024,0,1,Yes,0,0,0,1,0,0,0,1,0,0,No,1,0,0,,,,,,,,,,,,,
1147,FLIPPIN,AR,9/15/2024,10/11/2024,1,0,No,0,0,0,0,0,0,0,0,0,0,Yes,0,0,0,,,,,,,,,,,,,
1157,NORTH VERNON,IN,10/6/2024,11/1/2024,0,0,No,0,1,0,0,0,0,0,0,0,0,Yes,0,0,0,,,,,,,,,,,,,
1177,MANCHESTER,MO,9/22/2024,10/18/2024,0,1,No,0,0,0,1,0,0,0,1,1,0,No,0,0,1,,,,,,,,,,,,,
1178,BEDFORD,TX,9/1/2024,9/27/2024,0,1,No,0,0,0,2,0,0,0,1,0,0,Yes,3,0,0,,,,,,,,,,,,,
1198,SAN ANTONIO,TX,9/15/2024,10/11/2024,0,1,No,0,0,0,1,0,1,0,0,0,0,Yes,2,1,0,,,,,,,,,,,,,
1216,CARROLLTON,TX,9/29/2024,10/25/2024,0,1,No,0,0,0,0,0,1,0,1,0,0,Yes,2,0,0,,,,,,,,,,,,,
1232,BELTON,TX,9/29/2024,10/25/2024,0,1,No,0,0,0,1,0,1,0,0,0,0,Yes,3,0,0,,,,,,,,,,,,,
1332,SOUTH SIOUX CITY,NE,9/22/2024,10/20/2024,0,1,No,0,0,0,2,0,0,0,1,0,0,No,1,0,0,,,,,,,,,,,,,
1409,HOUSTON,TX,10/6/2024,11/1/2024,1,0,No,0,0,0,1,0,0,0,1,0,0,No,2,0,0,,,,,,,,,,,,,
1415,SPIRIT LAKE,IA,9/1/2024,9/27/2024,1,0,No,0,0,0,0,1,0,0,0,0,0,Yes,1,0,0,,,,,,,,,,,,,
1460,HASTINGS,NE,9/29/2024,10/25/2024,0,1,Yes,0,0,0,1,0,0,1,0,0,0,No,1,0,0,,,,,,,,,,,,,
1491,INDIANOLA,IA,9/8/2024,10/4/2024,0,1,No,0,0,0,1,0,1,0,1,0,0,Yes,2,0,0,,,,,,,,,,,,,
1507,WICHITA,KS,9/29/2024,10/25/2024,0,1,No,0,0,0,2,0,0,1,0,0,0,Yes,2,0,0,,,,,,,,,,,,,
1514,ARNOLD,MO,10/6/2024,11/3/2024,0,1,No,0,0,0,1,1,0,0,0,0,0,No,0,1,0,,,,,,,,,,,,,
1637,OMAHA,NE,10/6/2024,11/1/2024,0,1,No,0,0,0,1,2,0,0,0,0,0,Yes,1,0,0,,,,,,,,,,,,,
1691,OVERLAND PARK,KS,9/1/2024,9/29/2024,0,1,No,0,0,0,2,0,0,0,0,0,0,Yes,1,0,0,,,,,,,,,,,,,
1764,WINDSOR HEIGHTS,IA,9/29/2024,10/27/2024,0,1,Yes,0,0,0,2,0,1,0,0,0,0,Yes,1,0,0,,,,,,,,,,,,,
1766,MARIETTA,GA,9/8/2024,10/6/2024,0,1,No,0,0,0,0,0,0,0,0,0,0,No,0,1,0,,,,,,,,,,,,,
1965,COUNCIL BLUFFS,IA,9/29/2024,10/25/2024,0,1,No,0,0,0,0,0,0,0,0,0,0,Yes,2,0,0,,,,,,,,,,,,,
2086,PLANO,TX,9/8/2024,10/6/2024,0,1,Yes,0,0,0,1,0,1,0,1,0,0,No,1,0,0,,,,,,,,,,,,,
2131,TOPEKA,KS,9/22/2024,10/20/2024,0,1,No,0,0,0,2,0,0,0,0,0,0,Yes,1,0,0,,,,,,,,,,,,,
2175,BRANSON WEST,MO,9/22/2024,10/18/2024,0,1,No,0,0,0,2,0,0,0,0,0,0,Yes,0,0,0,,,,,,,,,,,,,
2221,SPRINGFIELD,MO,10/6/2024,11/1/2024,0,1,No,0,0,0,1,0,0,0,0,0,0,Yes,1,0,0,,,,,,,,,,,,,
2323,STOW,OH,9/8/2024,10/4/2024,0,1,No,0,0,0,1,1,0,0,3,0,0,No,1,0,0,,,,,,,,,,,,,
2393,MOORE,OK,9/1/2024,9/13/2024,0,0,No,1,0,0,0,0,0,0,0,0,0,No,0,0,0,,,,,,,,,,,,,
2394,OKLAHOMA CITY,OK,9/1/2024,9/13/2024,0,0,No,0,1,0,0,0,0,0,0,0,0,No,0,0,0,,,,,,,,,,,,,
2395,TULSA,OK,9/1/2024,9/13/2024,0,0,No,1,1,0,0,0,0,0,0,0,0,No,0,0,0,,,,,,,,,,,,,
2397,MANSFIELD,TX,9/8/2024,9/20/2024,0,0,No,1,0,0,0,0,0,0,0,0,0,No,0,0,0,,,,,,,,,,,,,
2468,ROHNERT PARK,CA,10/13/2024,10/25/2024,1,0,No,0,0,0,0,0,0,0,0,0,0,No,0,0,0,,,,,,,,,,,,,
2487,CORONA,CA,10/13/2024,10/25/2024,1,0,No,0,0,0,0,0,0,0,0,0,0,No,0,0,0,,,,,,,,,,,,,
2575,CONWAY,AR,10/6/2024,11/1/2024,0,1,No,0,0,0,0,1,0,0,0,0,0,Yes,1,0,0,,,,,,,,,,,,,
2579,CHADRON,NE,9/22/2024,10/20/2024,0,1,No,0,0,0,0,0,0,0,0,0,0,No,0,0,0,,,,,,,,,,,,,
2587,CABOT,AR,9/29/2024,10/25/2024,0,1,No,0,0,0,1,0,0,0,1,0,0,No,1,0,0,,,,,,,,,,,,,
2590,HILLSBORO,OR,9/8/2024,9/20/2024,1,0,No,0,0,0,0,0,0,0,0,0,0,No,0,0,0,,,,,,,,,,,,,
2600,CHESTERFIELD,MO,10/6/2024,11/1/2024,0,1,No,0,0,0,1,0,0,0,0,0,0,Yes,1,0,0,,,,,,,,,,,,,
2616,O FALLON,MO,9/8/2024,10/4/2024,0,1,No,0,0,0,1,0,1,0,1,0,0,Yes,1,0,0,,,,,,,,,,,,,
2667,DALLAS,TX,10/6/2024,11/3/2024,0,1,No,0,0,0,1,0,1,0,0,0,0,Yes,2,0,0,,,,,,,,,,,,,
2694,KIRKWOOD,MO,9/8/2024,10/4/2024,0,1,No,0,0,0,2,0,0,0,0,0,0,No,1,0,0,,,,,,,,,,,,,
2714,SPENCER,IA,9/15/2024,10/11/2024,1,0,No,0,0,0,0,1,0,0,0,0,0,Yes,1,0,0,,,,,,,,,,,,,
2784,BEATRICE,NE,9/15/2024,10/11/2024,0,1,No,0,0,0,0,0,0,1,0,0,0,Yes,1,0,0,,,,,,,,,,,,,
2835,SAN ANTONIO,TX,9/8/2024,9/20/2024,1,0,No,0,0,0,0,0,0,0,0,0,0,No,0,0,0,,,,,,,,,,,,,
2847,BELLEVUE,NE,9/8/2024,10/4/2024,0,1,No,0,0,0,2,0,0,1,0,0,0,Yes,1,0,0,,,,,,,,,,,,,
2870,MYRTLE BEACH,SC,9/1/2024,9/13/2024,1,0,No,0,0,0,0,0,0,0,0,0,0,No,0,0,0,,,,,,,,,,,,,
2877,OKLAHOMA CITY,OK,9/1/2024,9/13/2024,0,0,No,0,1,0,0,0,0,0,0,0,0,No,0,0,0,,,,,,,,,,,,,
2878,OKLAHOMA CITY,OK,9/1/2024,9/13/2024,0,0,No,1,1,0,0,0,0,0,0,0,0,No,0,0,0,,,,,,,,,,,,,
2880,TULSA,OK,9/1/2024,9/13/2024,0,0,No,0,1,0,0,0,0,0,0,0,0,No,0,0,0,,,,,,,,,,,,,
2891,ODESSA,TX,10/6/2024,11/3/2024,0,1,No,0,0,0,2,0,0,0,0,0,0,No,1,0,1,,,,,,,,,,,,,
2919,MONROE,LA,9/8/2024,9/20/2024,1,0,No,0,0,0,0,0,0,0,0,0,0,No,0,0,0,,,,,,,,,,,,,
2975,GARLAND,TX,9/8/2024,9/20/2024,0,0,No,0,1,0,0,0,0,0,0,0,0,No,0,0,0,,,,,,,,,,,,,
2976,MESQUITE,TX,9/8/2024,9/20/2024,0,0,No,0,1,0,0,0,0,0,0,0,0,No,0,0,0,,,,,,,,,,,,,
2977,ARLINGTON,TX,9/8/2024,9/20/2024,0,0,No,0,2,0,0,0,0,0,0,0,0,No,0,0,0,,,,,,,,,,,,,
2979,FORT WORTH,TX,9/8/2024,9/20/2024,0,0,No,0,1,0,0,0,0,0,0,0,0,No,0,0,0,,,,,,,,,,,,,
3026,PALM DESERT,CA,,Galloway,3/27/2024,No,1,,,,,,,,,,,,,,,,,,,,,,,#REF!,#REF!,#REF!,#REF!,#REF!
3070,DUNWOODY,GA,9/1/2024,9/13/2024,0,0,No,1,0,0,0,0,0,0,0,0,0,No,0,0,0,,,,,,,,,,,,,
3071,TUCKER,GA,9/1/2024,9/13/2024,1,0,No,0,0,0,0,0,0,0,0,0,0,No,0,0,0,,,,,,,,,,,,,
3072,SNELLVILLE,GA,9/1/2024,9/13/2024,1,0,No,0,0,0,0,0,0,0,0,0,0,No,0,0,0,,,,,,,,,,,,,
3150,COUNCIL BLUFFS,IA,9/1/2024,9/29/2024,0,1,No,0,0,0,1,0,0,0,1,0,0,No,1,0,0,,,,,,,,,,,,,
3152,OMAHA,NE,9/8/2024,9/20/2024,1,0,No,0,0,0,0,0,0,0,0,0,0,No,0,0,0,,,,,,,,,,,,,
3170,ELGIN,TX,9/29/2024,10/27/2024,0,1,No,0,0,0,1,0,0,0,0,0,0,No,1,0,0,,,,,,,,,,,,,
3185,HUNTSVILLE,AL,9/8/2024,9/20/2024,1,0,No,0,0,0,0,0,0,0,0,0,0,No,0,0,0,,,,,,,,,,,,,
3199,PLANO,TX,9/8/2024,9/20/2024,0,0,No,0,1,0,0,0,0,0,0,0,0,No,0,0,0,,,,,,,,,,,,,
3204,CEDAR HILL,TX,9/8/2024,9/20/2024,1,0,No,0,0,0,0,0,0,0,0,0,0,No,0,0,0,,,,,,,,,,,,,
3275,EDMOND,OK,9/1/2024,9/13/2024,0,0,No,0,1,0,0,0,0,0,0,0,0,No,0,0,0,,,,,,,,,,,,,
3278,LINCOLN,NE,9/15/2024,10/11/2024,0,1,No,0,0,0,1,1,0,1,0,0,0,No,1,0,0,,,,,,,,,,,,,
3278,LINCOLN,NE,9/15/2024,10/11/2024,0,1,No,0,0,0,1,1,0,1,0,0,0,No,1,0,1,,,,,,,,,,,,,
3287,LEWISVILLE,TX,9/8/2024,9/20/2024,0,0,No,1,1,0,0,0,0,0,0,0,0,No,0,0,0,,,,,,,,,,,,,
3327,OKLAHOMA CITY,OK,9/8/2024,9/20/2024,0,0,No,1,0,0,0,0,0,0,0,0,0,No,0,0,0,,,,,,,,,,,,,
3331,PINE BLUFF,AR,10/6/2024,11/1/2024,0,1,No,0,0,0,1,0,0,0,3,0,0,Yes,1,0,0,,,,,,,,,,,,,
3356,LAS VEGAS,NV,9/1/2024,9/13/2024,0,0,No,1,0,0,0,0,0,0,0,0,0,No,0,0,0,,,,,,,,,,,,,
3449,KILLEEN,TX,9/8/2024,9/20/2024,1,0,No,0,0,0,0,0,0,0,0,0,0,No,0,0,0,,,,,,,,,,,,,
3450,KILLEEN,TX,9/8/2024,9/20/2024,1,0,No,0,0,0,0,0,0,0,0,0,0,No,0,0,0,,,,,,,,,,,,,
3456,HOPE MILLS,NC,9/1/2024,9/13/2024,0,0,No,1,0,0,0,0,0,0,0,0,0,No,0,0,0,,,,,,,,,,,,,
3457,TULSA,OK,9/8/2024,9/20/2024,0,0,No,1,0,0,0,0,0,0,0,0,0,No,0,0,0,,,,,,,,,,,,,
3508,BROKEN ARROW,OK,9/8/2024,9/20/2024,0,0,No,1,0,0,0,0,0,0,0,0,0,No,0,0,0,,,,,,,,,,,,,
3509,HOUSTON,TX,9/8/2024,9/20/2024,0,0,No,1,0,0,0,0,0,0,0,0,0,No,0,0,0,,,,,,,,,,,,,
3512,ALBUQUERQUE,NM,9/1/2024,9/13/2024,0,0,No,1,0,0,0,0,0,0,0,0,0,No,0,0,0,,,,,,,,,,,,,
3542,HOUSTON,TX,9/8/2024,9/20/2024,0,0,No,1,0,0,0,0,0,0,0,0,0,No,0,0,0,,,,,,,,,,,,,
3574,ALLEN,TX,9/8/2024,9/20/2024,0,0,No,1,0,0,0,0,0,0,0,0,0,No,0,0,0,,,,,,,,,,,,,
3593,HORN LAKE,MS,9/1/2024,9/13/2024,0,0,No,1,0,0,0,0,0,0,0,0,0,No,0,0,0,,,,,,,,,,,,,
3650,Ventura,CA,9/8/2024,9/20/2024,1,0,No,0,0,0,0,0,0,0,0,0,0,No,0,0,0,,,,,,,,,,,,,
3713,LADSON,SC,9/1/2024,9/13/2024,1,0,No,0,0,0,0,0,0,0,0,0,0,No,0,0,0,,,,,,,,,,,,,
3723,LOCUST GROVE,OK,9/8/2024,9/20/2024,1,0,No,0,0,0,0,0,0,0,0,0,0,No,0,0,0,,,,,,,,,,,,,
3746,SHREVEPORT,LA,9/15/2024,9/27/2024,1,0,No,0,0,0,0,0,0,0,0,0,0,No,0,0,0,,,,,,,,,,,,,
3773,FORT WORTH,TX,9/22/2024,10/20/2024,0,1,No,0,0,0,1,0,0,0,1,0,0,No,2,0,0,,,,,,,,,,,,,
3823,LINCOLN,NE,9/29/2024,10/27/2024,0,1,No,0,0,0,1,0,0,0,0,0,0,No,0,1,0,,,,,,,,,,,,,
3870,ARLINGTON,TX,9/8/2024,9/20/2024,0,0,No,1,0,0,0,0,0,0,0,0,0,No,0,0,0,,,,,,,,,,,,,
3990,MERIDIAN,MS,9/1/2024,9/13/2024,1,0,No,0,0,0,0,0,0,0,0,0,0,No,0,0,0,,,,,,,,,,,,,
4056,CONVERSE,TX,9/15/2024,9/27/2024,1,0,No,0,0,0,0,0,0,0,0,0,0,No,0,0,0,,,,,,,,,,,,,
4100,PROVO,UT,9/15/2024,9/27/2024,1,0,No,0,0,0,0,0,0,0,0,0,0,No,0,0,0,,,,,,,,,,,,,
4145,GREER,SC,9/1/2024,9/13/2024,0,0,No,0,1,0,0,0,0,0,0,0,0,No,0,0,0,,,,,,,,,,,,,
4147,MORRISVILLE,NC,9/1/2024,9/13/2024,1,0,No,0,0,0,0,0,0,0,0,0,0,No,0,0,0,,,,,,,,,,,,,
4168,BEEBE,AR,9/8/2024,10/4/2024,0,1,Yes,0,0,0,1,0,0,0,1,0,0,No,0,0,0,,,,,,,,,,,,,
4178,SPRINGFIELD,OR,9/8/2024,9/20/2024,0,0,No,1,0,0,0,0,0,0,0,0,0,No,0,0,0,,,,,,,,,,,,,
4182,PLANO,TX,9/15/2024,9/27/2024,1,0,No,0,0,0,0,0,0,0,0,0,0,No,0,0,0,,,,,,,,,,,,,
4193,TYLER,TX,9/15/2024,9/27/2024,0,1,No,0,0,0,0,0,0,0,0,0,0,No,0,0,0,,,,,,,,,,,,,
4339,NORTH LAS VEGAS,NV,9/1/2024,9/13/2024,0,1,No,0,0,1,0,0,0,0,0,0,0,No,0,0,0,,,,,,,,,,,,,
