Store Info,FY24 Assemblers ,Supplier Status ,Tabletop/Quick Assembly  ,Charcoal / Griddles / Smokers ,Gas / Wood / Pellet,Duel Fuel ,Level 1 Grill Repair ,Level 2 Grill Repair ,Level 3 Grill Repair 
33,TROC,Secondary,18.74,33.33,34.54,51.51,18.18,33.33,54.54
33,Economy Care Services,Preferred,16.52,22.21,26.09,32.45,9.44,14,16.31
33,"National Assemblers, Inc.",Secondary,17.03,27.51,38.5,46.97,12.47,16.47,24.95
34,Economy Care Services,Secondary,16.52,22.21,26.09,32.45,9.44,14,16.31
34,TROC,Secondary,18.74,33.33,34.54,51.51,18.18,33.33,54.54
34,"National Assemblers, Inc.",Preferred,17.81,28.76,40.25,49.09,13.04,17.22,26.09
35,TROC,Secondary,18.74,33.33,34.54,51.51,18.18,33.33,54.54
35,"National Assemblers, Inc.",Preferred,17.81,28.76,40.25,49.09,13.04,17.22,26.09
36,"PRECISION RETAIL ASSEMBLY SERVICE, LLC",Secondary,8.5,26,38,50,3,6,10
36,Economy Care Services,Preferred,16.52,22.21,26.09,32.45,9.44,14,16.31
36,"National Assemblers, Inc.",Secondary,17.81,28.76,40.25,49.09,13.04,17.22,26.09
37,TROC,Secondary,18.74,33.33,34.54,51.51,18.18,33.33,54.54
37,"National Assemblers, Inc.",Preferred,17.81,28.76,40.25,49.09,13.04,17.22,26.09
38,TROC,Secondary,18.74,33.33,34.54,51.51,18.18,33.33,54.54
38,Economy Care Services,Preferred,16.52,22.21,26.09,32.45,9.44,14,16.31
38,"National Assemblers, Inc.",Secondary,14.71,23.75,33.25,40.56,10.77,14.22,21.56
39,TROC,Secondary,18.74,33.33,34.54,51.51,18.18,33.33,54.54
39,M&C Assembly,Secondary,13.2,24.2,30.8,49.5,7.7,14.3,16.5
39,"National Assemblers, Inc.",Preferred,17.81,28.76,40.25,49.09,13.04,17.22,26.09
40,TROC,Preferred,18.74,33.33,34.54,51.51,18.18,33.33,54.54
40,"National Assemblers, Inc.",Secondary,17.81,28.76,40.25,49.09,13.04,17.22,26.09
41,Economy Care Services,Secondary,16.52,22.21,26.09,32.45,9.44,14,16.31
41,TROC,Secondary,18.74,33.33,34.54,51.51,18.18,33.33,54.54
41,"National Assemblers, Inc.",Preferred,17.81,28.76,40.25,49.09,13.04,17.22,26.09
42,TROC,Secondary,18.74,33.33,34.54,51.51,18.18,33.33,54.54
42,M&C Assembly,Secondary,13.2,24.2,30.8,49.5,7.7,14.3,16.5
42,"National Assemblers, Inc.",Preferred,17.81,28.76,40.25,49.09,13.04,17.22,26.09
43,TROC,Secondary,18.74,33.33,34.54,51.51,18.18,33.33,54.54
43,"National Assemblers, Inc.",Preferred,17.81,28.76,40.25,49.09,13.04,17.22,26.09
44,TROC,Preferred,18.74,33.33,34.54,51.51,18.18,33.33,54.54
44,"National Assemblers, Inc.",Secondary,15.48,25.01,35,42.69,11.34,14.97,22.69
45,"PRECISION RETAIL ASSEMBLY SERVICE, LLC",Secondary,8.5,26,38,50,3,6,10
45,Economy Care Services,Preferred,16.52,22.21,26.09,32.45,9.44,14,16.31
45,"National Assemblers, Inc.",Secondary,17.81,28.76,40.25,49.09,13.04,17.22,26.09
46,Economy Care Services,Secondary,16.52,22.21,26.09,32.45,9.44,14,16.31
46,TROC,Secondary,18.74,33.33,34.54,51.51,18.18,33.33,54.54
46,"National Assemblers, Inc.",Preferred,17.81,28.76,40.25,49.09,13.04,17.22,26.09
47,TROC,Secondary,18.74,33.33,34.54,51.51,18.18,33.33,54.54
47,Economy Care Services,Preferred,16.52,22.21,26.09,32.45,9.44,14,16.31
47,"National Assemblers, Inc.",Secondary,17.81,28.76,40.25,49.09,13.04,17.22,26.09
48,Economy Care Services,Secondary,16.52,22.21,26.09,32.45,9.44,14,16.31
48,TROC,Secondary,18.74,33.33,34.54,51.51,18.18,33.33,54.54
48,"National Assemblers, Inc.",Preferred,17.81,28.76,40.25,49.09,13.04,17.22,26.09
49,TROC,Secondary,18.74,33.33,34.54,51.51,18.18,33.33,54.54
49,Economy Care Services,Preferred,16.52,22.21,26.09,32.45,9.44,14,16.31
49,"National Assemblers, Inc.",Secondary,14.71,23.75,33.25,40.56,10.77,14.22,21.56
50,Economy Care Services,Secondary,16.52,22.21,26.09,32.45,9.44,14,16.31
50,TROC,Secondary,18.74,33.33,34.54,51.51,18.18,33.33,54.54
50,"National Assemblers, Inc.",Preferred,17.03,27.51,38.5,46.97,12.47,16.47,24.95
51,TROC,Preferred,18.74,33.33,34.54,51.51,18.18,33.33,54.54
51,"National Assemblers, Inc.",Secondary,15.48,25.01,35,42.69,11.34,14.97,22.69
52,TROC,Secondary,18.74,33.33,34.54,51.51,18.18,33.33,54.54
52,Economy Care Services,Preferred,16.52,22.21,26.09,32.45,9.44,14,16.31
52,"National Assemblers, Inc.",Secondary,17.03,27.51,38.5,46.97,12.47,16.47,24.95
54,TROC,Secondary,18.74,33.33,34.54,51.51,18.18,33.33,54.54
54,Economy Care Services,Preferred,16.52,22.21,26.09,32.45,9.44,14,16.31
54,"National Assemblers, Inc.",Secondary,15.48,25.01,35,42.69,11.34,14.97,22.69
55,TROC,Secondary,18.74,33.33,34.54,51.51,18.18,33.33,54.54
55,Economy Care Services,Preferred,16.52,22.21,26.09,32.45,9.44,14,16.31
55,"National Assemblers, Inc.",Secondary,17.03,27.51,38.5,46.97,12.47,16.47,24.95
56,Economy Care Services,Secondary,16.52,22.21,26.09,32.45,9.44,14,16.31
56,TROC,Secondary,18.74,33.33,34.54,51.51,18.18,33.33,54.54
56,"National Assemblers, Inc.",Preferred,17.81,28.76,40.25,49.09,13.04,17.22,26.09
57,"PRECISION RETAIL ASSEMBLY SERVICE, LLC",Secondary,8.5,26,38,50,3,6,10
57,Economy Care Services,Preferred,16.52,22.21,26.09,32.45,9.44,14,16.31
57,"National Assemblers, Inc.",Secondary,18.12,29.26,40.95,49.95,13.27,17.52,26.54
58,TROC,Secondary,18.74,33.33,34.54,51.51,18.18,33.33,54.54
58,Economy Care Services,Preferred,16.52,22.21,26.09,32.45,9.44,14,16.31
58,"National Assemblers, Inc.",Secondary,17.03,27.51,38.5,46.97,12.47,16.47,24.95
59,Economy Care Services,Secondary,16.52,22.21,26.09,32.45,9.44,14,16.31
59,TROC,Secondary,18.74,33.33,34.54,51.51,18.18,33.33,54.54
59,"National Assemblers, Inc.",Preferred,17.81,28.76,40.25,49.09,13.04,17.22,26.09
60,TROC,Secondary,18.74,33.33,34.54,51.51,18.18,33.33,54.54
60,M&C Assembly,Secondary,11,25.3,30.8,33,6.6,13.2,15.4
60,"National Assemblers, Inc.",Preferred,15.48,25.01,35,42.69,11.34,14.97,22.69
61,TROC,Secondary,18.74,33.33,34.54,51.51,18.18,33.33,54.54
61,ALL STAR ASSEMBLY LLC,Secondary,13.25,22.25,28.25,46.99,5.25,7.5,10.5
61,"National Assemblers, Inc.",Preferred,17.03,27.51,38.5,46.97,12.47,16.47,24.95
62,"PRECISION RETAIL ASSEMBLY SERVICE, LLC",Secondary,8.5,26,38,50,3,6,10
62,Economy Care Services,Preferred,16.52,22.21,26.09,32.45,9.44,14,16.31
62,"National Assemblers, Inc.",Secondary,17.81,28.76,40.25,49.09,13.04,17.22,26.09
63,Economy Care Services,Secondary,16.52,22.21,26.09,32.45,9.44,14,16.31
63,TROC,Secondary,18.74,33.33,34.54,51.51,18.18,33.33,54.54
63,"National Assemblers, Inc.",Preferred,17.03,27.51,38.5,46.97,12.47,16.47,24.95
64,"PRECISION RETAIL ASSEMBLY SERVICE, LLC",Preferred,8.5,26,38,50,3,6,10
64,TROC,Secondary,18.74,33.33,34.54,51.51,18.18,33.33,54.54
64,"National Assemblers, Inc.",Secondary,18.12,29.26,40.95,49.95,13.27,17.52,26.54
65,TROC,Preferred,18.74,33.33,34.54,51.51,18.18,33.33,54.54
65,"National Assemblers, Inc.",Secondary,15.48,25.01,35,42.69,11.34,14.97,22.69
66,TROC,Secondary,18.74,33.33,34.54,51.51,18.18,33.33,54.54
66,Economy Care Services,Preferred,16.52,22.21,26.09,32.45,9.44,14,16.31
66,"National Assemblers, Inc.",Secondary,17.03,27.51,38.5,46.97,12.47,16.47,24.95
67,TROC,Secondary,18.74,33.33,34.54,51.51,18.18,33.33,54.54
67,Economy Care Services,Preferred,16.52,22.21,26.09,32.45,9.44,14,16.31
67,"National Assemblers, Inc.",Secondary,17.03,27.51,38.5,46.97,12.47,16.47,24.95
68,"PRECISION RETAIL ASSEMBLY SERVICE, LLC",Secondary,8.5,26,38,50,3,6,10
68,Economy Care Services,Preferred,16.52,22.21,26.09,32.45,9.44,14,16.31
68,"National Assemblers, Inc.",Secondary,17.81,28.76,40.25,49.09,13.04,17.22,26.09
69,TROC,Secondary,18.74,33.33,34.54,51.51,18.18,33.33,54.54
69,"National Assemblers, Inc.",Preferred,17.81,28.76,40.25,49.09,13.04,17.22,26.09
70,"PRECISION RETAIL ASSEMBLY SERVICE, LLC",Secondary,8.5,26,38,50,3,6,10
70,Economy Care Services,Preferred,16.52,22.21,26.09,32.45,9.44,14,16.31
70,"National Assemblers, Inc.",Secondary,18.12,29.26,40.95,49.95,13.27,17.52,26.54
71,"PRECISION RETAIL ASSEMBLY SERVICE, LLC",Secondary,8.5,26,38,50,3,6,10
71,Economy Care Services,Preferred,16.52,22.21,26.09,32.45,9.44,14,16.31
71,"National Assemblers, Inc.",Secondary,18.12,29.26,40.95,49.95,13.27,17.52,26.54
72,TROC,Secondary,18.74,33.33,34.54,51.51,18.18,33.33,54.54
72,M&C Assembly,Secondary,13.2,24.2,30.8,49.5,7.7,14.3,16.5
72,"National Assemblers, Inc.",Preferred,19.35,31.26,43.75,53.37,14.18,18.71,28.35
73,Economy Care Services,Secondary,16.52,22.21,26.09,32.45,9.44,14,16.31
73,TROC,Secondary,18.74,33.33,34.54,51.51,18.18,33.33,54.54
73,"National Assemblers, Inc.",Preferred,17.81,28.76,40.25,49.09,13.04,17.22,26.09
74,"PRECISION RETAIL ASSEMBLY SERVICE, LLC",Secondary,8.5,26,38,50,3,6,10
74,Economy Care Services,Preferred,16.52,22.21,26.09,32.45,9.44,14,16.31
74,"National Assemblers, Inc.",Secondary,17.81,28.76,40.25,49.09,13.04,17.22,26.09
75,SOUND ASSEMBLY SERVICES,Preferred,10,15,25,35,5,10,15
75,M&C Assembly,Secondary,11,25.3,30.8,33,6.6,13.2,15.4
75,"National Assemblers, Inc.",Secondary,18.12,29.26,40.95,49.95,13.27,17.52,26.54
76,TROC,Secondary,18.74,33.33,34.54,51.51,18.18,33.33,54.54
76,Economy Care Services,Preferred,16.52,22.21,26.09,32.45,9.44,14,16.31
76,"National Assemblers, Inc.",Secondary,15.48,25.01,35,42.69,11.34,14.97,22.69
77,"Backpedal Co, LLC",Preferred,11,21,28,37,8,10,16
77,M&C Assembly,Secondary,11,25.3,30.8,33,6.6,13.2,15.4
77,"National Assemblers, Inc.",Secondary,14.71,23.75,33.25,40.56,10.77,14.22,21.56
78,Economy Care Services,Secondary,16.52,22.21,26.09,32.45,9.44,14,16.31
78,TROC,Secondary,18.74,33.33,34.54,51.51,18.18,33.33,54.54
78,"National Assemblers, Inc.",Preferred,17.81,28.76,40.25,49.09,13.04,17.22,26.09
79,Economy Care Services,Secondary,16.52,22.21,26.09,32.45,9.44,14,16.31
79,TROC,Secondary,18.74,33.33,34.54,51.51,18.18,33.33,54.54
79,"National Assemblers, Inc.",Preferred,17.81,28.76,40.25,49.09,13.04,17.22,26.09
80,TROC,Preferred,18.74,33.33,34.54,51.51,18.18,33.33,54.54
80,"National Assemblers, Inc.",Secondary,17.81,28.76,40.25,49.09,13.04,17.22,26.09
81,Economy Care Services,Secondary,16.52,22.21,26.09,32.45,9.44,14,16.31
81,TROC,Secondary,18.74,33.33,34.54,51.51,18.18,33.33,54.54
81,"National Assemblers, Inc.",Preferred,17.03,27.51,38.5,46.97,12.47,16.47,24.95
82,TROC,Secondary,18.74,33.33,34.54,51.51,18.18,33.33,54.54
82,"National Assemblers, Inc.",Preferred,17.81,28.76,40.25,49.09,13.04,17.22,26.09
83,TROC,Secondary,18.74,33.33,34.54,51.51,18.18,33.33,54.54
83,Economy Care Services,Preferred,16.52,22.21,26.09,32.45,9.44,14,16.31
83,"National Assemblers, Inc.",Secondary,17.81,28.76,40.25,49.09,13.04,17.22,26.09
85,TROC,Secondary,18.74,33.33,34.54,51.51,18.18,33.33,54.54
85,Economy Care Services,Preferred,16.52,22.21,26.09,32.45,9.44,14,16.31
85,"National Assemblers, Inc.",Secondary,17.03,27.51,38.5,46.97,12.47,16.47,24.95
86,Economy Care Services,Secondary,16.52,22.21,26.09,32.45,9.44,14,16.31
86,TROC,Secondary,18.74,33.33,34.54,51.51,18.18,33.33,54.54
86,"National Assemblers, Inc.",Preferred,17.81,28.76,40.25,49.09,13.04,17.22,26.09
87,M&C Assembly,Secondary,11,25.3,30.8,33,6.6,13.2,15.4
87,Economy Care Services,Preferred,16.52,22.21,26.09,32.45,9.44,14,16.31
87,"National Assemblers, Inc.",Secondary,18.12,29.26,40.95,49.95,13.27,17.52,26.54
88,Economy Care Services,Secondary,16.52,22.21,26.09,32.45,9.44,14,16.31
88,TROC,Secondary,18.74,33.33,34.54,51.51,18.18,33.33,54.54
88,"National Assemblers, Inc.",Preferred,17.81,28.76,40.25,49.09,13.04,17.22,26.09
89,TROC,Preferred,18.74,33.33,34.54,51.51,18.18,33.33,54.54
89,"National Assemblers, Inc.",Secondary,17.81,28.76,40.25,49.09,13.04,17.22,26.09
90,Economy Care Services,Secondary,16.52,22.21,26.09,32.45,9.44,14,16.31
90,TROC,Secondary,18.74,33.33,34.54,51.51,18.18,33.33,54.54
90,"National Assemblers, Inc.",Preferred,17.03,27.51,38.5,46.97,12.47,16.47,24.95
91,"PRECISION RETAIL ASSEMBLY SERVICE, LLC",Secondary,8.5,26,38,50,3,6,10
91,Economy Care Services,Preferred,16.52,22.21,26.09,32.45,9.44,14,16.31
91,"National Assemblers, Inc.",Secondary,17.81,28.76,40.25,49.09,13.04,17.22,26.09
92,Economy Care Services,Secondary,16.52,22.21,26.09,32.45,9.44,14,16.31
92,TROC,Secondary,18.74,33.33,34.54,51.51,18.18,33.33,54.54
92,"National Assemblers, Inc.",Preferred,17.81,28.76,40.25,49.09,13.04,17.22,26.09
93,"PRECISION RETAIL ASSEMBLY SERVICE, LLC",Preferred,8.5,26,38,50,3,6,10
93,TROC,Secondary,18.74,33.33,34.54,51.51,18.18,33.33,54.54
93,"National Assemblers, Inc.",Secondary,18.12,29.26,40.95,49.95,13.27,17.52,26.54
94,"PRECISION RETAIL ASSEMBLY SERVICE, LLC",Preferred,8.5,26,38,50,3,6,10
94,TROC,Secondary,18.74,33.33,34.54,51.51,18.18,33.33,54.54
94,"National Assemblers, Inc.",Secondary,18.12,29.26,40.95,49.95,13.27,17.52,26.54
95,TROC,Secondary,18.74,33.33,34.54,51.51,18.18,33.33,54.54
95,"National Assemblers, Inc.",Preferred,17.81,28.76,40.25,49.09,13.04,17.22,26.09
96,ALL STAR ASSEMBLY LLC,Secondary,13.25,22.25,28.25,46.99,5.25,7.5,10.5
96,TROC,Secondary,18.74,33.33,34.54,51.51,18.18,33.33,54.54
96,"National Assemblers, Inc.",Preferred,17.81,28.76,40.25,49.09,13.04,17.22,26.09
97,"PRECISION RETAIL ASSEMBLY SERVICE, LLC",Preferred,8.5,26,38,50,3,6,10
97,TROC,Secondary,18.74,33.33,34.54,51.51,18.18,33.33,54.54
97,"National Assemblers, Inc.",Secondary,18.12,29.26,40.95,49.95,13.27,17.52,26.54
98,TROC,Secondary,18.74,33.33,34.54,51.51,18.18,33.33,54.54
98,M&C Assembly,Preferred,11,25.3,30.8,33,6.6,13.2,15.4
98,"National Assemblers, Inc.",Secondary,18.12,29.26,40.95,49.95,13.27,17.52,26.54
99,TROC,Secondary,18.74,33.33,34.54,51.51,18.18,33.33,54.54
99,M&C Assembly,Secondary,11,25.3,30.8,33,6.6,13.2,15.4
99,"National Assemblers, Inc.",Preferred,15.48,25.01,35,42.69,11.34,14.97,22.69
100,TROC,Secondary,18.74,33.33,34.54,51.51,18.18,33.33,54.54
100,Economy Care Services,Preferred,16.52,22.21,26.09,32.45,9.44,14,16.31
100,"National Assemblers, Inc.",Secondary,15.48,25.01,35,42.69,11.34,14.97,22.69
101,TROC,Preferred,18.74,33.33,34.54,51.51,18.18,33.33,54.54
101,"National Assemblers, Inc.",Secondary,15.48,25.01,35,42.69,11.34,14.97,22.69
102,TROC,Secondary,18.74,33.33,34.54,51.51,18.18,33.33,54.54
102,Economy Care Services,Preferred,16.52,22.21,26.09,32.45,9.44,14,16.31
102,"National Assemblers, Inc.",Secondary,17.81,28.76,40.25,49.09,13.04,17.22,26.09
103,TROC,Secondary,18.74,33.33,34.54,51.51,18.18,33.33,54.54
103,Economy Care Services,Preferred,16.52,22.21,26.09,32.45,9.44,14,16.31
103,"National Assemblers, Inc.",Secondary,17.81,28.76,40.25,49.09,13.04,17.22,26.09
104,"PRECISION RETAIL ASSEMBLY SERVICE, LLC",Preferred,8.5,26,38,50,3,6,10
104,TROC,Secondary,18.74,33.33,34.54,51.51,18.18,33.33,54.54
104,"National Assemblers, Inc.",Secondary,18.12,29.26,40.95,49.95,13.27,17.52,26.54
105,"PRECISION RETAIL ASSEMBLY SERVICE, LLC",Preferred,8.5,26,38,50,3,6,10
105,M&C Assembly,Secondary,11,25.3,30.8,33,6.6,13.2,15.4
105,"National Assemblers, Inc.",Secondary,17.81,28.76,40.25,49.09,13.04,17.22,26.09
106,"PRECISION RETAIL ASSEMBLY SERVICE, LLC",Preferred,8.5,26,38,50,3,6,10
106,TROC,Secondary,18.74,33.33,34.54,51.51,18.18,33.33,54.54
1063,ADVANCED RETAIL SYSTEMS LLC,Secondary,18.5,30,45,65,8,10,12
106,"National Assemblers, Inc.",Secondary,18.12,29.26,40.95,49.95,13.27,17.52,26.54
107,"PRECISION RETAIL ASSEMBLY SERVICE, LLC",Preferred,8.5,26,38,50,3,6,10
107,TROC,Secondary,18.74,33.33,34.54,51.51,18.18,33.33,54.54
107,"National Assemblers, Inc.",Secondary,18.12,29.26,40.95,49.95,13.27,17.52,26.54
108,Economy Care Services,Preferred,16.52,22.21,26.09,32.45,9.44,14,16.31
108,TROC,Secondary,18.74,33.33,34.54,51.51,18.18,33.33,54.54
108,"National Assemblers, Inc.",Secondary,17.81,28.76,40.25,49.09,13.04,17.22,26.09
109,ALL STAR ASSEMBLY LLC,Preferred,13.25,22.25,28.25,46.99,5.25,7.5,10.5
109,TROC,Secondary,18.74,33.33,34.54,51.51,18.18,33.33,54.54
1091,ADVANCED RETAIL SYSTEMS LLC,Secondary,18.5,30,45,65,8,10,12
109,"National Assemblers, Inc.",Secondary,17.81,28.76,40.25,49.09,13.04,17.22,26.09
110,Obscure Rides,Secondary,11,20.5,20.5,20.5,6.53,8.71,10.88
110,PRO SERV ASSEMBLY SERVICE INC,Preferred,16,20,25,30,5,10,20
110,"National Assemblers, Inc.",Secondary,14.71,23.75,33.25,40.56,10.77,14.22,21.56
111,TROC,Secondary,18.74,33.33,34.54,51.51,18.18,33.33,54.54
111,M&C Assembly,Secondary,13.2,24.2,30.8,49.5,7.7,14.3,16.5
111,"National Assemblers, Inc.",Preferred,17.81,28.76,40.25,49.09,13.04,17.22,26.09
112,TROC,Secondary,18.74,33.33,34.54,51.51,18.18,33.33,54.54
1121,ADVANCED RETAIL SYSTEMS LLC,Secondary,18.5,30,45,65,8,10,12
112,M&C Assembly,Preferred,11,25.3,30.8,33,6.6,13.2,15.4
112,"National Assemblers, Inc.",Secondary,17.81,28.76,40.25,49.09,13.04,17.22,26.09
113,Economy Care Services,Preferred,16.52,22.21,26.09,32.45,9.44,14,16.31
113,TROC,Secondary,18.74,33.33,34.54,51.51,18.18,33.33,54.54
113,"National Assemblers, Inc.",Secondary,17.03,27.51,38.5,46.97,12.47,16.47,24.95
114,"PRECISION RETAIL ASSEMBLY SERVICE, LLC",Preferred,8.5,26,38,50,3,6,10
