Facility,Facility Type,Location,BU/Network,Region,Market/Type,Facility Manager,Academy #,Academy Address,Phone Number,Academy Leader,Academy Coordinator,Academy Sr. Manager,Academy Director,Academy location
17,WM SUPERCENTER,3200 LUSK DR NEOSHO MO,SOUTHEAST BU - NICK BERKELEY,42 - DAVID CARMON,334 - VICKY LUMAN,CHAD CLAPP,59,1501 S RANGE LINE RD JOPLIN MO 64804,(417) 208-0047,Shelley Bradfield,Crystal Johnson,Rob Gray,Keri Peck,Academy is located in separate building off of garden center
18,WM SUPERCENTER,1211 HIGHWAY 367 N NEWPORT AR,SOUTHEAST BU - NICK BERKELEY,42 - DAVID CARMON,328 - JEFF WARD,MICHAEL RAWLINGS,119,3150 HARRISON ST BATESVILLE AR 72501,(870) 376-7913,Carolyn Hembrey,Page Sevier,Rob Gray,Keri Peck,The Academy is located in a separate building in the parking lot in front of the Garden Center.
19,WM SUPERCENTER,333 S WESTWOOD BLVD POPLAR BLUFF MO,NORTH BU - GLENDA FLEMING WILLIS,40 - ANNAMARIE DIAMOND,335 - BRADLEY SHACKELFORD,MATTHEW LOONEY,19,333 S WESTWOOD BLVD POPLAR BLUFF MO 63901,(573) 772-7242,Jessie Baer,James Hoyer,Beth Wiseman,Sherry Brown,Academy is located in the consumable stockroom near Dairy
20,WM SUPERCENTER,1712 E OHIO ST CLINTON MO,NORTH BU - GLENDA FLEMING WILLIS,40 - ANNAMARIE DIAMOND,361 - MARK HELLER,MATTHEW CABLE,2855,16100 W 65TH ST SHAWNEE KS 66217,(913) 268-2999,Brett Shelton,Shelly Miller,Monte Summerlin,Keri Peck,Academy is located in the GM backroom near Entertainment
21,WM SUPERCENTER,185 SAINT ROBERT BLVD SAINT ROBERT MO,NORTH BU - GLENDA FLEMING WILLIS,40 - N/A,336 - DAWN WHEELER,NICHOLAS GREUFE,5477,401 SUPERCENTER DR JEFFERSON CITY MO 65101,(573) 658-9299,Mark Freeman,Sherry Ross,Beth Wiseman,Sherry Brown,Academy is located in the back hallway near Entertainment
22,WM SUPERCENTER,4901 S MILL ST PRYOR OK,SOUTHWEST BU - PAUL LEWELLEN,44 - TERRY NANNIE,347 - MARK MCNEIL,BOBBY JOHNSON,4637,3900 E HILLSIDE DR BROKEN ARROW OK 74014,(918) 505-4020,Paul Zahner,Valerie Garrett,Rob Gray,Keri Peck,Academy is located in the general merchandise backroom. Enter by the electronics TV wall. The Academy is on your left hand side once you enter the double doors. 
23,WM SUPERCENTER,1201 N SERVICE RD E RUSTON LA,SOUTHEAST BU - NICK BERKELEY,42 - DAVID CARMON,135 - BRIAN DUCOTE',LAQUISHA DOWNS,87,1379 HOMER RD MINDEN LA 71055,(318) 639-6039,Leah Revies,Frankie Rogers,Rob Gray,Keri Peck,Academy is located in a separate (modular) building in the Grocery parking lot.
24,WM SUPERCENTER,2000 JOHN HARDEN DR JACKSONVILLE AR,SOUTHEAST BU - NICK BERKELEY,42 - DAVID CARMON,326 - HAROLD REYNOLDS,V WASHINGTON,318,109 WP MALONE DR ARKADELPHIA AR 71923,(870) 210-7311,Florie Murray,Myesha Dixon,Rob Gray,Keri Peck,Academy is located in a seperate (modular) building on the right hand side (east side) of the Grocery parking lot.  
25,WM SUPERCENTER,4820 S CLARK ST MEXICO MO,NORTH BU - GLENDA FLEMING WILLIS,40 - ANNAMARIE DIAMOND,359 - DERRICK BRENTLINGER,BRANDON LITTLE,5477,401 SUPERCENTER DR JEFFERSON CITY MO 65101,(573) 658-9299,Mark Freeman,Sherry Ross,Beth Wiseman,Sherry Brown,Academy is located in the back hallway near Entertainment
26,WM SUPERCENTER,5000 10TH AVE LEAVENWORTH KS,WEST BU - JAY CORDRAY,47 - MICHAEL CANUP,411 - DALE PRITCHETT,KRISTY ADAIR,2855,16100 W 65TH ST SHAWNEE KS 66217,(913) 268-2999,Brett Shelton,Shelly Miller,Monte Summerlin,Keri Peck,Academy is located in the GM backroom near Entertainment
27,WM SUPERCENTER,1101 W HIGHWAY 32 SALEM MO,NORTH BU - GLENDA FLEMING WILLIS,40 - ANNAMARIE DIAMOND,357 - ROBIN TORRETTA,CHRIS ESQUIRE,5477,401 SUPERCENTER DR JEFFERSON CITY MO 65101,(573) 658-9299,Mark Freeman,Sherry Ross,Beth Wiseman,Sherry Brown,Academy is located in the back hallway near Entertainment
28,WM SUPERCENTER,2415 N MAIN ST MIAMI OK,SOUTHWEST BU - PAUL LEWELLEN,44 - TERRY NANNIE,347 - MARK MCNEIL,JARED CASH,59,1501 S RANGE LINE RD JOPLIN MO 64804,(417) 208-0047,Shelley Bradfield,Crystal Johnson,Rob Gray,Keri Peck,Academy is located in separate building off of garden center
29,WM SUPERCENTER,724 STADIUM WEST BLVD JEFFERSON CITY MO,NORTH BU - GLENDA FLEMING WILLIS,40 - ANNAMARIE DIAMOND,336 - DAWN WHEELER,TYLER KINKEAD,5477,401 SUPERCENTER DR JEFFERSON CITY MO 65101,(573) 658-9299,Mark Freeman,Sherry Ross,Beth Wiseman,Sherry Brown,Academy is located in the back hallway near Entertainment
30,WM SUPERCENTER,2025 W BUSINESS US HIGHWAY 60 DEXTER MO,NORTH BU - GLENDA FLEMING WILLIS,40 - ANNAMARIE DIAMOND,335 - BRADLEY SHACKELFORD,JASON GREER,19,333 S WESTWOOD BLVD POPLAR BLUFF MO 63901,(573) 772-7242,Jessie Baer,James Hoyer,Beth Wiseman,Sherry Brown,Academy is located in the consumable stockroom near Dairy
31,WM SUPERCENTER,3108 N BROADWAY ST POTEAU OK,SOUTHWEST BU - PAUL LEWELLEN,44 - TERRY NANNIE,351 - WESTY BERNHARDT,BONITA WINTERS,125,2425 S ZERO ST FORT SMITH AR 72901,(479) 289-6915,Heather Kelly,Rebecca Caufield,Rob Gray,Keri Peck,The Academy is located in the modular building behind the Auto Care Center.
32,WAL-MART,2050 W 76 COUNTRY BLVD BRANSON MO,NORTH BU - GLENDA FLEMING WILLIS,40 - N/A,333 - KYLE MANN,CHRISTOPHER KITTLE,59,1501 S RANGE LINE RD JOPLIN MO 64804,(417) 208-0047,Shelley Bradfield,Crystal Johnson,Rob Gray,Keri Peck,Academy is located in separate building off of garden center
33,WM SUPERCENTER,1710 S 4TH ST NASHVILLE AR,SOUTHEAST BU - NICK BERKELEY,42 - DAVID CARMON,325 - JAMES LANE,JULIE MCKIM,2123,4000 NEW BOSTON RD TEXARKANA TX 75501,(903) 716-7153,Pamela Wood,BRIDGETTE HARRIS,Rob Gray,Keri Peck,Academy is located in a seperate (modular) building across from Garden Center and Auto Care Center
34,WM SUPERCENTER,2250 LINCOLN AVE NEVADA MO,SOUTHEAST BU - NICK BERKELEY,42 - DAVID CARMON,334 - VICKY LUMAN,HENRY WALLACE,72,2710 N BROADWAY ST PITTSBURG KS 66762,(620) 230-0037,Missy Hagedorn,Jodie Stephens,Rob Gray,Keri Peck,Academy is located in a separate building behind store 2707 N. Joplin Street
35,WM SUPERCENTER,101 BLUEMONT AVE MANHATTAN KS,WEST BU - JAY CORDRAY,47 - MICHAEL CANUP,407 - MIKE KURTZ,SOPHIA RESH,2131,1301 SW 37TH ST TOPEKA KS 66611,(785) 266-3400,Charlton Bartz,Cindy Shelton,Monte Summerlin,Keri Peck,Academy is located in separate building next to the garden center
36,WM SUPERCENTER,2802 W KINGSHIGHWAY PARAGOULD AR,SOUTHEAST BU - NICK BERKELEY,11 - DAVID SEYMORE,329 - VANESSA MCMILLON,TERRY MELTON,19,333 S WESTWOOD BLVD POPLAR BLUFF MO 63901,(573) 772-7242,Jessie Baer,James Hoyer,Beth Wiseman,Sherry Brown,Academy is located in the consumable stockroom near Dairy
37,WM SUPERCENTER,707 WALTON DR FARMINGTON MO,NORTH BU - GLENDA FLEMING WILLIS,40 - ANNAMARIE DIAMOND,335 - BRADLEY SHACKELFORD,WILLIAM BRITTON,19,333 S WESTWOOD BLVD POPLAR BLUFF MO 63901,(573) 772-7242,Jessie Baer,James Hoyer,Beth Wiseman,Sherry Brown,Academy is located in the consumable stockroom near Dairy
38,WM SUPERCENTER,1907 SE WASHINGTON ST IDABEL OK,SOUTHWEST BU - PAUL LEWELLEN,44 - TERRY NANNIE,47 - RONNIE ANDERSON,ANGELA BEARD,2123,4000 NEW BOSTON RD TEXARKANA TX 75501,(903) 716-7153,Pamela Wood,BRIDGETTE HARRIS,Rob Gray,Keri Peck,Academy is located in a seperate (modular) building across from Garden Center and Auto Care Center
39,WM SUPERCENTER,2500 S MAIN ST FORT SCOTT KS,SOUTHWEST BU - PAUL LEWELLEN,44 - TERRY NANNIE,410 - TRAVIS MOORE,HEATHER MAGRUDER,72,2710 N BROADWAY ST PITTSBURG KS 66762,(620) 230-0037,Missy Hagedorn,Jodie Stephens,Rob Gray,Keri Peck,Academy is located in a separate building behind store 2707 N. Joplin Street
40,WM SUPERCENTER,1301 E HIGHWAY 24 MOBERLY MO,NORTH BU - GLENDA FLEMING WILLIS,40 - ANNAMARIE DIAMOND,359 - DERRICK BRENTLINGER,JEREMY DAVY,5477,401 SUPERCENTER DR JEFFERSON CITY MO 65101,(573) 658-9299,Mark Freeman,Sherry Ross,Beth Wiseman,Sherry Brown,Academy is located in the back hallway near Entertainment
41,WM SUPERCENTER,4000 SE GREEN COUNTRY RD BARTLESVILLE OK,SOUTHWEST BU - PAUL LEWELLEN,44 - TERRY NANNIE,345 - JAY GARRISON,MATTHEW RUSSELL,4637,3900 E HILLSIDE DR BROKEN ARROW OK 74014,(918) 505-4020,Paul Zahner,Valerie Garrett,Rob Gray,Keri Peck,Academy is located in the general merchandise backroom. Enter by the electronics TV wall. The Academy is on your left hand side once you enter the double doors. 
42,WM SUPERCENTER,1863 CR 5300 COFFEYVILLE KS,SOUTHWEST BU - PAUL LEWELLEN,44 - TERRY NANNIE,410 - TRAVIS MOORE,BRIAN RAPER,72,2710 N BROADWAY ST PITTSBURG KS 66762,(620) 230-0037,Missy Hagedorn,Jodie Stephens,Rob Gray,Keri Peck,Academy is located in a separate building behind store 2707 N. Joplin Street
43,WM SUPERCENTER,521 E CHESTNUT ST JUNCTION CITY KS,WEST BU - JAY CORDRAY,47 - MICHAEL CANUP,407 - MIKE KURTZ,ROBERT ROW,2131,1301 SW 37TH ST TOPEKA KS 66611,(785) 266-3400,Charlton Bartz,Cindy Shelton,Monte Summerlin,Keri Peck,Academy is located in separate building next to the garden center
44,WAL-MART,1802 S BUSINESS 54 ELDON MO,NORTH BU - GLENDA FLEMING WILLIS,40 - ANNAMARIE DIAMOND,336 - DAWN WHEELER,WILLIAM WOODY,5477,401 SUPERCENTER DR JEFFERSON CITY MO 65101,(573) 658-9299,Mark Freeman,Sherry Ross,Beth Wiseman,Sherry Brown,Academy is located in the back hallway near Entertainment
45,WM SUPERCENTER,1815 E HIGHLAND DR JONESBORO AR,SOUTHEAST BU - NICK BERKELEY,11 - DAVID SEYMORE,329 - VANESSA MCMILLON,KRYSTAL CHEW,119,3150 HARRISON ST BATESVILLE AR 72501,(870) 376-7913,Carolyn Hembrey,Page Sevier,Rob Gray,Keri Peck,The Academy is located in a separate building in the parking lot in front of the Garden Center.
46,WM SUPERCENTER,2451 S SPRINGFIELD AVE BOLIVAR MO,NORTH BU - GLENDA FLEMING WILLIS,40 - ANNAMARIE DIAMOND,357 - ROBIN TORRETTA,ASHLEY BURKE,72,2710 N BROADWAY ST PITTSBURG KS 66762,(620) 230-0037,Missy Hagedorn,Jodie Stephens,Rob Gray,Keri Peck,Academy is located in a separate building behind store 2707 N. Joplin Street
47,WM SUPERCENTER,1101 W RUTH AVE SALLISAW OK,SOUTHWEST BU - PAUL LEWELLEN,44 - TERRY NANNIE,351 - WESTY BERNHARDT,N/A,125,2425 S ZERO ST FORT SMITH AR 72901,(479) 289-6915,Heather Kelly,Rebecca Caufield,Rob Gray,Keri Peck,The Academy is located in the modular building behind the Auto Care Center.
48,WM SUPERCENTER,885 E US HIGHWAY 60 MONETT MO,SOUTHEAST BU - NICK BERKELEY,42 - DAVID CARMON,334 - VICKY LUMAN,KAYLEIGH BROWN,59,1501 S RANGE LINE RD JOPLIN MO 64804,(417) 208-0047,Shelley Bradfield,Crystal Johnson,Rob Gray,Keri Peck,Academy is located in separate building off of garden center
49,WM SUPERCENTER,1911 E JACKSON ST HUGO OK,SOUTHWEST BU - PAUL LEWELLEN,44 - TERRY NANNIE,47 - RONNIE ANDERSON,CRYSTAL REED,2123,4000 NEW BOSTON RD TEXARKANA TX 75501,(903) 716-7153,Pamela Wood,BRIDGETTE HARRIS,Rob Gray,Keri Peck,Academy is located in a seperate (modular) building across from Garden Center and Auto Care Center
50,WM SUPERCENTER,268 S 7TH ST VINITA OK,SOUTHWEST BU - PAUL LEWELLEN,44 - TERRY NANNIE,347 - MARK MCNEIL,N/A,59,1501 S RANGE LINE RD JOPLIN MO 64804,(417) 208-0047,Shelley Bradfield,Crystal Johnson,Rob Gray,Keri Peck,Academy is located in separate building off of garden center
51,WM SUPERCENTER,1701 N BLUFF ST FULTON MO,NORTH BU - GLENDA FLEMING WILLIS,40 - ANNAMARIE DIAMOND,359 - DERRICK BRENTLINGER,N/A,5477,401 SUPERCENTER DR JEFFERSON CITY MO 65101,(573) 658-9299,Mark Freeman,Sherry Ross,Beth Wiseman,Sherry Brown,Academy is located in the back hallway near Entertainment
52,WM SUPERCENTER,1601 ALBERT PIKE RD HOT SPRINGS AR,SOUTHEAST BU - NICK BERKELEY,42 - DAVID CARMON,325 - JAMES LANE,JOSHUA WILLIAMS,318,109 WP MALONE DR ARKADELPHIA AR 71923,(870) 210-7311,Florie Murray,Myesha Dixon,Rob Gray,Keri Peck,Academy is located in a seperate (modular) building on the right hand side (east side) of the Grocery parking lot.  
53,OTHER,0053 TBA BENTONVILLE AR,RETAIL - ADMIN SUBDIVISION T - ,99 - N/A,999 - N/A,N/A,,,,,,,,
54,WM SUPERCENTER,2004 S PLEASANT ST SPRINGDALE AR,SOUTHEAST BU - NICK BERKELEY,42 - DAVID CARMON,322 - SHEILA INGLE,VICTOR CALDERON,359,3919 NO. MALL AVE FAYETTEVILLE AR 72703,(479) 435-2066,Seth DeLoach,Ethel Schreiber,Rob Gray,Keri Peck,Academy is located in a separate building located next to ACC and Garden Center. 
55,WM SUPERCENTER,1400 EAST MAIN ST BOONEVILLE AR,SOUTHEAST BU - NICK BERKELEY,42 - DAVID CARMON,321 - JAMES PHILLIPS,JAMIE DELUDE,125,2425 S ZERO ST FORT SMITH AR 72901,(479) 289-6915,Heather Kelly,Rebecca Caufield,Rob Gray,Keri Peck,The Academy is located in the modular building behind the Auto Care Center.
56,WM SUPERCENTER,1309 NW 12TH AVE AVA MO,NORTH BU - GLENDA FLEMING WILLIS,40 - N/A,333 - KYLE MANN,GEOFFREY BLAIR,59,1501 S RANGE LINE RD JOPLIN MO 64804,(417) 208-0047,Shelley Bradfield,Crystal Johnson,Rob Gray,Keri Peck,Academy is located in separate building off of garden center
57,WAL-MART,1600 W MAIN ST WALNUT RIDGE AR,SOUTHEAST BU - NICK BERKELEY,42 - DAVID CARMON,328 - JEFF WARD,AUSTIN SCHWINDT,119,3150 HARRISON ST BATESVILLE AR 72501,(870) 376-7913,Carolyn Hembrey,Page Sevier,Rob Gray,Keri Peck,The Academy is located in a separate building in the parking lot in front of the Garden Center.
58,WM SUPERCENTER,2409 E MAIN ST RUSSELLVILLE AR,SOUTHEAST BU - NICK BERKELEY,42 - DAVID CARMON,325 - JAMES LANE,JENNIFER FOSTER,125,2425 S ZERO ST FORT SMITH AR 72901,(479) 289-6915,Heather Kelly,Rebecca Caufield,Rob Gray,Keri Peck,The Academy is located in the modular building behind the Auto Care Center.
59,WM SUPERCENTER,1501 S RANGE LINE RD JOPLIN MO,SOUTHEAST BU - NICK BERKELEY,42 - DAVID CARMON,334 - VICKY LUMAN,JENNIFFER DUNHAM,59,1501 S RANGE LINE RD JOPLIN MO 64804,(417) 208-0047,Shelley Bradfield,Crystal Johnson,Rob Gray,Keri Peck,Academy is located in separate building off of garden center
60,WM SUPERCENTER,101 HIGHWAY 47 E TROY MO,NORTH BU - GLENDA FLEMING WILLIS,40 - ANNAMARIE DIAMOND,339 - STEVE BUSSMANN,JOHN SHEAR,1161,2897 VETERANS MEMORIAL PKWY SAINT CHARLES MO 63303,(636) 866-0505,Crystal Vohsen,Yuriko Harewood,Beth Wiseman,Sherry Brown,"Academy location is located between Sam's and Walmart, closest to Grocery door"
61,WM SUPERCENTER,301 E COOPER BLVD WARRENSBURG MO,NORTH BU - GLENDA FLEMING WILLIS,40 - ANNAMARIE DIAMOND,361 - MARK HELLER,JOEL GROSS,234,8301 N CHURCH RD KANSAS CITY MO 64158,(816) 439-4186,Dale Dinwiddie,REG HAMILTON,Monte Summerlin,Keri Peck,Academy is located in the grocery backroom near Dairy
62,WM SUPERCENTER,3700 E HIGHWAY 18 BLYTHEVILLE AR,SOUTHEAST BU - NICK BERKELEY,11 - DAVID SEYMORE,329 - VANESSA MCMILLON,JOHN SCHNEIDER,19,333 S WESTWOOD BLVD POPLAR BLUFF MO 63901,(573) 772-7242,Jessie Baer,James Hoyer,Beth Wiseman,Sherry Brown,Academy is located in the consumable stockroom near Dairy
63,WM SUPERCENTER,410 S DEWEY AVE WAGONER OK,SOUTHWEST BU - PAUL LEWELLEN,44 - TERRY NANNIE,347 - MARK MCNEIL,CHARLES ZALMANZIG,4637,3900 E HILLSIDE DR BROKEN ARROW OK 74014,(918) 505-4020,Paul Zahner,Valerie Garrett,Rob Gray,Keri Peck,Academy is located in the general merchandise backroom. Enter by the electronics TV wall. The Academy is on your left hand side once you enter the double doors. 
64,WM SUPERCENTER,1100 S DUPREE AVE BROWNSVILLE TN,SOUTHEAST BU - NICK BERKELEY,11 - DAVID SEYMORE,146 - ADAM STEELE,LINDA OSBORNE,177,1210 MINERAL WELLS AVE PARIS TN 38242,(731) 227-5300,Charlie Edmondson,Janet Kuenzle,Beth Wiseman,Sherry Brown,"Academy is located in modular unit located outside, next to grocery  side of the building "
65,WM SUPERCENTER,350 PARK RIDGE RD SULLIVAN MO,NORTH BU - GLENDA FLEMING WILLIS,40 - ANNAMARIE DIAMOND,336 - DAWN WHEELER,KRISTOPHER WILLIAMS,2213,3270 TELEGRAPH RD SAINT LOUIS MO 63125,(314) 649-1012,Krystal George,Bobbette Hoffman,Beth Wiseman,Sherry Brown,Academy is located in the backroom on the grocery side of the building.
66,WM SUPERCENTER,230 MARKET ST. CLARKSVILLE AR,SOUTHEAST BU - NICK BERKELEY,42 - DAVID CARMON,321 - JAMES PHILLIPS,CLINT MCGUIRE,125,2425 S ZERO ST FORT SMITH AR 72901,(479) 289-6915,Heather Kelly,Rebecca Caufield,Rob Gray,Keri Peck,The Academy is located in the modular building behind the Auto Care Center.
67,WM SUPERCENTER,600 HIGHWAY 71 N MENA AR,SOUTHEAST BU - NICK BERKELEY,42 - DAVID CARMON,321 - JAMES PHILLIPS,ANDREW BROWN,125,2425 S ZERO ST FORT SMITH AR 72901,(479) 289-6915,Heather Kelly,Rebecca Caufield,Rob Gray,Keri Peck,The Academy is located in the modular building behind the Auto Care Center.
68,WM SUPERCENTER,800 HIGHWAY 64 E WYNNE AR,SOUTHEAST BU - NICK BERKELEY,11 - DAVID SEYMORE,329 - VANESSA MCMILLON,ASHLEY MAYS,950,8400 US HIGHWAY 64 BARTLETT TN 38133,(901) 666-4136,Lonnie Cravens,BRITTANY HUCKABEE,Beth Wiseman,Sherry Brown,Academy is located in building at far end of parking lot in front of Garden center entrance. 
69,WM SUPERCENTER,650 S TRUMAN BLVD FESTUS MO,NORTH BU - GLENDA FLEMING WILLIS,40 - ANNAMARIE DIAMOND,335 - BRADLEY SHACKELFORD,SCOTT SHERRILL,2213,3270 TELEGRAPH RD SAINT LOUIS MO 63125,(314) 649-1012,Krystal George,Bobbette Hoffman,Beth Wiseman,Sherry Brown,Academy is located in the backroom on the grocery side of the building.
70,WM SUPERCENTER,798 W SERVICE RD WEST MEMPHIS AR,SOUTHEAST BU - NICK BERKELEY,11 - DAVID SEYMORE,329 - VANESSA MCMILLON,TEELA ALLEN,950,8400 US HIGHWAY 64 BARTLETT TN 38133,(901) 666-4136,Lonnie Cravens,BRITTANY HUCKABEE,Beth Wiseman,Sherry Brown,Academy is located in building at far end of parking lot in front of Garden center entrance. 
71,WM SUPERCENTER,1415 HIGHWAY 67 S POCAHONTAS AR,SOUTHEAST BU - NICK BERKELEY,42 - DAVID CARMON,328 - JEFF WARD,ROBERT CROME,119,3150 HARRISON ST BATESVILLE AR 72501,(870) 376-7913,Carolyn Hembrey,Page Sevier,Rob Gray,Keri Peck,The Academy is located in a separate building in the parking lot in front of the Garden Center.
72,WM SUPERCENTER,2710 N BROADWAY ST PITTSBURG KS,SOUTHWEST BU - PAUL LEWELLEN,44 - TERRY NANNIE,410 - TRAVIS MOORE,PAUL WRIGHT,72,2710 N BROADWAY ST PITTSBURG KS 66762,(620) 230-0037,Missy Hagedorn,Jodie Stephens,Rob Gray,Keri Peck,Academy is located in a separate building behind store 2707 N. Joplin Street
73,WM SUPERCENTER,1002 W TAFT ST SAPULPA OK,SOUTHWEST BU - PAUL LEWELLEN,44 - TERRY NANNIE,356 - JARED ARMSTRONG,CHRISTOPHER ADDISON,4637,3900 E HILLSIDE DR BROKEN ARROW OK 74014,(918) 505-4020,Paul Zahner,Valerie Garrett,Rob Gray,Keri Peck,Academy is located in the general merchandise backroom. Enter by the electronics TV wall. The Academy is on your left hand side once you enter the double doors. 
