Store,Supplier ,Tracking Number,Service type ,Ship date ,Status ,Delivered date,Status with details 
6207,Orora Visual,413977430813,https://www.fedex.com/fedextrack/?trknbr=413977430813&trkqual=12028~413977430813~FDEG,10/25/2024,Delivered,10/28/2024,"Delivered: 10/28/2024 2:15 pm Signed for by:DDENISE; Spring Hill, FL"
6398,Orora Visual,413977430824,https://www.fedex.com/fedextrack/?trknbr=413977430824&trkqual=12028~413977430824~FDEG,10/25/2024,Delivered,10/28/2024,"Delivered: 10/28/2024 9:38 am Signed for by:KKELLEY; Deltona, FL"
6548,Orora Visual,413977430835,https://www.fedex.com/fedextrack/?trknbr=413977430835&trkqual=12028~413977430835~FDEG,10/25/2024,Delivered,10/28/2024,"Delivered: 10/28/2024 9:46 am Signed for by:RROBIN; Tampa, FL"
6894,Orora Visual,413977430846,https://www.fedex.com/fedextrack/?trknbr=413977430846&trkqual=12028~413977430846~FDEG,10/25/2024,Delivered,10/28/2024,"Delivered: 10/28/2024 9:42 am Signed for by:PHILLIPS; Apopka, FL"
6937,Orora Visual,413977430857,https://www.fedex.com/fedextrack/?trknbr=413977430857&trkqual=12028~413977430857~FDEG,10/25/2024,Delivered,10/28/2024,"Delivered: 10/28/2024 1:48 pm Signed for by:JJOHN; Port Charlotte, FL"
6941,Orora Visual,413977430868,https://www.fedex.com/fedextrack/?trknbr=413977430868&trkqual=12028~413977430868~FDEG,10/25/2024,Delivered,10/28/2024,"Delivered: 10/28/2024 2:15 pm Signed for by:EERICK; Cape Coral, FL"
6967,Orora Visual,413977430879,https://www.fedex.com/fedextrack/?trknbr=413977430879&trkqual=12028~413977430879~FDEG,10/25/2024,Delivered,10/28/2024,"Delivered: 10/28/2024 2:16 pm Signed for by:SSASHA; Lake Worth, FL"
6968,Orora Visual,413977430880,https://www.fedex.com/fedextrack/?trknbr=413977430880&trkqual=12028~413977430880~FDEG,10/25/2024,Delivered,10/28/2024,"Delivered: 10/28/2024 11:05 am Signed for by:BBSSB; Riverview, FL"
7221,Orora Visual,413977430890,https://www.fedex.com/fedextrack/?trknbr=413977430890&trkqual=12028~413977430890~FDEG,10/25/2024,Delivered,10/28/2024,"Delivered: 10/28/2024 9:44 am Signed for by:LLISA; North Port, FL"
7298,Orora Visual,413977430905,https://www.fedex.com/fedextrack/?trknbr=413977430905&trkqual=12028~413977430905~FDEG,10/25/2024,Delivered,10/28/2024,"Delivered: 10/28/2024 3:38 pm Signed for by:BBRI; Sarasota, FL"
7299,Orora Visual,413977430916,https://www.fedex.com/fedextrack/?trknbr=413977430916&trkqual=12028~413977430916~FDEG,10/25/2024,Delivered,10/28/2024,"Delivered: 10/28/2024 3:09 pm Signed for by:EERICA; Port Saint Lucie, FL"
525,Orora Visual,413977430938,https://www.fedex.com/fedextrack/?trknbr=413977430938&trkqual=12028~413977430938~FDEG,10/25/2024,Delivered,10/28/2024,"Delivered: 10/28/2024 1:22 pm Signed for by:RROSE; Lake Mary, FL"
525,Orora Visual,413977430949,https://www.fedex.com/fedextrack/?trknbr=413977430949&trkqual=12028~413977430949~FDEG,10/25/2024,Delivered,10/28/2024,"Delivered: 10/28/2024 1:22 pm Signed for by:RROSE; Lake Mary, FL"
2858,Orora Visual,413977430960,https://www.fedex.com/fedextrack/?trknbr=413977430960&trkqual=12028~413977430960~FDEG,10/25/2024,Delivered,10/28/2024,"Delivered: 10/28/2024 4:08 pm Signed for by:DROYAL; Statesboro, GA"
4519,Orora Visual,413977430971,https://www.fedex.com/fedextrack/?trknbr=413977430971&trkqual=12028~413977430971~FDEG,10/25/2024,Delivered,10/28/2024,"Delivered: 10/28/2024 2:03 pm Signed for by:LLAURA; Hinesville, GA"
4525,Orora Visual,413977430982,https://www.fedex.com/fedextrack/?trknbr=413977430982&trkqual=12028~413977430982~FDEG,10/25/2024,Delivered,10/28/2024,"Delivered: 10/28/2024 2:47 pm Signed for by:HBRANTLEY; Hinesville, GA"
4530,Orora Visual,413977431007,https://www.fedex.com/fedextrack/?trknbr=413977431007&trkqual=12028~413977431007~FDEG,10/25/2024,Delivered,10/28/2024,"Delivered: 10/28/2024 2:10 pm; Savannah, GA; Left at front door.Signature Service not requested."
6732,Orora Visual,413977431018,https://www.fedex.com/fedextrack/?trknbr=413977431018&trkqual=12028~413977431018~FDEG,10/25/2024,Delivered,10/28/2024,"Delivered: 10/28/2024 3:22 pm Signed for by:DDEBBIE; Valdosta, GA"
2414,Orora Visual,413977431110,https://www.fedex.com/fedextrack/?trknbr=413977431110&trkqual=12028~413977431110~FDEG,10/25/2024,Delivered,10/28/2024,"Delivered: 10/28/2024 3:22 pm Signed for by:LMATTHEW; Cary, NC"
3411,Orora Visual,413977431121,https://www.fedex.com/fedextrack/?trknbr=413977431121&trkqual=12028~413977431121~FDEG,10/25/2024,Delivered,10/28/2024,"Delivered: 10/28/2024 10:48 am Signed for by:NNEIL; Fayetteville, NC"
3456,Orora Visual,413977431132,https://www.fedex.com/fedextrack/?trknbr=413977431132&trkqual=12028~413977431132~FDEG,10/25/2024,Delivered,10/28/2024,"Delivered: 10/28/2024 10:30 am Signed for by:GJONES; Hope Mills, NC"
3504,Orora Visual,413977431143,https://www.fedex.com/fedextrack/?trknbr=413977431143&trkqual=12028~413977431143~FDEG,10/25/2024,Delivered,10/28/2024,"Delivered: 10/28/2024 10:59 am Signed for by:MLATCHFORD; Hickory, NC"
3600,Orora Visual,413977431154,https://www.fedex.com/fedextrack/?trknbr=413977431154&trkqual=12028~413977431154~FDEG,10/25/2024,Delivered,10/28/2024,"Delivered: 10/28/2024 11:05 am Signed for by:LALLEN; Fayetteville, NC"
4157,Orora Visual,413977431187,https://www.fedex.com/fedextrack/?trknbr=413977431187&trkqual=12028~413977431187~FDEG,10/25/2024,Delivered,10/28/2024,"Delivered: 10/28/2024 2:43 pm Signed for by:MJALPA; Cary, NC"
4432,Orora Visual,413977431202,https://www.fedex.com/fedextrack/?trknbr=413977431202&trkqual=12028~413977431202~FDEG,10/25/2024,Delivered,10/28/2024,"Delivered: 10/28/2024 1:45 pm Signed for by:CCASTELL; Newton, NC"
4545,Orora Visual,413977431213,https://www.fedex.com/fedextrack/?trknbr=413977431213&trkqual=12028~413977431213~FDEG,10/25/2024,Delivered,10/28/2024,"Delivered: 10/28/2024 12:10 pm Signed for by:FWHITLEY; Wilson, NC"
4848,Orora Visual,413977431224,https://www.fedex.com/fedextrack/?trknbr=413977431224&trkqual=12028~413977431224~FDEG,10/25/2024,Delivered,10/28/2024,"Delivered: 10/28/2024 12:18 pm Signed for by:AWHITE; Charlotte, NC"
5013,Orora Visual,413977431235,https://www.fedex.com/fedextrack/?trknbr=413977431235&trkqual=12028~413977431235~FDEG,10/25/2024,Delivered,10/28/2024,"Delivered: 10/28/2024 1:34 pm Signed for by:SROGERS; High Point, NC"
6243,Orora Visual,413977431280,https://www.fedex.com/fedextrack/?trknbr=413977431280&trkqual=12028~413977431280~FDEG,10/25/2024,Delivered,10/28/2024,"Delivered: 10/28/2024 12:52 pm Signed for by:CCOREY; Clemmons, NC"
6263,Orora Visual,413977431290,https://www.fedex.com/fedextrack/?trknbr=413977431290&trkqual=12028~413977431290~FDEG,10/25/2024,Delivered,10/28/2024,"Delivered: 10/28/2024 8:29 am Signed for by:WAL; Winston-Salem, NC"
6264,Orora Visual,413977431305,https://www.fedex.com/fedextrack/?trknbr=413977431305&trkqual=12028~413977431305~FDEG,10/25/2024,Delivered,10/28/2024,"Delivered: 10/28/2024 3:13 pm Signed for by:WWALAMRT; Winston-Salem, NC"
6814,Orora Visual,413977431327,https://www.fedex.com/fedextrack/?trknbr=413977431327&trkqual=12028~413977431327~FDEG,10/25/2024,Delivered,10/28/2024,"Delivered: 10/28/2024 11:54 am; Winston-Salem, NC; Left at front door.Signature Service not requested."
6828,Orora Visual,413977431338,https://www.fedex.com/fedextrack/?trknbr=413977431338&trkqual=12028~413977431338~FDEG,10/25/2024,Delivered,10/28/2024,"Delivered: 10/28/2024 9:31 am Signed for by:WWALMART; Kernersville, NC"
7004,Orora Visual,413977431349,https://www.fedex.com/fedextrack/?trknbr=413977431349&trkqual=12028~413977431349~FDEG,10/25/2024,Delivered,10/28/2024,"Delivered: 10/28/2024 2:45 pm Signed for by:ADAVIS; Dallas, NC"
7062,Orora Visual,413977431350,https://www.fedex.com/fedextrack/?trknbr=413977431350&trkqual=12028~413977431350~FDEG,10/25/2024,Delivered,10/28/2024,"Delivered: 10/28/2024 9:51 am Signed for by:LPARKEE; Gastonia, NC"
7098,Orora Visual,413977431360,https://www.fedex.com/fedextrack/?trknbr=413977431360&trkqual=12028~413977431360~FDEG,10/25/2024,Delivered,10/28/2024,"Delivered: 10/28/2024 2:30 pm Signed for by:HDAVIS; Newport, NC"
7137,Orora Visual,413977431371,https://www.fedex.com/fedextrack/?trknbr=413977431371&trkqual=12028~413977431371~FDEG,10/25/2024,Delivered,10/28/2024,"Delivered: 10/28/2024 10:51 am Signed for by:HHERN; Jacksonville, NC"
7146,Orora Visual,413977431382,https://www.fedex.com/fedextrack/?trknbr=413977431382&trkqual=12028~413977431382~FDEG,10/25/2024,Delivered,10/28/2024,"Delivered: 10/28/2024 12:55 pm Signed for by:DDIANA; Kings Mountain, NC"
7162,Orora Visual,413977431393,https://www.fedex.com/fedextrack/?trknbr=413977431393&trkqual=12028~413977431393~FDEG,10/25/2024,Delivered,10/28/2024,"Delivered: 10/28/2024 11:11 am Signed for by:LALLEN; Hampstead, NC"
7180,Orora Visual,413977431408,https://www.fedex.com/fedextrack/?trknbr=413977431408&trkqual=12028~413977431408~FDEG,10/25/2024,Delivered,10/28/2024,"Delivered: 10/28/2024 10:43 am Signed for by:TTRISH; Waxhaw, NC"
7205,Orora Visual,413977431419,https://www.fedex.com/fedextrack/?trknbr=413977431419&trkqual=12028~413977431419~FDEG,10/25/2024,Delivered,10/28/2024,"Delivered: 10/28/2024 2:20 pm; Lexington, NC; Left at back door.Signature Service not requested."
7206,Orora Visual,413977431420,https://www.fedex.com/fedextrack/?trknbr=413977431420&trkqual=12028~413977431420~FDEG,10/25/2024,Delivered,10/28/2024,"Delivered: 10/28/2024 11:31 am Signed for by:WWINNIE; High Point, NC"
7209,Orora Visual,413977431430,https://www.fedex.com/fedextrack/?trknbr=413977431430&trkqual=12028~413977431430~FDEG,10/25/2024,Delivered,10/28/2024,"Delivered: 10/28/2024 11:08 am Signed for by:AHAMMONDS; Lumberton, NC"
7296,Orora Visual,413977431474,https://www.fedex.com/fedextrack/?trknbr=413977431474&trkqual=12028~413977431474~FDEG,10/25/2024,Delivered,10/28/2024,"Delivered: 10/28/2024 1:20 pm Signed for by:LLATRAIL; Hudson, NC"
7304,Orora Visual,413977431485,https://www.fedex.com/fedextrack/?trknbr=413977431485&trkqual=12028~413977431485~FDEG,10/25/2024,Delivered,10/28/2024,"Delivered: 10/28/2024 2:20 pm Signed for by:CLORRAINE; Morganton, NC"
7315,Orora Visual,413977431496,https://www.fedex.com/fedextrack/?trknbr=413977431496&trkqual=12028~413977431496~FDEG,10/25/2024,Delivered,10/28/2024,"Delivered: 10/28/2024 3:25 pm Signed for by:TLINBERGER; Hickory, NC"
7329,Orora Visual,413977431500,https://www.fedex.com/fedextrack/?trknbr=413977431500&trkqual=12028~413977431500~FDEG,10/25/2024,Delivered,10/28/2024,"Delivered: 10/28/2024 12:20 pm Signed for by:KKE; Saint Pauls, NC"
7334,Orora Visual,413977431511,https://www.fedex.com/fedextrack/?trknbr=413977431511&trkqual=12028~413977431511~FDEG,10/25/2024,Delivered,10/28/2024,"Delivered: 10/28/2024 3:13 pm Signed for by:ADIAZ; Goldsboro, NC"
7340,Orora Visual,413977431533,https://www.fedex.com/fedextrack/?trknbr=413977431533&trkqual=12028~413977431533~FDEG,10/25/2024,Delivered,10/28/2024,"Delivered: 10/28/2024 9:20 am Signed for by:AKISHBAUGH; Goldsboro, NC"
3517,Orora Visual,413977431588,https://www.fedex.com/fedextrack/?trknbr=413977431588&trkqual=12028~413977431588~FDEG,10/25/2024,Delivered,10/28/2024,"Delivered: 10/28/2024 10:10 am Signed for by:HNNMNMM; Rio Rancho, NM"
4339,Orora Visual,413977431669,https://www.fedex.com/fedextrack/?trknbr=413977431669&trkqual=12028~413977431669~FDEG,10/25/2024,Delivered,10/28/2024,"Delivered: 10/28/2024 10:30 am Signed for by:ADEWS; North Las Vegas, NV"
5258,Orora Visual,413977431670,https://www.fedex.com/fedextrack/?trknbr=413977431670&trkqual=12028~413977431670~FDEG,10/25/2024,Delivered,10/28/2024,"Delivered: 10/28/2024 10:45 am Signed for by:MMANAGER; Las Vegas, NV"
5306,Orora Visual,413977431706,https://www.fedex.com/fedextrack/?trknbr=413977431706&trkqual=12028~413977431706~FDEG,10/25/2024,Delivered,10/28/2024,"Delivered: 10/28/2024 12:33 pm Signed for by:MMACASPAC; North Las Vegas, NV"
5423,Orora Visual,413977431717,https://www.fedex.com/fedextrack/?trknbr=413977431717&trkqual=12028~413977431717~FDEG,10/25/2024,Delivered,10/28/2024,"Delivered: 10/28/2024 1:13 pm Signed for by:RROSE; Las Vegas, NV"
2870,Orora Visual,413977431739,https://www.fedex.com/fedextrack/?trknbr=413977431739&trkqual=12028~413977431739~FDEG,10/25/2024,Delivered,10/28/2024,"Delivered: 10/28/2024 1:01 pm Signed for by:HZOLL; Myrtle Beach, SC"
2887,Orora Visual,413977431740,https://www.fedex.com/fedextrack/?trknbr=413977431740&trkqual=12028~413977431740~FDEG,10/25/2024,Delivered,10/28/2024,"Delivered: 10/28/2024 11:37 am Signed for by:BSMITH; Myrtle Beach, SC"
3442,Orora Visual,413977431761,https://www.fedex.com/fedextrack/?trknbr=413977431761&trkqual=12028~413977431761~FDEG,10/25/2024,Delivered,10/28/2024,"Delivered: 10/28/2024 9:54 am Signed for by:EEEASTMAN; Murrells Inlet, SC"
3638,Orora Visual,413977431772,https://www.fedex.com/fedextrack/?trknbr=413977431772&trkqual=12028~413977431772~FDEG,10/25/2024,Delivered,10/28/2024,"Delivered: 10/28/2024 10:53 am Signed for by:SANTRUM; Florence, SC"
3713,Orora Visual,413977431794,https://www.fedex.com/fedextrack/?trknbr=413977431794&trkqual=12028~413977431794~FDEG,10/25/2024,Delivered,10/28/2024,"Delivered: 10/28/2024 9:25 am Signed for by:SKIMBLE; Ladson, SC"
5279,Orora Visual,413977431810,https://www.fedex.com/fedextrack/?trknbr=413977431810&trkqual=12028~413977431810~FDEG,10/25/2024,Delivered,10/28/2024,"Delivered: 10/28/2024 12:57 pm Signed for by:JWINDSOR; Summerville, SC"
5367,Orora Visual,413977431820,https://www.fedex.com/fedextrack/?trknbr=413977431820&trkqual=12028~413977431820~FDEG,10/25/2024,Delivered,10/28/2024,"Delivered: 10/28/2024 4:42 pm Signed for by:NMARSH; Myrtle Beach, SC"
5923,Orora Visual,413977431831,https://www.fedex.com/fedextrack/?trknbr=413977431831&trkqual=12028~413977431831~FDEG,10/25/2024,Delivered,10/28/2024,"Delivered: 10/28/2024 10:40 am Signed for by:JJOHN; Myrtle Beach, SC"
6174,Orora Visual,413977431842,https://www.fedex.com/fedextrack/?trknbr=413977431842&trkqual=12028~413977431842~FDEG,10/25/2024,Delivered,10/28/2024,"Delivered: 10/28/2024 10:39 am Signed for by:ABRITTON; Summerville, SC"
6962,Orora Visual,413977431853,https://www.fedex.com/fedextrack/?trknbr=413977431853&trkqual=12028~413977431853~FDEG,10/25/2024,Delivered,10/28/2024,"Delivered: 10/28/2024 2:45 pm Signed for by:WWALMART; Rock Hill, SC"
