Last Published By,Last Published Date,Last Modified Date,Last Modified By,Published Status,Name,Parent Path,Page Link,Author Link
srountr,7/16/2020,7/16/2020,srountr,Active,Medicare_health_plan_options_letter.pdf,/content/dam/us-wire-wm1/documents/health-wellness/pharmacy-dept/third-party---insurance-support/supporting,"<a href=""https://one.walmart.com/content/dam/us-wire-wm1/documents/health-wellness/pharmacy-dept/third-party---insurance-support/supporting/Medicare_health_plan_options_letter.pdf"">Page Link</a>","<a href=""/content/dam/us-wire-wm1/documents/health-wellness/pharmacy-dept/third-party---insurance-support/supporting/Medicare_health_plan_options_letter.pdf"">Author Link</a>"
nlmix,2/12/2020,2/12/2020,nlmix,Active,Third-Party-Signature-Form.pdf,/content/dam/us-wire-wm1/documents/health-wellness/pharmacy-dept/third-party---insurance-support/text-medicaid-pdfs,"<a href=""https://one.walmart.com/content/dam/us-wire-wm1/documents/health-wellness/pharmacy-dept/third-party---insurance-support/text-medicaid-pdfs/Third-Party-Signature-Form.pdf"">Page Link</a>","<a href=""/content/dam/us-wire-wm1/documents/health-wellness/pharmacy-dept/third-party---insurance-support/text-medicaid-pdfs/Third-Party-Signature-Form.pdf"">Author Link</a>"
nlmix,5/29/2020,2/6/2019,admin,Active,dme_med_secondary.pdf,/content/dam/us-wire-wm1/documents/health-wellness/pharmacy-dept/third-party---insurance-support/medicaid,"<a href=""https://one.walmart.com/content/dam/us-wire-wm1/documents/health-wellness/pharmacy-dept/third-party---insurance-support/medicaid/dme_med_secondary.pdf"">Page Link</a>","<a href=""/content/dam/us-wire-wm1/documents/health-wellness/pharmacy-dept/third-party---insurance-support/medicaid/dme_med_secondary.pdf"">Author Link</a>"
nlmix,1/21/2020,1/21/2020,nlmix,Active,medical_hcpc_codes.pdf,/content/dam/us-wire-wm1/documents/health-wellness/pharmacy-dept/third-party---insurance-support/medicare/medicare-part-b-references-&-forms,"<a href=""https://one.walmart.com/content/dam/us-wire-wm1/documents/health-wellness/pharmacy-dept/third-party---insurance-support/medicare/medicare-part-b-billing-instructions/medical_hcpc_codes.pdf"">Page Link</a>","<a href=""/content/dam/us-wire-wm1/documents/health-wellness/pharmacy-dept/third-party---insurance-support/medicare/medicare-part-b-references-&-forms/medical_hcpc_codes.pdf"">Author Link</a>"
nlmix,2/19/2020,2/19/2020,nlmix,Active,Medicare_Rights_Eng.pdf,/content/dam/us-wire-wm1/documents/health-wellness/pharmacy-dept/third-party---insurance-support/medicare,"<a href=""https://one.walmart.com/content/dam/us-wire-wm1/documents/health-wellness/pharmacy-dept/third-party---insurance-support/medicare/Medicare_Rights_Eng.pdf"">Page Link</a>","<a href=""/content/dam/us-wire-wm1/documents/health-wellness/pharmacy-dept/third-party---insurance-support/medicare/Medicare_Rights_Eng.pdf"">Author Link</a>"
nlmix,2/19/2020,2/19/2020,nlmix,Active,Medicare_Rights_Spa.pdf,/content/dam/us-wire-wm1/documents/health-wellness/pharmacy-dept/third-party---insurance-support/medicare,"<a href=""https://one.walmart.com/content/dam/us-wire-wm1/documents/health-wellness/pharmacy-dept/third-party---insurance-support/medicare/Medicare_Rights_Spa.pdf"">Page Link</a>","<a href=""/content/dam/us-wire-wm1/documents/health-wellness/pharmacy-dept/third-party---insurance-support/medicare/Medicare_Rights_Spa.pdf"">Author Link</a>"
srountr,4/16/2020,4/16/2020,srountr,Active,New_Schedule_Timelines_Optimizer_Flyer.pdf,/content/dam/us-wire-wm1/documents/health-wellness/pharmacy-dept/toolkits,"<a href=""https://one.walmart.com/content/dam/us-wire-wm1/documents/health-wellness/pharmacy-dept/toolkits/New_Schedule_Timelines_Optimizer_Flyer.pdf"">Page Link</a>","<a href=""/content/dam/us-wire-wm1/documents/health-wellness/pharmacy-dept/toolkits/New_Schedule_Timelines_Optimizer_Flyer.pdf"">Author Link</a>"
srountr,9/9/2020,9/9/2020,srountr,Active,TempAlert_Full_Guide.pdf,/content/dam/us-wire-wm1/documents/health-wellness/pharmacy-dept/toolkits/temp-excursion,"<a href=""https://one.walmart.com/content/dam/us-wire-wm1/documents/health-wellness/pharmacy-dept/toolkits/temp-excursion/TempAlert_Full_Guide.pdf"">Page Link</a>","<a href=""/content/dam/us-wire-wm1/documents/health-wellness/pharmacy-dept/toolkits/temp-excursion/TempAlert_Full_Guide.pdf"">Author Link</a>"
srountr,8/25/2020,8/25/2020,srountr,Active,Novo_Nordisk_Excursion_Information.pdf,/content/dam/us-wire-wm1/documents/health-wellness/pharmacy-dept/toolkits/temp-excursion,"<a href=""https://one.walmart.com/content/dam/us-wire-wm1/documents/health-wellness/pharmacy-dept/toolkits/temp-excursion/Novo_Nordisk_Excursion_Information.pdf"">Page Link</a>","<a href=""/content/dam/us-wire-wm1/documents/health-wellness/pharmacy-dept/toolkits/temp-excursion/Novo_Nordisk_Excursion_Information.pdf"">Author Link</a>"
srountr,9/10/2020,9/10/2020,srountr,Active,Temp_Excursion_pdf_version.pdf,/content/dam/us-wire-wm1/documents/health-wellness/pharmacy-dept/toolkits/temp-excursion,"<a href=""https://one.walmart.com/content/dam/us-wire-wm1/documents/health-wellness/pharmacy-dept/toolkits/temp-excursion/Temp_Excursion_pdf_version.pdf"">Page Link</a>","<a href=""/content/dam/us-wire-wm1/documents/health-wellness/pharmacy-dept/toolkits/temp-excursion/Temp_Excursion_pdf_version.pdf"">Author Link</a>"
srountr,9/10/2020,9/10/2020,srountr,Active,Temp_Excursion_Form.pdf,/content/dam/us-wire-wm1/documents/health-wellness/pharmacy-dept/toolkits/temp-excursion,"<a href=""https://one.walmart.com/content/dam/us-wire-wm1/documents/health-wellness/pharmacy-dept/toolkits/temp-excursion/Temp_Excursion_Form.pdf"">Page Link</a>","<a href=""/content/dam/us-wire-wm1/documents/health-wellness/pharmacy-dept/toolkits/temp-excursion/Temp_Excursion_Form.pdf"">Author Link</a>"
srountr,9/9/2020,9/9/2020,srountr,Active,div10_ambient_temp_log.pdf,/content/dam/us-wire-wm1/documents/health-wellness/pharmacy-dept/toolkits/temp-excursion,"<a href=""https://one.walmart.com/content/dam/us-wire-wm1/documents/health-wellness/pharmacy-dept/toolkits/temp-excursion/div10_ambient_temp_log.pdf"">Page Link</a>","<a href=""/content/dam/us-wire-wm1/documents/health-wellness/pharmacy-dept/toolkits/temp-excursion/div10_ambient_temp_log.pdf"">Author Link</a>"
srountr,12/8/2020,12/8/2020,srountr,Active,CMF151L-1_Owner_s_Manual.pdf,/content/dam/us-wire-wm1/documents/health-wellness/pharmacy-dept/toolkits/temp-excursion,"<a href=""https://one.walmart.com/content/dam/us-wire-wm1/documents/health-wellness/pharmacy-dept/toolkits/temp-excursion/CMF151L-1_Owner_s_Manual.pdf"">Page Link</a>","<a href=""/content/dam/us-wire-wm1/documents/health-wellness/pharmacy-dept/toolkits/temp-excursion/CMF151L-1_Owner_s_Manual.pdf"">Author Link</a>"
srountr,11/12/2020,11/12/2020,srountr,Active,NIST_Installation_spanish.pdf,/content/dam/us-wire-wm1/documents/health-wellness/pharmacy-dept/toolkits/temp-excursion,"<a href=""https://one.walmart.com/content/dam/us-wire-wm1/documents/health-wellness/pharmacy-dept/toolkits/temp-excursion/NIST_Installation_spanish.pdf"">Page Link</a>","<a href=""/content/dam/us-wire-wm1/documents/health-wellness/pharmacy-dept/toolkits/temp-excursion/NIST_Installation_spanish.pdf"">Author Link</a>"
nlmix,7/17/2020,7/17/2020,nlmix,Active,Cleviprex.pdf,/content/dam/us-wire-wm1/documents/health-wellness/pharmacy-dept/toolkits/temperature-controls,"<a href=""https://one.walmart.com/content/dam/us-wire-wm1/documents/health-wellness/pharmacy-dept/toolkits/temperature-controls/Cleviprex.pdf"">Page Link</a>","<a href=""/content/dam/us-wire-wm1/documents/health-wellness/pharmacy-dept/toolkits/temperature-controls/Cleviprex.pdf"">Author Link</a>"
nlmix,7/17/2020,7/17/2020,nlmix,Active,Thymoglobulin.pdf,/content/dam/us-wire-wm1/documents/health-wellness/pharmacy-dept/toolkits/temperature-controls,"<a href=""https://one.walmart.com/content/dam/us-wire-wm1/documents/health-wellness/pharmacy-dept/toolkits/temperature-controls/Thymoglobulin.pdf"">Page Link</a>","<a href=""/content/dam/us-wire-wm1/documents/health-wellness/pharmacy-dept/toolkits/temperature-controls/Thymoglobulin.pdf"">Author Link</a>"
nlmix,7/17/2020,7/17/2020,nlmix,Active,Bicillin_LA.pdf,/content/dam/us-wire-wm1/documents/health-wellness/pharmacy-dept/toolkits/temperature-controls,"<a href=""https://one.walmart.com/content/dam/us-wire-wm1/documents/health-wellness/pharmacy-dept/toolkits/temperature-controls/Bicillin_LA.pdf"">Page Link</a>","<a href=""/content/dam/us-wire-wm1/documents/health-wellness/pharmacy-dept/toolkits/temperature-controls/Bicillin_LA.pdf"">Author Link</a>"
nlmix,7/17/2020,7/17/2020,nlmix,Active,SandostatinLAR.pdf,/content/dam/us-wire-wm1/documents/health-wellness/pharmacy-dept/toolkits/temperature-controls,"<a href=""https://one.walmart.com/content/dam/us-wire-wm1/documents/health-wellness/pharmacy-dept/toolkits/temperature-controls/SandostatinLAR.pdf"">Page Link</a>","<a href=""/content/dam/us-wire-wm1/documents/health-wellness/pharmacy-dept/toolkits/temperature-controls/SandostatinLAR.pdf"">Author Link</a>"
nlmix,7/17/2020,7/17/2020,nlmix,Active,Clindamycin_Phosph_Benz_Perox_Gel.pdf,/content/dam/us-wire-wm1/documents/health-wellness/pharmacy-dept/toolkits/temperature-controls,"<a href=""https://one.walmart.com/content/dam/us-wire-wm1/documents/health-wellness/pharmacy-dept/toolkits/temperature-controls/Clindamycin_Phosph_Benz_Perox_Gel.pdf"">Page Link</a>","<a href=""/content/dam/us-wire-wm1/documents/health-wellness/pharmacy-dept/toolkits/temperature-controls/Clindamycin_Phosph_Benz_Perox_Gel.pdf"">Author Link</a>"
nlmix,7/17/2020,7/16/2020,nlmix,Active,Soliqua.pdf,/content/dam/us-wire-wm1/documents/health-wellness/pharmacy-dept/toolkits/temperature-controls,"<a href=""https://one.walmart.com/content/dam/us-wire-wm1/documents/health-wellness/pharmacy-dept/toolkits/temperature-controls/Soliqua.pdf"">Page Link</a>","<a href=""/content/dam/us-wire-wm1/documents/health-wellness/pharmacy-dept/toolkits/temperature-controls/Soliqua.pdf"">Author Link</a>"
nlmix,7/17/2020,7/17/2020,nlmix,Active,Myobloc.pdf,/content/dam/us-wire-wm1/documents/health-wellness/pharmacy-dept/toolkits/temperature-controls,"<a href=""https://one.walmart.com/content/dam/us-wire-wm1/documents/health-wellness/pharmacy-dept/toolkits/temperature-controls/Myobloc.pdf"">Page Link</a>","<a href=""/content/dam/us-wire-wm1/documents/health-wellness/pharmacy-dept/toolkits/temperature-controls/Myobloc.pdf"">Author Link</a>"
nlmix,7/17/2020,7/17/2020,nlmix,Active,BICNU.pdf,/content/dam/us-wire-wm1/documents/health-wellness/pharmacy-dept/toolkits/temperature-controls,"<a href=""https://one.walmart.com/content/dam/us-wire-wm1/documents/health-wellness/pharmacy-dept/toolkits/temperature-controls/BICNU.pdf"">Page Link</a>","<a href=""/content/dam/us-wire-wm1/documents/health-wellness/pharmacy-dept/toolkits/temperature-controls/BICNU.pdf"">Author Link</a>"
nlmix,7/17/2020,7/17/2020,nlmix,Active,DigiFab.pdf,/content/dam/us-wire-wm1/documents/health-wellness/pharmacy-dept/toolkits/temperature-controls,"<a href=""https://one.walmart.com/content/dam/us-wire-wm1/documents/health-wellness/pharmacy-dept/toolkits/temperature-controls/DigiFab.pdf"">Page Link</a>","<a href=""/content/dam/us-wire-wm1/documents/health-wellness/pharmacy-dept/toolkits/temperature-controls/DigiFab.pdf"">Author Link</a>"
nlmix,7/17/2020,7/17/2020,nlmix,Active,Amphotericin_B.pdf,/content/dam/us-wire-wm1/documents/health-wellness/pharmacy-dept/toolkits/temperature-controls,"<a href=""https://one.walmart.com/content/dam/us-wire-wm1/documents/health-wellness/pharmacy-dept/toolkits/temperature-controls/Amphotericin_B.pdf"">Page Link</a>","<a href=""/content/dam/us-wire-wm1/documents/health-wellness/pharmacy-dept/toolkits/temperature-controls/Amphotericin_B.pdf"">Author Link</a>"
nlmix,7/17/2020,7/17/2020,nlmix,Active,Cervidil_DDAVP.pdf,/content/dam/us-wire-wm1/documents/health-wellness/pharmacy-dept/toolkits/temperature-controls,"<a href=""https://one.walmart.com/content/dam/us-wire-wm1/documents/health-wellness/pharmacy-dept/toolkits/temperature-controls/Cervidil_DDAVP.pdf"">Page Link</a>","<a href=""/content/dam/us-wire-wm1/documents/health-wellness/pharmacy-dept/toolkits/temperature-controls/Cervidil_DDAVP.pdf"">Author Link</a>"
nlmix,7/17/2020,7/17/2020,nlmix,Active,Bacitracin.pdf,/content/dam/us-wire-wm1/documents/health-wellness/pharmacy-dept/toolkits/temperature-controls,"<a href=""https://one.walmart.com/content/dam/us-wire-wm1/documents/health-wellness/pharmacy-dept/toolkits/temperature-controls/Bacitracin.pdf"">Page Link</a>","<a href=""/content/dam/us-wire-wm1/documents/health-wellness/pharmacy-dept/toolkits/temperature-controls/Bacitracin.pdf"">Author Link</a>"
nlmix,7/17/2020,7/17/2020,nlmix,Active,Cubicin Vial.pdf,/content/dam/us-wire-wm1/documents/health-wellness/pharmacy-dept/toolkits/temperature-controls,"<a href=""https://one.walmart.com/content/dam/us-wire-wm1/documents/health-wellness/pharmacy-dept/toolkits/temperature-controls/Cubicin%20Vial.pdf"">Page Link</a>","<a href=""/content/dam/us-wire-wm1/documents/health-wellness/pharmacy-dept/toolkits/temperature-controls/Cubicin Vial.pdf"">Author Link</a>"
nlmix,7/17/2020,7/17/2020,nlmix,Active,Benlysta_IV.pdf,/content/dam/us-wire-wm1/documents/health-wellness/pharmacy-dept/toolkits/temperature-controls,"<a href=""https://one.walmart.com/content/dam/us-wire-wm1/documents/health-wellness/pharmacy-dept/toolkits/temperature-controls/Benlysta_IV.pdf"">Page Link</a>","<a href=""/content/dam/us-wire-wm1/documents/health-wellness/pharmacy-dept/toolkits/temperature-controls/Benlysta_IV.pdf"">Author Link</a>"
nlmix,7/17/2020,7/17/2020,nlmix,Active,Gonal_F.pdf,/content/dam/us-wire-wm1/documents/health-wellness/pharmacy-dept/toolkits/temperature-controls,"<a href=""https://one.walmart.com/content/dam/us-wire-wm1/documents/health-wellness/pharmacy-dept/toolkits/temperature-controls/Gonal_F.pdf"">Page Link</a>","<a href=""/content/dam/us-wire-wm1/documents/health-wellness/pharmacy-dept/toolkits/temperature-controls/Gonal_F.pdf"">Author Link</a>"
nlmix,7/17/2020,7/17/2020,nlmix,Active,Cladribine_Inj.pdf,/content/dam/us-wire-wm1/documents/health-wellness/pharmacy-dept/toolkits/temperature-controls,"<a href=""https://one.walmart.com/content/dam/us-wire-wm1/documents/health-wellness/pharmacy-dept/toolkits/temperature-controls/Cladribine_Inj.pdf"">Page Link</a>","<a href=""/content/dam/us-wire-wm1/documents/health-wellness/pharmacy-dept/toolkits/temperature-controls/Cladribine_Inj.pdf"">Author Link</a>"
nlmix,7/17/2020,7/17/2020,nlmix,Active,Valstar.pdf,/content/dam/us-wire-wm1/documents/health-wellness/pharmacy-dept/toolkits/temperature-controls,"<a href=""https://one.walmart.com/content/dam/us-wire-wm1/documents/health-wellness/pharmacy-dept/toolkits/temperature-controls/Valstar.pdf"">Page Link</a>","<a href=""/content/dam/us-wire-wm1/documents/health-wellness/pharmacy-dept/toolkits/temperature-controls/Valstar.pdf"">Author Link</a>"
nlmix,7/17/2020,7/17/2020,nlmix,Active,Methylergonovine.pdf,/content/dam/us-wire-wm1/documents/health-wellness/pharmacy-dept/toolkits/temperature-controls,"<a href=""https://one.walmart.com/content/dam/us-wire-wm1/documents/health-wellness/pharmacy-dept/toolkits/temperature-controls/Methylergonovine.pdf"">Page Link</a>","<a href=""/content/dam/us-wire-wm1/documents/health-wellness/pharmacy-dept/toolkits/temperature-controls/Methylergonovine.pdf"">Author Link</a>"
nlmix,7/17/2020,7/16/2020,nlmix,Active,Tubersol.pdf,/content/dam/us-wire-wm1/documents/health-wellness/pharmacy-dept/toolkits/temperature-controls,"<a href=""https://one.walmart.com/content/dam/us-wire-wm1/documents/health-wellness/pharmacy-dept/toolkits/temperature-controls/Tubersol.pdf"">Page Link</a>","<a href=""/content/dam/us-wire-wm1/documents/health-wellness/pharmacy-dept/toolkits/temperature-controls/Tubersol.pdf"">Author Link</a>"
nlmix,7/17/2020,7/17/2020,nlmix,Active,Acthrel.pdf,/content/dam/us-wire-wm1/documents/health-wellness/pharmacy-dept/toolkits/temperature-controls,"<a href=""https://one.walmart.com/content/dam/us-wire-wm1/documents/health-wellness/pharmacy-dept/toolkits/temperature-controls/Acthrel.pdf"">Page Link</a>","<a href=""/content/dam/us-wire-wm1/documents/health-wellness/pharmacy-dept/toolkits/temperature-controls/Acthrel.pdf"">Author Link</a>"
nlmix,7/17/2020,7/17/2020,nlmix,Active,Quelicin .pdf,/content/dam/us-wire-wm1/documents/health-wellness/pharmacy-dept/toolkits/temperature-controls,"<a href=""https://one.walmart.com/content/dam/us-wire-wm1/documents/health-wellness/pharmacy-dept/toolkits/temperature-controls/Quelicin%20.pdf"">Page Link</a>","<a href=""/content/dam/us-wire-wm1/documents/health-wellness/pharmacy-dept/toolkits/temperature-controls/Quelicin .pdf"">Author Link</a>"
nlmix,7/17/2020,7/17/2020,nlmix,Active,Xultophy.pdf,/content/dam/us-wire-wm1/documents/health-wellness/pharmacy-dept/toolkits/temperature-controls,"<a href=""https://one.walmart.com/content/dam/us-wire-wm1/documents/health-wellness/pharmacy-dept/toolkits/temperature-controls/Xultophy.pdf"">Page Link</a>","<a href=""/content/dam/us-wire-wm1/documents/health-wellness/pharmacy-dept/toolkits/temperature-controls/Xultophy.pdf"">Author Link</a>"
nlmix,7/17/2020,7/17/2020,nlmix,Active,ReoPro.pdf,/content/dam/us-wire-wm1/documents/health-wellness/pharmacy-dept/toolkits/temperature-controls,"<a href=""https://one.walmart.com/content/dam/us-wire-wm1/documents/health-wellness/pharmacy-dept/toolkits/temperature-controls/ReoPro.pdf"">Page Link</a>","<a href=""/content/dam/us-wire-wm1/documents/health-wellness/pharmacy-dept/toolkits/temperature-controls/ReoPro.pdf"">Author Link</a>"
