Store,SHRED PICKUP DATE,Service  Hours,Storage Vendor,Shred Pallet  Count
46,3/31/2023,7 am - 6 pm,Vital Records Control (VRC),WAITING ON SUBMISSION
47,3/31/2023,7 am - 6 pm,Vital Records Control (VRC),WAITING ON SUBMISSION
48,4/11/2023,7 am - 6 pm,Vital Records Control (VRC),WAITING ON SUBMISSION
49,TBD,TBD,TBD,WAITING ON SUBMISSION
50,TBD,TBD,TBD,WAITING ON SUBMISSION
51,TBD,TBD,TBD,WAITING ON SUBMISSION
52,4/18/2023,7 am - 6 pm,Vital Records Control (VRC),3
54,5/31/2023,7 am - 6 pm,Vital Records Control (VRC),1
55,TBD,TBD,TBD,WAITING ON SUBMISSION
56,TBD,TBD,TBD,WAITING ON SUBMISSION
57,TBD,TBD,TBD,WAITING ON SUBMISSION
58,4/26/2023,7 am - 6 pm,Vital Records Control (VRC),WAITING ON SUBMISSION
59,4/19/2023,7 am - 6 pm,Vital Records Control (VRC),WAITING ON SUBMISSION
60,4/21/2023,7 am - 6 pm,Vital Records Control (VRC),WAITING ON SUBMISSION
61,4/5/2023,7 am - 6 pm,Vital Records Control (VRC),WAITING ON SUBMISSION
62,5/15/2023,7 am - 6 pm,Vital Records Control (VRC),WAITING ON SUBMISSION
63,TBD,TBD,TBD,WAITING ON SUBMISSION
64,7/13/2023,7 am - 6 pm,Vital Records Control (VRC),9
65,TBD,TBD,TBD,WAITING ON SUBMISSION
66,3/24/2023,7 am - 6 pm,Vital Records Control (VRC),WAITING ON SUBMISSION
67,3/24/2023,7 am - 6 pm,Vital Records Control (VRC),WAITING ON SUBMISSION
68,TBD,TBD,TBD,WAITING ON SUBMISSION
69,3/27/2023,7 am - 6 pm,Vital Records Control (VRC),WAITING ON SUBMISSION
70,4/18/2023,7 am - 6 pm,Vital Records Control (VRC),WAITING ON SUBMISSION
71,TBD,TBD,TBD,WAITING ON SUBMISSION
72,5/9/2023,7 am - 6 pm,Vital Records Control (VRC),WAITING ON SUBMISSION
73,TBD,TBD,TBD,WAITING ON SUBMISSION
74,TBD,TBD,TBD,WAITING ON SUBMISSION
75,6/5 & 6/6/23,7 am - 6 pm,Vital Records Control (VRC),11
76,TBD,TBD,TBD,WAITING ON SUBMISSION
77,7/5/2023,7 am - 6 pm,Vital Records Control (VRC),Reported 0
78,3/29/2023,7 am - 6 pm,Vital Records Control (VRC),WAITING ON SUBMISSION
79,4/19/2023,7 am - 6 pm,Vital Records Control (VRC),1
80,5/30/2023,7 am - 6 pm,Vital Records Control (VRC),WAITING ON SUBMISSION
81,7/6/2023,7 am - 6 pm,Vital Records Control (VRC),1
82,TBD,TBD,TBD,WAITING ON SUBMISSION
83,TBD,TBD,TBD,WAITING ON SUBMISSION
85,4/12/2023,7 am - 6 pm,Vital Records Control (VRC),WAITING ON SUBMISSION
86,3/14/2023,7 am - 6 pm,Vital Records Control (VRC),WAITING ON SUBMISSION
87,5/12/2023,7 am - 6 pm,Vital Records Control (VRC),WAITING ON SUBMISSION
88,5/1/2023,7 am - 6 pm,Vital Records Control (VRC),1
89,4/28/2023,7 am - 6 pm,Vital Records Control (VRC),WAITING ON SUBMISSION
90,TBD,TBD,TBD,WAITING ON SUBMISSION
91,7/17/2023,7 am - 6 pm,Vital Records Control (VRC),WAITING ON SUBMISSION
92,TBD,TBD,TBD,WAITING ON SUBMISSION
93,7/14/2023,7 am - 6 pm,Vital Records Control (VRC),2
94,4/20/2023,7 am - 6 pm,Vital Records Control (VRC),WAITING ON SUBMISSION
95,8/14/2023,7 am - 6 pm,Vital Records Control (VRC),1
96,3/31/2023,7 am - 6 pm,Vital Records Control (VRC),WAITING ON SUBMISSION
97,TBD,TBD,TBD,WAITING ON SUBMISSION
98,5/18/2023,7 am - 6 pm,Vital Records Control (VRC),WAITING ON SUBMISSION
99,TBD,TBD,TBD,WAITING ON SUBMISSION
100,4/10/2023,7 am - 6 pm,Vital Records Control (VRC),WAITING ON SUBMISSION
101,5/12/2023,7 am - 6 pm,Vital Records Control (VRC),WAITING ON SUBMISSION
102,TBD,TBD,TBD,WAITING ON SUBMISSION
103,TBD,TBD,TBD,WAITING ON SUBMISSION
104,6/19/2023,7 am - 6 pm,Vital Records Control (VRC),WAITING ON SUBMISSION
105,3/31/2023,7 am - 6 pm,Vital Records Control (VRC),WAITING ON SUBMISSION
106,TBD,TBD,TBD,WAITING ON SUBMISSION
107,6/19/2023,7 am - 6 pm,Vital Records Control (VRC),WAITING ON SUBMISSION
108,TBD,TBD,TBD,WAITING ON SUBMISSION
109,TBD,TBD,TBD,WAITING ON SUBMISSION
110,3/24/2023,7 am - 6 pm,Vital Records Control (VRC),WAITING ON SUBMISSION
111,3/30/2023,7 am - 6 pm,Vital Records Control (VRC),WAITING ON SUBMISSION
112,5/24/2023,7 am - 6 pm,Vital Records Control (VRC),WAITING ON SUBMISSION
113,TBD,TBD,TBD,WAITING ON SUBMISSION
114,TBD,TBD,TBD,WAITING ON SUBMISSION
115,4/12/2023,7 am - 6 pm,Vital Records Control (VRC),WAITING ON SUBMISSION
116,TBD,TBD,TBD,WAITING ON SUBMISSION
117,3/17/2023,7 am - 6 pm,Vital Records Control (VRC),WAITING ON SUBMISSION
118,TBD,TBD,TBD,WAITING ON SUBMISSION
119,4/6/2023,7 am - 6 pm,Vital Records Control (VRC),WAITING ON SUBMISSION
120,6/1/2023,7 am - 6 pm,Vital Records Control (VRC),WAITING ON SUBMISSION
121,TBD,TBD,TBD,WAITING ON SUBMISSION
122,5/23/2023,7 am - 6 pm,Vital Records Control (VRC),1
123,TBD,TBD,TBD,WAITING ON SUBMISSION
124,3/27/2023,7 am - 6 pm,Vital Records Control (VRC),WAITING ON SUBMISSION
125,4/21/2023,7 am - 6 pm,Vital Records Control (VRC),WAITING ON SUBMISSION
126,3/13/2023,7 am - 6 pm,Vital Records Control (VRC),WAITING ON SUBMISSION
127,4/12/2023,7 am - 6 pm,Vital Records Control (VRC),WAITING ON SUBMISSION
128,5/15/2023,7 am - 6 pm,Vital Records Control (VRC),1
129,TBD,TBD,TBD,WAITING ON SUBMISSION
130,TBD,TBD,TBD,WAITING ON SUBMISSION
131,7/20/2023,7 am - 6 pm,Vital Records Control (VRC),WAITING ON SUBMISSION
132,TBD,TBD,TBD,WAITING ON SUBMISSION
133,TBD,TBD,TBD,WAITING ON SUBMISSION
134,TBD,TBD,TBD,WAITING ON SUBMISSION
135,4/11/2023,7 am - 6 pm,Vital Records Control (VRC),WAITING ON SUBMISSION
136,TBD,TBD,TBD,WAITING ON SUBMISSION
137,TBD,TBD,TBD,WAITING ON SUBMISSION
138,TBD,TBD,TBD,WAITING ON SUBMISSION
139,TBD,TBD,TBD,WAITING ON SUBMISSION
140,TBD,TBD,TBD,WAITING ON SUBMISSION
141,4/7/2023,7 am - 6 pm,Vital Records Control (VRC),3
143,5/16/2023,7 am - 6 pm,Vital Records Control (VRC),2
144,4/14/2023,7 am - 6 pm,Vital Records Control (VRC),WAITING ON SUBMISSION
145,TBD,TBD,TBD,WAITING ON SUBMISSION
146,TBD,TBD,TBD,WAITING ON SUBMISSION
147,3/21/2023,7 am - 6 pm,Vital Records Control (VRC),WAITING ON SUBMISSION
148,7/20/2023,7 am - 6 pm,Vital Records Control (VRC),WAITING ON SUBMISSION
149,TBD,TBD,TBD,WAITING ON SUBMISSION
150,TBD,TBD,TBD,WAITING ON SUBMISSION
151,TBD,TBD,TBD,WAITING ON SUBMISSION
152,4/28/2023,7 am - 6 pm,Vital Records Control (VRC),WAITING ON SUBMISSION
153,5/30/2023,7 am - 6 pm,Vital Records Control (VRC),WAITING ON SUBMISSION
154,5/18/2023,7 am - 6 pm,Vital Records Control (VRC),1
155,4/13/2023,7 am - 6 pm,Vital Records Control (VRC),WAITING ON SUBMISSION
157,4/6/2023,7 am - 6 pm,Vital Records Control (VRC),WAITING ON SUBMISSION
158,TBD,TBD,TBD,WAITING ON SUBMISSION
159,5/30/2023,7 am - 6 pm,Vital Records Control (VRC),WAITING ON SUBMISSION
160,TBD,TBD,TBD,WAITING ON SUBMISSION
161,TBD,TBD,TBD,WAITING ON SUBMISSION
162,TBD,TBD,TBD,WAITING ON SUBMISSION
163,7/7/2023,7 am - 6 pm,Vital Records Control (VRC),WAITING ON SUBMISSION
164,5/30/2023,7 am - 6 pm,Vital Records Control (VRC),WAITING ON SUBMISSION
165,7/26/2023,7 am - 6 pm,Vital Records Control (VRC),WAITING ON SUBMISSION
166,5/1/2023,7 am - 6 pm,Vital Records Control (VRC),Reported 0
167,TBD,TBD,TBD,WAITING ON SUBMISSION
168,TBD,TBD,TBD,WAITING ON SUBMISSION
169,TBD,TBD,TBD,WAITING ON SUBMISSION
170,5/2/2023,7 am - 6 pm,Vital Records Control (VRC),WAITING ON SUBMISSION
171,TBD,TBD,TBD,WAITING ON SUBMISSION
172,4/5/2023,7 am - 6 pm,Vital Records Control (VRC),3
173,TBD,TBD,TBD,WAITING ON SUBMISSION
174,3/29/2023,7 am - 6 pm,Vital Records Control (VRC),1
175,4/12/2023,7 am - 6 pm,Vital Records Control (VRC),WAITING ON SUBMISSION
176,TBD,TBD,TBD,WAITING ON SUBMISSION
177,5/10/2023,7 am - 6 pm,Vital Records Control (VRC),WAITING ON SUBMISSION
178,TBD,TBD,TBD,WAITING ON SUBMISSION
179,3/14/2023,7 am - 6 pm,Vital Records Control (VRC),WAITING ON SUBMISSION
180,7/26/2023,7 am - 6 pm,Vital Records Control (VRC),2
181,4/5/2023,7 am - 6 pm,Vital Records Control (VRC),WAITING ON SUBMISSION
182,5/4/2023,7 am - 6 pm,Vital Records Control (VRC),1
183,TBD,TBD,TBD,WAITING ON SUBMISSION
184,3/24/2023,7 am - 6 pm,Vital Records Control (VRC),WAITING ON SUBMISSION
185,7/11/2023,7 am - 6 pm,Vital Records Control (VRC),WAITING ON SUBMISSION
186,6/27/2023,7 am - 6 pm,Vital Records Control (VRC),1
188,6/15/2023,7 am - 6 pm,Vital Records Control (VRC),WAITING ON SUBMISSION
189,6/29/2023,7 am - 6 pm,Vital Records Control (VRC),WAITING ON SUBMISSION
190,6/19/2023,7 am - 6 pm,Vital Records Control (VRC),WAITING ON SUBMISSION
192,6/20/2023,7 am - 6 pm,Vital Records Control (VRC),1
194,3/24/2023,7 am - 6 pm,Vital Records Control (VRC),WAITING ON SUBMISSION
195,3/30/2023,7 am - 6 pm,Vital Records Control (VRC),WAITING ON SUBMISSION
196,6/26/2023,7 am - 6 pm,Vital Records Control (VRC),WAITING ON SUBMISSION
197,5/4/2023,7 am - 6 pm,Vital Records Control (VRC),WAITING ON SUBMISSION
198,5/8/2023,7 am - 6 pm,Vital Records Control (VRC),WAITING ON SUBMISSION
199,5/2/2023,7 am - 6 pm,Vital Records Control (VRC),WAITING ON SUBMISSION
200,8/31/2023,7 am - 6 pm,Vital Records Control (VRC),Reported 0
201,4/12/2023,7 am - 6 pm,Vital Records Control (VRC),WAITING ON SUBMISSION
202,3/16/2023,7 am - 6 pm,Vital Records Control (VRC),WAITING ON SUBMISSION
203,4/12 & 4/13/23,7 am - 6 pm,Vital Records Control (VRC),WAITING ON SUBMISSION
204,5/11/2023,7 am - 6 pm,Vital Records Control (VRC),2
205,6/8/2023,7 am - 6 pm,Vital Records Control (VRC),WAITING ON SUBMISSION
206,8/16/2023,7 am - 6 pm,Vital Records Control (VRC),WAITING ON SUBMISSION
207,TBD,TBD,TBD,WAITING ON SUBMISSION
209,TBD,TBD,TBD,WAITING ON SUBMISSION
210,TBD,TBD,TBD,WAITING ON SUBMISSION
211,4/17/2023,7 am - 6 pm,Vital Records Control (VRC),3
212,TBD,TBD,TBD,WAITING ON SUBMISSION
213,7/21/2023,7 am - 6 pm,Vital Records Control (VRC),WAITING ON SUBMISSION
214,5/10/2023,7 am - 6 pm,Vital Records Control (VRC),WAITING ON SUBMISSION
216,5/15/2023,7 am - 6 pm,Vital Records Control (VRC),WAITING ON SUBMISSION
217,5/24/2023,7 am - 6 pm,Vital Records Control (VRC),2
218,TBD,TBD,TBD,WAITING ON SUBMISSION
219,4/5/2023,7 am - 6 pm,Vital Records Control (VRC),WAITING ON SUBMISSION
220,3/27/2023,7 am - 6 pm,Vital Records Control (VRC),WAITING ON SUBMISSION
221,TBD,TBD,TBD,WAITING ON SUBMISSION
222,4/11/2023,7 am - 6 pm,Vital Records Control (VRC),WAITING ON SUBMISSION
224,5/9/2023,7 am - 6 pm,Vital Records Control (VRC),WAITING ON SUBMISSION
225,TBD,TBD,TBD,WAITING ON SUBMISSION
226,4/5/2023,7 am - 6 pm,Vital Records Control (VRC),WAITING ON SUBMISSION
227,TBD,TBD,TBD,WAITING ON SUBMISSION
228,4/6/2023,7 am - 6 pm,Vital Records Control (VRC),2
229,7/06 & 7/7/23,7 am - 6 pm,Vital Records Control (VRC),WAITING ON SUBMISSION
230,TBD,TBD,TBD,WAITING ON SUBMISSION
231,TBD,TBD,TBD,WAITING ON SUBMISSION
232,TBD,TBD,TBD,WAITING ON SUBMISSION
233,6/16/2023,7 am - 6 pm,Vital Records Control (VRC),1
234,6/22/2023,7 am - 6 pm,Vital Records Control (VRC),WAITING ON SUBMISSION
236,4/5/2023,7 am - 6 pm,Vital Records Control (VRC),2
237,TBD,TBD,TBD,WAITING ON SUBMISSION
238,3/27/2023,7 am - 6 pm,Vital Records Control (VRC),WAITING ON SUBMISSION
239,TBD,TBD,TBD,WAITING ON SUBMISSION
240,TBD,TBD,TBD,WAITING ON SUBMISSION
241,TBD,TBD,TBD,WAITING ON SUBMISSION
242,3/30/2023,7 am - 6 pm,Vital Records Control (VRC),WAITING ON SUBMISSION
243,8/21/2023,7 am - 6 pm,Vital Records Control (VRC),WAITING ON SUBMISSION
244,5/4/2023,7 am - 6 pm,Vital Records Control (VRC),WAITING ON SUBMISSION
245,TBD,TBD,TBD,WAITING ON SUBMISSION
246,TBD,TBD,TBD,WAITING ON SUBMISSION
247,TBD,TBD,TBD,WAITING ON SUBMISSION
248,7/17/2023,7 am - 6 pm,Vital Records Control (VRC),WAITING ON SUBMISSION
249,8/15/2023,7 am - 6 pm,Vital Records Control (VRC),WAITING ON SUBMISSION
250,TBD,TBD,TBD,WAITING ON SUBMISSION
251,7/20/2023,7 am - 6 pm,Vital Records Control (VRC),WAITING ON SUBMISSION
252,TBD,TBD,TBD,WAITING ON SUBMISSION
253,4/3/2023,7 am - 6 pm,Vital Records Control (VRC),WAITING ON SUBMISSION
254,TBD,TBD,TBD,WAITING ON SUBMISSION
256,8/4/2023,7 am - 6 pm,Vital Records Control (VRC),WAITING ON SUBMISSION
257,TBD,TBD,TBD,WAITING ON SUBMISSION
258,6/2/2023,7 am - 6 pm,Vital Records Control (VRC),WAITING ON SUBMISSION
259,6/6/2023,7 am - 6 pm,Vital Records Control (VRC),2
260,8/3/2023,7 am - 6 pm,Vital Records Control (VRC),WAITING ON SUBMISSION
261,4/18/2023,7 am - 6 pm,Vital Records Control (VRC),WAITING ON SUBMISSION
262,5/15/2023,7 am - 6 pm,Vital Records Control (VRC),1
264,4/13/2023,7 am - 6 pm,Vital Records Control (VRC),WAITING ON SUBMISSION
265,4/6/2023,7 am - 6 pm,Vital Records Control (VRC),WAITING ON SUBMISSION
266,4/18/2023,7 am - 6 pm,Vital Records Control (VRC),2
267,6/1/2023,7 am - 6 pm,Vital Records Control (VRC),WAITING ON SUBMISSION
268,6/1/2023,7 am - 6 pm,Vital Records Control (VRC),WAITING ON SUBMISSION
269,TBD,TBD,TBD,WAITING ON SUBMISSION
271,TBD,TBD,TBD,WAITING ON SUBMISSION
272,3/28/2023,7 am - 6 pm,Vital Records Control (VRC),3
273,TBD,TBD,TBD,WAITING ON SUBMISSION
274,TBD,TBD,TBD,WAITING ON SUBMISSION
275,8/15/2023,7 am - 6 pm,Vital Records Control (VRC),WAITING ON SUBMISSION
276,TBD,TBD,TBD,WAITING ON SUBMISSION
277,TBD,TBD,TBD,WAITING ON SUBMISSION
278,5/12/2023,7 am - 6 pm,Vital Records Control (VRC),2
279,TBD,TBD,TBD,WAITING ON SUBMISSION
280,TBD,TBD,TBD,WAITING ON SUBMISSION
281,TBD,TBD,TBD,WAITING ON SUBMISSION
282,4/17/2023,7 am - 6 pm,Vital Records Control (VRC),1
283,TBD,TBD,TBD,WAITING ON SUBMISSION
284,6/13/2023,7 am - 6 pm,Vital Records Control (VRC),WAITING ON SUBMISSION
285,8/16/2023,7 am - 6 pm,Vital Records Control (VRC),WAITING ON SUBMISSION
286,7/6/2023,7 am - 6 pm,Vital Records Control (VRC),WAITING ON SUBMISSION
287,6/5/2023,7 am - 6 pm,Vital Records Control (VRC),5
288,TBD,TBD,TBD,WAITING ON SUBMISSION
289,TBD,TBD,TBD,WAITING ON SUBMISSION
290,TBD,TBD,TBD,WAITING ON SUBMISSION
292,TBD,TBD,TBD,WAITING ON SUBMISSION
293,TBD,TBD,TBD,WAITING ON SUBMISSION
294,5/9/2023,7 am - 6 pm,Vital Records Control (VRC),1
295,4/5/2023,7 am - 6 pm,Vital Records Control (VRC),WAITING ON SUBMISSION
296,TBD,TBD,TBD,WAITING ON SUBMISSION
297,8/15/2023,7 am - 6 pm,Vital Records Control (VRC),WAITING ON SUBMISSION
298,5/3/2023,7 am - 6 pm,Vital Records Control (VRC),WAITING ON SUBMISSION
299,5/1/2023,7 am - 6 pm,Vital Records Control (VRC),WAITING ON SUBMISSION
300,4/19/2023,7 am - 6 pm,Vital Records Control (VRC),1
301,5/8/2023,7 am - 6 pm,Vital Records Control (VRC),Reported 0
302,TBD,TBD,TBD,WAITING ON SUBMISSION
303,TBD,TBD,TBD,WAITING ON SUBMISSION
304,4/5/2023,7 am - 6 pm,Vital Records Control (VRC),WAITING ON SUBMISSION
305,TBD,TBD,TBD,WAITING ON SUBMISSION
306,4/5/2023,7 am - 6 pm,Vital Records Control (VRC),WAITING ON SUBMISSION
307,5/30/2023,7 am - 6 pm,Vital Records Control (VRC),1
308,4/3/2023,7 am - 6 pm,Vital Records Control (VRC),WAITING ON SUBMISSION
309,5/16 & 5/17/23,7 am - 6 pm,Vital Records Control (VRC),2
310,3/27/2023,7 am - 6 pm,Vital Records Control (VRC),WAITING ON SUBMISSION
311,TBD,TBD,TBD,WAITING ON SUBMISSION
312,TBD,TBD,TBD,WAITING ON SUBMISSION
313,3/24/2023,7 am - 6 pm,Vital Records Control (VRC),WAITING ON SUBMISSION
314,3/31/2023,7 am - 6 pm,Vital Records Control (VRC),WAITING ON SUBMISSION
315,4/5/2023,7 am - 6 pm,Vital Records Control (VRC),WAITING ON SUBMISSION
316,5/8/2023,7 am - 6 pm,Vital Records Control (VRC),2
317,5/2/2023,7 am - 5 pm,Vital Records Control (VRC),WAITING ON SUBMISSION
318,5/30/2023,7 am - 5 pm,Vital Records Control (VRC),Reported 0
319,6/23/2023,7 am - 5 pm,Vital Records Control (VRC),7
320,TBD,TBD,TBD,WAITING ON SUBMISSION
321,8/24/2023,7 am - 5 pm,Vital Records Control (VRC),WAITING ON SUBMISSION
322,3/30/2023,7 am - 5 pm,Vital Records Control (VRC),WAITING ON SUBMISSION
323,TBD,TBD,TBD,WAITING ON SUBMISSION
324,TBD,TBD,TBD,WAITING ON SUBMISSION
325,3/30/2023,7 am - 5 pm,Vital Records Control (VRC),WAITING ON SUBMISSION
326,TBD,TBD,TBD,WAITING ON SUBMISSION
328,4/11/2023,7 am - 5 pm,Vital Records Control (VRC),WAITING ON SUBMISSION
329,6/12/2023,7 am - 5 pm,Vital Records Control (VRC),WAITING ON SUBMISSION
330,4/11/2023,7 am - 5 pm,Vital Records Control (VRC),WAITING ON SUBMISSION
331,4/18/2023,7 am - 5 pm,Vital Records Control (VRC),WAITING ON SUBMISSION
332,3/23/2023,7 am - 5 pm,Vital Records Control (VRC),WAITING ON SUBMISSION
333,TBD,TBD,TBD,WAITING ON SUBMISSION
334,TBD,TBD,TBD,WAITING ON SUBMISSION
335,5/18/2023,7 am - 5 pm,Vital Records Control (VRC),WAITING ON SUBMISSION
336,TBD,TBD,TBD,WAITING ON SUBMISSION
337,TBD,TBD,TBD,WAITING ON SUBMISSION
338,TBD,TBD,TBD,WAITING ON SUBMISSION
339,TBD,TBD,TBD,WAITING ON SUBMISSION
340,TBD,TBD,TBD,WAITING ON SUBMISSION
341,TBD,TBD,TBD,WAITING ON SUBMISSION
342,TBD,TBD,TBD,WAITING ON SUBMISSION
343,4/26/2023,7 am - 5 pm,Vital Records Control (VRC),WAITING ON SUBMISSION
344,TBD,TBD,TBD,WAITING ON SUBMISSION
345,7/26/2023,7 am - 5 pm,Vital Records Control (VRC),WAITING ON SUBMISSION
346,4/10/2023,7 am - 6 pm,Vital Records Control (VRC),WAITING ON SUBMISSION
347,6/19/2023,7 am - 6 pm,Vital Records Control (VRC),WAITING ON SUBMISSION
348,TBD,TBD,TBD,WAITING ON SUBMISSION
350,5/16/2023,7 am - 6 pm,Vital Records Control (VRC),2
351,8/9/2023,7 am - 6 pm,Vital Records Control (VRC),WAITING ON SUBMISSION
352,TBD,TBD,TBD,WAITING ON SUBMISSION
353,7/7/2023,7 am - 6 pm,Vital Records Control (VRC),WAITING ON SUBMISSION
354,TBD,TBD,TBD,WAITING ON SUBMISSION
355,6/13/2023,7 am - 6 pm,Vital Records Control (VRC),4
356,3/29/2023,7 am - 6 pm,Vital Records Control (VRC),WAITING ON SUBMISSION
357,TBD,TBD,TBD,WAITING ON SUBMISSION
358,TBD,TBD,TBD,WAITING ON SUBMISSION
359,6/7/2023,7 am - 6 pm,Vital Records Control (VRC),2
360,TBD,TBD,TBD,WAITING ON SUBMISSION
361,3/28/2023,7 am - 6 pm,Vital Records Control (VRC),WAITING ON SUBMISSION
362,TBD,TBD,TBD,WAITING ON SUBMISSION
363,4/7/2023,7 am - 6 pm,Vital Records Control (VRC),WAITING ON SUBMISSION
364,TBD,TBD,TBD,WAITING ON SUBMISSION
365,6/16/2023,7 am - 6 pm,Vital Records Control (VRC),WAITING ON SUBMISSION
366,9/15/2023,7 am - 6 pm,Vital Records Control (VRC),WAITING ON SUBMISSION
368,3/15/2023,7 am - 6 pm,Vital Records Control (VRC),WAITING ON SUBMISSION
369,3/27/2023,7 am - 6 pm,Vital Records Control (VRC),WAITING ON SUBMISSION
370,TBD,TBD,TBD,WAITING ON SUBMISSION
371,9/29/2023,7 am - 6 pm,Vital Records Control (VRC),1
372,TBD,TBD,TBD,WAITING ON SUBMISSION
373,TBD,TBD,TBD,WAITING ON SUBMISSION
374,TBD,TBD,TBD,WAITING ON SUBMISSION
375,3/13/2023,7 am - 6 pm,Vital Records Control (VRC),WAITING ON SUBMISSION
376,5/12/2023,7 am - 5 pm,Vital Records Control (VRC),WAITING ON SUBMISSION
377,6/7/2023,7 am - 6 pm,Vital Records Control (VRC),WAITING ON SUBMISSION
378,TBD,TBD,TBD,WAITING ON SUBMISSION
379,3/24/2023,7 am - 5 pm,Vital Records Control (VRC),WAITING ON SUBMISSION
381,3/20/2023,7 am - 5 pm,Vital Records Control (VRC),WAITING ON SUBMISSION
382,6/23/2023,7 am - 5 pm,Vital Records Control (VRC),2
383,4/3/2023,7 am - 5 pm,Vital Records Control (VRC),WAITING ON SUBMISSION
384,3/31/2023,7 am - 5 pm,Vital Records Control (VRC),1
385,TBD,TBD,TBD,WAITING ON SUBMISSION
386,4/10/2023,7 am - 5 pm,Vital Records Control (VRC),2
387,TBD,TBD,TBD,WAITING ON SUBMISSION
388,TBD,TBD,TBD,WAITING ON SUBMISSION
389,TBD,TBD,TBD,WAITING ON SUBMISSION
390,TBD,TBD,TBD,WAITING ON SUBMISSION
391,6/2/2023,7 am - 5 pm,Vital Records Control (VRC),WAITING ON SUBMISSION
392,TBD,TBD,TBD,WAITING ON SUBMISSION
393,5/18/2023,7 am - 6 pm,Vital Records Control (VRC),WAITING ON SUBMISSION
394,5/31/2023,7 am - 6 pm,Vital Records Control (VRC),WAITING ON SUBMISSION
395,7/31/2023,7 am - 6 pm,Vital Records Control (VRC),WAITING ON SUBMISSION
396,5/29 & 5/30/23,7 am - 6 pm,Vital Records Control (VRC),5
397,6/30/2023,7 am - 6 pm,Vital Records Control (VRC),WAITING ON SUBMISSION
398,9/18/2023,7 am - 6 pm,Vital Records Control (VRC),WAITING ON SUBMISSION
399,6/28/2023,7 am - 6 pm,Vital Records Control (VRC),WAITING ON SUBMISSION
