Market,Region,Division,Total Five Star,4 Star Score & Better Avg,W+ Paid Member Goal %,AES,Sales Comp,Controllable Profit,Presub,Shrink,OPD Growth
76,5 - Dallas,SOUTHWEST BU,4.55,4,94.4%,71,4.4%,16.7%,94.8%,-1.7%,24.1%
127,"42 - AR, MO, LA",SOUTHEAST BU,4.51,3,94.3%,71,7.6%,13.0%,93.3%,-2.4%,39.1%
407,47 - Frontier,WEST BU,4.56,5,95.9%,65,6.6%,16.4%,95.2%,-1.2%,29.2%
427,47 - Frontier,WEST BU,4.52,3,102.8%,69,8.0%,17.6%,92.2%,-1.8%,40.2%
251,41 - Indy / KY,NORTH BU,4.52,3,91.7%,64,6.6%,15.4%,93.4%,-2.1%,29.2%
141,"13 - LA, MS",SOUTHWEST BU,4.54,3,93.5%,73,5.6%,15.8%,90.9%,-1.9%,33.9%
39,4 - South Carolina,EAST BU,4.62,6,92.9%,68,4.1%,15.7%,92.9%,-2.1%,41.0%
77,7 - W TX / N NM,SOUTHWEST BU,4.57,4,88.4%,68,6.1%,15.2%,94.9%,-2.3%,28.6%
256,41 - Indy / KY,NORTH BU,4.57,4,94.1%,71,7.5%,15.8%,93.7%,-2.5%,25.7%
413,52 - MN IA,WEST BU,4.53,4,97.4%,66,7.6%,15.8%,94.4%,-1.4%,37.7%
312,"75 - VA, MD",EAST BU,4.52,2,94.2%,61,6.2%,15.8%,92.5%,-2.5%,30.6%
190,"17 - NYC Metro, CT, RI",EAST BU,4.53,2,104.6%,63,6.8%,15.9%,94.3%,-2.0%,33.7%
81,7 - W TX / N NM,SOUTHWEST BU,4.55,4,94.0%,66,2.7%,17.6%,94.7%,-1.6%,33.1%
194,"76 - West NY, PA, VA & DC",EAST BU,4.49,1,102.0%,61,6.2%,15.4%,93.3%,-2.3%,39.4%
429,47 - Frontier,WEST BU,4.50,3,100.8%,64,7.6%,17.1%,93.9%,-1.4%,23.5%
131,"13 - LA, MS",SOUTHWEST BU,4.57,3,94.3%,71,4.6%,13.0%,93.2%,-2.8%,53.0%
469,60 - OR WA AK,WEST BU,4.58,6,110.3%,71,6.0%,14.1%,91.1%,-2.7%,42.3%
272,40 - Missouri,NORTH BU,4.53,3,100.0%,62,6.5%,15.6%,96.1%,-1.2%,30.9%
336,40 - Missouri,NORTH BU,4.50,3,102.8%,64,8.4%,16.9%,94.8%,-1.7%,26.7%
136,11 - Memphis,SOUTHEAST BU,4.53,1,89.1%,70,5.8%,15.1%,91.1%,-2.1%,41.6%
28,"3 - GA, FL",SOUTHEAST BU,4.48,2,94.5%,70,8.0%,16.5%,94.4%,-1.9%,30.2%
492,72 - SOUTHEAST,NHM BU,4.63,7,97.7%,74,11.4%,13.6%,95.1%,-1.6%,14.8%
74,7 - W TX / N NM,SOUTHWEST BU,4.56,7,92.1%,71,4.7%,16.2%,95.1%,-1.7%,26.7%
350,"44 - Oklahoma, N TX",SOUTHWEST BU,4.55,4,97.9%,68,7.7%,16.8%,94.0%,-1.9%,44.7%
128,"13 - LA, MS",SOUTHWEST BU,4.51,2,88.1%,71,3.5%,14.8%,90.9%,-2.2%,39.0%
361,40 - Missouri,NORTH BU,4.47,2,97.1%,61,8.4%,15.6%,93.1%,-2.1%,39.4%
73,7 - W TX / N NM,SOUTHWEST BU,4.52,3,94.3%,78,10.1%,16.2%,94.2%,-1.9%,41.3%
394,57 - LA Vegas HI,WEST BU,4.59,6,92.9%,69,4.7%,14.1%,93.1%,-3.9%,48.3%
138,11 - Memphis,SOUTHEAST BU,4.57,6,89.2%,72,5.5%,14.6%,93.5%,-2.0%,39.7%
329,11 - Memphis,SOUTHEAST BU,4.55,3,95.5%,70,7.4%,15.7%,94.8%,-1.5%,39.8%
345,"44 - Oklahoma, N TX",SOUTHWEST BU,4.51,3,92.5%,64,8.2%,17.4%,95.0%,-1.6%,34.9%
365,58 - S CA W AZ,WEST BU,4.66,7,95.8%,75,7.1%,15.9%,94.9%,-1.8%,32.9%
440,53 - WISCONSIN,NORTH BU,4.57,4,91.6%,68,5.6%,17.6%,95.9%,-1.2%,29.7%
333,40 - Missouri,NORTH BU,4.47,3,95.8%,67,8.6%,17.5%,94.2%,-1.1%,32.3%
415,52 - MN IA,WEST BU,4.56,5,95.6%,65,8.7%,15.6%,95.7%,-1.5%,36.7%
279,25 - Chicago / IL,NORTH BU,4.47,4,104.4%,62,5.5%,15.2%,93.8%,-1.5%,28.6%
61,6 - South Texas,SOUTHWEST BU,4.58,6,90.5%,69,3.3%,15.6%,94.6%,-2.0%,21.8%
216,"20 - VA, OH, PA, WV",NORTH BU,4.51,3,99.8%,65,6.8%,18.0%,94.8%,-1.2%,37.1%
321,"42 - AR, MO, LA",SOUTHEAST BU,4.55,5,99.9%,73,7.3%,16.9%,97.0%,-0.9%,33.3%
7,"14 - AL, FL",SOUTHEAST BU,4.54,4,96.2%,66,8.4%,16.0%,94.4%,-1.6%,38.8%
481,61 - WEST,NHM BU,4.68,13,98.4%,68,7.8%,12.1%,94.7%,-1.8%,19.1%
314,"75 - VA, MD",EAST BU,4.62,5,93.2%,65,7.2%,14.8%,93.6%,-1.7%,17.0%
544,72 - SOUTHEAST,NHM BU,4.64,11,93.9%,72,7.9%,13.3%,94.5%,-1.7%,7.5%
273,25 - Chicago / IL,NORTH BU,4.52,4,97.8%,63,5.7%,14.5%,93.7%,-2.0%,29.1%
300,4 - South Carolina,EAST BU,4.50,4,99.1%,63,5.5%,16.9%,92.2%,-2.2%,36.9%
491,61 - WEST,NHM BU,4.62,11,98.1%,69,11.8%,13.2%,95.2%,-1.5%,4.3%
10,"14 - AL, FL",SOUTHEAST BU,4.53,3,91.6%,65,5.1%,14.5%,91.9%,-1.7%,33.2%
21,2 - Atlanta GA,SOUTHEAST BU,4.53,3,90.8%,69,4.9%,16.8%,93.8%,-1.9%,25.8%
533,64 - SOUTHWEST,NHM BU,4.67,16,92.7%,67,9.3%,13.9%,95.8%,-1.4%,-3.7%
11,11 - Memphis,SOUTHEAST BU,4.54,3,91.2%,69,5.4%,15.3%,92.2%,-2.0%,42.9%
263,53 - WISCONSIN,NORTH BU,4.49,1,96.5%,62,5.8%,15.2%,93.3%,-1.9%,25.1%
310,4 - South Carolina,EAST BU,4.58,5,94.0%,66,3.0%,15.8%,94.2%,-2.8%,27.1%
476,60 - OR WA AK,WEST BU,4.57,4,91.8%,63,7.6%,13.3%,93.2%,-2.9%,35.2%
123,12 - Nashville,SOUTHEAST BU,4.52,3,97.7%,66,8.1%,17.8%,94.1%,-1.6%,35.1%
436,53 - WISCONSIN,NORTH BU,4.55,5,97.6%,67,6.1%,17.3%,94.8%,-1.2%,23.0%
257,41 - Indy / KY,NORTH BU,4.60,5,96.5%,73,7.7%,16.9%,95.4%,-1.1%,26.8%
243,41 - Indy / KY,NORTH BU,4.54,3,92.7%,72,8.1%,15.7%,94.5%,-1.8%,34.7%
80,7 - W TX / N NM,SOUTHWEST BU,4.72,11,84.2%,78,6.7%,15.1%,95.5%,-1.6%,39.5%
360,40 - Missouri,NORTH BU,4.43,1,97.1%,62,9.1%,16.6%,93.0%,-1.9%,41.7%
184,16 - New England,EAST BU,4.51,1,99.9%,64,5.8%,17.1%,93.1%,-2.0%,56.3%
406,47 - Frontier,WEST BU,4.57,5,92.7%,70,6.4%,16.2%,95.6%,-1.7%,27.2%
389,54 - Rocky Mountain,WEST BU,4.54,2,97.2%,64,2.6%,15.1%,92.7%,-2.7%,24.1%
202,"19 - Michigan, OH",NORTH BU,4.47,0,96.8%,59,4.5%,16.0%,94.6%,-1.1%,29.9%
503,"13 - LA, MS",SOUTHWEST BU,4.58,6,96.5%,71,5.8%,16.9%,94.2%,-1.4%,21.1%
387,46 - Phoenix,SOUTHWEST BU,4.50,2,100.0%,69,6.1%,16.8%,93.6%,-2.7%,27.8%
181,16 - New England,EAST BU,4.43,1,100.7%,65,8.3%,17.9%,94.9%,-2.3%,51.8%
344,"44 - Oklahoma, N TX",SOUTHWEST BU,4.48,3,91.9%,66,5.1%,16.6%,93.9%,-1.4%,30.8%
204,"19 - Michigan, OH",NORTH BU,4.52,1,91.3%,61,3.2%,16.2%,95.7%,-1.0%,14.6%
335,40 - Missouri,NORTH BU,4.49,2,98.4%,62,9.6%,16.8%,95.4%,-1.6%,33.9%
359,40 - Missouri,NORTH BU,4.43,1,93.5%,64,8.4%,16.3%,93.5%,-1.8%,34.2%
228,"76 - West NY, PA, VA & DC",EAST BU,4.47,0,95.5%,65,6.5%,17.3%,96.2%,-0.8%,24.7%
438,53 - WISCONSIN,NORTH BU,4.50,0,97.2%,66,4.9%,17.6%,95.1%,-1.3%,19.5%
392,56 - N CA N NV,WEST BU,4.51,1,90.8%,65,3.8%,14.1%,91.5%,-4.0%,22.3%
347,"44 - Oklahoma, N TX",SOUTHWEST BU,4.55,2,99.0%,73,6.1%,17.5%,95.8%,-0.9%,29.8%
334,"42 - AR, MO, LA",SOUTHEAST BU,4.49,2,99.3%,65,10.3%,16.2%,95.8%,-1.7%,35.5%
30,2 - Atlanta GA,SOUTHEAST BU,4.51,2,87.7%,65,4.4%,16.0%,92.1%,-2.1%,36.6%
580,41 - Indy / KY,NORTH BU,4.55,5,100.6%,68,6.6%,16.2%,94.9%,-1.4%,30.8%
239,21 - OH/IN,NORTH BU,4.43,0,91.7%,65,7.4%,15.6%,94.6%,-1.9%,30.3%
388,54 - Rocky Mountain,WEST BU,4.57,5,100.9%,70,6.0%,16.0%,94.0%,-1.8%,31.2%
328,"42 - AR, MO, LA",SOUTHEAST BU,4.51,3,107.5%,68,7.7%,17.9%,95.8%,-1.1%,41.7%
229,"20 - VA, OH, PA, WV",NORTH BU,4.50,1,95.1%,63,7.0%,17.2%,94.4%,-1.2%,41.8%
410,"44 - Oklahoma, N TX",SOUTHWEST BU,4.56,2,102.9%,65,7.6%,15.8%,95.5%,-1.5%,32.0%
260,41 - Indy / KY,NORTH BU,4.48,0,92.8%,65,7.4%,15.5%,94.7%,-2.3%,31.4%
478,60 - OR WA AK,WEST BU,4.53,3,101.2%,62,5.5%,14.5%,94.0%,-2.7%,29.6%
430,47 - Frontier,WEST BU,4.53,2,105.4%,65,8.5%,17.8%,95.2%,-1.5%,26.8%
375,46 - Phoenix,SOUTHWEST BU,4.50,0,90.1%,67,3.9%,17.1%,93.5%,-2.4%,28.5%
180,16 - New England,EAST BU,4.39,1,97.7%,62,7.1%,16.5%,94.9%,-1.7%,32.8%
232,"22 - PA, NJ",EAST BU,4.60,4,100.4%,64,5.7%,17.5%,95.2%,-1.1%,24.1%
134,"13 - LA, MS",SOUTHWEST BU,4.55,2,96.8%,72,6.5%,14.5%,94.3%,-2.1%,31.6%
457,56 - N CA N NV,WEST BU,4.56,3,94.7%,61,3.5%,12.5%,93.1%,-4.0%,28.9%
37,4 - South Carolina,EAST BU,4.57,4,92.8%,68,5.7%,17.6%,93.4%,-1.9%,24.7%
65,6 - South Texas,SOUTHWEST BU,4.59,4,89.7%,75,4.4%,14.0%,94.2%,-3.3%,35.2%
322,"42 - AR, MO, LA",SOUTHEAST BU,4.50,1,96.4%,63,8.4%,17.0%,95.2%,-1.5%,44.8%
317,"20 - VA, OH, PA, WV",NORTH BU,4.55,5,97.0%,69,8.0%,16.6%,95.2%,-1.5%,36.6%
325,"42 - AR, MO, LA",SOUTHEAST BU,4.56,6,100.9%,72,8.6%,16.7%,96.8%,-1.2%,32.6%
187,16 - New England,EAST BU,4.47,1,103.9%,68,6.3%,16.2%,94.3%,-1.7%,22.7%
222,21 - OH/IN,NORTH BU,4.47,1,95.1%,59,7.4%,16.4%,94.9%,-1.6%,27.4%
3,"14 - AL, FL",SOUTHEAST BU,4.42,2,89.6%,69,4.4%,16.9%,93.3%,-1.4%,22.8%
179,16 - New England,EAST BU,4.39,2,100.2%,62,8.5%,17.3%,94.9%,-1.6%,28.7%
302,26 - North Carolina,EAST BU,4.53,2,99.5%,66,5.5%,16.9%,95.3%,-2.1%,26.7%
433,47 - Frontier,WEST BU,4.52,1,95.3%,67,11.8%,15.5%,94.3%,-1.8%,40.9%
248,21 - OH/IN,NORTH BU,4.46,0,95.9%,63,6.7%,16.1%,95.2%,-1.3%,34.0%
101,"3 - GA, FL",SOUTHEAST BU,4.46,0,97.9%,70,8.6%,15.3%,93.1%,-2.2%,46.2%
83,6 - South Texas,SOUTHWEST BU,4.50,1,91.6%,69,8.2%,14.7%,92.0%,-3.7%,37.1%
441,53 - WISCONSIN,NORTH BU,4.47,1,99.0%,67,4.7%,16.2%,94.2%,-2.2%,29.4%
421,52 - MN IA,WEST BU,4.56,4,94.0%,66,7.0%,16.0%,94.3%,-1.8%,22.0%
381,47 - Frontier,WEST BU,4.52,1,91.8%,67,7.2%,16.4%,94.5%,-1.9%,30.0%
4,11 - Memphis,SOUTHEAST BU,4.60,8,95.6%,71,6.6%,15.6%,95.7%,-1.6%,34.1%
378,54 - Rocky Mountain,WEST BU,4.54,2,96.6%,65,4.3%,16.0%,93.9%,-2.1%,23.7%
426,52 - MN IA,WEST BU,4.56,2,95.5%,67,7.5%,16.9%,95.3%,-1.4%,26.7%
47,"44 - Oklahoma, N TX",SOUTHWEST BU,4.56,6,96.0%,69,6.4%,17.0%,94.1%,-1.8%,33.7%
384,46 - Phoenix,SOUTHWEST BU,4.44,0,90.4%,70,3.6%,17.0%,94.0%,-2.8%,25.1%
364,58 - S CA W AZ,WEST BU,4.54,4,99.2%,69,5.8%,17.5%,93.5%,-1.7%,26.9%
412,52 - MN IA,WEST BU,4.55,4,96.4%,63,8.5%,17.5%,94.3%,-1.0%,34.6%
71,7 - W TX / N NM,SOUTHWEST BU,4.51,1,98.3%,68,7.2%,16.8%,94.7%,-2.2%,30.3%
18,2 - Atlanta GA,SOUTHEAST BU,4.62,8,103.7%,68,6.6%,17.6%,94.3%,-1.5%,19.5%
145,11 - Memphis,SOUTHEAST BU,4.48,1,92.4%,68,4.4%,12.5%,89.3%,-3.2%,33.3%
253,41 - Indy / KY,NORTH BU,4.56,5,101.9%,71,7.4%,16.8%,95.4%,-1.3%,35.7%
192,"76 - West NY, PA, VA & DC",EAST BU,4.51,2,101.9%,65,7.1%,14.0%,93.2%,-2.7%,47.6%
259,21 - OH/IN,NORTH BU,4.55,5,89.1%,69,7.0%,16.9%,94.4%,-1.6%,26.8%
116,9 - S. Florida,SOUTHEAST BU,4.52,2,91.7%,68,8.1%,16.3%,92.6%,-2.1%,42.9%
209,"20 - VA, OH, PA, WV",NORTH BU,4.49,1,94.9%,60,6.8%,16.2%,93.6%,-2.1%,40.2%
497,59 - ATLANTIC COAST,NHM BU,4.63,11,94.2%,70,10.0%,13.8%,94.9%,-2.4%,13.6%
479,5 - Dallas,SOUTHWEST BU,4.49,0,93.3%,67,7.5%,16.0%,93.3%,-3.0%,31.8%
382,47 - Frontier,WEST BU,4.54,3,102.6%,70,6.1%,18.1%,92.6%,-1.4%,28.2%
425,53 - WISCONSIN,NORTH BU,4.48,2,98.8%,67,6.1%,17.0%,94.0%,-1.5%,23.1%
278,25 - Chicago / IL,NORTH BU,4.47,2,94.3%,61,6.3%,15.8%,93.5%,-1.9%,28.3%
366,46 - Phoenix,SOUTHWEST BU,4.57,2,93.5%,71,8.8%,17.8%,94.1%,-1.4%,36.9%
405,57 - LA Vegas HI,WEST BU,4.54,2,100.6%,68,5.9%,18.3%,94.3%,-1.5%,28.0%
287,"75 - VA, MD",EAST BU,4.53,2,91.3%,72,6.1%,14.2%,93.5%,-2.2%,34.6%
275,25 - Chicago / IL,NORTH BU,4.52,3,93.6%,64,5.5%,16.0%,92.6%,-1.9%,29.7%
414,52 - MN IA,WEST BU,4.54,3,93.5%,64,8.0%,16.3%,94.6%,-1.9%,39.9%
200,"19 - Michigan, OH",NORTH BU,4.46,0,93.8%,60,5.3%,14.1%,93.1%,-2.1%,24.1%
152,12 - Nashville,SOUTHEAST BU,4.54,2,94.5%,65,8.7%,18.0%,95.2%,-1.5%,29.0%
507,64 - SOUTHWEST,NHM BU,4.65,11,92.6%,72,10.7%,14.9%,96.0%,-1.0%,0.6%
147,11 - Memphis,SOUTHEAST BU,4.61,6,95.6%,69,9.5%,17.4%,95.5%,-1.1%,41.5%
46,"13 - LA, MS",SOUTHWEST BU,4.55,3,94.6%,70,5.5%,17.0%,95.1%,-1.3%,19.4%
411,47 - Frontier,WEST BU,4.53,3,89.7%,64,8.1%,14.5%,93.9%,-2.4%,36.3%
207,"19 - Michigan, OH",NORTH BU,4.50,1,95.3%,63,6.6%,14.6%,94.2%,-1.9%,47.2%
38,4 - South Carolina,EAST BU,4.50,2,93.1%,68,6.5%,15.3%,91.3%,-2.1%,35.5%
55,5 - Dallas,SOUTHWEST BU,4.53,1,97.2%,70,9.1%,16.0%,92.8%,-3.0%,56.3%
247,21 - OH/IN,NORTH BU,4.49,0,91.6%,64,2.4%,16.2%,95.1%,-1.6%,30.2%
341,40 - Missouri,NORTH BU,4.48,1,95.8%,63,6.9%,14.9%,93.4%,-2.5%,34.2%
285,"22 - PA, NJ",EAST BU,4.58,4,96.1%,64,6.5%,16.5%,94.5%,-2.1%,32.9%
367,46 - Phoenix,SOUTHWEST BU,4.53,2,94.2%,67,8.5%,17.5%,94.3%,-2.2%,43.0%
226,"17 - NYC Metro, CT, RI",EAST BU,4.56,1,101.1%,61,5.5%,17.8%,93.2%,-1.8%,38.7%
286,"76 - West NY, PA, VA & DC",EAST BU,4.59,7,91.6%,65,6.7%,16.1%,94.3%,-1.6%,28.3%
309,26 - North Carolina,EAST BU,4.51,1,92.9%,64,3.9%,14.6%,92.4%,-2.2%,25.2%
196,53 - WISCONSIN,NORTH BU,4.59,3,103.8%,67,8.0%,17.3%,95.8%,-1.0%,25.3%
504,64 - SOUTHWEST,NHM BU,4.68,15,95.2%,73,7.3%,11.9%,96.1%,-2.3%,-6.0%
508,"75 - VA, MD",EAST BU,4.56,5,101.8%,64,8.3%,18.3%,91.9%,-2.2%,74.7%
418,52 - MN IA,WEST BU,4.56,5,97.7%,66,8.1%,16.0%,95.3%,-1.3%,31.3%
301,26 - North Carolina,EAST BU,4.48,0,93.6%,66,3.1%,14.8%,92.2%,-2.2%,27.5%
218,21 - OH/IN,NORTH BU,4.55,2,96.7%,67,6.6%,17.2%,95.3%,-1.3%,37.6%
146,11 - Memphis,SOUTHEAST BU,4.58,6,99.2%,71,8.1%,16.9%,95.5%,-1.2%,32.7%
124,12 - Nashville,SOUTHEAST BU,4.57,4,99.3%,71,7.9%,17.2%,94.7%,-1.5%,29.2%
246,21 - OH/IN,NORTH BU,4.47,1,93.4%,65,5.4%,16.6%,93.4%,-1.7%,29.6%
326,"42 - AR, MO, LA",SOUTHEAST BU,4.55,3,96.7%,71,8.8%,16.4%,95.6%,-2.1%,31.9%
14,"14 - AL, FL",SOUTHEAST BU,4.49,5,93.8%,72,5.8%,16.5%,93.0%,-1.5%,40.0%
432,47 - Frontier,WEST BU,4.55,2,97.5%,68,11.7%,14.8%,95.7%,-1.7%,46.3%
262,25 - Chicago / IL,NORTH BU,4.58,5,97.1%,61,7.3%,14.5%,94.8%,-2.3%,28.9%
45,5 - Dallas,SOUTHWEST BU,4.53,0,99.8%,70,5.7%,17.2%,94.6%,-1.9%,30.2%
9,61 - WEST,NHM BU,4.64,8,96.3%,68,11.0%,12.1%,95.5%,-1.8%,4.2%
538,72 - SOUTHEAST,NHM BU,4.61,10,97.0%,70,13.4%,15.1%,96.4%,-1.4%,11.2%
582,54 - Rocky Mountain,WEST BU,4.58,5,96.5%,64,6.4%,16.9%,94.4%,-2.0%,34.8%
254,41 - Indy / KY,NORTH BU,4.53,3,94.2%,67,8.4%,16.4%,95.3%,-1.9%,32.8%
121,12 - Nashville,SOUTHEAST BU,4.58,3,99.7%,69,8.9%,17.7%,95.6%,-1.0%,29.9%
96,72 - SOUTHEAST,NHM BU,4.65,10,96.2%,75,6.5%,12.6%,95.9%,-2.4%,1.5%
419,52 - MN IA,WEST BU,4.56,2,100.7%,63,6.1%,17.4%,95.3%,-1.5%,24.4%
498,59 - ATLANTIC COAST,NHM BU,4.68,15,97.4%,72,9.9%,13.1%,96.8%,-1.4%,3.4%
353,"44 - Oklahoma, N TX",SOUTHWEST BU,4.54,2,90.5%,66,7.2%,16.5%,94.1%,-1.6%,34.3%
551,61 - WEST,NHM BU,4.67,12,95.6%,72,6.4%,11.8%,94.2%,-2.9%,11.2%
473,60 - OR WA AK,WEST BU,4.54,3,102.9%,65,5.8%,15.4%,93.6%,-2.2%,22.9%
470,57 - LA Vegas HI,WEST BU,4.61,8,129.8%,74,8.9%,16.2%,90.0%,-1.7%,64.6%
149,12 - Nashville,SOUTHEAST BU,4.51,2,96.9%,65,7.6%,16.7%,94.3%,-1.6%,43.1%
237,"22 - PA, NJ",EAST BU,4.55,3,96.5%,63,5.6%,18.1%,95.9%,-0.7%,21.0%
87,6 - South Texas,SOUTHWEST BU,4.63,9,89.1%,68,0.8%,15.8%,95.7%,-2.3%,22.7%
143,"13 - LA, MS",SOUTHWEST BU,4.57,4,95.0%,70,6.8%,17.4%,94.0%,-1.7%,34.8%
566,59 - ATLANTIC COAST,NHM BU,4.65,11,93.8%,69,9.6%,13.2%,95.5%,-1.6%,2.3%
165,"22 - PA, NJ",EAST BU,4.58,6,93.3%,66,7.9%,13.4%,91.1%,-3.5%,41.7%
373,46 - Phoenix,SOUTHWEST BU,4.56,3,94.3%,66,6.5%,14.8%,93.5%,-2.3%,32.1%
534,72 - SOUTHEAST,NHM BU,4.65,10,89.4%,70,11.1%,12.8%,96.7%,-1.2%,-2.3%
372,46 - Phoenix,SOUTHWEST BU,4.52,0,92.3%,67,5.3%,15.1%,93.9%,-2.9%,37.4%
119,12 - Nashville,SOUTHEAST BU,4.51,1,93.1%,65,9.6%,17.7%,94.2%,-1.8%,35.8%
450,56 - N CA N NV,WEST BU,4.58,5,94.5%,67,6.8%,14.2%,93.7%,-3.1%,49.6%
570,64 - SOUTHWEST,NHM BU,4.63,9,94.7%,71,12.8%,13.5%,95.8%,-2.1%,0.8%
376,54 - Rocky Mountain,WEST BU,4.51,1,91.0%,64,4.7%,13.4%,90.8%,-3.4%,36.4%
383,47 - Frontier,WEST BU,4.59,5,103.7%,66,7.7%,16.8%,93.3%,-1.7%,30.9%
475,60 - OR WA AK,WEST BU,4.53,3,97.0%,63,5.1%,15.3%,92.9%,-2.3%,20.2%
205,"19 - Michigan, OH",NORTH BU,4.52,1,91.3%,62,4.2%,15.2%,95.3%,-1.5%,19.3%
356,"44 - Oklahoma, N TX",SOUTHWEST BU,4.53,1,89.8%,67,8.8%,17.3%,95.6%,-1.5%,48.0%
546,59 - ATLANTIC COAST,NHM BU,4.58,7,93.1%,72,7.7%,13.4%,94.4%,-2.3%,4.6%
494,59 - ATLANTIC COAST,NHM BU,4.59,7,95.5%,70,12.5%,11.9%,93.0%,-3.0%,8.0%
500,59 - ATLANTIC COAST,NHM BU,4.62,8,97.4%,73,7.8%,11.3%,93.8%,-2.3%,3.1%
32,2 - Atlanta GA,SOUTHEAST BU,4.49,3,91.1%,69,5.4%,15.4%,91.6%,-1.8%,28.2%
537,72 - SOUTHEAST,NHM BU,4.61,9,99.7%,71,11.0%,15.2%,96.1%,-1.1%,6.0%
352,"44 - Oklahoma, N TX",SOUTHWEST BU,4.47,2,90.8%,66,7.0%,16.8%,93.3%,-2.2%,35.6%
585,54 - Rocky Mountain,WEST BU,4.55,2,92.7%,66,2.5%,12.5%,91.5%,-3.3%,30.5%
66,"13 - LA, MS",SOUTHWEST BU,4.53,1,92.9%,69,5.7%,15.2%,94.6%,-2.4%,33.4%
2,"14 - AL, FL",SOUTHEAST BU,4.52,0,89.3%,68,5.0%,16.0%,92.9%,-1.5%,24.3%
442,53 - WISCONSIN,NORTH BU,4.50,1,98.3%,61,5.1%,16.1%,94.6%,-1.2%,23.3%
306,26 - North Carolina,EAST BU,4.51,2,95.8%,63,7.1%,14.1%,90.6%,-3.2%,50.5%
86,7 - W TX / N NM,SOUTHWEST BU,4.64,8,89.8%,73,4.3%,15.1%,94.7%,-2.2%,30.5%
98,"3 - GA, FL",SOUTHEAST BU,4.54,3,96.5%,75,7.8%,15.7%,93.6%,-2.6%,54.7%
554,59 - ATLANTIC COAST,NHM BU,4.62,9,95.4%,74,8.3%,12.2%,94.5%,-1.5%,-3.4%
