Store ID,First Assigned Carrier,Fulfillment Type, Status, Trend,Directional Focus,Max_WM_WK_ID,Weeks on DPI,OTD* %,OTP* %,Dwell Time*,OTD Previous Week,OTD 2 Wks Ago,OTD 3 Wks Ago,OTD 4 Wks Ago
1797,SPARK,Scheduled Standard Delivery,Active Monitoring,Degrading,Driver Supply Focus,202429,2,85.70%,96.90%,7.2,80.60%,84.10%,88.60%,89.80%
1932,SPARK,Scheduled Standard Delivery,Executive Review,Degrading,Driver Supply Focus,202429,13,85.60%,97.70%,8.3,85.40%,81.50%,89.40%,85.40%
2140,SPARK,Scheduled Standard Delivery,Active Monitoring,Recovering,Driver Supply Focus,202429,4,91.80%,97.30%,6.8,94.70%,98.00%,90.90%,83.00%
2224,SPARK,Scheduled Standard Delivery,Executive Review,Recovering,Driver Supply Focus,202429,47,96.00%,95.60%,9.5,99.30%,98.50%,98.60%,88.70%
2833,SPARK,Scheduled Standard Delivery,Executive Review,Recovering,Driver Supply Focus,202429,25,92.30%,99.50%,6,94.50%,86.30%,96.70%,91.80%
1266,,Scheduled Delivery Standard,Active Monitoring,Recovering,Store Focus,202429,5,93.40%,78.50%,15.4,93.10%,94.40%,97.50%,88.40%
400,,Scheduled Delivery Standard,Active Monitoring,Recovering,Store Focus,202429,3,85.30%,76.20%,22.1,90.50%,92.20%,89.80%,63.50%
916,,Scheduled Delivery Standard,Executive Review,Recovering,Store Focus,202429,11,88.10%,71.60%,28.1,96.60%,98.90%,65.70%,88.00%
1025,,Scheduled Delivery Standard,Active Monitoring,Degrading,Store Focus,202429,4,90.40%,77.70%,18.7,85.70%,96.00%,89.80%,89.80%
504,,Scheduled Delivery Standard,Active Monitoring,Recovering,Store Focus,202429,9,93.80%,94.50%,11.5,99.70%,93.10%,98.00%,85.30%
5959,,Scheduled Delivery Standard,Executive Review,Degrading,Store Focus,202429,23,90.90%,89.70%,12.9,88.40%,90.60%,93.30%,91.00%
4383,,Scheduled Delivery Standard,Executive Review,Recovering,Store Focus,202429,38,91.60%,92.60%,16.3,92.70%,85.20%,94.70%,92.80%
2644,,Scheduled Delivery Standard,Executive Review,Degrading,Store Focus,202429,20,73.20%,48.20%,25.1,67.70%,67.70%,87.10%,69.20%
5376,,Scheduled Delivery Standard,At Risk,Degrading,Store Focus,202429,7,81.60%,98.30%,10.5,82.80%,90.20%,72.50%,80.40%
3453,,Scheduled Delivery Standard,Executive Review,Recovering,Store Focus,202429,25,94.40%,85.30%,15.2,95.30%,99.60%,99.90%,83.20%
2362,,Scheduled Delivery Standard,Executive Review,Degrading,Store Focus,202429,44,84.20%,83.80%,13,82.30%,84.10%,87.60%,82.00%
5285,,Scheduled Delivery Standard,Active Monitoring,Recovering,Store Focus,202429,4,92.10%,94.50%,19.5,98.40%,92.80%,98.30%,76.80%
3502,,Scheduled Delivery Standard,Executive Review,Recovering,Store Focus,202429,17,89.10%,79.70%,15.6,93.00%,78.00%,95.00%,90.10%
1510,,Scheduled Delivery Standard,Executive Review,Degrading,Store Focus,202429,46,91.30%,87.60%,12.7,88.20%,88.60%,91.80%,96.20%
1728,,Scheduled Delivery Standard,At Risk,Recovering,Store Focus,202429,10,94.90%,87.30%,25.8,98.20%,88.00%,95.70%,97.80%
2726,,Scheduled Delivery Standard,Executive Review,Degrading,Store Focus,202429,48,91.10%,86.70%,11.7,89.60%,90.90%,91.90%,92.00%
2417,,Scheduled Delivery Standard,Executive Review,Degrading,Store Focus,202429,14,92.30%,88.50%,10.6,88.50%,92.90%,96.20%,92.10%
990,,Scheduled Delivery Standard,Executive Review,Degrading,Store Focus,202429,14,93.70%,75.00%,19.6,89.00%,97.20%,94.70%,93.80%
5113,,Scheduled Delivery Standard,Active Monitoring,Degrading,Store Focus,202429,2,84.70%,92.80%,16.4,82.70%,86.40%,82.10%,87.80%
578,,Scheduled Delivery Standard,At Risk,Recovering,Store Focus,202429,9,90.50%,81.40%,8.5,96.60%,92.70%,84.60%,88.20%
2310,,Scheduled Delivery Standard,Executive Review,Degrading,Store Focus,202429,48,85.30%,68.50%,15.2,88.80%,75.10%,85.10%,89.60%
722,,Scheduled Delivery Standard,Active Monitoring,Recovering,Store Focus,202429,4,93.30%,91.50%,10.6,97.90%,94.00%,92.50%,88.10%
3205,,Scheduled Delivery Standard,Executive Review,Recovering,Store Focus,202429,37,95.10%,93.80%,12.1,97.80%,96.40%,97.80%,87.90%
1227,,Scheduled Delivery Standard,Executive Review,Recovering,Store Focus,202429,49,92.60%,79.20%,12.6,91.60%,94.90%,95.00%,89.20%
124,,Scheduled Delivery Standard,Executive Review,Recovering,Store Focus,202429,13,90.70%,83.40%,14.6,91.70%,85.20%,92.30%,93.80%
5935,,Scheduled Delivery Standard,Executive Review,Recovering,Store Focus,202429,45,93.70%,91.90%,12.2,96.90%,89.10%,95.80%,92.80%
2593,,Scheduled Delivery Standard,At Risk,Recovering,Store Focus,202429,8,94.80%,83.40%,16.7,98.60%,89.80%,97.30%,93.60%
3180,,Scheduled Delivery Standard,At Risk,Degrading,Store Focus,202429,8,91.40%,96.10%,12.6,81.80%,92.90%,96.60%,94.40%
3533,,Scheduled Delivery Standard,Executive Review,Recovering,Store Focus,202429,49,93.10%,85.30%,19.3,98.40%,82.80%,96.50%,94.80%
1581,,Scheduled Delivery Standard,Executive Review,Degrading,Store Focus,202429,15,77.60%,42.20%,27,74.90%,79.40%,90.10%,66.80%
1543,,Scheduled Delivery Standard,Executive Review,Degrading,Store Focus,202429,7,80.40%,69.90%,9.7,76.70%,88.90%,84.40%,71.80%
1604,,Scheduled Delivery Standard,Active Monitoring,Recovering,Store Focus,202429,7,93.70%,75.50%,11.4,92.90%,96.10%,96.40%,89.00%
2046,,Scheduled Delivery Standard,Executive Review,Degrading,Store Focus,202429,22,90.20%,86.50%,11.5,83.50%,94.10%,91.50%,92.40%
2210,,Scheduled Delivery Standard,Executive Review,Recovering,Store Focus,202429,24,90.50%,86.20%,14.4,91.40%,78.60%,93.40%,95.50%
7162,,Scheduled Delivery Standard,Executive Review,Recovering,Store Focus,202429,12,91.90%,91.50%,15.7,96.30%,76.70%,,50.00%
2279,,Scheduled Delivery Standard,Executive Review,Recovering,Store Focus,202429,49,96.30%,96.30%,15.5,99.10%,98.60%,98.80%,88.70%
1359,,Scheduled Delivery Standard,Active Monitoring,Degrading,Store Focus,202429,4,84.20%,83.70%,18.9,47.80%,88.60%,94.30%,85.40%
