Sub Division,Region,Market,Store Nbr,ACC POS$ Apr,ACC POS$ YTD,Car Count  Apr,Car Count YTD,  VIT   Apr,VIT YTD,Tire Bay Time   Apr,Tire Bay Time YTD,Oil Bay Time   Apr,Oil Bay Time YTD,Appt. Success Rate   Apr,Appt. Success Rate YTD,Other Services   Apr,Other Services YTD,Tire Units   Apr,Tire Units YTD,Oil Units   Apr,Oil Units YTD,Overall Ranking   Apr,Overall Ranking YTD
SOUTHWEST BU,"44 - Oklahoma, N TX",347,12,-4.2%,-5.2%,-12.7%,-13.0%,0:15:34,0:14:53,0:25:28,0:30:30,0:19:04,0:19:57,74.2%,73.2%,-65.1%,-44.8%,-10.6%,-8.8%,-9.6%,-6.6%,"1,675","1,631"
SOUTHEAST BU,"42 - AR, MO, LA",334,13,25.8%,6.8%,8.3%,-0.5%,0:19:06,0:20:23,0:27:31,0:30:09,0:22:34,0:24:02,73.8%,66.7%,66.8%,-35.0%,37.6%,12.1%,4.3%,-1.9%,464,"1,634"
NORTH BU,40 - Missouri,357,14,19.6%,6.6%,8.6%,-1.8%,0:24:10,0:26:56,0:29:06,0:29:31,0:27:07,0:27:19,74.7%,63.8%,-80.9%,-54.7%,4.1%,1.0%,3.7%,-1.3%,"1,121","2,026"
NORTH BU,40 - Missouri,333,15,10.4%,9.4%,7.6%,7.6%,0:20:10,0:20:27,0:37:29,0:37:01,0:27:04,0:27:46,69.9%,65.2%,19.9%,68.3%,14.5%,15.1%,11.1%,7.7%,854,833
SOUTHEAST BU,"42 - AR, MO, LA",321,16,7.2%,3.0%,-1.8%,6.6%,0:25:30,0:24:34,0:32:12,0:32:57,0:19:51,0:18:45,73.1%,80.2%,-50.9%,-29.5%,3.9%,-3.6%,-3.8%,6.8%,"1,207",898
SOUTHEAST BU,"42 - AR, MO, LA",334,17,6.0%,2.7%,14.5%,7.0%,0:15:18,0:17:46,0:24:03,0:26:27,0:24:21,0:26:11,92.0%,88.8%,115.0%,7.6%,5.5%,1.2%,10.8%,5.4%,245,670
SOUTHEAST BU,"42 - AR, MO, LA",328,18,12.7%,5.6%,3.6%,9.7%,0:12:14,0:13:50,0:19:14,0:21:11,0:21:50,0:22:56,81.0%,78.9%,24.2%,51.4%,38.8%,16.9%,-11.7%,-1.9%,775,909
NORTH BU,40 - Missouri,335,19,8.2%,2.2%,-6.3%,-7.5%,0:36:28,0:29:23,0:39:38,0:36:19,0:30:14,0:28:33,42.1%,47.1%,-70.4%,-61.2%,13.1%,6.9%,-8.9%,-12.8%,"1,987","1,966"
NORTH BU,40 - Missouri,361,20,0.6%,-4.8%,-12.6%,-8.1%,0:15:41,0:18:42,0:31:08,0:35:17,0:25:18,0:25:36,70.3%,69.7%,-11.0%,-11.4%,-4.2%,-6.0%,-9.8%,-11.1%,"1,503","1,979"
NORTH BU,40 - Missouri,336,21,-10.0%,-5.8%,-4.7%,-0.9%,0:30:15,0:34:28,0:35:10,0:37:21,0:28:36,0:29:20,56.1%,54.3%,-67.1%,-40.6%,-9.3%,-8.2%,-0.5%,0.3%,"2,128","2,059"
SOUTHWEST BU,"44 - Oklahoma, N TX",347,22,-3.3%,-2.6%,6.2%,4.0%,0:21:44,0:22:19,0:30:13,0:28:50,0:22:30,0:20:38,93.5%,91.8%,17.0%,30.6%,-6.6%,-13.3%,10.0%,9.1%,"1,091","1,137"
SOUTHEAST BU,"42 - AR, MO, LA",135,23,4.1%,8.2%,14.2%,10.5%,0:10:52,0:12:03,0:31:55,0:33:46,0:18:48,0:18:54,81.0%,80.1%,-23.0%,14.9%,0.1%,3.1%,23.6%,14.2%,323,148
SOUTHEAST BU,"42 - AR, MO, LA",326,24,10.2%,-2.6%,16.5%,5.8%,0:15:41,0:19:52,0:23:57,0:24:31,0:18:06,0:19:20,85.7%,87.0%,-16.8%,67.1%,14.8%,-6.4%,15.2%,5.3%,715,"1,426"
NORTH BU,40 - Missouri,359,25,5.5%,9.9%,6.8%,4.4%,0:30:51,0:29:54,0:24:31,0:26:37,0:21:13,0:20:27,41.8%,47.1%,0.4%,3.0%,8.4%,10.5%,4.4%,6.9%,"2,009","1,765"
WEST BU,47 - Frontier,411,26,0.2%,-4.2%,-2.0%,-8.2%,0:21:52,0:24:02,0:37:44,0:37:39,0:34:12,0:33:27,66.1%,62.8%,-43.1%,-39.1%,-3.5%,-10.6%,0.5%,-4.7%,"1,286","1,604"
SOUTHWEST BU,"44 - Oklahoma, N TX",347,28,8.7%,6.8%,0.6%,0.5%,0:18:47,0:22:57,0:25:23,0:26:38,0:18:15,0:18:27,86.2%,78.5%,3.0%,-8.5%,17.3%,9.3%,1.8%,0.5%,880,749
NORTH BU,40 - Missouri,336,29,-7.4%,-10.7%,-20.1%,-19.8%,0:39:41,0:39:47,0:38:58,0:37:57,0:30:33,0:31:26,47.9%,46.7%,3.2%,-18.8%,-7.1%,-13.8%,-6.8%,-11.2%,"2,517","2,544"
NORTH BU,40 - Missouri,335,30,17.0%,11.4%,21.5%,9.8%,0:19:15,0:20:16,0:29:44,0:31:23,0:24:33,0:25:52,74.4%,61.1%,2.3%,-33.1%,16.9%,18.1%,23.7%,5.5%,915,"1,487"
SOUTHWEST BU,"44 - Oklahoma, N TX",351,31,17.2%,5.8%,16.3%,8.9%,0:24:27,0:27:26,0:37:38,0:38:59,0:26:16,0:26:39,61.4%,62.3%,-27.0%,-11.6%,21.5%,5.8%,17.8%,10.9%,791,"1,138"
NORTH BU,40 - Missouri,333,32,-8.6%,-3.7%,-7.0%,-2.7%,0:26:16,0:23:23,0:26:32,0:26:26,0:23:53,0:23:37,45.9%,52.3%,-33.2%,-15.5%,0.0%,-6.7%,-9.1%,0.3%,"2,521","2,444"
SOUTHEAST BU,"42 - AR, MO, LA",325,33,28.3%,12.3%,22.5%,21.3%,0:20:22,0:21:37,0:27:44,0:27:23,0:24:18,0:25:00,56.1%,56.9%,-49.3%,-32.3%,26.4%,19.5%,17.5%,13.3%,"1,457","1,718"
SOUTHEAST BU,"42 - AR, MO, LA",334,34,1.7%,1.1%,11.3%,10.0%,0:11:53,0:12:32,0:21:50,0:21:44,0:15:08,0:14:47,89.3%,80.8%,-13.2%,-28.8%,-4.7%,-6.2%,11.6%,10.5%,588,700
WEST BU,47 - Frontier,407,35,11.9%,13.9%,12.4%,10.0%,0:20:34,0:23:05,0:34:52,0:34:40,0:28:06,0:28:40,66.5%,65.6%,-14.0%,15.0%,3.4%,0.4%,19.4%,12.0%,227,152
SOUTHEAST BU,11 - Memphis,329,36,5.4%,2.6%,20.8%,18.8%,0:14:10,0:17:39,0:33:03,0:35:15,0:31:11,0:33:51,96.9%,87.8%,-27.9%,-20.7%,6.3%,-0.1%,27.0%,19.7%,357,676
NORTH BU,40 - Missouri,335,37,23.1%,17.5%,20.8%,18.8%,0:18:05,0:20:22,0:31:16,0:30:16,0:29:01,0:28:12,80.8%,73.2%,-67.7%,-24.3%,37.2%,20.9%,19.1%,18.0%,672,632
SOUTHWEST BU,"44 - Oklahoma, N TX",410,39,16.7%,10.5%,21.3%,10.3%,0:10:04,0:09:40,0:24:28,0:25:30,0:28:50,0:29:02,92.6%,96.5%,-29.5%,26.1%,13.1%,0.9%,30.0%,18.0%,469,523
NORTH BU,40 - Missouri,359,40,4.5%,-0.3%,-5.6%,-2.1%,0:19:10,0:17:17,0:27:46,0:24:44,0:24:26,0:24:50,70.2%,70.8%,-60.7%,-50.9%,8.0%,-2.6%,1.9%,3.8%,"2,094","2,062"
SOUTHWEST BU,"44 - Oklahoma, N TX",345,41,9.9%,2.1%,1.7%,-1.3%,0:07:38,0:07:05,0:30:30,0:27:14,0:14:16,0:12:36,77.7%,83.0%,2.8%,-36.0%,12.2%,-1.7%,-1.0%,-0.6%,583,875
WEST BU,47 - Frontier,407,43,18.3%,12.6%,18.8%,18.7%,0:22:37,0:22:02,0:29:36,0:31:55,0:27:06,0:27:51,67.5%,61.4%,46.3%,21.5%,14.5%,8.9%,26.6%,28.7%,180,315
SOUTHEAST BU,11 - Memphis,329,45,4.8%,8.2%,4.7%,8.3%,0:17:21,0:17:59,0:32:27,0:36:23,0:33:50,0:33:20,86.8%,84.9%,-43.0%,-50.6%,5.2%,10.2%,3.2%,5.8%,709,389
NORTH BU,40 - Missouri,357,46,-5.7%,-13.7%,-14.9%,-20.7%,0:20:13,0:24:09,0:29:24,0:32:11,0:26:32,0:28:10,56.8%,51.9%,-42.4%,-69.7%,-14.5%,-18.7%,-19.3%,-22.0%,"2,030","2,418"
SOUTHWEST BU,"44 - Oklahoma, N TX",351,47,0.1%,-1.7%,-3.1%,-5.4%,0:27:53,0:26:57,0:29:04,0:31:52,0:25:52,0:24:50,56.1%,62.5%,-2.3%,-21.6%,2.1%,-2.8%,-5.2%,-3.9%,"2,070","2,061"
SOUTHEAST BU,"42 - AR, MO, LA",334,48,10.6%,-3.2%,3.0%,-5.3%,0:16:11,0:17:00,0:29:37,0:27:18,0:20:19,0:20:13,68.5%,76.3%,-9.9%,-5.9%,3.4%,-5.2%,-6.6%,-9.8%,"1,442","2,049"
SOUTHEAST BU,"42 - AR, MO, LA",325,52,4.7%,0.1%,5.2%,-1.2%,0:27:20,0:27:21,0:26:27,0:28:11,0:13:47,0:14:05,85.3%,82.8%,10.1%,17.6%,-6.7%,-8.2%,3.8%,1.6%,442,648
SOUTHEAST BU,"42 - AR, MO, LA",322,54,-2.0%,-3.1%,-3.9%,-5.0%,0:33:26,0:31:00,0:41:04,0:38:47,0:25:16,0:24:20,45.5%,50.3%,49.9%,41.4%,-4.5%,-7.7%,-4.6%,-4.4%,"2,061","1,947"
SOUTHEAST BU,"42 - AR, MO, LA",328,57,3.8%,-0.1%,8.3%,0.5%,0:10:27,0:10:44,0:12:31,0:14:02,0:18:18,0:17:07,71.4%,76.4%,-35.9%,-37.1%,17.7%,1.5%,7.7%,-0.9%,"1,746","1,860"
SOUTHEAST BU,"42 - AR, MO, LA",325,58,1.9%,-4.7%,-5.6%,-6.0%,0:42:46,0:40:21,0:37:46,0:38:11,0:31:53,0:29:31,47.2%,44.2%,-26.1%,-32.0%,-7.7%,-10.0%,6.0%,-0.7%,"1,949","2,237"
SOUTHEAST BU,"42 - AR, MO, LA",334,59,13.1%,13.9%,23.2%,18.9%,0:13:21,0:12:36,0:25:29,0:27:49,0:26:52,0:27:00,92.9%,94.3%,-26.9%,11.3%,3.0%,6.8%,15.8%,12.6%,66,41
NORTH BU,40 - Missouri,339,60,0.8%,-1.0%,-19.3%,-14.4%,0:23:32,0:21:15,0:34:27,0:30:42,0:33:18,0:32:37,69.8%,67.2%,-52.3%,-56.5%,6.5%,-0.6%,-15.6%,-6.9%,"2,170","2,239"
NORTH BU,40 - Missouri,361,61,22.5%,10.8%,19.0%,11.5%,0:18:08,0:17:26,0:30:28,0:31:51,0:21:25,0:22:42,60.4%,63.4%,177.6%,-3.6%,33.1%,7.0%,6.5%,14.2%,31,95
SOUTHEAST BU,11 - Memphis,329,62,9.5%,10.8%,11.2%,16.0%,0:19:10,0:19:48,0:12:49,0:12:56,0:11:14,0:10:44,57.6%,55.4%,-75.0%,-34.3%,13.4%,12.9%,10.4%,16.9%,"1,437","1,056"
SOUTHWEST BU,"44 - Oklahoma, N TX",347,63,18.2%,2.9%,12.6%,6.6%,0:19:36,0:19:15,0:27:14,0:27:27,0:27:41,0:30:31,70.8%,72.8%,86.0%,0.1%,21.2%,3.8%,4.2%,0.4%,"1,331","1,998"
SOUTHEAST BU,11 - Memphis,146,64,0.7%,-0.9%,-12.3%,-11.3%,0:40:12,0:35:54,0:29:59,0:27:53,0:23:48,0:20:52,35.0%,43.6%,-64.5%,-75.3%,-4.6%,4.5%,-9.1%,-12.5%,"2,568","2,564"
NORTH BU,40 - Missouri,336,65,16.9%,14.8%,10.8%,7.8%,0:22:21,0:23:12,0:28:00,0:27:29,0:25:07,0:23:57,50.0%,52.3%,201.1%,16.8%,28.0%,19.8%,15.2%,10.0%,869,773
SOUTHEAST BU,"42 - AR, MO, LA",321,66,17.8%,6.4%,10.2%,3.5%,0:15:42,0:16:25,0:27:20,0:26:20,0:14:14,0:14:57,72.7%,70.4%,40.7%,-51.9%,13.4%,7.0%,7.5%,3.7%,142,483
SOUTHEAST BU,"42 - AR, MO, LA",321,67,13.0%,-1.8%,4.8%,5.9%,0:24:19,0:22:17,0:30:23,0:29:28,0:32:04,0:32:35,93.5%,89.7%,-34.7%,-23.5%,6.3%,-9.0%,-8.7%,1.7%,"1,060","1,754"
SOUTHEAST BU,11 - Memphis,329,68,27.0%,11.5%,25.5%,13.4%,0:20:01,0:19:40,0:20:03,0:18:10,0:17:56,0:17:03,63.6%,65.9%,-82.5%,-52.5%,48.9%,15.6%,22.7%,13.7%,999,"1,118"
NORTH BU,40 - Missouri,335,69,-4.3%,-2.3%,-8.8%,-9.6%,0:23:23,0:29:33,0:42:00,0:44:00,0:28:38,0:30:21,54.8%,51.8%,-31.4%,-24.6%,-12.0%,-4.9%,-3.4%,-9.9%,"2,316","2,431"
SOUTHEAST BU,11 - Memphis,329,70,-6.5%,-3.0%,-12.6%,-3.5%,0:31:53,0:35:58,0:27:02,0:26:33,0:23:14,0:21:59,37.5%,33.0%,-37.8%,-57.8%,-2.5%,-3.1%,-27.7%,-6.7%,"2,192","2,077"
SOUTHEAST BU,"42 - AR, MO, LA",328,71,1.3%,-1.3%,9.8%,1.0%,0:13:40,0:13:02,0:16:00,0:17:04,0:14:59,0:14:38,62.5%,63.2%,-43.4%,-28.2%,0.6%,-5.5%,2.8%,-0.3%,"1,408","1,405"
SOUTHWEST BU,"44 - Oklahoma, N TX",410,72,19.0%,7.0%,10.7%,7.5%,0:23:10,0:23:17,0:34:48,0:36:49,0:24:59,0:25:57,73.7%,71.6%,-68.0%,-54.3%,3.8%,-5.3%,15.8%,12.1%,735,"1,025"
SOUTHWEST BU,"44 - Oklahoma, N TX",356,73,8.4%,3.6%,2.8%,6.1%,0:26:04,0:28:47,0:32:50,0:31:35,0:23:21,0:24:10,66.2%,59.7%,-12.4%,18.5%,-10.3%,-3.2%,6.2%,8.6%,"1,992","2,044"
SOUTHWEST BU,"13 - LA, MS",134,75,8.2%,-0.7%,3.7%,3.0%,0:31:46,0:32:39,0:32:37,0:32:36,0:22:54,0:23:07,67.4%,67.5%,-62.5%,-37.2%,6.3%,-1.0%,5.5%,8.9%,"1,441","1,974"
SOUTHEAST BU,"42 - AR, MO, LA",322,76,9.1%,9.2%,-6.3%,-1.5%,0:12:06,0:11:16,0:25:30,0:25:18,0:18:22,0:16:47,55.6%,76.8%,111.8%,18.2%,-0.8%,8.1%,-5.2%,1.1%,"1,692",990
SOUTHWEST BU,07 - W TX / N NM,83,77,-1.5%,-3.3%,-0.7%,0.9%,0:16:08,0:16:30,0:28:15,0:29:06,0:15:33,0:15:15,67.1%,70.1%,-69.2%,-59.1%,-0.8%,-5.6%,2.9%,3.1%,"1,025","1,097"
NORTH BU,40 - Missouri,357,78,18.7%,23.6%,16.5%,24.8%,0:22:22,0:25:32,0:30:21,0:33:09,0:21:55,0:23:32,71.6%,62.9%,-51.0%,2.8%,35.0%,36.4%,6.9%,11.1%,"1,265","1,406"
SOUTHEAST BU,"42 - AR, MO, LA",334,79,4.7%,0.8%,12.0%,4.0%,0:20:38,0:24:33,0:29:16,0:31:16,0:27:24,0:28:38,81.6%,74.2%,-35.6%,-40.7%,2.4%,-3.9%,10.4%,6.0%,"1,254","1,779"
NORTH BU,40 - Missouri,359,80,9.8%,10.8%,11.0%,9.9%,0:24:29,0:26:06,0:30:28,0:31:55,0:31:27,0:31:30,64.4%,64.1%,-80.5%,-47.9%,7.9%,9.7%,16.8%,15.7%,"1,601","1,387"
SOUTHEAST BU,"42 - AR, MO, LA",327,83,26.6%,17.0%,14.2%,13.3%,0:05:24,0:07:06,0:18:22,0:19:56,0:16:10,0:17:37,90.5%,91.7%,46.7%,81.2%,25.8%,16.6%,6.1%,9.7%,320,333
SOUTHEAST BU,"42 - AR, MO, LA",324,85,8.6%,2.6%,4.5%,-2.7%,0:09:11,0:09:37,0:14:59,0:14:43,0:14:47,0:13:34,73.1%,73.3%,-18.5%,-24.4%,8.7%,-5.0%,6.6%,-0.3%,427,541
NORTH BU,40 - Missouri,357,86,-2.5%,5.3%,-2.2%,3.5%,0:19:18,0:19:26,0:25:52,0:27:17,0:23:32,0:22:42,58.3%,59.3%,-61.6%,-34.8%,-3.9%,0.7%,-0.9%,8.7%,"2,286","1,533"
SOUTHEAST BU,"42 - AR, MO, LA",127,87,10.9%,10.1%,14.4%,16.3%,0:15:53,0:16:08,0:23:22,0:26:36,0:17:13,0:16:43,50.0%,56.7%,-17.3%,-46.8%,20.4%,22.2%,1.7%,6.4%,"1,059",919
NORTH BU,40 - Missouri,357,88,-5.2%,-2.6%,-2.3%,0.8%,0:20:35,0:23:09,0:32:35,0:34:57,0:30:42,0:27:22,80.0%,72.4%,-5.2%,24.1%,-15.1%,-5.5%,2.5%,-1.0%,"2,401","2,324"
NORTH BU,40 - Missouri,336,89,4.5%,-3.8%,-2.7%,1.9%,0:31:20,0:27:51,0:40:53,0:40:00,0:37:28,0:36:38,65.7%,68.0%,-17.6%,23.1%,1.9%,-7.0%,13.9%,17.0%,"1,880","1,913"
SOUTHWEST BU,"44 - Oklahoma, N TX",347,90,-6.0%,-3.7%,-2.7%,-3.6%,0:17:08,0:17:39,0:23:14,0:25:25,0:14:58,0:14:49,70.4%,66.8%,-16.7%,-16.9%,-12.6%,-10.6%,7.4%,2.0%,"1,363","1,401"
SOUTHEAST BU,11 - Memphis,329,91,5.3%,-1.6%,3.4%,-4.5%,0:40:30,0:45:33,0:28:27,0:28:24,0:33:06,0:32:56,36.4%,33.5%,67.0%,97.3%,8.3%,3.3%,-1.5%,-7.7%,"2,306","2,471"
SOUTHEAST BU,11 - Memphis,146,93,5.9%,11.8%,14.1%,19.5%,0:30:04,0:34:48,0:15:19,0:15:32,0:14:53,0:13:11,41.9%,33.4%,63.0%,5.5%,6.1%,12.9%,13.9%,15.2%,"1,051",741
SOUTHEAST BU,11 - Memphis,145,94,4.9%,4.6%,9.3%,1.3%,0:36:45,0:36:44,0:27:58,0:29:59,0:25:49,0:26:28,58.7%,52.9%,-53.7%,-57.8%,4.4%,-3.2%,-1.2%,1.6%,"1,633","1,970"
NORTH BU,40 - Missouri,335,95,8.3%,3.4%,6.7%,0.8%,0:25:25,0:27:22,0:26:38,0:29:49,0:17:27,0:17:15,61.8%,68.4%,-15.6%,-18.5%,4.8%,0.3%,3.3%,3.7%,771,"1,215"
NORTH BU,40 - Missouri,361,96,5.6%,4.6%,16.4%,9.5%,0:32:17,0:32:20,0:42:15,0:40:15,0:33:26,0:32:08,56.2%,58.6%,-38.7%,-38.4%,-9.5%,-4.2%,17.8%,8.8%,"1,683","1,849"
SOUTHEAST BU,"42 - AR, MO, LA",135,98,-6.1%,-9.8%,-6.9%,-4.5%,0:25:53,0:23:21,0:34:29,0:38:21,0:31:56,0:31:21,64.3%,68.1%,-54.9%,-43.9%,-12.7%,-14.0%,-5.7%,1.5%,"2,558","2,536"
SOUTHEAST BU,"42 - AR, MO, LA",323,100,-1.1%,2.3%,9.8%,8.9%,0:23:10,0:20:03,0:35:05,0:33:15,0:26:59,0:27:01,81.0%,85.8%,-25.7%,-0.9%,-5.3%,-0.8%,12.6%,12.5%,407,174
NORTH BU,40 - Missouri,336,101,5.3%,2.8%,-4.6%,-6.5%,0:24:03,0:26:46,0:28:27,0:30:14,0:23:20,0:23:23,62.1%,51.3%,-40.5%,25.6%,11.6%,3.6%,4.4%,-2.0%,980,"1,129"
SOUTHWEST BU,"44 - Oklahoma, N TX",351,103,19.8%,13.0%,3.8%,3.8%,0:08:45,0:08:31,0:15:54,0:16:00,0:11:24,0:11:31,89.6%,92.0%,-33.8%,-11.0%,32.0%,15.3%,3.2%,7.6%,72,67
SOUTHEAST BU,11 - Memphis,146,104,17.4%,9.4%,19.8%,10.8%,0:09:24,0:10:03,0:29:00,0:29:52,0:27:48,0:27:12,92.6%,92.8%,-8.2%,10.6%,17.2%,7.7%,7.2%,3.5%,30,104
SOUTHEAST BU,11 - Memphis,4,105,6.8%,-1.8%,4.4%,-1.6%,0:20:12,0:20:00,0:36:02,0:36:46,0:20:30,0:21:36,64.9%,64.1%,-54.6%,-37.4%,3.2%,-5.6%,4.7%,2.3%,944,"1,463"
SOUTHEAST BU,11 - Memphis,146,107,-8.3%,-6.0%,-5.0%,-10.3%,0:15:46,0:18:17,0:33:15,0:36:43,0:31:01,0:32:14,80.5%,74.2%,-53.6%,-37.1%,-16.7%,-6.9%,-8.4%,-16.4%,"2,118","2,183"
SOUTHWEST BU,"44 - Oklahoma, N TX",344,108,11.8%,3.7%,1.7%,-3.9%,0:13:28,0:15:18,0:39:57,0:38:03,0:37:26,0:36:12,70.9%,65.7%,-71.5%,-74.2%,27.8%,6.7%,-8.1%,-3.7%,"1,551","2,145"
NORTH BU,40 - Missouri,360,109,9.3%,1.1%,-8.8%,-9.7%,0:24:38,0:24:20,0:34:14,0:38:05,0:27:04,0:29:08,60.8%,57.7%,355.5%,199.5%,12.6%,7.9%,-12.1%,-15.1%,"1,603","2,050"
SOUTHEAST BU,"03 - GA, FL",89,110,11.9%,13.3%,24.1%,23.1%,0:30:52,0:33:07,0:28:35,0:28:49,0:32:17,0:31:20,49.1%,42.3%,-59.9%,-60.7%,21.5%,19.5%,22.4%,21.1%,290,244
SOUTHWEST BU,"44 - Oklahoma, N TX",410,111,-3.3%,-9.3%,-11.8%,-17.5%,0:34:58,0:28:26,0:37:20,0:33:53,0:41:00,0:34:41,65.7%,69.4%,-34.6%,-43.4%,-2.9%,-15.4%,-2.9%,-8.4%,"2,569","2,570"
SOUTHEAST BU,11 - Memphis,138,112,7.4%,3.7%,2.0%,1.0%,0:27:00,0:30:16,0:19:47,0:20:58,0:21:20,0:21:32,43.9%,41.9%,-2.1%,-27.4%,4.0%,2.2%,6.5%,2.5%,798,"1,105"
SOUTHWEST BU,"44 - Oklahoma, N TX",349,113,-5.4%,-10.4%,-5.9%,-7.4%,0:26:45,0:28:27,0:34:39,0:36:14,0:23:49,0:21:03,59.2%,65.0%,-52.7%,-58.1%,-8.7%,-15.9%,-8.6%,-5.4%,"2,378","2,360"
SOUTHEAST BU,11 - Memphis,4,118,17.7%,6.8%,2.0%,1.6%,0:22:59,0:24:25,0:35:04,0:32:04,0:25:11,0:25:49,57.7%,56.8%,56.5%,67.1%,24.5%,7.8%,-3.8%,-3.9%,"1,213","1,371"
SOUTHEAST BU,"42 - AR, MO, LA",328,119,12.2%,-0.6%,-8.8%,-12.4%,0:27:38,0:29:46,0:28:00,0:29:08,0:21:07,0:22:06,63.8%,67.1%,-16.1%,26.5%,8.3%,-6.2%,-0.7%,-3.9%,374,"1,033"
SOUTHEAST BU,11 - Memphis,146,120,-1.5%,-1.4%,5.8%,8.3%,0:25:05,0:30:01,0:25:38,0:26:48,0:22:45,0:23:40,47.2%,41.6%,167.4%,78.4%,-7.2%,-6.8%,-1.9%,6.4%,"2,243","2,366"
SOUTHWEST BU,"44 - Oklahoma, N TX",351,121,4.8%,-2.2%,3.5%,-1.1%,0:20:18,0:21:19,0:21:21,0:23:57,0:17:48,0:17:07,62.1%,68.0%,19.4%,-28.3%,2.7%,-10.3%,1.3%,4.0%,"1,291","1,679"
SOUTHWEST BU,"44 - Oklahoma, N TX",351,123,-2.7%,-8.4%,4.0%,-7.1%,0:05:25,0:06:23,0:15:38,0:15:28,0:19:31,0:19:06,80.8%,85.7%,9.7%,-21.6%,-7.3%,-16.1%,5.4%,-2.7%,"1,636","1,957"
SOUTHEAST BU,"42 - AR, MO, LA",324,124,19.9%,10.2%,30.0%,21.8%,0:23:59,0:24:14,0:21:27,0:23:29,0:16:51,0:16:34,38.6%,40.9%,46.1%,-11.1%,7.5%,7.7%,45.7%,38.8%,433,803
SOUTHEAST BU,"42 - AR, MO, LA",321,125,10.1%,6.0%,13.9%,9.6%,0:24:12,0:28:47,0:28:06,0:29:24,0:21:33,0:20:51,92.5%,93.3%,6.9%,-20.4%,0.9%,-3.2%,27.4%,9.6%,114,215
SOUTHEAST BU,"42 - AR, MO, LA",325,127,6.9%,9.5%,8.6%,6.0%,0:20:37,0:18:18,0:20:55,0:20:35,0:19:19,0:17:55,56.9%,69.7%,-84.2%,-42.7%,-4.7%,4.2%,8.5%,7.5%,"1,386",658
SOUTHEAST BU,11 - Memphis,329,128,14.2%,8.0%,18.5%,14.5%,0:10:16,0:12:07,0:20:26,0:18:52,0:16:17,0:17:19,80.5%,79.6%,-49.7%,-21.0%,36.0%,13.1%,17.6%,13.1%,447,567
