Store,Offsite Storage Pickup Date,Service  Hours,Storage Vendor,Box  Count
234,2/7/2022,7 am - 6 pm,Vital Records Control (VRC),16
236,TBD,TBD,TBD,TBD
237,TBD,TBD,TBD,TBD
238,3/28/2022,7 am - 6 pm,Vital Records Control (VRC),56
239,10/7/2021,7 am - 6 pm,Vital Records Control (VRC),47
240,4/7/2022,7 am - 6 pm,Vital Records Control (VRC),153
241,TBD,TBD,TBD,TBD
242,5/11/2022,7 am - 6 pm,Vital Records Control (VRC),43
243,TBD,TBD,TBD,TBD
244,2/28/2022,7 am - 6 pm,Vital Records Control (VRC),158
245,TBD,TBD,TBD,TBD
246,6/2/2022,7 am - 6 pm,Vital Records Control (VRC),35
247,6/9/2022,7 am - 6 pm,Vital Records Control (VRC),32
248,3/24/2022,7 am - 6 pm,Vital Records Control (VRC),170
249,TBD,TBD,TBD,TBD
250,4/13/2022,7 am - 6 pm,Vital Records Control (VRC),65
251,No Service Required ,7 am - 6 pm,Vital Records Control (VRC),0
252,TBD,TBD,TBD,TBD
253,9/29/2021,7 am - 6 pm,Vital Records Control (VRC),65
254,TBD,TBD,TBD,TBD
256,TBD,TBD,TBD,TBD
257,5/13/2022,7 am - 6 pm,Vital Records Control (VRC),128
258,TBD,TBD,TBD,TBD
259,4/18/2022,7 am - 6 pm,Vital Records Control (VRC),98
260,3/24/2022,7 am - 6 pm,Vital Records Control (VRC),140
261,4/8/2022,7 am - 6 pm,Vital Records Control (VRC),114
262,TBD,TBD,TBD,TBD
264,3/31/2022,7 am - 6 pm,Vital Records Control (VRC),104
265,3/18/2022,7 am - 6 pm,Vital Records Control (VRC),72
266,TBD,TBD,TBD,TBD
267,4/21/2022,7 am - 6 pm,Vital Records Control (VRC),155
268,No Service Required per Store,7 am - 6 pm,Vital Records Control (VRC),0
269,6/16/2022,7 am - 6 pm,Vital Records Control (VRC),79
271,3/15/2022,7 am - 6 pm,Vital Records Control (VRC),35
272,TBD,TBD,TBD,TBD
273,3/7/2022,7 am - 6 pm,Vital Records Control (VRC),54
274,4/28/2022,7 am - 6 pm,Vital Records Control (VRC),2
275,TBD,TBD,TBD,TBD
276,4/22/2022,7 am - 6 pm,Vital Records Control (VRC),41
277,5/10/2022,7 am - 6 pm,Vital Records Control (VRC),156
278,9/23/2021,7 am - 6 pm,Vital Records Control (VRC),127
279,3/25/2022,7 am - 6 pm,Vital Records Control (VRC),69
280,3/17/2022,7 am - 6 pm,Vital Records Control (VRC),29
281,3/29/2022,7 am - 6 pm,Vital Records Control (VRC),70
282,5/12/2022,7 am - 6 pm,Vital Records Control (VRC),90
283,6/3/2021,7 am - 6 pm,Vital Records Control (VRC),100
284,TBD,TBD,TBD,TBD
285,TBD,TBD,TBD,TBD
286,3/23/2022,7 am - 6 pm,Vital Records Control (VRC),100
287,TBD,TBD,TBD,TBD
288,TBD,TBD,TBD,TBD
289,5/12/2022,7 am - 6 pm,Vital Records Control (VRC),27
290,TBD,TBD,TBD,TBD
292,TBD,TBD,TBD,TBD
293,TBD,TBD,TBD,TBD
294,5/2/2022,7 am - 6 pm,Vital Records Control (VRC),75
295,6/2/2021,7 am - 6 pm,Vital Records Control (VRC),98
296,TBD,TBD,TBD,TBD
297,TBD,TBD,TBD,TBD
298,3/10/2022,7 am - 6 pm,Vital Records Control (VRC),125
299,5/24/2022,7 am - 6 pm,Vital Records Control (VRC),122
300,7/9/2021,7 am - 6 pm,Vital Records Control (VRC),116
301,4/28/2021,7 am - 6 pm,Vital Records Control (VRC),176
302,TBD,TBD,TBD,TBD
303,4/29/2022,7 am - 6 pm,Vital Records Control (VRC),18
304,3/31/2022,7 am - 6 pm,Vital Records Control (VRC),98
305,TBD,TBD,TBD,TBD
306,3/16/2022,7 am - 6 pm,Vital Records Control (VRC),99
307,3/8/2022,7 am - 6 pm,Vital Records Control (VRC),173
308,4/28/2022,7 am - 6 pm,Vital Records Control (VRC),209
309,6/16/2021,7 am - 6 pm,Vital Records Control (VRC),90
310,5/21/2021,7 am - 6 pm,Vital Records Control (VRC),190
311,TBD,TBD,TBD,TBD
312,7/2/2021,7 am - 6 pm,Vital Records Control (VRC),31
313,5/3/2022,7 am - 6 pm,Vital Records Control (VRC),94
314,4/6/2022,7 am - 6 pm,Vital Records Control (VRC),90
315,5/3/2021,7 am - 6 pm,Vital Records Control (VRC),91
316,4/28/2021,7 am - 6 pm,Vital Records Control (VRC),157
317,TBD,TBD,TBD,TBD
318,4/8/2022,7 am - 6 pm,Vital Records Control (VRC),83
319,TBD,TBD,TBD,TBD
320,3/17/2022,7 am - 6 pm,Vital Records Control (VRC),29
321,8/2/2021,7 am - 6 pm,Vital Records Control (VRC),109
322,No Service Required per Store,7 am - 6 pm,Vital Records Control (VRC),0
323,10/13/2021,7 am - 6 pm,Vital Records Control (VRC),117
324,5/26/2022,7 am - 6 pm,Vital Records Control (VRC),103
325,4/19/2022,7 am - 6 pm,Vital Records Control (VRC),205
326,4/7/2022,7 am - 6 pm,Vital Records Control (VRC),71
328,TBD,TBD,TBD,TBD
329,TBD,TBD,TBD,TBD
330,10/13/2021,7 am - 6 pm,Vital Records Control (VRC),90
331,4/18/2022,7 am - 6 pm,Vital Records Control (VRC),212
332,5/6/2022,7 am - 6 pm,Vital Records Control (VRC),51
333,5/9/2022,7 am - 6 pm,Vital Records Control (VRC),99
334,TBD,TBD,TBD,TBD
335,3/28/2022,7 am - 6 pm,Vital Records Control (VRC),176
336,4/1/2022,7 am - 6 pm,Vital Records Control (VRC),78
337,TBD,TBD,TBD,TBD
338,4/20/2022,7 am - 6 pm,Vital Records Control (VRC),60
339,TBD,TBD,TBD,TBD
340,4/22/2022,7 am - 6 pm,Vital Records Control (VRC),79
341,5/13/2022,7 am - 6 pm,Vital Records Control (VRC),70
342,4/27/2022,7 am - 6 pm,Vital Records Control (VRC),65
343,TBD,TBD,TBD,TBD
344,TBD,TBD,TBD,TBD
345,3/16/2022,7 am - 6 pm,Vital Records Control (VRC),100
346,6/15/2022,7 am - 6 pm,Vital Records Control (VRC),92
347,TBD,TBD,TBD,TBD
348,3/31/2022,7 am - 6 pm,Vital Records Control (VRC),59
350,TBD,TBD,TBD,TBD
351,8/3/2021,7 am - 6 pm,Vital Records Control (VRC),19
352,TBD,TBD,TBD,TBD
353,4/15/2022,7 am - 6 pm,Vital Records Control (VRC),38
354,TBD,TBD,TBD,TBD
355,TBD,TBD,TBD,TBD
356,4/29/2021,7 am - 6 pm,Vital Records Control (VRC),52
357,4/15/2022,7 am - 6 pm,Vital Records Control (VRC),35
358,3/30/2022,7 am - 6 pm,Vital Records Control (VRC),78
359,No Service Required per Store,7 am - 6 pm,Vital Records Control (VRC),0
360,7/21/2022,7 am - 6 pm,Vital Records Control (VRC),61
361,TBD,TBD,TBD,TBD
362,5/28/2021,7 am - 6 pm,Vital Records Control (VRC),89
363,4/7/2022,7 am - 6 pm,Vital Records Control (VRC),80
364,TBD,TBD,TBD,TBD
365,TBD,TBD,TBD,TBD
366,TBD,TBD,TBD,TBD
368,8/27/2021,7 am - 6 pm,Vital Records Control (VRC),54
369,6/15/2022,7 am - 6 pm,Vital Records Control (VRC),24
370,6/16/2022,7 am - 6 pm,Vital Records Control (VRC),135
371,3/17/2022,7 am - 6 pm,Vital Records Control (VRC),158
372,5/24/2022,7 am - 6 pm,Vital Records Control (VRC),76
373,5/16/2022,7 am - 6 pm,Vital Records Control (VRC),20
374,6/9/2022,7 am - 6 pm,Vital Records Control (VRC),85
375,7/20/2021,7 am - 6 pm,Vital Records Control (VRC),68
376,TBD,TBD,TBD,TBD
377,TBD,TBD,TBD,TBD
378,4/28/2022,7 am - 6 pm,Vital Records Control (VRC),47
379,4/21/2022,7 am - 6 pm,Vital Records Control (VRC),134
381,4/29/2022,7 am - 6 pm,Vital Records Control (VRC),63
382,TBD,TBD,TBD,TBD
383,6/3/2021,7 am - 6 pm,Vital Records Control (VRC),98
384,5/20/2021,7 am - 6 pm,Vital Records Control (VRC),48
385,8/2/2021,7 am - 6 pm,Vital Records Control (VRC),20
386,TBD,TBD,TBD,TBD
387,4/27/2022,7 am - 6 pm,Vital Records Control (VRC),70
388,3/30/2022,7 am - 6 pm,Vital Records Control (VRC),94
389,5/24/2022,7 am - 6 pm,Vital Records Control (VRC),66
390,3/31/2022,7 am - 6 pm,Vital Records Control (VRC),50
391,5/10/2021,7 am - 6 pm,Vital Records Control (VRC),223
392,5/17/2022,7 am - 6 pm,Vital Records Control (VRC),83
393,3/30/2022,7 am - 6 pm,Vital Records Control (VRC),161
394,3/3/2022,7 am - 6 pm,Vital Records Control (VRC),63
395,TBD,TBD,TBD,TBD
396,TBD,TBD,TBD,TBD
397,7/13/2021,7 am - 6 pm,Vital Records Control (VRC),200
398,3/18/2022,7 am - 6 pm,Vital Records Control (VRC),218
399,3/18/2022,7 am - 6 pm,Vital Records Control (VRC),86
400,7/20/2021,7 am - 6 pm,Vital Records Control (VRC),244
401,6/4/2021,7 am - 6 pm,Vital Records Control (VRC),18
402,6/17/2021,7 am - 6 pm,Vital Records Control (VRC),274
403,2/24/2022,7 am - 6 pm,Vital Records Control (VRC),91
404,TBD,TBD,TBD,TBD
405,7/16/2021,7 am - 6 pm,Vital Records Control (VRC),35
406,3/30/2022,7 am - 6 pm,Vital Records Control (VRC),81
407,No Service Required per Store,7 am - 6 pm,Vital Records Control (VRC),0
408,6/4/2021,7 am - 6 pm,Vital Records Control (VRC),56
409,3/3/2022,7 am - 6 pm,Vital Records Control (VRC),17
410,4/22/2022,7 am - 6 pm,Vital Records Control (VRC),86
411,5/12/2021,7 am - 6 pm,Vital Records Control (VRC),79
412,7/22/2021,7 am - 6 pm,Vital Records Control (VRC),77
413,TBD,TBD,TBD,TBD
414,3/18/2022,7 am - 6 pm,Vital Records Control (VRC),90
415,2/7/2022,7 am - 6 pm,Vital Records Control (VRC),109
416,3/30/2022,7 am - 6 pm,Vital Records Control (VRC),34
417,3/14/2022,7 am - 6 pm,Vital Records Control (VRC),105
418,TBD,TBD,TBD,TBD
419,7/15/2021,7 am - 6 pm,Vital Records Control (VRC),84
420,3/18/2022,7 am - 6 pm,Vital Records Control (VRC),127
421,TBD,TBD,TBD,TBD
422,TBD,TBD,TBD,TBD
423,TBD,TBD,TBD,TBD
424,10/1/2021,7 am - 6 pm,Vital Records Control (VRC),197
425,TBD,TBD,TBD,TBD
426,6/1/2021,7 am - 6 pm,Vital Records Control (VRC),119
427,3/18/2022,7 am - 6 pm,Vital Records Control (VRC),161
428,10/4/2021,7 am - 6 pm,Vital Records Control (VRC),160
429,10/21/2021,7 am - 6 pm,Vital Records Control (VRC),99
430,4/28/2022,7 am - 6 pm,Vital Records Control (VRC),106
431,5/10/2022,7 am - 6 pm,Vital Records Control (VRC),130
432,10/12/2021,7 am - 6 pm,Vital Records Control (VRC),78
433,3/23/2022,7 am - 6 pm,Vital Records Control (VRC),199
434,2/24/2022,7 am - 6 pm,Vital Records Control (VRC),61
435,TBD,TBD,TBD,TBD
436,TBD,TBD,TBD,TBD
437,TBD,TBD,TBD,TBD
438,5/23/2022,7 am - 6 pm,Vital Records Control (VRC),16
440,7/13/2021,7 am - 6 pm,Vital Records Control (VRC),48
442,TBD,TBD,TBD,TBD
443,6/6/2022,7 am - 6 pm,Vital Records Control (VRC),103
444,4/20/2022,7 am - 6 pm,Vital Records Control (VRC),109
445,5/12/2022,7 am - 6 pm,Vital Records Control (VRC),127
446,TBD,TBD,TBD,TBD
447,3/14/2022,7 am - 6 pm,Vital Records Control (VRC),50
448,2/28/2022,7 am - 6 pm,Vital Records Control (VRC),59
449,TBD,TBD,TBD,TBD
450,TBD,TBD,TBD,TBD
451,TBD,TBD,TBD,TBD
452,8/4/2021,7 am - 6 pm,Vital Records Control (VRC),220
453,4/18/2022,7 am - 6 pm,Vital Records Control (VRC),35
454,9/13/2021,7 am - 6 pm,Vital Records Control (VRC),80
456,TBD,TBD,TBD,TBD
457,6/3/2021,7 am - 6 pm,Vital Records Control (VRC),112
458,10/19/2021,7 am - 6 pm,Vital Records Control (VRC),102
459,TBD,TBD,TBD,TBD
461,4/5/2022,7 am - 6 pm,Vital Records Control (VRC),122
462,7/16/2021,7 am - 6 pm,Vital Records Control (VRC),43
463,6/17/2021,7 am - 6 pm,Vital Records Control (VRC),37
464,7/7/2021,7 am - 6 pm,Vital Records Control (VRC),148
465,6/30/2021,7 am - 6 pm,Vital Records Control (VRC),118
466,3/30/2022,7 am - 6 pm,Vital Records Control (VRC),106
467,TBD,TBD,TBD,TBD
468,4/8/2022,7 am - 6 pm,Vital Records Control (VRC),125
469,7/9/2021,7 am - 6 pm,Vital Records Control (VRC),190
470,TBD,TBD,TBD,TBD
471,TBD,TBD,TBD,TBD
472,7/26/2021,7 am - 6 pm,Vital Records Control (VRC),36
473,TBD,TBD,TBD,TBD
475,9/30/2021,7 am - 6 pm,Iron Mountain ,119
476,3/14/2022,7 am - 6 pm,Vital Records Control (VRC),87
477,3/24/2022,7 am - 6 pm,Vital Records Control (VRC),64
478,TBD,TBD,TBD,TBD
479,5/25/2022,7 am - 6 pm,Vital Records Control (VRC),39
480,TBD,TBD,TBD,TBD
481,TBD,TBD,TBD,TBD
482,7/28/2021,7 am - 6 pm,Vital Records Control (VRC),14
483,TBD,TBD,TBD,TBD
484,5/12/2022,7 am - 6 pm,Vital Records Control (VRC),139
485,TBD,TBD,TBD,TBD
486,5/18/2022,7 am - 6 pm,Vital Records Control (VRC),147
488,6/14/2021,7 am - 6 pm,Vital Records Control (VRC),84
489,TBD,TBD,TBD,TBD
490,8/16/2021,7 am - 6 pm,Vital Records Control (VRC),18
491,5/10/2022,7 am - 6 pm,Vital Records Control (VRC),166
492,TBD,TBD,TBD,TBD
493,4/13/2022,7 am - 6 pm,Vital Records Control (VRC),119
494,5/6/2021,7 am - 5 pm,Iron Mountain ,71
495,10/14/2021,7 am - 6 pm,Vital Records Control (VRC),126
497,No Service Required per Store,7 am - 6 pm,Vital Records Control (VRC),0
498,6/23/2021,7 am - 6 pm,Vital Records Control (VRC),55
499,5/31/2022,7 am - 6 pm,Vital Records Control (VRC),200
500,3/14/2022,7 am - 6 pm,Vital Records Control (VRC),169
501,6/22/2021,7 am - 6 pm,Vital Records Control (VRC),89
502,10/13/2021,7 am - 6 pm,Vital Records Control (VRC),200
503,7/14/2021,7 am - 6 pm,Vital Records Control (VRC),83
504,TBD,TBD,TBD,TBD
505,TBD,TBD,TBD,TBD
