Store Info,FY24 Assemblers ,Supplier Status ,Furniture <$150 ,Furniture $150-$350,Furniture $350-$500,Furniture >$500
34,Economy Care Services,Secondary,22.98,28.01,37.5,48
34,TROC,Secondary,24.24,33.33,42.42,57.57
34,"National Assemblers, Inc.",Preferred,23.47,35.5,38.23,51.88
35,TROC,Secondary,24.24,33.33,42.42,57.57
35,"National Assemblers, Inc.",Preferred,23.47,35.5,38.23,51.88
36,"PRECISION RETAIL ASSEMBLY SERVICE, LLC",Secondary,26,36,46,60
36,Economy Care Services,Preferred,22.98,28.01,37.5,48
36,"National Assemblers, Inc.",Secondary,23.47,35.5,38.23,51.88
37,TROC,Secondary,24.24,33.33,42.42,57.57
37,"National Assemblers, Inc.",Preferred,23.47,35.5,38.23,51.88
38,TROC,Secondary,24.24,33.33,42.42,57.57
38,Economy Care Services,Preferred,22.98,28.01,37.5,56
38,"National Assemblers, Inc.",Secondary,19.38,29.31,31.57,42.84
39,TROC,Secondary,24.24,33.33,42.42,57.57
39,M&C Assembly,Secondary,27.5,38.5,49.5,71.5
39,"National Assemblers, Inc.",Preferred,23.47,35.5,38.23,51.88
40,TROC,Preferred,24.24,33.33,42.42,57.57
40,"National Assemblers, Inc.",Secondary,23.47,35.5,38.23,51.88
41,Economy Care Services,Secondary,22.98,28.01,37.5,56
41,TROC,Secondary,24.24,33.33,42.42,57.57
41,"National Assemblers, Inc.",Preferred,23.47,35.5,38.23,51.88
42,TROC,Secondary,24.24,33.33,42.42,57.57
42,M&C Assembly,Secondary,27.5,38.5,49.5,71.5
42,"National Assemblers, Inc.",Preferred,23.47,35.5,38.23,51.88
43,TROC,Secondary,24.24,33.33,42.42,57.57
43,"National Assemblers, Inc.",Preferred,23.47,35.5,38.23,51.88
44,TROC,Preferred,24.24,33.33,42.42,57.57
44,"National Assemblers, Inc.",Secondary,20.4,30.85,33.23,45.09
45,"PRECISION RETAIL ASSEMBLY SERVICE, LLC",Secondary,26,36,46,60
45,Economy Care Services,Preferred,22.98,28.01,37.5,48
45,"National Assemblers, Inc.",Secondary,23.47,35.5,38.23,51.88
46,Economy Care Services,Secondary,22.98,28.01,37.5,48
46,TROC,Secondary,24.24,33.33,42.42,57.57
46,"National Assemblers, Inc.",Preferred,23.47,35.5,38.23,51.88
47,TROC,Secondary,24.24,33.33,42.42,57.57
47,Economy Care Services,Preferred,22.98,28.01,37.5,56
47,"National Assemblers, Inc.",Secondary,23.47,35.5,38.23,51.88
48,Economy Care Services,Secondary,22.98,28.01,37.5,48
48,TROC,Secondary,24.24,33.33,42.42,57.57
48,"National Assemblers, Inc.",Preferred,23.47,35.5,38.23,51.88
49,TROC,Secondary,24.24,33.33,42.42,57.57
49,Economy Care Services,Preferred,22.98,28.01,37.5,56
49,"National Assemblers, Inc.",Secondary,19.38,29.31,31.57,42.84
50,Economy Care Services,Secondary,22.98,28.01,37.5,56
50,TROC,Secondary,24.24,33.33,42.42,57.57
50,"National Assemblers, Inc.",Preferred,22.45,33.96,36.57,49.63
51,TROC,Preferred,24.24,33.33,42.42,57.57
51,"National Assemblers, Inc.",Secondary,20.4,30.85,33.23,45.09
52,TROC,Secondary,24.24,33.33,42.42,57.57
52,Economy Care Services,Preferred,22.98,28.01,37.5,48
52,"National Assemblers, Inc.",Secondary,22.45,33.96,36.57,49.63
54,TROC,Secondary,24.24,33.33,42.42,57.57
54,Economy Care Services,Preferred,22.98,28.01,37.5,56
54,"National Assemblers, Inc.",Secondary,20.4,30.85,33.23,45.09
55,TROC,Secondary,24.24,33.33,42.42,57.57
55,Economy Care Services,Preferred,22.98,28.01,37.5,56
55,"National Assemblers, Inc.",Secondary,22.45,33.96,36.57,49.63
56,Economy Care Services,Secondary,22.98,28.01,37.5,48
56,TROC,Secondary,24.24,33.33,42.42,57.57
56,"National Assemblers, Inc.",Preferred,23.47,35.5,38.23,51.88
57,"PRECISION RETAIL ASSEMBLY SERVICE, LLC",Secondary,26,36,46,60
57,Economy Care Services,Preferred,22.98,28.01,37.5,48
57,"National Assemblers, Inc.",Secondary,23.88,36.12,38.9,52.79
58,TROC,Secondary,24.24,33.33,42.42,57.57
58,Economy Care Services,Preferred,22.98,28.01,37.5,48
58,"National Assemblers, Inc.",Secondary,22.45,33.96,36.57,49.63
59,Economy Care Services,Secondary,22.98,28.01,37.5,48
59,TROC,Secondary,24.24,33.33,42.42,57.57
59,"National Assemblers, Inc.",Preferred,23.47,35.5,38.23,51.88
60,TROC,Secondary,24.24,33.33,42.42,57.57
60,M&C Assembly,Secondary,27.5,38.5,49.5,71.5
60,"National Assemblers, Inc.",Preferred,20.4,30.85,33.23,45.09
61,TROC,Secondary,24.24,33.33,42.42,57.57
61,ALL STAR ASSEMBLY LLC,Secondary,19.5,26.5,36.5,46.99
61,"National Assemblers, Inc.",Preferred,22.45,33.96,36.57,49.63
62,"PRECISION RETAIL ASSEMBLY SERVICE, LLC",Secondary,26,36,46,60
62,Economy Care Services,Preferred,22.98,28.01,37.5,48
62,"National Assemblers, Inc.",Secondary,23.47,35.5,38.23,51.88
63,Economy Care Services,Secondary,22.98,28.01,37.5,56
63,TROC,Secondary,24.24,33.33,42.42,57.57
63,"National Assemblers, Inc.",Preferred,22.45,33.96,36.57,49.63
64,"PRECISION RETAIL ASSEMBLY SERVICE, LLC",Preferred,26,36,46,60
64,TROC,Secondary,24.24,33.33,42.42,57.57
64,"National Assemblers, Inc.",Secondary,23.88,36.12,38.9,52.79
65,TROC,Preferred,24.24,33.33,42.42,57.57
65,"National Assemblers, Inc.",Secondary,20.4,30.85,33.23,45.09
66,TROC,Secondary,24.24,33.33,42.42,57.57
66,Economy Care Services,Preferred,22.98,28.01,37.5,56
66,"National Assemblers, Inc.",Secondary,22.45,33.96,36.57,49.63
67,TROC,Secondary,24.24,33.33,42.42,57.57
67,Economy Care Services,Preferred,22.98,28.01,37.5,56
67,"National Assemblers, Inc.",Secondary,22.45,33.96,36.57,49.63
68,"PRECISION RETAIL ASSEMBLY SERVICE, LLC",Secondary,26,36,46,60
68,Economy Care Services,Preferred,22.98,28.01,37.5,48
68,"National Assemblers, Inc.",Secondary,23.47,35.5,38.23,51.88
69,TROC,Secondary,24.24,33.33,42.42,57.57
69,"National Assemblers, Inc.",Preferred,23.47,35.5,38.23,51.88
70,"PRECISION RETAIL ASSEMBLY SERVICE, LLC",Secondary,26,36,46,60
70,Economy Care Services,Preferred,22.98,28.01,37.5,48
70,"National Assemblers, Inc.",Secondary,23.88,36.12,38.9,52.79
71,"PRECISION RETAIL ASSEMBLY SERVICE, LLC",Secondary,26,36,46,60
71,Economy Care Services,Preferred,22.98,28.01,37.5,48
71,"National Assemblers, Inc.",Secondary,23.88,36.12,38.9,52.79
72,TROC,Secondary,24.24,33.33,42.42,57.57
72,M&C Assembly,Secondary,27.5,38.5,49.5,71.5
72,"National Assemblers, Inc.",Preferred,25.52,38.59,41.56,56.4
73,Economy Care Services,Secondary,22.98,28.01,37.5,56
73,TROC,Secondary,24.24,33.33,42.42,57.57
73,"National Assemblers, Inc.",Preferred,23.47,35.5,38.23,51.88
74,"PRECISION RETAIL ASSEMBLY SERVICE, LLC",Secondary,26,36,46,60
74,Economy Care Services,Preferred,22.98,28.01,37.5,48
74,"National Assemblers, Inc.",Secondary,23.47,35.5,38.23,51.88
75,SOUND ASSEMBLY SERVICES,Preferred,15,35,55,85
75,M&C Assembly,Secondary,27.5,38.5,49.5,71.5
75,"National Assemblers, Inc.",Secondary,23.88,36.12,38.9,52.79
76,TROC,Secondary,24.24,33.33,42.42,57.57
76,Economy Care Services,Preferred,22.98,28.01,37.5,56
76,"National Assemblers, Inc.",Secondary,20.4,30.85,33.23,45.09
77,"Backpedal Co, LLC",Preferred,28,30,40,60
77,M&C Assembly,Secondary,27.5,38.5,49.5,71.5
77,"National Assemblers, Inc.",Secondary,19.38,29.31,31.57,42.84
78,Economy Care Services,Secondary,22.98,28.01,37.5,48
78,TROC,Secondary,24.24,33.33,42.42,57.57
78,"National Assemblers, Inc.",Preferred,23.47,35.5,38.23,51.88
79,Economy Care Services,Secondary,22.98,28.01,37.5,48
79,TROC,Secondary,24.24,33.33,42.42,57.57
79,"National Assemblers, Inc.",Preferred,23.47,35.5,38.23,51.88
80,TROC,Preferred,24.24,33.33,42.42,57.57
80,"National Assemblers, Inc.",Secondary,23.47,35.5,38.23,51.88
81,Economy Care Services,Secondary,22.98,28.01,37.5,56
81,TROC,Secondary,24.24,33.33,42.42,57.57
81,"National Assemblers, Inc.",Preferred,22.45,33.96,36.57,49.63
82,TROC,Secondary,24.24,33.33,42.42,57.57
82,"National Assemblers, Inc.",Preferred,23.47,35.5,38.23,51.88
83,TROC,Secondary,24.24,33.33,42.42,57.57
83,Economy Care Services,Preferred,22.98,28.01,37.5,48
83,"National Assemblers, Inc.",Secondary,23.47,35.5,38.23,51.88
85,TROC,Secondary,24.24,33.33,42.42,57.57
85,Economy Care Services,Preferred,22.98,28.01,37.5,48
85,"National Assemblers, Inc.",Secondary,22.45,33.96,36.57,49.63
86,Economy Care Services,Secondary,22.98,28.01,37.5,48
86,TROC,Secondary,24.24,33.33,42.42,57.57
86,"National Assemblers, Inc.",Preferred,23.47,35.5,38.23,51.88
87,M&C Assembly,Secondary,27.5,38.5,49.5,71.5
87,Economy Care Services,Preferred,22.98,28.01,37.5,48
87,"National Assemblers, Inc.",Secondary,23.88,36.12,38.9,52.79
88,Economy Care Services,Secondary,22.98,28.01,37.5,48
88,TROC,Secondary,24.24,33.33,42.42,57.57
88,"National Assemblers, Inc.",Preferred,23.47,35.5,38.23,51.88
89,TROC,Preferred,24.24,33.33,42.42,57.57
89,"National Assemblers, Inc.",Secondary,23.47,35.5,38.23,51.88
90,Economy Care Services,Secondary,22.98,28.01,37.5,56
90,TROC,Secondary,24.24,33.33,42.42,57.57
90,"National Assemblers, Inc.",Preferred,22.45,33.96,36.57,49.63
91,"PRECISION RETAIL ASSEMBLY SERVICE, LLC",Secondary,26,36,46,60
91,Economy Care Services,Preferred,22.98,28.01,37.5,48
91,"National Assemblers, Inc.",Secondary,23.47,35.5,38.23,51.88
92,Economy Care Services,Secondary,22.98,28.01,37.5,48
92,TROC,Secondary,24.24,33.33,42.42,57.57
92,"National Assemblers, Inc.",Preferred,23.47,35.5,38.23,51.88
93,"PRECISION RETAIL ASSEMBLY SERVICE, LLC",Preferred,26,36,46,60
93,TROC,Secondary,24.24,33.33,42.42,57.57
93,"National Assemblers, Inc.",Secondary,23.88,36.12,38.9,52.79
94,"PRECISION RETAIL ASSEMBLY SERVICE, LLC",Preferred,26,36,46,60
94,TROC,Secondary,24.24,33.33,42.42,57.57
94,"National Assemblers, Inc.",Secondary,23.88,36.12,38.9,52.79
95,TROC,Secondary,24.24,33.33,42.42,57.57
95,"National Assemblers, Inc.",Preferred,23.47,35.5,38.23,51.88
96,ALL STAR ASSEMBLY LLC,Secondary,19.5,26.5,36.5,46.99
96,TROC,Secondary,24.24,33.33,42.42,57.57
96,"National Assemblers, Inc.",Preferred,23.47,35.5,38.23,51.88
97,"PRECISION RETAIL ASSEMBLY SERVICE, LLC",Preferred,26,36,46,60
97,TROC,Secondary,24.24,33.33,42.42,57.57
97,"National Assemblers, Inc.",Secondary,23.88,36.12,38.9,52.79
98,TROC,Secondary,24.24,33.33,42.42,57.57
98,M&C Assembly,Preferred,27.5,38.5,49.5,71.5
98,"National Assemblers, Inc.",Secondary,23.88,36.12,38.9,52.79
99,TROC,Secondary,24.24,33.33,42.42,57.57
99,M&C Assembly,Secondary,27.5,38.5,49.5,71.5
99,"National Assemblers, Inc.",Preferred,20.4,30.85,33.23,45.09
100,TROC,Secondary,24.24,33.33,42.42,57.57
100,Economy Care Services,Preferred,22.98,28.01,37.5,56
100,"National Assemblers, Inc.",Secondary,20.4,30.85,33.23,45.09
101,TROC,Preferred,24.24,33.33,42.42,57.57
101,"National Assemblers, Inc.",Secondary,20.4,30.85,33.23,45.09
102,TROC,Secondary,24.24,33.33,42.42,57.57
102,Economy Care Services,Preferred,22.98,28.01,37.5,48
102,"National Assemblers, Inc.",Secondary,23.47,35.5,38.23,51.88
103,TROC,Secondary,24.24,33.33,42.42,57.57
103,Economy Care Services,Preferred,22.98,28.01,37.5,56
103,"National Assemblers, Inc.",Secondary,23.47,35.5,38.23,51.88
104,"PRECISION RETAIL ASSEMBLY SERVICE, LLC",Preferred,26,36,46,60
104,TROC,Secondary,24.24,33.33,42.42,57.57
104,"National Assemblers, Inc.",Secondary,23.88,36.12,38.9,52.79
105,"PRECISION RETAIL ASSEMBLY SERVICE, LLC",Preferred,26,36,46,60
105,M&C Assembly,Secondary,27.5,38.5,49.5,71.5
105,"National Assemblers, Inc.",Secondary,23.47,35.5,38.23,51.88
106,"PRECISION RETAIL ASSEMBLY SERVICE, LLC",Preferred,26,36,46,60
106,TROC,Secondary,24.24,33.33,42.42,57.57
1063,ADVANCED RETAIL SYSTEMS LLC,Secondary,35,45,65,85
106,"National Assemblers, Inc.",Secondary,23.88,36.12,38.9,52.79
107,"PRECISION RETAIL ASSEMBLY SERVICE, LLC",Preferred,26,36,46,60
107,TROC,Secondary,24.24,33.33,42.42,57.57
107,"National Assemblers, Inc.",Secondary,23.88,36.12,38.9,52.79
108,Economy Care Services,Preferred,22.98,28.01,37.5,56
108,TROC,Secondary,24.24,33.33,42.42,57.57
108,"National Assemblers, Inc.",Secondary,23.47,35.5,38.23,51.88
109,ALL STAR ASSEMBLY LLC,Preferred,19.5,26.5,36.5,46.99
109,TROC,Secondary,24.24,33.33,42.42,57.57
1091,ADVANCED RETAIL SYSTEMS LLC,Secondary,35,45,65,85
109,"National Assemblers, Inc.",Secondary,23.47,35.5,38.23,51.88
110,Obscure Rides,Secondary,16.5,19.5,23.5,26.5
110,PRO SERV ASSEMBLY SERVICE INC,Preferred,25,40,55,75
110,"National Assemblers, Inc.",Secondary,19.38,29.31,31.57,42.84
111,TROC,Secondary,24.24,33.33,42.42,57.57
111,M&C Assembly,Secondary,27.5,38.5,49.5,71.5
111,"National Assemblers, Inc.",Preferred,23.47,35.5,38.23,51.88
112,TROC,Secondary,24.24,33.33,42.42,57.57
1121,ADVANCED RETAIL SYSTEMS LLC,Secondary,35,45,65,85
112,M&C Assembly,Preferred,27.5,38.5,49.5,71.5
112,"National Assemblers, Inc.",Secondary,23.47,35.5,38.23,51.88
113,Economy Care Services,Preferred,22.98,28.01,37.5,56
113,TROC,Secondary,24.24,33.33,42.42,57.57
113,"National Assemblers, Inc.",Secondary,22.45,33.96,36.57,49.63
114,"PRECISION RETAIL ASSEMBLY SERVICE, LLC",Preferred,26,36,46,60
114,M&C Assembly,Secondary,27.5,38.5,49.5,71.5
114,"National Assemblers, Inc.",Secondary,23.47,35.5,38.23,51.88
115,TROC,Secondary,24.24,33.33,42.42,57.57
115,M&C Assembly,Preferred,27.5,38.5,49.5,71.5
115,"National Assemblers, Inc.",Secondary,23.47,35.5,38.23,51.88
116,M&C Assembly,Secondary,27.5,38.5,49.5,71.5
116,Economy Care Services,Preferred,22.98,28.01,37.5,48
116,"National Assemblers, Inc.",Secondary,23.88,36.12,38.9,52.79
117,TROC,Secondary,24.24,33.33,42.42,57.57
117,Economy Care Services,Preferred,22.98,28.01,37.5,56
117,"National Assemblers, Inc.",Secondary,19.38,29.31,31.57,42.84
118,M&C Assembly,Preferred,27.5,38.5,49.5,71.5
118,"National Assemblers, Inc.",Secondary,22.45,33.96,36.57,49.63
119,"PRECISION RETAIL ASSEMBLY SERVICE, LLC",Secondary,26,36,46,60
119,Economy Care Services,Preferred,22.98,28.01,37.5,48
119,"National Assemblers, Inc.",Secondary,23.88,36.12,38.9,52.79
120,"PRECISION RETAIL ASSEMBLY SERVICE, LLC",Preferred,26,36,46,60
120,TROC,Secondary,24.24,33.33,42.42,57.57
120,"National Assemblers, Inc.",Secondary,23.88,36.12,38.9,52.79
121,TROC,Secondary,24.24,33.33,42.42,57.57
121,Economy Care Services,Preferred,22.98,28.01,37.5,56
121,"National Assemblers, Inc.",Secondary,23.47,35.5,38.23,51.88
122,TROC,Secondary,24.24,33.33,42.42,57.57
122,"National Assemblers, Inc.",Preferred,23.47,35.5,38.23,51.88
123,TROC,Secondary,24.24,33.33,42.42,57.57
123,Economy Care Services,Preferred,22.98,28.01,37.5,56
123,"National Assemblers, Inc.",Secondary,23.47,35.5,38.23,51.88
124,TROC,Secondary,24.24,33.33,42.42,57.57
124,Economy Care Services,Preferred,22.98,28.01,37.5,48
124,"National Assemblers, Inc.",Secondary,22.45,33.96,36.57,49.63
125,TROC,Secondary,24.24,33.33,42.42,57.57
125,Economy Care Services,Preferred,22.98,28.01,37.5,56
125,"National Assemblers, Inc.",Secondary,22.45,33.96,36.57,49.63
126,TROC,Secondary,24.24,33.33,42.42,57.57
126,Economy Care Services,Preferred,22.98,28.01,37.5,48
126,"National Assemblers, Inc.",Secondary,22.45,33.96,36.57,49.63
127,TROC,Secondary,24.24,33.33,42.42,57.57
127,Economy Care Services,Preferred,22.98,28.01,37.5,48
127,"National Assemblers, Inc.",Secondary,22.45,33.96,36.57,49.63
128,"PRECISION RETAIL ASSEMBLY SERVICE, LLC",Secondary,26,36,46,60
128,Economy Care Services,Preferred,22.98,28.01,37.5,48
128,"National Assemblers, Inc.",Secondary,23.47,35.5,38.23,51.88
129,TROC,Secondary,24.24,33.33,42.42,57.57
129,M&C Assembly,Secondary,27.5,38.5,49.5,71.5
129,"National Assemblers, Inc.",Preferred,23.88,36.12,38.9,52.79
130,Economy Care Services,Secondary,22.98,28.01,37.5,56
130,TROC,Secondary,24.24,33.33,42.42,57.57
130,"National Assemblers, Inc.",Preferred,23.47,35.5,38.23,51.88
131,TROC,Secondary,24.24,33.33,42.42,57.57
131,Economy Care Services,Preferred,22.98,28.01,37.5,56
131,"National Assemblers, Inc.",Secondary,19.38,29.31,31.57,42.84
132,Economy Care Services,Preferred,22.98,28.01,37.5,56
132,TROC,Secondary,24.24,33.33,42.42,57.57
132,"National Assemblers, Inc.",Secondary,23.47,35.5,38.23,51.88
133,TROC,Secondary,24.24,33.33,42.42,57.57
133,Economy Care Services,Preferred,22.98,28.01,37.5,48
133,"National Assemblers, Inc.",Secondary,22.45,33.96,36.57,49.63
134,Economy Care Services,Preferred,22.98,28.01,37.5,56
134,TROC,Secondary,24.24,33.33,42.42,57.57
134,"National Assemblers, Inc.",Secondary,23.47,35.5,38.23,51.88
135,ALL STAR ASSEMBLY LLC,Preferred,19.5,26.5,36.5,46.99
135,TROC,Secondary,24.24,33.33,42.42,57.57
135,"National Assemblers, Inc.",Secondary,23.47,35.5,38.23,51.88
136,Economy Care Services,Secondary,22.98,28.01,37.5,56
136,TROC,Secondary,24.24,33.33,42.42,57.57
136,"National Assemblers, Inc.",Preferred,23.47,35.5,38.23,51.88
137,Economy Care Services,Secondary,22.98,28.01,37.5,56
137,TROC,Secondary,24.24,33.33,42.42,57.57
137,"National Assemblers, Inc.",Preferred,20.4,30.85,33.23,45.09
138,Economy Care Services,Secondary,22.98,28.01,37.5,48
138,TROC,Secondary,24.24,33.33,42.42,57.57
138,"National Assemblers, Inc.",Preferred,23.47,35.5,38.23,51.88
139,Economy Care Services,Secondary,22.98,28.01,37.5,56
139,TROC,Secondary,24.24,33.33,42.42,57.57
139,"National Assemblers, Inc.",Preferred,23.47,35.5,38.23,51.88
140,TROC,Secondary,24.24,33.33,42.42,57.57
1400,ADVANCED RETAIL SYSTEMS LLC,Secondary,35,45,65,85
140,M&C Assembly,Secondary,27.5,38.5,49.5,71.5
140,"National Assemblers, Inc.",Preferred,20.4,30.85,33.23,45.09
141,TROC,Secondary,24.24,33.33,42.42,57.57
141,Economy Care Services,Preferred,22.98,28.01,37.5,56
141,"National Assemblers, Inc.",Secondary,22.45,33.96,36.57,49.63
143,"PRECISION RETAIL ASSEMBLY SERVICE, LLC",Secondary,26,36,46,60
143,TROC,Secondary,24.24,33.33,42.42,57.57
143,"National Assemblers, Inc.",Preferred,23.47,35.5,38.23,51.88
144,TROC,Secondary,24.24,33.33,42.42,57.57
144,Economy Care Services,Preferred,22.98,28.01,37.5,56
144,"National Assemblers, Inc.",Secondary,20.4,30.85,33.23,45.09
145,TROC,Secondary,24.35,33.48,42.61,57.82
145,M&C Assembly,Secondary,27.5,38.5,49.5,71.5
145,"National Assemblers, Inc.",Preferred,20.4,30.85,33.23,45.09
146,M&C Assembly,Secondary,27.5,38.5,49.5,71.5
146,Economy Care Services,Secondary,35.11,37.19,50.98,70.12
146,"National Assemblers, Inc.",Preferred,22.45,33.96,36.57,49.63
147,TROC,Secondary,24.24,33.33,42.42,57.57
147,M&C Assembly,Secondary,27.5,38.5,49.5,71.5
147,"National Assemblers, Inc.",Preferred,23.47,35.5,38.23,51.88
148,TROC,Secondary,24.24,33.33,42.42,57.57
148,Economy Care Services,Preferred,22.98,28.01,37.5,56
148,"National Assemblers, Inc.",Secondary,19.38,29.31,31.57,42.84
149,TROC,Secondary,24.24,33.33,42.42,57.57
149,M&C Assembly,Preferred,27.5,38.5,49.5,71.5
149,"National Assemblers, Inc.",Secondary,23.47,35.5,38.23,51.88
150,Economy Care Services,Preferred,22.98,28.01,37.5,56
150,TROC,Secondary,24.24,33.33,42.42,57.57
150,"National Assemblers, Inc.",Secondary,23.47,35.5,38.23,51.88
151,TROC,Secondary,24.24,33.33,42.42,57.57
151,M&C Assembly,Secondary,27.5,38.5,49.5,71.5
151,"National Assemblers, Inc.",Preferred,23.47,35.5,38.23,51.88
152,TROC,Secondary,24.24,33.33,42.42,57.57
152,"National Assemblers, Inc.",Preferred,23.47,35.5,38.23,51.88
153,"PRECISION RETAIL ASSEMBLY SERVICE, LLC",Preferred,26,36,46,60
153,M&C Assembly,Secondary,27.5,38.5,49.5,71.5
153,"National Assemblers, Inc.",Secondary,23.47,35.5,38.23,51.88
154,TROC,Preferred,24.53,33.73,42.93,58.27
154,"National Assemblers, Inc.",Secondary,23.47,35.5,38.23,51.88
