Store Number,Serial Number,SIM Status,SIM Last Update,Acquisition Date,Manufacturer name,Model,Caliber,Firearm type,Notes,UPC
12,410S21--010119,Display Available,3/18/2022 7:56:40 PM,2022-03-15T12:00:00,HATFIELD (TURKEY)/UTAS-USA,SGL,410 BORE,SHOTGUN,"See ""Section B – Serial Number Errant Entry"" Data updated 6/29/2022",851799004904
14,20S21003374,Display Available,10/25/2021 11:57:26 PM,2021-09-29T12:00:00,HATFIELD (TURKEY)/UTAS-USA,SGL,20 GA,SHOTGUN,"See ""Section B – Serial Number Errant Entry"" Data updated 6/29/2022",851799004911
16,P312890,Do Not Sell,1/28/2022 6:23:15 PM,2022-01-28T12:00:00,SAVAGE ARMS INC.,B-MAG,17 WIN SUPER MAG,RIFLE,"This serial number has a SIM status of ""Do Not Sell"".  See ""Section G - Damaged Firearm"" Data updated 6/29/2022",011356969125
20,D22M09637,Backroom Available,5/2/2022 6:51:34 PM,2022-05-02T12:00:00,KRAL(TURKEY)TRISTAR,VIPER G2,12 GA,SHOTGUN,"See ""Section B – Serial Number Errant Entry"" Data updated 6/29/2022",713780986487
22,7CA309170P,Do Not Sell,12/20/2021 5:07:25 PM,2021-12-07T12:00:00,CEC/BRAZTECH INTERNATIONAL,RS22,22 LR,RIFLE,"This serial number has a SIM status of ""Do Not Sell"".  See ""Section G - Damaged Firearm"" Data updated 6/29/2022",754908211807
31,0004-29562,Do Not Sell,9/28/2018 6:39:10 PM,2015-08-05T12:00:00,RUGER,10/22,22 LR,RIFLE,"This serial number has a SIM status of ""Do Not Sell"".  See ""Section G - Damaged Firearm"" Data updated 6/29/2022",736676111008
31,12A16-109555,Do Not Sell,9/28/2018 6:48:52 PM,2016-08-22T12:00:00,HATFIELD (TURKEY)/UTAS-USA,SAS,12,SHOTGUN,"This serial number has a SIM status of ""Do Not Sell"".  See ""Section G - Damaged Firearm"" Data updated 6/29/2022",851799004805
31,200907L,Do Not Sell,11/23/2020 7:33:47 PM,2020-11-02T12:00:00,"SUN CITY MACHINERY CO., LTD. (P.R.C.)/SAVAGE ARMS INC.",STEVENS MODEL 320,12 GA,SHOTGUN,"This serial number has a SIM status of ""Do Not Sell"".  See ""Section G - Damaged Firearm"" Data updated 6/29/2022",011356194930
31,205062J,Do Not Sell,12/20/2020 9:35:52 PM,2020-10-02T12:00:00,"SUN CITY MACHINERY CO., LTD. (P.R.C.)/SAVAGE ARMS INC.",STEVENS MODEL 320,12 GA,SHOTGUN,"This serial number has a SIM status of ""Do Not Sell"".  See ""Section G - Damaged Firearm"" Data updated 6/29/2022",011356194930
31,20A16-102091,Do Not Sell,9/28/2018 6:52:15 PM,2016-07-27T12:00:00,HATFIELD (TURKEY)/UTAS-USA,SAS,20 GA,SHOTGUN,"This serial number has a SIM status of ""Do Not Sell"".  See ""Section G - Damaged Firearm"" Data updated 6/29/2022",851799004836
31,20A19-001347,Do Not Sell,9/24/2019 8:43:16 PM,2019-09-05T12:00:00,HATFIELD (TURKEY)/UTAS-USA,SAS,20 GA,SHOTGUN,"This serial number has a SIM status of ""Do Not Sell"".  See ""Section G - Damaged Firearm"" Data updated 6/29/2022",851799004836
31,20P4101702,Do Not Sell,12/20/2020 9:35:32 PM,2020-09-29T12:00:00,KRAL (TURKEY)/TRISTAR,COBRA II,410,SHOTGUN,"This serial number has a SIM status of ""Do Not Sell"".  See ""Section G - Damaged Firearm"" Data updated 6/29/2022",713780986456
31,217453B,Do Not Sell,5/14/2021 8:01:15 PM,2021-04-09T12:00:00,"SUN CITY MACHINERY CO., LTD. (P.R.C.)/SAVAGE ARMS INC.",STEVENS MODEL 320,12 GA,SHOTGUN,"This serial number has a SIM status of ""Do Not Sell"".  See ""Section G - Damaged Firearm"" Data updated 6/29/2022",011356232588
31,CC93498G,Do Not Sell,7/3/2020 8:05:16 PM,2020-03-06T12:00:00,REMINGTON ARMS COMPANY,870,20 GA,SHOTGUN,"This serial number has a SIM status of ""Do Not Sell"".  See ""Section G - Damaged Firearm"" Data updated 6/29/2022",047700255613
31,D20M03700,Do Not Sell,8/26/2020 7:46:53 PM,2020-08-26T12:00:00,ARMSAN (TURKEY)/TRISTAR,VIPER G2,12 GA,SHOTGUN,"This serial number has a SIM status of ""Do Not Sell"".  See ""Section G - Damaged Firearm"" Data updated 6/29/2022",713780986487
31,H610713,Do Not Sell,9/28/2018 6:58:12 PM,2012-12-11T12:00:00,SAVAGE ARMS INC.,42,22 LR/410 GA,RIFLE,"This serial number has a SIM status of ""Do Not Sell"".  See ""Section G - Damaged Firearm"" Data updated 6/29/2022",011356196668
31,H70022334,Do Not Sell,12/30/2018 12:29:48 PM,2018-12-10T12:00:00,"REMINGTON ARMS COMPANY, INC.",770,243 WIN,RIFLE,"This serial number has a SIM status of ""Do Not Sell"".  See ""Section G - Damaged Firearm"" Data updated 6/29/2022",047700856308
31,MPR059892,Do Not Sell,9/28/2018 6:42:38 PM,2015-10-16T12:00:00,Mossberg,PATRIOT,243 WIN,RIFLE,"This serial number has a SIM status of ""Do Not Sell"".  See ""Section G - Damaged Firearm"" Data updated 6/29/2022",015813278706
31,N964461,Do Not Sell,4/3/2022 8:15:47 PM,2021-03-23T12:00:00,SAVAGE ARMS INC.,AXIS,6.5 CREEDMOOR,RIFLE,"This serial number has a SIM status of ""Do Not Sell"".  See ""Section G - Damaged Firearm"" Data updated 6/29/2022",011356221490
31,NZ783718,Do Not Sell,9/28/2018 6:44:52 PM,2015-07-29T12:00:00,"HAWK INDUSTRIES CO. LTD./H&R 1871, LLC",PARDNER PUMP,12 GA,SHOTGUN,"This serial number has a SIM status of ""Do Not Sell"".  See ""Section G - Damaged Firearm"" Data updated 6/29/2022",010633051287
31,P393227,Do Not Sell,4/21/2022 8:16:58 PM,2022-03-23T12:00:00,SAVAGE ARMS INC.,110,243 WIN,RIFLE,"This serial number has a SIM status of ""Do Not Sell"".  See ""Section G - Damaged Firearm"" Data updated 6/29/2022",011356571588
31,V1197866,Do Not Sell,1/11/2021 8:20:41 PM,2021-01-11T12:00:00,MOSSBERG,500,410 BORE,SHOTGUN,"This serial number has a SIM status of ""Do Not Sell"".  See ""Section G - Damaged Firearm"" Data updated 6/29/2022",015813501040
36,20S22--002617,Backroom Available,5/18/2022 7:11:36 PM,2022-05-18T12:00:00,HATFIELD GUN CO./UTAS-USA,SGL,20 GA,SHOTGUN,"See ""Section B – Serial Number Errant Entry"" Data updated 6/29/2022",851799004997
36,UM911576,Display Available,10/21/2018 12:46:59 AM,2011-09-29T12:00:00,MOSSBERG,835,12 GA,SHOTGUN,"This serial number has an acquisition date from over 10 years ago.  Please see the section ""Section G - Damaged Firearm"". Data updated 6/29/2022",015813631259
39,20A21000693,Backroom Available,5/6/2022 3:47:20 PM,2021-04-13T12:00:00,HATFIELD (TURKEY)/UTAS-USA,SAS,20 GA,SHOTGUN,"See ""Section B – Serial Number Errant Entry"" Data updated 6/29/2022",851799004836
39,4091347,Do Not Sell,6/28/2022 9:20:24 PM,2022-04-27T12:00:00,SAVAGE ARMS (CANADA)/SAVAGE ARMS USA,MARK II,22 LR,RIFLE,"This serial number has a SIM status of ""Do Not Sell"".  See ""Section G - Damaged Firearm"" Data updated 6/29/2022",062654207204
41,3669485,Do Not Sell,2/21/2021 5:41:57 PM,2021-01-20T12:00:00,SAVAGE ARMS (CANADA) INC./SAVAGE ARMS INC.,93R17,17 HMR,RIFLE,"This serial number has a SIM status of ""Do Not Sell"".  See ""Section G - Damaged Firearm"" Data updated 6/29/2022",062654968020
41,ATR061559,Do Not Sell,2/21/2021 5:40:43 PM,2015-02-18T12:00:00,MOSSBERG & SONS INC,ATR,30-06 SPRINGFIELD,RIFLE,"This serial number has a SIM status of ""Do Not Sell"".  See ""Section G - Damaged Firearm"" Data updated 6/29/2022",015813271783
43,12A20-009193,Do Not Sell,1/31/2021 10:34:37 PM,2021-01-29T12:00:00,HATFIELD (TURKEY)/UTAS-USA,SAS,12,SHOTGUN,"This serial number has a SIM status of ""Do Not Sell"".  See ""Section G - Damaged Firearm"" Data updated 6/29/2022",851799004805
43,12S20-004153,Do Not Sell,1/16/2021 7:53:28 PM,2021-01-12T12:00:00,HATFIELD (TURKEY)/UTAS-USA,SGL,12,SHOTGUN,"This serial number has a SIM status of ""Do Not Sell"".  See ""Section G - Damaged Firearm"" Data updated 6/29/2022",851799004928
43,28A20-001259,Do Not Sell,9/7/2020 8:22:59 PM,2020-07-29T12:00:00,UTAS-USA/HATFIELD GUN CO.,SAS,28 GAUGE,SHOTGUN,"This serial number has a SIM status of ""Do Not Sell"".  See ""Section G - Damaged Firearm"" Data updated 6/29/2022",860001150827
43,410A20-002228,Do Not Sell,1/4/2021 8:36:15 PM,2020-12-09T12:00:00,UTAS-USA/HATFIELD GUN CO.,SAS,410 GAUGE,SHOTGUN,"This serial number has a SIM status of ""Do Not Sell"".  See ""Section G - Damaged Firearm"" Data updated 6/29/2022",860001150810
43,RR39684L,Do Not Sell,3/5/2019 4:37:41 PM,2018-11-30T12:00:00,REMINGTON ARMS COMPANY INC.,700,7MM REM MAG,RIFLE,"This serial number has a SIM status of ""Do Not Sell"".  See ""Section G - Damaged Firearm"" Data updated 6/29/2022",047700270975
43,V1231213,Do Not Sell,4/13/2021 11:24:06 PM,2021-03-03T12:00:00,MOSSBERG,500,410 BORE,SHOTGUN,"This serial number has a SIM status of ""Do Not Sell"".  See ""Section G - Damaged Firearm"" Data updated 6/29/2022",015813501040
45,21P4105353,Invalid,2/15/2022 2:32:36 PM,--,--,--,--,--,"See ""Section E - Deleted Valid Serial Number""",713780986456
45,53-H21PT-001355,Invalid,2/15/2022 2:33:18 PM,--,--,--,--,--,"See ""Section E - Deleted Valid Serial Number""",860007252105
48,122S22-001048,Display Available,5/8/2022 8:18:34 PM,2022-05-02T12:00:00,HATFIELD (TURKEY)/UTAS-USA,SGL,12,SHOTGUN,"See ""Section B – Serial Number Errant Entry"" Data updated 6/29/2022",851799004928
49,MPR0328045,Do Not Sell,12/7/2021 2:47:13 AM,2021-08-18T12:00:00,MOSSBERG,PATRIOT,243 WIN,RIFLE,"This serial number has a SIM status of ""Do Not Sell"".  See ""Section G - Damaged Firearm"" Data updated 6/29/2022",015813278706
49,V1229497,Do Not Sell,9/8/2021 4:45:56 PM,2021-01-19T12:00:00,MOSSBERG,500,410 BORE,SHOTGUN,"This serial number has a SIM status of ""Do Not Sell"".  See ""Section G - Damaged Firearm"" Data updated 6/29/2022",015813501040
51,MV0550434,Do Not Sell,12/21/2020 2:59:04 AM,2020-12-11T12:00:00,MAVERICK ARMS,88,20 GA,SHOTGUN,"This serial number has a SIM status of ""Do Not Sell"".  See ""Section G - Damaged Firearm"" Data updated 6/29/2022",049533322029
52,12A19-001731,Do Not Sell,11/22/2020 2:07:04 PM,2019-04-30T12:00:00,HATFIELD (TURKEY)/UTAS-USA,SAS,12,SHOTGUN,"This serial number has a SIM status of ""Do Not Sell"".  See ""Section G - Damaged Firearm"" Data updated 6/29/2022",851799004805
52,40205,Display Available,4/3/2022 6:09:49 PM,2022-04-01T12:00:00,SAVAGE ARMS (CANADA) INC./SAVAGE ARMS INC.,64,22 LR,RIFLE,"See ""Section B – Serial Number Errant Entry"" Data updated 6/29/2022",062654402050
52,410S21-008224,Invalid,12/7/2021 12:51:50 AM,--,--,--,--,--,"See ""Section E - Deleted Valid Serial Number""",851799004904
52,MV0422606,Do Not Sell,11/22/2020 2:07:18 PM,2019-12-23T12:00:00,MAVERICK ARMS,88,20 GA,SHOTGUN,"This serial number has a SIM status of ""Do Not Sell"".  See ""Section G - Damaged Firearm"" Data updated 6/29/2022",049533322029
58,20P4102201,Do Not Sell,10/26/2020 4:12:18 PM,2020-10-26T12:00:00,KRAL (TURKEY)/TRISTAR,COBRA II,410,SHOTGUN,"This serial number has a SIM status of ""Do Not Sell"".  See ""Section G - Damaged Firearm"" Data updated 6/29/2022",713780986456
58,K388509,Do Not Sell,8/15/2021 10:39:08 PM,2016-08-18T12:00:00,SAVAGE ARMS INC./&NBSP;,AXIS,22-250 REM,RIFLE,"This serial number has a SIM status of ""Do Not Sell"".  See ""Section G - Damaged Firearm"" Data updated 6/29/2022",011356221452
58,MPR0164728,Do Not Sell,8/15/2021 10:38:10 PM,2019-05-21T12:00:00,Mossberg,PATRIOT,30-06 SPRG,RIFLE,"This serial number has a SIM status of ""Do Not Sell"".  See ""Section G - Damaged Firearm"" Data updated 6/29/2022",015813278690
58,V0969769,Do Not Sell,8/15/2021 10:55:27 PM,2018-12-08T12:00:00,MOSSBERG,500,410 BORE,SHOTGUN,"This serial number has a SIM status of ""Do Not Sell"".  See ""Section G - Damaged Firearm"" Data updated 6/29/2022",015813501040
58,V1445178,Do Not Sell,12/9/2021 7:38:15 PM,2021-11-01T12:00:00,MOSSBERG,500,20 GA,SHOTGUN,"This serial number has a SIM status of ""Do Not Sell"".  See ""Section G - Damaged Firearm"" Data updated 6/29/2022",015813541329
59,207769T,Do Not Sell,12/8/2021 5:10:19 PM,2021-02-26T12:00:00,"SUN CITY MACHINERY CO., LTD. (P.R.C.)/SAVAGE ARMS INC.",STEVENS MODEL 320,20 GA,SHOTGUN,"This serial number has a SIM status of ""Do Not Sell"".  See ""Section G - Damaged Firearm"" Data updated 6/29/2022",011356222473
62,H679666,Backroom Available,4/7/2022 4:53:05 PM,2012-09-17T12:00:00,SAVAGE ARMS,42,22 LR/410 GA,RIFLE,"This serial number has an acquisition date from over 10 years ago.  Please see the section ""Section G - Damaged Firearm"". Data updated 6/29/2022",011356196668
63,690-29776,Backroom Available,5/6/2022 7:23:07 PM,2012-08-16T12:00:00,Ruger,AMERICAN,270 WIN,RIFLE,"This serial number has an acquisition date from over 10 years ago.  Please see the section ""Section G - Damaged Firearm"". Data updated 6/29/2022",736676069026
65,40027,Backroom Available,5/22/2022 12:22:08 AM,2022-05-22T12:00:00,SAVAGE ARMS (CANADA) INC./SAVAGE ARMS INC.,64,22 LR,RIFLE,"See ""Section B – Serial Number Errant Entry"" Data updated 6/29/2022",062654400278
69,53-H21PT-001028,Do Not Sell,4/16/2022 3:09:53 PM,2021-11-22T12:00:00,MERAK/CHIAPPA FIREARMS USA,301,12 GA,SHOTGUN,"This serial number has a SIM status of ""Do Not Sell"".  See ""Section G - Damaged Firearm"" Data updated 6/29/2022",860007252105
79,12P21007375,Backroom Available,6/22/2022 8:05:40 PM,2021-12-17T12:00:00,HATFIELD (TURKEY)/UTAS-USA,PAS,12 GA,SHOTGUN,"See ""Section B – Serial Number Errant Entry"" Data updated 6/29/2022",851799004539
81,358-44294,Backroom Available,11/1/2018 10:02:24 PM,2011-09-06T12:00:00,RUGER,10/22,22 LR,RIFLE,"This serial number has an acquisition date from over 10 years ago.  Please see the section ""Section G - Damaged Firearm"". Data updated 6/29/2022",736676012404
85,12A16-114268,Do Not Sell,5/2/2020 2:00:50 PM,2016-12-23T12:00:00,HATFIELD (TURKEY)/UTAS-USA,SAS,12,SHOTGUN,"This serial number has a SIM status of ""Do Not Sell"".  See ""Section G - Damaged Firearm"" Data updated 6/29/2022",851799004805
85,47226,Backroom Available,12/22/2021 6:58:29 PM,2021-12-22T12:00:00,SAVAGE ARMS (CANADA) INC./SAVAGE ARMS INC.,A22,22 LR,RIFLE,"See ""Section B – Serial Number Errant Entry"" Data updated 6/29/2022",062654472268
86,40202,Backroom Available,6/17/2022 3:15:37 PM,2022-06-17T12:00:00,SAVAGE ARMS (CANADA) INC./SAVAGE ARMS INC.,62,22 LR,RIFLE,"See ""Section B – Serial Number Errant Entry"" Data updated 6/29/2022",062654402029
86,410S21006790,Display Available,2/8/2022 3:08:47 PM,2021-11-01T12:00:00,HATFIELD (TURKEY)/UTAS-USA,SGL,410 BORE,SHOTGUN,"See ""Section B – Serial Number Errant Entry"" Data updated 6/29/2022",851799004904
90,4027359,Do Not Sell,4/3/2022 10:12:07 PM,2022-03-03T12:00:00,SAVAGE ARMS (CANADA) INC./SAVAGE ARMS INC.,93R17,17 HMR,RIFLE,"This serial number has a SIM status of ""Do Not Sell"".  See ""Section G - Damaged Firearm"" Data updated 6/29/2022",062654968020
92,40027,Backroom Available,5/24/2022 11:41:18 PM,2022-05-24T12:00:00,SAVAGE ARMS (CANADA) INC./SAVAGE ARMS INC.,64,22 LR,RIFLE,"See ""Section B – Serial Number Errant Entry"" Data updated 6/29/2022",062654400278
93,12S21003905,Display Available,11/2/2021 8:24:49 PM,2021-09-28T12:00:00,HATFIELD (TURKEY)/UTAS-USA,SGL,12,SHOTGUN,"See ""Section B – Serial Number Errant Entry"" Data updated 6/29/2022",851799004928
93,410S21010485,Backroom Available,2/17/2022 6:48:13 PM,2022-02-17T12:00:00,HATFIELD (TURKEY)/UTAS-USA,SGL,410 BORE,SHOTGUN,"See ""Section B – Serial Number Errant Entry"" Data updated 6/29/2022",851799004904
93,410S21010589,Backroom Available,2/17/2022 6:49:06 PM,2022-02-17T12:00:00,HATFIELD (TURKEY)/UTAS-USA,SGL,410 BORE,SHOTGUN,"See ""Section B – Serial Number Errant Entry"" Data updated 6/29/2022",851799004904
94,12A16-101199,Do Not Sell,8/30/2020 3:17:10 PM,2016-05-09T12:00:00,HATFIELD (TURKEY)/UTAS-USA,SAS,12,SHOTGUN,"This serial number has a SIM status of ""Do Not Sell"".  See ""Section G - Damaged Firearm"" Data updated 6/29/2022",851799004805
94,G992172,Display Available,2/13/2020 8:11:46 PM,2009-11-30T12:00:00,SAVAGE ARMS INC.,10,243 WIN,RIFLE,"This serial number has an acquisition date from over 10 years ago.  Please see the section ""Section G - Damaged Firearm"". Data updated 6/29/2022",011356174536
95,D20M03202,Do Not Sell,11/21/2020 6:35:34 PM,2020-08-07T12:00:00,ARMSAN (TURKEY)/TRISTAR,VIPER G2,12 GA,SHOTGUN,"This serial number has a SIM status of ""Do Not Sell"".  See ""Section G - Damaged Firearm"" Data updated 6/29/2022",713780986487
95,MPR0082034,Do Not Sell,11/21/2020 6:37:13 PM,2018-01-05T12:00:00,Mossberg,PATRIOT,30-06 SPRG,RIFLE,"This serial number has a SIM status of ""Do Not Sell"".  See ""Section G - Damaged Firearm"" Data updated 6/29/2022",015813278690
101,21PA20Z-5483,Do Not Sell,5/1/2022 3:25:01 PM,2021-12-17T12:00:00,MERAK/CHIAPPA FIREARMS USA,301,20 GA,SHOTGUN,"This serial number has a SIM status of ""Do Not Sell"".  See ""Section G - Damaged Firearm"" Data updated 6/29/2022",860007252136
101,P321961,Do Not Sell,5/1/2022 3:25:15 PM,2022-01-27T12:00:00,SAVAGE ARMS INC.,AXIS,30/06 SPRG,RIFLE,"This serial number has a SIM status of ""Do Not Sell"".  See ""Section G - Damaged Firearm"" Data updated 6/29/2022",011356571533
103,KRA042514,Do Not Sell,7/12/2021 7:21:52 PM,2016-11-10T12:00:00,KRAL (TURKEY)/TRISTAR,RAPTOR,12,SHOTGUN,"This serial number has a SIM status of ""Do Not Sell"".  See ""Section G - Damaged Firearm"" Data updated 6/29/2022",713780204123
103,V1120546,Do Not Sell,7/12/2021 7:35:41 PM,2020-03-13T12:00:00,MOSSBERG,500,20 GA,SHOTGUN,"This serial number has a SIM status of ""Do Not Sell"".  See ""Section G - Damaged Firearm"" Data updated 6/29/2022",015813501361
113,0015-73273,Display Available,10/22/2020 7:01:18 PM,2020-05-26T12:00:00,KRAL (TURKEY)/TRISTAR,UPLAND HTR,12,SHOTGUN,"See ""Section B – Serial Number Errant Entry"" Data updated 6/29/2022",713780980362
119,11687ZM121,Display Available,2/21/2019 9:25:01 PM,2012-10-02T12:00:00,"MIROKU/BACO, INC",BPS,12 GA,SHOTGUN,"This serial number has an acquisition date from over 10 years ago.  Please see the section ""Section G - Damaged Firearm"". Data updated 6/29/2022",023614075929
119,KA55475,Backroom Available,4/25/2022 5:33:27 PM,2022-04-25T12:00:00,MOSSBERG INTERNATIONAL,SA-20,20 GA,SHOTGUN,"See ""Section B – Serial Number Errant Entry"" Data updated 6/29/2022",884110757715
121,96802,Backroom Available,5/6/2022 5:40:07 PM,2022-05-06T12:00:00,SAVAGE ARMS (CANADA) INC./SAVAGE ARMS INC.,93R17,17 HMR,RIFLE,"See ""Section B – Serial Number Errant Entry"" Data updated 6/29/2022",062654968020
123,FFSB51585,Do Not Sell,11/27/2021 4:41:19 PM,2021-11-27T12:00:00,HENRY REPEATING ARMS,H010B,45-70 GOVERNMENT,RIFLE,"This serial number has a SIM status of ""Do Not Sell"".  See ""Section G - Damaged Firearm"" Data updated 6/29/2022",619835100047
128,RR69941J,Do Not Sell,1/4/2020 3:04:15 PM,2018-01-11T12:00:00,REMINGTON ARMS COMPANY INC.,700,243 WIN,RIFLE,"This serial number has a SIM status of ""Do Not Sell"".  See ""Section G - Damaged Firearm"" Data updated 6/29/2022",047700270920
129,12P21007341,Display Available,5/4/2022 4:04:58 PM,2022-01-25T12:00:00,HATFIELD (TURKEY)/UTAS-USA,PAS,12 GA,SHOTGUN,"See ""Section B – Serial Number Errant Entry"" Data updated 6/29/2022",851799004539
129,40202,Backroom Available,6/16/2022 6:20:12 PM,2022-06-16T12:00:00,SAVAGE ARMS (CANADA) INC./SAVAGE ARMS INC.,62,22 LR,RIFLE,"See ""Section B – Serial Number Errant Entry"" Data updated 6/29/2022",062654402029
138,12A20009703,Backroom Available,1/27/2021 4:43:54 PM,2021-01-27T12:00:00,HATFIELD (TURKEY)/UTAS-USA,SAS,12,SHOTGUN,"See ""Section B – Serial Number Errant Entry"" Data updated 6/29/2022",851799004805
138,217000C,Do Not Sell,6/1/2021 2:37:29 AM,2021-05-05T12:00:00,"SUN CITY MACHINERY CO., LTD. (P.R.C.)/SAVAGE ARMS INC.",STEVENS MODEL 320,12 GA,SHOTGUN,"This serial number has a SIM status of ""Do Not Sell"".  See ""Section G - Damaged Firearm"" Data updated 6/29/2022",011356232588
138,3427607,Do Not Sell,11/15/2020 7:32:35 PM,2020-01-20T12:00:00,SAVAGE ARMS (CANADA) INC./SAVAGE ARMS INC.,64,22 LR,RIFLE,"This serial number has a SIM status of ""Do Not Sell"".  See ""Section G - Damaged Firearm"" Data updated 6/29/2022",062654700033
138,N196911,Do Not Sell,2/6/2021 8:59:35 PM,2019-09-16T12:00:00,SAVAGE ARMS INC.,AXIS,243 WIN,RIFLE,"This serial number has a SIM status of ""Do Not Sell"".  See ""Section G - Damaged Firearm"" Data updated 6/29/2022",011356571540
139,20S21005837,Backroom Available,2/10/2022 7:52:04 PM,2022-02-10T12:00:00,HATFIELD (TURKEY)/UTAS-USA,SGL,20 GA,SHOTGUN,"See ""Section B – Serial Number Errant Entry"" Data updated 6/29/2022",851799004911
140,12A20-000854,Do Not Sell,6/23/2020 12:09:44 AM,2020-04-27T12:00:00,HATFIELD (TURKEY)/UTAS-USA,SAS,12,SHOTGUN,"This serial number has a SIM status of ""Do Not Sell"".  See ""Section G - Damaged Firearm"" Data updated 6/29/2022",851799004805
140,20A21-003907,Do Not Sell,7/25/2021 4:13:35 PM,2021-07-23T12:00:00,HATFIELD (TURKEY)/UTAS-USA,SAS,20 GA,SHOTGUN,"This serial number has a SIM status of ""Do Not Sell"".  See ""Section G - Damaged Firearm"" Data updated 6/29/2022",851799004836
140,20P4100557,Do Not Sell,7/14/2021 1:24:50 PM,2020-07-29T12:00:00,KRAL (TURKEY)/TRISTAR,COBRA II,410,SHOTGUN,"This serial number has a SIM status of ""Do Not Sell"".  See ""Section G - Damaged Firearm"" Data updated 6/29/2022",713780986456
140,N188286,Do Not Sell,11/17/2020 3:19:04 AM,2019-01-03T12:00:00,SAVAGE ARMS INC.,AXIS,30/06 SPRG,RIFLE,"This serial number has a SIM status of ""Do Not Sell"".  See ""Section G - Damaged Firearm"" Data updated 6/29/2022",011356571533
140,V0198995,Do Not Sell,7/14/2021 2:26:30 PM,2015-04-22T12:00:00,Mossberg,500,20 GA,SHOTGUN,"This serial number has a SIM status of ""Do Not Sell"".  See ""Section G - Damaged Firearm"" Data updated 6/29/2022",015813501361
143,61-06-023129-21,Invalid,7/26/2021 4:55:56 PM,--,--,--,--,--,"See ""Section E - Deleted Valid Serial Number""",043125939015
145,3981345,Do Not Sell,4/8/2022 3:16:36 PM,2022-01-12T12:00:00,SAVAGE ARMS (CANADA) INC./SAVAGE ARMS INC.,A22,22 LR,RIFLE,"This serial number has a SIM status of ""Do Not Sell"".  See ""Section G - Damaged Firearm"" Data updated 6/29/2022",062654472268
146,410S21009810,Backroom Available,1/26/2022 6:52:20 PM,2022-01-26T12:00:00,HATFIELD (TURKEY)/UTAS-USA,SGL,410 BORE,SHOTGUN,"See ""Section B – Serial Number Errant Entry"" Data updated 6/29/2022",851799004904
147,690-58048,Display Available,1/10/2022 9:59:24 PM,2012-11-13T12:00:00,Ruger,AMERICAN,270 WIN,RIFLE,"This serial number has an acquisition date from over 10 years ago.  Please see the section ""Section G - Damaged Firearm"". Data updated 6/29/2022",736676069026
