STORE_NBR,Region,Store Name,Final Archetype Assignment
787,2,RIVERDALE GA,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/walmart-giving/overview.html"">All Communities</a>"
855,2,UNION CITY GA,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/walmart-giving/overview.html"">All Communities</a>"
856,2,BREMEN GA,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/walmart-giving/overview.html"">All Communities</a>"
878,2,"CUMMING, GA","<a href=""https://one.walmart.com/content/uswire/en_us/work1/walmart-giving/overview.html"">All Communities</a>"
907,2,FORSYTH GA,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/walmart-giving/overview.html"">All Communities</a>"
937,2,KENNESAW GA,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/walmart-giving/overview.html"">All Communities</a>"
1024,2,SWAINSBORO GA,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/walmart-giving/overview.html"">All Communities</a>"
1047,2,MORROW GA,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/walmart-giving/overview.html"">All Communities</a>"
1070,2,ELLIJAY GA,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/walmart-giving/overview.html"">All Communities</a>"
1076,2,MACON GA,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/walmart-giving/overview.html"">All Communities</a>"
1111,2,HARTWELL GA,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/walmart-giving/overview.html"">All Communities</a>"
1121,2,MILLEDGEVILLE GA,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/walmart-giving/overview.html"">All Communities</a>"
1122,2,EASTANOLLEE GA,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/walmart-giving/overview.html"">All Communities</a>"
1143,2,SANDERSVILLE GA,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/walmart-giving/overview.html"">All Communities</a>"
1153,2,MACON GA,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/walmart-giving/overview.html"">All Communities</a>"
1181,2,MARIETTA GA,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/walmart-giving/overview.html"">All Communities</a>"
1184,2,"STONE MOUNTAIN, GA","<a href=""https://one.walmart.com/content/uswire/en_us/work1/walmart-giving/overview.html"">All Communities</a>"
1227,2,"AUGUSTA (MARTINEZ), GA","<a href=""https://one.walmart.com/content/uswire/en_us/work1/walmart-giving/overview.html"">All Communities</a>"
1293,2,AUGUSTA GA,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/walmart-giving/overview.html"">All Communities</a>"
1314,2,BUFORD GA,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/walmart-giving/overview.html"">All Communities</a>"
1340,2,ATLANTA/DECATUR GA,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/walmart-giving/overview.html"">All Communities</a>"
1363,2,MADISON GA,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/walmart-giving/overview.html"">All Communities</a>"
1367,2,WARNER ROBINS GA,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/walmart-giving/overview.html"">All Communities</a>"
1373,2,LILBURN (DULUTH) GA,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/walmart-giving/overview.html"">All Communities</a>"
1400,2,ATHENS GA,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/walmart-giving/overview.html"">All Communities</a>"
1403,2,CORNELIA GA,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/walmart-giving/overview.html"">All Communities</a>"
1488,2,DOUGLASVILLE (SW) GA,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/walmart-giving/overview.html"">All Communities</a>"
1578,2,ROSWELL GA,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/walmart-giving/overview.html"">All Communities</a>"
1586,2,AUSTELL GA,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/walmart-giving/overview.html"">All Communities</a>"
1658,2,THOMSON GA,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/walmart-giving/overview.html"">All Communities</a>"
1701,2,ELBERTON GA,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/walmart-giving/overview.html"">All Communities</a>"
1720,2,SNELLVILLE GA,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/walmart-giving/overview.html"">All Communities</a>"
1766,2,MARIETTA GA,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/walmart-giving/overview.html"">All Communities</a>"
2154,2,"DULUTH, (NW), GA","<a href=""https://one.walmart.com/content/uswire/en_us/work1/walmart-giving/overview.html"">All Communities</a>"
2360,2,"ATLANTA (N), GA","<a href=""https://one.walmart.com/content/uswire/en_us/work1/walmart-giving/overview.html"">All Communities</a>"
2475,2,"CONYERS, GA","<a href=""https://one.walmart.com/content/uswire/en_us/work1/walmart-giving/overview.html"">All Communities</a>"
2513,2,"DAHLONEGA, GA","<a href=""https://one.walmart.com/content/uswire/en_us/work1/walmart-giving/overview.html"">All Communities</a>"
2584,2,"TUCKER, GA","<a href=""https://one.walmart.com/content/uswire/en_us/work1/walmart-giving/overview.html"">All Communities</a>"
2732,2,"VILLA RICA, GA","<a href=""https://one.walmart.com/content/uswire/en_us/work1/walmart-giving/overview.html"">All Communities</a>"
2733,2,"PERRY, GA","<a href=""https://one.walmart.com/content/uswire/en_us/work1/walmart-giving/overview.html"">All Communities</a>"
2753,2,"CLAYTON, GA","<a href=""https://one.walmart.com/content/uswire/en_us/work1/walmart-giving/overview.html"">All Communities</a>"
2754,2,"WAYNESBORO, GA","<a href=""https://one.walmart.com/content/uswire/en_us/work1/walmart-giving/overview.html"">All Communities</a>"
2811,2,"ATHENS, GA","<a href=""https://one.walmart.com/content/uswire/en_us/work1/walmart-giving/overview.html"">All Communities</a>"
2890,2,MACON (N) GA,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/walmart-giving/overview.html"">All Communities</a>"
2941,2,"ATLANTA, GA","<a href=""https://one.walmart.com/content/uswire/en_us/work1/walmart-giving/overview.html"">All Communities</a>"
3067,2,NORCROSS E GA,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/walmart-giving/overview.html"">All Communities</a>"
3118,2,DECATUR  GA,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/walmart-giving/overview.html"">All Communities</a>"
3188,2,Stone Mountain W GA,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/walmart-giving/overview.html"">All Communities</a>"
3201,2,"MCDONOUGH, GA","<a href=""https://one.walmart.com/content/uswire/en_us/work1/walmart-giving/overview.html"">All Communities</a>"
3205,2,"LITHIA SPRINGS, GA","<a href=""https://one.walmart.com/content/uswire/en_us/work1/walmart-giving/overview.html"">All Communities</a>"
3388,2,LAWRENCEVILLE (S) GA,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/walmart-giving/overview.html"">All Communities</a>"
3389,2,SNELLVILLE (S) GA,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/walmart-giving/overview.html"">All Communities</a>"
3401,2,COLLEGE PARK GA,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/walmart-giving/overview.html"">All Communities</a>"
3402,2,STOCKBRIDGE (S) GA,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/walmart-giving/overview.html"">All Communities</a>"
3403,2,"DALLAS, GA","<a href=""https://one.walmart.com/content/uswire/en_us/work1/walmart-giving/overview.html"">All Communities</a>"
3462,2,SUWANEE GA,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/walmart-giving/overview.html"">All Communities</a>"
3471,2,KENNESAW GA,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/walmart-giving/overview.html"">All Communities</a>"
3485,2,"BLAIRSVILLE, GA","<a href=""https://one.walmart.com/content/uswire/en_us/work1/walmart-giving/overview.html"">All Communities</a>"
3570,2,"EVANS, GA","<a href=""https://one.walmart.com/content/uswire/en_us/work1/walmart-giving/overview.html"">All Communities</a>"
3609,2,ELLENWOOD GA,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/walmart-giving/overview.html"">All Communities</a>"
3611,2,"MARIETTA, GA","<a href=""https://one.walmart.com/content/uswire/en_us/work1/walmart-giving/overview.html"">All Communities</a>"
3621,2,CHAMBLEE GA,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/walmart-giving/overview.html"">All Communities</a>"
3627,2,OAKWOOD GA,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/walmart-giving/overview.html"">All Communities</a>"
3709,2,"ATLANTA (GRESHAM), GA","<a href=""https://one.walmart.com/content/uswire/en_us/work1/walmart-giving/overview.html"">All Communities</a>"
3710,2,"DECATUR (W), GA","<a href=""https://one.walmart.com/content/uswire/en_us/work1/walmart-giving/overview.html"">All Communities</a>"
3741,2,"ATLANTA, GA","<a href=""https://one.walmart.com/content/uswire/en_us/work1/walmart-giving/overview.html"">All Communities</a>"
3748,2,ACWORTH(N) GA,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/walmart-giving/overview.html"">All Communities</a>"
3750,2,"WARNER ROBINS (S), GA","<a href=""https://one.walmart.com/content/uswire/en_us/work1/walmart-giving/overview.html"">All Communities</a>"
3786,2,"BUFORD (E), GA","<a href=""https://one.walmart.com/content/uswire/en_us/work1/walmart-giving/overview.html"">All Communities</a>"
3874,2,"DAWSONVILLE, GA","<a href=""https://one.walmart.com/content/uswire/en_us/work1/walmart-giving/overview.html"">All Communities</a>"
4144,2,Augusta Wrightsbro GA,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/walmart-giving/overview.html"">All Communities</a>"
4185,2,SUWANEE N GA,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/walmart-giving/overview.html"">All Communities</a>"
4409,2,"ROCKMART, GA","<a href=""https://one.walmart.com/content/uswire/en_us/work1/walmart-giving/overview.html"">All Communities</a>"
4436,2,"ALPHARETTA (NE), GA","<a href=""https://one.walmart.com/content/uswire/en_us/work1/walmart-giving/overview.html"">All Communities</a>"
4472,2,"LITHONIA (STONECRST), GA","<a href=""https://one.walmart.com/content/uswire/en_us/work1/walmart-giving/overview.html"">All Communities</a>"
4558,2,"COVINGTON (W), GA","<a href=""https://one.walmart.com/content/uswire/en_us/work1/walmart-giving/overview.html"">All Communities</a>"
4616,2,"CLEVELAND, GA","<a href=""https://one.walmart.com/content/uswire/en_us/work1/walmart-giving/overview.html"">All Communities</a>"
5252,2,LOGANVILLE GA,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/walmart-giving/overview.html"">All Communities</a>"
5275,2,WOODSTOCK (W) GA,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/walmart-giving/overview.html"">All Communities</a>"
5390,2,"MARIETTA (TRADE CTR), GA","<a href=""https://one.walmart.com/content/uswire/en_us/work1/walmart-giving/overview.html"">All Communities</a>"
5482,2,"EATONTON, GA","<a href=""https://one.walmart.com/content/uswire/en_us/work1/walmart-giving/overview.html"">All Communities</a>"
5709,2,"LOCUST GROVE, GA","<a href=""https://one.walmart.com/content/uswire/en_us/work1/walmart-giving/overview.html"">All Communities</a>"
5735,2,"GROVETOWN, GA","<a href=""https://one.walmart.com/content/uswire/en_us/work1/walmart-giving/overview.html"">All Communities</a>"
5786,2,"JASPER, GA","<a href=""https://one.walmart.com/content/uswire/en_us/work1/walmart-giving/overview.html"">All Communities</a>"
5812,2,BLUE RIDGE GA,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/walmart-giving/overview.html"">All Communities</a>"
5814,2,HOLLY SPRINGS GA,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/walmart-giving/overview.html"">All Communities</a>"
6998,2,EAST POINT GA,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/walmart-giving/overview.html"">All Communities</a>"
7185,2,COAL MOUNTAIN GA,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/walmart-giving/overview.html"">All Communities</a>"
7246,2,COCHRAN GA,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/walmart-giving/overview.html"">All Communities</a>"
110,3,WINTER GARDEN FL,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/walmart-giving/overview.html"">All Communities</a>"
538,3,GAINESVILLE FL,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/walmart-giving/overview.html"">All Communities</a>"
547,3,"PLANT CITY, FL","<a href=""https://one.walmart.com/content/uswire/en_us/work1/walmart-giving/overview.html"">All Communities</a>"
551,3,PALATKA FL,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/walmart-giving/overview.html"">All Communities</a>"
556,3,WAYCROSS GA,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/walmart-giving/overview.html"">All Communities</a>"
563,3,ORANGE CITY FL,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/walmart-giving/overview.html"">All Communities</a>"
579,3,ST AUGUSTINE FL,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/walmart-giving/overview.html"">All Communities</a>"
582,3,PORT ORANGE/DAYTONA BEACH,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/walmart-giving/overview.html"">All Communities</a>"
588,3,ALBANY GA,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/walmart-giving/overview.html"">All Communities</a>"
593,3,DOUGLAS GA,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/walmart-giving/overview.html"">All Communities</a>"
613,3,ORMOND BEACH FL,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/walmart-giving/overview.html"">All Communities</a>"
639,3,BRUNSWICK GA,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/walmart-giving/overview.html"">All Communities</a>"
686,3,FITZGERALD GA,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/walmart-giving/overview.html"">All Communities</a>"
697,3,OCALA FL,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/walmart-giving/overview.html"">All Communities</a>"
705,3,"MOUNT DORA, FL","<a href=""https://one.walmart.com/content/uswire/en_us/work1/walmart-giving/overview.html"">All Communities</a>"
706,3,ZEPHYRHILLS FL /UNATILLA,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/walmart-giving/overview.html"">All Communities</a>"
713,3,DADE CITY FL,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/walmart-giving/overview.html"">All Communities</a>"
718,3,AUBURNDALE FL,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/walmart-giving/overview.html"">All Communities</a>"
725,3,HAINES CITY FL,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/walmart-giving/overview.html"">All Communities</a>"
767,3,LAKE CITY FL,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/walmart-giving/overview.html"">All Communities</a>"
779,3,LAKELAND FL,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/walmart-giving/overview.html"">All Communities</a>"
800,3,LEESBURG FL,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/walmart-giving/overview.html"">All Communities</a>"
836,3,ST MARYS GA,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/walmart-giving/overview.html"">All Communities</a>"
843,3,CAMILLA GA,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/walmart-giving/overview.html"">All Communities</a>"
857,3,SANFORD FL,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/walmart-giving/overview.html"">All Communities</a>"
860,3,DELAND FL,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/walmart-giving/overview.html"">All Communities</a>"
862,3,HINESVILLE GA,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/walmart-giving/overview.html"">All Communities</a>"
864,3,VIDALIA GA,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/walmart-giving/overview.html"">All Communities</a>"
889,3,THOMASVILLE GA,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/walmart-giving/overview.html"">All Communities</a>"
899,3,VALDOSTA GA,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/walmart-giving/overview.html"">All Communities</a>"
925,3,SEFFNER FL /MANGO,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/walmart-giving/overview.html"">All Communities</a>"
928,3,JACKSONVILLE RACETRACK FL,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/walmart-giving/overview.html"">All Communities</a>"
942,3,OCOEE FL,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/walmart-giving/overview.html"">All Communities</a>"
952,3,MOULTRIE GA,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/walmart-giving/overview.html"">All Communities</a>"
959,3,BUSHNELL FL,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/walmart-giving/overview.html"">All Communities</a>"
960,3,DUNNELLON FL,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/walmart-giving/overview.html"">All Communities</a>"
967,3,SPRINGHILL / BROOKSVILLE,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/walmart-giving/overview.html"">All Communities</a>"
977,3,FERNANDINA BEACH FL,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/walmart-giving/overview.html"">All Communities</a>"
988,3,LAND O' LAKES FL,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/walmart-giving/overview.html"">All Communities</a>"
994,3,NEW PORT RICHNEY (ELFERS),"<a href=""https://one.walmart.com/content/uswire/en_us/work1/walmart-giving/overview.html"">All Communities</a>"
1006,3,CORDELE GA,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/walmart-giving/overview.html"">All Communities</a>"
1018,3,EASTMAN GA,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/walmart-giving/overview.html"">All Communities</a>"
1029,3,HOMOSASSA FL,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/walmart-giving/overview.html"">All Communities</a>"
1061,3,HAZELHURST GA,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/walmart-giving/overview.html"">All Communities</a>"
1072,3,TIFTON GA,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/walmart-giving/overview.html"">All Communities</a>"
1079,3,NEW SMYRNA BEACH FL,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/walmart-giving/overview.html"">All Communities</a>"
1081,3,GAINESVILLE FL,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/walmart-giving/overview.html"">All Communities</a>"
1082,3,JACKSONVILLE FL,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/walmart-giving/overview.html"">All Communities</a>"
1083,3,JACKSONVILLE FL,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/walmart-giving/overview.html"">All Communities</a>"
1090,3,JACKSONVILLE FL,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/walmart-giving/overview.html"">All Communities</a>"
1104,3,INVERNESS FL,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/walmart-giving/overview.html"">All Communities</a>"
1172,3,JACKSONVILLE BEACH FL,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/walmart-giving/overview.html"">All Communities</a>"
1173,3,JACKSONVILLE FL,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/walmart-giving/overview.html"">All Communities</a>"
1182,3,PALM COAST FL,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/walmart-giving/overview.html"">All Communities</a>"
1205,3,MACCLENNY FL,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/walmart-giving/overview.html"">All Communities</a>"
1213,3,"BROOKSVILLE, FL","<a href=""https://one.walmart.com/content/uswire/en_us/work1/walmart-giving/overview.html"">All Communities</a>"
1219,3,JACKSONVILLE FL,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/walmart-giving/overview.html"">All Communities</a>"
1225,3,ORANGE PARK FL,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/walmart-giving/overview.html"">All Communities</a>"
1245,3,LAKELAND(N) FL,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/walmart-giving/overview.html"">All Communities</a>"
1283,3,STARKE FL,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/walmart-giving/overview.html"">All Communities</a>"
1297,3,CHIEFLAND FL,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/walmart-giving/overview.html"">All Communities</a>"
1390,3,PINELLAS PARK FL,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/walmart-giving/overview.html"">All Communities</a>"
1444,3,JACKSONVILLE FL,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/walmart-giving/overview.html"">All Communities</a>"
1482,3,TAMPA (W)FL,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/walmart-giving/overview.html"">All Communities</a>"
1501,3,TAMPA (N) FL,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/walmart-giving/overview.html"">All Communities</a>"
1513,3,PALM HARBOR FL,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/walmart-giving/overview.html"">All Communities</a>"
1536,3,ST PETERSBURG FL,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/walmart-giving/overview.html"">All Communities</a>"
1712,3,LARGO FL,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/walmart-giving/overview.html"">All Communities</a>"
1847,3,OCALA FL,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/walmart-giving/overview.html"">All Communities</a>"
2081,3,"CLEARWATER, FL","<a href=""https://one.walmart.com/content/uswire/en_us/work1/walmart-giving/overview.html"">All Communities</a>"
2387,3,"BRANDON, (W) FL","<a href=""https://one.walmart.com/content/uswire/en_us/work1/walmart-giving/overview.html"">All Communities</a>"
2615,3,"VALDOSTA (N), GA","<a href=""https://one.walmart.com/content/uswire/en_us/work1/walmart-giving/overview.html"">All Communities</a>"
2626,3,"LIVE OAK, FL","<a href=""https://one.walmart.com/content/uswire/en_us/work1/walmart-giving/overview.html"">All Communities</a>"
2630,3,"JESUP, GA","<a href=""https://one.walmart.com/content/uswire/en_us/work1/walmart-giving/overview.html"">All Communities</a>"
2695,3,"CLERMONT, FL","<a href=""https://one.walmart.com/content/uswire/en_us/work1/walmart-giving/overview.html"">All Communities</a>"
2740,3,"TAMPA, FL","<a href=""https://one.walmart.com/content/uswire/en_us/work1/walmart-giving/overview.html"">All Communities</a>"
2796,3,"OLDSMAR, FL","<a href=""https://one.walmart.com/content/uswire/en_us/work1/walmart-giving/overview.html"">All Communities</a>"
2843,3,"SUMMERFIELD, FL","<a href=""https://one.walmart.com/content/uswire/en_us/work1/walmart-giving/overview.html"">All Communities</a>"
2920,3,"FLEMING ISLAND, FL","<a href=""https://one.walmart.com/content/uswire/en_us/work1/walmart-giving/overview.html"">All Communities</a>"
3197,3,Tampa Bearrs FL,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/walmart-giving/overview.html"">All Communities</a>"
3207,3,SANFORD (W) FL,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/walmart-giving/overview.html"">All Communities</a>"
3308,3,"MIDDLEBURG, FL","<a href=""https://one.walmart.com/content/uswire/en_us/work1/walmart-giving/overview.html"">All Communities</a>"
3309,3,"JACKSONVILLE(CLINTON), FL","<a href=""https://one.walmart.com/content/uswire/en_us/work1/walmart-giving/overview.html"">All Communities</a>"
3310,3,"DELTONA (HWIND/415), FL","<a href=""https://one.walmart.com/content/uswire/en_us/work1/walmart-giving/overview.html"">All Communities</a>"
3372,3,LARGO CROSSROAD FL,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/walmart-giving/overview.html"">All Communities</a>"
3415,3,"TARPON SPRINGS, FL","<a href=""https://one.walmart.com/content/uswire/en_us/work1/walmart-giving/overview.html"">All Communities</a>"
3418,3,"WESLEY CHAPEL, FL","<a href=""https://one.walmart.com/content/uswire/en_us/work1/walmart-giving/overview.html"">All Communities</a>"
3463,3,BRANDON FL,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/walmart-giving/overview.html"">All Communities</a>"
3526,3,BROOKSVILLE FL,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/walmart-giving/overview.html"">All Communities</a>"
3702,3,"JACKSONVILLE (N), FL","<a href=""https://one.walmart.com/content/uswire/en_us/work1/walmart-giving/overview.html"">All Communities</a>"
3877,3,"GAINSVILLE (WALDO), FL","<a href=""https://one.walmart.com/content/uswire/en_us/work1/walmart-giving/overview.html"">All Communities</a>"
4262,3,"THE VILLAGES (N), FL","<a href=""https://one.walmart.com/content/uswire/en_us/work1/walmart-giving/overview.html"">All Communities</a>"
4368,3,"OCALA (SE), FL","<a href=""https://one.walmart.com/content/uswire/en_us/work1/walmart-giving/overview.html"">All Communities</a>"
4444,3,"JACKSONVILLE (AVE), FL","<a href=""https://one.walmart.com/content/uswire/en_us/work1/walmart-giving/overview.html"">All Communities</a>"
4681,3,"TAMPA (GANDY), FL","<a href=""https://one.walmart.com/content/uswire/en_us/work1/walmart-giving/overview.html"">All Communities</a>"
4690,3,"ST. PETERSBURG (C), FL","<a href=""https://one.walmart.com/content/uswire/en_us/work1/walmart-giving/overview.html"">All Communities</a>"
5036,3,TAMPA (GUNN) FL,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/walmart-giving/overview.html"">All Communities</a>"
5037,3,YULEE FL,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/walmart-giving/overview.html"">All Communities</a>"
5054,3,"JACKSONVILLE (ATLAN), FL","<a href=""https://one.walmart.com/content/uswire/en_us/work1/walmart-giving/overview.html"">All Communities</a>"
5218,3,"ST. PETERSBURG, FL","<a href=""https://one.walmart.com/content/uswire/en_us/work1/walmart-giving/overview.html"">All Communities</a>"
5220,3,TAMPA (DM WATERS) FL,"<a href=""https://one.walmart.com/content/uswire/en_us/work1/walmart-giving/overview.html"">All Communities</a>"
