Store #,Format,City,State,Fuel Frequency,January Fuel,February Fuel,March Fuel,Service Provider,Phone Number
6444,SAMS,Evanston,IL,90,,,10,CLEAN EARTH,877-406-5295
6449,SAMS,Paducah,KY,180,,,,CLEAN EARTH,877-406-5295
6450,SAMS,Cincinnati,OH,90,,,17,CLEAN EARTH,877-406-5295
6453,SAMS,Austin,TX,90,,,17,CLEAN EARTH,877-406-5295
6457,SAMS,South Charleston,WV,90,,,24,CLEAN EARTH,877-406-5295
6459,NHM,Harker Heights,TX,90,,,31,CLEAN EARTH,877-406-5295
6464,SAMS,Des Plaines,IL,90,,,24,CLEAN EARTH,877-406-5295
6467,WM,TYLER,TX,90,,,10,CLEAN EARTH,877-406-5295
6471,SAMS,Victoria,TX,90,,,10,CLEAN EARTH,877-406-5295
6474,SAMS,Maplewood,MO,90,,,10,CLEAN EARTH,877-406-5295
6482,SAMS,Dallas,TX,90,,,17,CLEAN EARTH,877-406-5295
6487,SAMS,Addison,IL,90,,,10,CLEAN EARTH,877-406-5295
6489,SAMS,Calumet City,IL,60,,10,,CLEAN EARTH,877-406-5295
6501,SAMS,Murfreesboro,TN,90,,,17,CLEAN EARTH,877-406-5295
6502,SAMS,El Paso,TX,90,,,10,CLEAN EARTH,877-406-5295
6505,SAMS,Jefferson City,MO,90,,,24,CLEAN EARTH,877-406-5295
6507,SAMS,Jackson,TN,90,,,24,CLEAN EARTH,877-406-5295
6512,SAMS,Clarksville,TN,90,,,31,CLEAN EARTH,877-406-5295
6517,SAMS,Beavercreek,OH,90,,,31,CLEAN EARTH,877-406-5295
6521,SAMS,Houma,LA,90,,,24,CLEAN EARTH,877-406-5295
6527,SAMS,Baton Rouge,LA,90,,,10,CLEAN EARTH,877-406-5295
6528,SAMS,Cincinnati,OH,90,,,17,CLEAN EARTH,877-406-5295
6565,SAMS,Rapid City,SD,90,,,10,CLEAN EARTH,877-406-5295
6572,SAMS,Knoxville,TN,90,,,10,CLEAN EARTH,877-406-5295
6578,NHM,RICHLAND HILLS,TX,180,,,,CLEAN EARTH,877-406-5295
6579,SUP,New Caney,TX,90,,,24,CLEAN EARTH,877-406-5295
6583,NHM,Lake Charles,LA,90,,,31,CLEAN EARTH,877-406-5295
6779,SAMS,Moore,OK,90,,,24,CLEAN EARTH,877-406-5295
6781,SAMS,Keller,TX,180,,,,CLEAN EARTH,877-406-5295
6786,NHM,McAllen,TX,90,,,17,CLEAN EARTH,877-406-5295
6807,SUP,Memphis,TN,90,,,10,CLEAN EARTH,877-406-5295
6850,NHM,MISSION,TX,90,,,31,CLEAN EARTH,877-406-5295
6851,NHM,Sachse,TX,90,,,17,CLEAN EARTH,877-406-5295
6867,SAMS,Richmond,TX,90,,,10,CLEAN EARTH,877-406-5295
6898,SUP,Lubbock,TX,180,,,,CLEAN EARTH,877-406-5295
6929,SUP,Temple,TX,90,,,10,CLEAN EARTH,877-406-5295
6932,SUP,Shreveport,LA,180,,,,CLEAN EARTH,877-406-5295
6963,WM,Anna,TX,60,,17,,CLEAN EARTH,877-406-5295
6966,NHM,McKinney,TX,90,,,31,CLEAN EARTH,877-406-5295
7020,WM,La Vergne,TN,180,,,,CLEAN EARTH,877-406-5295
7156,WM,Hewitt,TX,180,,,,CLEAN EARTH,877-406-5295
7178,SUP,PRINCETON,TX,90,,,31,CLEAN EARTH,877-406-5295
7189,SAMS,Oklahoma City,OK,180,,,,CLEAN EARTH,877-406-5295
7199,WM,GREAT FALLS,MT,180,,,,CLEAN EARTH,877-406-5295
7224,NHM,LANCASTER,TX,90,,,10,CLEAN EARTH,877-406-5295
7232,NHM,DESOTO,TX,60,,3,,CLEAN EARTH,877-406-5295
7233,NHM,Baton Rouge,LA,90,,,10,CLEAN EARTH,877-406-5295
7240,NHM,Rowlett,TX,180,,,,CLEAN EARTH,877-406-5295
7241,NHM,Denham Springs,LA,90,,,24,CLEAN EARTH,877-406-5295
7251,NHM,Ft. Worth,TX,180,,,,CLEAN EARTH,877-406-5295
7262,NHM,Baton Rouge,LA,90,,,10,CLEAN EARTH,877-406-5295
7281,SUP,San Angelo,TX,90,,,17,CLEAN EARTH,877-406-5295
7294,SUP,Norman,OK,120,,,,CLEAN EARTH,877-406-5295
7308,NHM,Norman,OK,90,,,10,CLEAN EARTH,877-406-5295
7310,NHM,Katy,TX,180,,,,CLEAN EARTH,877-406-5295
7326,SUP,Oklahoma City,OK,90,,,24,CLEAN EARTH,877-406-5295
7347,NHM,Hurst,TX,180,,,,CLEAN EARTH,877-406-5295
7349,NHM,AMARILLO,TX,90,,,24,CLEAN EARTH,877-406-5295
7357,NHM,Cypress,TX,90,,,17,CLEAN EARTH,877-406-5295
7676,SAMS,Amarillo,TX,90,,,24,CLEAN EARTH,877-406-5295
8111,SAMS,Jeffersontown,KY,180,,,,CLEAN EARTH,877-406-5295
8112,SAMS,Chattanooga,TN,90,,,17,CLEAN EARTH,877-406-5295
8114,SAMS,Lafayette,LA,120,,,,CLEAN EARTH,877-406-5295
8117,SAMS,Oklahoma City,OK,180,,,,CLEAN EARTH,877-406-5295
8125,SAMS,Saint Louis,MO,90,,,10,CLEAN EARTH,877-406-5295
8126,SAMS,Brownsville,TX,90,,,17,CLEAN EARTH,877-406-5295
8133,SAM,Florence,KY,60,,10,,CLEAN EARTH,877-406-5295
8136,SAMS,Dayton,OH,90,,,31,CLEAN EARTH,877-406-5295
8139,SAMS,Holland,OH,90,,,10,CLEAN EARTH,877-406-5295
8152,SAMS,South Point,OH,90,,,17,CLEAN EARTH,877-406-5295
8153,SAMS,El Paso,TX,90,,,17,CLEAN EARTH,877-406-5295
8156,SAMS,Laredo,TX,90,,,10,CLEAN EARTH,877-406-5295
8165,SAMS,Sioux Falls,SD,90,,,17,CLEAN EARTH,877-406-5295
8172,SAMS,Fargo,ND,180,,,,CLEAN EARTH,877-406-5295
8176,SAMS,Topeka,KS,90,,,10,CLEAN EARTH,877-406-5295
8180,SAMS,Marion,IL,180,,,,CLEAN EARTH,877-406-5295
8181,SAMS,Alexandria,LA,90,,,17,CLEAN EARTH,877-406-5295
8182,SAMS,Saint Louis,MO,90,,,10,CLEAN EARTH,877-406-5295
8184,SAMS,Gurnee,IL,180,,,,CLEAN EARTH,877-406-5295
8188,SAMS,Lexington,KY,90,,,10,CLEAN EARTH,877-406-5295
8189,SAMS,Clarksburg,WV,90,,,10,CLEAN EARTH,877-406-5295
8190,SAMS,La Marque,TX,90,,,17,CLEAN EARTH,877-406-5295
8197,SAMS,Champaign,IL,90,,,10,CLEAN EARTH,877-406-5295
8205,SAMS,Saint Louis,MO,90,,,10,CLEAN EARTH,877-406-5295
8207,SAMS,Kansas City,MO,90,,,10,CLEAN EARTH,877-406-5295
8208,SAMS,Lenexa,KS,90,,,10,CLEAN EARTH,877-406-5295
8210,SAMS,Fort Worth,TX,180,,,,CLEAN EARTH,877-406-5295
8215,SAMS,Springfield,IL,90,,,24,CLEAN EARTH,877-406-5295
8221,SAMS,Harvey,LA,90,,,31,CLEAN EARTH,877-406-5295
8222,SAMS,Johnson City,TN,180,,,,CLEAN EARTH,877-406-5295
8224,SAMS,Wichita Falls,TX,180,,,,CLEAN EARTH,877-406-5295
8226,SAMS,Abilene,TX,180,,,,CLEAN EARTH,877-406-5295
8227,SAMS,San Antonio,TX,60,,3,,CLEAN EARTH,877-406-5295
8237,SAMS,Monroe,LA,90,,,17,CLEAN EARTH,877-406-5295
8239,SAMS,Lawton,OK,180,,,,CLEAN EARTH,877-406-5295
8241,SAMS,Midwest City,OK,90,,,24,CLEAN EARTH,877-406-5295
8242,SAMS,Dallas,TX,90,,,17,CLEAN EARTH,877-406-5295
8243,SAMS,Raymore,MO,180,,,,CLEAN EARTH,877-406-5295
8244,SAMS,Houston,TX,90,,,17,CLEAN EARTH,877-406-5295
8245,SAMS,Houston,TX,90,,,17,CLEAN EARTH,877-406-5295
8246,SAMS,Stafford,TX,90,,,10,CLEAN EARTH,877-406-5295
8248,SAMS,Dallas,TX,120,,,,CLEAN EARTH,877-406-5295
8250,SAMS,Mcallen,TX,90,,,17,CLEAN EARTH,877-406-5295
8251,SAMS,Saint Charles,MO,90,,,10,CLEAN EARTH,877-406-5295
8254,SAMS,Wichita,KS,90,,,17,CLEAN EARTH,877-406-5295
8256,SAMS,Knoxville,TN,90,,,10,CLEAN EARTH,877-406-5295
8257,SAMS,Hendersonville,TN,90,,,17,CLEAN EARTH,877-406-5295
8259,SAMS,Austin,TX,90,,,17,CLEAN EARTH,877-406-5295
8261,SAMS,Kenner,LA,90,,,31,CLEAN EARTH,877-406-5295
8262,SAMS,San Antonio,TX,90,,,17,CLEAN EARTH,877-406-5295
8263,SAMS,Tulsa,OK,90,,,17,CLEAN EARTH,877-406-5295
8264,SAMS,San Antonio,TX,90,,,24,CLEAN EARTH,877-406-5295
8265,SAMS,Lake Charles,LA,90,,,31,CLEAN EARTH,877-406-5295
