Store Nbr,Dept Subcategory Description,Week 34 Forecast,Week 35 Forecast,Week 36 Forecast,Week 37 Forecast,Week 38 Forecast,Week 39 Forecast,Week 40 Forecast,Week 41 Forecast,Week 42 Forecast,Week 43 Forecast,Week 44 Forecast,Week 45 Forecast,Week 46 Forecast,Week 47 Forecast,Week 48 Forecast,Week 49 Forecast,Week 50 Forecast,Week 51 Forecast,Week 52 Forecast,Week 01 Forecast
12,MOUNTAIN BIKES,3,3,3,3,2,2,2,2,2,2,3,3,4,4,6,2,1,1,1,1
12,MULTI USE BIKES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
13,12IN BIKES,2,2,2,2,2,2,2,3,3,3,6,7,10,10,13,2,1,1,1,1
13,16IN BIKES,2,2,2,2,2,2,2,3,3,5,5,8,9,9,9,2,1,1,1,2
13,18IN BIKES,2,2,2,2,2,2,2,1,1,2,2,4,7,9,7,2,1,1,1,1
13,20IN BIKES,5,5,5,5,4,4,5,5,6,8,11,17,23,25,23,5,3,3,3,3
13,BEACH CRUISERS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,MOUNTAIN BIKES,3,3,3,3,2,2,2,2,2,2,3,4,5,5,5,2,1,1,1,1
14,12IN BIKES,2,1,2,1,1,1,1,2,2,2,6,6,9,7,12,1,0,0,0,1
14,16IN BIKES,3,3,3,3,3,3,3,4,4,4,8,8,11,11,12,3,2,2,2,2
14,18IN BIKES,2,3,2,2,2,2,2,3,3,4,7,8,14,14,17,2,1,1,1,1
14,20IN BIKES,8,8,7,6,6,6,5,8,8,9,14,20,33,33,31,5,3,3,3,4
14,BEACH CRUISERS,1,1,1,1,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0
14,MOUNTAIN BIKES,2,2,2,2,1,1,1,1,1,1,2,2,3,4,4,1,1,1,1,1
14,MULTI USE BIKES,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
15,12IN BIKES,4,4,4,3,3,3,3,3,4,4,7,8,13,14,16,3,2,1,2,2
15,16IN BIKES,5,5,5,4,4,4,4,5,5,7,11,13,19,20,21,4,2,2,2,3
15,18IN BIKES,4,3,3,3,3,2,2,3,3,5,7,8,14,17,16,3,2,1,1,2
15,20IN BIKES,9,8,9,8,7,7,6,8,8,12,15,18,28,30,27,7,4,4,4,4
15,BEACH CRUISERS,1,1,1,1,0,0,0,0,0,0,0,1,1,3,1,0,0,0,0,0
15,MOUNTAIN BIKES,2,2,2,2,1,1,1,1,1,1,1,2,3,3,4,1,1,1,1,1
15,MULTI USE BIKES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,12IN BIKES,2,2,2,2,2,2,2,2,2,3,5,7,10,10,11,2,1,1,1,1
16,16IN BIKES,2,2,2,2,1,1,2,2,2,4,4,9,10,15,12,2,1,1,1,1
16,18IN BIKES,1,1,2,1,2,1,1,2,2,3,5,7,12,16,16,2,1,1,1,1
16,20IN BIKES,4,4,4,4,3,3,3,4,5,6,11,18,27,25,25,3,2,2,2,2
16,BEACH CRUISERS,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,0,0,0,0,0
16,MOUNTAIN BIKES,2,2,2,1,1,1,1,1,1,1,2,3,3,3,6,1,1,1,1,1
16,MULTI USE BIKES,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
17,12IN BIKES,2,2,2,2,2,1,2,3,3,3,7,9,11,12,15,2,1,1,1,1
17,16IN BIKES,2,2,3,3,2,2,2,3,3,4,9,10,11,15,12,3,1,1,1,2
17,18IN BIKES,3,3,2,2,2,2,2,4,3,5,4,7,9,23,12,3,2,1,1,2
17,20IN BIKES,7,6,7,7,5,6,6,7,7,9,14,22,33,33,35,7,4,3,4,4
17,BEACH CRUISERS,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
17,MOUNTAIN BIKES,3,2,3,2,2,2,2,2,2,2,3,5,5,5,7,2,1,1,1,1
18,12IN BIKES,1,1,1,1,1,1,1,1,1,1,4,4,7,8,7,1,0,0,0,1
18,16IN BIKES,1,1,1,1,1,1,1,2,2,3,5,9,10,14,11,1,1,0,0,1
18,18IN BIKES,1,1,1,1,1,1,1,1,1,2,4,6,11,12,14,1,1,1,1,1
18,20IN BIKES,3,3,3,3,3,3,3,4,4,5,9,15,21,24,22,3,2,1,1,2
18,BEACH CRUISERS,1,1,1,1,0,1,0,0,0,1,1,1,1,1,1,1,0,0,0,0
18,MOUNTAIN BIKES,1,1,1,1,1,1,1,1,1,1,1,2,2,4,3,1,0,0,0,1
18,MULTI USE BIKES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,12IN BIKES,4,4,4,4,4,3,3,5,6,6,13,13,17,13,20,3,2,2,2,2
19,16IN BIKES,4,3,3,3,2,2,3,4,4,5,10,12,20,19,23,2,1,1,1,1
19,18IN BIKES,5,5,5,4,4,4,4,4,5,6,11,13,24,24,28,4,2,2,2,3
19,20IN BIKES,10,9,9,8,7,7,7,9,10,12,19,24,40,39,38,8,4,4,4,5
19,BEACH CRUISERS,1,1,1,1,1,1,1,1,1,1,1,1,2,2,3,1,1,1,1,1
19,MOUNTAIN BIKES,4,4,4,3,3,3,2,3,3,3,3,5,6,6,7,3,2,2,2,2
19,MULTI USE BIKES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,12IN BIKES,1,1,2,1,1,1,1,2,2,2,4,5,6,7,8,1,1,1,1,1
20,16IN BIKES,2,2,2,2,1,1,1,2,2,2,6,7,9,9,10,1,1,1,1,1
20,18IN BIKES,1,1,1,1,1,1,1,1,1,1,2,3,5,6,5,1,0,0,0,0
20,20IN BIKES,4,4,4,4,3,3,3,4,4,4,9,11,17,20,15,3,2,2,2,2
20,BEACH CRUISERS,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
20,MOUNTAIN BIKES,2,2,2,2,1,1,1,1,1,1,1,2,3,4,3,1,1,1,1,1
21,12IN BIKES,3,3,3,3,3,3,3,3,4,4,7,8,11,9,12,2,2,1,1,2
21,16IN BIKES,4,4,4,3,3,3,3,4,3,4,8,9,16,14,16,3,2,2,2,2
21,18IN BIKES,4,4,4,4,3,3,3,3,4,5,8,9,17,16,19,4,2,2,2,2
21,20IN BIKES,7,7,7,6,5,5,5,8,8,8,15,20,30,29,28,5,3,3,3,3
21,BEACH CRUISERS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,0,0,1
21,ELECTRIC BIKES,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0
21,MOUNTAIN BIKES,4,3,3,3,2,2,2,2,2,2,3,4,4,4,5,2,2,1,1,2
21,MULTI USE BIKES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,12IN BIKES,2,2,2,1,1,1,1,3,3,3,5,11,8,10,12,2,1,1,1,1
22,16IN BIKES,3,3,3,3,3,2,3,4,5,6,7,13,14,13,16,3,2,2,2,2
22,18IN BIKES,3,2,3,2,2,2,2,2,3,3,5,7,14,16,15,3,1,1,1,2
22,20IN BIKES,7,7,7,7,5,5,5,6,7,8,13,18,30,31,28,7,4,3,4,4
22,BEACH CRUISERS,1,0,0,0,0,0,0,0,0,0,0,1,1,1,2,0,0,0,0,0
22,MOUNTAIN BIKES,2,2,2,2,2,1,1,2,2,2,2,2,3,4,4,1,1,1,1,1
22,MULTI USE BIKES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
23,12IN BIKES,2,2,2,2,2,2,2,4,4,4,11,18,28,27,39,2,1,1,1,1
23,16IN BIKES,2,3,2,2,2,2,3,3,4,4,11,19,30,37,41,2,1,1,1,1
23,18IN BIKES,1,1,1,1,1,1,1,1,1,2,4,6,12,17,23,1,1,0,0,1
23,20IN BIKES,5,5,5,5,4,4,5,6,6,9,15,25,39,35,36,4,3,2,2,2
23,BEACH CRUISERS,1,1,1,1,1,1,1,1,1,1,1,2,3,6,6,1,0,0,0,0
23,MOUNTAIN BIKES,5,4,5,4,3,3,3,3,3,3,6,9,9,12,15,3,2,2,2,2
23,MULTI USE BIKES,1,1,0,1,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0
24,12IN BIKES,3,3,3,3,3,3,3,4,4,6,10,13,18,21,23,2,1,1,1,2
24,16IN BIKES,3,3,3,3,3,3,4,5,5,6,11,18,26,20,28,4,2,1,2,2
24,18IN BIKES,2,2,2,2,2,2,1,2,2,3,3,5,9,9,10,2,1,1,1,1
24,20IN BIKES,5,5,5,5,4,4,5,6,6,8,15,24,36,38,37,5,3,2,2,3
24,BEACH CRUISERS,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,0,0,0,0,0
24,MOUNTAIN BIKES,2,2,2,2,1,1,1,2,1,2,2,3,4,6,6,1,1,1,1,1
24,MULTI USE BIKES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,12IN BIKES,2,1,1,1,1,1,1,2,2,3,3,5,8,11,10,1,1,0,1,1
25,16IN BIKES,2,2,2,2,2,2,2,3,3,4,3,6,8,7,10,2,1,1,1,1
25,18IN BIKES,1,1,1,1,1,1,1,1,1,2,2,3,5,7,5,1,1,1,1,1
25,20IN BIKES,6,6,6,5,4,4,4,5,6,6,8,11,17,19,19,5,3,3,3,3
25,BEACH CRUISERS,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
25,MOUNTAIN BIKES,1,1,2,1,1,1,1,1,1,1,1,1,2,2,2,1,1,0,1,1
26,12IN BIKES,4,3,3,3,3,3,3,4,4,5,4,6,8,10,8,3,2,2,2,3
26,16IN BIKES,2,2,2,2,1,1,1,2,2,3,5,6,7,11,9,2,1,1,1,1
26,18IN BIKES,3,3,3,3,2,2,2,2,2,3,5,4,8,13,10,2,2,2,1,2
26,20IN BIKES,11,10,10,9,8,7,7,8,8,10,14,16,21,28,25,8,5,4,4,5
26,BEACH CRUISERS,1,1,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0
26,MOUNTAIN BIKES,3,3,3,3,2,2,2,2,2,2,3,3,4,3,4,2,2,1,1,2
26,MULTI USE BIKES,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,12IN BIKES,1,1,1,1,1,1,1,2,2,2,3,4,4,5,5,1,1,1,1,1
27,16IN BIKES,1,1,1,1,1,1,1,2,2,2,2,3,3,4,3,1,1,1,1,1
27,18IN BIKES,1,1,1,1,1,1,1,1,1,1,2,2,4,3,4,1,0,0,0,0
27,20IN BIKES,3,3,3,3,3,3,3,3,3,4,6,8,12,12,12,3,2,2,2,2
27,BEACH CRUISERS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,MOUNTAIN BIKES,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1
28,12IN BIKES,2,2,2,2,2,2,2,2,2,2,4,6,11,13,15,2,1,1,1,1
28,16IN BIKES,2,2,2,2,2,2,2,3,3,3,7,10,14,13,18,2,1,1,1,1
28,18IN BIKES,1,1,1,1,1,1,1,1,1,1,2,2,4,6,4,1,1,0,0,1
28,20IN BIKES,4,5,5,4,4,4,3,4,5,6,10,14,22,25,26,4,3,2,2,3
28,BEACH CRUISERS,1,1,1,1,1,1,1,1,1,1,1,1,2,2,3,1,1,1,1,1
28,MOUNTAIN BIKES,2,2,3,2,2,2,1,2,2,2,3,3,3,4,5,2,1,1,1,1
28,MULTI USE BIKES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,12IN BIKES,3,3,3,2,2,2,2,4,4,5,7,8,11,10,14,2,1,1,1,2
29,16IN BIKES,2,2,2,2,1,2,2,3,3,3,8,8,12,13,15,1,1,1,1,1
29,18IN BIKES,4,3,4,3,3,3,3,4,4,6,8,9,16,19,18,3,2,2,1,2
29,20IN BIKES,7,7,7,6,5,5,5,7,8,9,14,18,26,25,26,5,3,3,3,3
29,BEACH CRUISERS,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0
29,MOUNTAIN BIKES,4,3,3,3,2,2,2,2,2,2,3,4,5,5,7,2,1,1,1,2
29,MULTI USE BIKES,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,0,0,0
30,12IN BIKES,3,2,2,2,2,2,2,2,3,3,5,7,10,11,12,2,1,1,1,1
30,16IN BIKES,2,2,2,2,2,2,2,2,2,3,5,7,11,14,12,1,1,1,1,1
30,18IN BIKES,1,1,1,0,0,0,0,0,0,0,1,1,3,4,5,0,0,0,0,0
30,20IN BIKES,4,4,4,3,3,3,3,3,3,3,8,10,16,15,16,3,1,1,1,2
30,BEACH CRUISERS,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,0,0,0,0
30,MOUNTAIN BIKES,1,1,1,1,1,1,1,1,1,1,1,2,2,3,3,1,0,0,0,1
31,12IN BIKES,2,2,2,2,2,2,2,3,3,3,5,7,10,9,11,2,1,1,1,1
31,16IN BIKES,3,3,3,3,3,2,3,4,4,5,8,11,15,12,17,3,2,1,1,2
31,18IN BIKES,3,2,3,2,2,2,2,3,3,4,7,8,16,19,20,3,1,1,1,1
31,20IN BIKES,6,6,6,5,5,4,4,6,7,8,13,17,28,39,36,6,3,3,3,3
31,BEACH CRUISERS,1,0,0,0,0,0,0,0,0,0,0,1,1,2,2,0,0,0,0,0
31,MOUNTAIN BIKES,2,2,3,2,2,2,1,2,1,2,3,3,4,4,5,2,1,1,1,1
31,MULTI USE BIKES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,12IN BIKES,0,0,0,0,0,0,0,1,1,1,3,2,2,1,2,0,0,0,0,0
32,16IN BIKES,0,0,0,0,0,0,0,1,1,1,2,2,3,5,4,0,0,0,0,0
32,18IN BIKES,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
32,20IN BIKES,1,1,1,1,1,1,1,1,1,1,4,4,6,7,5,1,1,1,0,1
32,BEACH CRUISERS,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
32,MOUNTAIN BIKES,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,0,0,0,1
33,18IN BIKES,2,2,2,2,1,1,2,2,2,3,4,8,11,10,16,2,1,1,1,1
33,20IN BIKES,2,2,2,2,2,2,2,3,3,4,7,12,17,17,14,2,1,1,1,1
33,BEACH CRUISERS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,MOUNTAIN BIKES,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,0,0,0,0,0
34,12IN BIKES,1,1,1,1,1,1,1,2,2,2,5,6,9,11,15,1,1,1,1,1
34,16IN BIKES,2,2,2,2,1,1,2,2,2,4,5,7,9,11,12,2,1,1,1,1
34,18IN BIKES,2,2,2,2,2,2,2,2,3,4,4,6,7,7,8,2,1,1,1,1
34,20IN BIKES,5,4,4,4,4,4,4,6,6,9,9,14,16,22,16,4,3,2,3,3
34,BEACH CRUISERS,1,1,1,0,0,0,0,0,0,1,1,1,1,1,2,1,0,0,0,0
34,MOUNTAIN BIKES,1,2,2,1,1,1,1,1,1,1,2,3,2,6,4,1,1,1,1,1
35,12IN BIKES,3,3,3,2,2,2,2,2,2,2,4,6,9,14,11,2,2,1,1,2
35,16IN BIKES,4,4,4,4,3,3,3,3,4,4,8,8,12,20,16,3,2,2,2,2
35,18IN BIKES,2,2,1,1,1,1,1,1,1,2,2,2,3,5,4,1,1,1,1,1
35,20IN BIKES,9,8,9,8,7,7,6,7,8,9,12,15,19,19,19,7,4,3,4,5
35,BEACH CRUISERS,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1
35,MOUNTAIN BIKES,4,4,4,4,3,3,2,3,3,3,4,4,5,4,6,3,2,2,2,3
36,12IN BIKES,4,4,4,4,4,4,4,6,7,9,9,12,18,15,20,4,2,2,2,3
36,16IN BIKES,4,4,4,4,4,4,5,6,7,8,11,19,29,20,21,4,3,2,2,3
36,18IN BIKES,3,3,3,3,3,3,3,4,4,8,8,13,24,22,22,4,2,1,1,2
36,20IN BIKES,6,6,6,6,5,5,5,7,7,9,12,24,42,29,27,6,3,3,3,3
36,BEACH CRUISERS,1,1,1,1,1,1,0,0,0,1,1,1,1,1,2,1,0,0,0,0
36,MOUNTAIN BIKES,4,4,4,4,3,3,2,3,3,3,4,5,8,7,7,3,2,2,2,2
36,MULTI USE BIKES,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0
37,12IN BIKES,3,3,3,3,3,2,2,3,3,3,7,8,10,8,15,2,2,1,1,2
37,16IN BIKES,3,2,2,2,2,2,2,3,3,3,7,7,10,15,13,2,1,1,1,1
37,18IN BIKES,4,4,4,3,3,3,3,3,4,5,6,7,11,12,15,4,2,2,2,2
37,20IN BIKES,7,7,7,6,5,5,5,7,8,9,16,17,25,25,22,5,3,3,3,4
37,BEACH CRUISERS,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
37,MOUNTAIN BIKES,3,3,3,3,2,2,2,2,2,2,3,4,4,4,6,2,2,1,1,2
37,MULTI USE BIKES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,12IN BIKES,2,2,2,2,2,2,2,3,3,4,3,9,9,9,10,2,2,1,1,2
38,16IN BIKES,2,2,2,2,2,2,2,3,3,4,6,8,10,12,14,2,1,1,1,1
38,18IN BIKES,1,1,1,1,1,1,1,1,1,2,3,4,7,7,10,1,1,1,0,1
38,20IN BIKES,4,3,4,3,3,3,3,4,5,5,9,11,19,21,18,3,2,2,2,2
38,BEACH CRUISERS,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
38,MOUNTAIN BIKES,1,1,1,1,1,1,1,1,1,1,1,2,2,3,2,1,1,1,1,1
38,MULTI USE BIKES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,12IN BIKES,1,1,1,1,1,1,1,1,1,1,2,2,4,3,4,1,0,0,0,0
39,16IN BIKES,1,1,1,1,1,1,1,2,2,2,4,6,6,10,12,1,1,1,1,1
39,18IN BIKES,1,1,1,1,0,1,1,1,1,1,1,2,3,4,4,1,0,0,0,0
39,20IN BIKES,3,3,3,3,3,3,3,4,5,6,7,10,17,15,17,4,2,2,2,2
39,BEACH CRUISERS,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
39,MOUNTAIN BIKES,2,1,2,1,1,1,1,1,1,1,2,2,2,2,2,1,1,1,1,1
39,MULTI USE BIKES,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
40,12IN BIKES,3,3,3,3,2,2,2,3,3,3,7,8,11,9,15,2,1,1,1,2
40,16IN BIKES,3,3,4,3,3,3,3,4,3,5,8,8,13,14,14,3,2,2,1,2
40,18IN BIKES,3,3,3,2,2,2,2,2,2,3,4,4,6,8,7,2,1,1,1,2
40,20IN BIKES,7,7,7,6,5,5,5,7,8,9,13,17,26,24,25,6,3,3,4,4
40,BEACH CRUISERS,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0
40,MOUNTAIN BIKES,3,3,3,3,2,2,2,2,2,2,3,4,4,4,5,2,2,1,1,2
40,MULTI USE BIKES,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
41,12IN BIKES,3,3,3,3,3,3,3,5,5,6,9,13,20,16,26,3,2,1,1,2
41,16IN BIKES,5,4,5,4,4,4,4,7,7,10,12,23,33,22,30,6,3,2,2,3
41,18IN BIKES,3,3,3,3,3,2,3,3,4,4,9,12,26,21,25,3,1,1,1,2
41,20IN BIKES,9,8,9,9,7,7,7,8,10,12,18,25,46,35,33,8,5,4,4,5
