Market,Store,LY Shrink %,FY23 Shrink Plan %
37,5087,-1.19%,-1.30%
37,5705,-0.89%,-1.04%
38,511,-2.22%,-2.41%
38,616,-2.68%,-2.67%
38,627,-0.92%,-1.05%
38,630,-2.74%,-2.55%
38,634,-1.59%,-1.75%
38,642,-1.50%,-1.55%
38,1017,-0.31%,-0.60%
38,1030,-2.00%,-2.23%
38,1135,-1.02%,-1.15%
38,2703,-1.77%,-1.99%
38,4457,-0.74%,-0.79%
38,7188,-1.62%,-1.80%
39,396,-1.05%,-1.17%
39,514,-2.03%,-2.10%
39,624,-1.91%,-2.10%
39,644,-1.67%,-1.93%
39,795,-1.65%,-1.69%
39,1130,-1.16%,-1.26%
39,1270,-2.53%,-2.53%
39,1382,-1.67%,-1.90%
39,4487,-1.73%,-1.79%
39,6576,-1.36%,-1.40%
39,6887,-1.14%,-1.42%
41,881,-2.01%,-2.09%
41,1164,-2.20%,-2.47%
41,1183,-2.13%,-2.18%
41,1286,-3.27%,-2.95%
41,1339,-2.14%,-2.43%
41,2214,-4.00%,-3.50%
41,4420,-1.14%,-1.21%
41,4440,-1.06%,-1.11%
41,4506,-2.71%,-2.60%
41,4521,-2.55%,-2.56%
42,585,-2.38%,-2.70%
42,629,-0.33%,-0.70%
42,638,-1.52%,-1.65%
42,1035,-2.76%,-2.79%
42,1144,-0.67%,-0.86%
42,1281,-1.95%,-1.99%
42,1603,-0.71%,-0.75%
42,2806,-2.61%,-2.43%
42,3733,-1.93%,-2.19%
42,4237,-1.76%,-2.07%
42,4593,-1.73%,-1.94%
44,284,-1.64%,-2.07%
44,1455,-2.87%,-2.75%
44,1801,-1.72%,-2.13%
44,2978,-1.73%,-2.00%
44,3284,-1.99%,-2.22%
44,3285,-1.95%,-2.22%
44,3631,-1.39%,-1.93%
44,4279,-2.15%,-2.28%
44,5147,-2.88%,-2.82%
45,251,-1.21%,-1.55%
45,265,-1.64%,-1.85%
45,412,-2.17%,-2.29%
45,516,-2.36%,-2.36%
45,827,-1.05%,-1.44%
45,1022,-2.21%,-2.45%
45,1044,-1.11%,-1.38%
45,2688,-1.95%,-2.16%
45,3764,-1.31%,-1.49%
45,6467,-1.67%,-1.79%
46,146,-1.24%,-1.40%
46,165,-1.06%,-1.14%
46,180,-0.99%,-1.16%
46,345,-0.50%,-0.70%
46,398,-1.62%,-1.92%
46,399,-1.35%,-1.45%
46,523,-1.16%,-1.32%
46,572,-0.88%,-1.02%
46,918,-1.21%,-1.29%
46,3828,-1.51%,-1.64%
47,38,-1.86%,-1.86%
47,49,-1.05%,-1.10%
47,117,-1.24%,-1.33%
47,131,-1.21%,-1.43%
47,148,-1.72%,-1.96%
47,181,-0.59%,-0.74%
47,226,-0.63%,-0.81%
47,240,-1.47%,-1.65%
47,417,-1.30%,-1.60%
47,427,-1.96%,-2.07%
47,468,-1.27%,-1.64%
47,2123,-2.14%,-2.10%
48,220,-0.94%,-1.20%
48,228,-1.39%,-1.65%
48,353,-1.74%,-1.90%
48,371,-0.79%,-1.05%
48,590,-2.22%,-2.45%
48,804,-1.08%,-1.43%
48,963,-1.16%,-1.29%
48,3431,-1.28%,-1.62%
48,4509,-2.00%,-2.11%
48,5359,-1.81%,-1.81%
49,471,-2.64%,-2.83%
49,896,-1.61%,-1.95%
49,3014,-3.87%,-3.50%
49,3432,-2.36%,-2.46%
49,3433,-0.96%,-1.15%
49,4503,-2.37%,-2.70%
49,5288,-1.36%,-1.63%
49,5810,-2.84%,-2.91%
50,266,-1.10%,-1.46%
50,807,-2.25%,-2.55%
50,880,-2.55%,-2.81%
50,1178,-1.59%,-1.89%
50,2834,-1.24%,-1.62%
50,2980,-2.65%,-2.67%
50,3044,-2.86%,-2.69%
50,3274,-1.28%,-1.54%
50,5080,-1.66%,-1.96%
50,5416,-2.54%,-2.54%
51,202,-2.73%,-2.77%
51,1117,-1.21%,-1.52%
51,2918,-1.90%,-2.12%
51,2973,-1.36%,-1.40%
51,3406,-2.75%,-2.78%
51,3482,-1.71%,-2.04%
51,5210,-1.00%,-1.35%
51,5672,-1.40%,-1.62%
51,5673,-1.11%,-1.27%
52,206,-1.95%,-2.30%
52,467,-2.49%,-2.62%
52,2427,-1.78%,-2.25%
52,3286,-2.18%,-2.44%
52,4627,-2.45%,-2.49%
52,5211,-0.90%,-1.30%
52,5311,-1.67%,-1.74%
52,5707,-1.64%,-1.77%
52,6963,-1.00%,-1.31%
53,217,-2.73%,-2.92%
53,426,-2.51%,-2.51%
53,1216,-2.81%,-2.92%
53,2105,-3.43%,-3.50%
53,2463,-2.50%,-2.86%
53,2996,-2.13%,-2.61%
53,4240,-1.54%,-1.89%
53,5092,-2.07%,-2.25%
53,5889,-4.16%,-3.66%
55,260,-2.25%,-2.67%
55,286,-2.05%,-2.11%
55,565,-2.57%,-2.39%
55,1118,-3.48%,-3.55%
55,2667,-3.97%,-3.60%
55,4164,-1.79%,-2.05%
55,4215,-1.66%,-1.72%
55,5191,-1.24%,-1.61%
56,2086,-2.89%,-3.00%
56,2883,-1.53%,-1.79%
56,2926,-1.64%,-1.96%
56,3777,-2.88%,-3.03%
56,5866,-2.58%,-2.58%
56,6300,-0.87%,-1.19%
56,7178,-1.54%,-1.98%
58,2397,-1.19%,-1.22%
58,2977,-1.26%,-1.29%
58,2979,-1.30%,-1.51%
58,2981,-0.64%,-1.46%
58,3043,-0.91%,-1.19%
58,3135,-1.48%,-1.79%
58,3392,-1.47%,-2.00%
58,3419,-2.53%,-2.50%
58,3594,-1.17%,-1.38%
58,3653,-1.06%,-1.08%
58,3870,-1.16%,-1.37%
58,5613,-1.55%,-1.76%
58,5614,-0.74%,-1.02%
58,5715,-0.94%,-1.72%
58,6578,-1.46%,-1.74%
58,7251,-1.34%,-1.37%
58,7347,-1.26%,-1.29%
59,297,-1.21%,-1.29%
59,744,-1.08%,-1.29%
59,849,-1.90%,-1.97%
59,1103,-1.61%,-1.84%
59,1279,-1.71%,-1.94%
59,1837,-1.06%,-1.30%
59,4298,-1.03%,-1.13%
59,6579,-1.22%,-1.28%
60,194,-1.97%,-2.19%
60,522,-2.46%,-2.51%
60,1137,-2.25%,-2.41%
60,1186,-1.60%,-1.79%
60,2439,-2.52%,-2.52%
60,3298,-1.26%,-1.45%
60,3500,-1.75%,-1.83%
60,5116,-1.39%,-1.72%
61,462,-1.18%,-1.41%
61,482,-0.60%,-0.65%
61,504,-1.91%,-2.11%
61,527,-0.92%,-1.01%
61,529,-1.28%,-1.45%
61,808,-1.32%,-1.40%
61,1405,-1.45%,-1.53%
61,5388,-1.33%,-1.40%
62,546,-1.02%,-1.12%
62,872,-2.42%,-2.62%
62,915,-2.17%,-2.44%
62,2505,-2.34%,-2.39%
62,2993,-1.95%,-2.16%
62,3510,-1.27%,-1.65%
62,3572,-2.46%,-2.71%
62,5449,-2.80%,-2.81%
63,752,-1.35%,-1.47%
63,1062,-2.03%,-2.24%
63,2724,-2.05%,-2.12%
63,3425,-3.16%,-2.60%
63,4526,-2.63%,-2.55%
63,5612,-1.99%,-2.30%
63,5959,-1.83%,-1.96%
64,772,-2.41%,-2.49%
64,2066,-2.77%,-2.77%
64,2718,-1.92%,-2.21%
64,3296,-2.10%,-2.15%
64,3302,-1.59%,-1.86%
64,3584,-1.48%,-1.58%
64,3827,-1.28%,-1.35%
65,344,-2.02%,-2.09%
65,768,-1.88%,-1.98%
65,1040,-2.27%,-2.64%
65,1409,-2.95%,-2.80%
65,3226,-1.67%,-2.13%
65,3640,-2.51%,-2.53%
65,4111,-1.62%,-1.68%
65,4512,-2.29%,-2.37%
65,5246,-1.65%,-1.70%
66,283,-1.01%,-1.16%
66,331,-1.29%,-1.45%
66,383,-1.04%,-1.11%
66,384,-0.89%,-1.06%
66,408,-1.71%,-1.95%
66,449,-2.21%,-2.46%
66,457,-1.39%,-1.58%
66,469,-2.22%,-2.38%
66,521,-1.06%,-1.55%
66,651,-1.69%,-1.78%
66,777,-1.26%,-1.40%
66,1204,-1.75%,-1.86%
67,703,-0.85%,-0.99%
67,2257,-2.83%,-2.84%
67,3297,-2.16%,-2.38%
67,4416,-1.88%,-2.05%
67,4538,-2.92%,-2.93%
67,5045,-1.43%,-1.80%
67,5091,-1.92%,-1.99%
68,351,-0.49%,-0.70%
68,400,0.05%,-0.70%
68,602,-1.48%,-1.57%
68,3213,-1.05%,-1.19%
68,3390,-0.52%,-0.70%
68,3585,-0.83%,-1.03%
68,3591,-0.54%,-0.70%
68,5287,-1.13%,-1.32%
70,600,-1.25%,-1.33%
70,755,-1.58%,-1.84%
70,793,-1.08%,-1.18%
70,812,-0.65%,-0.77%
70,822,-1.24%,-1.53%
70,900,-1.13%,-1.20%
70,1516,-1.69%,-1.76%
70,3383,-2.67%,-2.48%
70,3384,-0.75%,-0.86%
70,5216,-2.33%,-2.39%
71,549,-1.40%,-1.63%
71,821,-1.41%,-1.66%
71,861,-1.84%,-2.08%
71,927,-1.93%,-1.99%
71,945,-1.34%,-1.66%
71,1051,-1.00%,-1.17%
71,2653,-1.33%,-1.41%
71,3826,-2.69%,-2.69%
71,4299,-1.60%,-1.92%
71,6898,-1.78%,-2.07%
73,513,-0.90%,-1.09%
73,537,-1.31%,-1.66%
73,608,-1.89%,-2.10%
73,626,-0.34%,-0.70%
73,897,-1.65%,-1.81%
73,898,-0.31%,-0.70%
73,2891,-1.55%,-1.75%
73,3645,-2.39%,-2.56%
74,438,-0.67%,-0.78%
74,535,-1.60%,-1.89%
74,536,-1.46%,-1.63%
74,601,-1.12%,-1.23%
74,1078,0.12%,-0.70%
74,1249,-1.35%,-1.58%
74,1257,-0.47%,-0.70%
74,1272,-0.64%,-0.82%
74,3381,-0.89%,-0.98%
74,7281,-1.55%,-1.73%
76,211,-0.99%,-1.19%
76,248,-0.99%,-1.08%
76,320,-0.01%,-0.70%
76,561,-0.58%,-0.73%
76,610,-1.63%,-1.70%
76,746,-1.29%,-1.46%
76,939,-1.36%,-1.53%
76,1254,-1.11%,-1.21%
76,5389,-0.10%,-0.70%
76,6929,-0.57%,-0.73%
76,7156,-1.23%,-1.23%
77,290,-0.78%,-1.10%
77,465,-0.70%,-0.85%
77,478,0.02%,-0.70%
77,757,-0.83%,-1.03%
77,901,-1.31%,-1.67%
77,1313,-2.22%,-2.30%
77,3112,-1.93%,-1.97%
77,3279,-2.33%,-2.43%
77,4103,-0.59%,-0.74%
77,5144,-1.00%,-1.13%
77,5245,-2.02%,-2.23%
78,440,-1.22%,-1.38%
78,442,-0.68%,-0.82%
78,458,-2.11%,-2.20%
78,464,-1.39%,-1.58%
78,470,-1.83%,-2.09%
78,490,-1.50%,-1.70%
78,791,-0.59%,-0.71%
78,1494,-2.36%,-2.53%
78,5460,-1.85%,-1.95%
78,5898,-1.59%,-1.77%
80,395,-1.28%,-1.37%
80,397,-1.05%,-1.05%
80,429,-0.94%,-1.15%
80,452,-0.74%,-1.23%
80,1958,-0.25%,-0.70%
80,3320,-0.63%,-0.77%
80,3567,-0.56%,-0.72%
80,3886,-0.94%,-1.14%
80,4508,-1.14%,-1.20%
80,5165,-0.70%,-0.85%
80,5809,-1.27%,-1.46%
81,381,-1.01%,-1.17%
81,407,-1.59%,-1.79%
81,476,-0.61%,-0.77%
81,781,-0.91%,-1.24%
81,813,-0.65%,-0.81%
81,917,-0.57%,-0.72%
81,1073,-1.05%,-1.17%
81,1232,-0.46%,-0.70%
81,1303,-1.19%,-1.58%
81,3319,-1.10%,-1.28%
81,6286,-1.62%,-1.83%
82,1129,-1.43%,-1.89%
82,1253,-3.40%,-2.99%
82,2133,-1.59%,-1.68%
82,2991,-1.54%,-1.74%
82,4130,-1.23%,-1.48%
82,4163,-0.76%,-1.11%
82,4219,-0.69%,-1.07%
82,4554,-2.16%,-2.53%
82,5317,-3.03%,-2.65%
83,77,-1.15%,-1.39%
83,280,-1.37%,-1.58%
83,475,-1.98%,-2.40%
83,1185,-2.58%,-2.72%
83,3169,-1.93%,-2.19%
83,3170,-1.73%,-1.97%
83,3569,-2.73%,-2.71%
83,5479,-1.09%,-1.58%
83,5480,-1.38%,-1.48%
84,330,-1.21%,-1.35%
84,385,-0.57%,-0.77%
84,437,-0.99%,-1.07%
84,463,-0.63%,-0.72%
84,503,0.09%,-0.70%
84,524,-0.54%,-0.70%
84,1067,0.00%,-0.70%
84,1098,-1.27%,-1.40%
84,4194,-1.97%,-2.13%
85,293,-0.10%,-0.65%
85,321,-1.12%,-1.23%
85,322,-1.25%,-1.40%
85,446,0.01%,-0.65%
85,473,-0.15%,-0.65%
85,567,-0.10%,-0.65%
85,846,-1.48%,-1.66%
85,951,-0.83%,-0.92%
85,1042,-1.72%,-2.13%
85,1150,-1.62%,-1.78%
85,4183,-1.31%,-1.50%
86,999,-1.15%,-1.26%
86,1235,-1.28%,-1.36%
86,2239,-1.22%,-1.47%
86,2599,-1.13%,-1.21%
86,3058,-0.55%,-0.70%
86,3106,-1.63%,-1.85%
86,3888,-1.06%,-1.30%
86,4102,-0.39%,-0.69%
86,5145,-2.01%,-2.07%
87,292,-1.23%,-1.32%
87,404,-2.44%,-2.73%
87,765,-0.99%,-1.18%
87,865,-1.67%,-1.78%
87,1347,-1.24%,-1.43%
87,1803,-1.98%,-2.19%
87,2404,-1.03%,-1.14%
87,2769,-1.59%,-1.69%
87,3391,-0.09%,-0.70%
87,4055,-1.68%,-1.89%
87,4115,-0.47%,-0.70%
88,443,-0.97%,-1.15%
88,447,-0.66%,-0.78%
88,461,-0.74%,-0.90%
88,554,-1.17%,-1.24%
88,782,-0.79%,-0.99%
88,1046,0.12%,-0.70%
88,3518,-1.02%,-1.23%
88,3623,-1.42%,-1.65%
88,5713,-0.82%,-1.01%
89,110,-2.00%,-2.33%
89,705,-2.13%,-2.49%
89,800,-2.74%,-2.82%
89,942,-2.85%,-2.22%
89,959,-0.89%,-1.23%
89,2695,-1.92%,-2.16%
89,2843,-1.50%,-1.87%
89,4262,-1.10%,-1.55%
89,5299,-1.87%,-2.27%
90,817,-2.09%,-2.52%
90,908,-2.06%,-2.51%
90,1086,-1.91%,-2.30%
90,1220,-1.06%,-1.51%
90,2881,-1.44%,-1.83%
90,4332,-2.03%,-2.31%
90,4365,-1.46%,-1.71%
90,5214,-1.59%,-1.93%
90,5250,-1.53%,-1.94%
90,5420,-1.77%,-2.22%
91,890,-2.73%,-2.71%
91,943,-1.76%,-2.06%
91,955,-2.79%,-2.97%
91,1084,-1.37%,-1.41%
91,1374,-1.46%,-1.71%
91,3782,-2.59%,-2.77%
91,4588,-1.04%,-1.40%
91,5871,-2.55%,-2.77%
91,5894,-0.33%,-0.75%
92,174,-2.18%,-2.30%
92,649,-1.27%,-1.43%
92,771,-2.16%,-2.25%
92,931,-1.45%,-1.65%
92,956,-0.48%,-0.70%
92,973,-1.89%,-2.07%
92,974,-2.55%,-2.60%
92,1068,-0.92%,-1.00%
92,1702,-1.56%,-1.74%
92,3538,-1.83%,-2.04%
92,5455,-1.67%,-1.85%
93,538,-1.30%,-1.66%
93,551,-1.25%,-1.58%
93,697,-1.28%,-1.75%
93,960,-0.87%,-0.95%
93,1081,-1.73%,-1.84%
93,1283,-1.37%,-1.69%
93,1297,-1.76%,-1.95%
93,1847,-1.23%,-1.64%
93,3877,-1.94%,-2.15%
93,4368,-0.97%,-1.15%
93,5326,-1.08%,-1.43%
94,563,-2.23%,-2.25%
94,579,-1.55%,-1.85%
94,582,-1.78%,-1.99%
94,613,-2.41%,-2.50%
94,857,-1.77%,-2.21%
94,860,-2.55%,-2.42%
94,1079,-1.10%,-1.27%
94,1182,-0.87%,-1.05%
94,1391,-2.89%,-2.65%
94,3207,-1.23%,-1.60%
94,3310,-0.83%,-0.94%
96,2499,-0.80%,-0.83%
96,3162,-1.67%,-1.75%
96,4142,-1.99%,-2.02%
96,4160,-2.04%,-2.10%
96,4197,-1.43%,-1.55%
96,4211,-2.40%,-2.60%
96,4425,-1.74%,-1.71%
96,5106,-1.18%,-1.39%
96,5132,-0.68%,-0.71%
96,5179,-1.22%,-1.43%
96,5365,-0.88%,-0.91%
96,5366,-1.68%,-1.71%
96,6894,-0.96%,-1.21%
97,488,-0.70%,-0.94%
97,858,-1.13%,-1.21%
97,1077,-2.75%,-2.50%
97,1223,-1.31%,-1.51%
97,1375,-2.05%,-2.18%
97,1408,-2.78%,-2.80%
97,3307,-0.88%,-1.07%
97,4427,-1.55%,-1.75%
97,4520,-1.71%,-1.95%
97,5172,-0.35%,-0.70%
97,5422,-1.78%,-1.94%
98,928,-1.55%,-1.60%
98,977,0.09%,-0.70%
98,1082,-1.44%,-1.73%
98,1172,-1.56%,-1.99%
98,1173,-1.68%,-1.93%
98,1444,-2.10%,-2.37%
98,3309,-2.34%,-2.60%
98,3702,-2.30%,-2.67%
98,4444,-1.42%,-1.56%
98,5037,-0.32%,-0.70%
98,5054,-1.49%,-1.82%
101,767,-1.14%,-1.50%
101,1083,-1.32%,-1.85%
101,1090,-0.41%,-1.25%
101,1205,-0.69%,-1.15%
101,1219,-2.63%,-2.60%
101,1225,-0.62%,-0.75%
101,2626,-0.97%,-1.22%
101,2920,-0.86%,-1.30%
101,3308,-0.71%,-1.08%
101,6978,-1.57%,-2.00%
102,2392,-1.53%,-1.56%
