Region,Market,Store Nbr,Tier,Details
40,335,95,Tier 2,GM Pause
40,361,96,Tier 1,ISA On in Total Store
41,146,97,Tier 1,ISA On in Total Store
42,135,98,Tier 1,ISA On in Total Store
40,336,99,Tier 1,ISA On in Total Store
42,323,100,Tier 2,GM Pause
40,336,101,Tier 2,GM Pause
42,327,102,Tier 1,ISA On in Total Store
44,351,103,Tier 1,ISA On in Total Store
41,146,104,Tier 2,GM Pause
12,4,105,Tier 2,GM Pause
41,146,106,Tier 2,GM Pause
41,146,107,Tier 1,ISA On in Total Store
44,344,108,Tier 2,GM Pause
40,360,109,Tier 3,Total Store ISA Pause
9,89,110,Tier 2,GM Pause
44,410,111,Tier 1,ISA On in Total Store
14,138,112,Tier 2,GM Pause
44,349,113,Tier 2,GM Pause
12,4,114,Tier 2,GM Pause
14,138,115,Tier 2,GM Pause
42,127,116,Tier 1,ISA On in Total Store
44,47,117,Tier 2,GM Pause
12,4,118,Tier 3,Total Store ISA Pause
42,328,119,Tier 2,GM Pause
41,146,120,Tier 2,GM Pause
44,351,121,Tier 3,Total Store ISA Pause
40,335,122,Tier 1,ISA On in Total Store
44,351,123,Tier 3,Total Store ISA Pause
42,324,124,Tier 2,GM Pause
42,321,125,Tier 2,GM Pause
42,324,126,Tier 1,ISA On in Total Store
42,325,127,Tier 1,ISA On in Total Store
12,329,128,Tier 2,GM Pause
44,350,129,Tier 1,ISA On in Total Store
44,347,130,Tier 2,GM Pause
44,47,131,Tier 2,GM Pause
44,344,132,Tier 1,ISA On in Total Store
42,325,133,Tier 2,GM Pause
44,344,134,Tier 2,GM Pause
40,360,135,Tier 2,GM Pause
44,345,136,Tier 1,ISA On in Total Store
44,352,137,Tier 2,GM Pause
40,357,138,Tier 2,GM Pause
44,353,139,Tier 1,ISA On in Total Store
6,503,140,Tier 1,ISA On in Total Store
42,321,141,Tier 1,ISA On in Total Store
41,253,143,Tier 2,GM Pause
42,322,144,Tier 2,GM Pause
40,339,145,Tier 2,GM Pause
5,46,146,Tier 1,ISA On in Total Store
44,350,147,Tier 1,ISA On in Total Store
44,47,148,Tier 2,GM Pause
42,135,149,Tier 1,ISA On in Total Store
44,344,150,Tier 2,GM Pause
44,351,151,Tier 2,GM Pause
40,335,152,Tier 1,ISA On in Total Store
12,4,153,Tier 1,ISA On in Total Store
20,311,154,Tier 1,ISA On in Total Store
12,136,155,Tier 2,GM Pause
42,328,157,Tier 2,GM Pause
44,350,158,Tier 1,ISA On in Total Store
40,359,159,Tier 2,GM Pause
42,328,160,Tier 2,GM Pause
12,147,161,Tier 2,GM Pause
44,349,162,Tier 2,GM Pause
6,503,163,Tier 1,ISA On in Total Store
12,4,164,Tier 2,GM Pause
5,46,165,Tier 3,Total Store ISA Pause
40,357,166,Tier 2,GM Pause
42,327,167,Tier 2,GM Pause
44,345,168,Tier 2,GM Pause
42,326,169,Tier 1,ISA On in Total Store
13,134,170,Tier 1,ISA On in Total Store
42,327,171,Tier 2,GM Pause
40,336,172,Tier 2,GM Pause
40,357,173,Tier 1,ISA On in Total Store
9,92,174,Tier 2,GM Pause
12,144,175,Tier 1,ISA On in Total Store
12,4,176,Tier 1,ISA On in Total Store
41,146,177,Tier 2,GM Pause
44,344,178,Tier 2,GM Pause
40,357,179,Tier 1,ISA On in Total Store
5,46,180,Tier 2,GM Pause
44,47,181,Tier 1,ISA On in Total Store
12,136,182,Tier 2,GM Pause
14,138,183,Tier 2,GM Pause
40,361,184,Tier 1,ISA On in Total Store
44,350,185,Tier 1,ISA On in Total Store
44,409,186,Tier 2,GM Pause
40,335,188,Tier 2,GM Pause
40,359,189,Tier 3,Total Store ISA Pause
12,329,190,Tier 2,GM Pause
12,147,192,Tier 2,GM Pause
6,60,194,Tier 2,GM Pause
40,360,195,Tier 2,GM Pause
25,271,196,Tier 1,ISA On in Total Store
25,278,197,Tier 2,GM Pause
25,272,198,Tier 2,GM Pause
25,278,199,Tier 1,ISA On in Total Store
25,275,200,Tier 1,ISA On in Total Store
25,341,201,Tier 2,GM Pause
5,51,202,Tier 3,Total Store ISA Pause
40,359,203,Tier 1,ISA On in Total Store
41,253,204,Tier 2,GM Pause
14,138,205,Tier 1,ISA On in Total Store
5,52,206,Tier 1,ISA On in Total Store
44,345,207,Tier 2,GM Pause
42,321,209,Tier 2,GM Pause
44,351,210,Tier 2,GM Pause
5,76,211,Tier 2,GM Pause
44,353,212,Tier 2,GM Pause
25,272,213,Tier 1,ISA On in Total Store
6,503,214,Tier 2,GM Pause
25,271,216,Tier 2,GM Pause
5,53,217,Tier 2,GM Pause
12,147,218,Tier 2,GM Pause
40,359,219,Tier 2,GM Pause
5,48,220,Tier 3,Total Store ISA Pause
44,344,221,Tier 2,GM Pause
25,271,222,Tier 1,ISA On in Total Store
25,272,224,Tier 2,GM Pause
44,350,225,Tier 3,Total Store ISA Pause
44,47,226,Tier 1,ISA On in Total Store
44,344,227,Tier 1,ISA On in Total Store
5,48,228,Tier 2,GM Pause
12,329,229,Tier 1,ISA On in Total Store
42,321,230,Tier 1,ISA On in Total Store
44,350,231,Tier 2,GM Pause
44,350,232,Tier 3,Total Store ISA Pause
25,271,233,Tier 1,ISA On in Total Store
40,360,234,Tier 3,Total Store ISA Pause
6,503,236,Tier 2,GM Pause
25,271,237,Tier 2,GM Pause
12,147,238,Tier 2,GM Pause
14,138,239,Tier 2,GM Pause
44,47,240,Tier 2,GM Pause
44,410,242,Tier 2,GM Pause
40,339,243,Tier 2,GM Pause
42,135,244,Tier 1,ISA On in Total Store
44,345,246,Tier 2,GM Pause
44,351,247,Tier 2,GM Pause
5,76,248,Tier 2,GM Pause
6,503,249,Tier 3,Total Store ISA Pause
40,336,250,Tier 1,ISA On in Total Store
5,45,251,Tier 1,ISA On in Total Store
25,271,252,Tier 2,GM Pause
25,272,253,Tier 2,GM Pause
25,273,254,Tier 1,ISA On in Total Store
25,341,256,Tier 2,GM Pause
41,254,257,Tier 2,GM Pause
12,4,258,Tier 2,GM Pause
5,583,259,Tier 2,GM Pause
5,55,260,Tier 1,ISA On in Total Store
42,325,261,Tier 2,GM Pause
25,271,262,Tier 2,GM Pause
12,149,264,Tier 2,GM Pause
5,45,265,Tier 2,GM Pause
5,50,266,Tier 2,GM Pause
42,334,267,Tier 3,Total Store ISA Pause
12,147,268,Tier 2,GM Pause
44,349,269,Tier 2,GM Pause
44,349,271,Tier 3,Total Store ISA Pause
12,153,272,Tier 2,GM Pause
12,4,273,Tier 2,GM Pause
12,4,274,Tier 1,ISA On in Total Store
6,503,275,Tier 2,GM Pause
44,351,276,Tier 1,ISA On in Total Store
44,353,277,Tier 3,Total Store ISA Pause
42,127,278,Tier 2,GM Pause
42,321,279,Tier 2,GM Pause
5,83,280,Tier 1,ISA On in Total Store
42,328,281,Tier 2,GM Pause
41,253,282,Tier 3,Total Store ISA Pause
13,66,283,Tier 2,GM Pause
5,44,284,Tier 1,ISA On in Total Store
6,503,285,Tier 2,GM Pause
5,55,286,Tier 2,GM Pause
14,11,287,Tier 2,GM Pause
6,503,288,Tier 2,GM Pause
42,327,289,Tier 3,Total Store ISA Pause
6,77,290,Tier 1,ISA On in Total Store
6,87,292,Tier 1,ISA On in Total Store
6,85,293,Tier 2,GM Pause
41,253,294,Tier 2,GM Pause
40,340,295,Tier 2,GM Pause
42,325,296,Tier 2,GM Pause
6,59,297,Tier 2,GM Pause
12,5,298,Tier 1,ISA On in Total Store
41,254,299,Tier 1,ISA On in Total Store
14,3,300,Tier 2,GM Pause
14,3,301,Tier 2,GM Pause
25,271,302,Tier 1,ISA On in Total Store
12,4,303,Tier 2,GM Pause
12,149,304,Tier 3,Total Store ISA Pause
14,138,305,Tier 1,ISA On in Total Store
12,5,306,Tier 2,GM Pause
42,135,307,Tier 3,Total Store ISA Pause
41,152,308,Tier 2,GM Pause
13,132,309,Tier 2,GM Pause
13,132,310,Tier 3,Total Store ISA Pause
13,129,311,Tier 2,GM Pause
13,134,312,Tier 2,GM Pause
40,335,313,Tier 1,ISA On in Total Store
12,151,314,Tier 2,GM Pause
14,3,315,Tier 1,ISA On in Total Store
14,3,316,Tier 1,ISA On in Total Store
25,272,317,Tier 2,GM Pause
42,325,318,Tier 1,ISA On in Total Store
40,361,319,Tier 2,GM Pause
5,76,320,Tier 3,Total Store ISA Pause
6,85,321,Tier 1,ISA On in Total Store
6,85,322,Tier 3,Total Store ISA Pause
42,127,323,Tier 3,Total Store ISA Pause
44,356,324,Tier 2,GM Pause
40,360,325,Tier 2,GM Pause
40,361,326,Tier 2,GM Pause
25,341,328,Tier 2,GM Pause
14,10,329,Tier 1,ISA On in Total Store
6,84,330,Tier 2,GM Pause
13,66,331,Tier 2,GM Pause
12,5,332,Tier 1,ISA On in Total Store
41,254,333,Tier 1,ISA On in Total Store
25,275,334,Tier 1,ISA On in Total Store
41,146,335,Tier 3,Total Store ISA Pause
42,325,336,Tier 2,GM Pause
40,335,337,Tier 1,ISA On in Total Store
42,334,338,Tier 3,Total Store ISA Pause
42,327,339,Tier 2,GM Pause
44,351,340,Tier 2,GM Pause
47,407,341,Tier 3,Total Store ISA Pause
47,411,342,Tier 2,GM Pause
25,275,343,Tier 1,ISA On in Total Store
6,65,344,Tier 3,Total Store ISA Pause
5,46,345,Tier 2,GM Pause
44,409,346,Tier 2,GM Pause
12,136,347,Tier 1,ISA On in Total Store
42,327,348,Tier 1,ISA On in Total Store
47,433,350,Tier 2,GM Pause
6,68,351,Tier 2,GM Pause
25,271,352,Tier 2,GM Pause
5,48,353,Tier 2,GM Pause
40,336,354,Tier 2,GM Pause
14,10,355,Tier 2,GM Pause
14,10,356,Tier 3,Total Store ISA Pause
40,336,357,Tier 1,ISA On in Total Store
42,321,358,Tier 3,Total Store ISA Pause
42,322,359,Tier 1,ISA On in Total Store
44,352,360,Tier 2,GM Pause
25,341,361,Tier 2,GM Pause
14,11,362,Tier 1,ISA On in Total Store
40,361,363,Tier 2,GM Pause
6,503,364,Tier 1,ISA On in Total Store
13,140,365,Tier 1,ISA On in Total Store
2,121,366,Tier 2,GM Pause
44,410,368,Tier 3,Total Store ISA Pause
47,406,369,Tier 2,GM Pause
47,406,370,Tier 3,Total Store ISA Pause
5,48,371,Tier 1,ISA On in Total Store
47,406,372,Tier 1,ISA On in Total Store
42,322,373,Tier 2,GM Pause
44,347,374,Tier 3,Total Store ISA Pause
12,5,375,Tier 2,GM Pause
42,127,376,Tier 2,GM Pause
59,497,377,Tier 1,ISA On in Total Store
47,411,378,Tier 3,Total Store ISA Pause
40,333,379,Tier 2,GM Pause
5,81,381,Tier 1,ISA On in Total Store
44,410,382,Tier 1,ISA On in Total Store
13,66,383,Tier 2,GM Pause
13,66,384,Tier 1,ISA On in Total Store
6,84,385,Tier 3,Total Store ISA Pause
13,132,386,Tier 3,Total Store ISA Pause
44,352,387,Tier 2,GM Pause
42,321,388,Tier 2,GM Pause
44,352,389,Tier 1,ISA On in Total Store
12,149,390,Tier 2,GM Pause
12,4,391,Tier 1,ISA On in Total Store
44,344,392,Tier 2,GM Pause
12,147,393,Tier 2,GM Pause
12,137,394,Tier 3,Total Store ISA Pause
6,80,395,Tier 1,ISA On in Total Store
2,39,396,Tier 3,Total Store ISA Pause
6,80,397,Tier 2,GM Pause
5,46,398,Tier 1,ISA On in Total Store
5,46,399,Tier 2,GM Pause
6,68,400,Tier 2,GM Pause
13,131,401,Tier 1,ISA On in Total Store
13,132,402,Tier 2,GM Pause
12,137,403,Tier 2,GM Pause
6,87,404,Tier 1,ISA On in Total Store
13,134,405,Tier 2,GM Pause
12,153,406,Tier 2,GM Pause
5,81,407,Tier 1,ISA On in Total Store
13,66,408,Tier 3,Total Store ISA Pause
12,137,409,Tier 1,ISA On in Total Store
41,146,410,Tier 2,GM Pause
14,138,411,Tier 2,GM Pause
5,45,412,Tier 1,ISA On in Total Store
6,569,413,Tier 1,ISA On in Total Store
44,349,414,Tier 2,GM Pause
13,132,415,Tier 1,ISA On in Total Store
12,151,416,Tier 2,GM Pause
44,47,417,Tier 3,Total Store ISA Pause
47,407,418,Tier 2,GM Pause
47,406,419,Tier 1,ISA On in Total Store
44,349,420,Tier 2,GM Pause
5,479,421,Tier 1,ISA On in Total Store
25,273,422,Tier 2,GM Pause
14,13,423,Tier 3,Total Store ISA Pause
14,8,424,Tier 2,GM Pause
14,11,425,Tier 2,GM Pause
5,53,426,Tier 1,ISA On in Total Store
44,47,427,Tier 1,ISA On in Total Store
13,130,428,Tier 1,ISA On in Total Store
6,80,429,Tier 1,ISA On in Total Store
41,253,430,Tier 2,GM Pause
41,253,431,Tier 1,ISA On in Total Store
14,10,432,Tier 2,GM Pause
12,5,433,Tier 1,ISA On in Total Store
12,5,434,Tier 1,ISA On in Total Store
25,272,435,Tier 1,ISA On in Total Store
25,272,436,Tier 2,GM Pause
6,84,437,Tier 1,ISA On in Total Store
5,74,438,Tier 2,GM Pause
6,78,440,Tier 2,GM Pause
6,78,442,Tier 2,GM Pause
46,88,443,Tier 3,Total Store ISA Pause
40,333,444,Tier 2,GM Pause
41,256,445,Tier 2,GM Pause
6,85,446,Tier 2,GM Pause
46,88,447,Tier 1,ISA On in Total Store
42,127,448,Tier 1,ISA On in Total Store
13,66,449,Tier 1,ISA On in Total Store
42,127,450,Tier 1,ISA On in Total Store
40,359,451,Tier 1,ISA On in Total Store
6,80,452,Tier 3,Total Store ISA Pause
12,329,453,Tier 3,Total Store ISA Pause
25,273,454,Tier 2,GM Pause
6,569,456,Tier 2,GM Pause
13,66,457,Tier 1,ISA On in Total Store
6,78,458,Tier 1,ISA On in Total Store
2,25,459,Tier 2,GM Pause
46,88,461,Tier 2,GM Pause
6,61,462,Tier 2,GM Pause
6,84,463,Tier 1,ISA On in Total Store
6,78,464,Tier 2,GM Pause
6,77,465,Tier 1,ISA On in Total Store
12,147,466,Tier 1,ISA On in Total Store
5,52,467,Tier 1,ISA On in Total Store
44,47,468,Tier 1,ISA On in Total Store
13,66,469,Tier 2,GM Pause
6,78,470,Tier 2,GM Pause
5,49,471,Tier 1,ISA On in Total Store
44,356,472,Tier 2,GM Pause
6,85,473,Tier 2,GM Pause
5,83,475,Tier 2,GM Pause
5,81,476,Tier 3,Total Store ISA Pause
2,119,477,Tier 1,ISA On in Total Store
6,77,478,Tier 3,Total Store ISA Pause
44,349,479,Tier 1,ISA On in Total Store
25,275,480,Tier 2,GM Pause
25,273,481,Tier 2,GM Pause
6,61,482,Tier 2,GM Pause
14,8,483,Tier 2,GM Pause
47,411,484,Tier 2,GM Pause
13,129,485,Tier 2,GM Pause
40,362,486,Tier 1,ISA On in Total Store
3,97,488,Tier 2,GM Pause
13,128,489,Tier 1,ISA On in Total Store
6,78,490,Tier 1,ISA On in Total Store
41,253,491,Tier 3,Total Store ISA Pause
25,273,492,Tier 1,ISA On in Total Store
41,260,493,Tier 1,ISA On in Total Store
3,16,494,Tier 2,GM Pause
14,138,495,Tier 2,GM Pause
41,242,497,Tier 2,GM Pause
13,134,498,Tier 2,GM Pause
44,344,499,Tier 2,GM Pause
46,505,500,Tier 1,ISA On in Total Store
13,141,501,Tier 1,ISA On in Total Store
13,129,502,Tier 2,GM Pause
6,84,503,Tier 1,ISA On in Total Store
6,61,504,Tier 3,Total Store ISA Pause
13,134,505,Tier 1,ISA On in Total Store
25,273,506,Tier 2,GM Pause
41,260,507,Tier 2,GM Pause
6,506,508,Tier 1,ISA On in Total Store
2,21,510,Tier 2,GM Pause
4,38,511,Tier 1,ISA On in Total Store
46,505,512,Tier 2,GM Pause
46,73,513,Tier 1,ISA On in Total Store
2,39,514,Tier 2,GM Pause
2,18,515,Tier 2,GM Pause
5,45,516,Tier 2,GM Pause
44,353,517,Tier 3,Total Store ISA Pause
2,26,518,Tier 1,ISA On in Total Store
41,260,519,Tier 2,GM Pause
2,25,520,Tier 2,GM Pause
13,66,521,Tier 1,ISA On in Total Store
6,60,522,Tier 1,ISA On in Total Store
5,46,523,Tier 2,GM Pause
6,84,524,Tier 2,GM Pause
72,549,525,Tier 2,GM Pause
41,242,526,Tier 2,GM Pause
6,61,527,Tier 1,ISA On in Total Store
9,115,528,Tier 1,ISA On in Total Store
6,61,529,Tier 1,ISA On in Total Store
42,327,530,Tier 1,ISA On in Total Store
13,132,531,Tier 1,ISA On in Total Store
13,130,532,Tier 1,ISA On in Total Store
13,132,533,Tier 1,ISA On in Total Store
5,74,535,Tier 1,ISA On in Total Store
5,74,536,Tier 1,ISA On in Total Store
46,73,537,Tier 2,GM Pause
3,93,538,Tier 2,GM Pause
13,134,539,Tier 1,ISA On in Total Store
13,129,540,Tier 2,GM Pause
13,129,542,Tier 1,ISA On in Total Store
13,132,543,Tier 1,ISA On in Total Store
44,353,544,Tier 1,ISA On in Total Store
41,258,545,Tier 3,Total Store ISA Pause
6,62,546,Tier 2,GM Pause
9,114,547,Tier 2,GM Pause
2,25,548,Tier 2,GM Pause
46,71,549,Tier 1,ISA On in Total Store
25,273,550,Tier 1,ISA On in Total Store
3,93,551,Tier 2,GM Pause
41,258,552,Tier 2,GM Pause
13,125,553,Tier 1,ISA On in Total Store
46,88,554,Tier 2,GM Pause
3,32,555,Tier 1,ISA On in Total Store
3,28,556,Tier 1,ISA On in Total Store
47,407,557,Tier 1,ISA On in Total Store
47,407,558,Tier 2,GM Pause
52,418,559,Tier 2,GM Pause
40,360,560,Tier 3,Total Store ISA Pause
5,76,561,Tier 2,GM Pause
14,2,562,Tier 1,ISA On in Total Store
3,94,563,Tier 1,ISA On in Total Store
44,344,564,Tier 2,GM Pause
5,55,565,Tier 1,ISA On in Total Store
25,580,566,Tier 1,ISA On in Total Store
6,85,567,Tier 2,GM Pause
41,152,568,Tier 3,Total Store ISA Pause
41,257,569,Tier 1,ISA On in Total Store
41,260,571,Tier 1,ISA On in Total Store
5,46,572,Tier 2,GM Pause
40,361,573,Tier 2,GM Pause
4,37,574,Tier 2,GM Pause
2,24,575,Tier 1,ISA On in Total Store
44,345,576,Tier 2,GM Pause
40,362,577,Tier 2,GM Pause
2,123,578,Tier 1,ISA On in Total Store
3,94,579,Tier 2,GM Pause
9,116,580,Tier 2,GM Pause
52,414,581,Tier 3,Total Store ISA Pause
3,94,582,Tier 2,GM Pause
2,121,583,Tier 1,ISA On in Total Store
41,260,584,Tier 2,GM Pause
4,42,585,Tier 1,ISA On in Total Store
4,37,586,Tier 2,GM Pause
41,152,587,Tier 2,GM Pause
3,27,588,Tier 1,ISA On in Total Store
41,256,589,Tier 2,GM Pause
5,48,590,Tier 2,GM Pause
41,259,591,Tier 2,GM Pause
47,406,592,Tier 3,Total Store ISA Pause
3,28,593,Tier 2,GM Pause
2,22,594,Tier 2,GM Pause
6,569,595,Tier 2,GM Pause
25,271,596,Tier 1,ISA On in Total Store
47,429,598,Tier 2,GM Pause
4,124,599,Tier 2,GM Pause
46,70,600,Tier 1,ISA On in Total Store
5,74,601,Tier 1,ISA On in Total Store
6,68,602,Tier 1,ISA On in Total Store
25,278,603,Tier 2,GM Pause
14,7,604,Tier 1,ISA On in Total Store
4,29,605,Tier 1,ISA On in Total Store
4,29,606,Tier 3,Total Store ISA Pause
44,349,607,Tier 2,GM Pause
46,73,608,Tier 2,GM Pause
25,275,609,Tier 2,GM Pause
5,76,610,Tier 2,GM Pause
46,387,611,Tier 2,GM Pause
25,273,612,Tier 2,GM Pause
3,94,613,Tier 2,GM Pause
3,16,614,Tier 1,ISA On in Total Store
2,26,615,Tier 2,GM Pause
4,38,616,Tier 2,GM Pause
25,580,617,Tier 2,GM Pause
2,26,618,Tier 2,GM Pause
2,119,619,Tier 2,GM Pause
4,124,620,Tier 3,Total Store ISA Pause
4,37,621,Tier 3,Total Store ISA Pause
44,344,622,Tier 2,GM Pause
9,118,623,Tier 1,ISA On in Total Store
2,39,624,Tier 2,GM Pause
4,37,625,Tier 2,GM Pause
46,73,626,Tier 3,Total Store ISA Pause
4,38,627,Tier 2,GM Pause
4,36,628,Tier 3,Total Store ISA Pause
4,42,629,Tier 2,GM Pause
4,38,630,Tier 1,ISA On in Total Store
2,35,631,Tier 2,GM Pause
4,36,632,Tier 3,Total Store ISA Pause
25,279,633,Tier 1,ISA On in Total Store
4,38,634,Tier 2,GM Pause
4,29,635,Tier 1,ISA On in Total Store
25,279,636,Tier 1,ISA On in Total Store
47,429,637,Tier 2,GM Pause
4,42,638,Tier 3,Total Store ISA Pause
3,28,639,Tier 3,Total Store ISA Pause
2,35,640,Tier 2,GM Pause
2,35,641,Tier 1,ISA On in Total Store
4,38,642,Tier 1,ISA On in Total Store
4,37,643,Tier 2,GM Pause
2,39,644,Tier 2,GM Pause
47,433,645,Tier 1,ISA On in Total Store
52,415,646,Tier 2,GM Pause
52,414,647,Tier 2,GM Pause
40,339,648,Tier 1,ISA On in Total Store
9,92,649,Tier 2,GM Pause
13,66,651,Tier 1,ISA On in Total Store
47,406,652,Tier 2,GM Pause
41,253,653,Tier 2,GM Pause
41,253,655,Tier 2,GM Pause
12,151,656,Tier 2,GM Pause
41,152,657,Tier 2,GM Pause
2,120,658,Tier 1,ISA On in Total Store
12,153,659,Tier 1,ISA On in Total Store
12,137,660,Tier 1,ISA On in Total Store
12,137,661,Tier 2,GM Pause
12,137,662,Tier 2,GM Pause
2,119,663,Tier 2,GM Pause
47,406,664,Tier 1,ISA On in Total Store
41,257,665,Tier 1,ISA On in Total Store
9,115,666,Tier 2,GM Pause
12,151,667,Tier 2,GM Pause
41,152,668,Tier 2,GM Pause
2,120,669,Tier 2,GM Pause
14,2,670,Tier 2,GM Pause
41,152,671,Tier 1,ISA On in Total Store
2,122,672,Tier 2,GM Pause
12,149,673,Tier 2,GM Pause
41,152,674,Tier 2,GM Pause
41,146,675,Tier 2,GM Pause
2,121,676,Tier 1,ISA On in Total Store
41,146,677,Tier 2,GM Pause
2,123,678,Tier 1,ISA On in Total Store
2,123,680,Tier 2,GM Pause
14,3,681,Tier 1,ISA On in Total Store
12,151,682,Tier 3,Total Store ISA Pause
12,147,683,Tier 2,GM Pause
12,147,684,Tier 1,ISA On in Total Store
2,123,685,Tier 2,GM Pause
3,28,686,Tier 3,Total Store ISA Pause
2,121,687,Tier 1,ISA On in Total Store
12,153,688,Tier 2,GM Pause
41,257,689,Tier 1,ISA On in Total Store
4,124,690,Tier 3,Total Store ISA Pause
14,3,691,Tier 2,GM Pause
41,260,692,Tier 1,ISA On in Total Store
41,259,693,Tier 2,GM Pause
41,254,694,Tier 1,ISA On in Total Store
12,149,695,Tier 1,ISA On in Total Store
41,258,696,Tier 2,GM Pause
3,93,697,Tier 2,GM Pause
2,119,698,Tier 1,ISA On in Total Store
12,136,699,Tier 1,ISA On in Total Store
14,8,700,Tier 2,GM Pause
41,254,701,Tier 1,ISA On in Total Store
41,259,702,Tier 1,ISA On in Total Store
6,67,703,Tier 2,GM Pause
9,89,705,Tier 2,GM Pause
9,114,706,Tier 2,GM Pause
12,136,707,Tier 3,Total Store ISA Pause
13,140,708,Tier 3,Total Store ISA Pause
41,256,709,Tier 2,GM Pause
12,153,710,Tier 1,ISA On in Total Store
41,257,711,Tier 2,GM Pause
12,5,712,Tier 2,GM Pause
9,114,713,Tier 2,GM Pause
42,327,714,Tier 1,ISA On in Total Store
14,11,715,Tier 2,GM Pause
12,136,716,Tier 1,ISA On in Total Store
9,114,718,Tier 2,GM Pause
41,257,719,Tier 1,ISA On in Total Store
41,260,720,Tier 1,ISA On in Total Store
9,118,721,Tier 2,GM Pause
2,22,722,Tier 2,GM Pause
14,7,723,Tier 2,GM Pause
2,123,724,Tier 2,GM Pause
9,114,725,Tier 1,ISA On in Total Store
14,10,726,Tier 1,ISA On in Total Store
2,22,727,Tier 2,GM Pause
4,29,728,Tier 1,ISA On in Total Store
41,256,729,Tier 2,GM Pause
14,10,730,Tier 1,ISA On in Total Store
14,11,731,Tier 2,GM Pause
14,10,733,Tier 1,ISA On in Total Store
14,7,734,Tier 1,ISA On in Total Store
12,151,735,Tier 2,GM Pause
41,253,736,Tier 2,GM Pause
12,151,737,Tier 2,GM Pause
12,147,738,Tier 3,Total Store ISA Pause
41,258,739,Tier 1,ISA On in Total Store
