Store Number,Invoice Number,Date of Invoice ,   Total Amount   ,Out of Scope,Area of Machine,Memo,Comments
US08141G,INV168084-01255A,2/21/2025,$425.00,SITE DECLINED TROUBLESHOOTING,OTHER,JAMS – NOTE: A note jam was not cleared pursuant to the use of the instructional videos or with the guidance from the trained help desk agent.,12/8/2024 10:51
US00999G,INV168084-01255A,2/21/2025,$460.06,IMPROPER HANDLING - HOPPERS,BCR,"PROCEDURE NEGLECT: The site failed to follow defined, maintenance and auditing guidelines for the unit.",12/7/2024 11:09
US02922G,INV168084-01255A,2/21/2025,$425.00,IMPROPER HANDLING - OTHER,BNR,CLEANING NEGLECT: The site failed to follow defined cleaning and maintenance guidelines for the unit.  The only thing performed by the technician to resolve the issue was to clean the device.,12/7/2024 9:43
US06433G,INV168084-01255A,2/21/2025,$425.00,SITE DECLINED TROUBLESHOOTING,BCR,JAMS – COIN: A coin jam was not cleared pursuant to the use of the instructional videos or with the guidance from the trained help desk agent.,12/7/2024 13:38
US05166G,INV168084-01255A,2/21/2025,$460.06,IMPROPER HANDLING - COIN SORTER,BCR,"PHYSICAL DAMAGE: Abuse, neglect or vandalism of the system or its component parts, or from customer’s failure to maintain the security of the equipment.",12/7/2024 16:16
US06212G,INV168084-01255A,2/21/2025,$425.00,SITE DECLINED TROUBLESHOOTING,OTHER,FAILURE TO TROUBLESHOOT: The site refused to work with trained help desk agent to resolve an issue which resulted in the dispatch of a technician.,12/8/2024 11:24
US00389G,INV168084-01255A,2/21/2025,$425.00,NON DEVICE RELATED ISSUES,OTHER,COIN AUDIT: Coin Audit,12/8/2024 10:13
US05093G,INV168084-01255A,2/21/2025,$425.00,SITE DECLINED TROUBLESHOOTING,OTHER,FAILURE TO TROUBLESHOOT: The site refused to work with trained help desk agent to resolve an issue which resulted in the dispatch of a technician.,12/7/2024 18:56
US03717G,INV168084-01255A,2/21/2025,$327.75,SITE DECLINED TROUBLESHOOTING,OTHER,JAMS – COIN: A coin jam was not cleared pursuant to the use of the instructional videos or with the guidance from the trained help desk agent.,12/9/2024 7:11
US04491G,INV168084-01255A,2/21/2025,$300.00,IMPROPER HANDLING - OTHER,OTHER,"PHYSICAL DAMAGE: Abuse, neglect or vandalism of the system or its component parts, or from customer’s failure to maintain the security of the equipment.",12/9/2024 10:21
US01829G,INV168084-01255A,2/21/2025,$300.00,IMPROPER HANDLING - COIN SORTER,BCR,FAILURE TO TROUBLESHOOT: The site refused to work with trained help desk agent to resolve an issue which resulted in the dispatch of a technician.,12/9/2024 10:44
US05174G,INV168084-01255A,2/21/2025,$425.00,CUSTOMER FAILED TO CANCEL CALL,BCR,FAILURE TO CANCEL: Site resolved issue prior to technician's arrival and failed to give proper notification to cancel service call.,12/8/2024 18:38
US00991G,INV168084-01255A,2/21/2025,$425.00,IMPROPER HANDLING - HOPPERS,BCR,"PROCEDURE NEGLECT: The site failed to follow defined, maintenance and auditing guidelines for the unit.",12/8/2024 17:28
US02403G,INV168084-01255A,2/21/2025,$467.93,IMPROPER HANDLING - IMPROPER RACKING OF NR,BNR,MISUSE: Operation of the equipment other than for its normal and intended purposes.,12/8/2024 17:51
US00285G,INV168084-01255A,2/21/2025,$460.06,SITE DECLINED TROUBLESHOOTING,BNR,FAILURE TO TROUBLESHOOT: The site refused to work with trained help desk agent to resolve an issue which resulted in the dispatch of a technician.,12/8/2024 14:56
US07020G,INV168084-01255A,2/21/2025,$466.44,IMPROPER HANDLING - OTHER,BNR,CLEANING NEGLECT: The site failed to follow defined cleaning and maintenance guidelines for the unit.  The only thing performed by the technician to resolve the issue was to clean the device.,12/8/2024 18:19
US01826G,INV168084-01255A,2/21/2025,$425.00,IMPROPER HANDLING - OTHER,BCR,"PHYSICAL DAMAGE: Abuse, neglect or vandalism of the system or its component parts, or from customer’s failure to maintain the security of the equipment.",12/8/2024 14:00
US06364G,INV168084-01255A,2/21/2025,$300.00,SITE DECLINED TROUBLESHOOTING,OTHER,FAILURE TO TROUBLESHOOT: The site refused to work with trained help desk agent to resolve an issue which resulted in the dispatch of a technician.,12/9/2024 9:54
US04370G,INV168084-01255A,2/21/2025,$425.00,SITE DECLINED TROUBLESHOOTING,OTHER,JAMS – NOTE: A note jam was not cleared pursuant to the use of the instructional videos or with the guidance from the trained help desk agent.,12/8/2024 15:38
US03722G,INV168084-01255A,2/21/2025,$321.00,SITE DECLINED TROUBLESHOOTING,OTHER,JAMS – NOTE: A note jam was not cleared pursuant to the use of the instructional videos or with the guidance from the trained help desk agent.,12/9/2024 13:01
US00930G,INV168084-01255A,2/21/2025,$300.00,SITE DECLINED TROUBLESHOOTING,OTHER,FAILURE TO TROUBLESHOOT: The site refused to work with trained help desk agent to resolve an issue which resulted in the dispatch of a technician.,12/9/2024 8:51
US06978G,INV168084-01255A,2/21/2025,$300.00,IMPROPER HANDLING - OTHER,OTHER,MISUSE: Operation of the equipment other than for its normal and intended purposes.,12/9/2024 9:04
US05425G,INV168084-01255A,2/21/2025,$300.00,IMPROPER HANDLING - HOPPERS,BCR,"PROCEDURE NEGLECT: The site failed to follow defined, maintenance and auditing guidelines for the unit.",12/9/2024 13:16
US02526G,INV168084-01255A,2/21/2025,$300.00,IMPROPER HANDLING - OTHER,OTHER,"PHYSICAL DAMAGE: Abuse, neglect or vandalism of the system or its component parts, or from customer’s failure to maintain the security of the equipment.",12/9/2024 7:50
US01195G,INV168084-01255A,2/21/2025,$321.00,NON DEVICE RELATED ISSUES,OTHER,COIN AUDIT: Coin Audit,12/9/2024 8:31
US05216G,INV168084-01255A,2/21/2025,$324.75,SITE DECLINED TROUBLESHOOTING,OTHER,FAILURE TO TROUBLESHOOT: The site refused to work with trained help desk agent to resolve an issue which resulted in the dispatch of a technician.,12/9/2024 17:02
US08252G,INV168084-01255A,2/21/2025,$425.00,NON DEVICE RELATED ISSUES,OTHER,THIRD PARTY EQUIPMENT: Machine has lost communication due to failure of network administered by third party,12/9/2024 18:01
US02465G,INV168084-01255A,2/21/2025,$300.00,IMPROPER HANDLING - OTHER,OTHER,"PHYSICAL DAMAGE: Abuse, neglect or vandalism of the system or its component parts, or from customer’s failure to maintain the security of the equipment.",12/9/2024 14:28
US06259G,INV168084-01255A,2/21/2025,$324.75,IMPROPER HANDLING - VAULT,OTHER,MISUSE: Operation of the equipment other than for its normal and intended purposes.,12/9/2024 13:29
US02856G,INV168084-01255A,2/21/2025,$300.00,IMPROPER HANDLING - OTHER,OTHER,MISUSE: Operation of the equipment other than for its normal and intended purposes.,12/9/2024 11:45
US02073G,INV168084-01255A,2/21/2025,$324.00,IMPROPER HANDLING - IMPROPER RACKING OF NR,BNR,"PHYSICAL DAMAGE: Abuse, neglect or vandalism of the system or its component parts, or from customer’s failure to maintain the security of the equipment.",12/9/2024 15:28
US03066G,INV168084-01255A,2/21/2025,$300.00,IMPROPER HANDLING - COIN SORTER,BCR,"PHYSICAL DAMAGE: Abuse, neglect or vandalism of the system or its component parts, or from customer’s failure to maintain the security of the equipment.",12/10/2024 12:03
US06527G,INV168084-01255A,2/21/2025,$329.85,SITE DECLINED TROUBLESHOOTING,OTHER,FAILURE TO TROUBLESHOOT: The site refused to work with trained help desk agent to resolve an issue which resulted in the dispatch of a technician.,12/10/2024 9:11
US03276G,INV168084-01255A,2/21/2025,$300.00,CUSTOMER FAILED TO CANCEL CALL,OTHER,FAILURE TO CANCEL: Site resolved issue prior to technician's arrival and failed to give proper notification to cancel service call.,12/9/2024 13:05
US00086G,INV168084-01255A,2/21/2025,$300.00,IMPROPER HANDLING - IMPROPER RACKING OF NR,BNR,MISUSE: Operation of the equipment other than for its normal and intended purposes.,12/10/2024 10:23
US05305G,INV168084-01255A,2/21/2025,$300.00,IMPROPER HANDLING - OTHER,BNR,"PROCEDURE NEGLECT: The site failed to follow defined, maintenance and auditing guidelines for the unit.",12/9/2024 14:26
US07156G,INV168084-01255A,2/21/2025,$585.97,IMPROPER HANDLING - OTHER,OTHER,MISUSE: Operation of the equipment other than for its normal and intended purposes.,12/11/2024 10:53
US00502G,INV168084-01255A,2/21/2025,$313.35,FOREIGN OBJECT - OTHER,BCR,FOREIGN OBJECT – OTHER: The unit failure or damage was due to a foreign object found in the note recycler.,12/9/2024 16:43
US00157G,INV168084-01255A,2/21/2025,$468.57,REFUSED ACCESS TO DEVICE,OTHER,ACCESS: The site failed to provide access to the unit’s scheduled preventative maintenance or repair services.,12/9/2024 18:54
US00443G,INV168084-01255A,2/21/2025,$324.75,CUSTOMER FAILED TO CANCEL CALL,OTHER,FAILURE TO CANCEL: Site resolved issue prior to technician's arrival and failed to give proper notification to cancel service call.,12/9/2024 17:01
US01597G,INV168084-01255A,2/21/2025,$300.00,SITE DECLINED TROUBLESHOOTING,BCR,JAMS – COIN: A coin jam was not cleared pursuant to the use of the instructional videos or with the guidance from the trained help desk agent.,12/10/2024 9:50
US03141G,INV168084-01255A,2/21/2025,$425.00,SITE DECLINED TROUBLESHOOTING,OTHER,FAILURE TO TROUBLESHOOT: The site refused to work with trained help desk agent to resolve an issue which resulted in the dispatch of a technician.,12/11/2024 5:00
US02019G,INV168084-01255A,2/21/2025,$318.00,CUSTOMER FAILED TO CANCEL CALL,BNR,FAILURE TO CANCEL: Site resolved issue prior to technician's arrival and failed to give proper notification to cancel service call.,12/10/2024 8:55
US01560G,INV168084-01255A,2/21/2025,$300.00,IMPROPER HANDLING - COIN SORTER,BCR,FAILURE TO CANCEL: Site resolved issue prior to technician's arrival and failed to give proper notification to cancel service call.,12/10/2024 15:22
US06286G,INV168084-01255A,2/21/2025,$324.75,IMPROPER HANDLING - GAS SPRING,OTHER,"PROCEDURE NEGLECT: The site failed to follow defined, maintenance and auditing guidelines for the unit.",12/10/2024 8:05
US03959G,INV168084-01255A,2/21/2025,$327.75,SITE DECLINED TROUBLESHOOTING,OTHER,FAILURE TO TROUBLESHOOT: The site refused to work with trained help desk agent to resolve an issue which resulted in the dispatch of a technician.,12/10/2024 11:02
US02712G,INV168084-01255A,2/21/2025,$300.00,NON DEVICE RELATED ISSUES,OTHER,COIN AUDIT: Coin Audit,12/10/2024 15:39
US08250G,INV168084-01255A,2/21/2025,$324.75,SITE DECLINED TROUBLESHOOTING,OTHER,FAILURE TO TROUBLESHOOT: The site refused to work with trained help desk agent to resolve an issue which resulted in the dispatch of a technician.,12/10/2024 11:32
US00967G,INV168084-01255A,2/21/2025,$300.00,FOREIGN OBJECT - OTHER,BCR,FOREIGN OBJECT – OTHER: The unit failure or damage was due to a foreign object found in the note recycler.,12/10/2024 15:06
US05654G,INV168084-01255A,2/21/2025,$300.00,SITE DECLINED TROUBLESHOOTING,BNR,FAILURE TO TROUBLESHOOT: The site refused to work with trained help desk agent to resolve an issue which resulted in the dispatch of a technician.,12/10/2024 14:36
US00651G,INV168084-01255A,2/21/2025,$324.75,FOREIGN OBJECT - OTHER,BNR,FOREIGN OBJECT – OTHER: The unit failure or damage was due to a foreign object found in the note recycler.,12/10/2024 16:20
US00312G,INV168084-01255A,2/21/2025,$313.35,IMPROPER HANDLING - HOPPERS,BCR,"PROCEDURE NEGLECT: The site failed to follow defined, maintenance and auditing guidelines for the unit.",12/10/2024 15:29
US02697G,INV168084-01255A,2/21/2025,$300.00,IMPROPER HANDLING - HOPPERS,BCR,MISUSE: Operation of the equipment other than for its normal and intended purposes.,12/10/2024 11:05
US03339G,INV168084-01255A,2/21/2025,$319.88,CUSTOMER FAILED TO CANCEL CALL,BCR,FAILURE TO CANCEL: Site resolved issue prior to technician's arrival and failed to give proper notification to cancel service call.,12/10/2024 16:41
US00710G,INV168084-01255A,2/21/2025,$464.31,IMPROPER HANDLING - COIN SORTER,BCR,CLEANING NEGLECT: The site failed to follow defined cleaning and maintenance guidelines for the unit.  The only thing performed by the technician to resolve the issue was to clean the device.,12/10/2024 19:18
US06616G,INV168084-01255A,2/21/2025,$300.00,IMPROPER HANDLING - COIN SORTER,BCR,CLEANING NEGLECT: The site failed to follow defined cleaning and maintenance guidelines for the unit.  The only thing performed by the technician to resolve the issue was to clean the device.,12/10/2024 12:28
US02592G,INV168084-01255A,2/21/2025,$300.00,CUSTOMER FAILED TO CANCEL CALL,BNR,FAILURE TO CANCEL: Site resolved issue prior to technician's arrival and failed to give proper notification to cancel service call.,12/11/2024 5:53
US00800G,INV168084-01255A,2/21/2025,$300.00,IMPROPER HANDLING - OTHER,BNR,JAMS – NOTE: A note jam was not cleared pursuant to the use of the instructional videos or with the guidance from the trained help desk agent.,12/11/2024 8:50
US06693G,INV168084-01255A,2/21/2025,$318.00,SITE DECLINED TROUBLESHOOTING,OTHER,JAMS – NOTE: A note jam was not cleared pursuant to the use of the instructional videos or with the guidance from the trained help desk agent.,12/11/2024 9:41
US00777G,INV168084-01255A,2/21/2025,$324.75,CUSTOMER FAILED TO CANCEL CALL,OTHER,FAILURE TO CANCEL: Site resolved issue prior to technician's arrival and failed to give proper notification to cancel service call.,12/11/2024 9:49
US00722G,INV168084-01255A,2/21/2025,$300.00,IMPROPER HANDLING - OTHER,BNR,"PHYSICAL DAMAGE: Abuse, neglect or vandalism of the system or its component parts, or from customer’s failure to maintain the security of the equipment.",12/12/2024 12:30
US05312G,INV168084-01255A,2/21/2025,$460.06,IMPROPER HANDLING - OTHER,BNR,CLEANING NEGLECT: The site failed to follow defined cleaning and maintenance guidelines for the unit.  The only thing performed by the technician to resolve the issue was to clean the device.,12/11/2024 19:07
US06482G,INV168084-01255A,2/21/2025,$324.75,FOREIGN OBJECT - COIN,BNR,FOREIGN OBJECT – COIN: The unit failure or damage was due to a coin found in the note recycler.,12/12/2024 9:04
US00427G,INV168084-01255A,2/21/2025,$324.75,NON DEVICE RELATED ISSUES,BCR,COIN AUDIT: Coin Audit,12/13/2024 11:23
US00723G,INV168084-01255A,2/21/2025,$300.00,CUSTOMER FAILED TO CANCEL CALL,OTHER,FAILURE TO CANCEL: Site resolved issue prior to technician's arrival and failed to give proper notification to cancel service call.,12/13/2024 9:15
US00356G,INV168084-01255A,2/21/2025,$300.00,SITE DECLINED TROUBLESHOOTING,OTHER,FAILURE TO TROUBLESHOOT: The site refused to work with trained help desk agent to resolve an issue which resulted in the dispatch of a technician.,12/12/2024 16:51
US03231G,INV168084-01255A,2/21/2025,$328.50,SITE DECLINED TROUBLESHOOTING,OTHER,FAILURE TO TROUBLESHOOT: The site refused to work with trained help desk agent to resolve an issue which resulted in the dispatch of a technician.,12/13/2024 11:14
US05304G,INV168084-01255A,2/21/2025,$300.00,IMPROPER HANDLING - OTHER,BNR,"PHYSICAL DAMAGE: Abuse, neglect or vandalism of the system or its component parts, or from customer’s failure to maintain the security of the equipment.",12/13/2024 11:15
US03732G,INV168084-01255A,2/21/2025,$322.32,NON DEVICE RELATED ISSUES,OTHER,COIN AUDIT: Coin Audit,12/12/2024 15:34
US05461G,INV168084-01255A,2/21/2025,$326.10,CUSTOMER FAILED TO CANCEL CALL,BNR,FAILURE TO CANCEL: Site resolved issue prior to technician's arrival and failed to give proper notification to cancel service call.,12/12/2024 15:01
US05220G,INV168084-01255A,2/21/2025,$300.00,CUSTOMER FAILED TO CANCEL CALL,OTHER,FAILURE TO CANCEL: Site resolved issue prior to technician's arrival and failed to give proper notification to cancel service call.,12/13/2024 11:05
US08223G,INV168084-01255A,2/21/2025,$321.75,SITE DECLINED TROUBLESHOOTING,OTHER,FAILURE TO TROUBLESHOOT: The site refused to work with trained help desk agent to resolve an issue which resulted in the dispatch of a technician.,12/13/2024 14:36
US01374G,INV168084-01255A,2/21/2025,$300.00,SITE DECLINED TROUBLESHOOTING,BNR,FAILURE TO TROUBLESHOOT: The site refused to work with trained help desk agent to resolve an issue which resulted in the dispatch of a technician.,12/13/2024 16:16
US02403G,INV168084-01255A,2/21/2025,$330.30,IMPROPER HANDLING - OTHER,OTHER,MISUSE: Operation of the equipment other than for its normal and intended purposes.,12/13/2024 13:23
US02005G,INV168084-01255A,2/21/2025,$321.00,SITE DECLINED TROUBLESHOOTING,OTHER,FAILURE TO TROUBLESHOOT: The site refused to work with trained help desk agent to resolve an issue which resulted in the dispatch of a technician.,12/13/2024 15:09
US02214G,INV168084-01255A,2/21/2025,$623.42,IMPROPER HANDLING - SHUTTER,BNR,"PHYSICAL DAMAGE: Abuse, neglect or vandalism of the system or its component parts, or from customer’s failure to maintain the security of the equipment.",12/6/2024 20:26
US00743G,INV168084-01255A,2/21/2025,"$2,924.44",FOREIGN OBJECT - OTHER,BCR,FOREIGN OBJECT – OTHER: The unit failure or damage was due to a foreign object found in the note recycler.,12/8/2024 8:23
US01261G,INV168084-01255A,2/21/2025,"$2,933.92",IMPROPER HANDLING - COIN SORTER,BCR,"PHYSICAL DAMAGE: Abuse, neglect or vandalism of the system or its component parts, or from customer’s failure to maintain the security of the equipment.",12/8/2024 17:28
US04473G,INV168084-01255A,2/21/2025,"$1,443.06",FOREIGN OBJECT - OTHER,BNR,FOREIGN OBJECT – OTHER: The unit failure or damage was due to a foreign object found in the note recycler.,12/7/2024 16:31
US03816G1,INV168084-01255A,2/21/2025,$656.50,IMPROPER HANDLING - OTHER,OTHER,"PHYSICAL DAMAGE: Abuse, neglect or vandalism of the system or its component parts, or from customer’s failure to maintain the security of the equipment.",12/8/2024 15:31
US01266G,INV168084-01255A,2/21/2025,"$1,255.20",IMPROPER HANDLING - OTHER,BNR,"PHYSICAL DAMAGE: Abuse, neglect or vandalism of the system or its component parts, or from customer’s failure to maintain the security of the equipment.",12/10/2024 11:59
US02806G,INV168084-01255A,2/21/2025,$698.25,NON DEVICE RELATED ISSUES,BCR,COIN AUDIT: Coin Audit,12/9/2024 15:24
US01911G,INV168084-01255A,2/21/2025,$550.42,IMPROPER HANDLING - HOPPERS,BCR,"PHYSICAL DAMAGE: Abuse, neglect or vandalism of the system or its component parts, or from customer’s failure to maintain the security of the equipment.",12/9/2024 11:10
US05912G,INV168084-01255A,2/21/2025,$655.71,IMPROPER HANDLING - HOPPERS,BCR,"PROCEDURE NEGLECT: The site failed to follow defined, maintenance and auditing guidelines for the unit.",12/8/2024 14:54
US02292G,INV168084-01255A,2/21/2025,"$2,961.83",IMPROPER HANDLING - COIN SORTER,BCR,"PHYSICAL DAMAGE: Abuse, neglect or vandalism of the system or its component parts, or from customer’s failure to maintain the security of the equipment.",12/8/2024 14:52
US02875G,INV168084-01255A,2/21/2025,"$1,341.09",IMPROPER HANDLING - OTHER,BNR,"PHYSICAL DAMAGE: Abuse, neglect or vandalism of the system or its component parts, or from customer’s failure to maintain the security of the equipment.",12/9/2024 14:28
US01739G,INV168084-01255A,2/21/2025,"$2,889.54",IMPROPER HANDLING - COIN SORTER,BCR,"PHYSICAL DAMAGE: Abuse, neglect or vandalism of the system or its component parts, or from customer’s failure to maintain the security of the equipment.",12/9/2024 5:57
US06887G,INV168084-01255A,2/21/2025,$789.03,ACTS OF NATURE,OTHER,"ACTS OF NATURE: Damage to the system was due to an act of nature (earthquake, flood, tornado, etc.).",12/9/2024 11:40
US04659G,INV168084-01255A,2/21/2025,$576.64,IMPROPER HANDLING - OTHER,OTHER,"PHYSICAL DAMAGE: Abuse, neglect or vandalism of the system or its component parts, or from customer’s failure to maintain the security of the equipment.",12/10/2024 15:00
US03645G,INV168084-01255A,2/21/2025,$474.28,IMPROPER HANDLING - HOPPERS,BCR,"PROCEDURE NEGLECT: The site failed to follow defined, maintenance and auditing guidelines for the unit.",12/10/2024 13:37
US00835G,INV168084-01255A,2/21/2025,$554.93,SITE DECLINED TROUBLESHOOTING,BCR,FAILURE TO TROUBLESHOOT: The site refused to work with trained help desk agent to resolve an issue which resulted in the dispatch of a technician.,12/9/2024 16:01
#N/A,INV168084-01255A,2/21/2025,"$2,175.66",IMPROPER HANDLING - OTHER,OTHER,"PHYSICAL DAMAGE: Abuse, neglect or vandalism of the system or its component parts, or from customer’s failure to maintain the security of the equipment.",12/11/2024 13:56
US04664G,INV168084-01255A,2/21/2025,$721.72,IMPROPER HANDLING - GAS SPRING,OTHER,MISUSE: Operation of the equipment other than for its normal and intended purposes.,12/11/2024 17:18
US06606G,INV168084-01255A,2/21/2025,"$2,923.86",IMPROPER HANDLING - COIN SORTER,BCR,"PHYSICAL DAMAGE: Abuse, neglect or vandalism of the system or its component parts, or from customer’s failure to maintain the security of the equipment.",12/9/2024 19:47
US04709G,INV168084-01255A,2/21/2025,"$2,802.31",IMPROPER HANDLING - COIN SORTER,BCR,"PHYSICAL DAMAGE: Abuse, neglect or vandalism of the system or its component parts, or from customer’s failure to maintain the security of the equipment.",12/9/2024 16:21
US02028G,INV168084-01255A,2/21/2025,$656.70,NON DEVICE RELATED ISSUES,BCR,COIN AUDIT: Coin Audit,12/9/2024 18:48
US01164G,INV168084-01255A,2/21/2025,$530.71,IMPROPER HANDLING - CASSETTES,BNR,"PROCEDURE NEGLECT: The site failed to follow defined, maintenance and auditing guidelines for the unit.",12/10/2024 12:33
US00672G,INV168084-01255A,2/21/2025,$530.88,IMPROPER HANDLING - SHUTTER,BNR,MISUSE: Operation of the equipment other than for its normal and intended purposes.,12/10/2024 11:54
US02495G,INV168084-01255A,2/21/2025,"$2,813.81",IMPROPER HANDLING - COIN SORTER,BCR,"PHYSICAL DAMAGE: Abuse, neglect or vandalism of the system or its component parts, or from customer’s failure to maintain the security of the equipment.",12/10/2024 15:30
US01774G,INV168084-01255A,2/21/2025,$548.97,IMPROPER HANDLING - OTHER,OTHER,"PHYSICAL DAMAGE: Abuse, neglect or vandalism of the system or its component parts, or from customer’s failure to maintain the security of the equipment.",12/11/2024 10:12
US01615G,INV168084-01255A,2/21/2025,$799.32,ACTS OF NATURE,OTHER,"ACTS OF NATURE: Damage to the system was due to an act of nature (earthquake, flood, tornado, etc.).",12/10/2024 9:59
US02884G,INV168084-01255A,2/21/2025,$795.31,ACTS OF NATURE,OTHER,"ACTS OF NATURE: Damage to the system was due to an act of nature (earthquake, flood, tornado, etc.).",12/10/2024 13:55
US01129G,INV168084-01255A,2/21/2025,$523.63,IMPROPER HANDLING - SHUTTER,BNR,"PHYSICAL DAMAGE: Abuse, neglect or vandalism of the system or its component parts, or from customer’s failure to maintain the security of the equipment.",12/10/2024 14:56
US04188G,INV168084-01255A,2/21/2025,$419.56,IMPROPER HANDLING - OTHER,OTHER,"PROCEDURE NEGLECT: The site failed to follow defined, maintenance and auditing guidelines for the unit.",12/11/2024 14:43
US04356G,INV168084-01255A,2/21/2025,"$1,723.95",IMPROPER HANDLING - OTHER,OTHER,"PHYSICAL DAMAGE: Abuse, neglect or vandalism of the system or its component parts, or from customer’s failure to maintain the security of the equipment.",12/10/2024 20:21
US00485G,INV168084-01255A,2/21/2025,$538.55,IMPROPER HANDLING - VAULT,OTHER,MISUSE: Operation of the equipment other than for its normal and intended purposes.,12/12/2024 14:35
US01229G,INV168084-01255A,2/21/2025,"$1,771.10",IMPROPER HANDLING - OTHER,BNR,CLEANING NEGLECT: The site failed to follow defined cleaning and maintenance guidelines for the unit.  The only thing performed by the technician to resolve the issue was to clean the device.,12/10/2024 18:39
US00457G,INV168084-01255A,2/21/2025,"$1,104.92",IMPROPER HANDLING - OTHER,BNR,"PHYSICAL DAMAGE: Abuse, neglect or vandalism of the system or its component parts, or from customer’s failure to maintain the security of the equipment.",12/11/2024 10:31
#N/A,INV168084-01255A,2/21/2025,"$1,146.84",IMPROPER HANDLING - OTHER,BNR,"PHYSICAL DAMAGE: Abuse, neglect or vandalism of the system or its component parts, or from customer’s failure to maintain the security of the equipment.",12/12/2024 14:38
US06428G,INV168084-01255A,2/21/2025,"$1,368.17",IMPROPER HANDLING - OTHER,BNR,"PHYSICAL DAMAGE: Abuse, neglect or vandalism of the system or its component parts, or from customer’s failure to maintain the security of the equipment.",12/13/2024 12:23
US06663G,INV168084-01255A,2/21/2025,"$1,317.10",IMPROPER HANDLING - OTHER,BNR,FOREIGN OBJECT – COIN: The unit failure or damage was due to a coin found in the note recycler.,12/13/2024 9:41
US02119G,INV168084-01255A,2/21/2025,"$2,816.69",IMPROPER HANDLING - COIN SORTER,BCR,"PHYSICAL DAMAGE: Abuse, neglect or vandalism of the system or its component parts, or from customer’s failure to maintain the security of the equipment.",12/13/2024 10:04
US05087G,INV168084-01255A,2/21/2025,"$1,528.04",IMPROPER HANDLING - SHUTTER,BNR,"PHYSICAL DAMAGE: Abuse, neglect or vandalism of the system or its component parts, or from customer’s failure to maintain the security of the equipment.",12/13/2024 18:09
